Sampling period,Site,Soil type,species,Tree #,pre-dawn WP (Mpa),midday WP (Mpa),"gs (stomatal conductance, cm.s-1) "
Mar 2003,2,loamy sand,A.con,1,-0.75,-1.8,0.933333333
Mar 2003,2,loamy sand,A.con,2,-0.65,-1.9,1.056666667
Mar 2003,2,loamy sand,A.con,3,-0.85,-1.5,1.123333333
Mar 2003,2,loamy sand,A.con,4,-0.7,-2,0.426666667
Mar 2003,3,loamy sand,A.con,2,-1.55,-2.4,0.043666667
Mar 2003,3,loamy sand,A.con,3,-1.35,-1.7,0.078333333
Mar 2003,3,loamy sand,A.con,4,-1.35,-2.25,0.143333333
Aug 2003,1,silty loam,A.con,1,-1.65,-1.95,0.098
Aug 2003,1,silty loam,A.con,2,-2.25,-2.4,0.058
Aug 2003,1,silty loam,A.con,3,-1.4,-1.75,0
Aug 2003,1,silty loam,A.con,4,-1.8,-2.25,0
Aug 2003,2,loamy sand,A.con,1,-1.9,-2.45,0.62
Aug 2003,2,loamy sand,A.con,2,-1.8,-2.4,0.142333333
Aug 2003,2,loamy sand,A.con,3,-2.7,-3.05,0.089666667
Aug 2003,2,loamy sand,A.con,4,-2.15,-2.55,0.034333333
Aug 2003,3,loamy sand,A.con,2,-1.6,-2.05,0.102
Aug 2003,3,loamy sand,A.con,3,-1.8,-2.1,0.105666667
Aug 2003,3,loamy sand,A.con,4,-1.8,-2.2,0.060666667
Aug 2003,4,silty loam,A.con,1,-2.4,-2.9,0.047
Aug 2003,4,silty loam,A.con,2,-2.3,-2.5,0.066666667
Aug 2003,4,silty loam,A.con,3,-3.35,-3.25,0.037
Aug 2003,4,silty loam,A.con,4,-1.5,-1.85,0.097666667
Jan 2003,1,silty loam,C.aust,1,-6.2,-6.8,0.004
Jan 2003,1,silty loam,C.aust,2,-5.8,,0.015333333
Jan 2003,1,silty loam,C.aust,3,-6.2,,0.029666667
Jan 2003,1,silty loam,C.aust,4,-5.95,,0.022
Jan 2003,2,loamy sand,C.aust,1,-5.8,-6.6,0.024
Jan 2003,2,loamy sand,C.aust,2,-5.8,-6.6,0.0225
Jan 2003,2,loamy sand,C.aust,3,-5.3,-5.9,0.008
Jan 2003,4,silty loam,C.aust,1,-5.05,-6.4,0.039666667
Jan 2003,4,silty loam,C.aust,2,-4.85,-4.8,0.02
Jan 2003,4,silty loam,C.aust,3,-4.75,-6.45,0.0475
Jan 2003,4,silty loam,C.aust,4,-4.75,-6.1,0.028
Mar 2003,1,silty loam,C.aust,1,-3.3,-5.4,0.066666667
Mar 2003,1,silty loam,C.aust,2,-4.35,-5.35,0.066
Mar 2003,1,silty loam,C.aust,3,-2.05,-4.7,0.099333333
Mar 2003,1,silty loam,C.aust,4,-3,-4.9,0.008666667
Mar 2003,2,loamy sand,C.aust,1,-2,-4,0.293333333
Mar 2003,2,loamy sand,C.aust,2,-1.65,-4.1,0.426666667
Mar 2003,2,loamy sand,C.aust,3,-1.45,-3.8,0.446666667
Mar 2003,3,loamy sand,C.aust,1,-3.15,-4.4,0.117666667
Mar 2003,3,loamy sand,C.aust,2,-2.65,-5,0.025
Mar 2003,3,loamy sand,C.aust,3,-3.4,-4.4,0.044666667
Mar 2003,3,loamy sand,C.aust,4,-3.15,-4.75,0.021
Aug 2003,1,silty loam,C.aust,1,-4,-4.3,0.07
Aug 2003,1,silty loam,C.aust,2,-4.4,-4.85,0.0905
Aug 2003,1,silty loam,C.aust,3,-3.75,-4.6,0.175
Aug 2003,1,silty loam,C.aust,4,-4.4,-4.8,0.18
Aug 2003,2,loamy sand,C.aust,1,-2.95,-4.7,0.119666667
Aug 2003,2,loamy sand,C.aust,2,-2.9,-4.45,0.253333333
Aug 2003,2,loamy sand,C.aust,3,-3.05,-4.75,0.156666667
Aug 2003,3,loamy sand,C.aust,1,-3.3,-4.25,0.129
Aug 2003,3,loamy sand,C.aust,2,-3.2,-4.45,0.059666667
Aug 2003,3,loamy sand,C.aust,3,-4.2,-4.8,0.058666667
Aug 2003,3,loamy sand,C.aust,4,-4,-4.55,0.038333333
Aug 2003,4,silty loam,C.aust,1,-4.55,-4.65,0.032333333
Aug 2003,4,silty loam,C.aust,2,-3.9,-4.35,0.019666667
Aug 2003,4,silty loam,C.aust,3,-3.85,-4.5,0.088333333
Aug 2003,4,silty loam,C.aust,4,-4.15,-3.8,0.054666667
Jan 2003,1,silty loam,E.mem,1,-3.75,-5,0.0195
Jan 2003,1,silty loam,E.mem,2,-5.3,-5.45,0.0135
Jan 2003,1,silty loam,E.mem,3,-4.95,-5.2,0.0385
Jan 2003,1,silty loam,E.mem,4,-5.95,-7.6,0.029
Jan 2003,2,loamy sand,E.mem,1,-5.3,-7.15,0.025666667
Jan 2003,2,loamy sand,E.mem,2,-4.25,-5.25,0.0375
Jan 2003,2,loamy sand,E.mem,3,-5.9,-5.9,0
Jan 2003,2,loamy sand,E.mem,4,-6.45,-7.5,0.0015
Jan 2003,4,silty loam,E.mem,1,-4.45,-3.9,0.0355
Jan 2003,4,silty loam,E.mem,2,-4.55,-5.95,0.0515
Jan 2003,4,silty loam,E.mem,3,-3.95,-4.75,0.048
Jan 2003,4,silty loam,E.mem,4,-4.5,-6.7,0.059666667
Mar 2003,1,silty loam,E.mem,1,-1.05,-2.5,0.6
Mar 2003,1,silty loam,E.mem,2,-1.4,-2.35,0.35
Mar 2003,1,silty loam,E.mem,3,-1.5,-2.5,0.117333333
Mar 2003,1,silty loam,E.mem,4,-1.85,-3,0.101
Mar 2003,2,loamy sand,E.mem,1,-1.15,-2.75,0.503333333
Mar 2003,2,loamy sand,E.mem,2,-0.7,-2.8,0.616666667
Mar 2003,2,loamy sand,E.mem,3,-1.05,-2.3,0.403333333
Mar 2003,2,loamy sand,E.mem,4,-0.65,-1.95,0.166666667
Mar 2003,3,loamy sand,E.mem,1,-2.1,-3.15,0.233333333
Mar 2003,3,loamy sand,E.mem,2,-2.25,-3.25,0.126666667
Mar 2003,3,loamy sand,E.mem,3,-1.6,-2.65,0.037333333
Mar 2003,3,loamy sand,E.mem,4,-1.5,-2.65,0.126666667
Aug 2003,1,silty loam,E.mem,1,-3.65,-3.8,0.235
Aug 2003,1,silty loam,E.mem,2,-3.65,-4.25,0.073
Aug 2003,1,silty loam,E.mem,3,-4,-4.4,0.245
Aug 2003,1,silty loam,E.mem,4,-5.05,-5.65,0.17
Aug 2003,2,loamy sand,E.mem,1,-3.7,-4.4,0.34
Aug 2003,2,loamy sand,E.mem,2,-3.8,-4.5,0.253333333
Aug 2003,2,loamy sand,E.mem,3,-3.9,-4.3,0.26
Aug 2003,2,loamy sand,E.mem,4,-3.9,-4.3,0.296666667
Aug 2003,3,loamy sand,E.mem,1,-3.3,-3.9,0.196666667
Aug 2003,3,loamy sand,E.mem,2,-3.35,-3.8,0.075333333
Aug 2003,3,loamy sand,E.mem,3,-3.2,-3.55,0.098
Aug 2003,3,loamy sand,E.mem,4,-3.25,-3.75,0.058666667
Aug 2003,4,silty loam,E.mem,1,-4.05,-4.1,0.12
Aug 2003,4,silty loam,E.mem,2,-4,-4.15,0.1
Aug 2003,4,silty loam,E.mem,3,-3.45,-3.9,0.117
Aug 2003,4,silty loam,E.mem,4,-4.05,-4.3,0.16
