Species,Common name,Replicate,plant type,Photo,Cond,Area (mm2),species SLA,mass in chamber (g),Amass (photo per g),Aarea,Gmass,Garea,Photo_Rd
Persoonia levis,Persoonia levis,6,Native not co-occurring,9.4,0.275,600,8.85019529,0.067795114,138.6530595,9.4,4.056339508,0.275,
Persoonia linifolia,Persoonia linifolia,1,Native not co-occurring,2.05,0.0548,177.97,,0.0325,63.07692308,6.911277182,1.686153846,0.184750239,
Persoonia linifolia,Persoonia linifolia,2,Native not co-occurring,3.45,0.101,285.48,,0.0451,76.49667406,7.250945776,2.239467849,0.212274065,
Persoonia linifolia,Persoonia linifolia,3,Native not co-occurring,3.15,0.107,147.52,,0.0245,128.5714286,12.81182213,4.367346939,0.435195228,
Persoonia linifolia,Persoonia linifolia,4,Native not co-occurring,5.55,0.115,314.21,,0.0606,91.58415842,10.5980077,1.897689769,0.219598358,
Persoonia linifolia,Persoonia linifolia,5,Native not co-occurring,4.96,0.101,283.24,,0.0444,111.7117117,10.50699054,2.274774775,0.213952832,
Pittosporum undulatum,Pittosporum,1,Native co-occurring,,,600,9.192471507,0.065270803,0,0,0,0,
Pittosporum undulatum,Pittosporum,2,Native co-occurring,,,600,9.192471507,0.065270803,0,0,0,0,
Pittosporum undulatum,Pittosporum,3,Native co-occurring,,,600,9.192471507,0.065270803,0,0,0,0,
Pittosporum undulatum,Pittosporum,4,Native co-occurring,,,600,9.192471507,0.065270803,0,0,0,0,
Pittosporum undulatum,Pittosporum,5,Native co-occurring,,,600,9.192471507,0.065270803,0,0,0,0,
Protasparagus aethiopicus,Asparagus fern,1,Exotic,2.54,0.0247,85.258,,0.0049,518.3673469,17.87515541,5.040816327,0.17382533,
Protasparagus aethiopicus,Asparagus fern,2,Exotic,3.08,0.0303,146.89,,0.0092,334.7826087,12.58084281,3.293478261,0.123766083,
Protasparagus aethiopicus,Asparagus fern,3,Exotic,2.49,0.0374,291.6,,0.0177,140.6779661,5.12345679,2.11299435,0.076954733,
Protasparagus aethiopicus,Asparagus fern,4,Exotic,1.33,0.0152,253.98,,0.0066,201.5151515,3.141979683,2.303030303,0.035908339,
Protasparagus aethiopicus,Asparagus fern,5,Exotic,1.81,0.0255,264.02,,0.0077,235.0649351,4.113324748,3.311688312,0.057950155,
Pteridium esculentum,Bracken fern,1,Native co-occurring,10.3,0.136,467,,0.0557,184.9192101,13.23340471,2.441651706,0.174732334,
Pteridium esculentum,Bracken fern,2,Native co-occurring,12.5,0.171,530.68,,0.0679,184.0942563,14.13281073,2.518409426,0.193336851,
Pteridium esculentum,Bracken fern,3,Native co-occurring,8.59,0.125,454.74,,0.0617,139.2220421,11.33394907,2.025931929,0.16492941,
Pteridium esculentum,Bracken fern,4,Native co-occurring,6.82,0.116,483.34,,0.0416,163.9423077,8.466090123,2.788461538,0.143998014,
Pteridium esculentum,Bracken fern,5,Native co-occurring,8.53,0.13,511.21,,0.0451,189.135255,10.01154125,2.88248337,0.152579175,
Senna pendula,cassia,1,Exotic,13.5,0.263,600,19.88103414,0.030179517,447.3232681,13.5,8.714519963,0.263,
Senna pendula,cassia,2,Exotic,10.7,0.193,600,19.88103414,0.030179517,354.5451088,10.7,6.395065981,0.193,
Senna pendula,cassia,3,Exotic,14.3,0.466,600,19.88103414,0.030179517,473.8313136,14.3,15.44093651,0.466,
Senna pendula,cassia,4,Exotic,12.2,0.145,261.34,,0.0177,689.2655367,28.00948955,8.192090395,0.332899671,
Senna pendula,cassia,5,Exotic,9.61,0.128,219.27,,0.0177,542.9378531,26.29634697,7.231638418,0.350253113,
Sida rhombifolia,Sida,1,Exotic,25.2,0.959,600,25.84019815,0.023219636,1085.288322,25.2,41.30125004,0.959,
Sida rhombifolia,Sida,2,Exotic,24.1,0.898,600,25.84019815,0.023219636,1037.914626,24.1,38.67416323,0.898,
Sida rhombifolia,Sida,3,Exotic,15.8,0.603,600,25.84019815,0.023219636,680.4585512,15.8,25.96939914,0.603,
Sida rhombifolia,Sida,4,Exotic,23,0.801,600,25.84019815,0.023219636,990.540929,23,34.49666453,0.801,
Sida rhombifolia,Sida,5,Exotic,16.9,0.541,600,25.84019815,0.023219636,727.8322478,16.9,23.29924533,0.541,
Siegesbeckia orientalis,Siegesbeckia,1,Native co-occurring,14.8,0.818,600,27.25548834,0.022013915,672.3020457,14.8,37.15831577,0.818,
Siegesbeckia orientalis,Siegesbeckia,2,Native co-occurring,15.6,0.655,600,27.25548834,0.022013915,708.6426968,15.6,29.7539081,0.655,
Siegesbeckia orientalis,Siegesbeckia,3,Native co-occurring,13.9,0.64,600,27.25548834,0.022013915,631.4188132,13.9,29.07252089,0.64,
Siegesbeckia orientalis,Siegesbeckia,4,Native co-occurring,13.7,0.666,600,27.25548834,0.022013915,622.3336504,13.7,30.25359206,0.666,
Siegesbeckia orientalis,Siegesbeckia,5,Native co-occurring,12,0.616,600,27.25548834,0.022013915,545.1097668,12,27.98230136,0.616,
Smilax sp,Smilax,2,Native not co-occurring,4.02,0.0622,600,8.817416149,0.068047146,59.0766882,4.02,0.914072141,0.0622,
Smilax sp,Smilax,3,Native not co-occurring,6.73,0.208,600,8.817416149,0.068047146,98.9020178,6.73,3.056704265,0.208,
Smilax sp,Smilax,4,Native not co-occurring,4.89,0.0599,600,8.817416149,0.068047146,71.86194161,4.89,0.880272046,0.0599,
Smilax sp,Smilax,5,Native not co-occurring,4.03,0.0524,600,8.817416149,0.068047146,59.22364513,4.03,0.770054344,0.0524,
Smilax sp,Smilax,6,Native not co-occurring,3.29,0.13,600,8.817416149,0.068047146,48.34883188,3.29,1.910440166,0.13,
Solanum mauritianum,Wild tobacco,1,Exotic,16.9,0.555,600,18.51200092,0.032411407,521.4213593,16.9,17.12360085,0.555,
Solanum mauritianum,Wild tobacco,2,Exotic,14.9,0.474,600,18.51200092,0.032411407,459.7146896,14.9,14.62448073,0.474,
Solanum mauritianum,Wild tobacco,3,Exotic,14.7,0.204,600,18.51200092,0.032411407,453.5440226,14.7,6.294080314,0.204,
Solanum mauritianum,Wild tobacco,4,Exotic,13.3,0.272,600,18.51200092,0.032411407,410.3493538,13.3,8.392107085,0.272,
Solanum mauritianum,Wild tobacco,5,Exotic,13.1,0.288,600,18.51200092,0.032411407,404.1786868,13.1,8.885760443,0.288,
Tradescantia sp,Tradescantia,1,Exotic,7.67,0.148,440.87,,0.0118,650,10.43845124,12.54237288,0.20141992,
Tradescantia sp,Tradescantia,2,Exotic,6.47,0.129,449.55,,0.0075,862.6666667,8.635301969,17.2,0.172172172,
Tradescantia sp,Tradescantia,3,Exotic,7,0.1,600,59.60923494,0.010065554,695.4410743,7,9.934872491,0.1,
Tradescantia sp,Tradescantia,4,Exotic,6.66,0.111,600,59.60923494,0.010065554,661.6625079,6.66,11.02770846,0.111,
Tradescantia sp,Tradescantia,5,Exotic,4.86,0.0644,432.95,,0.0081,600,6.735188821,7.950617284,0.089248181,
Xanthorrhoea sp,Xanthorrhoea,1,Native not co-occurring,4.5,0.073,600,3.606218873,0.166379252,27.04664155,4.5,0.43875663,0.073,
Xanthorrhoea sp,Xanthorrhoea,2,Native not co-occurring,6.14,0.078,600,3.606218873,0.166379252,36.9036398,6.14,0.468808454,0.078,
Xanthorrhoea sp,Xanthorrhoea,3,Native not co-occurring,8.12,0.156,600,3.606218873,0.166379252,48.80416208,8.12,0.937616907,0.156,
Xanthorrhoea sp,Xanthorrhoea,4,Native not co-occurring,7.78,0.116,600,3.606218873,0.166379252,46.76063806,7.78,0.697202315,0.116,
Xanthorrhoea sp,Xanthorrhoea,5,Native not co-occurring,6.38,0.0828,600,3.606218873,0.166379252,38.34612735,6.38,0.497658204,0.0828,
Acacia longifolia,Acacia longifolia,1,Native not co-occurring,,,600,,,,,,,-2.01
Acacia longifolia,Acacia longifolia,2,Native not co-occurring,,,600,,,,,,,-1.6
Acacia longifolia,Acacia longifolia,3,Native not co-occurring,,,600,,,,,,,-1.29
Acacia longifolia,Acacia longifolia,4,Native not co-occurring,,,600,,,,,,,-1.13
Acacia longifolia,Acacia longifolia,5,Native not co-occurring,,,600,,,,,,,-1.71
Acacia parramatensis,Acacia,1,Native co-occurring,,,600,,,,,,,-0.604
Acacia parramatensis,Acacia,2,Native co-occurring,,,600,,,,,,,-1.08
Acacia parramatensis,Acacia,3,Native co-occurring,,,600,,,,,,,-0.551
Acacia parramatensis,Acacia,4,Native co-occurring,,,600,,,,,,,-0.421
Acacia parramatensis,Acacia,5,Native co-occurring,,,600,,,,,,,-0.655
Acacia suaveolens,Acacia suaveolens,1,Native not co-occurring,,,,,,,,,,-0.433
Acacia suaveolens,Acacia suaveolens,2,Native not co-occurring,,,,,,,,,,-0.429
Acacia suaveolens,Acacia suaveolens,3,Native not co-occurring,,,,,,,,,,-0.327
Acacia suaveolens,Acacia suaveolens,4,Native not co-occurring,,,,,,,,,,-0.429
Acacia suaveolens,Acacia suaveolens,5,Native not co-occurring,,,,,,,,,,-0.386
Acetosa sagitlata,turkey rhubarb,1,Exotic,,,600,,,,,,,-0.686
Acetosa sagitlata,turkey rhubarb,2,Exotic,,,540.66,,,,,,,-0.495
Acetosa sagitlata,turkey rhubarb,3,Exotic,,,600,,,,,,,-0.704
Acetosa sagitlata,turkey rhubarb,4,Exotic,,,600,,,,,,,-0.531
Acetosa sagitlata,turkey rhubarb,5,Exotic,,,600,,,,,,,-0.701
Banksia serrata,Banksia serrata,1,Native not co-occurring,,,600,,,,,,,-0.637
Banksia serrata,Banksia serrata,2,Native not co-occurring,,,600,,,,,,,-0.647
Banksia serrata,Banksia serrata,3,Native not co-occurring,,,600,,,,,,,-1.02
Banksia serrata,Banksia serrata,4,Native not co-occurring,,,600,,,,,,,-0.848
Banksia serrata,Banksia serrata,5,Native not co-occurring,,,600,,,,,,,-1.01
Banksia spinulosa,Banksia spinulosa,2,Native not co-occurring,,,,,,,,,,-0.389
Banksia spinulosa,Banksia spinulosa,4,Native not co-occurring,,,,,,,,,,-0.644
Banksia spinulosa,Banksia spinulosa,5,Native not co-occurring,,,,,,,,,,-0.461
Banksia spinulosa,Banksia spinulosa,6,Native not co-occurring,,,,,,,,,,-0.268
Banksia spinulosa,Banksia spinulosa,7,Native not co-occurring,,,,,,,,,,-0.438
Cardiospermum grandiflorum,Balloon vine,1,Exotic,,,600,,,,,,,-0.464
Cardiospermum grandiflorum,Balloon vine,2,Exotic,,,600,,,,,,,-0.558
Cardiospermum grandiflorum,Balloon vine,3,Exotic,,,600,,,,,,,-0.795
Cardiospermum grandiflorum,Balloon vine,4,Exotic,,,600,,,,,,,-0.691
Cardiospermum grandiflorum,Balloon vine,5,Exotic,,,600,,,,,,,-0.562
Casuarina sp,Casuarina,1,Native co-occurring,,,115.61,,0.0312,,,,,-1.1
Casuarina sp,Casuarina,2,Native co-occurring,,,192.02,,0.0488,,,,,-1.63
Casuarina sp,Casuarina,3,Native co-occurring,,,134.18,,0.0358,,,,,-1.46
Casuarina sp,Casuarina,4,Native co-occurring,,,153.95,,0.0351,,,,,-1.3
Casuarina sp,Casuarina,5,Native co-occurring,,,146.35,,0.0343,,,,,-1.63
Commelina sp,Commelina,1,Native co-occurring,,,,,,,,,,-0.645
Commelina sp,Commelina,2,Native co-occurring,,,,,,,,,,-0.539
Commelina sp,Commelina,3,Native co-occurring,,,,,,,,,,-0.794
Commelina sp,Commelina,4,Native co-occurring,,,,,,,,,,-0.587
Commelina sp,Commelina,5,Native co-occurring,,,,,,,,,,-0.676
Dianella caerula,Dianella,1,Native co-occurring,,,600,,,,,,,-0.429
Dianella caerula,Dianella,2,Native co-occurring,,,600,,,,,,,-0.569
Dianella caerula,Dianella,3,Native co-occurring,,,600,,,,,,,-0.554
Dianella caerula,Dianella,4,Native co-occurring,,,600,,,,,,,-0.782
Dianella caerula,Dianella,5,Native co-occurring,,,600,,,,,,,-0.625
Dodonaea spp,Dodonaea,1,Native not co-occurring,,,600,,,,,,,-1.01
Dodonaea spp,Dodonaea,2,Native not co-occurring,,,600,,,,,,,-0.828
Dodonaea spp,Dodonaea,3,Native not co-occurring,,,600,,,,,,,-1.03
Dodonaea spp,Dodonaea,4,Native not co-occurring,,,600,,,,,,,-1.3
Dodonaea spp,Dodonaea,5,Native not co-occurring,,,600,,,,,,,-1.87
Ehrharta erecta,Ehrharta,1,Exotic,,,600,,,,,,,-0.86
Ehrharta erecta,Ehrharta,2,Exotic,,,600,,,,,,,-0.681
Ehrharta erecta,Ehrharta,3,Exotic,,,600,,,,,,,-0.766
Ehrharta erecta,Ehrharta,4,Exotic,,,600,,,,,,,-0.707
Ehrharta erecta,Ehrharta,5,Exotic,,,600,,,,,,,-0.515
Eucalyptus gummifera,Eucalyptus,1,Native not co-occurring,,,600,,,,,,,-1.31
Eucalyptus gummifera,Eucalyptus,2,Native not co-occurring,,,600,,,,,,,-1.02
Eucalyptus gummifera,Eucalyptus,3,Native not co-occurring,,,600,,,,,,,-0.864
Eucalyptus gummifera,Eucalyptus,4,Native not co-occurring,,,600,,,,,,,-0.932
Eucalyptus gummifera,Eucalyptus,5,Native not co-occurring,,,600,,,,,,,-1.16
Grevillea buxifolia,grevillea,1,Native not co-occurring,,,,,,,,,,-0.381
Grevillea buxifolia,grevillea,2,Native not co-occurring,,,,,,,,,,-0.426
Grevillea buxifolia,grevillea,3,Native not co-occurring,,,,,,,,,,-0.367
Grevillea buxifolia,grevillea,4,Native not co-occurring,,,,,,,,,,-0.575
Grevillea buxifolia,grevillea,5,Native not co-occurring,,,,,,,,,,-0.341
Imperata cylindrica,Bladey grass,1,Native co-occurring,,,600,,,,,,,-0.868
Imperata cylindrica,Bladey grass,2,Native co-occurring,,,600,,,,,,,-0.836
Imperata cylindrica,Bladey grass,3,Native co-occurring,,,600,,,,,,,-1
Imperata cylindrica,Bladey grass,4,Native co-occurring,,,600,,,,,,,-0.483
