original_name,cleaned_name,aligned_name,taxonomic_dataset,taxon_rank,aligned_reason,alignment_code
Vitex trifolia subsp. trifolia,Vitex trifolia subsp. trifolia,Vitex trifolia var. trifolia,APC,variety,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-08-31),match_05a_fuzzy_accepted_canonical_name
Planchonella pohlmaniana var. Gilbert River (C.T.White 1409),Planchonella pohlmaniana var. Gilbert River (C.T.White 1409),Planchonella pohlmaniana var. (Gilbert River C.T.White 1409),APC,variety,Fuzzy match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2026-08-31),match_05b_fuzzy_synonym_canonical_name
Planchonella sp. Mt. Lewis (B.Hyland 14048),Planchonella sp. Mt. Lewis (B.Hyland 14048),Planchonella sp. (Mt Lewis B.P.Hyland 14048),APC,species,Fuzzy match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2026-08-31),match_05b_fuzzy_synonym_canonical_name
Vernonia cinerea var. cinerea,Vernonia cinerea var. cinerea,Vernonia cinerea subsp. cinerea,APC,subspecies,Fuzzy match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2026-08-31),match_05b_fuzzy_synonym_canonical_name
Acacia terminalis subsp. Glabrous form (M.Hancock 94),Acacia terminalis subsp. Glabrous f. (M.Hancock 94),Acacia terminalis subsp. Glabrous form (M.Hancock 94),APC,subspecies,Exact match of the first three words of the taxon name to an APC-accepted canonical name (2026-08-31),match_09a_trinomial_exact_accepted
Opuntia Schrank (C.Schrank s.n. AD98351226),Opuntia Schrank (C.Schrank s.n. AD98351226),Opuntia sp. Schrank (C.Schrank s.n. AD98351226),APC,species,Exact match of the first three words of the taxon name to an APC-accepted canonical name (2026-08-31),match_09a_trinomial_exact_accepted
Senna artemisioides subsp. artemisioides,Senna artemisioides subsp. artemisioides,Senna artemisioides subsp. x artemisioides,APC,subspecies,Exact match of the first three words of the taxon name to an APC-accepted canonical name (2026-08-31),match_09a_trinomial_exact_accepted
Thryptomene sp. Wandana (M.E.Trudgen 22016),Thryptomene sp. Wandana (M.E.Trudgen 22016),Thryptomene sp. Wandana (M.E.Trudgen MET 22016),APC,species,Exact match of the first three words of the taxon name to an APC-accepted canonical name (2026-08-31),match_09a_trinomial_exact_accepted
Dahlia pinnata,Dahlia pinnata,Dahlia x pinnata,APC,species,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2026-08-31),match_10a_binomial_exact_accepted
Eucalyptus calyerup,Eucalyptus calyerup,Eucalyptus x calyerup,APC,species,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2026-08-31),match_10a_binomial_exact_accepted
Juglans ailantifolia var. cordiformis,Juglans ailantifolia var. cordiformis,Juglans ailantifolia,APC,species,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2026-08-31),match_10a_binomial_exact_accepted
Kunzea ericoides var. ericoides,Kunzea ericoides var. ericoides,Kunzea ericoides,APC,species,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2026-08-31),match_10a_binomial_exact_accepted
Kunzea ericoides var. microflora,Kunzea ericoides var. microflora,Kunzea ericoides,APC,species,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2026-08-31),match_10a_binomial_exact_accepted
Kunzea sp. Scrubby form (K.R.Thiele 445),Kunzea sp. Scrubby f. (K.R.Thiele 445),Kunzea sp. Scrubby form (K.R.Thiele 445),APC,species,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2026-08-31),match_10a_binomial_exact_accepted
Pelargonium australe subsp. drummondii MS,Pelargonium australe subsp. drummondii MS,Pelargonium australe,APC,species,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2026-08-31),match_10a_binomial_exact_accepted
Petrophile squamata subsp. squamata MS,Petrophile squamata subsp. squamata MS,Petrophile squamata,APC,species,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2026-08-31),match_10a_binomial_exact_accepted
Pinus contorta var. contorta,Pinus contorta var. contorta,Pinus contorta,APC,species,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2026-08-31),match_10a_binomial_exact_accepted
Cupressus lusitanica var. benthamii,Cupressus lusitanica var. benthamii,Cupressus lusitanica,APC,species,Exact match of the first two words of the taxon name to an APC-known canonical name (2026-08-31),match_10b_binomial_exact_synonym
Cupressus lusitanica var. lusitanica,Cupressus lusitanica var. lusitanica,Cupressus lusitanica,APC,species,Exact match of the first two words of the taxon name to an APC-known canonical name (2026-08-31),match_10b_binomial_exact_synonym
Dracophyllum longifolium var. longifolium,Dracophyllum longifolium var. longifolium,Dracophyllum longifolium,APC,species,Exact match of the first two words of the taxon name to an APC-known canonical name (2026-08-31),match_10b_binomial_exact_synonym
Platanus hispanica,Platanus hispanica,Platanus x hispanica,APC,species,Exact match of the first two words of the taxon name to an APC-known canonical name (2026-08-31),match_10b_binomial_exact_synonym
Chenopodium trigonon subsp. trigonon,Chenopodium trigonon subsp. trigonon,Chenopodium trigonum,APC,species,Fuzzy match of the first two words of the taxon name to an APC-known canonical name (2026-08-31),match_10d_binomial_fuzzy_synonym
Aggreflorum longifolium var. longifolium,Aggreflorum longifolium var. longifolium,Aggreflorum longifolium subsp. longifolium,APNI,subspecies,Fuzzy match of taxon name to an APNI-listed canonical name once punctuation and filler words are removed (2026-08-31),match_11a_fuzzy_APNI_canonical
Leucopogon inflexifolius MS,Leucopogon inflexifolius MS,Leucopogon inflexifolius,APNI,species,Fuzzy match of taxon name to an APNI-listed canonical name once punctuation and filler words are removed (2026-08-31),match_11a_fuzzy_APNI_canonical
Geniostoma ligustrifolium var. ligustrifolium,Geniostoma ligustrifolium var. ligustrifolium,Geniostoma ligustrifolium,APNI,species,Exact match of the first two words of the taxon name to an APNI-listed canonical name (2026-08-31),match_11d_binomial_exact_APNI
Podocarpus totara D.Don var. totara,Podocarpus totara D.Don var. totara,Podocarpus totara,APNI,species,Exact match of the first two words of the taxon name to an APNI-listed canonical name (2026-08-31),match_11d_binomial_exact_APNI
Stenanthera lacsalaria A.J.G.Wilson & Hislop,Stenanthera lacsalaria A.J.G.Wilson & Hislop,Stenanthera lacsalaria,APNI,species,Exact match of the first two words of the taxon name to an APNI-listed canonical name (2026-08-31),match_11d_binomial_exact_APNI
