Taxon,Vegetative persistence,Propagule persistence,Eco Source,Fire Response Adult,Resprout Type,Seed Bank,Fire_Response_Adult,Resprout_Type,stem buds
Euphorbia stevenii Baill.,NA,NA,"Albrecht 2004, Brock 2004, Brennan 2004",Resprouter,Underground storage organs (bulbs/tubers),NA,NA,NA,NA
Euphorbia tannensis Spreng.,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Euphorbia tannensis Spreng. subsp. eremophila (A.Cunn.) D.C.Hassall,NA,NA,Latz 2004,Resprouter,Root suckers or rhizomes,Strictly serotinous,NA,NA,NA
Euphorbia tannensis Spreng. subsp. tannensis,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Euphorbia thelephora Halford & W.K.Harris,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Euphorbia thelephora Halford & W.K.Harris var. australis Halford & W.K.Harris,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia thelephora Halford & W.K.Harris var. rugosa Halford & W.K.Harris,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia thelephora Halford & W.K.Harris var. thelephora,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia thymifolia L.,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Euphorbia trigonosperma Halford & W.K.Harris,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Euphorbia vaccaria Baill.,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Euphorbia vaccaria Baill. var. vaccaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia victoriensis Halford & W.K.Harris,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Euphorbia wheeleri Baill.,NA,NA,Latz 2004,Seeder,None,NA,NA,NA,NA
Excoecaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
Excoecaria agallocha L.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Excoecaria ovalis Endl.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Excoecaria parvifolia Muell.Arg.,NA,NA,"Yates 2003, JRS 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA,NA,NA
Homalanthus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homalanthus novoguineensis (Warb.) K.Schum.,NA,NA,"Yates 2003, JRS 2004, Liddle 2004",Seeder,None,NA,NA,NA,NA
Jatropha,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jatropha curcas L.,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Jatropha gossypiifolia L.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Macaranga,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaranga involucrata (Roxb.) Baill.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaranga involucrata (Roxb.) Baill. var. mallotoides (Roxb.) Baill.,NA,NA,"Yates 2003, JRS 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA,NA,NA
Macaranga tanarius (L.) Muell.Arg.,NA,NA,"JRS 2004, Liddle 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA,NA,NA
Mallotus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mallotus dispersus P.I.Forst.,NA,NA,JRS 2004,Resprouter,Underground storage organs (bulbs/tubers),Dispersal reliant,NA,NA,NA
Mallotus nesophilus Muell.Arg.,NA,NA,"KNP plots, Nitmiluk plots, Yates 2003, JRS 2004, Liddle 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA,NA,NA
Mallotus philippensis (Lam.) Muell.Arg.,NA,NA,"KNP plots, JRS 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA,NA,NA
Micrococca,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micrococca mercurialis (L.) Benth.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microstachys,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microstachys chamaelea (L.) A.Juss. ex Hook.f.,NA,NA,"KNP plots, Nitmiluk plots",Faculative resprouter,NA,NA,NA,NA,NA
Monotaxis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monotaxis luteiflora F.Muell.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Monotaxis tenuis Airy Shaw,NA,NA,"KNP plots, Nitmiluk plots, JRS 2005","Seeder, Faculative resprouter",None,NA,NA,NA,NA
Ricinocarpos,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Latz 2004, Albrecht 2004, Liddle 2004",Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Ricinocarpos trichophyllus Halford & R.J.F.Hend.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ricinus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ricinus communis L.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Shonia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shonia bickertonensis (Specht) Halford & R.J.F.Hend.,NA,NA,"KNP plots, Nitmiluk plots, JRS 2004, Liddle 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA,NA,NA
Shonia territorialis Halford & R.J.F.Hend.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suregada,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suregada glomerulata (Blume) Baill.,NA,NA,JRS 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Tragia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tragia arnhemica P.I.Forst.,NA,NA,JRS 2004,Seeder,None,NA,NA,NA,NA
FABACEAE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abrus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abrus precatorius L.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Abrus precatorius L. subsp. precatorius,NA,NA,"KNP plots, JRS 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Acacia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia abbreviata Maslin,NA,NA,Latz 2004,Seeder,None,NA,NA,NA,NA
Acacia abrupta Maiden & Blakely,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",Seeder,None,NA,NA,NA,NA
Acacia acradenia F.Muell.,NA,NA,"Albrecht 2004, Brock 2004, JRS 2004, Liddle 2004, Brennan 2004","Seeder, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), None",NA,NA,NA,NA
Acacia adoxa Pedley,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia adoxa Pedley var. adoxa,NA,NA,Brennan 2004,NA,NA,NA,NA,NA,NA
Acacia adsurgens Maiden & Blakely,NA,NA,"Latz 2004, Liddle 2004",Seeder,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Acacia alleniana Maiden,NA,NA,"KNP plots, Nitmiluk plots, JRS 2004, Liddle 2004",Seeder,None,NA,NA,NA,NA
Acacia amanda G.J.Leach,NA,NA,"JRS 2004, Brennan 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Acacia amentifera F.Muell.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia ammobia Maconochie,NA,NA,Latz 2004,Seeder,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Acacia ampliceps Maslin,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia ancistrocarpa Maiden & Blakely,NA,NA,Latz 2004,"Seeder, Resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Acacia aneura F.Muell. ex Benth.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Acacia aneura F.Muell. ex Benth. var. aneura,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia aneura F.Muell. ex Benth. var. intermedia Pedley,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia aneura F.Muell. ex Benth. var. major Pedley,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia aptaneura Maslin & J.E.Reid,NA,NA,Latz 2004,Seeder,None,NA,NA,NA,NA
Acacia arafurica Tindale & Kodela,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia argyraea Tindale,NA,NA,"JRS 2004, Brennan 2004",Seeder,None,NA,NA,NA,NA
Acacia armitii F.Muell. ex Maiden,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Acacia asperulacea F.Muell.,NA,NA,"JRS 2004, Brennan 2004",Seeder,None,NA,NA,NA,NA
Acacia auricoma Maslin,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia auriculiformis A.Cunn. ex Benth.,NA,NA,"Yates 2003, JRS 2004",Seeder,None,NA,NA,NA,NA
Acacia ayersiana Maconochie,NA,NA,"Latz 2004, Liddle 2004",Seeder,None,NA,NA,NA,NA
Acacia basedowii Maiden,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia bivenosa DC.,NA,NA,"Albrecht 2004, Brock 2004, Brennan 2004",Faculative resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA,NA,NA
Acacia brachystachya Benth.,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia brockii Tindale & Kodela,NA,NA,"KNP plots, Nitmiluk plots, Liddle 2004",Seeder,None,NA,NA,NA,NA
Acacia calcicola Forde & Ising,NA,NA,Latz 2004,NA,NA,NA,NA,NA,NA
Acacia calligera (Pedley) Pedley,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia cambagei R.T.Baker.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia cataractae Tindale & Kodela,NA,NA,"JRS 2004, Liddle 2004, Brennan 2004",Seeder,None,NA,NA,NA,NA
Acacia catenulata Tindale & Kodela,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia chippendalei Pedley,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia chisholmii F.M.Bailey,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia citriodora Kodela & Maslin,NA,NA,Brennan 2004,NA,NA,NA,NA,NA,NA
"Acacia claviseta Maslin, M.D.Barrett & R.L.Barrett",NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia colei Maslin & L.Thomps.,NA,NA,"Latz 2004, Liddle 2004",Seeder,None,NA,NA,NA,NA
Acacia colei Maslin & L.Thomps. var. colei,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia colei Maslin & L.Thomps. var. ileocarpa M.W.McDonald & Maslin,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia conjunctifolia F.Muell.,NA,NA,"Yates 2003, Liddle 2004",Faculative resprouter,NA,NA,NA,NA,NA
Acacia conspersa F.Muell.,NA,NA,"KNP plots, Nitmiluk plots",Seeder,None,NA,NA,NA,NA
Acacia convallium Pedley,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia cowleana Tate,NA,NA,Latz 2004,Seeder,None,NA,NA,NA,NA
Acacia cuthbertsonii Luehm.,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia cuthbertsonii Luehm. subsp. cuthbertsonii,NA,NA,Latz 2004,"Seeder, Faculative resprouter",None,NA,NA,NA,NA
Acacia cyperophylla F.Muell. ex Benth.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia cyperophylla F.Muell. ex Benth. var. cyperophylla,NA,NA,Latz 2004,Seeder,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA,NA,NA
Acacia delicatula Tindale & Kodela,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia desmondii Maslin,NA,NA,"Latz 2004, Nano 2005","Seeder, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA,NA,NA
Acacia dictyophleba F.Muell.,NA,NA,Latz 2004,Seeder,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA,NA,NA
Acacia difficilis Maiden,NA,NA,"KNP plots, Nitmiluk plots, JRS 2004",Faculative resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA,NA,NA
Acacia dimidiata Benth.,NA,NA,"KNP plots, Nitmiluk plots, JRS 2004",Faculative resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA,NA,NA
Acacia dolichophylla Maslin,NA,NA,"Albrecht 2004, Brennan 2004",Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Acacia doreta Maslin,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia drepanocarpa F.Muell.,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia drepanocarpa F.Muell. subsp. drepanocarpa,NA,NA,Brennan 2004,NA,NA,NA,NA,NA,NA
Acacia drepanocarpa F.Muell. subsp. latifolia Pedley,NA,NA,Brennan 2004,NA,NA,NA,NA,NA,NA
Acacia dunnii (Maiden) Turrill,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Acacia echinuliflora G.J.Leach,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia elachantha M.W.McDonald & Maslin,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia equisetifolia Maslin & Cowie,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia estrophiolata F.Muell.,NA,NA,Latz 2004,"Seeder, Resprouter, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA,NA,NA
Acacia filipes Pedley,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia froggattii Maiden,NA,NA,"Yates 2003, Liddle 2004",Seeder,None,NA,NA,NA,NA
Acacia galioides Benth.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia georginae F.M.Bailey,NA,NA,Latz 2004,Seeder,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Acacia gonocarpa F.Muell.,NA,NA,"KNP plots, Liddle 2004","Seeder, Resprouter","Basal stem buds (includes lignotuber and basal stem), None",NA,NA,NA,NA
Acacia gonoclada F.Muell. ex Benth.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia gracilenta Tindale & Kodela,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia hammondii Maiden,NA,NA,"Yates 2003, JRS 2004, Liddle 2004",Seeder,None,NA,NA,NA,NA
Acacia helicophylla Pedley,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia helmsiana Maiden,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia hemignosta F.Muell.,NA,NA,Yates 2003,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Acacia hemsleyi Maiden,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia hilliana Maiden,NA,NA,Latz 2004,Seeder,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Acacia holosericea A.Cunn. ex G.Don,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Acacia humifusa A.Cunn. ex Benth.,NA,NA,"KNP plots, Nitmiluk plots",Seeder,None,NA,NA,NA,NA
Acacia hyaloneura Pedley,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia inaequilatera Domin,NA,NA,"Latz 2004, Nano 2005","Resprouter, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA,NA,NA
Acacia incurvaneura Maslin & J.E.Reid,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia jasperensis Maconochie,NA,NA,"JRS 2004, Brennan 2004",Seeder,None,NA,NA,NA,NA
Acacia jennerae Maiden,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia jensenii Maiden,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia kelleri F.Muell.,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Acacia kempeana F.Muell.,NA,NA,"Latz 2004, Liddle 2004, Brock 2005","Seeder, Faculative resprouter","Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem), Epicormic shoots, None",NA,NA,NA,NA
Acacia laccata Pedley,NA,NA,"JRS 2004, Liddle 2004, Brennan 2004",Seeder,None,NA,NA,NA,NA
Acacia lacertensis Pedley,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia lamprocarpa O.Schwarz,NA,NA,"JRS 2004, Liddle 2004",Faculative resprouter,Root suckers or rhizomes,NA,NA,NA,NA
Acacia latescens Benth.,NA,NA,KNP plots,Faculative resprouter,NA,NA,NA,NA,NA
Acacia latifolia Benth.,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia latzii Maslin,NA,NA,"Latz 2004, Albrecht 2004, Liddle 2004",Seeder,None,NA,NA,NA,NA
Acacia leptocarpa A.Cunn. ex Benth,NA,NA,"JRS 2004, Brennan 2004",Seeder,None,NA,NA,NA,NA
Acacia leptophleba F.Muell.,NA,NA,"JRS 2004, Brennan 2004",Seeder,None,NA,NA,NA,NA
Acacia ligulata A.Cunn. ex Benth.,NA,NA,"Latz 2004, Liddle 2004","Seeder, Resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Acacia limbata F.Muell.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia linarioides Benth.,NA,NA,KNP plots,"Seeder, Faculative resprouter",None,NA,NA,NA,NA
Acacia lycopodiifolia A.Cunn. ex Hook.,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Acacia lysiphloia F.Muell.,NA,NA,Latz 2004,"Seeder, Faculative resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Acacia macdonnellensis Maconochie,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia macdonnellensis Maconochie subsp. macdonnellensis,NA,NA,Latz 2004,Seeder,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Acacia macdonnellensis Maconochie subsp. teretifolia Maslin,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia maconochieana Pedley,NA,NA,"Latz 2004, Liddle 2004",Seeder,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Acacia maitlandii F.Muell.,NA,NA,"Latz 2004, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Acacia malloclada Maiden & Blakely,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia mangium Willd.,NA,NA,I.D.Cowie,Seeder,NA,NA,NA,NA,NA
Acacia manipularis Cowan & Maslin,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia megalantha F.Muell.,NA,NA,Yates 2003,Faculative resprouter,NA,NA,NA,NA,NA
Acacia melleodora Pedley,NA,NA,"Latz 2004, Liddle 2004",Seeder,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA,NA,NA
Acacia mimula Pedley,NA,NA,KNP plots,Faculative resprouter,NA,NA,NA,NA,NA
Acacia minutifolia F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia minyura Randell,NA,NA,"Latz 2004, Liddle 2004",Seeder,"Basal stem buds (includes lignotuber and basal stem), None",NA,NA,NA,NA
Acacia monticola J.M.Black,NA,NA,"Albrecht 2004, Brennan 2004",Seeder,None,NA,NA,NA,NA
Acacia mountfordiae Specht,NA,NA,"JRS 2004, Brennan 2004",Seeder,None,NA,NA,NA,NA
Acacia mulganeura Maslin & J.E.Reid,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia multisiliqua (Benth.) Maconochie,NA,NA,Nitmiluk plots,Seeder,None,NA,NA,NA,NA
Acacia multistipulosa Tindale & Bedward,NA,NA,"KNP plots, Nitmiluk plots",Faculative resprouter,NA,NA,NA,NA,NA
Acacia murrayana F.Muell. ex Benth.,NA,NA,"Latz 2004, Liddle 2004",Resprouter,Root suckers or rhizomes,NA,NA,NA,NA
Acacia neurocarpa A.Cunn. ex Hook.,NA,NA,"Yates 2003, Brock 2005","Seeder, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), None",NA,NA,NA,NA
Acacia nicholsonensis Cuff,NA,NA,I.D.Cowie,NA,NA,NA,NA,NA,NA
Acacia nuperrima Baker f.,NA,NA,"Yates 2003, Liddle 2004",Seeder,None,NA,NA,NA,NA
Acacia nyssophylla F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia olgana Maconochie,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia oligoneura F.Muell.,NA,NA,Cowie 2019,Resprouter,NA,NA,NA,NA,NA
Acacia oncinocarpa Benth.,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Acacia orthocarpa A.Cunn. ex Benth.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia orthotricha Pedley,NA,NA,Brennan 2004,NA,NA,NA,NA,NA,NA
Acacia oswaldii F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",Resprouter,NA,NA,NA,NA,NA
Acacia pachyacra Maiden & Blakely,NA,NA,"Albrecht 2004, Brennan 2004",Resprouter,NA,NA,NA,NA,NA
Acacia pachycarpa F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia paraneura Randell,NA,NA,"Albrecht 2004, Brock 2004, Liddle 2004, Brennan 2004",Seeder,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Acacia pellita O.Schwarz,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Acacia perryi Pedley,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia peuce F.Muell.,NA,NA,"Latz 2004, Albrecht 2004, Liddle 2004",Seeder,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA,NA,NA
Acacia phlebocarpa F.Muell. ex Benth.,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia pickardii Tindale,NA,NA,"Latz 2004, Albrecht 2004, Liddle 2004",Faculative resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA,NA,NA
Acacia platycarpa F.Muell.,NA,NA,"KNP plots, Nitmiluk plots",Faculative resprouter,NA,NA,NA,NA,NA
Acacia plectocarpa A.Cunn. ex Benth.,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia plectocarpa A.Cunn. ex Benth. subsp. plectocarpa,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia plectocarpa A.Cunn. ex Benth. subsp. tanumbirinensis (Maiden) Pedley,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia praelongata F.Muell.,NA,NA,"JRS 2004, Brennan 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA,NA,NA
Acacia praetermissa Tindale,NA,NA,"Liddle 2004, Brennan 2004; Cowie 2019",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Acacia prainii Maiden,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Acacia producta Tindale,NA,NA,"KNP plots, Nitmiluk plots, Liddle 2004",Seeder,None,NA,NA,NA,NA
Acacia proiantha Pedley,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia pruinocarpa Tindale,NA,NA,"Albrecht 2004, Brock 2004, Brennan 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA,NA,NA
Acacia pteraneura Maslin & J.E.Reid,NA,NA,Brennan 2004,NA,NA,NA,NA,NA,NA
Acacia ptychophylla F.Muell.,NA,NA,Brennan 2004,NA,NA,NA,NA,NA,NA
Acacia ramulosa W.Fitzg.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia ramulosa W.Fitzg. var. linophylla (W.Fitzg.) Pedley,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia ramulosa W.Fitzg. var. ramulosa,NA,NA,Latz 2004,Seeder,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Acacia repens A.S.George,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia retivenea F.Muell.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia retivenea F.Muell. subsp. retivenea,NA,NA,"JRS 2004, Brennan 2004",Seeder,None,NA,NA,NA,NA
Acacia rhodophloia Maslin,NA,NA,"Albrecht 2004, Brock 2004, Brennan 2004",Seeder,None,NA,NA,NA,NA
Acacia richardsii Maslin,NA,NA,"JRS 2004, Liddle 2004, Brennan 2004",Seeder,None,NA,NA,NA,NA
Acacia rigens A.Cunn. ex G.Don,NA,NA,"Unknown, Brennan 2004",Resprouter,NA,NA,NA,NA,NA
Acacia rigescens Tindale & Bedward,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia sabulosa Maslin,NA,NA,"KNP plots, Nitmiluk plots",Seeder,None,NA,NA,NA,NA
Acacia salicina Lindl.,NA,NA,"Albrecht 2004, Brock 2004, Brennan 2004",Resprouter,"Root suckers or rhizomes, Epicormic shoots",NA,NA,NA,NA
Acacia scopulorum Pedley,NA,NA,KNP plots,Seeder,None,NA,NA,NA,NA
Acacia sericoflora Pedley,NA,NA,"KNP plots, Nitmiluk plots",Seeder,None,NA,NA,NA,NA
Acacia sericophylla F.Muell.,NA,NA,Latz 2004,"Resprouter, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA,NA,NA
Acacia sessiliceps F.Muell.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia setulifera Benth.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia shirleyi Maiden,NA,NA,"JRS 2004, Latz 2004",Faculative resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA,NA,NA
Acacia sibirica S.Moore,NA,NA,"Albrecht 2004, Brock 2004, Brennan 2004","Seeder, Faculative resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Acacia simsii A.Cunn. ex Benth.,NA,NA,"JRS 2004, Brennan 2004",Seeder,None,NA,NA,NA,NA
Acacia sp. Baroalba (K.G.Brennan 186),NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Acacia sp. Bradshaw (B.Wirf 1484) Cowie & M.D.Barrett,NA,NA,I.D. Cowie,NA,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Acacia sp. China Wall (K.G.Brennan 11901) K.G.Brennan,NA,NA,I.D. Cowie 2021,NA,NA,NA,NA,NA,NA
Acacia sp. Dinner Creek (K.G.Brennan 354) K.G.Brennan,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
