find,dataset_id,replace,reason,taxonomic_resolution
Lantana camara L.,Nano_2011,Lantana camara,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Laportea interrupta (L.) Chew,Nano_2011,Laportea interrupta,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Larsenaikia suffruticosa (R.Br. ex Benth.) Tirveng.,Nano_2011,Larsenaikia suffruticosa,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Lawrencella davenportii (F.Muell.) Paul G.Wilson,Nano_2011,Lawrencella davenportii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lawrencia glomerata Hook.,Nano_2011,Lawrencia glomerata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lechenaultia divaricata F.Muell.,Nano_2011,Lechenaultia divaricata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lechenaultia filiformis R.Br.,Nano_2011,Lechenaultia filiformis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lechenaultia striata F.Muell.,Nano_2011,Lechenaultia striata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Leea novoguineensis Valeton,Nano_2011,Leea novoguineensis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Leea rubra Blume ex Spreng.,Nano_2011,Leea rubra,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Leersia hexandra Sw.,Nano_2011,Leersia hexandra,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Leiocarpa semicalva (F.Muell.) Paul G.Wilson subsp. semicalva,Nano_2011,Leiocarpa semicalva subsp. semicalva,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Subspecies
Lemna tenera Kurz,Nano_2011,Lemna tenera,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lepidium muelleriferdinandi Thell.,Nano_2011,Lepidium sp. [Lepidium muelleriferdinandi Thell.; Nano_2011],"match_20. Rewording name to be recognised as genus rank, with genus accepted by APC (2023-06-18)",genus
Lepidium oxytrichum Sprague,Nano_2011,Lepidium oxytrichum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lepidium phlebopetalum (F.Muell.) F.Muell.,Nano_2011,Lepidium phlebopetalum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Leptochloa digitata (R.Br.) Domin,Nano_2011,Leptochloa digitata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Leptosema anomalum (Ewart & Morrison) Crisp,Nano_2011,Leptosema anomalum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Leptosema chambersii F.Muell.,Nano_2011,Leptosema chambersii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Leptosema villosum Crisp,Nano_2011,Leptosema villosum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Leucochrysum fitzgibbonii (F.Muell.) Paul G.Wilson,Nano_2011,Leucochrysum fitzgibbonii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Leucochrysum stipitatum (F.Muell.) Paul G.Wilson,Nano_2011,Leucochrysum stipitatum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Leucopogon acuminatus R.Br.,Nano_2011,Leucopogon acuminatus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Leucopogon sonderensis J.H.Willis,Nano_2011,Leucopogon sonderensis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Limnophila fragrans (G.Forst.) Seem.,Nano_2011,Limnophila fragrans,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lindernia calliandra W.R.Barker,Nano_2011,Lindernia calliandra,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lindernia clausa (F.Muell.) F.Muell.,Nano_2011,Lindernia clausa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lindernia lobelioides (F.Muell.) F.Muell.,Nano_2011,Lindernia lobelioides,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lindernia venustula W.R.Barker,Nano_2011,Lindernia venustula,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lindsaea brachypoda (Baker) Salomon,Nano_2011,Lindsaea brachypoda,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lindsaea ensifolia Sw.,Nano_2011,Lindsaea ensifolia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lindsaea media R.Br.,Nano_2011,Lindsaea media,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lindsaea walkerae Hook.,Nano_2011,Lindsaea walkerae,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lipocarpha microcephala (R.Br.) Kunth,Nano_2011,Lipocarpha microcephala,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Lithomyrtus cordata (A.J.Scott) N.Snow & Guymer,Nano_2011,Lithomyrtus cordata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lithomyrtus dunlopii N.Snow & Guymer,Nano_2011,Lithomyrtus dunlopii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lithomyrtus kakaduensis N.Snow & Guymer,Nano_2011,Lithomyrtus kakaduensis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lithomyrtus linariifolia N.Snow & Guymer,Nano_2011,Lithomyrtus linariifolia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lithomyrtus repens N.Snow & Guymer,Nano_2011,Lithomyrtus repens,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lithomyrtus retusa (Endl.) N.Snow & Guymer,Nano_2011,Lithomyrtus retusa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Litsea breviumbellata Allen,Nano_2011,Litsea breviumbellata,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Litsea glutinosa (Lour.) C.B.Rob.,Nano_2011,Litsea glutinosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Livistona benthamii F.M.Bailey,Nano_2011,Livistona benthamii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Livistona humilis R.Br.,Nano_2011,Livistona humilis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Livistona inermis R.Br.,Nano_2011,Livistona inermis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Livistona mariae F.Muell. subsp. mariae,Nano_2011,Livistona mariae subsp. mariae,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Subspecies
Livistona mariae F.Muell. subsp. rigida (Becc.) Rodd,Nano_2011,Livistona mariae,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Livistona victoriae Rodd,Nano_2011,Livistona victoriae,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lobelia heterophylla Labill.,Nano_2011,Lobelia heterophylla,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lomandra leucocephala (R.Br.) Ewart var. robusta A.T.Lee,Nano_2011,Lomandra leucocephala,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Lomandra patens A.T.Lee,Nano_2011,Lomandra patens,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lophopetalum arnhemicum Byrnes,Nano_2011,Lophopetalum arnhemicum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lophostemon lactifluus (F.Muell.) Peter Wilson & J.T.Waterh.,Nano_2011,Lophostemon lactifluus,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Lotus cruentus Court,Nano_2011,Lotus cruentus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Ludwigia adscendens (L.) H.Hara,Nano_2011,Ludwigia adscendens,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Ludwigia hyssopifolia (G.Don) Exell,Nano_2011,Ludwigia hyssopifolia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Ludwigia octovalvis (Jacq.) Raven,Nano_2011,Ludwigia octovalvis,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Ludwigia perennis L.,Nano_2011,Ludwigia perennis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Luffa aegyptiaca Mill.,Nano_2011,Luffa aegyptiaca,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Luffa saccata F.Muell. ex I.Telford,Nano_2011,Luffa saccata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Luisia corrugata D.L.Jones,Nano_2011,Luisia corrugata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Luvunga monophylla (DC.) Mabb.,Nano_2011,Luvunga monophylla,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lygodium flexuosum (L.) Sw.,Nano_2011,Lygodium flexuosum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lygodium microphyllum (Cav.) R.Br.,Nano_2011,Lygodium microphyllum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Lysiana exocarpi (Behr) Tiegh. subsp. exocarpi,Nano_2011,Lysiana exocarpi subsp. exocarpi,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Subspecies
Lysiana murrayi (Tate) Tiegh.,Nano_2011,Lysiana murrayi,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Lysiana spathulata (Blakely) Barlow subsp. parvifolia Barlow,Nano_2011,Lysiana spathulata,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Lysiana spathulata (Blakely) Barlow subsp. spathulata,Nano_2011,Lysiana spathulata subsp. spathulata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Subspecies
Lysiana subfalcata (Hook.) Barlow,Nano_2011,Lysiana subfalcata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Macaranga involucrata (Roxb.) Baill. var. mallotoides (Roxb.) Baill.,Nano_2011,Macaranga involucrata,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Macaranga tanarius (L.) Muell.Arg.,Nano_2011,Macaranga tanarius,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Macarthuria vertex Lepschi,Nano_2011,Macarthuria vertex,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Macgregoria racemigera F.Muell.,Nano_2011,Macgregoria racemigera,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Mackinlaya macrosciadea (F.Muell.) F.Muell.,Nano_2011,Mackinlaya macrosciadea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Macropteranthes kekwickii F.Muell. ex Benth.,Nano_2011,Macropteranthes kekwickii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Macrozamia macdonnellii (F.Muell. ex Miq.) A.DC.,Nano_2011,Macrozamia macdonnellii,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Maireana aphylla (R.Br.) Paul G.Wilson,Nano_2011,Maireana aphylla,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Maireana astrotricha (L.A.S.Johnson) Paul G.Wilson,Nano_2011,Maireana astrotricha,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Maireana georgei (Diels) Paul G.Wilson,Nano_2011,Maireana georgei,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Maireana integra (Paul G.Wilson) Paul G.Wilson,Nano_2011,Maireana integra,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Maireana scleroptera (J.M.Black) Paul G.Wilson,Nano_2011,Maireana scleroptera,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Maireana triptera (Benth.) Paul G.Wilson,Nano_2011,Maireana triptera,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Maireana villosa (Lindl.) Paul G.Wilson,Nano_2011,Maireana villosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Malachra fasciata Jacq. var. lineariloba (Turcz.) Gurke,Nano_2011,Malachra fasciata,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Mallotus dispersus P.I.Forst.,Nano_2011,Mallotus dispersus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Mallotus nesophilus Muell.Arg.,Nano_2011,Mallotus nesophilus,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Mallotus philippensis (Lam.) Muell.Arg.,Nano_2011,Mallotus philippensis,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Malva parviflora L.,Nano_2011,Malva parviflora,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Malvastrum americanum (L.) Torr.,Nano_2011,Malvastrum americanum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Mapania macrocephala (Gaudich) K.Schum. in Warb.,Nano_2011,Mapania macrocephala,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Maranthes corymbosa Blume,Nano_2011,Maranthes corymbosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Marsdenia australis (R.Br.) Druce,Nano_2011,Marsdenia australis,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Marsdenia geminata (R.Br.) P.I.Forst.,Nano_2011,Marsdenia geminata,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Marsdenia glandulifera C.T.White,Nano_2011,Marsdenia glandulifera,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Marsdenia hemiptera Rchb.f.,Nano_2011,Marsdenia hemiptera,match_10_fuzzy. Imprecise fuzzy alignment with known canonical name in APC (2023-06-18),Species
Marsdenia velutina R.Br.,Nano_2011,Marsdenia velutina,match_10_fuzzy. Imprecise fuzzy alignment with known canonical name in APC (2023-06-18),Species
Marsdenia viridiflora R.Br. subsp. tropica P.I.Forst.,Nano_2011,Marsdenia viridiflora,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Marsilea drummondii A.Braun,Nano_2011,Marsilea drummondii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Marsilea exarata A.Braun,Nano_2011,Marsilea exarata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Marsilea latzii D.L.Jones,Nano_2011,Marsilea latzii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Marsilea mutica Mett.,Nano_2011,Marsilea mutica,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Meiogyne cylindrocarpa (Burck) Heusden,Nano_2011,Meiogyne cylindrocarpa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Melaleuca argentea W.Fitzg.,Nano_2011,Melaleuca argentea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Melaleuca bracteata F.Muell.,Nano_2011,Melaleuca bracteata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Melaleuca cajuputi Powell,Nano_2011,Melaleuca cajuputi,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Melaleuca cornucopiae Byrnes,Nano_2011,Melaleuca cornucopiae,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Melaleuca faucicola Craven,Nano_2011,Melaleuca faucicola,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Melaleuca glomerata F.Muell.,Nano_2011,Melaleuca glomerata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Melaleuca lasiandra F.Muell.,Nano_2011,Melaleuca lasiandra,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Melaleuca leucadendra (L.) L.,Nano_2011,Melaleuca leucadendra,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Melaleuca minutifolia F.Muell.,Nano_2011,Melaleuca minutifolia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Melaleuca nervosa (Lindl.) Cheel,Nano_2011,Melaleuca nervosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Melaleuca nervosa s.lat.,Nano_2011,Melaleuca nervosa,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Melaleuca sericea Byrnes,Nano_2011,Melaleuca sericea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Melaleuca stipitata Craven,Nano_2011,Melaleuca stipitata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Melaleuca triumphalis Craven,Nano_2011,Melaleuca triumphalis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Melaleuca viridiflora Sol. ex Gaertn.,Nano_2011,Melaleuca viridiflora,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Melastoma malabathricum L. subsp. malabathricum,Nano_2011,Melastoma malabathricum,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Melhania oblongifolia F.Muell.,Nano_2011,Melhania oblongifolia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Melia azedarach L.,Nano_2011,Melia azedarach,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Melicope elleryana (F.Muell.) T.G.Hartley,Nano_2011,Melicope elleryana,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Melinis repens (Willd.) Zizka,Nano_2011,Melinis repens,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Melochia corchorifolia L.,Nano_2011,Melochia corchorifolia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Melodinus forbesii Fawc.,Nano_2011,Melodinus forbesii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Memecylon arnhemensis Whiffin,Nano_2011,Memecylon arnhemensis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Memecylon pauciflorum Blume,Nano_2011,Memecylon pauciflorum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Menkea sphaerocarpa F.Muell.,Nano_2011,Menkea sphaerocarpa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Menkea villosula (F.Muell. & Tate) J.M.Black,Nano_2011,Menkea villosula,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Merremia gemella (Burm.f.) Hallier f.,Nano_2011,Merremia gemella,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Merremia hederacea (Burm.f.) Hallier f.,Nano_2011,Merremia hederacea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Merremia incisa (R.Br.) Hallier f.,Nano_2011,Merremia incisa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Mesosphaerum suaveolens (L.) Kuntze,Nano_2011,Mesosphaerum suaveolens,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Micraira dentata Lazarides,Nano_2011,Micraira dentata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Micraira tenuis Lazarides,Nano_2011,Micraira tenuis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Microlepia speluncae (L.) T.Moore,Nano_2011,Microlepia speluncae,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Micromelum minutum (G.Forst.) Wight & Arn.,Nano_2011,Micromelum minutum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Micromyrtus flaviflora (F.Muell.) F.Muell. ex J.M.Black,Nano_2011,Micromyrtus flaviflora,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Microsorum grossum (Langsd. & Fisch.) S.B.Andrews,Nano_2011,Microsorum grossum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Microstachys chamaelea (L.) A.Juss. ex Hook.f.,Nano_2011,Microstachys chamaelea,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Miliusa brahei (F.Muell.) Jessup,Nano_2011,Miliusa brahei,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Miliusa traceyi Jessup,Nano_2011,Miliusa traceyi,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Mimusops elengi L.,Nano_2011,Mimusops elengi,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Minuria integerrima (DC.) Benth.,Nano_2011,Minuria integerrima,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Minuria tridens (D.A.Cooke) Lander,Nano_2011,Minuria tridens,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Mirbelia viminalis (A.Cunn. ex Benth.) C.A.Gardner,Nano_2011,Mirbelia viminalis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Mischocarpus stipitatus S.T.Reynolds,Nano_2011,Mischocarpus stipitatus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Mitrasacme connata R.Br.,Nano_2011,Mitrasacme connata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Mitrasacme exserta F.Muell.,Nano_2011,Mitrasacme exserta,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Mitrasacme floribunda Dunlop,Nano_2011,Mitrasacme floribunda,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Mitrasacme glaucescens Dunlop,Nano_2011,Mitrasacme glaucescens,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Mitrasacme laevis Benth.,Nano_2011,Mitrasacme laevis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Mitrasacme nummularia S.Moore,Nano_2011,Mitrasacme nummularia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Mitrasacme retroloba Dunlop,Nano_2011,Mitrasacme retroloba,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Mitreola petiolata (J.F.Gmel.) Torr. & A.Gray,Nano_2011,Mitreola petiolata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Mnesithea formosa (R.Br.) de Koning & Sosef,Nano_2011,Mnesithea formosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Mnesithea rottboellioides (R.Br.) de Koning & Sosef,Nano_2011,Mnesithea rottboellioides,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Molineria capitulata (Lour.) Herbert,Nano_2011,Molineria capitulata,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Monachather paradoxus Steud.,Nano_2011,Monachather paradoxus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Monoon australe (Benth.) B.Xue & R.M.K.Saunders,Nano_2011,Monoon australe,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Monotaxis tenuis Airy Shaw,Nano_2011,Monotaxis tenuis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Morinda citrifolia L.,Nano_2011,Morinda citrifolia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Mucuna gigantea (Willd.) DC. subsp. gigantea,Nano_2011,Mucuna gigantea subsp. gigantea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Subspecies
Muehlenbeckia sp. Mt Brockman (L.A.Craven 2357) Short & Cowie,Nano_2011,Muehlenbeckia sp. Mt Brockman (L.A.Craven 2357),match_12. Automatic alignment with infraspecific canonical name in APC accepted when notes are ignored (2023-06-18),Species
Muniria quadrangulata (Munir) N.Streiber & B.J.Conn,Nano_2011,Muniria quadrangulata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Murdannia graminea (R.Br.) A.Bruckn.,Nano_2011,Murdannia graminea,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Murraya paniculata (L.) Jack,Nano_2011,Murraya paniculata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Myoporum montanum R.Br.,Nano_2011,Myoporum montanum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Myriocephalus rudallii (F.Muell.) Benth.,Nano_2011,Myriocephalus rudallii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Myristica insipida R.Br.,Nano_2011,Myristica insipida,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Myrsine benthamiana (Mez) A.J.Ewart,Nano_2011,Myrsine benthamiana,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Myrsine pedicellata Jackes,Nano_2011,Myrsine pedicellata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Nauclea orientalis (L.) L.,Nano_2011,Nauclea orientalis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Nelsonia campestris R.Br.,Nano_2011,Nelsonia campestris,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Neolitsea brassii Allen,Nano_2011,Neolitsea brassii,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Nephrolepis acutifolia (Desv.) C.Chr.,Nano_2011,Nephrolepis acutifolia,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Nephrolepis hirsutula (G.Forst.) C.Presl,Nano_2011,Nephrolepis hirsutula,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Neptunia dimorphantha Domin,Nano_2011,Neptunia dimorphantha,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Neptunia monosperma F.Muell. ex Benth.,Nano_2011,Neptunia monosperma,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Nervilia aragoana Gaudich.,Nano_2011,Nervilia aragoana,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Nervilia crociformis (Zoll. & Mor.) Seidenf.,Nano_2011,Nervilia crociformis,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Nervilia dallachyana (Benth.) Schltr.,Nano_2011,Nervilia dallachyana,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Nervilia holochila (F.Muell.) Schltr.,Nano_2011,Nervilia holochila,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Nervilia peltata B.Gray & D.L.Jones,Nano_2011,Nervilia peltata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Neurachne munroi (F.Muell.) F.Muell.,Nano_2011,Neurachne munroi,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Neurachne tenuifolia S.T.Blake,Nano_2011,Neurachne tenuifolia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Newcastelia bracteosa F.Muell.,Nano_2011,Newcastelia bracteosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Newcastelia cephalantha F.Muell.,Nano_2011,Newcastelia cephalantha,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Newcastelia spodiotricha F.Muell.,Nano_2011,Newcastelia spodiotricha,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
