find,dataset_id,replace,reason,taxonomic_resolution
Acacia hammondii Maiden,Nano_2011,Acacia hammondii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia hemignosta F.Muell.,Nano_2011,Acacia hemignosta,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia hilliana Maiden,Nano_2011,Acacia hilliana,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia holosericea A.Cunn. ex G.Don,Nano_2011,Acacia holosericea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia humifusa A.Cunn. ex Benth.,Nano_2011,Acacia humifusa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia inaequilatera Domin,Nano_2011,Acacia inaequilatera,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia jasperensis Maconochie,Nano_2011,Acacia jasperensis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia kelleri F.Muell.,Nano_2011,Acacia kelleri,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia kempeana F.Muell.,Nano_2011,Acacia kempeana,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia laccata Pedley,Nano_2011,Acacia laccata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia lamprocarpa O.Schwarz,Nano_2011,Acacia lamprocarpa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia latescens Benth.,Nano_2011,Acacia latescens,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia latzii Maslin,Nano_2011,Acacia latzii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia leptocarpa A.Cunn. ex Benth,Nano_2011,Acacia leptocarpa,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Acacia leptophleba F.Muell.,Nano_2011,Acacia leptophleba,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Acacia ligulata A.Cunn. ex Benth.,Nano_2011,Acacia ligulata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia linarioides Benth.,Nano_2011,Acacia linarioides,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia lycopodiifolia A.Cunn. ex Hook.,Nano_2011,Acacia lycopodiifolia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia lysiphloia F.Muell.,Nano_2011,Acacia lysiphloia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia macdonnellensis Maconochie subsp. macdonnellensis,Nano_2011,Acacia macdonnellensis subsp. macdonnellensis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Subspecies
Acacia maconochieana Pedley,Nano_2011,Acacia maconochieana,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia maitlandii F.Muell.,Nano_2011,Acacia maitlandii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia mangium Willd.,Nano_2011,Acacia mangium,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia megalantha F.Muell.,Nano_2011,Acacia megalantha,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia melleodora Pedley,Nano_2011,Acacia melleodora,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia mimula Pedley,Nano_2011,Acacia mimula,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia minyura Randell,Nano_2011,Acacia minyura,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia monticola J.M.Black,Nano_2011,Acacia monticola,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia mountfordiae Specht,Nano_2011,Acacia mountfordiae,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia multisiliqua (Benth.) Maconochie,Nano_2011,Acacia multisiliqua,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia multistipulosa Tindale & Bedward,Nano_2011,Acacia multistipulosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia murrayana F.Muell. ex Benth.,Nano_2011,Acacia murrayana,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia neurocarpa A.Cunn. ex Hook.,Nano_2011,Acacia neurocarpa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia nuperrima Baker f.,Nano_2011,Acacia nuperrima,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia oligoneura F.Muell.,Nano_2011,Acacia oligoneura,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
