Material,Species,rep,MassLoss_12 (%),MassLoss_24 (%),Bark dry_massFlamm (g),Bark thicknFlam (mm),dry_massFlam (g),FMC (%odw),TTI (s),FD (s),SD (s),TBT (s),Combustibility (mg/s),FD/mass (s/g),SD/mass (s/g),Bark thickness (mm),Bark area (cm2),Bark dry mass (g),Bark volume (cm3),Bark density (g/cm3),Bark MaxFlexLoad (Newton),Bark MFLperTHICKN (N/mm),BAM (cm2/g),Bark Energy (MJ/kg),Bark C (wght %),Bark N (wght %),Bark Al (mg/kg),Bark B (mg/kg),Bark Ca (wght %),Bark Cu (mg/kg),Bark Fe (mg/kg),Bark K (wght %),Bark Mg (wght %),Bark Mn (mg/kg),Bark Na (mg/kg),Bark P (mg/kg),Bark S (wght %),Bark Zn (mg/kg),Bark Lignin (wght %),Bark Cellulose (wght %),Bark Ash (wght %),Bark Free Tannins (wt%),Bark Bound Tannins (wt%),Bark Total Tannins (wt%)
BARK,Ang_his,7,21.77175949,60.11960909,6.10000000,1.98000000,0.23828288,,3.30000000,34.00000000,25.50000000,59.50000000,4.59000000,142.68754974,107.01566231,0.91333333,14.00000000,0.27500000,0.15789000,1.74171892,6.68700000,4.68000000,50.90909091,19.56645000,45.88000000,0.19030000,174.51122145,40.74379345,0.18615800,6.27616683,157.73833168,0.01538931,0.08767942,16.29523337,237.12770606,57.65203575,0.30829563,168.83545184,44.96157131,38.08710504,0.12809564,2.90044526,2.19687571,5.09732097
BARK,Ang_his,8,10.53451304,42.17323956,14.10000000,6.23000000,1.06310822,,5.00000000,31.50000000,162.00000000,193.50000000,6.29000000,29.63009717,152.38335687,2.19000000,17.90000000,0.79400000,0.75982000,1.04498434,16.19000000,10.45000000,22.54408060,,,,,,,,,,,,,,,,,,,,,
BARK,Ang_his,9,,42.71118005,12.50000000,2.67000000,0.68255388,,6.20000000,13.30000000,102.20000000,115.50000000,6.77000000,19.48564105,149.73176810,2.62666667,15.10000000,0.73600000,1.86129000,0.39542468,26.08300000,14.74000000,20.51630435,,,,,,,,,,,,,,,,,,,,,
BARK,Cor_gum,1,8.04807395,26.37989618,12.16220000,0.78000000,0.53375813,12.21083455,6.80000000,34.00000000,86.00000000,120.00000000,5.07000000,63.69926442,161.12166883,1.16666667,6.40000000,0.24400000,2.05300000,0.11885046,20.53000000,21.84000000,26.22950820,20.38830000,50.10000000,0.19610000,143.77595392,32.52123830,0.06488176,4.07177826,163.13282937,0.01342996,0.03363249,8.84312455,235.18041757,35.69798416,0.12329640,12.10431965,43.75471698,39.86792453,0.90566038,7.19133425,5.40010812,12.59144237
BARK,Cor_gum,2,7.25214313,21.91434502,12.63760000,0.98000000,0.60135578,,9.70000000,35.60000000,90.70000000,126.30000000,5.42000000,59.19956370,150.82585471,1.24333333,14.40000000,0.76900000,4.10200000,0.18746953,20.15700000,23.71000000,18.72561769,19.22435000,49.05000000,0.06230000,60.99807229,41.40642570,0.07144033,6.39526104,76.53983936,0.01294737,0.02220717,12.53405622,197.08803213,24.72586345,0.12795719,10.36265060,48.87307236,36.20007908,1.32463424,13.55341903,6.31293465,19.86635368
BARK,Cor_gum,3,4.00976032,28.82772799,8.87060000,0.82000000,0.44509107,,5.40000000,44.50000000,62.90000000,107.40000000,4.72000000,99.97953929,141.31939373,1.29666667,11.70000000,0.51800000,0.60200000,0.86046512,23.48900000,27.96000000,22.58687259,20.33290000,50.49000000,0.16430000,126.12627570,49.82460015,0.05897283,4.99733435,172.91051028,0.01555356,0.02307478,5.79741051,293.71713633,18.23160701,0.13465933,8.13054075,56.77887298,34.72196392,0.96708202,6.21780712,2.24680101,8.46460813
BARK,Cor_gum,4,5.77867641,17.84091397,13.03310000,1.12000000,0.71548170,,10.20000000,16.60000000,109.40000000,126.00000000,6.47000000,23.20115251,152.90398098,1.91333333,17.80000000,1.35800000,1.67900000,0.80881477,41.39100000,39.80000000,13.10751105,21.11970000,48.75000000,0.06590000,35.23750000,7.79166667,0.05229411,5.59660853,56.92209302,0.01710634,0.02340017,4.02761628,169.29612403,26.07916667,0.15666638,34.41211240,39.00845503,41.89085319,0.07686395,6.68783764,1.16541350,7.85325114
BARK,Cor_gum,5,6.60680063,30.93513955,10.22150000,0.73000000,0.43016691,,6.30000000,32.60000000,44.30000000,76.90000000,6.37000000,75.78453663,102.98328137,1.13000000,10.10000000,0.40400000,0.38700000,1.04392765,24.30800000,34.73000000,25.00000000,20.34275000,48.69000000,0.09560000,80.29743590,22.53479853,0.05398313,5.72847985,133.28250916,0.00890429,0.02399536,3.62545788,206.01428571,29.37115385,0.14610778,16.61282051,47.32839704,38.22293376,0.14008405,8.38871787,7.55998746,15.94870534
BARK,Cor_gum,6,8.29223621,28.73083907,10.70610000,0.76000000,0.44596896,,5.20000000,11.40000000,64.10000000,75.50000000,6.73000000,25.56231714,143.73197617,0.86333333,10.20000000,0.31300000,0.54800000,0.57116788,29.49900000,35.97000000,32.58785942,20.02735000,46.59000000,0.15860000,80.99122257,35.53761755,0.05816090,5.81786834,86.74098746,0.01217874,0.02083461,3.86708464,182.96520376,18.27507837,0.11779914,13.25697492,41.84510706,39.08345007,0.82049230,9.84136047,7.03626520,16.87762567
BARK,Cor_gum,7,5.81387209,27.63184904,7.90140000,0.84000000,0.42753324,,4.50000000,27.90000000,71.20000000,99.10000000,4.91000000,65.25808445,166.53676030,1.14333333,9.60000000,0.41800000,0.67400000,0.62017804,25.75900000,31.41000000,22.96650718,20.27785000,48.72000000,0.12710000,82.87901907,19.31516803,0.04651152,5.55367847,113.44005450,0.01379972,0.01977304,6.34305177,218.12679382,21.64114441,0.12893342,11.31380563,42.11531119,46.58266514,0.68728522,11.44234541,6.26584247,17.70818788
BARK,Cor_gum,8,,27.01296699,14.57830000,0.75000000,0.55131596,,7.40000000,25.20000000,69.90000000,95.10000000,6.60000000,45.70881649,126.78755051,1.32000000,8.00000000,0.35400000,0.47600000,0.74369748,30.33100000,44.60000000,22.59887006,,,,,,,,,,,,,,,,,,,,,
BARK,Cor_gum,9,7.61246908,31.02499018,11.29360000,1.05000000,0.44509107,,6.10000000,16.80000000,63.20000000,80.00000000,6.34000000,37.74508449,141.99341310,1.00666667,18.00000000,0.78100000,1.53700000,0.50813273,30.82600000,22.67000000,23.04737516,,,,,,,,,,,,,,,,,,,,,
BARK,Cor_macu,1,,74.91409018,13.70000000,1.52000000,0.52736486,12.75588931,6.70000000,10.30000000,58.50000000,68.80000000,8.79000000,19.53106982,110.92889171,1.49000000,13.70000000,0.47000000,0.98400000,0.47764228,10.35400000,7.34000000,29.14893617,19.02775000,44.56000000,0.12580000,76.60485339,47.04954499,0.14338219,2.60889788,15.61223458,0.07337271,0.06235999,10.79191102,791.77108190,72.72861476,0.09111901,15.76976744,23.42071336,50.77352815,0.10743446,12.23398456,1.98201662,14.21600118
BARK,Cor_macu,2,30.41992921,82.19216276,9.90000000,1.16000000,0.41753350,12.90861813,7.30000000,12.00000000,66.90000000,78.90000000,6.07000000,28.74020855,160.22666265,2.32333333,10.10000000,0.68800000,1.82800000,0.37636761,15.57900000,11.54000000,14.68023256,18.67960000,43.49000000,0.17420000,23.75410485,20.99406528,0.12591041,0.72354105,11.88971316,0.11068735,0.07604483,21.40069238,2344.11632047,54.58516320,0.07854273,11.59416419,14.12680756,53.03670745,0.08898776,5.17855864,0.95371828,6.13227692
BARK,Cor_macu,3,27.03424637,76.75899068,11.60000000,1.86000000,0.80891669,,8.50000000,22.50000000,130.50000000,153.00000000,6.07000000,27.81497823,161.32687376,2.19333333,11.90000000,0.73800000,1.62200000,0.45499383,22.68700000,14.45000000,16.12466125,18.97465000,45.60000000,0.08550000,28.36628131,14.14258189,0.14732841,2.25838150,18.31926782,0.23020157,0.07923566,20.41435453,985.18458574,43.79672447,0.07831859,13.98371869,17.04545455,55.72727273,0.15909091,3.37951583,0.83814921,4.21766505
BARK,Cor_macu,4,30.31966168,64.05768797,10.10000000,1.42000000,0.41056008,,6.30000000,8.70000000,47.30000000,56.00000000,8.41000000,21.19056459,115.20847187,1.90000000,13.00000000,0.59100000,1.43700000,0.41127349,17.41600000,8.66000000,21.99661591,18.98925000,46.39000000,0.14220000,37.62521327,30.33459716,0.08153028,2.02379147,36.54246445,0.10935538,0.11223848,18.08815166,1252.87355450,69.93099526,0.06855573,13.48502370,23.27377013,52.74652548,0.11030223,3.31044050,1.64645573,4.95689623
BARK,Cor_macu,5,17.30803396,69.86946011,12.50000000,1.71000000,0.62673610,,4.90000000,34.50000000,73.80000000,108.30000000,6.64000000,55.04709276,117.75291147,2.27333333,9.80000000,0.63300000,1.64300000,0.38527085,25.17400000,9.26000000,15.48183254,18.89365000,46.54000000,0.11020000,30.71957130,8.97949674,0.06859026,2.43299161,16.40055918,0.23309267,0.09614096,14.88564772,694.17204101,42.47986952,0.06888686,9.33774464,21.31696429,55.62500000,0.20089286,4.88572253,0.00000000,4.88572253
BARK,Cor_macu,6,32.78198406,64.99572641,13.90000000,1.84000000,0.92833650,,12.70000000,19.10000000,124.30000000,143.40000000,7.43000000,20.57443615,133.89541431,2.07333333,13.40000000,0.92600000,2.10900000,0.43907065,16.40100000,9.65000000,14.47084233,18.69330000,45.12000000,0.11350000,19.10786408,10.53980583,0.24571667,2.92582524,12.55718447,0.17006411,0.12476926,35.57427184,1029.72000000,81.37854369,0.05937806,5.15252427,15.49725442,54.89119382,0.18303844,2.93309742,0.65559952,3.58869694
BARK,Cor_macu,7,29.87322462,66.62860167,10.90000000,2.32000000,0.67031997,,3.20000000,23.10000000,95.70000000,118.80000000,6.47000000,34.46115448,142.76763999,2.23666667,9.60000000,0.56900000,1.35600000,0.41961652,20.89700000,9.50000000,16.87170475,19.06435000,46.88000000,0.14550000,23.23438369,13.10009268,0.26603087,2.47071362,52.88989805,0.09132771,0.09114767,32.61621872,606.41853568,79.14874884,0.05736089,14.21668211,20.18972984,53.61930295,0.14435966,3.26924569,1.38617946,4.65542515
BARK,Cor_macu,8,25.91591803,52.09104370,13.30000000,1.53000000,0.50818796,,4.10000000,9.60000000,103.40000000,113.00000000,5.16000000,18.89064823,203.46802359,1.47333333,10.00000000,0.38200000,0.97600000,0.39139344,11.51300000,8.86000000,26.17801047,,,,,,,,,,,,,,,,,,,,,
BARK,Cor_macu,9,28.71429297,89.55992201,14.30000000,2.03000000,0.95710185,,8.20000000,34.30000000,128.10000000,162.40000000,6.76000000,35.83735613,133.84155453,1.74333333,10.60000000,0.56800000,1.27000000,0.44724409,23.13900000,22.69000000,18.66197183,,,,,,,,,,,,,,,,,,,,,
BARK,Euc_euge,1,34.94339044,75.98199354,15.80000000,6.32000000,1.45394300,11.66476299,2.60000000,48.20000000,143.60000000,191.80000000,8.59000000,33.15123086,98.76590772,3.41666667,18.60000000,1.12800000,4.51900000,0.24961275,14.80200000,10.50000000,16.48936170,18.45015000,44.74000000,0.11080000,187.83603604,26.94922195,0.01576096,1.65544636,179.11179361,0.00731812,0.01090181,5.92309582,105.75724816,42.05855856,0.13483759,262.13128583,34.99702911,45.91008120,0.85165379,1.09196462,0.14188419,1.23384881
BARK,Euc_euge,2,27.16396244,45.08419975,16.30000000,5.93000000,1.45041401,11.88584401,1.00000000,90.10000000,190.70000000,280.80000000,5.85000000,62.12019420,131.47970071,7.03000000,21.20000000,2.27700000,9.24900000,0.24618878,8.86700000,3.55000000,9.31049627,18.67980000,45.59000000,0.12340000,134.72352352,25.80580581,0.01539529,6.05935936,152.92742743,0.00613472,0.00991217,3.69819820,49.64554555,29.95815816,0.15891061,68.79159159,27.26352036,49.03787725,0.28357302,1.80208039,0.28913144,2.09121183
BARK,Euc_euge,3,20.60714531,39.87270556,13.00000000,3.80000000,0.60786816,,3.30000000,15.20000000,99.70000000,114.90000000,6.00000000,25.00542227,164.01582900,5.41333333,13.40000000,0.98500000,6.13700000,0.16050187,9.64000000,5.99000000,13.60406091,18.93090000,45.73000000,0.23160000,169.91713147,15.72609562,0.01464692,2.13356574,152.80229084,0.00714327,0.01102711,4.18386454,50.66792829,39.83286853,0.15469691,136.77121514,31.70891608,38.72377622,0.32779720,2.12504083,0.41930624,2.54434707
BARK,Euc_euge,4,17.44176846,46.42751490,14.20000000,4.50000000,1.10104421,,2.40000000,39.90000000,131.90000000,171.80000000,7.26000000,36.23832681,119.79537109,14.06333333,17.70000000,3.65200000,18.64700000,0.19584920,11.69400000,4.96000000,4.84665936,18.89245000,46.62000000,0.08380000,71.59336735,26.01224490,0.01067099,2.03357143,127.96581633,0.00636735,0.00742016,2.27826531,47.48979592,39.76632653,0.14307929,143.11357143,26.79293467,50.58523090,0.06384337,1.36242193,0.21557366,1.57799560
BARK,Euc_euge,5,,82.95539461,12.70000000,3.40000000,0.97047166,,2.70000000,29.60000000,103.60000000,133.20000000,8.26000000,30.50063302,106.75221556,4.17333333,13.40000000,0.99000000,2.72500000,0.36330275,31.14100000,14.09000000,13.53535354,19.13430000,44.84000000,0.30360000,292.00077220,13.72393822,0.01563235,3.25897683,223.93870656,0.00960645,0.01065970,4.47750965,45.39787645,67.25704633,0.14730666,30.62934363,28.49253426,55.34874207,0.24544897,0.80136016,0.27544731,1.07680746
BARK,Euc_euge,6,15.44126677,74.90502854,16.80000000,4.12000000,2.06534015,,2.70000000,44.40000000,181.10000000,225.50000000,10.38000000,21.49766958,87.68531442,5.71333333,14.40000000,2.25400000,4.46900000,0.50436339,16.51400000,6.77000000,6.38864241,19.50460000,45.28000000,0.14580000,166.45160745,15.06175973,0.01535790,2.84060914,159.54272420,0.00685898,0.00826787,2.25050761,88.59272420,43.23587140,0.12738892,514.40972927,47.03961689,36.24292556,0.26121027,3.27988786,0.29435217,3.57424003
BARK,Euc_euge,7,49.38130149,71.22205091,14.00000000,3.86000000,1.04281591,,3.10000000,33.70000000,173.50000000,207.20000000,5.70000000,32.31634615,166.37644085,8.48333333,15.90000000,1.94800000,9.18600000,0.21206183,17.40800000,5.80000000,8.16221766,18.52185000,44.82000000,0.11370000,156.92759644,17.56973294,0.02053536,2.25430267,178.01829871,0.00782700,0.01270737,6.08664688,61.19940653,36.22413452,0.12933699,7.58635015,24.42579505,54.90282686,0.26501767,0.84995396,0.13981124,0.98976520
BARK,Euc_euge,8,23.37034843,62.34285159,13.30000000,3.56000000,0.98282312,,4.30000000,25.60000000,176.10000000,201.70000000,5.52000000,26.04741332,179.17771428,8.24333333,13.30000000,1.75700000,7.27200000,0.24161166,8.05600000,2.08000000,7.56972112,,,,,,,,,,,,,,,,,,,,,
BARK,Euc_euge,9,24.61300392,47.17725422,12.40000000,5.30000000,1.52716950,,4.30000000,51.30000000,212.60000000,263.90000000,6.56000000,33.59155622,139.21179051,7.41666667,12.20000000,1.89100000,6.10700000,0.30964467,33.38200000,11.32000000,6.45161290,,,,,,,,,,,,,,,,,,,,,
BARK,Euc_haem,1,7.46396460,68.78618956,10.80000000,1.73000000,0.70594077,13.14737574,8.80000000,42.50000000,96.70000000,139.20000000,5.86000000,60.20335085,136.98033005,2.17666667,10.10000000,0.78600000,1.59000000,0.49433962,22.42900000,15.80000000,12.84987277,18.99355000,46.61000000,0.08280000,22.06036249,25.24586288,0.09148165,1.26446020,24.43845548,0.07961901,0.11876348,17.61749409,701.43546099,21.20851064,0.09498873,6.25516154,35.37243613,50.44980209,0.00000000,2.59418976,4.91613906,7.51032883
BARK,Euc_haem,2,11.86251187,30.56188040,12.80000000,1.31000000,0.84868615,13.82792514,7.20000000,26.00000000,125.10000000,151.10000000,6.49000000,30.63558893,147.40431444,2.07333333,13.80000000,0.85600000,1.66600000,0.51380552,16.65100000,9.00000000,16.12149533,19.01985000,46.49000000,0.06260000,47.72588339,26.44699647,0.27710097,3.06086572,17.47888693,0.14934049,0.14569480,12.36775618,1058.11095406,17.42712014,0.10905539,7.04549470,51.64109122,31.13810742,0.02131287,2.90952698,4.10001247,7.00953946
BARK,Euc_haem,3,,43.16522425,12.00000000,1.81000000,0.92135652,,15.90000000,20.50000000,125.60000000,146.10000000,7.29000000,22.24980178,136.32073675,2.18333333,10.70000000,0.84900000,2.05500000,0.41313869,32.95300000,20.99000000,12.60306243,19.04330000,45.51000000,0.09020000,40.81175355,21.97061611,0.18572333,2.76985782,21.59488152,0.05222648,0.08979441,10.42056872,499.67355450,33.04255924,0.10416085,30.86208531,28.52408308,51.12682280,0.00000000,4.92310979,5.41064524,10.33375503
BARK,Euc_haem,4,12.16692517,28.57049899,9.90000000,1.39000000,0.59260959,,9.50000000,17.70000000,88.10000000,105.80000000,6.47000000,29.86789307,148.66448471,1.19666667,9.60000000,0.27800000,0.60300000,0.46102819,15.73200000,18.73000000,34.53237410,19.03565000,45.56000000,0.08650000,36.99408907,6.44453441,0.19001373,1.15991903,12.59902834,0.04785821,0.13800775,10.70550607,404.40858300,26.07546559,0.08901919,7.15554656,31.14119923,49.70986460,0.00000000,2.64900764,4.58204695,7.23105460
BARK,Euc_haem,5,18.87746897,43.71587598,11.70000000,1.07000000,0.53637657,,5.40000000,21.80000000,73.10000000,94.90000000,6.53000000,40.64308795,136.28484997,1.74666667,13.50000000,0.86400000,1.70600000,0.50644783,15.81000000,15.35000000,15.62500000,19.03400000,45.08000000,0.02460000,18.34688857,29.42257598,0.19778827,2.70123010,6.16997106,0.14273389,0.10004962,6.52069465,1250.84775687,16.36584660,0.07655912,1.35774240,44.48544485,41.43091431,0.06150062,5.98912919,5.54451532,11.53364450
BARK,Euc_haem,6,15.31472480,53.04313653,10.80000000,1.53000000,0.60126083,,6.50000000,25.50000000,92.10000000,117.60000000,5.91000000,42.41087853,153.17811420,2.21000000,15.10000000,1.28400000,2.15900000,0.59471978,28.96000000,15.24000000,11.76012461,19.25930000,45.27000000,0.04330000,35.21412380,9.17436792,0.13127762,9.21926765,34.01490846,0.02398800,0.05273324,6.26730602,215.37628596,20.21272886,0.08375388,9.86120314,34.62012320,50.24640657,0.02053388,1.86706098,0.38526062,2.25232160
BARK,Euc_haem,7,16.40257053,35.79057366,11.90000000,1.83000000,1.07707875,,12.10000000,85.60000000,103.40000000,189.00000000,6.59000000,79.47422585,96.00040833,1.87000000,10.20000000,0.45700000,1.05100000,0.43482398,21.51600000,15.05000000,22.31947484,18.98430000,48.16000000,0.05980000,28.21370124,9.30732636,0.20520892,3.72730733,26.44034253,0.05004691,0.10336064,43.51588963,481.94823977,21.62863939,0.08516337,20.36803045,38.39362618,51.11972438,0.19379845,4.19895296,15.29647801,19.49543097
BARK,Euc_haem,8,18.97525324,45.14783293,12.40000000,1.25000000,0.78380189,,10.40000000,33.00000000,79.00000000,112.00000000,8.09000000,42.10247582,100.79077546,1.53000000,10.10000000,0.68800000,1.11500000,0.61704036,29.41400000,20.86000000,14.68023256,,,,,,,,,,,,,,,,,,,,,
BARK,Euc_haem,9,21.78300697,51.87590368,12.50000000,2.09000000,1.06323678,,11.80000000,59.80000000,145.60000000,205.40000000,5.98000000,56.24335176,136.94033471,1.23000000,10.10000000,0.43600000,0.83600000,0.52153110,13.06100000,12.44000000,23.16513761,,,,,,,,,,,,,,,,,,,,,
