species,entity_type,individual_code,leaf_replicate,live_or_dead,Species,Sampled,individual,date,location_name,SWC,Po (MPa),YTLP (MPa),RWCTLP ,e (MPa),CFT (MPa-1),CTLP (MPa-1),CFT* (mol m-2 MPa-1),Leaf dry mass(g),Leaf area (cm2),LMA (gm-2),P88 (Mpa),MS (%),MT (%),ML (%),Moisture_content - Flaming,Moisture_content - Non-flaming,Leaf area (cm2) Flaming,Leaf area (cm2) Non-flaming,Time to ignition (s) Flaming ,Time to ignition (s) Non-flaming,Combustion time (s)Flaming,Combustion time (s) Non-flaming,est. dry mass (g),mass after rehy (g),mass when burned (g),leaf water potential (MPa),time to smoke (s),flame (y/n),time to flame (s),flame duration (s),time to ash (s)
Eucalyptus fibrosa,individual,fib_10,2a,,E. fibrosa,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.543,,203.6224547,,,,,,,,,,,,,,,,,,,,,
Eucalyptus fibrosa,individual,fib_10,9a,,E. fibrosa,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.464,,197.2369819,,,,,,,,,,,,,,,,,,,,,
Eucalyptus fibrosa,individual,fib_10,10,,E. fibrosa,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.561,,195.1847471,,,,,,,,,,,,,,,,,,,,,
Eucalyptus fibrosa,individual,fib_10,11,,E. fibrosa,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.581,,210.8816377,,,,,,,,,,,,,,,,,,,,,
Eucalyptus fibrosa,individual,fib_10,9b,,E. fibrosa,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.771,,235.974658,,,,,,,,,,,,,,,,,,,,,
Eucalyptus fibrosa,individual,fib_10,7,,E. fibrosa,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,1.106,,226.5232975,,,,,,,,,,,,,,,,,,,,,
Eucalyptus fibrosa,individual,fib_10,8,,E. fibrosa,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.664,,225.7658699,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,individual,ter_1,2,,E. tereticornis,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.427,,96.19238477,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,individual,ter_1,4,,E. tereticornis,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.417,,92.50465963,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,individual,ter_1,5,,E. tereticornis,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.373,,93.64943685,,,,,,,,,,,,,,,,,,,,,
Eucalyptus tereticornis,individual,ter_5,1b,,E. tereticornis,Jan '23,,,Hawkesbury Institute for the Environment,,,,,,,,,0.301,,90.76927716,,,,,,,,,,,,,,,,,,,,,
