Taxon,trait value,trait,units,primary_source_id,metadata_id
Setaria dielsii,ephemeral,flowering time,NA,78,81
Sporobolus australasicus,ephemeral,flowering time,NA,78,81
Sporobolus blakei,ephemeral,flowering time,NA,78,81
Sporobolus caroli,ephemeral,flowering time,NA,78,81
Sporobolus contiguus,ephemeral,flowering time,NA,78,81
Sporobolus mitchellii,ephemeral,flowering time,NA,78,81
Deyeuxia talariata,Feb,flowering time,NA,78,81
Digitaria lanceolata,Feb,flowering time,NA,78,81
Eremochloa muricata,feb,flowering time,NA,78,81
Ischaemum polystachyum,feb,flowering time,NA,78,81
Micraira inserta,feb,flowering time,NA,78,81
Poa costiniana,feb,flowering time,NA,78,81
Rytidosperma fortunae-hibernae,feb,flowering time,NA,78,81
Triodia aristiglumis,feb,flowering time,NA,78,81
Digitaria ammophila,feb-apr,flowering time,NA,78,81
Digitaria baileyi,feb-apr,flowering time,NA,78,81
Digitaria hubbardii,feb-apr,flowering time,NA,78,81
Digitaria setigera,feb-apr,flowering time,NA,78,81
Micraira pungens,feb-apr,flowering time,NA,78,81
Yakirra majuscula,feb-apr,flowering time,NA,78,81
Micraira adamsii,feb-apr,flowering time,NA,78,81
Iseilema macratherum,feb-aug,flowering time,NA,78,81
Iseilema windersii,feb-aug,flowering time,NA,78,81
Micraira spiciforma,feb-aug,flowering time,NA,78,81
Panicum lachnophyllum,feb-aug,flowering time,NA,78,81
Paraneurachne muelleri,feb-aug,flowering time,NA,78,81
Paspalidium basicladum,feb-aug,flowering time,NA,78,81
Sporobolus lenticularis,feb-aug,flowering time,NA,78,81
Sylvipoa queenslandica,feb-aug,flowering time,NA,78,81
Urochloa polyphylla,feb-aug,flowering time,NA,78,81
Chamaeraphis hordeacea,feb-jul,flowering time,NA,78,81
Chionachne cyathopoda,feb-jul,flowering time,NA,78,81
Digitaria parviflora,feb-jul,flowering time,NA,78,81
Digitaria porrecta,feb-jul,flowering time,NA,78,81
Echinochloa inundata,feb-jul,flowering time,NA,78,81
Echinochloa kimberleyensis,feb-jul,flowering time,NA,78,81
Eriachne capillaris,feb-jul,flowering time,NA,78,81
Eriochloa australiensis,feb-jul,flowering time,NA,78,81
Eulalia mackinlayi,feb-jul,flowering time,NA,78,81
Mnesithea formosa,feb-jul,flowering time,NA,78,81
Panicum latzii,feb-jul,flowering time,NA,78,81
Paspalidium criniforme,feb-jul,flowering time,NA,78,81
Paspalidium rarum,feb-jul,flowering time,NA,78,81
Pseudopogonatherum contortum,feb-jul,flowering time,NA,78,81
Setaria apiculata,feb-jul,flowering time,NA,78,81
Whiteochloa cymbiformis,feb-jul,flowering time,NA,78,81
Whiteochloa semitonsa,feb-jul,flowering time,NA,78,81
Digitaria ramularis,feb-jun,flowering time,NA,78,81
Eriachne armittii,feb-jun,flowering time,NA,78,81
Eriachne fastigiata,feb-jun,flowering time,NA,78,81
Eriachne semiciliata,feb-jun,flowering time,NA,78,81
Eriochloa crebra,feb-jun,flowering time,NA,78,81
Micraira compacta,feb-jun,flowering time,NA,78,81
Micraira spinifera,feb-jun,flowering time,NA,78,81
Paspalidium globoideum,feb-jun,flowering time,NA,78,81
Setaria oplismenoides,feb-jun,flowering time,NA,78,81
Whiteochloa capillipes,feb-jun,flowering time,NA,78,81
Xerochloa barbata,feb-jun,flowering time,NA,78,81
Yakirra pauciflora,feb-jun,flowering time,NA,78,81
Cymbopogon dependens,feb-mar,flowering time,NA,78,81
Cymbopogon gratus,feb-mar,flowering time,NA,78,81
Digitaria stenostachya,feb-mar,flowering time,NA,78,81
Eragrostis hirticaulis,feb-mar,flowering time,NA,78,81
Micraira dentata,feb-mar,flowering time,NA,78,81
Micraira subspicata,feb-mar,flowering time,NA,78,81
Triodia aeria,feb-mar,flowering time,NA,78,81
Triodia contorta,feb-mar,flowering time,NA,78,81
Triodia uniaristata,feb-mar,flowering time,NA,78,81
Clausospicula extensa,feb-may,flowering time,NA,78,81
Eriachne agrostidea,feb-may,flowering time,NA,78,81
Eriachne ciliata,feb-may,flowering time,NA,78,81
Eriachne rara,feb-may,flowering time,NA,78,81
Homopholis belsonii,feb-may,flowering time,NA,78,81
Mnesithea annua,feb-may,flowering time,NA,78,81
Triodia stenostachya,feb-may,flowering time,NA,78,81
Yakirra nulla,feb-may,flowering time,NA,78,81
Ischaemum muticum,feb-nov,flowering time,NA,78,81
Paspalidium grandispiculatum,feb-nov,flowering time,NA,78,81
Sporobolus pulchellus,feb-nov,flowering time,NA,78,81
Eriachne nervosa,feb-oct,flowering time,NA,78,81
Thaumastochloa major,feb-oct,flowering time,NA,78,81
Urochloa occidentalis,feb-oct,flowering time,NA,78,81
Urochloa occidentalis var. ciliata,feb-oct,flowering time,NA,78,81
Eragrostis sterilis,feb-sep,flowering time,NA,78,81
Eriachne melicacea,feb-sep,flowering time,NA,78,81
Eriachne nodosa,feb-sep,flowering time,NA,78,81
Paspalidium albovillosum,feb-sep,flowering time,NA,78,81
Paspalidium caespitosum,feb-sep,flowering time,NA,78,81
Schizachyrium pseudeulalia,feb-sep,flowering time,NA,78,81
Themeda arguens,feb-sep,flowering time,NA,78,81
Xerochloa imberbis,feb-sep,flowering time,NA,78,81
Poa induta,jan,flowering time,NA,78,81
Poa rodwayi,jan,flowering time,NA,78,81
Poa tenera,jan,flowering time,NA,78,81
Rytidosperma australe,jan,flowering time,NA,78,81
Rytidosperma gracile,jan,flowering time,NA,78,81
Rytidosperma lepidopodum,jan,flowering time,NA,78,81
Rytidosperma nivicola,jan,flowering time,NA,78,81
Rytidosperma penicillatum,jan,flowering time,NA,78,81
Rytidosperma popinensis,jan,flowering time,NA,78,81
Rytidosperma pumilum,jan,flowering time,NA,78,81
Rytidosperma vickeryae,jan,flowering time,NA,78,81
Eremochloa ciliaris,jan/jun,flowering time,NA,78,81
Triodia acutispicula,jan-apr,flowering time,NA,78,81
Triodia pascoeana,jan-apr,flowering time,NA,78,81
Triodia salina,jan-apr,flowering time,NA,78,81
Whiteochloa multiciliata,jan-apr,flowering time,NA,78,81
Digitaria breviglumis,jan-aug,flowering time,NA,78,81
Thaumastochloa pubescens,jan-aug,flowering time,NA,78,81
Urochloa distachya,jan-aug,flowering time,NA,78,81
Urochloa reptans,jan-aug,flowering time,NA,78,81
Deyeuxia affinis,jan-feb,flowering time,NA,78,81
Deyeuxia breviglumis,jan-feb,flowering time,NA,78,81
Digitaria imbricata,jan-feb,flowering time,NA,78,81
Echinopogon intermedius,jan-feb,flowering time,NA,78,81
Echinopogon mckiei,jan-feb,flowering time,NA,78,81
Poa hiemata,jan-feb,flowering time,NA,78,81
Rytidosperma nitens,jan-feb,flowering time,NA,78,81
Rytidosperma oreophilum,jan-feb,flowering time,NA,78,81
Rytidosperma pauciflorum,jan-feb,flowering time,NA,78,81
Digitaria nematostachya,jan-feb/jun-jul,flowering time,NA,78,81
Eragrostis crateriformis,jan-jul,flowering time,NA,78,81
Hygrochloa aquatica,jan-jul,flowering time,NA,78,81
Iseilema eremaeum,jan-jul,flowering time,NA,78,81
Leptaspis banksii,jan-jul,flowering time,NA,78,81
Setaria surgens,jan-jul,flowering time,NA,78,81
Sporobolus disjunctus,jan-jul,flowering time,NA,78,81
Urochloa pubigera,jan-jun,flowering time,NA,78,81
Deyeuxia innominata,jan-mar,flowering time,NA,78,81
Germainia capitata,jan-mar,flowering time,NA,78,81
Hierochloe fraseri,jan-mar,flowering time,NA,78,81
Micraira tenuis,jan-mar,flowering time,NA,78,81
Poa phillipsiana,jan-mar,flowering time,NA,78,81
Rytidosperma nudiflorum,jan-mar,flowering time,NA,78,81
Trisetum spicatum,jan-mar,flowering time,NA,78,81
Trisetum spicatum subsp. australiense,jan-mar,flowering time,NA,78,81
Eragrostis rigidiuscula,jan-may,flowering time,NA,78,81
Eriochloa fatmensis,jan-may,flowering time,NA,78,81
Iseilema calvum,jan-may,flowering time,NA,78,81
Micraira multinervia,jan-may,flowering time,NA,78,81
Ottochloa gracillima,jan-may,flowering time,NA,78,81
Ottochloa nodosa,jan-may,flowering time,NA,78,81
Panicum luzonense,jan-may,flowering time,NA,78,81
Panicum pygmaeum,jan-may,flowering time,NA,78,81
Triodia bynoei,jan-may,flowering time,NA,78,81
Triodia microstachya,jan-may,flowering time,NA,78,81
Eragrostis kennedyae,jan-nov,flowering time,NA,78,81
Schizachyrium fragile,jan-nov,flowering time,NA,78,81
Triodia spicata,jan-nov,flowering time,NA,78,81
Eragrostis tenellula,jan-oct,flowering time,NA,78,81
Eriachne avenacea,jan-oct,flowering time,NA,78,81
Ophiuros exaltatus,jan-oct,flowering time,NA,78,81
Triodia lanigera,jan-oct,flowering time,NA,78,81
Triodia schinzii,jan-oct,flowering time,NA,78,81
Cymbopogon queenslandicus,jan-sep,flowering time,NA,78,81
Digitaria gibbosa,jan-sep,flowering time,NA,78,81
Eriachne pauciflora,jan-sep,flowering time,NA,78,81
Setaria paspalidioides,jan-sep,flowering time,NA,78,81
Eriachne imbricata,jul,flowering time,NA,78,81
Triodia scariosa,jul-apr,flowering time,NA,78,81
Triodia biflora,jul-aug,flowering time,NA,78,81
Hierochloe rariflora,jul-dec,flowering time,NA,78,81
Triodia hubbardii,jul-jan,flowering time,NA,78,81
Ischaemum triticeum,jul-may,flowering time,NA,78,81
Triodia danthonioides,jul-nov,flowering time,NA,78,81
Triodia tomentosa,jul-nov,flowering time,NA,78,81
Eragrostis lanipes,jul-oct,flowering time,NA,78,81
Eriachne triodioides,jul-oct,flowering time,NA,78,81
Germainia truncatiglumis,jul-oct,flowering time,NA,78,81
Neololeba atra,jul-oct,flowering time,NA,78,81
Triodia bromoides,jul-oct,flowering time,NA,78,81
Triodia concinna,jul-sep,flowering time,NA,78,81
Triodia dielsii,jul-sep,flowering time,NA,78,81
Triodia inaequiloba,jul-sep,flowering time,NA,78,81
Schizachyrium mitchelliana,jun,flowering time,NA,78,81
Triodia radonensis,jun,flowering time,NA,78,81
Panicum incomtum,jun-aug,flowering time,NA,78,81
Eragrostis capitula,jun,flowering time,NA,78,81
Eragrostis ecarinata,jun-jul,flowering time,NA,78,81
Micraira viscidula,jun-jul,flowering time,NA,78,81
Triodia triticoides,jun-jul,flowering time,NA,78,81
Urochloa subquadripara,jun-jul,flowering time,NA,78,81
Stenotaphrum micranthum,jun-nov,flowering time,NA,78,81
Eriachne ovata,jun-oct,flowering time,NA,78,81
Triodia helmsii,jun-oct,flowering time,NA,78,81
Iseilema trichopus,mar,flowering time,NA,78,81
Thaumastochloa striata,mar,flowering time,NA,78,81
Triodia prona,mar,flowering time,NA,78,81
Triodia cunninghamii,"mar,sep",flowering time,NA,78,81
Digitaria minima,mar-apr,flowering time,NA,78,81
Echinochloa macrandra,mar-apr,flowering time,NA,78,81
Ischaemum tropicum,mar-apr,flowering time,NA,78,81
Cymbopogon procerus,mar-aug,flowering time,NA,78,81
Digitaria orbata,mar-aug,flowering time,NA,78,81
Eriachne basedowii,mar-aug,flowering time,NA,78,81
Eriachne stipacea,mar-aug,flowering time,NA,78,81
Eriachne sulcata,mar-aug,flowering time,NA,78,81
Iseilema convexum,mar-aug,flowering time,NA,78,81
Iseilema dolichotrichum,mar-aug,flowering time,NA,78,81
Iseilema fragile,mar-aug,flowering time,NA,78,81
Micraira dunlopii,mar-aug,flowering time,NA,78,81
Oplismenus burmannii,mar-aug,flowering time,NA,78,81
Oryza australiensis,mar-aug,flowering time,NA,78,81
Paspalidium distans,mar-aug,flowering time,NA,78,81
Paspalidium jubiflorum,mar-aug,flowering time,NA,78,81
Schizachyrium occultum,mar-aug,flowering time,NA,78,81
Triodia inutilis,mar-aug,flowering time,NA,78,81
Whiteochloa biciliata,mar-aug,flowering time,NA,78,81
Enneapogon cylindricus,mar-aug/ephemeral,flowering time,NA,78,81
Eragrostis desertorum,mar-aug/nov-jan,flowering time,NA,78,81
Echinochloa turneriana,mar-jul,flowering time,NA,78,81
Eriachne burkittii,mar-jul,flowering time,NA,78,81
Eriachne schultziana,mar-jul,flowering time,NA,78,81
Holcolemma dispar,mar-jul,flowering time,NA,78,81
Panicum buncei,mar-jul,flowering time,NA,78,81
Panicum queenslandicum,mar-jul,flowering time,NA,78,81
Panicum queenslandicum var. acuminatum,mar-jul,flowering time,NA,78,81
Panicum queenslandicum var. queenslandicum,mar-jul,flowering time,NA,78,81
Panicum seminudum,mar-jul,flowering time,NA,78,81
Panicum seminudum var. cairnsianum,mar-jul,flowering time,NA,78,81
Panicum seminudum var. seminudum,mar-jul,flowering time,NA,78,81
Paspalidium gracile,mar-jul,flowering time,NA,78,81
Schizachyrium crinizonatum,mar-jul,flowering time,NA,78,81
Schizachyrium dolosum,mar-jul,flowering time,NA,78,81
Sporobolus partimpatens,mar-jul,flowering time,NA,78,81
Digitaria diffusa,mar-jun,flowering time,NA,78,81
Eriachne axillaris,mar-jun,flowering time,NA,78,81
Eriachne compacta,mar-jun,flowering time,NA,78,81
Iseilema holmesii,mar-jun,flowering time,NA,78,81
Panicum bisulcatum,mar-jun,flowering time,NA,78,81
Uranthoecium truncatum,mar-jun,flowering time,NA,78,81
Eriachne humilis,mar-may,flowering time,NA,78,81
Paspalidium gausum,mar-may,flowering time,NA,78,81
Schizachyrium perplexum,mar-may,flowering time,NA,78,81
Triodia molesta,mar-may,flowering time,NA,78,81
Urochloa atrisola,mar-may,flowering time,NA,78,81
Eragrostis lanicaulis,mar-may/aug-oct,flowering time,NA,78,81
Oryza rufipogon,mar-nov,flowering time,NA,78,81
Thaumastochloa rariflora,mar-oct,flowering time,NA,78,81
Eriachne festucacea,mar-sep,flowering time,NA,78,81
Eriachne flaccida,mar-sep,flowering time,NA,78,81
Leersia hexandra,mar-sep,flowering time,NA,78,81
Paspalidium retiglume,mar-sep,flowering time,NA,78,81
Schizachyrium pachyarthron,mar-sep,flowering time,NA,78,81
Setaria australiensis,mar-sep,flowering time,NA,78,81
Thyridolepis mitchelliana,mar-sep,flowering time,NA,78,81
Triodia secunda,mar-sep,flowering time,NA,78,81
Zygochloa paradoxa,mar-sep,flowering time,NA,78,81
Coix gasteenii,may,flowering time,NA,78,81
Cymbopogon globosus,may,flowering time,NA,78,81
Eragrostis cassa,may,flowering time,NA,78,81
Sporobolus latzii,may,flowering time,NA,78,81
Triodia aurita,may,flowering time,NA,78,81
Urochloa kurzii,may,flowering time,NA,78,81
Cleistochloa sclerachne,may-aug,flowering time,NA,78,81
Dimeria acinaciformis,may-aug,flowering time,NA,78,81
Triodia bunicola,may-dec,flowering time,NA,78,81
Digitaria papposa,may-jul,flowering time,NA,78,81
Centotheca philippinensis,may-jul,flowering time,NA,78,81
Eragrostis petraea,may-jun,flowering time,NA,78,81
Eriachne tenuiculmis,may-jun,flowering time,NA,78,81
Thaumastochloa rubra,may-jun,flowering time,NA,78,81
Triodia integra,may-jun,flowering time,NA,78,81
Spinifex longifolius,may-nov,flowering time,NA,78,81
Eragrostis stenostachya,may-oct,flowering time,NA,78,81
Isachne confusa,may-oct,flowering time,NA,78,81
Neurachne munroi,may-oct,flowering time,NA,78,81
Triodia plurinervata,may-oct,flowering time,NA,78,81
Monachather paradoxus,may-sep,flowering time,NA,78,81
Panicum mitchellii,may-sep,flowering time,NA,78,81
Dimeria chloridiformis,nov,flowering time,NA,78,81
Lachnagrostis adamsonii,nov,flowering time,NA,78,81
Poa affinis,nov,flowering time,NA,78,81
Poa mollis,nov,flowering time,NA,78,81
Rytidosperma clelandii,nov,flowering time,NA,78,81
Rytidosperma duttonianum,nov,flowering time,NA,78,81
Rytidosperma richardsonii,nov,flowering time,NA,78,81
Deyeuxia brachyathera,nov-apr,flowering time,NA,78,81
Rytidosperma indutum,nov-apr,flowering time,NA,78,81
Sporobolus pamelae,nov-apr,flowering time,NA,78,81
Digitaria fumida,nov-aug,flowering time,NA,78,81
Deyeuxia minor,nov-dec,flowering time,NA,78,81
Dichelachne hirtella,nov-dec,flowering time,NA,78,81
Plinthanthesis paradoxa,nov-dec,flowering time,NA,78,81
Poa hookeri,nov-dec,flowering time,NA,78,81
Rytidosperma longifolium,nov-dec,flowering time,NA,78,81
Rytidosperma monticola,nov-dec,flowering time,NA,78,81
Rytidosperma pilosum,nov-dec,flowering time,NA,78,81
Rytidosperma tenuius,nov-dec,flowering time,NA,78,81
