spp,age,date,Species_age,Rep,Vial # for N,Sample MQN #,C%,N%,P,Al,B,Ca,Cu,Fe,K,Mg,Mn,Na,S,Zn
AcaLat,adult,wet season (May 2011),AcaLat_A,1,MQN53,53,49.5,1.914,484,11.488,40.43,2543,12.197,125.34,2056,2773,57.25,2803,1213,27.37
AcaLat,adult,wet season (May 2011),AcaLat_A,2A,MQN57,57,50.1,1.651,502,15.489,51.51,4609,7.685,138.10,1940,3945,45.42,1171,1217,19.44
AcaLat,adult,wet season (May 2011),AcaLat_A,2B,MQN58,58,47.8,2.236,533,8.016,17.84,5868,10.590,25.70,2250,8162,33.51,3485,1160,6.15
AcaLat,adult,wet season (May 2011),AcaLat_A,4A,MQN59,59,49.9,1.651,553,7.487,58.71,1853,15.934,49.53,1971,2276,32.94,3067,1075,8.63
AcaLat,adult,wet season (May 2011),AcaLat_A,6,MQN56,56,50.0,1.678,561,2.217,48.66,3292,11.138,96.77,2046,3909,41.79,982,1040,4.91
AcaLat,adult,wet season (May 2011),AcaLat_A,5,MQN55,55,49.1,2.099,594,13.029,83.77,4731,15.069,237.36,2208,5793,107.21,1971,1348,12.76
AcaLat,adult,wet season (May 2011),AcaLat_A,3,MQN54,54,49.8,1.978,649,10.311,47.84,4803,13.420,91.85,2178,3747,76.02,3402,1273,16.94
AcaLat,adult,wet season (May 2011),AcaLat_A,4B,MQN60,60,50.1,1.844,675,13.747,38.89,3541,5.331,90.99,2562,4080,36.64,2814,1203,8.08
AcaLat,sapling,wet season (May 2011),AcaLat_S,2,MQN62,62,51.3,1.545,370,23.770,29.00,3166,7.237,36.02,1489,2983,18.75,1956,924,14.58
AcaLat,sapling,wet season (May 2011),AcaLat_S,1,MQN61,61,49.7,1.472,398,4.070,41.31,2213,3.566,113.80,1667,3311,27.74,1334,1034,10.61
AcaLat,sapling,wet season (May 2011),AcaLat_S,6,MQN66,66,50.3,1.569,429,7.710,48.15,1614,9.451,96.77,1566,2328,23.89,2445,1141,17.24
AcaLat,sapling,wet season (May 2011),AcaLat_S,3,MQN63,63,51.1,1.763,434,,46.34,1753,10.383,80.81,1626,2000,23.53,3161,1185,10.49
AcaLat,sapling,wet season (May 2011),AcaLat_S,5,MQN65,65,50.6,1.708,481,27.676,38.59,3371,13.545,97.52,1649,3466,29.07,3654,1314,18.27
AcaLat,sapling,wet season (May 2011),AcaLat_S,4,MQN64,64,51.0,1.890,556,7.856,46.85,2064,11.211,74.16,1928,2407,15.42,3762,1298,14.28
AcaMim,adult,wet season (May 2011),AcaMim_A,3,MQN33,33,50.9,1.678,464,15.104,14.09,1692,12.467,67.09,1573,4434,44.69,2312,1113,6.36
AcaMim,adult,wet season (May 2011),AcaMim_A,5,MQN34,34,51.4,1.919,530,8.446,21.24,1642,15.678,36.60,2634,4430,73.75,2518,1117,5.74
AcaMim,adult,wet season (May 2011),AcaMim_A,1,MQN31,31,50.5,1.930,557,6.527,18.19,1638,12.551,88.33,2168,4270,39.01,2159,1131,6.57
AcaMim,adult,wet season (May 2011),AcaMim_A,9,MQN35,35,50.1,2.299,683,13.274,11.45,1469,8.470,61.85,3370,3688,33.27,3025,1361,9.03
AcaMim,adult,wet season (May 2011),AcaMim_A,10,MQN36,36,49.2,0.896,848,86.164,17.90,4490,2.173,29.62,2705,3562,325.08,1269,1290,16.17
AcaMim,adult,wet season (May 2011),AcaMim_A,2,MQN32,32,49.4,2.774,930,5.829,13.27,1468,8.929,55.66,5073,3243,31.71,3344,1570,14.82
AcaMim,sapling,wet season (May 2011),AcaMim_S,5,MQN41,41,51.5,1.493,414,7.485,14.92,1077,11.436,46.65,1791,2650,32.62,2140,949,8.10
AcaMim,sapling,wet season (May 2011),AcaMim_S,4,MQN40,40,51.6,1.739,438,1.563,15.01,1161,13.774,26.17,2250,2706,17.82,2248,1082,9.29
AcaMim,sapling,wet season (May 2011),AcaMim_S,1,MQN37,37,50.6,1.817,558,3.646,11.63,1519,7.431,29.28,2769,3692,34.12,1297,1041,7.36
AcaMim,sapling,wet season (May 2011),AcaMim_S,3,MQN39,39,51.0,2.137,562,5.493,13.12,1987,10.070,26.92,2411,3889,26.89,2259,1235,8.23
AcaMim,sapling,wet season (May 2011),AcaMim_S,2,MQN38,38,49.5,2.294,696,6.985,10.42,1397,7.826,29.84,5353,3160,28.87,2698,1369,9.50
BucObo,adult,wet season (May 2011),BucObo_A,7,MQN23,23,44.0,0.433,691,16.126,21.94,13055,1.190,16.77,2793,5465,35.82,1186,1348,10.11
BucObo,adult,wet season (May 2011),BucObo_A,10,MQN24,24,43.4,0.518,775,22.831,24.46,12727,0.298,19.33,2019,4389,33.00,3121,1075,8.39
BucObo,adult,wet season (May 2011),BucObo_A,3,MQN21,21,43.3,0.531,785,18.993,18.59,15654,0.078,44.37,2295,5574,29.11,3037,1076,15.50
BucObo,adult,wet season (May 2011),BucObo_A,5,MQN22,22,44.7,0.341,803,11.841,14.83,10222,0.786,14.95,2777,4467,23.36,1392,964,10.07
BucObo,adult,wet season (May 2011),BucObo_A,11,MQN25,25,43.5,0.622,866,24.327,22.78,17094,2.185,32.06,3540,5151,26.16,3194,1270,14.51
BucObo,sapling,wet season (May 2011),BucObo_S,2,MQN27,27,44.8,0.317,641,18.531,15.01,6581,3.550,16.38,1915,4742,34.17,2216,1054,8.13
BucObo,sapling,wet season (May 2011),BucObo_S,20,MQN29,29,43.5,0.226,664,30.479,20.28,12273,1.133,60.07,1810,5937,45.93,1533,1306,9.95
BucObo,sapling,wet season (May 2011),BucObo_S,10,MQN28,28,43.7,0.304,675,20.763,21.31,12168,4.074,19.83,3039,6025,81.00,1363,1362,9.36
BucObo,sapling,wet season (May 2011),BucObo_S,1,MQN26,26,44.1,0.328,682,16.336,16.12,9318,2.308,18.49,2128,4458,39.33,1558,863,8.06
BucObo,sapling,wet season (May 2011),BucObo_S,40,MQN30,30,43.4,0.244,703,21.215,19.27,12901,3.552,17.86,2407,5555,36.90,1338,1625,17.81
CocFra,adult,wet season (May 2011),CocFra_A,20,MQN123,123,41.8,1.138,662,28.371,18.40,11591,2.411,42.76,3521,7970,24.87,136,947,13.42
CocFra,adult,wet season (May 2011),CocFra_A,5,MQN122,122,41.1,0.992,761,26.090,23.41,13030,5.514,57.26,3901,8875,27.89,33,1097,16.08
CocFra,adult,wet season (May 2011),CocFra_A,4,MQN121,121,41.2,0.924,852,23.149,16.79,8789,6.189,47.55,6921,5424,21.98,272,1272,15.23
CocFra,adult,wet season (May 2011),CocFra_A,2,MQN119,119,40.8,0.839,1007,20.475,44.85,13130,5.514,28.28,9299,6107,95.13,172,1442,17.75
CocFra,adult,wet season (May 2011),CocFra_A,3,MQN120,120,41.1,1.245,1036,30.177,31.88,13485,1.704,51.07,7915,6060,64.76,204,1632,15.92
CocFra,adult,wet season (May 2011),CocFra_A,1,MQN118,118,41.6,1.316,1117,44.884,37.72,13587,7.749,112.72,4921,8671,83.98,11,1961,15.78
CocFra,sapling,wet season (May 2011),CocFra_S,1,MQN124,124,43.5,1.671,865,19.995,26.12,8434,4.238,50.94,7275,6988,41.69,5,1588,14.06
CocFra,sapling,wet season (May 2011),CocFra_S,5,MQN128,128,41.8,1.603,904,48.639,35.02,12659,5.950,98.29,6047,8365,80.64,143,1655,15.58
CocFra,sapling,wet season (May 2011),CocFra_S,4,MQN127,127,42.6,1.892,915,47.859,30.81,12521,5.343,74.27,5815,9255,79.29,146,1702,14.24
CocFra,sapling,wet season (May 2011),CocFra_S,3,MQN126,126,43.3,1.753,1022,12.583,43.83,9685,8.171,105.18,8715,5803,96.38,147,1836,11.11
CocFra,sapling,wet season (May 2011),CocFra_S,11,MQN130,130,43.9,1.985,1127,26.576,21.34,9721,5.927,65.30,6897,6604,103.81,43,1935,16.74
CocFra,sapling,wet season (May 2011),CocFra_S,2,MQN125,125,43.4,2.007,1156,20.178,55.09,11116,4.212,114.75,10149,5041,104.43,131,2065,8.81
CocFra,sapling,wet season (May 2011),CocFra_S,10,MQN129,129,43.9,2.386,1174,15.450,41.95,8985,5.797,75.83,10870,4611,71.78,212,2092,11.10
CorBle,adult,wet season (May 2011),CorBle_A,5,MQN135,135,47.2,0.875,472,27.580,12.42,2452,7.128,14.23,3179,3351,95.70,2026,1001,9.80
CorBle,adult,wet season (May 2011),CorBle_A,4,MQN134,134,46.8,0.768,481,42.742,17.10,3436,8.534,16.15,2985,4047,231.87,1127,904,16.79
CorBle,adult,wet season (May 2011),CorBle_A,3,MQN133,133,47.7,0.914,524,40.133,16.26,3114,5.389,17.14,3004,3372,148.09,1557,1016,16.86
CorBle,adult,wet season (May 2011),CorBle_A,1,MQN131,131,47.7,1.035,540,51.585,18.68,3685,3.489,33.27,2383,3612,184.04,1944,1082,27.22
CorBle,adult,wet season (May 2011),CorBle_A,2,MQN132,132,47.1,0.873,545,31.247,13.79,2578,7.931,16.47,3813,3433,144.37,1054,1036,15.80
CorBle,sapling,wet season (May 2011),CorBle_S,1,MQN136,136,47.4,0.560,441,36.157,13.33,1902,4.571,18.08,2513,3157,82.51,1209,906,18.74
CorBle,sapling,wet season (May 2011),CorBle_S,4,MQN139,139,48.0,0.919,447,38.679,19.42,1860,4.331,13.95,3441,2917,48.62,2010,872,11.62
CorBle,sapling,wet season (May 2011),CorBle_S,2,MQN137,137,47.3,0.872,462,25.386,13.11,1755,6.960,15.78,3708,2442,78.11,2859,970,10.35
CorBle,sapling,wet season (May 2011),CorBle_S,5,MQN140,140,48.0,0.918,480,35.113,20.55,2135,6.830,16.96,3070,3438,55.80,1812,915,14.91
CorBle,sapling,wet season (May 2011),CorBle_S,3,MQN138,138,46.6,0.874,508,40.540,18.73,4424,8.650,22.92,3331,3349,200.13,1562,1071,12.98
CorBle,sapling,wet season (May 2011),CorBle_S,6,MQN141,141,47.4,0.803,508,39.465,23.81,2952,7.187,14.92,2717,3069,188.35,2202,1018,13.70
CorBle,sapling,wet season (May 2011),CorBle_S,25,MQN142,142,46.8,0.851,515,36.158,13.16,2355,6.133,14.70,3972,2366,105.78,1865,942,17.89
CorPor,adult,wet season (May 2011),CorPor_A,1,MQN143,143,47.8,0.925,406,16.774,14.99,3566,9.326,16.39,3304,2317,238.80,1351,917,23.56
CorPor,adult,wet season (May 2011),CorPor_A,2,MQN144,144,48.6,0.741,412,26.175,13.72,2321,3.326,13.15,2847,2636,159.48,936,772,21.01
CorPor,adult,wet season (May 2011),CorPor_A,5,MQN147,147,48.0,0.945,446,22.163,16.46,2295,6.914,14.23,3161,1720,131.23,2595,882,9.90
CorPor,adult,wet season (May 2011),CorPor_A,3,MQN145,145,47.3,0.861,448,30.467,18.08,3341,6.420,17.51,3074,2401,172.16,2355,875,15.89
CorPor,adult,wet season (May 2011),CorPor_A,4,MQN146,146,47.1,0.960,494,23.758,13.92,3974,1.902,17.49,3678,2630,207.41,2149,956,19.34
CorPor,sapling,wet season (May 2011),CorPor_S,3,MQN149,149,46.5,0.733,394,23.440,16.10,2013,3.861,13.40,2808,2693,320.93,1835,879,9.45
CorPor,sapling,wet season (May 2011),CorPor_S,5,MQN151,151,48.6,0.948,405,24.191,13.07,1265,6.144,22.11,4195,1994,135.59,2323,892,12.51
CorPor,sapling,wet season (May 2011),CorPor_S,2,MQN148,148,47.9,0.854,428,40.638,16.10,2316,6.392,19.33,2998,2039,148.42,2621,930,10.96
CorPor,sapling,wet season (May 2011),CorPor_S,6,MQN152,152,47.9,0.853,471,23.646,14.74,2704,4.241,15.98,2613,2641,225.15,1454,868,17.93
CorPor,sapling,wet season (May 2011),CorPor_S,4,MQN150,150,48.1,0.910,499,24.494,12.79,2999,8.422,18.46,4399,2355,148.53,1569,1154,14.00
EryChl,adult,wet season (May 2011),EryChl_A,1,MQN108,108,42.0,1.624,704,5.412,43.89,4809,6.292,34.54,4204,3408,105.51,186,1127,11.00
EryChl,adult,wet season (May 2011),EryChl_A,5,MQN112,112,41.6,1.738,795,2.353,61.64,4087,6.135,37.68,3093,3441,77.59,9,1156,14.23
EryChl,adult,wet season (May 2011),EryChl_A,2,MQN109,109,41.5,1.776,816,6.520,42.99,5096,9.212,96.42,3138,2639,21.48,150,997,24.35
EryChl,adult,wet season (May 2011),EryChl_A,3,MQN110,110,41.9,1.592,825,5.849,90.08,9844,5.406,63.43,3470,3557,27.24,37,1200,37.30
EryChl,adult,wet season (May 2011),EryChl_A,4,MQN111,111,41.0,1.654,874,8.342,52.14,9381,2.092,76.52,3162,3291,42.30,11,1113,17.76
EryChl,sapling,wet season (May 2011),EryChl_S,4,MQN116,116,41.6,1.291,612,8.859,47.26,2361,6.429,54.49,2445,2193,37.86,88,917,12.10
EryChl,sapling,wet season (May 2011),EryChl_S,1,MQN113,113,41.7,1.323,640,16.081,48.84,4346,4.147,31.38,3851,2313,91.96,140,968,7.57
EryChl,sapling,wet season (May 2011),EryChl_S,2,MQN114,114,43.9,1.664,757,5.498,42.05,2245,5.705,71.72,3024,1830,28.00,42,1088,16.12
EryChl,sapling,wet season (May 2011),EryChl_S,10,MQN117,117,42.0,1.884,838,17.948,19.69,2311,4.016,41.12,3667,1625,60.47,16,1091,12.47
EryChl,sapling,wet season (May 2011),EryChl_S,3,MQN115,115,41.3,2.160,1030,0.923,32.94,4049,5.161,40.20,5828,2497,133.52,21,1253,17.40
EucMin,adult,wet season (May 2011),EucMin_A,3,MQN12,12,48.7,0.618,721,106.003,19.10,4694,3.570,32.22,1998,3964,342.75,878,892,12.04
EucMin,adult,wet season (May 2011),EucMin_A,21,MQN14,14,48.7,0.714,835,43.301,16.73,3334,4.346,20.35,4081,3459,242.30,2485,913,12.37
EucMin,adult,wet season (May 2011),EucMin_A,20,MQN13,13,48.7,0.561,928,47.445,22.32,3481,5.429,23.48,2833,3676,244.66,1488,789,17.22
EucMin,adult,wet season (May 2011),EucMin_A,22,MQN15,15,48.3,1.057,1115,22.675,10.30,2052,5.085,22.43,5321,2294,126.68,4109,1127,11.78
EucMin,sapling,wet season (May 2011),EucMin_S,7,MQN20,20,47.8,0.462,574,27.822,16.38,4299,0.543,16.58,2153,3000,169.43,1540,833,8.28
EucMin,sapling,wet season (May 2011),EucMin_S,3,MQN17,17,48.2,0.339,596,66.282,17.86,4674,4.127,17.72,2190,3146,274.93,662,732,11.44
EucMin,sapling,wet season (May 2011),EucMin_S,6,MQN19,19,48.5,0.506,625,47.996,20.52,4788,3.238,22.27,2149,3503,136.86,2046,835,12.21
EucMin,sapling,wet season (May 2011),EucMin_S,5,MQN018,18,48.3,0.687,783,65.694,16.04,3484,0.856,30.54,2389,2926,123.21,1711,931,14.46
EucMin,sapling,wet season (May 2011),EucMin_S,2,MQN16,16,48.2,0.633,906,98.656,14.15,2552,0.203,37.89,2285,3407,264.89,1112,901,24.17
EucTet,adult,wet season (May 2011),EucTet_A,4,MQN4,4,46.2,0.501,301,29.356,22.47,2168,2.880,10.77,1647,2152,78.18,2057,487,10.99
EucTet,adult,wet season (May 2011),EucTet_A,1,MQN1,1,47.9,0.613,349,28.570,12.94,2128,7.867,28.39,1921,1418,70.05,2217,649,8.27
EucTet,adult,wet season (May 2011),EucTet_A,5,MQN5,5,47.2,0.454,368,31.785,33.97,5107,4.423,14.06,2520,3535,119.85,2265,724,10.57
EucTet,adult,wet season (May 2011),EucTet_A,2,MQN2,2,45.5,0.530,373,11.313,18.07,3664,1.981,9.48,2365,2762,109.33,1722,634,8.84
EucTet,adult,wet season (May 2011),EucTet_A,3,MQN3,3,46.3,0.693,448,23.307,17.46,3108,4.818,13.95,2423,2446,102.15,2248,765,16.84
EucTet,sapling,wet season (May 2011),EucTet_S,1,MQN6,6,46.1,0.392,357,36.284,20.86,5532,5.553,13.40,2685,2741,120.60,1669,683,29.75
EucTet,sapling,wet season (May 2011),EucTet_S,6,MQN11,11,45.9,0.464,397,37.170,24.28,4295,3.467,18.09,2770,3850,82.43,1679,757,38.57
EucTet,sapling,wet season (May 2011),EucTet_S,5A,MQN10,10,48.2,0.453,402,20.339,24.55,2730,6.095,14.73,2254,2486,58.58,2579,739,4.78
EucTet,sapling,wet season (May 2011),EucTet_S,4,MQN9,9,48.6,0.657,483,84.840,18.31,4577,2.565,23.58,2347,3128,131.89,1915,836,13.95
EucTet,sapling,wet season (May 2011),EucTet_S,3,MQN8,8,47.2,0.534,559,50.373,25.66,4656,0.208,21.66,2176,2924,156.68,2174,757,10.50
GreDec,adult,wet season (May 2011),GreDec_A,1,MQN163,163,46.4,1.156,434,38.106,11.53,12735,0.226,15.70,1768,3787,215.73,829,684,4.99
GreDec,adult,wet season (May 2011),GreDec_A,3,MQN165,165,44.2,0.798,478,42.749,10.94,11390,5.075,61.75,2322,4778,373.82,1944,734,5.60
GreDec,adult,wet season (May 2011),GreDec_A,5,MQN166,166,44.6,0.927,483,44.838,14.86,13245,4.264,50.98,2171,4271,371.68,2196,830,5.36
GreDec,adult,wet season (May 2011),GreDec_A,2,MQN164,164,43.6,0.557,532,46.095,13.40,14580,4.296,28.59,2229,4577,215.08,1908,835,5.02
GreDec,adult,wet season (May 2011),GreDec_A,20,MQN167,167,44.6,0.732,601,5.947,14.40,1557,2.070,24.74,3514,1590,38.53,3843,615,4.59
GreDec,sapling,wet season (May 2011),GreDec_S,3A,MQN172,172,43.6,0.623,388,55.960,7.21,8659,4.966,77.31,1583,3839,114.24,2228,598,3.58
GreDec,sapling,wet season (May 2011),GreDec_S,2A,MQN170,170,44.5,0.613,405,28.980,8.31,9239,2.369,25.46,2636,2142,157.72,1141,634,4.13
GreDec,sapling,wet season (May 2011),GreDec_S,2B,MQN171,171,43.8,0.933,503,38.936,9.53,12064,4.910,116.95,2838,3731,341.90,1070,824,4.15
GreDec,sapling,wet season (May 2011),GreDec_S,3B,MQN173,173,44.6,0.913,570,26.973,14.83,7939,5.391,33.64,1745,3411,76.93,2123,750,8.56
GreDec,sapling,wet season (May 2011),GreDec_S,4,MQN168,168,45.4,1.280,580,16.650,10.07,7628,8.013,21.96,3366,2889,291.53,2884,768,4.38
GreDec,sapling,wet season (May 2011),GreDec_S,5,MQN169,169,44.9,0.849,649,12.929,14.28,1220,3.601,22.57,3990,1956,26.72,2275,632,7.22
GrePte,adult,wet season (May 2011),GrePte_A,3,MQN175,175,42.9,0.641,362,45.102,13.75,5913,1.394,180.49,1879,1774,116.67,3480,681,6.26
GrePte,adult,wet season (May 2011),GrePte_A,4,MQN176,176,44.2,0.725,381,16.293,15.66,2660,1.663,34.58,1438,2079,17.01,3552,661,4.35
GrePte,adult,wet season (May 2011),GrePte_A,1,MQN174,174,43.8,0.680,407,82.591,21.07,8344,3.107,154.82,2664,1666,46.29,2259,673,4.14
GrePte,adult,wet season (May 2011),GrePte_A,6,MQN178,178,43.6,0.645,455,66.991,16.72,5159,4.679,81.26,2964,2021,11.61,2871,694,4.15
GrePte,adult,wet season (May 2011),GrePte_A,5,MQN177,177,42.5,0.550,642,22.050,17.38,3417,3.213,35.52,2758,1610,17.31,3486,837,5.18
GrePte,sapling,wet season (May 2011),GrePte_S,10,MQN183,183,44.3,0.913,390,32.099,8.78,2696,2.098,21.36,2257,2199,41.11,3196,486,5.89
GrePte,sapling,wet season (May 2011),GrePte_S,7,MQN182,182,43.2,0.645,433,36.829,9.51,9029,4.696,49.49,2130,1989,39.50,2249,688,4.39
GrePte,sapling,wet season (May 2011),GrePte_S,11,MQN184,184,43.0,0.760,440,41.897,13.29,2848,0.545,61.63,1393,1782,88.18,3191,650,4.85
GrePte,sapling,wet season (May 2011),GrePte_S,4,MQN180,180,42.6,0.418,447,120.250,9.10,5023,2.804,47.29,1179,2844,54.31,2670,485,5.44
GrePte,sapling,wet season (May 2011),GrePte_S,2,MQN179,179,43.9,0.582,476,9.673,15.52,2537,2.850,24.84,3169,1380,52.32,2258,599,4.12
GrePte,sapling,wet season (May 2011),GrePte_S,6,MQN181,181,43.2,0.876,479,4.361,8.30,3081,1.726,18.35,2578,1392,31.40,1583,668,9.63
LopLac,adult,wet season (May 2011),LopLac_A,3,MQN68,68,48.1,0.867,604,89.997,30.29,4938,8.514,58.57,2845,3417,101.52,2585,1099,16.92
LopLac,adult,wet season (May 2011),LopLac_A,4,MQN69,69,49.1,0.904,623,74.937,33.54,6679,3.392,45.54,3438,3390,87.83,2982,1036,15.40
LopLac,adult,wet season (May 2011),LopLac_A,1,MQN76,76,47.7,0.901,643,20.228,36.32,5838,3.142,27.80,3900,3560,31.24,4304,973,19.48
LopLac,adult,wet season (May 2011),LopLac_A,2,MQN67,67,48.6,0.866,644,55.499,29.73,5898,6.152,55.75,3491,2647,63.98,4572,1130,15.70
LopLac,adult,wet season (May 2011),LopLac_A,5,MQN70,70,47.6,0.955,737,35.663,29.47,6482,6.902,30.32,4176,2746,56.76,4666,878,24.70
LopLac,sapling,wet season (May 2011),LopLac_S,3,MQN73,73,48.5,0.740,523,47.426,56.22,5840,3.957,23.00,2255,3152,150.53,1696,1324,8.78
LopLac,sapling,wet season (May 2011),LopLac_S,2,MQN72,72,48.3,0.902,551,53.474,47.07,5765,7.460,26.03,2375,3268,160.40,2313,1092,11.09
LopLac,sapling,wet season (May 2011),LopLac_S,5,MQN74,74,47.0,0.919,580,78.928,24.63,6561,12.430,164.44,3634,4127,124.80,3430,1167,28.54
LopLac,sapling,wet season (May 2011),LopLac_S,6,MQN75,75,48.2,0.883,594,55.176,36.15,10036,9.336,19.98,3833,3333,272.46,910,1198,12.15
LopLac,sapling,wet season (May 2011),LopLac_S,1,MQN71,71,49.0,0.958,820,39.299,27.19,6993,8.535,31.52,3833,3213,55.51,2996,1054,22.42
PerFal,adult,wet season (May 2011),PerFal_A,6,MQN102,102,39.5,0.545,486,225.301,12.96,8328,5.077,19.23,3295,5440,398.56,1733,925,11.07
PerFal,adult,wet season (May 2011),PerFal_A,5,MQN101,101,40.3,0.218,488,176.750,13.34,4469,3.647,52.66,2918,4334,161.29,3419,830,26.66
PerFal,adult,wet season (May 2011),PerFal_A,2,MQN99,99,39.9,0.365,523,187.039,11.89,8515,3.390,17.73,5765,4569,361.29,1406,859,13.85
PerFal,adult,wet season (May 2011),PerFal_A,4,MQN100,100,39.4,0.585,609,231.976,10.01,4025,3.284,22.76,3203,6022,379.69,3295,879,14.98
PerFal,adult,wet season (May 2011),PerFal_A,1,MQN98,98,39.6,0.140,421,117.054,13.02,3836,5.011,14.68,4437,2710,298.34,4164,672,12.18
PerFal,sapling,wet season (May 2011),PerFal_S,2,MQN104,104,38.9,0.247,558,404.805,12.09,4556,4.030,124.70,4577,3396,336.40,3347,850,15.76
PerFal,sapling,wet season (May 2011),PerFal_S,10,MQN107,107,39.3,0.597,580,156.835,13.13,3401,3.729,36.26,4957,4347,252.57,2441,1047,7.80
PerFal,sapling,wet season (May 2011),PerFal_S,1,MQN103,103,39.7,0.572,602,51.285,19.50,2057,2.230,16.01,7132,2108,92.00,1868,873,11.05
PerFal,sapling,wet season (May 2011),PerFal_S,6,MQN106,106,40.2,1.061,648,227.457,18.07,5443,0.586,112.76,5909,3654,173.97,2856,1104,21.89
PerFal,sapling,wet season (May 2011),PerFal_S,5,MQN105,105,46.2,1.079,578,13.595,14.32,4911,5.635,71.46,2506,3228,78.38,1624,1255,6.73
PetPub,adult,wet season (May 2011),PetPub_A,1,MQN153,153,44.4,1.098,579,4.097,13.89,7880,5.233,37.10,2227,4429,108.34,2069,1181,9.02
PetPub,adult,wet season (May 2011),PetPub_A,2,MQN154,154,44.8,1.031,589,3.503,14.57,5026,3.719,63.73,4184,3166,56.15,1339,1195,6.60
PetPub,adult,wet season (May 2011),PetPub_A,5,MQN157,157,46.1,1.083,617,6.570,13.28,4391,7.419,61.87,2540,2780,52.79,1810,1217,6.93
PetPub,adult,wet season (May 2011),PetPub_A,3,MQN155,155,45.3,0.918,623,15.884,14.10,4732,6.520,65.08,2386,2975,60.68,2004,1225,8.90
PetPub,adult,wet season (May 2011),PetPub_A,4,MQN156,156,43.4,1.052,590,13.965,14.88,8370,3.996,31.73,2755,4226,230.07,997,1191,7.48
PetPub,sapling,wet season (May 2011),PetPub_S,4,MQN161,161,46.0,1.062,591,1.099,12.90,4793,5.560,65.87,2329,3014,65.29,1733,1259,6.76
PetPub,sapling,wet season (May 2011),PetPub_S,2,MQN159,159,45.4,0.906,594,5.856,13.85,4437,4.757,64.66,2437,2887,56.16,1665,1230,6.74
PetPub,sapling,wet season (May 2011),PetPub_S,3,MQN160,160,44.3,1.348,597,5.226,14.20,4828,6.165,62.45,2783,3033,89.24,1686,1284,7.65
PetPub,sapling,wet season (May 2011),PetPub_S,5,MQN162,162,44.5,1.145,616,1.721,13.86,6548,4.972,39.63,2859,3805,258.65,1262,1218,6.47
PetPub,sapling,wet season (May 2011),PetPub_S,1,MQN158,158,43.2,0.961,694,6.255,32.07,7961,4.201,19.22,4481,5069,87.61,235,2049,11.98
PlaCar,adult,wet season (May 2011),PlaCar_A,1,MQN77,77,42.4,0.831,700,9.992,20.88,5070,4.427,23.14,5520,4091,75.60,283,1769,10.80
PlaCar,adult,wet season (May 2011),PlaCar_A,20,MQN80,80,41.5,0.760,748,7.397,21.76,7690,7.927,29.49,3900,5182,41.72,450,1195,19.05
PlaCar,adult,wet season (May 2011),PlaCar_A,3,MQN79,79,42.0,1.370,905,11.709,35.67,13400,6.363,83.21,3895,7516,43.92,288,1726,38.71
PlaCar,adult,wet season (May 2011),PlaCar_A,22,MQN81,81,42.5,1.357,928,9.531,40.65,10844,4.831,95.28,4948,6395,44.48,128,1678,32.64
PlaCar,adult,wet season (May 2011),PlaCar_A,2,MQN78,78,40.7,0.404,517,21.337,15.16,8553,4.293,18.23,2978,4888,43.00,249,1798,11.44
PlaCar,sapling,wet season (May 2011),PlaCar_S,3,MQN84,84,40.6,0.506,519,5.168,14.04,7518,4.538,22.04,3824,5216,44.95,133,1141,18.19
