Order Entered,date_WD,spp,age,Spp_age,Rep,Diam1 w bark (mm),Diam2 w bark  (mm),Displacement (g),Diam1 wout bark (mm),Diam2 wout bark (mm),Pith diam (mm),Dry Weight (g),CrossSecArea w bark (cm2),CrossSecArea wout bark (cm2),Bark thickness (mm),Bark area (cm2),WD kg/m3,date
79,3-May-11,BucObo,sapling,BucObo_S,4,13.31,13.58,1.288,7.56,7.42,2.12,0.713,1.419,0.4403,2.98,0.9785,553.571,wet season (May 2011)
95,4-May-11,BucObo,sapling,BucObo_S,10,13.23,13.75,1.993,6.64,6.73,na,0.65,1.428,0.3508,3.4,1.0772,326.141,wet season (May 2011)
184,5-May-11,BucObo,sapling,BucObo_S,20,12.12,12.2,2.172,7.87,7.93,,0.835,1.161,0.4899,2.13,0.6708,384.438,wet season (May 2011)
185,5-May-11,CocFra,adult,CocFra_A,1,14.17,13.53,2.983,9.32,9.08,1.8,1.244,1.505,0.6643,2.33,0.8407,417.03,wet season (May 2011)
186,5-May-11,CocFra,adult,CocFra_A,2,14.77,15.21,3.871,10.67,10.71,,1.567,1.764,0.8971,2.15,0.8665,404.805,wet season (May 2011)
187,5-May-11,CocFra,adult,CocFra_A,3,13.29,12.92,1.621,9.46,9.56,2.68,0.662,1.348,0.7099,1.8,0.638,408.39,wet season (May 2011)
152,5-May-11,CocFra,adult,CocFra_A,4,10.92,10.02,1.666,7.2,7.05,2.33,0.613,0.859,0.3985,1.67,0.4605,367.947,wet season (May 2011)
153,5-May-11,CocFra,adult,CocFra_A,5,9.47,9.55,1.306,6.5,6.66,1.8,0.58,0.71,0.3398,1.47,0.3701,444.104,wet season (May 2011)
154,5-May-11,CocFra,adult,CocFra_A,10,12.02,11.57,1.641,8.04,8.25,na,0.846,1.092,0.5207,1.83,0.571,515.539,wet season (May 2011)
166,4-May-11,CocFra,sapling,CocFra_S,1,12.1,12.46,1.754,7.25,7.47,,0.698,1.184,0.4251,2.46,0.7584,397.948,wet season (May 2011)
167,4-May-11,CocFra,sapling,CocFra_S,2,9.96,9.72,1.677,6.21,6.31,,0.585,0.76,0.3076,1.79,0.4524,348.837,wet season (May 2011)
168,4-May-11,CocFra,sapling,CocFra_S,3,10.96,10.65,2.119,6.76,7,,0.784,0.916,0.3715,1.96,0.5448,369.986,wet season (May 2011)
169,4-May-11,CocFra,sapling,CocFra_S,4,15.35,14.95,3.441,9.73,10.15,,1.109,1.801,0.7753,2.61,1.0262,322.29,wet season (May 2011)
170,4-May-11,CocFra,sapling,CocFra_S,5,13.13,13.5,2.436,8.5,8.81,,0.827,1.391,0.5878,2.33,0.8036,339.491,wet season (May 2011)
171,4-May-11,CocFra,sapling,CocFra_S,10,10.76,10.96,2.153,7.3,7.31,,0.805,0.926,0.4189,1.78,0.5068,373.897,wet season (May 2011)
172,4-May-11,CocFra,sapling,CocFra_S,11,11.57,11.55,1.942,7.33,7.3,,0.721,1.049,0.42,2.12,0.629,371.267,wet season (May 2011)
41,2-May-11,CorBle,adult,CorBle_A,1,10.18,10.61,1.667,7.69,7.33,na,1.147,0.848,0.4425,1.44,0.4054,688.062,wet season (May 2011)
42,2-May-11,CorBle,adult,CorBle_A,2,8.26,8.03,1.161,6,6.21,na,0.808,0.521,0.2925,1.02,0.2282,695.952,wet season (May 2011)
43,2-May-11,CorBle,adult,CorBle_A,3,9.52,9.15,1.401,7.09,6.48,na,0.999,0.684,0.3607,1.28,0.3231,713.062,wet season (May 2011)
44,2-May-11,CorBle,adult,CorBle_A,4,8.8,9.36,1.517,6.59,7.17,na,1.061,0.647,0.3709,1.1,0.2757,699.407,wet season (May 2011)
45,2-May-11,CorBle,adult,CorBle_A,5,10.52,10.31,2.281,8.29,8.26,na,1.787,0.851,0.5375,1.07,0.3139,783.428,wet season (May 2011)
105,2-May-11,CorBle,sapling,CorBle_S,1,8.86,8.96,1.572,6.93,7.34,na,1.126,0.623,0.3993,0.89,0.2239,716.285,wet season (May 2011)
46,2-May-11,CorBle,sapling,CorBle_S,2,8.36,8.28,1.184,6.32,6.19,na,0.809,0.543,0.3071,1.03,0.2363,683.277,wet season (May 2011)
104,2-May-11,CorBle,sapling,CorBle_S,3,8.83,8.74,1.797,6.38,6.33,na,1.242,0.606,0.317,1.22,0.2888,691.152,wet season (May 2011)
103,2-May-11,CorBle,sapling,CorBle_S,4,10.15,10.35,2.309,8.54,8.16,na,1.7,0.825,0.547,0.95,0.2776,736.249,wet season (May 2011)
102,2-May-11,CorBle,sapling,CorBle_S,5,10.01,9.55,1.779,7.75,7.33,na,1.371,0.75,0.4459,1.12,0.3045,770.658,wet season (May 2011)
101,2-May-11,CorBle,sapling,CorBle_S,6,9.16,9.74,2.089,7.6,7.23,na,1.387,0.7,0.4313,1.02,0.269,663.954,wet season (May 2011)
88,3-May-11,CorBle,sapling,CorBle_S,25,14.24,14.77,2.503,10.87,10.67,na,1.775,1.651,0.9105,1.87,0.7406,709.149,wet season (May 2011)
110,2-May-11,CorPor,adult,CorPor_A,1,8.11,8.49,0.895,4.93,5.05,na,0.609,0.541,0.1954,1.66,0.3451,680.447,wet season (May 2011)
111,2-May-11,CorPor,adult,CorPor_A,2,8.99,9.49,1.29,6.14,5.94,na,0.829,0.67,0.2863,1.6,0.3834,642.636,wet season (May 2011)
112,2-May-11,CorPor,adult,CorPor_A,3,8.27,8.35,1.211,5.84,6.04,na,0.793,0.542,0.2769,1.19,0.2652,654.831,wet season (May 2011)
157,4-May-11,CorPor,adult,CorPor_A,10,9.85,10.21,0.828,6.22,6.51,,0.624,0.789,0.3179,1.83,0.4716,753.623,wet season (May 2011)
182,5-May-11,CorPor,adult,CorPor_A,20,11.98,12.02,2.231,7.61,6.95,,1.505,1.13,0.4152,2.36,0.7152,674.585,wet season (May 2011)
106,2-May-11,CorPor,sapling,CorPor_S,2,9.01,8.89,1.428,6.04,6.05,na,0.924,0.629,0.2869,1.45,0.3419,647.059,wet season (May 2011)
107,2-May-11,CorPor,sapling,CorPor_S,3,12.39,12.42,2.217,7.08,7.02,na,1.344,1.208,0.3902,2.68,0.8178,606.225,wet season (May 2011)
108,2-May-11,CorPor,sapling,CorPor_S,4,9.93,9.91,0.836,5.75,5.44,na,0.503,0.772,0.2455,2.16,0.5269,601.675,wet season (May 2011)
109,2-May-11,CorPor,sapling,CorPor_S,5,12.2,11.9,1.579,7.03,7.6,na,1.056,1.14,0.4194,2.37,0.7203,668.778,wet season (May 2011)
81,3-May-11,CorPor,sapling,CorPor_S,6,8.88,9.51,1.244,6.39,5.87,na,0.848,0.663,0.2944,1.53,0.3685,681.672,wet season (May 2011)
62,2-May-11,EryChl,adult,EryChl_A,1,9.43,9.15,0.812,4.38,4.52,na,0.573,0.677,0.1554,2.42,0.5219,705.665,wet season (May 2011)
63,2-May-11,EryChl,adult,EryChl_A,2,8.24,8.32,1.515,6.11,5.83,na,1.043,0.538,0.2796,1.16,0.2585,688.449,wet season (May 2011)
64,2-May-11,EryChl,adult,EryChl_A,3,11.71,10.9,1.074,5.68,5.83,na,0.832,1.002,0.2599,2.78,0.742,774.674,wet season (May 2011)
65,2-May-11,EryChl,adult,EryChl_A,5,10.4,10.41,1.001,5.34,5.03,na,0.776,0.85,0.2109,2.61,0.639,775.225,wet season (May 2011)
92,4-May-11,EryChl,adult,EryChl_A,10,9.61,10.13,0.985,4.8,4.97,na,0.706,0.764,0.1873,2.49,0.5769,716.751,wet season (May 2011)
66,2-May-11,EryChl,sapling,EryChl_S,1,11.55,10.97,1.841,6.63,7.05,na,1.161,0.995,0.3669,2.21,0.6277,630.636,wet season (May 2011)
67,3-May-11,EryChl,sapling,EryChl_S,3,13.5,12.79,1.924,7.34,7.51,na,1.323,1.355,0.4327,2.86,0.9227,687.63,wet season (May 2011)
68,3-May-11,EryChl,sapling,EryChl_S,4,9.54,9.91,1.152,5.37,5.55,na,0.787,0.742,0.234,2.13,0.5082,683.16,wet season (May 2011)
93,4-May-11,EryChl,sapling,EryChl_S,10,14.74,15.01,2.338,8.48,8.85,na,1.283,1.737,0.5891,3.11,1.1477,548.76,wet season (May 2011)
181,5-May-11,EryChl,sapling,EryChl_S,20,9.9,10.18,1.213,6.24,6.45,,0.853,0.791,0.3159,1.85,0.4752,703.215,wet season (May 2011)
144,3-May-11,EucMin,adult,EucMin_A,3,8.24,7.69,1.279,6.5,6.89,na,0.712,0.497,0.3516,0.64,0.1459,556.685,wet season (May 2011)
143,3-May-11,EucMin,adult,EucMin_A,5,9.93,9.19,2.009,7.62,7.32,1.72,1.076,0.716,0.4379,1.05,0.2785,535.59,wet season (May 2011)
155,4-May-11,EucMin,adult,EucMin_A,10,10.87,11.07,2.054,7.76,7.86,1.03,0.943,0.945,0.4788,1.58,0.4658,459.104,wet season (May 2011)
178,5-May-11,EucMin,adult,EucMin_A,20,12.43,12.35,2.757,9.25,9.18,1.47,1.582,1.205,0.6666,1.59,0.5385,573.812,wet season (May 2011)
179,5-May-11,EucMin,adult,EucMin_A,21,15.47,14.92,3.715,10.99,10.53,,1.898,1.812,0.9084,2.22,0.9034,510.902,wet season (May 2011)
180,5-May-11,EucMin,adult,EucMin_A,22,13.73,13.47,4.703,11.39,11.38,,2.442,1.452,1.0175,1.11,0.4343,519.243,wet season (May 2011)
141,3-May-11,EucMin,sapling,EucMin_S,1,9.35,9.08,1.928,7.52,7.31,na,1.07,0.666,0.4315,0.9,0.2349,554.979,wet season (May 2011)
142,3-May-11,EucMin,sapling,EucMin_S,2,8.53,8.71,1.163,6.32,6.37,2.11,0.725,0.583,0.316,1.14,0.2672,623.388,wet season (May 2011)
140,3-May-11,EucMin,sapling,EucMin_S,3,8.02,8.03,1.267,6.54,6.48,1.38,0.607,0.506,0.3327,0.76,0.1729,479.084,wet season (May 2011)
139,3-May-11,EucMin,sapling,EucMin_S,5,9.69,9.05,1.6,6.67,6.92,na,1.046,0.688,0.3623,1.29,0.3261,653.75,wet season (May 2011)
138,3-May-11,EucMin,sapling,EucMin_S,6,10.34,11.68,2.518,8.53,9.33,2.76,1.188,0.948,0.6247,1.04,0.3233,471.803,wet season (May 2011)
69,3-May-11,EucTet,adult,EucTet_A,1,7.54,8.08,1.343,5.73,5.47,na,0.861,0.478,0.246,1.11,0.2322,641.102,wet season (May 2011)
70,3-May-11,EucTet,adult,EucTet_A,2,7.15,7.32,0.962,5.11,5.26,na,0.597,0.411,0.211,1.03,0.1999,620.582,wet season (May 2011)
71,3-May-11,EucTet,adult,EucTet_A,3,8.75,8.27,1.505,6.08,6.64,na,0.96,0.568,0.3169,1.08,0.2511,637.874,wet season (May 2011)
120,2-May-11,EucTet,adult,EucTet_A,4,10.34,9.74,1.902,7.18,7.67,na,1.177,0.791,0.4323,1.31,0.3583,618.822,wet season (May 2011)
119,2-May-11,EucTet,adult,EucTet_A,5,9.3,8.33,1.242,6.19,7.22,1.15,0.73,0.608,0.3508,1.06,0.2573,587.762,wet season (May 2011)
118,2-May-11,EucTet,sapling,EucTet_S,1,10.52,11.34,2.206,8.07,8.66,na,1.533,0.936,0.5486,1.28,0.3879,694.923,wet season (May 2011)
117,2-May-11,EucTet,sapling,EucTet_S,2,6.9,6.43,0.745,4.89,4.94,na,0.5,0.348,0.1896,0.88,0.1587,671.141,wet season (May 2011)
116,2-May-11,EucTet,sapling,EucTet_S,3,9.4,9.33,1.648,6.82,6.85,1.05,1.201,0.688,0.3667,1.27,0.3217,728.762,wet season (May 2011)
115,2-May-11,EucTet,sapling,EucTet_S,4,15.02,15.12,4.028,12.08,11.16,1.88,2.195,1.783,1.0583,1.73,0.7245,544.935,wet season (May 2011)
114,2-May-11,EucTet,sapling,EucTet_S,5,10.23,9.47,1.769,7.28,9.96,na,1.28,0.76,0.5692,0.62,0.1913,723.573,wet season (May 2011)
113,2-May-11,EucTet,sapling,EucTet_S,6,9.29,9.59,1.184,7.05,6.93,na,0.976,0.699,0.3835,1.23,0.3158,824.324,wet season (May 2011)
90,3-May-11,GreDec,adult,GreDec_A,1,10.9,11.22,2.957,8.92,9.04,na,1.805,0.96,0.633,1.04,0.327,610.416,wet season (May 2011)
91,3-May-11,GreDec,adult,GreDec_A,2,8.95,8.45,1.261,5.98,6.17,na,0.73,0.594,0.2896,1.31,0.304,578.906,wet season (May 2011)
150,3-May-11,GreDec,adult,GreDec_A,3,9.64,9.56,1.223,7.14,7.19,na,0.774,0.723,0.403,1.22,0.3205,632.87,wet season (May 2011)
151,3-May-11,GreDec,adult,GreDec_A,5,9.54,10,1.281,7.87,7.14,na,0.774,0.749,0.4411,1.13,0.3078,604.215,wet season (May 2011)
145,3-May-11,GreDec,sapling,GreDec_S,1,8.79,8.76,1.44,6.59,6.39,na,0.939,0.604,0.3306,1.14,0.2739,652.083,wet season (May 2011)
146,3-May-11,GreDec,sapling,GreDec_S,2,8.12,8.92,1.212,6.38,6.02,na,0.729,0.569,0.3015,1.16,0.2671,601.485,wet season (May 2011)
147,3-May-11,GreDec,sapling,GreDec_S,3,8.4,7.96,1.38,6.69,6.5,na,0.909,0.525,0.3414,0.79,0.1835,658.696,wet season (May 2011)
148,3-May-11,GreDec,sapling,GreDec_S,4,9.88,10.82,1.666,7.97,7.67,na,0.935,0.839,0.4799,1.27,0.3593,561.224,wet season (May 2011)
149,3-May-11,GreDec,sapling,GreDec_S,5,8.56,8.03,1.245,6.21,6.32,na,0.725,0.54,0.3081,1.02,0.2315,582.329,wet season (May 2011)
14,2-May-11,GrePte,adult,GrePte_A,1,8.91,9.26,2.003,6.97,6.71,na,1.194,0.648,0.3671,1.12,0.2805,596.106,wet season (May 2011)
15,2-May-11,GrePte,adult,GrePte_A,3,10.06,10.51,1.72,7.74,7.71,na,1.119,0.83,0.4685,1.28,0.3615,650.581,wet season (May 2011)
16,2-May-11,GrePte,adult,GrePte_A,4,10.25,10.36,1.926,8.31,8.12,na,0.965,0.834,0.5297,1.05,0.3039,501.038,wet season (May 2011)
17,2-May-11,GrePte,adult,GrePte_A,5,8.78,8.76,1.194,6.21,6.15,na,0.735,0.604,0.2998,1.3,0.304,615.578,wet season (May 2011)
18,2-May-11,GrePte,adult,GrePte_A,6,11.43,12.26,2.522,8.61,8.56,na,1.436,1.1,0.5786,1.63,0.5215,569.389,wet season (May 2011)
19,2-May-11,GrePte,adult,GrePte_A,7,8.7,8.77,1.349,6.56,6.49,na,0.774,0.599,0.3342,1.11,0.2647,573.758,wet season (May 2011)
20,2-May-11,GrePte,sapling,GrePte_S,1,11.36,11.71,2.992,9.19,9.26,na,1.6,1.044,0.668,1.16,0.3762,534.759,wet season (May 2011)
21,2-May-11,GrePte,sapling,GrePte_S,2,11.09,11.09,2.164,8.2,8.32,na,1.257,0.965,0.5356,1.42,0.4299,580.869,wet season (May 2011)
22,2-May-11,GrePte,sapling,GrePte_S,3,11.49,10.94,2.837,8.63,8.5,na,1.282,0.987,0.5758,1.33,0.4109,451.886,wet season (May 2011)
23,2-May-11,GrePte,sapling,GrePte_S,4,11.56,11.15,2.988,8.5,8.34,na,1.817,1.012,0.5565,1.47,0.4553,608.099,wet season (May 2011)
24,2-May-11,GrePte,sapling,GrePte_S,6,7.61,7.08,0.672,5.09,4.34,na,0.341,0.423,0.1734,1.32,0.2495,507.44,wet season (May 2011)
25,2-May-11,GrePte,sapling,GrePte_S,7,9.14,8.95,1.15,5.98,6.4,na,0.579,0.642,0.3004,1.43,0.3417,503.478,wet season (May 2011)
136,3-May-11,LopLac,adult,LopLac_A,1,12.11,12.07,1.933,8.58,8.47,na,1.175,1.147,0.5705,1.78,0.5769,607.863,wet season (May 2011)
137,3-May-11,LopLac,adult,LopLac_A,2,8.39,8.49,1.038,5.7,5.6,na,0.65,0.559,0.2506,1.4,0.3086,626.204,wet season (May 2011)
135,3-May-11,LopLac,adult,LopLac_A,3,8.09,8.06,0.859,5.76,5.77,na,0.501,0.512,0.2609,1.16,0.251,583.236,wet season (May 2011)
134,3-May-11,LopLac,adult,LopLac_A,5,11.47,12.03,1.808,8.71,8.45,na,0.959,1.083,0.5778,1.59,0.5054,530.42,wet season (May 2011)
176,5-May-11,LopLac,adult,LopLac_A,10,11.68,12.03,2.711,8.35,8.69,1.88,1.044,1.103,0.5696,1.67,0.5334,385.098,wet season (May 2011)
177,5-May-11,LopLac,adult,LopLac_A,20,10.81,10.55,1.431,7.03,7.34,,0.838,0.895,0.4051,1.75,0.4902,585.604,wet season (May 2011)
129,3-May-11,LopLac,sapling,LopLac_S,1,9.26,8.97,1.187,6.71,6.37,na,0.692,0.652,0.3355,1.29,0.3165,582.982,wet season (May 2011)
130,3-May-11,LopLac,sapling,LopLac_S,2,9.45,9.38,1.235,6.9,7.35,na,0.693,0.696,0.3981,1.15,0.2977,561.134,wet season (May 2011)
128,3-May-11,LopLac,sapling,LopLac_S,3,10.41,10.69,1.605,8.16,7.54,2.36,0.901,0.874,0.483,1.35,0.3906,561.371,wet season (May 2011)
131,3-May-11,LopLac,sapling,LopLac_S,4,11.63,12,2.842,10.05,9.52,na,1.133,1.096,0.7511,1.02,0.3445,398.663,wet season (May 2011)
132,3-May-11,LopLac,sapling,LopLac_S,5,10.45,10.55,1.836,8.41,8.49,na,0.814,0.865,0.5605,1.03,0.3049,443.355,wet season (May 2011)
133,3-May-11,LopLac,sapling,LopLac_S,6,8.9,8.43,1.292,6.66,6.61,na,0.824,0.589,0.3456,1.02,0.2434,637.771,wet season (May 2011)
36,2-May-11,PerFal,adult,PerFal_A,1,10.71,10.33,1.966,7.73,7.58,na,1.2,0.868,0.46,1.43,0.4085,610.376,wet season (May 2011)
37,2-May-11,PerFal,adult,PerFal_A,2,10.21,9.68,1.551,6.88,6.86,na,0.808,0.776,0.3705,1.54,0.4053,520.954,wet season (May 2011)
38,2-May-11,PerFal,adult,PerFal_A,4,9.65,10.57,1.796,7.63,7.13,na,1.112,0.801,0.4271,1.37,0.3736,619.154,wet season (May 2011)
39,2-May-11,PerFal,adult,PerFal_A,5,7.21,7.29,0.901,5.46,4.53,na,0.574,0.413,0.1942,1.13,0.2184,637.07,wet season (May 2011)
40,2-May-11,PerFal,adult,PerFal_A,6,9.87,9.34,1.838,7.03,7.55,na,1.095,0.724,0.4167,1.16,0.307,595.756,wet season (May 2011)
99,2-May-11,PerFal,sapling,PerFal_S,2,9.61,10.05,1.96,8.57,8.58,na,1.13,0.758,0.5772,0.63,0.1809,576.531,wet season (May 2011)
98,2-May-11,PerFal,sapling,PerFal_S,5,9.77,10.35,2.408,7.43,7.47,na,1.342,0.794,0.4357,1.31,0.3581,557.309,wet season (May 2011)
100,2-May-11,PerFal,sapling,PerFal_S,5,8.25,9.17,1.258,5.83,6.33,na,0.763,0.594,0.2897,1.32,0.3042,606.518,wet season (May 2011)
97,2-May-11,PerFal,sapling,PerFal_S,6,9.25,9.77,1.435,9.85,7.32,na,0.851,0.709,0.566,0.46,0.1434,593.031,wet season (May 2011)
156,4-May-11,PerFal,sapling,PerFal_S,10,15.55,15.14,3.795,11.11,10.32,,2.409,1.848,0.9,2.32,0.9481,634.783,wet season (May 2011)
26,2-May-11,PetPub,adult,PetPub_A,1,9.95,10.07,1.55,6.6,6.69,na,1.029,0.787,0.3466,1.68,0.4399,663.871,wet season (May 2011)
27,2-May-11,PetPub,adult,PetPub_A,2,10.77,10.08,1.327,7.34,6.85,na,0.961,0.852,0.3947,1.67,0.4575,724.19,wet season (May 2011)
28,2-May-11,PetPub,adult,PetPub_A,3,8.29,8.56,1.083,5.67,5.55,na,0.685,0.557,0.247,1.41,0.31,632.502,wet season (May 2011)
29,2-May-11,PetPub,adult,PetPub_A,4,11.92,10.33,1.883,7.59,6.82,na,1.249,0.967,0.4063,1.96,0.5603,663.303,wet season (May 2011)
30,2-May-11,PetPub,adult,PetPub_A,5,9.64,9.32,1.416,6.18,6.58,na,0.926,0.705,0.3192,1.55,0.3861,653.955,wet season (May 2011)
31,2-May-11,PetPub,sapling,PetPub_S,1,11.43,11.02,2.157,7.99,8.03,na,1.431,0.989,0.5037,1.61,0.4851,663.421,wet season (May 2011)
32,2-May-11,PetPub,sapling,PetPub_S,2,9.72,9.01,1.805,7.41,6.86,na,1.103,0.687,0.399,1.12,0.2884,611.08,wet season (May 2011)
