origrow,sample_date,spp,age,date,spp_type,Rep,ID,Displacement (g),Dry mass (g),Diam1_mm,Diam2_mm,avDiam,WD
119,9/27/2010,GreDec,sapling,dry season (Sep 2010),GreDec_S,5,GreDec_S_5,1.66,0.9,7.9,8.1,8,0.54
118,9/27/2010,GreDec,sapling,dry season (Sep 2010),GreDec_S,6,GreDec_S_6,3.16,1.449,8.8,9.2,9,0.46
104,9/27/2010,GrePte,adult,dry season (Sep 2010),GrePte_A,1,GrePte_A_1,1.85,0.927,6.8,7.2,7,0.5
105,9/27/2010,GrePte,adult,dry season (Sep 2010),GrePte_A,2,GrePte_A_2,2.3,1.147,6.4,7,6.7,0.5
106,9/27/2010,GrePte,adult,dry season (Sep 2010),GrePte_A,3,GrePte_A_3,3.22,1.6,8.8,9.3,9,0.5
108,9/27/2010,GrePte,adult,dry season (Sep 2010),GrePte_A,4,GrePte_A_4,2,0.999,6.5,6.8,6.6,0.5
109,9/27/2010,GrePte,adult,dry season (Sep 2010),GrePte_A,5,GrePte_A_5,1.97,0.949,6.9,7.2,7,0.48
107,9/27/2010,GrePte,adult,dry season (Sep 2010),GrePte_A,6,GrePte_A_6,1.99,0.87,6.8,7.1,6.9,0.44
99,9/27/2010,GrePte,sapling,dry season (Sep 2010),GrePte_S,4,GrePte_S_4,5.62,2.101,10,10.5,10.2,0.37
100,9/27/2010,GrePte,sapling,dry season (Sep 2010),GrePte_S,30,GrePte_S_30,1.3,0.66,5.1,5.5,5.3,0.51
101,9/27/2010,GrePte,sapling,dry season (Sep 2010),GrePte_S,31,GrePte_S_31,2,0.992,6.5,6.7,6.6,0.5
102,9/27/2010,GrePte,sapling,dry season (Sep 2010),GrePte_S,32,GrePte_S_32,1.59,0.734,6,6.5,6.2,0.46
103,9/27/2010,GrePte,sapling,dry season (Sep 2010),GrePte_S,33,GrePte_S_33,1.66,0.759,6.2,6.6,6.4,0.46
138,9/23/2010,LopLac,adult,dry season (Sep 2010),LopLac_A,1,LopLac_A_1,1.76,0.875,5.7,5.8,5.7,0.5
85,9/27/2010,LopLac,adult,dry season (Sep 2010),LopLac_A,2,LopLac_A_2,0.92,0.427,5.3,5.5,5.4,0.46
140,9/23/2010,LopLac,adult,dry season (Sep 2010),LopLac_A,3,LopLac_A_3,1.23,0.678,4.9,5.2,5,0.55
139,9/23/2010,LopLac,adult,dry season (Sep 2010),LopLac_A,4,LopLac_A_4,2.8,1.446,7.6,7.8,7.7,0.52
141,9/23/2010,LopLac,adult,dry season (Sep 2010),LopLac_A,5,LopLac_A_5,3.2,1.558,7.9,9.2,8.5,0.49
142,9/23/2010,LopLac,adult,dry season (Sep 2010),LopLac_A,6,LopLac_A_6,2.78,1.325,7.3,7.5,7.4,0.48
172,9/29/2010,LopLac,adult,dry season (Sep 2010),LopLac_A,30,LopLac_A_30,1.44,0.711,6.5,7.6,7,0.49
173,9/29/2010,LopLac,adult,dry season (Sep 2010),LopLac_A,31,LopLac_A_31,2.08,1.015,7.5,7.8,7.6,0.49
84,9/27/2010,LopLac,sapling,dry season (Sep 2010),LopLac_S,1,LopLac_S_1,1.53,0.632,5.5,5.8,5.6,0.41
159,9/29/2010,LopLac,sapling,dry season (Sep 2010),LopLac_S,60,LopLac_S_60,1.72,0.791,6.8,7.2,7,0.46
175,9/29/2010,LopLac,sapling,dry season (Sep 2010),LopLac_S,61,LopLac_S_61,1.97,0.928,7,7.5,7.2,0.47
176,9/29/2010,LopLac,sapling,dry season (Sep 2010),LopLac_S,62,LopLac_S_62,1.96,0.933,7.2,7.4,7.3,0.48
177,9/29/2010,LopLac,sapling,dry season (Sep 2010),LopLac_S,63,LopLac_S_63,1.88,0.818,6.6,6.8,6.7,0.44
174,9/29/2010,LopLac,sapling,dry season (Sep 2010),LopLac_S,64,LopLac_S_64,1.79,0.871,6.9,7.4,7.1,0.49
19,9/24/2010,PerFal,adult,dry season (Sep 2010),PerFal_A,1,PerFal_A_1,2.27,1.297,7.1,7.4,7.2,0.57
20,9/24/2010,PerFal,adult,dry season (Sep 2010),PerFal_A,2,PerFal_A_2,2.03,1.142,6.1,6.4,6.2,0.56
21,9/24/2010,PerFal,adult,dry season (Sep 2010),PerFal_A,3,PerFal_A_3,2.06,1.184,6.3,7.9,7.1,0.57
22,9/24/2010,PerFal,adult,dry season (Sep 2010),PerFal_A,4,PerFal_A_4,4.36,2.223,8.9,9,8.9,0.51
80,9/27/2010,PerFal,adult,dry season (Sep 2010),PerFal_A,5,PerFal_A_5,1.96,1.004,6.2,6.4,6.3,0.51
81,9/27/2010,PerFal,adult,dry season (Sep 2010),PerFal_A,7,PerFal_A_7,2.28,1.222,7.4,8,7.7,0.54
18,9/24/2010,PerFal,sapling,dry season (Sep 2010),PerFal_S,1,PerFal_S_1,2.88,1.371,7.5,7.6,7.5,0.48
52,9/24/2010,PerFal,sapling,dry season (Sep 2010),PerFal_S,11,PerFal_S_11,1.32,0.701,4.7,5.9,5.3,0.53
