Owner,Reference,Site,sample_date,Latitude,Longitude,Species,ID,spp,age,Rep,date,Asat_area (micromol/m2/s),gsw (mol/m2/s),Ci,Ca,CiCa ratio,Tleaf,DBH,CBH,SLA_photosynthesis_mm2mg,Amass,DELETE?,logPhoto,logAmass,log_gs
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia difficilis,AcaDif_S4,AcaDif,sapling,4,wet season (May 2011),15.597,350.354,292.179,379.202,0.771,26.973,0.6,1.8,10.35,161.38,,1.193044866,2.207849837,-0.455493221
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia difficilis,AcaDif_S5,AcaDif,sapling,5,wet season (May 2011),20.982,619.903,299.167,371.421,0.805,26.382,0.8,2.5,9.8,205.56,,1.321842268,2.312931966,-0.207676228
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia difficilis,AcaDif_S6,AcaDif,sapling,6,wet season (May 2011),25.047,856.793,300.27,366.898,0.818,26.789,0.8,2.6,10.14,253.91,,1.398753688,2.404684555,-0.067124055
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia difficilis,AcaDif_S7,AcaDif,sapling,7,wet season (May 2011),24.585,1161.488,314.175,366.976,0.856,26.866,1,3,11.31,278.13,,1.390661745,2.444243937,0.065014597
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia latescens,AcaLat_A1,AcaLat,adult,1,wet season (May 2011),13.477,468.612,316.929,376.838,0.841,26.887,11.8,37,6.92,93.25,,1.129594521,1.96967,-0.329186521
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia latescens,AcaLAt_A2,AcaLat,adult,2,wet season (May 2011),16.583,685.907,318.563,371.882,0.857,26.924,5.3,16.5,6.7,111.17,,1.219650323,2.045979248,-0.163734712
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia latescens,AcaLat_A3,AcaLat,adult,3,wet season (May 2011),19.727,532.739,291.479,367.389,0.793,27.06,5.4,17,6.59,129.94,,1.295055132,2.113758226,-0.273485316
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia latescens,AcaLat_A4,AcaLat,adult,4,wet season (May 2011),14.337,609.785,323.637,375.092,0.863,27.055,11.6,36.5,7.11,101.9,,1.156445632,2.008169142,-0.214823193
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia latescens,AcaLat_A5,AcaLat,adult,5,wet season (May 2011),14.498,268.978,278.496,379.947,0.733,27.285,4.3,13.6,6.93,100.45,,1.161302497,2.001958462,-0.570283482
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia latescens,AcaLat_A6,AcaLat,adult,6,wet season (May 2011),18.189,612.117,310.869,373.446,0.832,27.262,7.3,22.9,6.59,119.82,,1.259798256,2.078518885,-0.213165246
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia latescens,AcaLat_S1,AcaLat,sapling,1,wet season (May 2011),14.253,392.819,309.784,381.784,0.811,26.924,1.1,3.5,7.3,104.02,,1.153909471,2.017127945,-0.405807306
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia latescens,AcaLat_S2,AcaLat,sapling,2,wet season (May 2011),22.546,754.682,297.52,362.743,0.82,26.982,1,3,5.67,127.8,,1.353060214,2.10651887,-0.122236015
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia latescens,AcaLat_S3,AcaLat,sapling,3,wet season (May 2011),17.001,586.936,309.368,370.991,0.834,27,0.6,2,6.12,104.05,,1.230466022,2.017257235,-0.231408922
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia latescens,AcaLat_S4,AcaLat,sapling,4,wet season (May 2011),17.886,609.48,307.222,369.736,0.831,26.997,1.4,4.5,6.63,118.63,,1.252501803,2.074210407,-0.215040876
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia latescens,AcaLat_S5,AcaLat,sapling,5,wet season (May 2011),19.914,746.678,308.085,366.946,0.84,27.238,1.3,4.1,6.32,125.93,,1.299153993,2.100113536,-0.126866623
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia latescens,AcaLat_S6,AcaLat,sapling,6,wet season (May 2011),16.106,844.33,334.448,377.833,0.885,27.272,2.4,7.5,6.48,104.37,,1.206999085,2.018555977,-0.073487752
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia latescens,AcaLat_S7,AcaLat,sapling,7,wet season (May 2011),21.795,659.279,294.624,364.564,0.808,27.252,1.8,5.7,6.09,132.72,,1.338359664,2.122942997,-0.180931005
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia mimula,AcaMim_A1,AcaMim,adult,1,wet season (May 2011),11.16,343.873,316.126,381.253,0.829,27.051,6.4,20,5.48,61.14,1,1.047662043,1.786353296,-0.463601851
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia mimula,AcaMim_A2,AcaMim,adult,2,wet season (May 2011),13.329,523.969,326.562,380.472,0.858,27.083,2.4,7.6,6.03,80.35,,1.124808899,1.904971199,-0.280694027
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia mimula,AcaMim_A3,AcaMim,adult,3,wet season (May 2011),15.482,738.591,324.606,372.542,0.871,27.447,2.8,8.8,7.95,123.07,,1.189832915,2.090167134,-0.131596045
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia mimula,AcaMim_A4,AcaMim,adult,4,wet season (May 2011),16.282,643.314,321.372,375.01,0.857,27.131,3.5,11,4.81,78.28,,1.211697455,1.893646204,-0.191576663
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia mimula,AcaMim_A5,AcaMim,adult,5,wet season (May 2011),19.885,584.028,311.48,381.288,0.817,26.512,2.2,7,9.5,188.81,,1.298519041,2.2760249,-0.2335664
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia mimula,AcaMim_A6,AcaMim,adult,6,wet season (May 2011),21.455,733.762,306.292,371.335,0.825,26.686,2.5,8,6.81,146.11,,1.331532239,2.164685793,-0.134444782
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia mimula,AcaMim_S1,AcaMim,sapling,1,wet season (May 2011),21.961,135.435,93.193,367.355,0.254,26.879,1.4,4.5,8.2,180.12,,1.341642535,2.255571508,-0.868268739
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia mimula,AcaMim_S2,AcaMim,sapling,2,wet season (May 2011),15.07,728.437,325.569,372.92,0.873,27.439,0.6,1.9,5.53,83.27,1,1.178122814,1.92047161,-0.13760801
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia mimula,AcaMim_S3,AcaMim,sapling,3,wet season (May 2011),18.341,625.882,306.406,368.679,0.831,26.853,1.4,4.5,7.61,139.62,,1.263424191,2.144934103,-0.203507309
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia mimula,AcaMim_S4,AcaMim,sapling,4,wet season (May 2011),17.745,933.114,330.076,373.396,0.884,27.559,1.3,4,7.76,137.78,,1.249082816,2.139184324,-0.030065469
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia mimula,AcaMim_S5,AcaMim,sapling,5,wet season (May 2011),12.109,861.501,347.25,382.167,0.909,27.248,1,3,7.13,86.39,,1.083118837,1.936455956,-0.06474433
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Acacia mimula,AcaMim_S6,AcaMim,sapling,6,wet season (May 2011),16.924,854.488,328.794,375.873,0.875,26.327,1.1,3.6,9.05,153.24,,1.228510266,2.185364461,-0.068294058
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Buchanania obovata,BucObo_A1,BucObo,adult,1,wet season (May 2011),10.365,124.829,241.388,384.666,0.628,26.799,13.4,42,7.86,81.47,1,1.015573713,1.911019281,-0.903684878
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Buchanania obovata,BucObo_A2,BucObo,adult,2,wet season (May 2011),13.949,378.028,303.15,376.697,0.805,27.271,6.5,20.5,6.46,90.1,,1.144534835,1.954744755,-0.422475621
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Buchanania obovata,BucObo_A3,BucObo,adult,3,wet season (May 2011),9.452,225.425,301.012,382.98,0.786,27.017,13.3,41.9,7.44,70.3,1,0.975544838,1.846947212,-0.646998312
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Buchanania obovata,BucObo_A4,BucObo,adult,4,wet season (May 2011),15.064,378.006,296.875,375.226,0.791,27.185,7,22,7.49,112.83,,1.177928468,2.05242899,-0.422501574
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Buchanania obovata,BucObo_A5,BucObo,adult,5,wet season (May 2011),12.13,386.692,317.285,380.01,0.835,27.567,7.3,23,6.66,80.82,,1.08384574,1.907532845,-0.412634559
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Buchanania obovata,BucObo_A6,BucObo,adult,6,wet season (May 2011),12.562,346.923,309.906,382.771,0.81,27.313,6.7,21,7.56,94.92,,1.09904917,1.977379435,-0.459766728
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Buchanania obovata,BucObo_A7,BucObo,adult,7,wet season (May 2011),11.873,332.062,310.827,383.728,0.81,26.82,8.3,26,8.31,98.64,,1.074549123,1.994034749,-0.478781361
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Buchanania obovata,BucObo_A8,BucObo,adult,8,wet season (May 2011),12.889,299.67,297.029,382.784,0.776,27.128,5.6,17.5,8.2,105.63,,1.110231796,2.023784025,-0.523356572
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Buchanania obovata,BucObo_S1,BucObo,sapling,1,wet season (May 2011),12.464,348.665,307.823,378.804,0.813,26.962,3,9.5,6.77,84.34,,1.095655371,1.926045885,-0.457591642
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Buchanania obovata,BucObo_S2,BucObo,sapling,2,wet season (May 2011),13.168,280.763,288.559,378.553,0.762,27.35,1,3,8.11,106.78,,1.119521001,2.0284877,-0.551659364
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Buchanania obovata,BucObo_S3,BucObo,sapling,3,wet season (May 2011),10.343,329.677,319.66,382.008,0.837,26.577,1.6,5,6.2,64.09,,1.01464719,1.806790853,-0.481911752
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Buchanania obovata,BucObo_S4,BucObo,sapling,4,wet season (May 2011),5.376,86.949,280.283,392.265,0.715,26.503,1.3,4.2,5.74,30.85,1,0.730459326,1.489317172,-1.060737845
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Buchanania obovata,BucObo_S5,BucObo,sapling,5,wet season (May 2011),10.878,278.401,307.921,384.994,0.8,27.291,1.3,4,7.42,80.76,,1.036564218,1.90721025,-0.555329722
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Buchanania obovata,BucObo_S6,BucObo,sapling,6,wet season (May 2011),11.177,268.793,302.385,384.279,0.787,26.372,2.5,8,6.65,74.29,,1.048309048,1.870930726,-0.570582109
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Cochlospermum fraseri,CocFra_A1,CocFra,adult,1,wet season (May 2011),11.198,307.05,310.901,381.217,0.816,27.115,2.9,9,21.91,245.35,,1.049149555,2.389791933,-0.512790904
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Cochlospermum fraseri,CocFra_A2,CocFra,adult,2,wet season (May 2011),14.395,390.494,303.282,376.111,0.806,27.208,3.6,11.2,18.14,261.07,,1.158211065,2.416755233,-0.408386081
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Cochlospermum fraseri,CocFra_A3,CocFra,adult,3,wet season (May 2011),10.441,276.268,310.445,384.615,0.807,26.68,8,25,19.35,202.08,,1.01874148,2.305524456,-0.558669867
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Cochlospermum fraseri,CocFra_A4,CocFra,adult,4,wet season (May 2011),16.852,434.763,299.496,377.62,0.793,26.729,3.4,10.8,19.43,327.39,,1.226656044,2.515067881,-0.361747151
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Cochlospermum fraseri,CocFra_A5,CocFra,adult,5,wet season (May 2011),14.083,340.132,299.364,381.544,0.785,27.559,9.5,30,16.53,232.75,,1.148680628,2.366881822,-0.468352323
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Cochlospermum fraseri,CocFra_A6,CocFra,adult,6,wet season (May 2011),6.069,178.663,322.536,391.585,0.824,26.751,7.8,24.4,21.17,128.5,1,0.783109599,2.108886403,-0.747964455
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Cochlospermum fraseri,CocFra_S1,CocFra,sapling,1,wet season (May 2011),15.249,467.51,308.199,374.343,0.823,26.739,1.6,5,20.77,316.71,,1.183231385,2.500667881,-0.330209096
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Cochlospermum fraseri,CocFra_S2,CocFra,sapling,2,wet season (May 2011),17.96,766.881,318.77,370.383,0.861,27.471,0.5,1.5,20.91,375.53,,1.254305843,2.574646895,-0.11527195
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Cochlospermum fraseri,CocFra_S3,CocFra,sapling,3,wet season (May 2011),18.84,680.731,314.456,374.752,0.839,27.066,1,3,17.95,338.23,,1.275082424,2.529214079,-0.167024676
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Cochlospermum fraseri,CocFra_S4,CocFra,sapling,4,wet season (May 2011),22.009,624.265,295.923,370.541,0.799,27.245,1,3,19.26,423.9,,1.342599391,2.627267541,-0.204631026
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Cochlospermum fraseri,CocFra_S5,CocFra,sapling,5,wet season (May 2011),13.094,322.717,302.899,383.097,0.791,27.672,1.4,4.4,15.72,205.83,1,1.117069849,2.313508914,-0.49117862
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Cochlospermum fraseri,CocFra_S6,CocFra,sapling,6,wet season (May 2011),20.177,668.495,305.849,371.704,0.823,26.561,1,3.2,18.73,377.99,,1.304848726,2.577485865,-0.17490191
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Corymbia bleeseri,CorBle_A1,CorBle,adult,1,wet season (May 2011),21.371,542.103,285.893,365.036,0.783,27.254,11.3,35.5,6.21,132.82,,1.329828973,2.123257165,-0.265918363
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Corymbia bleeseri,CorBle_A2,CorBle,adult,2,wet season (May 2011),24.361,,335.412,359.246,0.934,27.152,11.1,35,4.9,119.35,,1.386694188,2.076822606,0.582582381
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Corymbia bleeseri,CorBle_A3,CorBle,adult,3,wet season (May 2011),19.982,873.726,314.096,365.734,0.859,27.475,9.9,31,5.81,116.13,,1.300629157,2.06493322,-0.058624944
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Corymbia bleeseri,CorBle_A4,CorBle,adult,4,wet season (May 2011),22.109,602.109,290.265,364.658,0.796,27.189,10.2,32,6.3,139.24,,1.344565763,2.143759617,-0.220324726
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Corymbia bleeseri,CorBle_A5,CorBle,adult,5,wet season (May 2011),19.011,566.374,304.785,374.462,0.814,27.348,14,44,5.44,103.49,,1.279001325,2.014877818,-0.246896912
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Corymbia bleeseri,CorBle_A6,CorBle,adult,6,wet season (May 2011),23.198,556.854,286.272,371.039,0.772,26.608,11.5,36,5.52,128.02,,1.365450905,2.10726775,-0.254258925
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Corymbia bleeseri,CorBle_S1,CorBle,sapling,1,wet season (May 2011),19.718,385.469,271.195,369.132,0.735,27.278,4.1,13,4.73,93.34,,1.294862692,1.970072856,-0.414010234
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Corymbia bleeseri,CorBle_S2,CorBle,sapling,2,wet season (May 2011),16.841,474.401,305.074,376.383,0.811,27.397,1,3.1,5.27,88.75,,1.226361849,1.948172464,-0.32385424
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Corymbia bleeseri,CorBle_S3,CorBle,sapling,3,wet season (May 2011),20.144,559.052,293.084,365.909,0.801,26.822,1.3,4,4.36,87.74,,1.304138495,1.943189389,-0.252547818
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Corymbia bleeseri,CorBle_S4,CorBle,sapling,4,wet season (May 2011),16.871,299.307,271.302,376.986,0.72,26.594,4.5,14,3.97,67.05,1,1.227132216,1.82641845,-0.523883301
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Corymbia bleeseri,CorBle_S5,CorBle,sapling,5,wet season (May 2011),20.879,470.902,284.849,372.713,0.764,27.262,3.5,11,4.76,99.47,,1.319713499,1.997696386,-0.327069643
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Corymbia bleeseri,CorBle_S6,CorBle,sapling,6,wet season (May 2011),17.926,442.793,293.693,375.186,0.783,26.47,4,12.6,4.12,73.8,,1.253477357,1.868034403,-0.353798768
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Corymbia porrecta,CorPor_A1,CorPor,adult,1,wet season (May 2011),21.567,434.656,268.304,364.148,0.737,26.971,9.5,30,5.34,115.12,,1.333782109,2.061156757,-0.361854069
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Corymbia porrecta,CorPor_A2,CorPor,adult,2,wet season (May 2011),14.922,327.805,288.626,375.67,0.768,27.074,11.5,36,6.48,96.65,1,1.173823406,1.985182935,-0.484384318
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Corymbia porrecta,CorPor_A3,CorPor,adult,3,wet season (May 2011),18.986,490.807,290.475,368.06,0.789,26.934,33.1,104,5.46,103.58,,1.278428747,2.015260297,-0.309088847
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Corymbia porrecta,CorPor_A4,CorPor,adult,4,wet season (May 2011),20.395,538.118,290.954,366.697,0.793,27.188,9.5,30,5.46,111.43,,1.30952725,2.047021496,-0.269122217
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Corymbia porrecta,CorPor_A5,CorPor,adult,5,wet season (May 2011),21.053,576.075,297.13,372.066,0.799,27.198,7.6,24,5.66,119.07,,1.323309849,2.075785122,-0.239521054
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Corymbia porrecta,CorPor_A6,CorPor,adult,6,wet season (May 2011),19.048,464.148,291.029,373.53,0.779,26.547,8,25,5.86,111.64,,1.279860689,2.0478069,-0.333343812
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Corymbia porrecta,CorPor_S1,CorPor,sapling,1,wet season (May 2011),21.76,586.972,289.308,364.517,0.794,27.314,3.8,12,6.22,135.33,,1.337658744,2.131400128,-0.231382872
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Corymbia porrecta,CorPor_S2,CorPor,sapling,2,wet season (May 2011),17.87,691.165,313.03,368.887,0.849,27.27,4.5,14,5.6,100.05,1,1.252118865,2.000237643,-0.160418346
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Corymbia porrecta,CorPor_S3,CorPor,sapling,3,wet season (May 2011),23.72,534.66,273.188,360.893,0.757,26.86,4.1,13,5.27,124.98,,1.375105866,2.096842776,-0.271922434
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Corymbia porrecta,CorPor_S4,CorPor,sapling,4,wet season (May 2011),24.857,745.498,296.287,367.178,0.807,26.984,2.9,9,4.85,120.66,,1.3954574,2.081558478,-0.127553289
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Corymbia porrecta,CorPor_S5,CorPor,sapling,5,wet season (May 2011),18.988,633.828,311.355,374.757,0.831,27.265,4.8,15,5.7,108.23,,1.278489899,2.034364755,-0.198028795
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Corymbia porrecta,CorPor_S6,CorPor,sapling,6,wet season (May 2011),16.765,558.563,313.276,377.107,0.831,26.877,4.5,14,5.64,94.62,,1.224414278,1.975990484,-0.252927519
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Erythrophleum chlorostachys,EryChl_A1,EryChl,adult,1,wet season (May 2011),7.88,149.507,286.085,387.192,0.739,26.977,28,88,10.29,81.09,1,0.89650343,1.908962898,-0.825339291
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Erythrophleum chlorostachys,EryChl_A2,EryChl,adult,2,wet season (May 2011),14.214,395.99,297.663,375.439,0.793,27.052,12.1,38,10.92,155.2,,1.152719737,2.190901231,-0.402315379
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Erythrophleum chlorostachys,EryChl_A3,EryChl,adult,3,wet season (May 2011),14.168,336.331,287.578,375.528,0.766,26.875,13.7,43,9.54,135.14,,1.151316975,2.130785006,-0.473232967
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Erythrophleum chlorostachys,EryChl_A4,EryChl,adult,4,wet season (May 2011),18.145,405.656,279.802,376.144,0.744,27.071,20.4,64,9.77,177.34,,1.258751992,2.248817491,-0.391842444
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Erythrophleum chlorostachys,EryChl_A5,EryChl,adult,5,wet season (May 2011),18.486,459.798,286.356,375.542,0.763,27.361,8.6,27,9.88,182.65,,1.266842864,2.261613129,-0.337433073
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Erythrophleum chlorostachys,EryChl_A6,EryChl,adult,6,wet season (May 2011),15.789,212.167,234.783,378.478,0.62,26.597,22.3,70,10.48,165.41,,1.198362646,2.218550112,-0.67332176
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Erythrophleum chlorostachys,EryChl_S1,EryChl,sapling,1,wet season (May 2011),11.917,209.461,269.445,380.073,0.709,26.949,2.7,8.5,10.12,120.54,1,1.076175381,2.081147773,-0.678896505
Wright,Wright et al. 2018 Austral Ecology,Howard Springs,11-May,-12.4528,131.1083,Erythrophleum chlorostachys,EryChl_S2,EryChl,sapling,2,wet season (May 2011),13.906,290.478,280.036,377.656,0.742,27.058,1,3,9.71,135.08,1,1.143194985,2.130588117,-0.536887467
