spp,age,spp_age,Rep,SLA (m2/kg1),LMA (g/m2),notes,Dry Mass (g),Spec_age,Rep1,Total Area (cm2),date
AcaMim,sapling,AcaMim_S,5,6.2,161.22,,0.917,Aca Mim_S,5,56.879,wet season (May 2011)
BucObo,adult,BucObo_A,3,6.3,158.56,,5.806,Buc Obo_A,3,366.164,wet season (May 2011)
BucObo,adult,BucObo_A,5,5.7,174.65,,5.96,Buc Obo_A,5,341.258,wet season (May 2011)
BucObo,adult,BucObo_A,7,5,199.15,,5.753,Buc Obo_A,7,288.877,wet season (May 2011)
BucObo,adult,BucObo_A,10,2.3,438.41,,6.536,Buc Obo_A,10,149.083,wet season (May 2011)
BucObo,adult,BucObo_A,11,6.4,155.94,,6.96,Buc Obo_A,11,446.315,wet season (May 2011)
BucObo,sapling,BucObo_S,1,5.8,173.05,,10.622,Buc Obo_S,1,613.824,wet season (May 2011)
BucObo,sapling,BucObo_S,2,6.4,156.42,,6.742,Buc Obo_S,2,431.007,wet season (May 2011)
BucObo,sapling,BucObo_S,10,4.8,206.69,,9.75,Buc Obo_S,10,471.724,wet season (May 2011)
BucObo,sapling,BucObo_S,20,5.2,193.56,,10.146,Buc Obo_S,20,524.173,wet season (May 2011)
BucObo,sapling,BucObo_S,40,6.4,156.47,,9.701,Buc Obo_S,40,620.01,wet season (May 2011)
CocFra,adult,CocFra_A,1,18.4,54.47,,0.91,Coc Fra_A,1,167.051,wet season (May 2011)
CocFra,adult,CocFra_A,2,16.1,61.92,,1.508,Coc Fra_A,2,243.523,wet season (May 2011)
CocFra,adult,CocFra_A,3,16.9,59.23,,1.619,Coc Fra_A,3,273.323,wet season (May 2011)
CocFra,adult,CocFra_A,4,15.8,63.42,,2.421,Coc Fra_A,4,381.727,wet season (May 2011)
CocFra,adult,CocFra_A,5,18.2,54.94,,1.11,Coc Fra_A,5,202.024,wet season (May 2011)
CocFra,adult,CocFra_A,20,18.5,53.96,,0.828,Coc Fra_A,20,153.436,wet season (May 2011)
CocFra,sapling,CocFra_S,1,18.1,55.39,,0.946,Coc Fra_S,1,170.787,wet season (May 2011)
CocFra,sapling,CocFra_S,2,15.3,65.48,,2.115,Coc Fra_S,2,322.979,wet season (May 2011)
CocFra,sapling,CocFra_S,3,17.9,55.94,,1.538,Coc Fra_S,3,274.955,wet season (May 2011)
CocFra,sapling,CocFra_S,4,16.9,59.1,,1.649,Coc Fra_S,4,279.005,wet season (May 2011)
CocFra,sapling,CocFra_S,5,15.2,65.79,,1.251,Coc Fra_S,5,190.152,wet season (May 2011)
CocFra,sapling,CocFra_S,10,13,77.14,,1.736,Coc Fra_S,10,225.048,wet season (May 2011)
CocFra,sapling,CocFra_S,11,21.7,46,,1.336,Coc Fra_S,11,290.442,wet season (May 2011)
CorBle,adult,CorBle_A,1,5.6,180.12,,1.048,Cor Ble_A,1,58.183,wet season (May 2011)
CorBle,adult,CorBle_A,2,6,167.31,,0.898,Cor Ble_A,2,53.673,wet season (May 2011)
CorBle,adult,CorBle_A,3,5.3,187.83,,1.428,Cor Ble_A,3,76.026,wet season (May 2011)
CorBle,adult,CorBle_A,4,5,200.05,,1.409,Cor Ble_A,4,70.431,wet season (May 2011)
CorBle,adult,CorBle_A,5,4.9,204.61,,1.716,Cor Ble_A,5,83.866,wet season (May 2011)
CorBle,sapling,CorBle_S,1,2.6,388.97,,1.927,Cor Ble_S,1,49.541,wet season (May 2011)
CorBle,sapling,CorBle_S,2,4.6,216.86,,1.314,Cor Ble_S,2,60.593,wet season (May 2011)
CorBle,sapling,CorBle_S,3,5.8,171.18,,1.051,Cor Ble_S,3,61.399,wet season (May 2011)
CorBle,sapling,CorBle_S,4,5.2,192.09,,1.196,Cor Ble_S,4,62.261,wet season (May 2011)
CorBle,sapling,CorBle_S,5,5.2,191.66,,1.141,Cor Ble_S,5,59.531,wet season (May 2011)
CorBle,sapling,CorBle_S,6,4.9,204.96,,1.957,Cor Ble_S,6,95.481,wet season (May 2011)
CorBle,sapling,CorBle_S,25,4.7,215.05,,1.546,Cor Ble_S,25,71.889,wet season (May 2011)
CorPor,adult,CorPor_A,1,5.2,191.45,,2.539,Cor Por_A,1,132.622,wet season (May 2011)
CorPor,adult,CorPor_A,2,5.9,169.99,,2.044,Cor Por_A,2,120.241,wet season (May 2011)
CorPor,adult,CorPor_A,3,4.9,202.83,,1.74,Cor Por_A,3,85.785,wet season (May 2011)
CorPor,adult,CorPor_A,4,5.4,183.92,,2.776,Cor Por_A,4,150.932,wet season (May 2011)
CorPor,adult,CorPor_A,5,4.8,208.93,,3.425,Cor Por_A,5,163.93,wet season (May 2011)
CorPor,sapling,CorPor_S,2,3.7,272.96,,4.36,Cor Por_S,2,159.728,wet season (May 2011)
CorPor,sapling,CorPor_S,3,4,247.36,,2.853,Cor Por_S,3,115.34,wet season (May 2011)
CorPor,sapling,CorPor_S,4,4.9,204.96,,2.331,Cor Por_S,4,113.731,wet season (May 2011)
CorPor,sapling,CorPor_S,5,5.3,189.66,,2.208,Cor Por_S,5,116.417,wet season (May 2011)
CorPor,sapling,CorPor_S,6,5.1,195.71,,3.002,Cor Por_S,6,153.39,wet season (May 2011)
EryChl,adult,EryChl_A,1,9.7,102.99,,0.821,Ery Chl_A,1,79.715,wet season (May 2011)
EryChl,adult,EryChl_A,2,11.3,88.43,,0.839,Ery Chl_A,2,94.874,wet season (May 2011)
EryChl,adult,EryChl_A,3,9,111.7,,1.174,Ery Chl_A,3,105.101,wet season (May 2011)
EryChl,adult,EryChl_A,4,9.8,102.09,,0.572,Ery Chl_A,4,56.027,wet season (May 2011)
EryChl,adult,EryChl_A,5,8,124.5,,1.396,Ery Chl_A,5,112.126,wet season (May 2011)
EryChl,sapling,EryChl_S,1,9.1,110.05,,2.048,Ery Chl_S,1,186.091,wet season (May 2011)
EryChl,sapling,EryChl_S,2,8.3,121.16,,1.417,Ery Chl_S,2,116.951,wet season (May 2011)
EryChl,sapling,EryChl_S,3,12.1,82.82,,0.825,Ery Chl_S,3,99.612,wet season (May 2011)
EryChl,sapling,EryChl_S,4,9.9,100.7,,1.467,Ery Chl_S,4,145.685,wet season (May 2011)
EryChl,sapling,EryChl_S,10,9.7,103.5,,1.186,Ery Chl_S,10,114.587,wet season (May 2011)
EucMin,adult,EucMin_A,3,5.4,185.48,,3.279,Euc Min_A,3,176.788,wet season (May 2011)
EucMin,adult,EucMin_A,10,,,,,Euc Min_A,10,173.638,wet season (May 2011)
EucMin,adult,EucMin_A,20,6.3,159.16,,2.791,Euc Min_A,20,175.356,wet season (May 2011)
EucMin,adult,EucMin_A,21,7.2,139.55,,2.62,Euc Min_A,21,187.744,wet season (May 2011)
EucMin,adult,EucMin_A,22,8.4,118.86,,1.427,Euc Min_A,22,120.058,wet season (May 2011)
EucMin,sapling,EucMin_S,2,6.7,149.76,,3.591,Euc Min_S,2,239.79,wet season (May 2011)
EucMin,sapling,EucMin_S,3,3.1,321.39,,3.403,Euc Min_S,3,105.884,wet season (May 2011)
EucMin,sapling,EucMin_S,5,6.6,152.16,,3.078,Euc Min_S,5,202.282,wet season (May 2011)
EucMin,sapling,EucMin_S,6,6.8,146.89,,2.799,Euc Min_S,6,190.552,wet season (May 2011)
EucMin,sapling,EucMin_S,7,5.2,192.68,,3.318,Euc Min_S,7,172.202,wet season (May 2011)
EucTet,adult,EucTet_A,1,1.7,582.34,,5.263,Euc Tet_A,1,90.376,wet season (May 2011)
EucTet,adult,EucTet_A,2,4.5,222.7,,4.271,Euc Tet_A,2,191.783,wet season (May 2011)
EucTet,adult,EucTet_A,3,5.6,178.75,,3.333,Euc Tet_A,3,186.464,wet season (May 2011)
EucTet,adult,EucTet_A,4,4.9,203.73,,3.904,Euc Tet_A,4,191.627,wet season (May 2011)
EucTet,adult,EucTet_A,5,4.7,210.84,,4.941,Euc Tet_A,5,234.348,wet season (May 2011)
EucTet,sapling,EucTet_S,1,4.2,239.89,,4.548,Euc Tet_S,1,189.587,wet season (May 2011)
EucTet,sapling,EucTet_S,2,,,,,Euc Tet_S,2,117.983,wet season (May 2011)
EucTet,sapling,EucTet_S,3,4.5,220.85,,5.714,Euc Tet_S,3,258.73,wet season (May 2011)
EucTet,sapling,EucTet_S,4,5.3,189.56,,2.284,Euc Tet_S,4,120.492,wet season (May 2011)
EucTet,sapling,EucTet_S,5A,3.1,320.62,,8.103,Euc Tet_S,5,252.729,wet season (May 2011)
EucTet,sapling,EucTet_S,6,4,249.98,,5.697,Euc Tet_S,6,227.901,wet season (May 2011)
GreDec,adult,GreDec_A,1,9.3,107.28,,0.659,Gre Dec_A,1,61.429,wet season (May 2011)
GreDec,adult,GreDec_A,2,11.3,88.73,,0.434,Gre Dec_A,2,48.911,wet season (May 2011)
GreDec,adult,GreDec_A,3,9.4,106.08,,0.501,Gre Dec_A,3,47.228,wet season (May 2011)
GreDec,adult,GreDec_A,5,11.3,88.2,,0.419,Gre Dec_A,5,47.504,wet season (May 2011)
GreDec,adult,GreDec_A,20,9.6,104.64,,0.586,Gre Dec_A,20,56,wet season (May 2011)
GreDec,sapling,GreDec_S,4,11.2,89.36,,0.438,Gre Dec_S,4,49.014,wet season (May 2011)
GreDec,sapling,GreDec_S,5,10.7,93.35,,0.574,Gre Dec_S,5,61.487,wet season (May 2011)
GreDec,sapling,GreDec_S,2A,10.3,96.91,,0.544,Gre Dec_S,2a,56.137,wet season (May 2011)
GreDec,sapling,GreDec_S,2B,8.7,114.57,,0.455,Gre Dec_S,2b,39.715,wet season (May 2011)
GreDec,sapling,GreDec_S,3A,8.2,121.71,,0.567,Gre Dec_S,3a,46.585,wet season (May 2011)
GreDec,sapling,GreDec_S,3B,10,99.77,,0.678,Gre Dec_S,3b,67.957,wet season (May 2011)
GrePte,adult,GrePte_A,1,5,200.72,,0.754,Gre Pte_A,1,37.564,wet season (May 2011)
GrePte,adult,GrePte_A,3,5.5,180.94,,0.6,Gre Pte_A,3,33.16,wet season (May 2011)
GrePte,adult,GrePte_A,4,5.7,175.28,,0.339,Gre Pte_A,4,19.34,wet season (May 2011)
GrePte,adult,GrePte_A,5,7.8,127.62,,0.764,Gre Pte_A,5,59.863,wet season (May 2011)
GrePte,adult,GrePte_A,6,4,247.4,,1.041,Gre Pte_A,6,42.077,wet season (May 2011)
GrePte,sapling,GrePte_S,2,5.7,174.31,,1.045,Gre Pte_S,2,59.949,wet season (May 2011)
GrePte,sapling,GrePte_S,4,7.6,132.19,,1.098,Gre Pte_S,4,83.061,wet season (May 2011)
GrePte,sapling,GrePte_S,6,6.4,156.47,,1.317,Gre Pte_S,6,84.171,wet season (May 2011)
GrePte,sapling,GrePte_S,7,6.7,149.44,,1.365,Gre Pte_S,7,91.338,wet season (May 2011)
GrePte,sapling,GrePte_S,10,6.2,160.3,,1.856,Gre Pte_S,10,115.784,wet season (May 2011)
GrePte,sapling,GrePte_S,11,7.9,126.5,,1.07,Gre Pte_S,11,84.583,wet season (May 2011)
LopLac,adult,LopLac_A,1,10.1,98.67,,1.157,Lop Lac_A,1,117.264,wet season (May 2011)
LopLac,adult,LopLac_A,2,9.1,109.56,,1.198,Lop Lac_A,2,109.347,wet season (May 2011)
LopLac,adult,LopLac_A,3,7,142,,2.504,Lop Lac_A,3,176.342,wet season (May 2011)
LopLac,adult,LopLac_A,4,7.8,128.58,,1.29,Lop Lac_A,4,100.327,wet season (May 2011)
LopLac,adult,LopLac_A,5,11.1,90.31,,0.63,Lop Lac_A,5,69.758,wet season (May 2011)
LopLac,sapling,LopLac_S,1,7.5,133.14,,1.372,Lop Lac_S,1,103.05,wet season (May 2011)
LopLac,sapling,LopLac_S,2,7.4,135.87,,2.223,Lop Lac_S,2,163.617,wet season (May 2011)
LopLac,sapling,LopLac_S,3,6.5,153.35,,2.103,Lop Lac_S,3,137.136,wet season (May 2011)
LopLac,sapling,LopLac_S,5,9.9,100.66,,1.71,Lop Lac_S,5,169.878,wet season (May 2011)
LopLac,sapling,LopLac_S,6,5.4,185.16,,4.766,Lop lac_S,6,257.4,wet season (May 2011)
PerFal,adult,PerFal_A,1,9.2,108.26,,2.036,Per Fal_A,1,188.068,wet season (May 2011)
PerFal,adult,PerFal_A,2,5,201.68,,2.912,Per Fal_A,2,144.386,wet season (May 2011)
PerFal,adult,PerFal_A,4,6.3,159.64,,1.372,Per Fal_A,4,85.944,wet season (May 2011)
PerFal,adult,PerFal_A,5,5.2,191.66,,2.96,Per Fal_A,5,154.437,wet season (May 2011)
PerFal,adult,PerFal_A,6,5,198.44,,1.395,Per Fal_A,6,70.298,wet season (May 2011)
PerFal,sapling,PerFal_S,1,6.6,152.56,,1.639,Per Fal_S,1,107.432,wet season (May 2011)
PerFal,sapling,PerFal_S,2,6,167.46,,1.533,Per Fal_S,2,91.546,wet season (May 2011)
PerFal,sapling,PerFal_S,5,5.7,174.39,,2.422,Per Fal_S,5,138.881,wet season (May 2011)
PerFal,sapling,PerFal_S,6,5.9,168.36,,2.596,Per Fal_S,6,154.192,wet season (May 2011)
PerFal,sapling,PerFal_S,10,6.8,147.46,,2.179,Per Fal_S,10,147.772,wet season (May 2011)
PetPub,adult,PetPub_A,1,7.8,128.97,,0.291,Pet Pub_A,1,22.563,wet season (May 2011)
PetPub,adult,PetPub_A,2,9,110.6,,0.559,Pet Pub_A,2,50.542,wet season (May 2011)
PetPub,adult,PetPub_A,3,9.2,108.96,,0.386,Pet Pub_A,3,35.427,wet season (May 2011)
PetPub,adult,PetPub_A,4,8.4,119.31,,0.183,Pet Pub_A,4,15.338,wet season (May 2011)
PetPub,adult,PetPub_A,5,8.9,111.88,,0.432,Pet Pub_A,5,38.614,wet season (May 2011)
PetPub,sapling,PetPub_S,1,7.5,133.57,,0.203,Pet Pub_S,1,15.198,wet season (May 2011)
PetPub,sapling,PetPub_S,2,8.1,124,,0.269,Pet Pub_S,2,21.694,wet season (May 2011)
PetPub,sapling,PetPub_S,3,8.4,118.85,,0.199,Pet Pub_S,3,16.744,wet season (May 2011)
PetPub,sapling,PetPub_S,4,3.8,264.47,,1.931,Pet pub_S,4,73.015,wet season (May 2011)
PetPub,sapling,PetPub_S,5,9.5,105.31,,0.205,Pet Pub_S,5,19.466,wet season (May 2011)
PlaCar,adult,PlaCar_A,1,8.4,118.73,,3.233,Pla Car_A,1,272.3,wet season (May 2011)
PlaCar,adult,PlaCar_A,2,7,142.61,,2.99,Pla Car_A,2,209.663,wet season (May 2011)
PlaCar,adult,PlaCar_A,3,8,125.08,,2.778,Pla Car_A,3,222.097,wet season (May 2011)
PlaCar,adult,PlaCar_A,20,7.6,132.25,,2.072,Pla Car_A,20,156.674,wet season (May 2011)
PlaCar,adult,PlaCar_A,22,7.2,139.82,,3.608,Pla Car_A,22,258.039,wet season (May 2011)
PlaCar,sapling,PlaCar_S,1,10.7,93.68,,2.655,Pla Car_S,1,283.418,wet season (May 2011)
PlaCar,sapling,PlaCar_S,2,7.8,128.28,,3.416,Pla Car_S,2,266.291,wet season (May 2011)
PlaCar,sapling,PlaCar_S,3,4.3,232.47,,3.039,Pla Car_S,3,130.729,wet season (May 2011)
PlaCar,sapling,PlaCar_S,4,8.1,123.62,,2.249,Pla Car_S,4,181.927,wet season (May 2011)
PlaCar,sapling,PlaCar_S,5,7.3,137.93,,3.346,Pla Car_S,5,242.59,wet season (May 2011)
PlaCar,sapling,PlaCar_S,10,8.6,116.63,,2.392,Pla Car_S,10,205.1,wet season (May 2011)
XanPar,adult,XanPar_A,1,7.7,129.22,,4.296,Xan Par_A,1,332.449,wet season (May 2011)
XanPar,adult,XanPar_A,2,8.1,123.2,,3.245,Xan Par_A,2,263.397,wet season (May 2011)
XanPar,adult,XanPar_A,3,7.1,140.46,,3.009,Xan Par_A,3,214.23,wet season (May 2011)
XanPar,adult,XanPar_A,4,7,143.74,,3.338,Xan Par_A,4,232.227,wet season (May 2011)
XanPar,adult,XanPar_A,5,7.4,135.49,,2.285,Xan Par_A,5,168.65,wet season (May 2011)
XanPar,sapling,XanPar_S,2,9,111.49,,2.06,Xan Par_S,2,184.762,wet season (May 2011)
XanPar,sapling,XanPar_S,4,7.7,130.06,,4.649,Xan Par_S,4,357.447,wet season (May 2011)
XanPar,sapling,XanPar_S,5,7.3,137.71,,2.788,Xan Par_S,5,202.448,wet season (May 2011)
XanPar,sapling,XanPar_S,10,8.1,124.12,,2.979,Xan Par_S,10,240.017,wet season (May 2011)
XanPar,sapling,XanPar_S,22,7.6,131.47,,5.336,Xan Par_S,20,405.874,wet season (May 2011)
