name_original,fruit type,seed_volume_mm3,crypto,cata,node,hypo,coty,emb
Acmena resa,berry,696.91,2,2,2,NA,NA,NA
Acmena smithii,berry,273.9555,2,2,1,1,1,2
Acmenaspora claviflorus,NA,14.1372,NA,NA,NA,NA,NA,NA
Acomis acoma,cypsela,1.21,NA,NA,NA,NA,NA,NA
Acronychia laevis,drupe,14.148,1,1,2,1,1,NA
Actephila lindleyi,capsule,241.7631,NA,NA,NA,NA,NA,NA
Agastachys odorata,nut/winged,1.258,NA,NA,NA,NA,NA,NA
Albizia lebbek,legume,87.9436,NA,NA,NA,NA,NA,NA
Alchornea ilicifolia,capsule,21.7,1,1,1,1,1,NA
Alectryon cornatus,capsule,32.7,NA,NA,NA,NA,NA,NA
Alectryon repando.,capsule,685.72,NA,NA,NA,NA,NA,NA
Alectryon tomentosus,capsule,14.1,1,1,2,1,1,1
Aleurites moluccana,capsule,93538.5685,NA,NA,NA,NA,NA,NA
Allocasuarina inophloia,nut/winged,3.7935,NA,NA,NA,NA,NA,NA
Allocasuarina leuhmannii,nut/winged,1.2441,NA,NA,NA,NA,NA,NA
Allocasuarina littoralis,nut/winged,2.568,NA,NA,NA,NA,NA,NA
Allocasuarina rigida,nut/winged,1.3006,NA,NA,NA,NA,NA,NA
Alphitonia excelsa,drupe,24.6,1,1,1,2,1,1
Alpinia caerulea,berry,35.4,NA,NA,NA,NA,NA,NA
Alternanthera denticulata,utricle,0.2675,1,1,2,1,1,1
Alternanthera nana,utricle,0.4435,1,1,2,1,1,1
Alyxia ruscifolia,berry,169.8,2,1,2,2,2,NA
Ammannia multiflora,capsule,0.0047,NA,NA,NA,NA,NA,NA
Amorphospermum antilogum,berry,23108.4,NA,NA,NA,NA,NA,NA
Amorphospermum whitei,berry,33474.168,NA,NA,NA,NA,NA,NA
Amyema congener,berry,22.5776,NA,NA,NA,NA,NA,NA
Amyema miquelii,berry,32.0704,NA,NA,NA,NA,NA,NA
Angophora floribunda,capsule,18.8496,1,1,2,1,1,1
Angophora woodsiana,capsule,40.715,1,1,2,2,2,1
Anopterus glandulosus,NA,1.907,NA,NA,NA,NA,NA,NA
Antidesma bunius,NA,67.072,1,NA,NA,NA,NA,NA
Aphananthe philippensis,drupe,33.2,1,NA,NA,NA,NA,NA
Asteromyrtus symphio.,capsule,0.589,NA,NA,NA,NA,NA,NA
Atherosperma moschatum,NA,1.7292,1,1,2,NA,NA,NA
Atriplex inflata,achene,1.6129,NA,NA,NA,NA,NA,NA
Atriplex lindleyi,achene,0.8216,1,NA,NA,1,1,NA
Atriplex nummularia,achene,1.0454,NA,NA,NA,NA,NA,NA
Atriplex spongiosa,achene,1.9116,NA,NA,NA,NA,NA,NA
Atriplex spongiosa v. holocarps,achene,1.0847,NA,NA,NA,NA,NA,NA
Austromrytus dulcis,berry,2.8798,NA,NA,NA,NA,NA,NA
Avicennia marina,capsule,6536.376,NA,NA,NA,NA,NA,NA
Baloghia lucida,capsule,120.78,1,NA,NA,1,1,NA
Banksia integrifolia,follicle,15.3938,1,1,1,2,1,NA
Banksia oblongifolia,capsule,28.013,1,1,2,2,1,NA
Barklya syringifolia,capsule,73.5051,1,1,1,1,1,1
Bassia microcarpa,utricle/spiny,0.6036,NA,NA,NA,NA,NA,NA
Bassia sclerolaenoides,utricle/spiny,1.3362,NA,NA,NA,NA,NA,NA
Beaufortia orbifolia,NA,0.2346,NA,NA,NA,NA,NA,NA
Beilschmedia recurva,NA,1457.1754,NA,NA,NA,NA,NA,NA
Bellendena montana,NA,61.308,NA,NA,NA,NA,NA,NA
Bertya gummifera,capsule,29.0506,NA,NA,NA,NA,NA,NA
Bertya pinifolia,capsule,107.061,NA,NA,NA,NA,NA,NA
Beyeria leschenaultii,capsule,16.6003,NA,NA,NA,NA,NA,NA
Billardiera longifolia,berry,7.245,NA,NA,NA,NA,NA,NA
Boerhaavia diffusa,anthocarp/nut,2.64,1,1,2,1,1,NA
Bonamia rosea,NA,8.5703,NA,NA,NA,NA,NA,NA
Brachychiton acerifolius,capsule,271.2,1,1,1,1,1,1
Brachychiton australis,capsule,134.6303,1,1,1,2,2,NA
Brachychiton collinus,capsule,72.2201,1,1,1,1,2,NA
Brachychiton compactus,capsule,56.7057,1,1,1,1,2,NA
Brachychiton diversifolius,capsule,104.0967,1,1,1,1,2,NA
Brachychiton obtusilobus,capsule,80.9641,1,1,1,1,2,NA
Brachychiton populneus,capsule,86.7472,1,1,1,1,2,NA
Brachychiton rupestris,capsule,65.4542,1,1,1,1,2,NA
Brachyscome ciliaris,cypsela,0.0785,1,NA,NA,1,NA,1
Brachysema lanceolatum,NA,5.6,1,1,2,1,1,NA
Bursaria spinosa,capsule,1.336,1,NA,NA,1,1,1
Calandrinia eremaea,capsule,0.0262,NA,NA,NA,NA,NA,NA
Callicarpa pedunculata,drupe,0.9,1,1,2,2,NA,NA
Callistemon pachyphyllus,capsule,0.0314,NA,NA,NA,NA,NA,NA
Callistemon phoeniceus,capsule,0.0408,NA,NA,NA,NA,NA,NA
Callistemon polandii,capsule,0.0314,NA,NA,NA,NA,NA,NA
Callistemon pungens,capsule,0.0131,NA,NA,NA,NA,NA,NA
Callistemon salignus,capsule,0.0236,1,1,2,1,1,NA
Callistemon sieberi,capsule,0.2592,NA,NA,NA,NA,NA,NA
Callistemon subulatus,capsule,0.0589,NA,NA,NA,NA,NA,NA
Callistemon viminalis,capsule,0.2592,NA,NA,NA,NA,NA,NA
Callitriche muelleri,schizocarp,0.015,1,1,NA,1,1,NA
Calophyllum inophloium,NA,5001.48,NA,NA,NA,NA,NA,NA
Calothamnus lomatophyllus,capsule,0.0942,1,1,2,1,1,1
Calothamnus quadrifidus,capsule,0.0942,1,NA,NA,1,NA,NA
Calotis dentex,cypsela,2.723,NA,NA,NA,NA,NA,NA
Calotis hispidula,cypsela,0.3773,NA,NA,NA,NA,NA,NA
Calotis lappulacea,cypsela,0.0628,1,1,2,1,1,1
Calotis squamigera,cypsela,0.7336,1,1,2,1,1,NA
Calythrix tetragona,nut/winged,0.3272,NA,NA,NA,NA,NA,NA
Capparis mitchellii,berry,2.4209,NA,NA,NA,NA,NA,NA
Cassytha glabella,berry,47.7129,2,2,1,1,1,1
Castanospermum australe,capsule,21127.68,2,2,2,1,1,2
Casuarina cristata,nut/winged,4.4637,1,2,2,2,1,NA
Casuarina equisetifolia,nut/winged,5.2836,1,NA,NA,1,1,NA
Casuarina monilifera,nut/winged,1.8109,NA,NA,NA,NA,NA,NA
Casuarina oligodon,nut/winged,1.3204,NA,NA,NA,NA,NA,NA
Casuarina rapuana,nut/winged,2.62,NA,NA,NA,NA,NA,NA
Casuarina torulosa,nut/winged,6.162,NA,NA,NA,NA,NA,NA
Centipeda thespedioides,NA,0.5027,1,1,1,1,2,NA
Chenopodium carinatum,utricle,0.031,1,1,1,1,1,1
Chenopodium cristatum,utricle,0.2358,NA,NA,NA,NA,NA,NA
Chenopodium melano.,utricle,0.0755,NA,NA,NA,NA,NA,NA
Chenopodium rhadin.,utricle,0.0629,NA,NA,NA,NA,NA,NA
Chenopodium trigonum,utricle,0.4424,NA,NA,NA,NA,NA,NA
Chorilaena quercifolia,NA,11.5501,NA,NA,NA,NA,NA,NA
Cinnamomum cunningham.,berry,1013.898,NA,NA,NA,NA,NA,NA
Citriobatus pauciflor.,berry,17.4,NA,NA,NA,NA,NA,NA
Clematis glycinoides,achene,4.192,1,1,2,NA,NA,NA
Cochlospermum fraseri,NA,45.853,NA,NA,NA,NA,NA,NA
Codonocarpus cotonif.,schizocarp,6.6024,NA,NA,NA,NA,NA,NA
Comesperma defoliatum,capsule,1.0375,NA,NA,NA,NA,NA,NA
Coopernookia barbata,NA,9.432,NA,NA,NA,NA,NA,NA
Coopernookia georgei,NA,10.48,NA,NA,NA,NA,NA,NA
Coopernookia strophiolata,NA,6.288,NA,NA,NA,NA,NA,NA
Cossinia australina,capsule,5.3,NA,NA,NA,NA,NA,NA
Cotula australis,cypsela,0.031,1,1,2,1,1,1
Cotula coronopifolia,cypsela,0.1173,1,1,2,1,1,NA
Crassula sieberiana,capsule,0.0084,1,1,2,1,1,1
Cratystylis conocephala,NA,1.885,NA,NA,NA,NA,NA,NA
Croton verruaxii,NA,18.648,NA,NA,NA,NA,NA,NA
Crudia papuana,legume,9817.477,NA,NA,NA,NA,NA,NA
Cryptocarya triplinervis,drupe,346.3606,2,1,2,1,1,1
Cucumis melo,berry,5.5418,NA,NA,NA,NA,NA,NA
Cupaniopsis anarcardioides,capsule,250.0538,NA,NA,NA,NA,NA,NA
Cuphanotus andreanus,capsule,0.1729,NA,NA,NA,NA,NA,NA
Cyathodes parvifolia,nut,0.34,NA,NA,NA,NA,NA,NA
Daviesia arborea,legume,2.169,NA,NA,NA,NA,NA,NA
Daviesia buxifolia,legume,3.668,NA,NA,NA,NA,NA,NA
Daviesia corymbosa,legume,8.9227,NA,NA,NA,NA,NA,NA
Daviesia elliptica,legume,1.7323,NA,NA,NA,NA,NA,NA
Daviesia laevis,legume,2.7628,NA,NA,NA,NA,NA,NA
Daviesia latifolia,legume,3.395,NA,NA,NA,NA,NA,NA
Daviesia leptophylla,legume,2.8296,NA,NA,NA,NA,NA,NA
Daviesia longifolia,legume,3.668,NA,NA,NA,NA,NA,NA
Daviesia pauciflora,legume,8.3512,NA,NA,NA,NA,NA,NA
Daviesia suaevolens,legume,3.7253,NA,NA,NA,NA,NA,NA
Daviesia umbellulata,legume,6.107,NA,NA,NA,NA,NA,NA
Decaspermum paniculatum,berry,41.92,NA,NA,NA,NA,NA,NA
Dendrophthoe glabrescens,berry,55.7109,NA,NA,NA,NA,NA,NA
Denhamia celastroides,capsule,44.7,NA,NA,NA,NA,NA,NA
Dicrastylis fulva,NA,0.6288,NA,NA,NA,NA,NA,NA
Dillwynia juniperina,legume,6.866,1,1,1,1,1,NA
Diospyros ferrea,berry,35.5,1,2,1,1,1,NA
Dodonaea viscosa,capsule,3.301,1,1,1,2,1,NA
Drosera arcturi,capsule,0.2723,NA,NA,NA,NA,NA,NA
Drosera binata,capsule,0.0063,1,NA,NA,NA,NA,NA
Drosera bulbosa,capsule,0.1414,2,NA,NA,NA,NA,NA
Drosera burmanii,capsule,0.001,1,1,1,NA,NA,NA
Drosera eryrthrorhiza,capsule,0.1319,NA,NA,NA,NA,NA,NA
Drosera indica,capsule,0.0131,1,1,2,1,1,NA
Drosera peltata,capsule,0.0164,NA,NA,NA,NA,NA,NA
Drosera spatulata,capsule,0.0084,1,1,1,1,1,1
Drosera stolonifera,capsule,0.0654,2,NA,NA,NA,NA,NA
Duboisia myoporoides,berry,1.3,1,NA,NA,NA,NA,NA
Dysphania glomulifera,utricle,0.0047,NA,NA,NA,NA,NA,NA
Dysphania myriocephala,achene,0.0063,1,NA,NA,1,1,1
Eclipta prostrata,cypsela,0.8997,1,1,2,1,1,1
Elaeocarpus carnea,drupe,92.2,NA,NA,NA,NA,NA,NA
Elaeocarpus grandis,drupe,45.8772,2,NA,NA,NA,NA,NA
Elatine gratiolioides,capsule,0.01,NA,NA,NA,NA,NA,NA
Enchylaena tomentosa,utricle/p.fleshy,2.1798,1,1,2,1,1,1
Endiandra globosa,berry,56238.3,2,2,NA,NA,NA,1
Epacris obtusifolius,capsule,0.022,NA,NA,NA,NA,NA,NA
Epilobium billardieranum,capsule,0.017,NA,NA,NA,NA,NA,NA
Eriostemon australasius,NA,24.8647,NA,NA,NA,NA,NA,NA
Eriostemon queenslandicum,NA,94.25,NA,NA,NA,NA,NA,NA
Erodium crinitum,schizocarp,2.3056,NA,NA,NA,NA,NA,NA
Erythrina vespertilio,legume,138.4311,2,1,2,1,1,1
Erythroxylum australe,drupe,45.5,NA,NA,NA,NA,NA,NA
Eucalyptus argophloia,capsule,0.2356,1,1,2,NA,NA,NA
Eucalyptus barberi,capsule,0.4451,NA,NA,NA,NA,NA,NA
Eucalyptus baxteri,capsule,4.2415,1,1,2,NA,NA,NA
Eucalyptus camaldulensis,capsule,1.3477,1,1,2,1,1,1
Eucalyptus cloeziana,capsule,1.6768,1,1,2,1,1,1
Eucalyptus cosmophylla,capsule,3.9584,NA,NA,NA,NA,NA,NA
Eucalyptus curtisii,capsule,0.1258,1,1,2,1,1,1
Eucalyptus decorticans,capsule,1.4661,1,1,2,1,1,1
Eucalyptus drepanophylla,capsule,0.5869,1,1,2,1,1,NA
Eucalyptus erythrocorys,capsule,20.6088,NA,NA,NA,NA,NA,NA
Eucalyptus ficifolia,capsule,15.708,NA,NA,NA,NA,NA,NA
Eucalyptus gunnii,capsule,0.754,NA,NA,NA,NA,NA,NA
Eucalyptus intermedia,capsule,3.4584,NA,NA,NA,NA,NA,NA
Eucalyptus lansdowneana,capsule,0.377,NA,NA,NA,NA,NA,NA
Eucalyptus macrorhyncha,capsule,4.948,1,1,2,NA,NA,NA
Eucalyptus maculata,capsule,3.668,NA,NA,NA,NA,NA,NA
Eucalyptus megacornuta,capsule,7.9168,NA,NA,NA,NA,NA,NA
Eucalyptus melanophloia,capsule,0.331,1,1,2,NA,NA,NA
Eucalyptus mensalis,capsule,0.8063,NA,NA,NA,NA,NA,NA
Eucalyptus microcarpa,capsule,0.4147,NA,NA,NA,NA,NA,NA
Eucalyptus microcorys,capsule,0.5722,1,1,2,1,1,1
Eucalyptus normantonensis,capsule,0.2513,1,1,2,1,1,1
Eucalyptus obliqua,capsule,1.6493,1,1,2,NA,NA,NA
Eucalyptus planchoniana,capsule,12.104,1,1,2,1,1,1
Eucalyptus propinqua,capsule,0.2882,1,1,2,1,1,1
Eucalyptus ptychocarpa,capsule,59.1646,NA,NA,NA,NA,NA,NA
Eucalyptus robusta,capsule,0.5135,1,1,2,NA,1,1
Eucalyptus rubida,capsule,0.3927,1,1,2,NA,NA,NA
Eucalyptus sideroxylon,capsule,0.8042,1,1,2,NA,NA,NA
Eucalyptus socialis,capsule,0.7172,NA,NA,NA,NA,NA,NA
Eucalyptus tenuipes,capsule,0.5089,NA,NA,NA,NA,NA,NA
Eucalyptus tereticornis,capsule,0.3519,1,1,2,1,1,1
Eucalyptus torelliana,capsule,5.1051,NA,NA,NA,NA,NA,NA
Eucalyptus torquata,capsule,1.2828,1,1,2,1,1,1
Eucalyptus umbra,capsule,0.629,1,1,2,1,1,1
Eucalyptus viminalis,capsule,0.7734,1,1,2,NA,NA,NA
Eucalypyus porosa,capsule,0.3016,NA,NA,NA,NA,NA,NA
Eucryphia lucida,NA,1.178,1,1,2,2,2,2
Eucryphia milligani,NA,3.51,1,NA,NA,2,1,2
Eugenia reinwardtiana,berry,448.9205,2,2,2,NA,NA,NA
Euodia elleryana,capsule,28.296,1,1,2,1,1,1
Eupomatia laurina,achene,14.8,1,1,1,1,1,NA
Evolvulus alsinoides,NA,1.508,1,1,1,1,1,2
Excocaria agallochia,capsule,16.506,NA,NA,NA,NA,NA,NA
Ficus macrophylla,achene,0.9,1,1,2,1,1,NA
Ficus platypoda,achene,1,1,1,NA,1,NA,NA
Flagellaria indica,berry,20,NA,NA,NA,NA,NA,NA
Flindersia brayleana,NA,71.8639,1,1,1,NA,NA,NA
Galactia tenuiflora,legume,2.641,NA,NA,NA,NA,NA,NA
Galium nigricans,schizocarp,0.323,NA,NA,NA,NA,NA,NA
Gaultheria depressa,schizocarp,0.021,NA,NA,NA,NA,NA,NA
Gaultheria hispida,capsule,0.0419,1,1,2,1,1,NA
Glochidion fernandi,NA,2.0525,NA,NA,NA,NA,NA,NA
Glycine clandestina,legume,2.201,NA,NA,NA,NA,NA,NA
Glycine tabacina,legume,2.452,1,1,2,2,1,NA
Gnaphalium lut-alb,cypsela,0.012,NA,NA,NA,NA,NA,NA
Goodenia leiosperma,capsule,1.2576,NA,NA,NA,NA,NA,NA
Goodenia rotundifolia,capsule,1.3624,1,1,1,2,2,1
Goodia latifolia,capsule,11.79,NA,NA,NA,NA,NA,NA
Grevillea obliquistigma,follicle,16.9646,NA,NA,NA,NA,NA,NA
Grevillea pteridifolia,follicle,19.996,1,1,1,2,2,NA
Grevillea robusta,capsule,14.9,1,1,1,2,2,1
Grewia latifolius,drupe,11.6,1,1,2,2,2,NA
Guilfoylia monostylis,drupe,1079.7701,2,2,1,2,2,NA
Hakea actites,follicle,86.2524,NA,NA,NA,NA,NA,NA
Hardenbergia violacea,capsule,13.4878,1,1,2,1,1,1
Harpullia pendula,capsule,652.8622,2,2,1,1,1,2
Hedyotis corymbosa,capsule,0.0063,NA,NA,NA,NA,NA,NA
Hedyotis trachymenoides,capsule,0.031,NA,NA,NA,NA,NA,NA
Helichrysum bracteatum,cypsela,8.384,1,NA,NA,1,2,NA
Helichrysum ledifolium,cypsela,0.1965,NA,NA,NA,NA,NA,NA
Helichrysum ramossisimum,cypsela,0.042,NA,NA,NA,NA,NA,NA
Hemicyclia australasica,drupe,144.1,NA,NA,NA,NA,NA,NA
Hibbertia scandens,capsule,10.506,1,1,1,1,1,NA
Hippocratea australis,capsule/sds (wing),42.977,NA,NA,NA,NA,NA,NA
Holosarcia indica,achnene,0.2827,NA,NA,NA,NA,NA,NA
Hovea purpurea,legume,31.9116,NA,NA,NA,NA,NA,NA
Hydrocotyle acutiloba,schizocarp,0.0942,NA,NA,NA,NA,NA,NA
Hydrocotyle pedicellosa,schizocarp,0.3,1,NA,NA,NA,NA,NA
Hydrocotyle verticillata,schizocarp,0.1508,1,1,1,1,1,NA
Hymenosporum flavum,capsule,6.4141,1,1,1,2,2,NA
Hypericum graminifolium,capsule,0.01,NA,NA,NA,NA,NA,NA
Indigofera australis,capsule,2.358,1,1,2,1,1,NA
Indigofera fruticosa,capsule,2.054,NA,NA,NA,NA,NA,NA
Indigofera linifolia,capsule,1.132,NA,NA,NA,NA,NA,NA
Isotropis filicaulis,legume,3.6973,NA,NA,NA,NA,NA,NA
Jagera pseudorhus,capsule,45.8421,NA,NA,NA,NA,NA,NA
Justicia peploides,capsule,0.5498,1,1,2,2,1,1
Kennedia prostrata,legume,12.0951,1,1,2,1,1,NA
Kennedia rubicunda,legume,19.0852,NA,NA,NA,NA,NA,NA
Kunzea flavescens,capsule,0.0293,1,1,2,1,1,1
Kunzea parvifolia,capsule,0.0503,1,1,2,1,1,1
Lambertia formosa,capsule,17.292,1,NA,NA,1,1,NA
Lepidium oxytrichum,capsule,0.807,NA,NA,NA,NA,NA,NA
Leptorhynchos squamatus,cypsela,0.0864,NA,NA,NA,NA,NA,NA
Leptospermum liversidgei,capsule,0.2199,1,1,2,1,NA,NA
Leptospermum petersonii,capsule,0.063,NA,NA,NA,NA,NA,NA
Lespedeza juncea,legume/indeh,0.807,NA,NA,NA,NA,NA,NA
Logania archeri,NA,0.7257,NA,NA,NA,NA,NA,NA
Logania fasciculata,NA,0.1532,NA,NA,NA,NA,NA,NA
Logania micrantha,NA,1.5119,NA,NA,NA,NA,NA,NA
Logania minor,NA,0.1532,NA,NA,NA,NA,NA,NA
Logania ovata,NA,0.1225,NA,NA,NA,NA,NA,NA
Logania scrabrella,NA,0.1319,NA,NA,NA,NA,NA,NA
Logania stenophylla,NA,0.1769,NA,NA,NA,NA,NA,NA
Lophostemon confertus,capsule,8.8,NA,NA,NA,NA,NA,NA
Lysiphyllum carronii,capsule,125.3495,1,1,1,1,1,1
Macadamia ternifolia,follicle,6800.5,2,2,1,1,1,1
Macaranga tanarius,NA,50.7708,1,1,2,NA,NA,1
Mackinlaya macrosciadea,berry,58.6,NA,NA,NA,NA,NA,NA
Maireana carnosa,utricle,0.503,NA,NA,NA,NA,NA,NA
Maireana excavata,utricle,1.9283,NA,NA,NA,NA,NA,NA
Maireana georgii,utricle,1.3362,NA,NA,NA,NA,NA,NA
Maireana triptera,utricle,2.3769,NA,NA,NA,NA,NA,NA
Mallotus claoxyloides,NA,80.172,NA,NA,NA,NA,NA,NA
Mallotus philippensis,NA,20.212,1,1,NA,1,1,NA
Melaleuca arcana,capsule,0.0691,NA,NA,NA,NA,NA,NA
Melaleuca armillaris,capsule,0.0587,1,1,2,1,1,1
Melaleuca bracteata,capsule,0.0327,1,1,2,1,1,1
Melaleuca capitata,capsule,0.0461,NA,NA,NA,NA,NA,NA
Melaleuca dealbata,capsule,0.0209,1,NA,NA,NA,NA,1
Melaleuca decora,capsule,0.0864,NA,NA,NA,NA,NA,NA
Melaleuca decussata,capsule,0.0628,1,1,2,1,1,1
Melaleuca ericifolia,capsule,0.0065,NA,NA,NA,NA,NA,NA
Melaleuca fulgens,capsule,0.056,1,1,2,1,1,1
Melaleuca globifera,capsule,0.8482,NA,NA,NA,NA,NA,NA
Melaleuca hypericifolia,capsule,0.0707,1,NA,NA,1,1,1
Melaleuca incana,capsule,0.1152,1,1,2,1,1,1
Melaleuca nodosa,capsule,0.04,1,1,2,1,1,NA
Melaleuca quinque.,capsule,0.0472,NA,NA,NA,NA,NA,NA
Melaleuca thymifolia,capsule,0.1677,1,NA,NA,1,1,1
Melia azedarach,drupe,24.6,1,1,2,1,1,1
Melodorum tetraphyllus,NA,164.9336,NA,NA,NA,NA,NA,NA
Memecylon pauciflorum,berry,157.4791,NA,NA,NA,NA,NA,NA
Milletia megasperma,legume,17631.518,NA,NA,NA,NA,NA,NA
Mirbelia rubiifolia,legume,1.886,NA,NA,NA,NA,NA,NA
Monotoca elliptica,drupe,1.31,NA,NA,NA,NA,NA,NA
Nablonium calyceroides,cypsela,2.0373,NA,NA,NA,NA,NA,NA
Nematolepis squamosa,NA,1.8787,NA,NA,NA,NA,NA,NA
Nicotiana megalosiphon,capsule,0.1131,NA,NA,NA,NA,NA,NA
Nothofagus moorei,NA,6.485,1,1,1,NA,NA,NA
Olearia nernstii,cypsela,0.5027,NA,NA,NA,NA,NA,NA
Olearia phlogopappa,cypsela,0.0083,NA,NA,NA,NA,NA,NA
Omalanthus populifolius,capsule,28.3,1,1,2,1,1,NA
Omphalea queenslandiae,NA,23443.1705,NA,NA,NA,NA,NA,NA
Oxalis corniculatus,capsule,0.2356,1,1,1,2,2,1
Pandorea jasminoides,capsule,24.5,NA,NA,NA,NA,NA,NA
Peperomia leptostachya,berry,0.2,NA,NA,NA,NA,NA,NA
Peperomia tetraphylla,berry,0.0916,NA,NA,NA,NA,NA,NA
Pernettya lanceolata,berry,0.044,NA,NA,NA,NA,NA,NA
Persoonia cornifolia,drupe,6.288,NA,NA,NA,NA,NA,NA
Persoonia gunnii,drupe,23.58,NA,NA,NA,NA,NA,NA
Persoonia virgata,drupe,16.663,1,1,1,1,1,1
Petalostigma pubescens,drupe/end-elast,24.7767,1,1,1,2,2,1
Phaleria clerodendron,drupe,325,2,NA,NA,NA,NA,NA
Phaleria octandra,drupe,107.233,NA,NA,NA,NA,NA,NA
Philotheca brucei,NA,7.1209,NA,NA,NA,NA,NA,NA
Philotheca deserti/brevifolia,NA,2.0012,NA,NA,NA,NA,NA,NA
Philotheca deserti/deserti,NA,2.2578,NA,NA,NA,NA,NA,NA
Philotheca difformis,NA,20.9544,NA,NA,NA,NA,NA,NA
Philotheca fitzgeraldii,NA,21.0361,NA,NA,NA,NA,NA,NA
Philotheca myoporoides,NA,6.7021,NA,NA,NA,NA,NA,NA
Philotheca nodiflora/lasio.,NA,12.1391,NA,NA,NA,NA,NA,NA
Philotheca pinoides,NA,24.6741,NA,NA,NA,NA,NA,NA
Phyllanthus maderaspatensis,capsule,0.6707,NA,NA,NA,NA,NA,NA
Phyllanthus subcrenulatus,capsule,5.24,NA,NA,NA,NA,NA,NA
Phyllanthus tenellus,capsule,0.288,NA,NA,NA,NA,NA,NA
Phyllanthus virgatus,capsule,0.377,NA,NA,NA,NA,NA,NA
Pilidiostigma rhytispermum,berry,76.236,NA,NA,NA,NA,NA,NA
Pimelea linifolia,NA,3.5343,1,1,2,1,1,NA
Pisonia grandis,anthocarp/viscid,31.0887,NA,NA,NA,NA,NA,NA
Pithecolobium muellerana,capsule,47.7,NA,NA,NA,NA,NA,NA
Pittosporum bicolor,capsule,5.1667,NA,NA,NA,NA,NA,NA
Pittosporum ferrugineum,capsule,12.5664,1,1,1,2,2,1
Pittosporum revolutum,capsule,22.5441,1,1,1,2,2,NA
Pittosporum undulatum,capsule,14.4,NA,NA,NA,NA,NA,NA
Planchonella australis,berry,1430.5,NA,NA,NA,NA,NA,NA
