PLOTID,IDENT,elev,PerSlope,aspect,Soil Depth class,Rock cover %,Soil Type
383,Z1,639,9,278.426177,100,15,sandy loam
384,Z2,417,4,203.463165,100,5,loam
385,Z3,459,8,268.845275,100,0,loamy sand
386,Z4,369,2,120.547988,100,0,loamy sand
387,Z5,260,18,180.550582,100,0,sandy loam
388,Z5a,260,18,180.550582,100,0,sandy clay loam
389,Z6,275,12,260.44989,100,0,loamy sand
390,Z7,328,55,181.680236,100,0,sandy loam
391,Z8,257,5,169.211349,100,0,sandy clay loam
392,Z9,252,5,237.662933,100,0,sandy clay loam
393,Z10,279,3,310.879089,100,0,sandy clay loam
394,Z11,274,5,77.200622,100,0,sandy clay
395,Z12,248,2,2.76045,100,0,sandy clay loam
396,Z13,244,2,9.50529,100,0,sandy clay loam
397,Z14,229,2,335.114593,100,0,clay loam
398,Z15,225,2,297.584136,100,0,sandy clay
399,Z16,225,2,297.584136,100,0,sandy clay loam
400,Z17,230,0,297.674011,100,0,sandy clay
401,Z18,231,2,221.82196,100,0,sandy clay loam
402,Z19,238,2,257.714202,100,0,sandy loam
403,Z20a,238,2,257.795745,100,0,sandy loam
404,Z20,238,2,257.795745,100,0,sandy loam
405,Z21,247,4,239.744659,100,0,sandy clay
406,Z22,224,0,328.305053,100,0,sandy clay
407,Z23,222,0,275.583404,100,0,sandy loam
408,Z24,214,0,272.550354,100,0,sandy clay loam
409,Z25,228,2,235.825912,100,0,sandy clay loam
410,Z26,233,2,222.608489,100,0,sandy clay loam
411,Z27,241,5,234.408966,100,0,sandy loam
412,Z28,223,2,165.391326,100,0,sandy loam
413,Z29,223,0,278.648651,100,0,sandy loam
414,Z30,312,2,232.66806,100,5,sandy loam
415,Z31,324,6,184.019531,100,0,loamy sand
416,Z32,347,3,237.379196,100,0,loamy sand
417,Z33,377,2,273.850372,100,5,loamy sand
418,Z34,545,10,165.05162,100,5,loamy sand
419,Z35,621,25,156.754608,100,0,sandy loam
420,Z36,603,12,37.855831,100,0,sandy loam
421,Z37,506,36,57.193912,100,50,loamy sand
422,Z38,454,8,64.58171,100,40,sandy loam
423,Z39,343,3,83.239341,100,10,loamy sand
424,Z40,330,3,84.530334,100,5,sandy loam
425,Z41,294,3,40.794471,100,0,loamy sand
426,GVICA,791,53,22.588748,5,95,loamy sand
427,Q1,368,32,359.417785,100,50,loamy sand
428,Q2,328,13,356.138061,100,5,sandy loam
429,Q3,268,7,296.622283,100,0,sandy loam
430,Q4,265,7,260.663879,100,0,sandy loam
431,Q5,306,14,312.281372,100,50,sandy loam
432,Q6,341,23,319.684143,100,50,sandy loam
433,Q7,344,21,302.321228,100,50,sandy loam
434,Q8,330,8,299.064575,100,0,sandy clay loam
435,Q9,322,5,312.155487,100,40,sandy loam
436,Q10,296,12,329.375579,100,20,sandy loam
437,Q11,271,7,328.004882,100,0,loamy sand
438,Q12,261,4,346.186614,100,0,loamy sand
439,MTL1,748,30,61.711734,10,90,sandy loam
440,GRS1,413,3,183.431686,100,0,sandy loam
441,GRS3,402,50,198.754257,100,0,sandy loam
442,GRS4,257,4,293.181701,100,0,sandy loam
443,GRS5,238,2,263.874298,100,0,sandy clay loam
444,GRS12,499,48,217.878219,100,0,sandy clay loam
445,GRS13,282,6,310.807952,100,0,sandy loam
446,GRS19,228,3,85.963729,100,0,sandy loam
447,GRS20,199,5,46.011703,100,0,sandy loam
448,GRS21,186,0,62.819919,100,0,sandy loam
449,GRS22,227,7,24.032817,100,0,loamy sand
450,GRS23,201,2,348.593688,100,0,loamy sand
451,GRS24,231,21,246.19783,100,0,loamy sand
452,GRS25,243,12,204.924011,100,0,loamy sand
453,GPS11,408,7,46.64952,25,10,sandy loam
454,GPS14,256,2,226.011993,100,0,sandy clay loam
455,GPS16,237,2,185.887313,100,0,sandy clay loam
456,GPS17,219,0,254.780334,100,0,sandy clay loam
457,GPS6,631,20,196.76889,100,0,sandy clay loam
458,gftop,454,51,258.573608,5,95,loamy sand
