SPECIES,SEED NUMBER,SEED WEIGHT mg,SEED WEIGHT multiplier,notes for edited & omitted values
Acacia caesiella,76,22.9,,
Acacia caesiella,84,23,,
Acacia caesiella,91,23,,
Acacia caesiella,97,23,,
Acacia caesiella,62,23.1,,
Acacia caesiella,87,23.2,,
Acacia caesiella,38,23.3,,
Acacia caesiella,12,23.7,,
Acacia caesiella,14,23.7,,
Acacia caesiella,57,23.9,,
Acacia caesiella,11,24,,
Acacia caesiella,4,24.1,,
Acacia caesiella,2,24.2,,
Acacia caesiella,24,24.4,,
Acacia caesiella,86,24.5,,
Acacia caesiella,92,24.6,,
Acacia caesiella,56,24.7,,
Acacia caesiella,93,25,,
Acacia caesiella,47,25.2,,
Acacia caesiella,59,25.4,,
Acacia caesiella,94,27,,
Acacia caesiella,63,27.4,,
Acacia elata,71,9.4,,
Acacia elata,4,12.5,,
Acacia elata,96,17.9,,
Acacia elata,86,20,,
Acacia elata,97,20.2,,
Acacia elata,34,20.3,,
Acacia elata,19,21.3,,
Acacia elata,27,22,,
Acacia elata,1,23,,
Acacia elata,91,25,,
Acacia elata,81,26.5,,
Acacia elata,29,27.9,,
Acacia elata,5,28.9,,
Acacia elata,87,30.7,,
Acacia elata,20,31.7,,
Acacia elata,74,31.8,,
Acacia elata,38,32,,
Acacia elata,30,33.1,,
Acacia elata,43,33.9,,
Acacia elata,48,34.2,,
Acacia elata,66,34.5,,
Acacia elata,10,34.8,,
Acacia elata,23,35.1,,
Acacia elata,99,35.2,,
Acacia elata,93,35.5,,
Acacia elata,58,35.6,,
Acacia elata,45,35.8,,
Acacia elata,32,36.2,,
Acacia elata,50,36.3,,
Acacia elata,57,36.4,,
Acacia elata,54,36.5,,
Acacia elata,61,37.1,,
Acacia elata,83,37.2,,
Acacia elata,9,37.8,,
Acacia elata,11,37.8,,
Acacia elata,44,38.8,,
Acacia elata,56,39.7,,
Acacia elata,63,40.3,,
Acacia elata,100,40.3,,
Acacia elata,46,40.6,,
Acacia elata,89,40.6,,
Acacia elata,14,40.8,,
Acacia elata,98,40.8,,
Acacia elata,33,41,,
Acacia elata,82,41.2,,
Acacia elata,51,41.4,,
Acacia elata,28,41.6,,
Acacia elata,37,41.7,,
Acacia elata,76,41.8,,
Acacia elata,80,41.9,,
Acacia elata,31,42.7,,
Acacia elata,59,42.9,,
Acacia elata,7,43.4,,
Acacia elata,35,44.1,,
Acacia elata,94,44.1,,
Acacia elata,73,44.4,,
Acacia elata,17,44.6,,
Acacia elata,36,44.6,,
Acacia elata,88,45,,
Acacia elata,90,45.2,,
Acacia elata,64,45.3,,
Acacia elata,68,45.4,,
Acacia elata,49,45.7,,
Acacia elata,3,45.9,,
Acacia elata,6,45.9,,
Acacia elata,13,46,,
Acacia elata,25,46.1,,
Acacia elata,65,46.1,,
Acacia elata,16,46.4,,
Acacia elata,53,46.7,,
Acacia elata,92,46.7,,
Acacia elata,78,46.8,,
Acacia elata,18,47.1,,
Acacia elata,40,47.1,,
Acacia elata,47,47.3,,
Acacia elata,70,47.3,,
Acacia elata,8,47.4,,
Acacia elata,75,47.4,,
Acacia elata,41,47.5,,
Acacia elata,55,47.9,,
Acacia elata,79,47.9,,
Acacia elata,72,48.4,,
Acacia elata,15,48.5,,
Acacia elata,52,48.5,,
Acacia elata,22,48.6,,
Acacia elata,67,48.6,,
Acacia elata,12,48.7,,
Acacia elata,60,48.8,,
Acacia elata,2,48.9,,
Acacia elata,24,48.9,,
Acacia elata,62,48.9,,
Acacia elata,95,48.9,,
Acacia elata,21,50,,
Acacia elata,39,50,,
Acacia elata,84,50.9,,
Acacia elata,26,51,,
Acacia elata,77,51,,
Acacia elata,69,51.2,,
Acacia elata,42,51.8,,
Acacia elata,85,52.7,,
Acacia elongata,69,6,,
Acacia elongata,17,7.4,,
Acacia elongata,56,7.9,,
Acacia elongata,53,8.3,,
Acacia elongata,59,8.3,,
Acacia elongata,68,8.3,,
Acacia elongata,72,8.7,,
Acacia elongata,81,8.9,,
Acacia elongata,86,8.9,,
Acacia elongata,7,9.2,,
Acacia elongata,58,9.2,,
Acacia elongata,84,9.2,,
Acacia elongata,40,9.3,,
Acacia elongata,51,9.3,,
Acacia elongata,90,9.3,,
Acacia elongata,93,9.3,,
Acacia elongata,8,9.4,,
Acacia elongata,22,9.5,,
Acacia elongata,75,9.5,,
Acacia elongata,62,9.6,,
Acacia elongata,46,9.7,,
Acacia elongata,47,9.7,,
Acacia elongata,50,9.7,,
Acacia elongata,64,9.7,,
Acacia elongata,83,9.7,,
Acacia elongata,79,9.8,,
Acacia elongata,2,9.9,,
Acacia elongata,65,9.9,,
Acacia elongata,82,9.9,,
Acacia elongata,23,10,,
Acacia elongata,45,10,,
Acacia elongata,57,10,,
Acacia elongata,61,10,,
Acacia elongata,38,10.1,,
Acacia elongata,42,10.1,,
Acacia elongata,76,10.1,,
Acacia elongata,5,10.2,,
Acacia elongata,21,10.2,,
Acacia elongata,95,10.2,,
Acacia elongata,6,10.3,,
Acacia elongata,26,10.3,,
Acacia elongata,100,10.3,,
Acacia elongata,9,10.4,,
Acacia elongata,89,10.4,,
Acacia elongata,4,10.5,,
Acacia elongata,12,10.5,,
Acacia elongata,14,10.5,,
Acacia elongata,52,10.5,,
Acacia elongata,73,10.5,,
Acacia elongata,77,10.5,,
Acacia elongata,32,10.6,,
Acacia elongata,71,10.6,,
Acacia elongata,74,10.6,,
Acacia elongata,3,10.7,,
Acacia elongata,63,10.7,,
Acacia elongata,78,10.7,,
Acacia elongata,20,10.8,,
Acacia elongata,85,10.8,,
Acacia elongata,11,10.9,,
Acacia elongata,49,10.9,,
Acacia elongata,33,11,,
Acacia elongata,91,11,,
Acacia elongata,96,11,,
Acacia elongata,97,11,,
Acacia elongata,28,11.1,,
Acacia elongata,41,11.1,,
Acacia elongata,54,11.1,,
Acacia elongata,92,11.1,,
Acacia elongata,15,11.2,,
Acacia elongata,24,11.2,,
Acacia elongata,37,11.2,,
Acacia elongata,88,11.2,,
Acacia elongata,29,11.3,,
Acacia elongata,1,11.4,,
Acacia elongata,27,11.4,,
Acacia elongata,60,11.4,,
Acacia elongata,66,11.4,,
Acacia elongata,43,11.5,,
Acacia elongata,80,11.5,,
Acacia elongata,98,11.5,,
Acacia elongata,34,11.6,,
Acacia elongata,48,11.6,,
Acacia elongata,10,11.7,,
Acacia elongata,13,11.7,,
Acacia elongata,35,11.7,,
Acacia elongata,55,11.7,,
Acacia elongata,19,11.8,,
Acacia elongata,99,11.8,,
Acacia elongata,39,11.9,,
Acacia elongata,44,11.9,,
Acacia elongata,67,11.9,,
Acacia elongata,30,12,,
Acacia elongata,18,12.2,,
Acacia elongata,36,12.2,,
Acacia elongata,31,12.3,,
Acacia elongata,94,12.4,,
Acacia elongata,16,12.6,,
Acacia elongata,87,12.7,,
Acacia elongata,25,13.4,,
Acacia elongata,70,,,
Acacia falcata,15,6.2,,
Acacia falcata,4,6.5,,
Acacia falcata,90,7.8,,
Acacia falcata,75,10.1,,
Acacia falcata,11,10.3,,
Acacia falcata,26,10.3,,
Acacia falcata,7,10.7,,
Acacia falcata,59,10.7,,
Acacia falcata,47,10.8,,
Acacia falcata,52,11.3,,
Acacia falcata,69,11.3,,
Acacia falcata,65,11.5,,
Acacia falcata,1,12.3,,
Acacia falcata,31,12.3,,
Acacia falcata,33,12.3,,
Acacia falcata,51,12.5,,
Acacia falcata,64,12.6,,
Acacia falcata,67,12.9,,
Acacia falcata,2,13.1,,
Acacia falcata,73,13.2,,
Acacia falcata,8,13.4,,
Acacia falcata,32,13.5,,
Acacia falcata,30,13.6,,
Acacia falcata,49,13.6,,
Acacia falcata,92,13.6,,
Acacia falcata,80,13.7,,
Acacia falcata,97,13.7,,
Acacia falcata,91,13.8,,
Acacia falcata,10,13.9,,
Acacia falcata,71,13.9,,
Acacia falcata,13,14,,
Acacia falcata,70,14.1,,
Acacia falcata,68,14.2,,
Acacia falcata,85,14.2,,
Acacia falcata,5,14.3,,
Acacia falcata,20,14.4,,
Acacia falcata,29,14.4,,
Acacia falcata,14,14.5,,
Acacia falcata,54,14.5,,
Acacia falcata,66,14.5,,
Acacia falcata,12,14.6,,
Acacia falcata,25,14.6,,
Acacia falcata,28,14.6,,
Acacia falcata,42,14.6,,
Acacia falcata,57,14.6,,
Acacia falcata,88,14.6,,
Acacia falcata,3,14.7,,
Acacia falcata,93,14.7,,
Acacia falcata,82,14.8,,
Acacia falcata,36,15,,
Acacia falcata,61,15,,
Acacia falcata,63,15,,
Acacia falcata,87,15,,
Acacia falcata,62,15.1,,
Acacia falcata,78,15.1,,
Acacia falcata,41,15.2,,
Acacia falcata,48,15.2,,
Acacia falcata,38,15.4,,
Acacia falcata,22,15.6,,
Acacia falcata,45,15.6,,
Acacia falcata,34,15.7,,
Acacia falcata,83,15.7,,
Acacia falcata,44,15.8,,
Acacia falcata,60,15.8,,
Acacia falcata,76,15.9,,
Acacia falcata,96,15.9,,
Acacia falcata,9,16,,
Acacia falcata,21,16,,
Acacia falcata,23,16.1,,
Acacia falcata,58,16.1,,
Acacia falcata,50,16.2,,
Acacia falcata,56,16.2,,
Acacia falcata,84,16.2,,
Acacia falcata,89,16.2,,
Acacia falcata,86,16.3,,
Acacia falcata,6,16.4,,
Acacia falcata,37,16.4,,
Acacia falcata,55,16.4,,
Acacia falcata,99,16.4,,
Acacia falcata,53,16.7,,
Acacia falcata,35,16.8,,
Acacia falcata,43,16.9,,
Acacia falcata,98,17.1,,
Acacia falcata,24,17.3,,
Acacia falcata,40,17.3,,
Acacia falcata,46,17.3,,
Acacia falcata,27,17.5,,
Acacia falcata,95,17.6,,
Acacia falcata,100,17.6,,
Acacia falcata,17,18,,
Acacia falcata,72,18.2,,
Acacia falcata,77,18.4,,
Acacia falcata,18,18.5,,
Acacia falcata,94,18.5,,
Acacia falcata,39,19.5,,
Acacia falcata,81,19.5,,
Acacia falcata,74,19.9,,
Acacia falcata,16,20.1,,
Acacia falcata,19,21.2,,
Acacia falcata,79,22.1,,
Acacia floribunda,67,3.314,,
Acacia floribunda,80,3.8,,
Acacia floribunda,10,4.194,,
Acacia floribunda,82,4.248,,
Acacia floribunda,53,4.412,,
Acacia floribunda,81,4.426,,
Acacia floribunda,21,4.432,,
Acacia floribunda,65,4.444,,
Acacia floribunda,87,4.5,,
Acacia floribunda,78,4.528,,
Acacia floribunda,83,4.528,,
Acacia floribunda,32,4.542,,
Acacia floribunda,50,4.642,,
Acacia floribunda,33,4.774,,
Acacia floribunda,92,4.81,,
Acacia floribunda,99,4.858,,
Acacia floribunda,8,4.87,,
Acacia floribunda,89,4.896,,
Acacia floribunda,56,4.902,,
Acacia floribunda,38,4.912,,
Acacia floribunda,100,4.92,,
Acacia floribunda,71,4.978,,
Acacia floribunda,14,5.03,,
Acacia floribunda,63,5.044,,
Acacia floribunda,75,5.072,,
Acacia floribunda,45,5.078,,
Acacia floribunda,94,5.104,,
Acacia floribunda,61,5.196,,
Acacia floribunda,30,5.216,,
Acacia floribunda,79,5.22,,
Acacia floribunda,69,5.242,,
Acacia floribunda,52,5.368,,
Acacia floribunda,20,5.424,,
Acacia floribunda,12,5.462,,
Acacia floribunda,23,5.472,,
Acacia floribunda,42,5.49,,
Acacia floribunda,59,5.536,,
Acacia floribunda,39,5.678,,
Acacia floribunda,60,5.7,,
Acacia floribunda,48,5.712,,
Acacia floribunda,84,5.734,,
Acacia floribunda,58,5.814,,
Acacia floribunda,70,5.836,,
Acacia floribunda,93,5.87,,
Acacia floribunda,19,5.888,,
Acacia floribunda,66,5.912,,
Acacia floribunda,36,5.96,,
Acacia floribunda,86,5.972,,
Acacia floribunda,97,5.974,,
Acacia floribunda,62,5.99,,
Acacia floribunda,25,5.994,,
Acacia floribunda,91,6.016,,
Acacia floribunda,51,6.042,,
Acacia floribunda,26,6.076,,
Acacia floribunda,28,6.076,,
Acacia floribunda,76,6.088,,
Acacia floribunda,40,6.132,,
Acacia floribunda,11,6.166,,
Acacia floribunda,16,6.19,,
Acacia floribunda,7,6.192,,
Acacia floribunda,49,6.222,,
Acacia floribunda,73,6.224,,
Acacia floribunda,64,6.228,,
Acacia floribunda,90,6.242,,
Acacia floribunda,6,6.248,,
Acacia floribunda,96,6.352,,
Acacia floribunda,29,6.374,,
Acacia floribunda,5,6.398,,
Acacia floribunda,31,6.47,,
Acacia floribunda,22,6.488,,
Acacia floribunda,37,6.512,,
Acacia floribunda,74,6.576,,
Acacia floribunda,27,6.658,,
Acacia floribunda,34,6.66,,
Acacia floribunda,77,6.688,,
Acacia floribunda,88,6.73,,
Acacia floribunda,41,6.744,,
Acacia floribunda,3,6.766,,
Acacia floribunda,46,6.812,,
Acacia floribunda,54,6.872,,
Acacia floribunda,43,6.886,,
Acacia floribunda,24,6.902,,
Acacia floribunda,98,6.928,,
Acacia floribunda,44,7.012,,
Acacia floribunda,17,7.026,,
Acacia floribunda,55,7.036,,
Acacia floribunda,9,7.064,,
Acacia floribunda,68,7.07,,
Acacia floribunda,57,7.12,,
Acacia floribunda,1,7.122,,
Acacia floribunda,85,7.234,,
Acacia floribunda,13,7.402,,
Acacia floribunda,18,7.49,,
Acacia floribunda,15,7.544,,
Acacia floribunda,35,7.578,,
Acacia floribunda,95,7.58,,
Acacia floribunda,2,7.7,,
Acacia floribunda,4,7.896,,
Acacia floribunda,72,7.938,,
Acacia floribunda,47,8.294,,
Acacia implexa,83,4.82,,
Acacia implexa,19,5,,
Acacia implexa,78,5.752,,
Acacia implexa,71,5.78,,
Acacia implexa,97,5.784,,
Acacia implexa,98,5.88,,
Acacia implexa,52,5.904,,
Acacia implexa,58,6.008,,
Acacia implexa,100,6.088,,
Acacia implexa,36,6.164,,
Acacia implexa,99,6.164,,
Acacia implexa,91,6.22,,
Acacia implexa,61,6.448,,
Acacia implexa,96,6.54,,
Acacia implexa,39,6.564,,
Acacia implexa,95,6.592,,
Acacia implexa,81,6.752,,
Acacia implexa,64,6.808,,
Acacia implexa,77,6.832,,
Acacia implexa,87,6.936,,
Acacia implexa,50,7.012,,
Acacia implexa,79,7.064,,
Acacia implexa,88,7.148,,
Acacia implexa,48,7.172,,
Acacia implexa,84,7.284,,
Acacia implexa,75,7.296,,
Acacia implexa,44,7.376,,
Acacia implexa,62,7.416,,
Acacia implexa,76,7.484,,
Acacia implexa,40,7.644,,
Acacia implexa,54,7.66,,
Acacia implexa,37,7.672,,
Acacia implexa,66,7.716,,
Acacia implexa,60,7.788,,
Acacia implexa,47,7.812,,
Acacia implexa,70,7.84,,
Acacia implexa,73,7.852,,
Acacia implexa,89,7.864,,
Acacia implexa,55,7.92,,
Acacia implexa,69,7.92,,
Acacia implexa,86,7.944,,
Acacia implexa,38,7.98,,
Acacia implexa,90,8.172,,
Acacia implexa,18,8.196,,
Acacia implexa,49,8.268,,
Acacia implexa,67,8.268,,
Acacia implexa,26,8.276,,
Acacia implexa,85,8.304,,
Acacia implexa,17,8.328,,
Acacia implexa,92,8.372,,
Acacia implexa,65,8.4,,
Acacia implexa,46,8.484,,
Acacia implexa,93,8.6,,
Acacia implexa,34,8.608,,
Acacia implexa,14,8.632,,
Acacia implexa,32,8.712,,
Acacia implexa,9,8.72,,
Acacia implexa,23,8.76,,
Acacia implexa,7,8.816,,
Acacia implexa,59,8.872,,
Acacia implexa,45,8.924,,
Acacia implexa,94,8.932,,
Acacia implexa,72,8.956,,
Acacia implexa,25,9.036,,
Acacia implexa,15,9.068,,
Acacia implexa,21,9.104,,
Acacia implexa,24,9.152,,
Acacia implexa,11,9.164,,
Acacia implexa,82,9.276,,
Acacia implexa,28,9.296,,
Acacia implexa,20,9.36,,
Acacia implexa,33,9.364,,
Acacia implexa,51,9.416,,
Acacia implexa,22,9.504,,
Acacia implexa,41,9.552,,
Acacia implexa,74,9.644,,
Acacia implexa,56,9.688,,
Acacia implexa,27,9.744,,
Acacia implexa,5,9.78,,
Acacia implexa,16,9.86,,
Acacia implexa,13,9.876,,
Acacia implexa,4,9.92,,
Acacia implexa,29,10.04,,
Acacia implexa,68,10.12,,
Acacia implexa,2,10.14,,
Acacia implexa,12,10.14,,
Acacia implexa,53,10.14,,
Acacia implexa,57,10.2,,
Acacia implexa,30,10.232,,
Acacia implexa,80,10.268,,
Acacia implexa,42,10.344,,
Acacia implexa,10,10.428,,
Acacia implexa,63,10.612,,
Acacia implexa,31,10.616,,
Acacia implexa,35,10.736,,
Acacia implexa,43,10.976,,
Acacia implexa,8,11.012,,
Acacia implexa,3,11.12,,
Acacia implexa,1,11.14,,
Acacia implexa,6,11.2,,
Acacia irrorata ssp velutina,95,2.793,,
Acacia irrorata ssp velutina,98,5.156,,
Acacia irrorata ssp velutina,12,5.337,,
Acacia irrorata ssp velutina,65,5.674,,
Acacia irrorata ssp velutina,76,5.803,,
Acacia irrorata ssp velutina,66,5.99,,
Acacia irrorata ssp velutina,85,6.026,,
Acacia irrorata ssp velutina,41,6.562,,
Acacia irrorata ssp velutina,54,6.577,,
Acacia irrorata ssp velutina,51,6.778,,
Acacia irrorata ssp velutina,61,6.795,,
Acacia irrorata ssp velutina,93,6.843,,
Acacia irrorata ssp velutina,70,6.844,,
Acacia irrorata ssp velutina,9,6.972,,
Acacia irrorata ssp velutina,32,6.993,,
Acacia irrorata ssp velutina,92,7.014,,
Acacia irrorata ssp velutina,97,7.019,,
Acacia irrorata ssp velutina,23,7.049,,
Acacia irrorata ssp velutina,37,7.213,,
Acacia irrorata ssp velutina,17,7.228,,
Acacia irrorata ssp velutina,4,7.245,,
Acacia irrorata ssp velutina,7,7.286,,
Acacia irrorata ssp velutina,16,7.369,,
Acacia irrorata ssp velutina,68,7.37,,
Acacia irrorata ssp velutina,11,7.377,,
Acacia irrorata ssp velutina,81,7.416,,
Acacia irrorata ssp velutina,83,7.429,,
Acacia irrorata ssp velutina,5,7.437,,
Acacia irrorata ssp velutina,26,7.499,,
Acacia irrorata ssp velutina,100,7.536,,
Acacia irrorata ssp velutina,20,7.55,,
Acacia irrorata ssp velutina,77,7.582,,
Acacia irrorata ssp velutina,44,7.602,,
Acacia irrorata ssp velutina,64,7.653,,
Acacia irrorata ssp velutina,42,7.658,,
Acacia irrorata ssp velutina,79,7.664,,
Acacia irrorata ssp velutina,25,7.69,,
Acacia irrorata ssp velutina,74,7.726,,
Acacia irrorata ssp velutina,60,7.738,,
Acacia irrorata ssp velutina,72,7.754,,
Acacia irrorata ssp velutina,58,7.756,,
Acacia irrorata ssp velutina,10,7.784,,
Acacia irrorata ssp velutina,67,7.812,,
Acacia irrorata ssp velutina,36,7.836,,
Acacia irrorata ssp velutina,82,7.838,,
Acacia irrorata ssp velutina,31,7.889,,
Acacia irrorata ssp velutina,22,7.919,,
Acacia irrorata ssp velutina,69,7.93,,
Acacia irrorata ssp velutina,19,7.937,,
Acacia irrorata ssp velutina,33,7.965,,
Acacia irrorata ssp velutina,73,8.009,,
Acacia irrorata ssp velutina,18,8.02,,
Acacia irrorata ssp velutina,40,8.064,,
Acacia irrorata ssp velutina,28,8.094,,
Acacia irrorata ssp velutina,38,8.129,,
Acacia irrorata ssp velutina,15,8.135,,
Acacia irrorata ssp velutina,48,8.156,,
Acacia irrorata ssp velutina,86,8.156,,
Acacia irrorata ssp velutina,43,8.159,,
Acacia irrorata ssp velutina,13,8.293,,
Acacia irrorata ssp velutina,63,8.294,,
Acacia irrorata ssp velutina,89,8.294,,
Acacia irrorata ssp velutina,21,8.296,,
Acacia irrorata ssp velutina,56,8.305,,
Acacia irrorata ssp velutina,34,8.336,,
Acacia irrorata ssp velutina,49,8.375,,
Acacia irrorata ssp velutina,62,8.429,,
Acacia irrorata ssp velutina,87,8.438,,
Acacia irrorata ssp velutina,39,8.45,,
Acacia irrorata ssp velutina,6,8.465,,
Acacia irrorata ssp velutina,53,8.561,,
Acacia irrorata ssp velutina,8,8.583,,
Acacia irrorata ssp velutina,14,8.606,,
Acacia irrorata ssp velutina,47,8.606,,
Acacia irrorata ssp velutina,1,8.637,,
Acacia irrorata ssp velutina,88,8.679,,
Acacia irrorata ssp velutina,84,8.694,,
Acacia irrorata ssp velutina,3,8.722,,
Acacia irrorata ssp velutina,78,8.759,,
Acacia irrorata ssp velutina,24,8.788,,
Acacia irrorata ssp velutina,35,8.812,,
Acacia irrorata ssp velutina,29,8.839,,
Acacia irrorata ssp velutina,59,8.924,,
Acacia irrorata ssp velutina,94,9.02,,
Acacia irrorata ssp velutina,71,9.026,,
Acacia irrorata ssp velutina,30,9.028,,
Acacia irrorata ssp velutina,75,9.118,,
Acacia irrorata ssp velutina,99,9.125,,
Acacia irrorata ssp velutina,27,9.16,,
Acacia irrorata ssp velutina,96,9.192,,
Acacia irrorata ssp velutina,45,9.262,,
Acacia irrorata ssp velutina,57,9.295,,
Acacia irrorata ssp velutina,52,9.35,,
Acacia irrorata ssp velutina,91,9.433,,
Acacia irrorata ssp velutina,50,9.456,,
Acacia irrorata ssp velutina,90,9.52,,
Acacia irrorata ssp velutina,2,9.521,,
Acacia irrorata ssp velutina,55,9.754,,
Acacia irrorata ssp velutina,46,9.885,,
Acacia irrorata ssp velutina,80,,,
Acacia linifolia,60,4.5,,
Acacia linifolia,59,5,,
Acacia linifolia,34,5.9,,
Acacia linifolia,41,6.4,,
Acacia linifolia,42,7.2,,
Acacia linifolia,40,7.4,,
Acacia linifolia,74,7.8,,
Acacia linifolia,27,8.1,,
Acacia linifolia,28,9.1,,
Acacia linifolia,35,9.8,,
Acacia linifolia,57,10.1,,
Acacia linifolia,47,10.3,,
Acacia linifolia,33,10.7,,
Acacia linifolia,61,11.1,,
Acacia linifolia,79,11.6,,
Acacia linifolia,53,12.2,,
Acacia linifolia,67,13.6,,
Acacia linifolia,17,14.8,,
Acacia linifolia,46,14.8,,
Acacia linifolia,90,15.2,,
Acacia linifolia,7,15.5,,
Acacia linifolia,84,15.5,,
Acacia linifolia,94,16,,
