Tree ID,Landscape type,Tree species,Leaf type,Eucalypt subgenera,Collection date,Round,TotalN,AvailN,UBFs,FPCs
b35vi5,Burnt,Viminalis,Epicormic,Symphyomyrtus,27/11/2020,1,3.121,2.961498596,,9.187237815
b36di10,Burnt,Dives,Epicormic,Monocalyptus,26/11/2020,1,2.652,2.160842213,24.4060421,
b36ru4,Burnt,Rubida,Epicormic,Symphyomyrtus,26/11/2020,1,2.495,2.139210372,,5.626662479
b36vi6,Burnt,Viminalis,Epicormic,Symphyomyrtus,26/11/2020,1,2.606,2.414069071,,11.98516216
b38ru5,Burnt,Rubida,Epicormic,Symphyomyrtus,27/11/2020,1,2.101,1.802605548,,0.992805646
b38rui2,Burnt,Rubida,Mature foliage,Symphyomyrtus,27/11/2020,1,1.439,1.296523883,,7.064083723
b38vi9,Burnt,Viminalis,Epicormic,Symphyomyrtus,27/11/2020,1,2.564,2.405577533,,11.2543624
b38vii1,Burnt,Viminalis,Mature foliage,Symphyomyrtus,27/11/2020,1,1.191,1.029586537,,9.245322377
b3mac2,Burnt,Macrorhyncha,Epicormic,Monocalyptus,3/12/2020,1,1.675,0.761471035,2.6404152,
b42vi7,Burnt,Viminalis,Epicormic,Symphyomyrtus,1/12/2020,1,2.737,2.421893086,,20.26721683
b49vi8,Burnt,Viminalis,Epicormic,Symphyomyrtus,26/11/2020,1,2.497,2.304056068,,16.15197771
b4mac3,Burnt,Macrorhyncha,Epicormic,Monocalyptus,30/11/2020,1,2.376,0.320435484,5.0665212,
b4man2,Burnt,Mannifera,Epicormic,Symphyomyrtus,30/11/2020,1,2.374,2.007970187,,25.06977795
b51ru6,Burnt,Rubida,Epicormic,Symphyomyrtus,3/12/2020,1,2.037,1.905036438,,1.637337183
b52ru7,Burnt,Rubida,Epicormic,Symphyomyrtus,3/12/2020,1,2.281,1.879296503,,7.150099057
b53ru8,Burnt,Rubida,Epicormic,Symphyomyrtus,3/12/2020,1,2.263,2.039842158,,0.772403684
b54ru9,Burnt,Rubida,Epicormic,Symphyomyrtus,3/12/2020,1,2.508,2.147411765,,8.813373848
b55ru10,Burnt,Rubida,Epicormic,Symphyomyrtus,3/12/2020,1,2.126,1.900246307,,0.31053547
b5mac4,Burnt,Macrorhyncha,Epicormic,Monocalyptus,2/12/2020,1,1.021,0,2.2466686,
b5maci9,Burnt,Macrorhyncha,Mature foliage,Monocalyptus,2/12/2020,1,1.101,0.171055983,2.5733535,
b5mani6,Burnt,Mannifera,Mature foliage,Symphyomyrtus,2/12/2020,1,1.214,1.024934222,,14.58927202
b5ro11,Burnt,Rossii,Epicormic,Monocalyptus,2/12/2020,1,1.209,1.093926625,20.8020229,
b5roi8,Burnt,Rossii,Mature foliage,Monocalyptus,2/12/2020,1,0.9625,0.839094265,23.7820263,
b6di2,Burnt,Dives,Epicormic,Monocalyptus,27/11/2020,1,2.017,1.653721375,15.2769375,
b6ro2,Burnt,Rossii,Epicormic,Monocalyptus,27/11/2020,1,1.44,1.1095,14.9693727,
b6vi10,Burnt,Viminalis,Epicormic,Symphyomyrtus,27/11/2020,1,3.274,3.158711226,,11.38201368
b7mac5,Burnt,Macrorhyncha,Epicormic,Monocalyptus,1/12/2020,1,1.369,0.295162355,18.1504326,
b7maci7,Burnt,Macrorhyncha,Mature foliage,Monocalyptus,1/12/2020,1,1.145,0.734655869,8.9228306,
b7man3,Burnt,Mannifera,Epicormic,Symphyomyrtus,1/12/2020,1,2.131,1.568538432,,40.21065427
b7ro10,Burnt,Rossii,Epicormic,Monocalyptus,1/12/2020,1,1.686,1.518256667,31.2554951,
b7roi6,Burnt,Rossii,Mature foliage,Monocalyptus,1/12/2020,1,1.491,1.356597041,17.7470818,
b9di3,Burnt,Dives,Epicormic,Monocalyptus,26/11/2020,1,1.76,1.591489362,16.2143421,
b9vi2,Burnt,Viminalis,Epicormic,Symphyomyrtus,26/11/2020,1,2.274,2.00951768,,13.76864327
u10di4,Unburnt,Dives,Mature foliage,Monocalyptus,9/12/2020,1,1.163,0.985662092,15.5313625,
u10mac6,Unburnt,Macrorhyncha,Mature foliage,Monocalyptus,9/12/2020,1,1.029,0.735433799,2.5947061,
u10man9,Unburnt,Mannifera,Mature foliage,Symphyomyrtus,9/12/2020,1,1.147,0.968550019,,27.52381073
u11di5,Unburnt,Dives,Mature foliage,Monocalyptus,10/12/2020,1,1.233,1.083053484,18.5124702,
u11mac7,Unburnt,Macrorhyncha,Mature foliage,Monocalyptus,10/12/2020,1,1.032,0.469664198,6.6563621,
u11mac7tips,Unburnt,Macrorhyncha,Tips,Monocalyptus,10/12/2020,1,1.259,0.234772647,12.5776024,
u11man10,Unburnt,Mannifera,Mature foliage,Symphyomyrtus,10/12/2020,1,1.179,1.023767715,,24.16878315
u12mac8,Unburnt,Macrorhyncha,Mature foliage,Monocalyptus,8/12/2020,1,1.017,0.598885995,5.5886002,
u12ro7,Unburnt,Rossii,Mature foliage,Monocalyptus,8/12/2020,1,1.099,0.910371058,13.1697397,
u13di6,Unburnt,Dives,Mature foliage,Monocalyptus,10/12/2020,1,1.537,1.379975747,14.9209156,
u13vi3,Unburnt,Viminalis,Mature foliage,Symphyomyrtus,10/12/2020,1,1.398,1.235704746,,9.181254358
u14mac9,Unburnt,Macrorhyncha,Mature foliage,Monocalyptus,3/12/2020,1,1.134,0.50411758,5.6443224,
u14ro8,Unburnt,Rossii,Mature foliage,Monocalyptus,3/12/2020,1,1.221,1.0664864,12.4625797,
u15di7,Unburnt,Dives,Mature foliage,Monocalyptus,8/12/2020,1,1.278,1.045756409,12.7704258,
u15mac10,Unburnt,Macrorhyncha,Mature foliage,Monocalyptus,8/12/2020,1,1.1,0.53476522,5.2394404,
u15ru4,Unburnt,Rubida,Mature foliage,Symphyomyrtus,8/12/2020,1,1.463,1.346847586,,0.001489212
u16di8,Unburnt,Dives,Mature foliage,Monocalyptus,9/12/2020,1,1.105,0.890869181,16.9499702,
u17di9,Unburnt,Dives,Mature foliage,Monocalyptus,9/12/2020,1,1.214,1.0775489,10.941905,
u18ru5,Unburnt,Rubida,Mature foliage,Symphyomyrtus,9/12/2020,1,1.27,1.125076204,,0.001489212
u19di10,Unburnt,Dives,Mature foliage,Monocalyptus,4/12/2020,1,1.444,1.28245688,18.5960045,
u19ro9,Unburnt,Rossii,Mature foliage,Monocalyptus,4/12/2020,1,1.112,0.959705099,24.685894,
u1di1,Unburnt,Dives,Mature foliage,Monocalyptus,3/12/2020,1,1.142,0.905875609,18.5589504,
u1mac1,Unburnt,Macrorhyncha,Mature foliage,Monocalyptus,3/12/2020,1,0.964,0.506391332,4.3457842,
u1man1,Unburnt,Mannifera,Mature foliage,Symphyomyrtus,3/12/2020,1,1.07,0.905742897,,30.65267154
u1ro1,Unburnt,Rossii,Mature foliage,Monocalyptus,3/12/2020,1,1.181,1.056816289,23.9301891,
u20ru6,Unburnt,Rubida,Mature foliage,Symphyomyrtus,8/12/2020,1,1.478,1.386318238,,0.724142038
u20vi4,Unburnt,Viminalis,Mature foliage,Symphyomyrtus,8/12/2020,1,1.312,1.071502565,,13.20496576
u21ro10,Unburnt,Rossii,Mature foliage,Monocalyptus,9/12/2020,1,1.074,0.965336548,20.2423725,
u22ru7,Unburnt,Rubida,Mature foliage,Symphyomyrtus,4/12/2020,1,1.364,1.217424752,,0.001489212
u22vi5,Unburnt,Viminalis,Mature foliage,Symphyomyrtus,4/12/2020,1,1.382,1.086514738,,17.58888404
u23ru8,Unburnt,Rubida,Mature foliage,Symphyomyrtus,8/12/2020,1,1.161,1.014467736,,0.001489212
u26ru10,Unburnt,Rubida,Mature foliage,Symphyomyrtus,9/12/2020,1,1.125,0.95536028,,0.190677292
u2di2,Unburnt,Dives,Mature foliage,Monocalyptus,9/12/2020,1,1.231,1.027208073,14.4498224,
u2man2,Unburnt,Mannifera,Mature foliage,Symphyomyrtus,9/12/2020,1,1.165,0.980763788,,20.15589013
u30ru9,Unburnt,Rubida,Mature foliage,Symphyomyrtus,9/12/2020,1,1.246,1.129608034,,0.001489212
u32vi7,Unburnt,Viminalis,Mature foliage,Symphyomyrtus,4/12/2020,1,1.415,1.227628287,,11.88941481
u34ru1,Unburnt,Rubida,Mature foliage,Symphyomyrtus,10/12/2020,1,1.108,0.996222659,,1.013964998
u38vi8,Unburnt,Viminalis,Mature foliage,Symphyomyrtus,8/12/2020,1,1.517,1.314131928,,13.05172008
u3vi1,Unburnt,Viminalis,Mature foliage,Symphyomyrtus,4/12/2020,1,1.501,1.277064574,,9.052978111
u44vi9,Unburnt,Viminalis,Mature foliage,Symphyomyrtus,10/12/2020,1,1.314,1.136198382,,13.41406958
u45vi10,Unburnt,Viminalis,Mature foliage,Symphyomyrtus,4/12/2020,1,1.47,1.317531693,,10.89411994
u46vi6,Unburnt,Viminalis,Mature foliage,Symphyomyrtus,10/12/2020,1,1.294,1.13560758,,9.557540369
u4mac2,Unburnt,Macrorhyncha,Mature foliage,Monocalyptus,4/12/2020,1,1.162,0.388289766,5.1528411,
u4man3,Unburnt,Mannifera,Mature foliage,Symphyomyrtus,4/12/2020,1,1.303,1.085882685,,23.73978491
u4ro2,Unburnt,Rossii,Mature foliage,Monocalyptus,4/12/2020,1,1.088,0.968679927,16.5728474,
u5di3,Unburnt,Dives,Mature foliage,Monocalyptus,8/12/2020,1,1.2,1.02743207,18.9164429,
u5mac3,Unburnt,Macrorhyncha,Mature foliage,Monocalyptus,8/12/2020,1,1.021,0.577664885,2.6572676,
u5man4,Unburnt,Mannifera,Mature foliage,Symphyomyrtus,8/12/2020,1,1.211,1.024728531,,30.09288375
u5ro3,Unburnt,Rossii,Mature foliage,Monocalyptus,8/12/2020,1,1.112,1.001793396,28.3283997,
u6man5,Unburnt,Mannifera,Mature foliage,Symphyomyrtus,9/12/2020,1,1.207,1.033525198,,25.19816882
u6ro4,Unburnt,Rossii,Mature foliage,Monocalyptus,9/12/2020,1,1.156,1.012522225,39.4754486,
u6ru2,Unburnt,Rubida,Mature foliage,Symphyomyrtus,9/12/2020,1,1.092,0.969087755,,0.711692303
u7man6,Unburnt,Mannifera,Mature foliage,Symphyomyrtus,9/12/2020,1,1.141,0.997202067,,21.00957384
u7ru3,Unburnt,Rubida,Mature foliage,Symphyomyrtus,9/12/2020,1,0.8971,0.756050032,,0.001489212
u7vi2,Unburnt,Viminalis,Mature foliage,Symphyomyrtus,9/12/2020,1,1.326,1.107144072,,15.63769784
u8mac4,Unburnt,Macrorhyncha,Mature foliage,Monocalyptus,4/12/2020,1,1.073,0.70610762,7.7547517,
u8man7,Unburnt,Mannifera,Mature foliage,Symphyomyrtus,4/12/2020,1,1.223,1.042412587,,14.99515914
u8ro5,Unburnt,Rossii,Mature foliage,Monocalyptus,4/12/2020,1,1.106,0.977003563,21.2398186,
u9mac5,Unburnt,Macrorhyncha,Mature foliage,Monocalyptus,4/12/2020,1,1.036,0.457916741,3.0057361,
u9man8,Unburnt,Mannifera,Mature foliage,Symphyomyrtus,4/12/2020,1,1.197,1.004083613,,27.34077516
u9ro6,Unburnt,Rossii,Mature foliage,Monocalyptus,4/12/2020,1,1.052,0.917580722,22.7955837,
b11di4,Burnt,Dives,Epicormic,Monocalyptus,13/1/2021,2,1.8633342,1.4779917,11.7098322,
b11mac6,Burnt,Macrorhyncha,Epicormic,Monocalyptus,13/1/2021,2,1.5495249,0.468609,4.4007964,
b11ro3,Burnt,Rossii,Epicormic,Monocalyptus,13/1/2021,2,1.5873425,1.4009959,6.3703265,
b12di11,Burnt,Dives,Epicormic,Monocalyptus,13/1/2021,2,2.225605,1.7679487,12.8972836,
b12mac7,Burnt,Macrorhyncha,Epicormic,Monocalyptus,13/1/2021,2,1.3862343,0.1674245,3.7282834,
b12ru1,Burnt,Rubida,Epicormic,Symphyomyrtus,13/1/2021,2,2.2255445,1.9425982,,16.4380417
b13mac8,Burnt,Macrorhyncha,Epicormic,Monocalyptus,7/1/2021,2,1.1365545,0.2391658,14.3434515,
b13maci5,Burnt,Macrorhyncha,Mature foliage,Monocalyptus,7/1/2021,2,1.1852499,0.2130946,10.6773949,
b13mani2,Burnt,Mannifera,Mature foliage,Symphyomyrtus,7/1/2021,2,1.5712835,1.2683973,,39.5585518
b13roi3,Burnt,Rossii,Mature foliage,Monocalyptus,7/1/2021,2,1.0558966,0.8535919,27.4828587,
b14dii2,Burnt,Dives,Mature foliage,Monocalyptus,12/1/2021,2,1.8284671,1.3857322,12.8846102,
b14man4,Burnt,Mannifera,Epicormic,Symphyomyrtus,12/1/2021,2,2.1349602,1.5133126,,29.7367992
b14ro4,Burnt,Rossii,Epicormic,Monocalyptus,12/1/2021,2,1.5100527,0.7090762,17.4086933,
b14roi8,Burnt,Rossii,Mature foliage,Monocalyptus,12/1/2021,2,1.3149782,1.0312805,6.8692026,
b15mac9,Burnt,Macrorhyncha,Epicormic,Monocalyptus,15/1/2021,2,1.2615181,0.2832123,5.9868884,
b15maci1,Burnt,Macrorhyncha,Mature foliage,Monocalyptus,15/1/2021,2,1.1104345,0.0644564,4.5006685,
b15man5,Burnt,Mannifera,Epicormic,Symphyomyrtus,15/1/2021,2,2.2495902,1.856642,,41.5419579
b15mani1,Burnt,Mannifera,Mature foliage,Symphyomyrtus,15/1/2021,2,1.4176393,0.7937351,,19.7347164
b15ro5,Burnt,Rossii,Epicormic,Monocalyptus,15/1/2021,2,1.4211398,0.7581297,14.8126945,
b16mac10,Burnt,Macrorhyncha,Epicormic,Monocalyptus,7/1/2021,2,1.6439483,0.5675443,10.742713,
b16maci10,Burnt,Macrorhyncha,Mature foliage,Monocalyptus,7/1/2021,2,1.0607384,0.0967976,14.312129,
b16man6,Burnt,Mannifera,Epicormic,Symphyomyrtus,7/1/2021,2,2.6238892,2.1319282,,33.7738876
b16mani7,Burnt,Mannifera,Mature foliage,Symphyomyrtus,7/1/2021,2,1.2206967,1.0483263,,17.4067554
b16ro6,Burnt,Rossii,Epicormic,Monocalyptus,7/1/2021,2,1.4871767,1.1249504,29.157999,
b16roi9,Burnt,Rossii,Mature foliage,Monocalyptus,7/1/2021,2,1.0721208,0.9297047,25.6262627,
b17di5,Burnt,Dives,Epicormic,Monocalyptus,12/1/2021,2,1.9663994,1.6550784,13.0700197,
b17dii1,Burnt,Dives,Mature foliage,Monocalyptus,12/1/2021,2,1.358183,1.0845112,4.7038851,
b17maci4,Burnt,Macrorhyncha,Mature foliage,Monocalyptus,12/1/2021,2,1.2427669,0.1872784,4.6221352,
b17man7,Burnt,Mannifera,Epicormic,Symphyomyrtus,12/1/2021,2,1.6620983,1.2081304,,24.7348766
b17ru2,Burnt,Rubida,Epicormic,Symphyomyrtus,12/1/2021,2,1.8917952,1.6669543,,7.154139
b17rui1,Burnt,Rubida,Mature foliage,Symphyomyrtus,12/1/2021,2,1.4592558,1.1042721,,7.5293484
b1mac1,Burnt,Macrorhyncha,Epicormic,Monocalyptus,18/1/2021,2,1.169605,0.0908439,10.2193832,
b1maci3,Burnt,Macrorhyncha,Mature foliage,Monocalyptus,18/1/2021,2,1.1767001,0.1859977,2.9366884,
b1man1,Burnt,Mannifera,Epicormic,Symphyomyrtus,18/1/2021,2,1.6709299,1.3709538,,35.7232018
b1ro1,Burnt,Rossii,Epicormic,Monocalyptus,18/1/2021,2,1.2491755,0.7173329,48.7741852,
b1roi2,Burnt,Rossii,Mature foliage,Monocalyptus,18/1/2021,2,0.9793503,0.5495282,30.2888718,
b20maci2,Burnt,Macrorhyncha,Mature foliage,Monocalyptus,15/1/2021,2,1.3584044,0.3441646,2.8363762,
b20ro8,Burnt,Rossii,Epicormic,Monocalyptus,15/1/2021,2,1.5153809,0.9596108,20.1611614,
b20roi1,Burnt,Rossii,Mature foliage,Monocalyptus,15/1/2021,2,1.2617657,0.7573753,16.8330116,
b23ro8,Burnt,Rossii,Epicormic,Monocalyptus,13/1/2021,2,1.3020911,0.6876313,15.1859903,
b24man8,Burnt,Mannifera,Epicormic,Symphyomyrtus,7/1/2021,2,2.1920607,1.841287,,43.1573753
b25di6,Burnt,Dives,Epicormic,Monocalyptus,6/1/2021,2,1.632516,1.3100835,18.1624088,
b25ru3,Burnt,Rubida,Epicormic,Symphyomyrtus,6/1/2021,2,1.9244776,1.5908467,,3.344924
b25vi3,Burnt,Viminalis,Epicormic,Symphyomyrtus,6/1/2021,2,1.9691212,1.7294406,,15.0067444
b26di7,Burnt,Dives,Epicormic,Monocalyptus,19/1/2021,2,2.664463,2.2272491,16.5035133,
b26dii2,Burnt,Dives,Mature foliage,Monocalyptus,19/1/2021,2,1.6067343,1.3589661,1.1952443,
b26man9,Burnt,Mannifera,Epicormic,Symphyomyrtus,19/1/2021,2,2.224318,1.9577687,,39.2210922
b26mani5,Burnt,Mannifera,Mature foliage,Symphyomyrtus,19/1/2021,2,1.1636924,0.7534925,,26.0272007
b26vi4,Burnt,Viminalis,Epicormic,Symphyomyrtus,19/1/2021,2,2.4509034,2.3290651,,18.087225
b26vii2,Burnt,Viminalis,Mature foliage,Symphyomyrtus,19/1/2021,2,1.6198868,1.4747288,,10.4608002
b28di8,Burnt,Dives,Epicormic,Monocalyptus,18/1/2021,2,1.5086946,1.3596952,15.9420748,
b28maci6,Burnt,Macrorhyncha,Mature foliage,Monocalyptus,18/1/2021,2,1.2254101,0.3235334,2.7533894,
b28roi4,Burnt,Rossii,Mature foliage,Monocalyptus,18/1/2021,2,1.302683,1.0592122,15.9675703,
b29ro9,Burnt,Rossii,Epicormic,Monocalyptus,19/1/2021,2,1.1413244,0.9872731,20.3773212,
b29roi5,Burnt,Rossii,Mature foliage,Monocalyptus,19/1/2021,2,1.1888245,0.9192098,26.0284061,
b2di1,Burnt,Dives,Epicormic,Monocalyptus,13/1/2021,2,1.6961663,1.2707385,11.3278675,
b2vi1,Burnt,Viminalis,Epicormic,Symphyomyrtus,13/1/2021,2,2.143491,1.9724519,,22.553133
b33man10,Burnt,Mannifera,Epicormic,Symphyomyrtus,12/1/2021,2,2.3458424,1.9811505,,24.6061611
b33mani4,Burnt,Mannifera,Mature foliage,Symphyomyrtus,12/1/2021,2,1.4284005,1.1451569,,16.4646683
b33roi7,Burnt,Rossii,Mature foliage,Monocalyptus,12/1/2021,2,1.2639855,1.0146226,21.2693558,
b35di9,Burnt,Dives,Epicormic,Monocalyptus,13/1/2021,2,1.7582427,1.4510524,10.2710791,
b35vi5,Burnt,Viminalis,Epicormic,Symphyomyrtus,13/1/2021,2,2.0716825,1.9151328,,15.1484079
b36di10,Burnt,Dives,Epicormic,Monocalyptus,6/1/2021,2,2.0364585,1.680784,19.2629547,
b36ru4,Burnt,Rubida,Epicormic,Symphyomyrtus,6/1/2021,2,2.0565691,1.8825629,,7.169312
b36vi6,Burnt,Viminalis,Epicormic,Symphyomyrtus,6/1/2021,2,2.1138635,1.9877982,,14.3338823
b38ru5,Burnt,Rubida,Epicormic,Symphyomyrtus,12/1/2021,2,1.4427689,1.1629879,,3.5498881
b38rui2,Burnt,Rubida,Mature foliage,Symphyomyrtus,12/1/2021,2,1.186563,0.9353635,,3.9753134
b38vi9,Burnt,Viminalis,Epicormic,Symphyomyrtus,12/1/2021,2,2.2775176,2.1489327,,12.7591295
b38vii1,Burnt,Viminalis,Mature foliage,Symphyomyrtus,12/1/2021,2,1.3433639,1.274067,,10.9329729
b3mac2,Burnt,Macrorhyncha,Epicormic,Monocalyptus,13/1/2021,2,1.5671761,0.5442006,4.3041067,
b42vi7,Burnt,Viminalis,Epicormic,Symphyomyrtus,19/1/2021,2,1.7882787,1.7679857,,15.8994083
b49vi8,Burnt,Viminalis,Epicormic,Symphyomyrtus,6/1/2021,2,2.2059813,2.1814835,,16.3454285
b4mac3,Burnt,Macrorhyncha,Epicormic,Monocalyptus,7/1/2021,2,1.7834522,0.9779706,17.3027496,
b4man2,Burnt,Mannifera,Epicormic,Symphyomyrtus,7/1/2021,2,1.9425869,1.4542953,,32.6407509
b51ru6,Burnt,Rubida,Epicormic,Symphyomyrtus,15/1/2021,2,1.7204115,1.4461069,,2.1391664
