Site,Lat,Lon,Species,PlantRep,leaf_water_content_per_saturated_mass,leaf_dry_matter_content,leaf_dry_mass,leaf_fresh_mass,leaf_area,specific_leaf_area,leaf_thickness,leaf_turgor_loss_point,osmotic_potential_at_full_turgor,bulk_modulus_of_elasticity
Wilb1,-33.46173001,147.608493,Callitris glaucophylla,4,0.828373656,0.546954154,61.43333333,112.4666667,377.8333333,6.136865924,0.186666667,NA,NA,NA
Wilb1,-33.46173001,147.608493,Callitris glaucophylla,5,0.825652777,0.547955163,48.7,88.13333333,327.9666667,7.669400748,0.171666667,NA,NA,NA
Wilb1,-33.46173001,147.608493,Eucalyptus populnea,1,0.871022907,0.534499169,435.8333333,815.4,2061.133333,4.731530505,0.335,NA,NA,NA
Wilb1,-33.46173001,147.608493,Eucalyptus populnea,2,0.956108377,0.511268389,223.4333333,437.3333333,1337.6,6.002848183,0.248333333,NA,NA,NA
Wilb1,-33.46173001,147.608493,Eucalyptus populnea,3,1.08722827,0.479178199,438.3333333,915.3,2276.533333,5.194880419,0.343333333,NA,NA,NA
Wilb1,-33.46173001,147.608493,Eucalyptus populnea,4,1.047880983,0.4884973,602.5333333,1235.2,3058.433333,5.100410666,0.343333333,NA,NA,NA
Wilb1,-33.46173001,147.608493,Eucalyptus populnea,5,0.888414106,0.529557277,426.5,804.8333333,2305.533333,5.497613018,0.296666667,NA,NA,NA
Wilb1,-33.46173001,147.608493,Eucalyptus melliodora,1,0.872243462,0.534575652,270.8333333,508.2333333,1181.9,4.367726597,0.323333333,NA,NA,NA
Wilb1,-33.46173001,147.608493,Eucalyptus melliodora,2,0.896312264,0.527641416,207.8333333,393.0666667,919.1,4.452343809,0.325,NA,NA,NA
Wilb1,-33.46173001,147.608493,Eucalyptus melliodora,3,0.878541907,0.5323644,297.5666667,558.5666667,1662.466667,5.605433561,0.266666667,NA,NA,NA
Wilb1,-33.46173001,147.608493,Eucalyptus melliodora,4,0.872814342,0.534042055,196.4,368,935.0333333,4.776284702,0.293333333,NA,NA,NA
Wilb1,-33.46173001,147.608493,Eucalyptus melliodora,5,1.017211349,0.495749092,236.7333333,477.2333333,1038.533333,4.390584632,0.338333333,NA,NA,NA
Wilb1,-33.46173001,147.608493,Eucalyptus microcarpa,1,0.874219903,0.533980924,307.4666667,576.5,1202.333333,3.899128308,0.36,NA,NA,NA
Wilb1,-33.46173001,147.608493,Eucalyptus microcarpa,2,0.813719602,0.551374148,314.3,569.8,1197.266667,3.809174702,0.338333333,NA,NA,NA
Wilb1,-33.46173001,147.608493,Eucalyptus microcarpa,3,0.806320216,0.553629456,393.3666667,711.0333333,1410.133333,3.559758129,0.386666667,NA,NA,NA
Wilb1,-33.46173001,147.608493,Eucalyptus microcarpa,4,0.815380527,0.550909515,393.6333333,715.2333333,1407.833333,3.576414545,0.378333333,NA,NA,NA
Wilb1,-33.46173001,147.608493,Eucalyptus microcarpa,5,0.911902421,0.523110869,453.0333333,865.9,1965.333333,4.348703976,0.328333333,NA,NA,NA
Wilson,-33.50145,150.390917,Eucalyptus dalrympleana,1,1.41806291,0.413595428,507.3,1225.8,3119.133333,6.16211743,0.273333333,NA,NA,NA
Wilson,-33.50145,150.390917,Eucalyptus dalrympleana,2,1.160460343,0.463117428,640,1383.166667,3918.3,6.119528439,0.261666667,NA,NA,NA
Wilson,-33.50145,150.390917,Eucalyptus dalrympleana,3,1.336513114,0.42818505,468.9333333,1094.633333,2850.2,6.076128752,0.275,NA,NA,NA
Wilson,-33.50145,150.390917,Eucalyptus dalrympleana,4,1.349070586,0.425913139,514.2,1208.566667,3645.666667,7.093386991,0.215,NA,NA,NA
Wilson,-33.50145,150.390917,Eucalyptus dalrympleana,5,1.312273691,0.432503823,679.5,1570.066667,4232.966667,6.231055707,0.293333333,NA,NA,NA
Wilson,-33.50145,150.390917,Eucalyptus radiata subsp. radiata,1,1.378873629,0.420794925,181.3666667,428.7666667,1337.333333,7.387156329,0.173333333,NA,NA,NA
Wilson,-33.50145,150.390917,Eucalyptus radiata subsp. radiata,2,1.146756997,0.465941474,260.5666667,557.9,1399.1,5.435643254,0.215,NA,NA,NA
Wilson,-33.50145,150.390917,Eucalyptus radiata subsp. radiata,3,1.470327579,0.405458862,180.4666667,444.3333333,1672.1,9.303913578,0.148333333,NA,NA,NA
Wilson,-33.50145,150.390917,Eucalyptus radiata subsp. radiata,4,1.336868531,0.42793625,216.2666667,506.0666667,1555.333333,7.26455201,0.186666667,NA,NA,NA
Wilson,-33.50145,150.390917,Eucalyptus radiata subsp. radiata,5,1.611330835,0.383280977,184.7,479.9666667,1419.133333,7.866648915,0.19,NA,NA,NA
Winburn,-33.42472399,149.745031,Eucalyptus mannifera subsp. mannifera,1,1.162839001,0.463032086,318.5666667,684.8333333,1720.666667,5.421998666,0.328333333,NA,NA,NA
Winburn,-33.42472399,149.745031,Eucalyptus mannifera subsp. mannifera,2,0.885496415,0.530364925,348.8666667,657.7666667,1426.5,4.090887268,0.315,NA,NA,NA
Winburn,-33.42472399,149.745031,Eucalyptus mannifera subsp. mannifera,3,1.013741314,0.496747853,456.6,918.9666667,2019.033333,4.44654688,0.331666667,NA,NA,NA
Winburn,-33.42472399,149.745031,Eucalyptus mannifera subsp. mannifera,4,0.984742356,0.503853876,364.7,723.9333333,1594.533333,4.385754833,0.326666667,NA,NA,NA
Winburn,-33.42472399,149.745031,Eucalyptus mannifera subsp. mannifera,5,1.118326562,0.473490008,181.5,383.4333333,1017.433333,5.624097197,0.223333333,NA,NA,NA
Winburn,-33.42472399,149.745031,Eucalyptus sp.,1,1.152529349,0.464680596,212.3666667,457.3333333,974.1,4.588402697,0.32,NA,NA,NA
Winburn,-33.42472399,149.745031,Eucalyptus sp.,2,1.091032622,0.478296134,272.5,569.6333333,1349.666667,4.939450539,0.256666667,NA,NA,NA
Winburn,-33.42472399,149.745031,Eucalyptus sp.,3,1.099770848,0.476243186,306.3333333,643.2,1421.266667,4.64272008,0.311666667,NA,NA,NA
Winburn,-33.42472399,149.745031,Eucalyptus sp.,4,1.068755702,0.483432529,250.8666667,518.7333333,1233.966667,4.921089393,0.301666667,NA,NA,NA
Winburn,-33.42472399,149.745031,Eucalyptus sp.,5,1.115430784,0.472719154,261.0333333,552.2,1216.233333,4.661455434,0.326666667,NA,NA,NA
