species_name,trait,units,value
Acacia araneosa,dispersal,,aril
Acacia catenulata,dispersal,,aril
Acacia blaxellii,dispersal,,aril
Acacia cedroides,dispersal,,aril
Acacia armillata,dispersal,,aril
Acacia aristulata,dispersal,,aril
Acacia brachyclada,dispersal,,aril
Acacia bancroftiorum,dispersal,,aril
Acacia cincinnata,dispersal,,aril
Acacia barringtonensis,dispersal,,aril
Acacia cavealis,dispersal,,aril
Acacia cowleana,dispersal,,aril
Acacia chrysella,dispersal,,aril
Acacia barattensis,dispersal,,aril
Acacia chrysocephala,dispersal,,aril
Acacia brachystachya,dispersal,,aril
Acacia arida,dispersal,,aril
Acacia bracteolata,dispersal,,aril
Acacia brachyphylla,dispersal,,aril
Acacia barbinervis,dispersal,,aril
Acacia argyrotricha,dispersal,,aril
Acacia brachypoda,dispersal,,aril
Acacia unguicula,dispersal,,
Acacia carneorum,dispersal,,aril
Acacia camptoclada,dispersal,,exarillate
Acacia asparagoides,dispersal,,exarillate
Acacia bakeri,dispersal,,exarillate
Acacia brachycarpa,dispersal,,exarillate
Acacia argyrodendron,dispersal,,exarillate
Acacia sinuata,dispersal,,
Acacia tysonii,dispersal,,
Acacia umbellata,dispersal,,
Acacia robinae,dispersal,,
Acacia rossei,dispersal,,
Acacia gibbosa,dispersal,,
Acacia georgensis,dispersal,,
Acacia tetanophylla,dispersal,,
Acacia tessellata,dispersal,,
Acacia sessilispica,dispersal,,
Acacia sericoflora,dispersal,,
Acacia sericata,dispersal,,
Acacia semitrullata,dispersal,,
Acacia sedifolia,dispersal,,
Acacia semiaurea,dispersal,,
Acacia scopulorum,dispersal,,
Acacia sclerosperma,dispersal,,
Acacia rubricola,dispersal,,
Acacia rubida,dispersal,,
Acacia roycei,dispersal,,
Acacia rothii,dispersal,,
Acacia rostellata,dispersal,,
Acacia rostellifera,dispersal,,
Acacia rivalis,dispersal,,
Acacia rigida,dispersal,,
Acacia neriifolia,dispersal,,
Acacia nematophylla,dispersal,,
Acacia moirii,dispersal,,
Acacia mitodes,dispersal,,
Acacia mitchellii,dispersal,,
Acacia minyura,dispersal,,
Acacia minutifolia,dispersal,,
Acacia manipularis,dispersal,,
Acacia kalgoorliensis,dispersal,,
Acacia juncifolia,dispersal,,
Acacia johannis,dispersal,,
Acacia jibberdingensis,dispersal,,
Acacia genistifolia,dispersal,,
Acacia gemina,dispersal,,
Acacia gelasina,dispersal,,
Acacia frigescens,dispersal,,
Acacia enervia,dispersal,,
Acacia empelioclada,dispersal,,
Acacia elsherana,dispersal,,
Acacia elongata,dispersal,,
Acacia elata,dispersal,,
Acacia echinula,dispersal,,
Acacia cana,dispersal,,
Acacia hammondii,dispersal,,
Acacia halliana,dispersal,,
Acacia pyrifolia,dispersal,,
Acacia acradenia,dispersal,,
Acacia acellerata,dispersal,,
Acacia acanthoclada,dispersal,,
Acacia abbreviata,dispersal,,
Acacia abrupta,dispersal,,
Acacia quadrilateralis,dispersal,,
Acacia perangusta,dispersal,,
Acacia oxycedrus,dispersal,,
Acacia williamsonii,dispersal,,
Acacia willdenowiana,dispersal,,
Acacia wilcoxii,dispersal,,
Acacia wilhelmiana,dispersal,,
Acacia wattsiana,dispersal,,
Acacia websteri,dispersal,,
Acacia whibleyana,dispersal,,
Acacia whitei,dispersal,,
Acacia wickhamii,dispersal,,
Acacia wardellii,dispersal,,
Acacia wanyu,dispersal,,
Acacia volubilis,dispersal,,
Acacia viscidula,dispersal,,
Acacia vestita,dispersal,,
Acacia verticillata,dispersal,,
Acacia verricula,dispersal,,
Acacia veronica,dispersal,,
Acacia verniciflua,dispersal,,
Acacia vassalii,dispersal,,
Acacia venulosa,dispersal,,
Acacia varia,dispersal,,
Acacia validinervia,dispersal,,
Acacia valida,dispersal,,
Acacia urophylla,dispersal,,
Acacia unifissilis,dispersal,,
Acacia undulifolia,dispersal,,
Acacia undosa,dispersal,,
Acacia undoolyana,dispersal,,
Acacia uncinella,dispersal,,
Acacia uncinata,dispersal,,
Acacia uliginosa,dispersal,,
Acacia ulicina,dispersal,,
Acacia ulicifolia,dispersal,,
Acacia tumida,dispersal,,
Acacia trulliformis,dispersal,,
Acacia truncata,dispersal,,
Acacia trigonophylla,dispersal,,
Acacia tetragonophylla,dispersal,,
Acacia tetragonocarpa,dispersal,,
Acacia teretifolia,dispersal,,
Acacia terminalis,dispersal,,
Acacia tephrina,dispersal,,
Acacia tenuissima,dispersal,,
Acacia tenuispica,dispersal,,
Acacia tenuior,dispersal,,
Acacia telmica,dispersal,,
Acacia tenuinervis,dispersal,,
Acacia tayloriana,dispersal,,
Acacia synoria,dispersal,,
Acacia tabula,dispersal,,
Acacia tarculensis,dispersal,,
Acacia sulcata,dispersal,,
Acacia subtilinervis,dispersal,,
Acacia subtessarogona,dispersal,,
Acacia subternata,dispersal,,
Acacia subsessilis,dispersal,,
Acacia subracemosa,dispersal,,
Acacia subrigida,dispersal,,
Acacia subporosa,dispersal,,
Acacia sublanata,dispersal,,
Acacia subflexuosa,dispersal,,
Acacia suberosa,dispersal,,
Acacia subcaerulea,dispersal,,
Acacia suaveolens,dispersal,,
Acacia strongylophylla,dispersal,,
Acacia striatifolia,dispersal,,
Acacia stenoptera,dispersal,,
Acacia siculiformis,dispersal,,
Acacia setulifera,dispersal,,
Acacia sessilis,dispersal,,
Acacia sertiformis,dispersal,,
Acacia sericocarpa,dispersal,,
Acacia imbricata,dispersal,,
Acacia hystrix,dispersal,,
Acacia semilunata,dispersal,,
Acacia semirigida,dispersal,,
Acacia semibinervia,dispersal,,
Acacia semicircinalis,dispersal,,
Acacia seclusa,dispersal,,
Acacia sclerophylla,dispersal,,
Acacia salicina,dispersal,,
Acacia saliciformis,dispersal,,
Acacia sabulosa,dispersal,,
Acacia ryaniana,dispersal,,
Acacia ruppii,dispersal,,
Acacia rupicola,dispersal,,
Acacia harpophylla,dispersal,,
Acacia harveyi,dispersal,,
Acacia handonis,dispersal,,
Acacia anthochaera,dispersal,,
Acacia anomala,dispersal,,
Acacia hamersleyensis,dispersal,,
Acacia rigescens,dispersal,,
Acacia rigens,dispersal,,
Acacia retinodes,dispersal,,
Acacia georginae,dispersal,,
Acacia pycnocephala,dispersal,,
Acacia pulviniformis,dispersal,,
Acacia ptychoclada,dispersal,,
Acacia pterocaulon,dispersal,,
Acacia porcata,dispersal,,
Acacia polystachya,dispersal,,
Acacia polyadenia,dispersal,,
Acacia poliochroa,dispersal,,
Acacia pilligaensis,dispersal,,
Acacia piligera,dispersal,,
Acacia phlebopetala,dispersal,,
Acacia phlebophylla,dispersal,,
Acacia pickardii,dispersal,,
Acacia pharangites,dispersal,,
Acacia phasmoides,dispersal,,
Acacia phlebocarpa,dispersal,,
Acacia phaeocalyx,dispersal,,
Acacia petraea,dispersal,,
Acacia peuce,dispersal,,
Acacia perryi,dispersal,,
Acacia pentadenia,dispersal,,
Acacia pellita,dispersal,,
Acacia pedleyi,dispersal,,
Acacia pedina,dispersal,,
Acacia elachantha,dispersal,,
Acacia effusa,dispersal,,
Acacia parvipinnula,dispersal,,
Acacia palustris,dispersal,,
Acacia pallidifolia,dispersal,,
Acacia pachypoda,dispersal,,
Acacia pachyphylla,dispersal,,
Acacia pachyphloia,dispersal,,
Acacia dolichophylla,dispersal,,
Acacia donaldsonii,dispersal,,
Acacia oswaldii,dispersal,,
Acacia oshanesii,dispersal,,
Acacia ommatosperma,dispersal,,
Acacia nodiflora,dispersal,,
Acacia neurophylla,dispersal,,
Acacia nervosa,dispersal,,
Acacia nanopravissima,dispersal,,
Acacia nanodealbata,dispersal,,
Acacia montana,dispersal,,
Acacia mollifolia,dispersal,,
Acacia mimula,dispersal,,
Acacia mimica,dispersal,,
Acacia midgleyi,dispersal,,
Acacia microneura,dispersal,,
Acacia microsperma,dispersal,,
Acacia microcephala,dispersal,,
Acacia microcarpa,dispersal,,
Acacia microcalyx,dispersal,,
Acacia melleodora,dispersal,,
Acacia meisneri,dispersal,,
Acacia melanoxylon,dispersal,,
Acacia mearnsii,dispersal,,
Acacia megacephala,dispersal,,
Acacia maxwellii,dispersal,,
Acacia matthewii,dispersal,,
Acacia masliniana,dispersal,,
Acacia marramamba,dispersal,,
Acacia maranoensis,dispersal,,
Acacia maidenii,dispersal,,
Acacia maconochieana,dispersal,,
Acacia mabellae,dispersal,,
Acacia lysiphloia,dispersal,,
Acacia luteola,dispersal,,
Acacia lunata,dispersal,,
Acacia lullfitziorum,dispersal,,
Acacia lucasii,dispersal,,
Acacia loxophylla,dispersal,,
Acacia loroloba,dispersal,,
Acacia longispinea,dispersal,,
Acacia longissima,dispersal,,
Acacia longispicata,dispersal,,
Acacia linarioides,dispersal,,
Acacia castanostegia,dispersal,,
Acacia leprosa,dispersal,,
Acacia lentiginea,dispersal,,
Acacia leiophylla,dispersal,,
Acacia leioderma,dispersal,,
Acacia leichhardtii,dispersal,,
Acacia legnota,dispersal,,
Acacia lauta,dispersal,,
Acacia lazaridis,dispersal,,
Acacia kettlewelliae,dispersal,,
Acacia kenneallyi,dispersal,,
Acacia kempeana,dispersal,,
Acacia kelleri,dispersal,,
Acacia blayana,dispersal,,
Acacia jucunda,dispersal,,
Acacia julifera,dispersal,,
Acacia jennerae,dispersal,,
Acacia jensenii,dispersal,,
Acacia jasperensis,dispersal,,
Acacia jamesiana,dispersal,,
Acacia jacksonioides,dispersal,,
Acacia incongesta,dispersal,,
Acacia incrassata,dispersal,,
Acacia incurva,dispersal,,
Acacia inceana,dispersal,,
Acacia inamabilis,dispersal,,
Acacia imparilis,dispersal,,
Acacia idiomorpha,dispersal,,
Acacia hylonoma,dispersal,,
Acacia aphanoclada,dispersal,,
Acacia dodonaeifolia,dispersal,,
Acacia anfractuosa,dispersal,,
Acacia guymeri,dispersal,,
Acacia granitica,dispersal,,
Acacia gonoclada,dispersal,,
Acacia gnidium,dispersal,,
Acacia glaucissima,dispersal,,
Acacia gilbertii,dispersal,,
Acacia pygmaea,dispersal,,
Acacia froggattii,dispersal,,
Acacia fragilis,dispersal,,
Acacia forrestiana,dispersal,,
Acacia formidabilis,dispersal,,
Acacia floribunda,dispersal,,
Acacia flocktoniae,dispersal,,
Acacia filicifolia,dispersal,,
Acacia ferocior,dispersal,,
Acacia faucium,dispersal,,
Acacia fauntleroyi,dispersal,,
Acacia fasciculifera,dispersal,,
Acacia farnesiana,dispersal,,
Acacia falciformis,dispersal,,
Acacia erioclada,dispersal,,
Acacia eremophila,dispersal,,
Acacia epacantha,dispersal,,
Acacia ensifolia,dispersal,,
Acacia enterocarpa,dispersal,,
Acacia pelophila,dispersal,,
Acacia pendula,dispersal,,
Acacia paula,dispersal,,
Acacia patagiata,dispersal,,
Acacia echinuliflora,dispersal,,
Acacia duriuscula,dispersal,,
Acacia durabilis,dispersal,,
Acacia dura,dispersal,,
Acacia dunnii,dispersal,,
Acacia drummondii,dispersal,,
Acacia drewiana,dispersal,,
Acacia drepanophylla,dispersal,,
Acacia drepanocarpa,dispersal,,
Acacia douglasica,dispersal,,
Acacia dorsenna,dispersal,,
Acacia dorothea,dispersal,,
Acacia doratoxylon,dispersal,,
Acacia oxyclada,dispersal,,
Acacia pachyacra,dispersal,,
Acacia dodonaeifolia x paradoxa,dispersal,,
Acacia divergens,dispersal,,
Acacia ditricha,dispersal,,
Acacia difformis,dispersal,,
Acacia difficilis,dispersal,,
Acacia dielsii,dispersal,,
Acacia dietrichiana,dispersal,,
Acacia obovata,dispersal,,
Acacia obliquinervia,dispersal,,
Acacia dentifera,dispersal,,
Acacia depressa,dispersal,,
Acacia daviesioides,dispersal,,
Acacia xanthina,dispersal,,
Acacia wilsonii,dispersal,,
Acacia wiseana,dispersal,,
Acacia x grayana,dispersal,,
Acacia williamsiana,dispersal,,
Acacia crassiuscula,dispersal,,
Acacia crassistipula,dispersal,,
Acacia crassicarpa,dispersal,,
Acacia crassa,dispersal,,
Acacia convallium,dispersal,,
Acacia constablei,dispersal,,
Acacia torticarpa,dispersal,,
Acacia leptophleba,dispersal,,
Acacia leptopetala,dispersal,,
Acacia carnosula,dispersal,,
Acacia cangaiensis,dispersal,,
Acacia caleyi,dispersal,,
Acacia burrowii,dispersal,,
Acacia burdekensis,dispersal,,
Acacia brassii,dispersal,,
Acacia brockii,dispersal,,
Acacia stenophylla,dispersal,,
Acacia stellaticeps,dispersal,,
Acacia blakei,dispersal,,
Acacia spongolitica,dispersal,,
Acacia spondylophylla,dispersal,,
Acacia bidwillii,dispersal,,
Acacia inaequilatera,dispersal,,
Acacia inaequiloba,dispersal,,
Acacia aureocrinita,dispersal,,
Acacia humifusa,dispersal,,
Acacia howittii,dispersal,,
Acacia hubbardiana,dispersal,,
Acacia huegelii,dispersal,,
Acacia parramattensis,dispersal,,
Acacia havilandiorum,dispersal,,
Acacia helicophylla,dispersal,,
Acacia hastulata,dispersal,,
Acacia aphylla,dispersal,,
Acacia applanata,dispersal,,
Acacia limbata,dispersal,,
Acacia angustissima,dispersal,,
Acacia hamiltoniana,dispersal,,
Acacia olgana,dispersal,,
Acacia quadrimarginea,dispersal,,
Acacia affin quadrimarginea,dispersal,,
Acacia affin resinosa,dispersal,,
Acacia pycnostachya,dispersal,,
Acacia affin rigens,dispersal,,
Acacia pycnantha,dispersal,,
Acacia pulchella,dispersal,,
Acacia acutata,dispersal,,
Acacia aculeiformis,dispersal,,
Acacia acuminata,dispersal,,
Acacia aculeatissima,dispersal,,
Acacia acuaria,dispersal,,
Acacia acrionastes,dispersal,,
Acacia prismifolia,dispersal,,
Acacia aciphylla,dispersal,,
Acacia acoma,dispersal,,
Acacia acinacea,dispersal,,
Acacia pravifolia,dispersal,,
Acacia acanthaster,dispersal,,
Acacia praemorsa,dispersal,,
Acacia praetermissa,dispersal,,
Acacia praelongata,dispersal,,
Acacia warramaba,dispersal,,
Acacia polybotrya,dispersal,,
Acacia muelleriana,dispersal,,
Acacia mackeyana,dispersal,,
Acacia leiocalyx,dispersal,,
Acacia imitans,dispersal,,
Acacia hemiteles,dispersal,,
Acacia zatrichota,dispersal,,
Acacia ericifolia,dispersal,,
Acacia maitlandii,dispersal,,
Acacia eremaea,dispersal,,
Acacia epedunculata,dispersal,,
Acacia ephedroides,dispersal,,
Acacia penninervis,dispersal,,
Acacia pennata subsp kerrii,dispersal,,
Acacia horridula,dispersal,,
Acacia hopperiana,dispersal,,
Acacia clandullensis,dispersal,,
Acacia clarksoniana,dispersal,,
Acacia pataczekii,dispersal,,
Acacia truculenta,dispersal,,
Acacia translucens,dispersal,,
Acacia paraneura,dispersal,,
Acacia pachycarpa,dispersal,,
Acacia oxycedrus x sophorae,dispersal,,
Acacia torulosa,dispersal,,
Acacia toondulya,dispersal,,
Acacia tolmerensis,dispersal,,
Acacia tindaleae,dispersal,,
Acacia orthotricha,dispersal,,
Acacia orthocarpa,dispersal,,
Acacia orbifolia,dispersal,,
Acacia orites,dispersal,,
Acacia oraria,dispersal,,
Acacia ophiolithica,dispersal,,
Acacia oncinophylla,dispersal,,
Acacia oncinocarpa,dispersal,,
Acacia dilatata,dispersal,,
Acacia omalophylla,dispersal,,
Acacia oligoneura,dispersal,,
Acacia olsenii,dispersal,,
Acacia oldfieldii,dispersal,,
Acacia capillaris,dispersal,,
Acacia obtecta,dispersal,,
Acacia deuteroneura,dispersal,,
Acacia diaphana,dispersal,,
Acacia obesa,dispersal,,
Acacia nyssophylla,dispersal,,
Acacia newmanii,dispersal,,
Acacia decora,dispersal,,
Acacia declinata,dispersal,,
Acacia multisiliqua,dispersal,,
Acacia xerophila,dispersal,,
Acacia xanthocarpa,dispersal,,
Acacia curranii,dispersal,,
Acacia cupularis,dispersal,,
Acacia cuneifolia,dispersal,,
Acacia cummingiana,dispersal,,
Acacia crombiei,dispersal,,
Acacia cultriformis,dispersal,,
Acacia crispula,dispersal,,
Acacia cretata,dispersal,,
Acacia cretacea,dispersal,,
Acacia crenulata,dispersal,,
Acacia cremiflora,dispersal,,
Acacia crassuloides,dispersal,,
Acacia sorophylla,dispersal,,
Acacia spania,dispersal,,
Acacia microbotrya,dispersal,,
Acacia merrickiae,dispersal,,
Acacia merrallii,dispersal,,
Acacia viscifolia,dispersal,,
Acacia vittata,dispersal,,
Acacia melvillei,dispersal,,
Acacia vincentii,dispersal,,
Acacia victoriae,dispersal,,
Acacia meiosperma,dispersal,,
Acacia meiantha,dispersal,,
Acacia megalantha,dispersal,,
Acacia sibina,dispersal,,
Acacia conspersa,dispersal,,
Acacia improcera,dispersal,,
Acacia conniana,dispersal,,
Acacia mangium,dispersal,,
Acacia malloclada,dispersal,,
Acacia aulacocarpa,dispersal,,
Acacia macradenia,dispersal,,
Acacia uncifera,dispersal,,
Acacia macdonnelliensis,dispersal,,
Acacia asperulacea,dispersal,,
Acacia gracillima,dispersal,,
Acacia retinervis,dispersal,,
Acacia armitii,dispersal,,
Acacia scleroclada,dispersal,,
Acacia scirpifolia,dispersal,,
Acacia sciophanes,dispersal,,
Acacia tuberculata,dispersal,,
Acacia scalpelliformis,dispersal,,
Acacia saxicola,dispersal,,
Acacia tratmaniana,dispersal,,
Acacia longiphyllodinea,dispersal,,
Acacia trinalis,dispersal,,
Acacia trinervata,dispersal,,
Acacia trineura,dispersal,,
Acacia triptera,dispersal,,
Acacia triptycha,dispersal,,
Acacia triquetra,dispersal,,
Acacia tropica,dispersal,,
Acacia trachyphloia,dispersal,,
Acacia trachycarpa,dispersal,,
Acacia aprepta,dispersal,,
Acacia linearifolia,dispersal,,
Acacia kydrensis,dispersal,,
Acacia centrinervia,dispersal,,
Acacia ligustrina,dispersal,,
Acacia tingoorensis,dispersal,,
Acacia tetraptera,dispersal,,
Acacia thomsonii,dispersal,,
Acacia tetraneura,dispersal,,
Acacia leptospermoides,dispersal,,
Acacia leptoloba,dispersal,,
Acacia leptoneura,dispersal,,
Acacia leptoclada,dispersal,,
Acacia leptalea,dispersal,,
Acacia leptocarpa,dispersal,,
Acacia retrorsa,dispersal,,
Acacia rhamphophylla,dispersal,,
Acacia spirorbis,dispersal,,
Acacia spinosissima,dispersal,,
Acacia restiacea,dispersal,,
Acacia resinosa,dispersal,,
Acacia resinistipulea,dispersal,,
Acacia synchronicia,dispersal,,
Acacia symonii,dispersal,,
Acacia sutherlandii,dispersal,,
Acacia subulata,dispersal,,
Acacia lateriticola,dispersal,,
Acacia latescens,dispersal,,
Acacia lasiocarpa,dispersal,,
Acacia lasiocalyx,dispersal,,
Acacia laricina,dispersal,,
Acacia lanuginophylla,dispersal,,
Acacia lanigera,dispersal,,
Acacia lanei,dispersal,,
Acacia lanceolata,dispersal,,
Acacia lamprocarpa,dispersal,,
Acacia lachnophylla,dispersal,,
Acacia lacertensis,dispersal,,
Acacia laccata,dispersal,,
Acacia shuttleworthii,dispersal,,
Acacia kybeanensis,dispersal,,
Acacia stricta,dispersal,,
Acacia stowardii,dispersal,,
Acacia storyi,dispersal,,
Acacia stipulosa,dispersal,,
Acacia stipuligera,dispersal,,
Acacia stigmatophylla,dispersal,,
Acacia stereophylla,dispersal,,
Acacia ptychophylla,dispersal,,
Acacia steedmanii,dispersal,,
Acacia squamata,dispersal,,
Acacia stanleyi,dispersal,,
Acacia startii,dispersal,,
Acacia johnsonii,dispersal,,
Acacia binervia,dispersal,,
Acacia dictyoneura,dispersal,,
Acacia spinescens,dispersal,,
Acacia sphenophylla,dispersal,,
Acacia spilleriana,dispersal,,
Acacia sphacelata,dispersal,,
Acacia sphaerostachya,dispersal,,
Acacia speckii,dispersal,,
Acacia spectabilis,dispersal,,
Acacia spathulifolia,dispersal,,
Acacia iteaphylla,dispersal,,
Acacia isoneura,dispersal,,
Acacia solenota,dispersal,,
Acacia smeringa,dispersal,,
Acacia singula,dispersal,,
Acacia simulans,dispersal,,
Acacia simsii,dispersal,,
Acacia silvestris,dispersal,,
Acacia simmonsiana,dispersal,,
Acacia signata,dispersal,,
Acacia shirleyi,dispersal,,
Acacia sibilans,dispersal,,
Acacia pinguiculosa,dispersal,,
Acacia incanicarpa,dispersal,,
Acacia auripila,dispersal,,
Acacia auriculiformis,dispersal,,
Acacia implexa,dispersal,,
Acacia erinacea,dispersal,,
Acacia ericksoniae,dispersal,,
Acacia attenuata,dispersal,,
Acacia atrox,dispersal,,
Acacia hypermeces,dispersal,,
Acacia hyaloneura,dispersal,,
Acacia ataxiphylla,dispersal,,
Acacia grandifolia,dispersal,,
Acacia prominens,dispersal,,
Acacia obtusata,dispersal,,
Acacia obtusifolia,dispersal,,
Acacia holotricha,dispersal,,
Acacia homaloclada,dispersal,,
Acacia schinoides,dispersal,,
Acacia scabra,dispersal,,
Acacia scalena,dispersal,,
Acacia saxatilis,dispersal,,
Acacia saligna,dispersal,,
Acacia heterochroa,dispersal,,
Acacia hendersonii,dispersal,,
Acacia hemsleyi,dispersal,,
Acacia hemignosta,dispersal,,
Acacia helmsiana,dispersal,,
Acacia lineata,dispersal,,
Acacia affin retinervis,dispersal,,
Acacia decurrens,dispersal,,
Acacia chalkeri,dispersal,,
Acacia pusilla,dispersal,,
Acacia levata,dispersal,,
Acacia ligulata,dispersal,,
Acacia angusta,dispersal,,
Acacia hakeoides,dispersal,,
Acacia hadrophylla,dispersal,,
Acacia aneura,dispersal,,
Acacia ridleyana,dispersal,,
Acacia riceana,dispersal,,
Acacia richardsii,dispersal,,
Acacia rhodoxylon,dispersal,,
Acacia rhodophloia,dispersal,,
Acacia rhetinocarpa,dispersal,,
Acacia rhigiophylla,dispersal,,
Acacia graniticola,dispersal,,
Acacia proiantha,dispersal,,
Acacia profusa,dispersal,,
Acacia producta,dispersal,,
Acacia octonervia,dispersal,,
Acacia gonophylla,dispersal,,
Acacia resinimarginea,dispersal,,
Acacia repens,dispersal,,
Acacia resinicostata,dispersal,,
Acacia rendlei,dispersal,,
Acacia repanda,dispersal,,
Acacia recurvata,dispersal,,
Acacia redolens,dispersal,,
Acacia ramiflora,dispersal,,
Acacia ramulosa,dispersal,,
Acacia racospermoides,dispersal,,
Acacia quornensis,dispersal,,
Acacia quinquenervia,dispersal,,
Acacia quadrisulcata,dispersal,,
Acacia alata,dispersal,,
Acacia deflexa,dispersal,,
Acacia nesophila,dispersal,,
Acacia platycarpa,dispersal,,
Acacia plautella,dispersal,,
Acacia affin papyrocarpa,dispersal,,
Acacia pustula,dispersal,,
Acacia purpureopetala,dispersal,,
Acacia puncticulata,dispersal,,
Acacia fulva,dispersal,,
Acacia affin ancistrophylla,dispersal,,
Acacia pubirhachis,dispersal,,
Acacia pubifolia,dispersal,,
Acacia pubicosta,dispersal,,
Acacia dacrydioides,dispersal,,
Acacia pubescens,dispersal,,
Acacia fodinalis,dispersal,,
Acacia adinophylla,dispersal,,
Acacia pruinocarpa,dispersal,,
Acacia pruinosa,dispersal,,
Acacia macnuttiana,dispersal,,
Acacia anasilla,dispersal,,
Acacia gracilifolia,dispersal,,
Acacia amyctica,dispersal,,
Acacia flabellifolia,dispersal,,
Acacia pritzeliana,dispersal,,
Acacia preissiana,dispersal,,
Acacia pravissima,dispersal,,
Acacia filamentosa,dispersal,,
Acacia prainii,dispersal,,
Acacia ixiophylla,dispersal,,
Acacia beadleana,dispersal,,
Acacia islana,dispersal,,
Acacia irrorata,dispersal,,
Acacia sparsiflora,dispersal,,
Acacia farinosa,dispersal,,
Acacia falcata,dispersal,,
Acacia polifolia,dispersal,,
Acacia plicata,dispersal,,
Acacia podalyriifolia,dispersal,,
Acacia plectocarpa,dispersal,,
Acacia neurocarpa,dispersal,,
Acacia pinguifolia,dispersal,,
Acacia euthycarpa,dispersal,,
Acacia euthyphylla,dispersal,,
Acacia errabunda,dispersal,,
Acacia estrophiolata,dispersal,,
Acacia eriopoda,dispersal,,
Acacia auratiflora,dispersal,,
Acacia xiphophylla,dispersal,,
Acacia eremophiloides,dispersal,,
Acacia yorkrakinensis,dispersal,,
Acacia concurrens,dispersal,,
Acacia atopa,dispersal,,
Acacia curvata,dispersal,,
Acacia fleckeri,dispersal,,
Acacia gordonii,dispersal,,
Acacia gracilenta,dispersal,,
Acacia diaphyllodinea,dispersal,,
Acacia holosericea,dispersal,,
Acacia hockingsii,dispersal,,
Acacia hispidula,dispersal,,
Acacia paradoxa,dispersal,,
Acacia papyrocarpa,dispersal,,
Acacia papulosa,dispersal,,
Acacia lobulata,dispersal,,
Acacia loderi,dispersal,,
Acacia littorea,dispersal,,
Acacia lirellata,dispersal,,
Acacia linifolia,dispersal,,
Acacia lineolata,dispersal,,
Acacia brumalis,dispersal,,
