species,seed_mass
Acacia caerulescens,37.86
Acacia caesariata,1.9659
Acacia caesiella,19.2368
Acacia calamifolia,27
Acacia calcicola,45
Acacia calyculata,15.7764
Acacia cambagei,32.23
Acacia campylophylla,6.3788
Acacia cana,21.3284
Acacia cangaiensis,18.386
Acacia cardiophylla,15.1
Acacia carens,30.86856
Acacia caroleae,8.42
Acacia cedroides,9.5488
Acacia celastrifolia,13.0888
Acacia cerastes,5.5128
Acacia chalkeri,9.574
Acacia chapmanii,3.0872
Acacia chapmanii,3.08052
Acacia cheelii,15.988
Acacia chinchillensis,14.8036
Acacia chisholmii,15.9236
Acacia chrysotricha,16.6076
Acacia cincinnata,11.61
Acacia citrinoviridis,36.534
Acacia clandullensis,32.8672
Acacia clydonophora,22.91348
Acacia cochlearis,7.1596
Acacia cochlocarpa,4.1641
Acacia cochlocarpa,3.185
Acacia cognata,8.116
Acacia colei,11.648
Acacia colei,12.549
Acacia colletioides,6.0515
Acacia complanata,42.9
Acacia concurrens,8.68
Acacia conferta,12.6
Acacia congesta,22.9892
Acacia congesta,8.43508
Acacia constablei,14.6044
Acacia continua,6.59
Acacia coolgardiensis,2.57
Acacia coriacea,70.78
Acacia coriacea,60.8448
Acacia costiniana,12.4608
Acacia courtii,18.984
Acacia covenyi,13.3172
Acacia cowaniana,9.106
Acacia cowleana,11.3
Acacia craspedocarpa,64.3
Acacia crassa,9.0352
Acacia crassicarpa,25.97
Acacia crassiuscula,4.496
Acacia cremiflora,25.1108
Acacia crenulata,5.1408
Acacia cretacea,32.1832
Acacia cretata,12.7304
Acacia cultriformis,12.8
Acacia cuneifolia,18.99728
Acacia cupularis,16.2273
Acacia curranii,3.99
Acacia cuthbertsonii,96.558
Acacia cuthbertsonii,169.123
Acacia cyclops,30.3
Acacia cyperophylla,11.9
Acacia cyperophylla,45.114
Acacia dacrydioides,15.8968
Acacia dallachiana,15.3732
Acacia dangarensis,13.3718
Acacia dawsonii,4.6
Acacia dealbata,12.5416
Acacia dealbata,12.2
Acacia deanei,22.5
Acacia deanei,15.9756
Acacia debilis,18.3
Acacia declinata,2.1964
Acacia decora,12.1
Acacia decurrens,30.1
Acacia decurrens,11.26
Acacia deficiens,8.5324
Acacia deflexa,1.526
Acacia deltoidea,15.0832
Acacia depressa,11.725
Acacia desmondii,8.686
Acacia dictyoneura,8.4096
Acacia dictyophleba,17.5132
Acacia difficilis,24.31
Acacia difformis,46.9
Acacia dimidiata,40.14576
Acacia disparrima,19.8584
Acacia disparrima,13.9512
Acacia disticha,7.2296
Acacia dodonaeifolia,20.3956
Acacia doratoxylon,12.1
Acacia dorsenna,10.95828
Acacia drepanocarpa,12.5188
Acacia drepanophylla,23.9012
Acacia drummondii,10.3566
Acacia drummondii,22.5
Acacia drummondii,3.1
Acacia dunnii,203.3824
Acacia durabilis,13.9112
Acacia duriuscula,2.556
Acacia echinula,13.1596
Acacia effusa,26.3704
Acacia elachantha,9.592
Acacia elata,33.8
Acacia elongata,7.116
Acacia elongata,9.3
Acacia empelioclada,4.5252
Acacia enterocarpa,5.538
Acacia ephedroides,5.9908
Acacia eremophila,3.0744
Acacia erinacea,5.4748
Acacia eriopoda,6.5212
Acacia errabunda,9.8576
Acacia estrophiolata,37.626
Acacia euthycarpa,18.9004
Acacia euthyphylla,4.6015625
Acacia excelsa,11.4019718
Acacia excelsa,27.5
Acacia excelsa,18.510366
Acacia extensa,11.6
Acacia exudans,22.334
Acacia falcata,13.6
Acacia falciformis,42.8
Acacia farinosa,8.6528
Acacia filicifolia,13.8
Acacia filifolia,3.5503
Acacia fimbriata,17
Acacia flabellifolia,8.57528
Acacia flavescens,30.31
Acacia flavipila,3.7184
Acacia flexifolia,6.055
Acacia flocktoniae,7.42
Acacia floribunda,8
Acacia floydii,30.2448
Acacia fragilis,2.7648
Acacia frigescens,14.7036
Acacia fulva,13.518
Acacia galeata,71.206
Acacia galioides,11.4390863
Acacia galioides,9.7468
Acacia gemina,1.6964
Acacia genistifolia,18.2623
Acacia georginae,63.134
Acacia gillii,17.7576
Acacia gittinsii,8.9564
Acacia gladiiformis,25.9144
Acacia glandulicarpa,9.18
Acacia glaucissima,3.8356
Acacia glaucocarpa,20.2
Acacia glaucoptera,3.9158
Acacia gnidium,6.85
Acacia gonocarpa,7.8328
Acacia gonoclada,4.843
Acacia gonophylla,7.6918
Acacia gordonii,13.4996
Acacia gracilifolia,21.6132
Acacia gracillima,19.53
Acacia granitica,10.316
Acacia grasbyi,41.5848
Acacia grisea,3.707
Acacia gunnii,9.67
Acacia hakeoides,22.7
Acacia hamersleyensis,16.112
Acacia hamiltoniana,15.734
Acacia hammondii,6.2772
Acacia harpophylla,50.42
Acacia harveyi,12.02
Acacia havilandiorum,5.9
Acacia helicophylla,31.2148
Acacia hemignosta,40.2544
Acacia hemiteles,22.1
Acacia hemsleyi,16.7584
Acacia heterochroa,8.4612
Acacia heteroclita,8.59
Acacia heteroclita,5.6944
Acacia hexaneura,5.9716
Acacia hilliana,6.0658
Acacia hispidula,47.54
Acacia holosericea,7.52
Acacia horridula,26.6132
Acacia howittii,5.52
Acacia hubbardiana,9.1276
Acacia humifusa,26.608
Acacia hyaloneura,5.2196
Acacia imbricata,9.818
Acacia imitans,3.0982277
Acacia implexa,18.6
Acacia inaequilatera,41.9844
Acacia incanicarpa,9.0824
Acacia inceana,11.4648
Acacia ingramii,20.4248
Acacia insolita,11.1176
Acacia irrorata,7.7916
Acacia iteaphylla,27.7
Acacia ixiophylla,6.5
Acacia jennerae,84.433
Acacia jibberdingensis,21.7352
Acacia johnsonii,5.85
Acacia jonesii,13.754
Acacia jucunda,15.4604
Acacia julifera,26.3656
Acacia juncifolia,7.4552
Acacia juncifolia,9.6
Acacia kempeana,14.779
Acacia kettlewelliae,16.71
Acacia kybeanensis,15.1
Acacia kydrensis,15.2204
Acacia lachnophylla,1.9292
Acacia lanigera,15.428
Acacia lanigera,10.2
Acacia lanuginophylla,4.299
Acacia lasiocalyx,24.9
Acacia lasiocarpa,3.1176
Acacia lasiocarpa,5.02
Acacia lasiocarpa,4.0003
Acacia lateriticola,5.5
Acacia latescens,92.1176
Acacia latipes,4.5104
Acacia latisepala,66.2276
Acacia latzii,12.644
Acacia legnota,36.3348
Acacia leiocalyx,10.7152
Acacia leiocalyx,3.957
Acacia leiophylla,11.649
Acacia leprosa,6.9
Acacia leprosa,7.6983871
Acacia leptocarpa,10.32
Acacia leptoclada,13.37
Acacia leptoloba,30.72
Acacia leptospermoides,1.362
Acacia leptostachya,3.9776
Acacia leucoclada,17.2184
Acacia leucolobia,25.7648
Acacia ligulata,27.6
Acacia ligustrina,3.8276
Acacia limbata,8.0275382
Acacia linearifolia,21.97
Acacia lineata,10.79724
Acacia lineolata,2.717
Acacia linifolia,23.9
Acacia lirellata,2.79636
Acacia littorea,3.576
Acacia loderi,11.0398
Acacia longifolia,16.81
Acacia longifolia,23.98
Acacia longifolia,14.9
Acacia longispicata,12.5152
Acacia longispinea,5.0056
Acacia longissima,11.8
Acacia lucasii,13.2832
Acacia lunata,17.5184
Acacia lysiphloia,17.51
Acacia mabellae,15.76
Acacia macdonnellensis,5.37
Acacia macnuttiana,26.27
Acacia maconochieana,22.3436
Acacia macradenia,12.4052
Acacia maidenii,13.1
Acacia maitlandii,9.834
Acacia mangium,14
Acacia matthewii,10.8672
Acacia mearnsii,13.2
Acacia megacephala,22.642
Acacia meiantha,5.6224
Acacia meiosperma,6.6792
Acacia meisneri,42.02
Acacia melanoxylon,14
Acacia melleodora,8.438
Acacia melvillei,10.1678378
Acacia menzelii,7.8704
Acacia merinthophora,2.7756
Acacia merrallii,0.57544
Acacia merrickiae,17.574
Acacia microbotrya,28.678
Acacia microcarpa,6.1
Acacia midgleyi,21.0304
Acacia minutifolia,6.924
Acacia mitchellii,15.925
Acacia mollifolia,20.29
Acacia montana,10.4
Acacia monticola,31.0184
Acacia mucronata,11.198
Acacia mucronata,7.58
Acacia mucronata,4.7
Acacia muelleriana,14.9672
Acacia multisiliqua,13.5512
Acacia multispicata,6.19
Acacia murrayana,33.7
Acacia mutabilis,7.07
Acacia myrtifolia,9.5
Acacia nanodealbata,11.182
Acacia nematophylla,17.66068
Acacia neriifolia,27.4
Acacia nervosa,16.9944
Acacia nesophila,11.7408
Acacia neurocarpa,10.636
Acacia neurophylla,3.3576
Acacia neurophylla,4.3968
Acacia nigricans,5.136
Acacia nigripilosa,13.5648
Acacia nodiflora,21.5536
Acacia notabilis,15.748
Acacia nyssophylla,12.638
Acacia obliquinervia,26.3
Acacia obtusata,18.5
Acacia obtusifolia,21.224
Acacia olgana,9.6832
Acacia olsenii,35.9084
Acacia oncinocarpa,17.29
Acacia oncinophylla,5.854
Acacia ophiolithica,1.8476
Acacia oraria,28.06
Acacia orites,8.2408
Acacia oswaldii,79.4
Acacia oxycedrus,28.8
Acacia pachyacra,34.72
Acacia pachycarpa,140.19
Acacia papulosa,4.9128
Acacia papyrocarpa,13.616
Acacia paradoxa,14
Acacia parramattensis,9.3888
Acacia parvipinnula,11.8948
Acacia pedina,14.4016
Acacia pellita,10.72124
Acacia pendula,21.3
Acacia pennata,54.32
Acacia penninervis,44.2
Acacia penninervis,67.27
Acacia petraea,6.0784
Acacia phaeocalyx,25.21
Acacia pharangites,11.0372093
Acacia phasmoides,14.7396
Acacia phlebocarpa,16.4236
Acacia phlebopetala,6.9396
Acacia phlebophylla,20.5128
Acacia piligera,32.252
Acacia pilligaensis,9.0408
Acacia pinguiculosa,2.2824
Acacia pinguifolia,11.4024
Acacia platycarpa,219.7796
Acacia plectocarpa,22
Acacia plectocarpa,11.8412
Acacia plicata,7.884
Acacia podalyriifolia,32
Acacia polybotrya,23.4
Acacia polystachya,17.0164
Acacia prainii,41.09
Acacia pravifolia,11.864
Acacia pravissima,8.4
Acacia profusa,8.25008
Acacia prominens,15.5
Acacia provincialis,12.083
Acacia pruinocarpa,33.06
Acacia pruinosa,27.1
Acacia ptychoclada,12.3944
Acacia pubescens,8.615
Acacia pubifolia,9.9824
Acacia pulchella,9.2
Acacia pulchella,5.1
Acacia pusilla,2.7584
Acacia pustula,17.978
Acacia pycnantha,18.2
Acacia pycnostachya,13.7576
Acacia pyrifolia,50.604
Acacia pyrifolia,34.6268
Acacia quadrilateralis,10.639
Acacia quornensis,17.4
Acacia racospermoides,54.024
Acacia ramulosa,68.0252
Acacia ramulosa,87.4052
Acacia ramulosa,69.636
Acacia recurvata,4.62
Acacia redolens,6.1192
Acacia repanda,5.7052
Acacia resinimarginea,2.862
Acacia restiacea,5.8514
Acacia retinodes,21.28
Acacia retinodes,9.3592
Acacia retivenea,38.688
Acacia retivenea,36.3172
Acacia rhamphophylla,3.028
Acacia rhetinocarpa,8.8144
Acacia rhigiophylla,4.268
Acacia rhodophloia,3.196
Acacia riceana,10.96
Acacia rigens,37.17
Acacia rossei,35.93
Acacia rostellifera,18.3424
Acacia rostriformis,7.5815
Acacia rothii,219.488
Acacia rubida,14.21
Acacia rupicola,20.4844
Acacia ruppii,19.8104
Acacia saliciformis,23.2748
Acacia salicina,47.8
Acacia saligna,11.551
Acacia saligna,16.9
Acacia schinoides,17.4
Acacia sciophanes,4.5564
Acacia scirpifolia,23.1328
Acacia sclerophylla,1.9368421
Acacia sclerophylla,3.9
Acacia sclerosperma,134.2248
Acacia sclerosperma,352.3068
Acacia sedifolia,10.6424
Acacia semilunata,10.4512
Acacia semirigida,28
Acacia sertiformis,43.1644
Acacia shirleyi,11.95
Acacia sibilans,170.5812
Acacia sibirica,12.1419
Acacia siculiformis,8
Acacia silvestris,21.58
Acacia simmonsiana,5.6215
Acacia simsii,48.78
Acacia sparsiflora,6.0948
Acacia spectabilis,24.5
Acacia spilleriana,27.0172
Acacia spinescens,5.602
Acacia splendens,26.436
Acacia spondylophylla,16.842
Acacia spooneri,18.2156
Acacia sporadica,17.616
Acacia squamata,8.788
Acacia stanleyi,11.4608
Acacia startii,23.316
Acacia steedmanii,9.76276
Acacia steedmanii,23.392
Acacia stellaticeps,13.414
Acacia stenophylla,98.49
Acacia stenoptera,38.0764
Acacia stereophylla,3.1924
Acacia stereophylla,3.1316
Acacia stipuligera,10.2418
Acacia storyi,17.0604
Acacia stricta,5.7
Acacia strongylophylla,18.1512
Acacia suaveolens,29.7
Acacia subcaerulea,34.9348
Acacia subflexuosa,2.063
Acacia subporosa,9.5064
Acacia subracemosa,3.9156
Acacia subtilinervis,7.9452
Acacia subulata,23.09
Acacia sulcata,2.65044
Acacia sulcata,2.3092
Acacia synchronicia,15.557
Acacia tarculensis,89.2964
Acacia telmica,24.53
Acacia tenuissima,6.848
Acacia terminalis,22.2928
Acacia terminalis,32.3
Acacia tetragonophylla,13.5
Acacia tetraneura,4.3332
Acacia thomsonii,6.202
Acacia toondulya,18.8388
Acacia torulosa,56.041
Acacia trachycarpa,37.21
Acacia trachyphloia,9.29
Acacia translucens,12.7978
Acacia tratmaniana,3.0936
Acacia trinervata,14.724
Acacia trineura,6.9
Acacia triptera,5.371
Acacia triquetra,5.4932
Acacia tropica,8.6468
Acacia trulliformis,7.70556
Acacia truncata,5.264
Acacia tuberculata,3.4822667
Acacia tumida,26.3584
Acacia tumida,50.5
Acacia tumida,42.6904
Acacia ulicifolia,12.2
Acacia ulicina,5.0904
Acacia umbellata,6.524
Acacia uncinata,43.3
Acacia undoolyana,7.2252
Acacia undosa,2.4104
Acacia undulifolia,30.27
Acacia undulifolia,37.45
Acacia unguicula,2.13
Acacia urophylla,6.3414
Acacia validinervia,29.6
Acacia varia,4.1664
Acacia venulosa,11.6
Acacia verniciflua,11.7
Acacia veronica,25.8586
Acacia verticillata,11.4948
Acacia verticillata,8.8568
Acacia vestita,25.8
Acacia victoriae,35.5438
Acacia victoriae,36.5
Acacia viscidula,6.3
Acacia vittata,11.9092
Acacia volubilis,25.9761
Acacia wattsiana,14.27
Acacia whibleyana,6.0896
Acacia wickhamii,4.492
Acacia wilhelmiana,5.904
Acacia williamsiana,12.3756
Acacia williamsonii,8.6352
Acacia xiphophylla,71.2376
Acacia yorkrakinensis,15.2108
Acaena echinata,8.69
Acaena montana,0.9012
Acaena ovina,10.3348
Acaena pallida,2.321
Acalypha lanceolata,0.5944
Acanthocladium dockeri,0.3856
Aceratium sericoleopsis,930
Achnophora tatei,0.253
Achyranthes aspera,3.5236
Achyranthes aspera,3.124
Achyranthes aspera,4.07
Aciphylla glacialis,5.899
Aciphylla simplicifolia,5.006
Acomis acoma,0.486
Acrachne racemosa,0.1962
Acronychia crassipetala,4
Acronychia laevis,12.953
Acronychia parviflora,2
Acronychia vestita,660
Acrotriche affinis,12.354
Acrotriche aggregata,33.376
Acrotriche cordata,6.9992
Acrotriche depressa,12.7988
Acrotriche divaricata,7.49
Acrotriche fasciculiflora,0.7556
Acrotriche leucocarpa,6.9268
Acrotriche patula,13.3876
Actinobole uliginosum,0.0596
Actinotus forsythii,0.4188
Actinotus gibbonsii,0.4056
Actinotus helianthi,2.0072
Actinotus leucocephalus,0.702
Actinotus minor,0.727
Actinotus rhomboideus,1.4364
Actinotus schwarzii,1.8771429
Actinotus suffocatus,0.3556
Actinotus whicheranus,2.3386667
Adansonia gregorii,506.536
Adenanthera abrosperma,114.174
Adenanthera pavonina,222
Adenostemma lavenia,0.73848
Adenostemma lavenia,1.052
Adriana quadripartita,21.9216
Aegiceras corniculatum,510
Agastachys odorata,1.2444
Agathis robusta,43.9
Aglaia elaeagnoidea,454.55
Aglaia sapindina,246
Aglaia tomentosa,298
Agonis baxteri,0.7216
Agonis flexuosa,0.3956
Agonis flexuosa,119.07
Agonis theiformis,0.6564
Agrostis australiensis,0.07
Agrostis muelleriana,0.0936
Agrostis parviflora,0.0708
Agrostis propinqua,0.088
Agrostis venusta,0.144
Agrostocrinum scabrum,1.7172
Ajuga australis,3.733
Ajuga sinuata,1.7772
Albizia canescens,160.8156
Albizia lebbeck,123
Albizia procera,36
Alchornea ilicifolia,19.5
Alectryon connatus,26.23
Alectryon oleifolius,50.762
Alectryon oleifolius,65.522
Alectryon semicinereus,48.16
Alectryon subcinereus,104.9606061
Alectryon tomentosus,33.89
Allocasuarina acutivalvis,2.6792
Allocasuarina acutivalvis,2.3176
Allocasuarina brachystachya,0.6676
Allocasuarina campestris,1.48
Allocasuarina corniculata,1.2512
Allocasuarina crassa,4.1146
Allocasuarina decaisneana,14.07
Allocasuarina decussata,4.1115
Allocasuarina defungens,1.7272
Allocasuarina dielsiana,2.471
Allocasuarina diminuta,1.2168
Allocasuarina diminuta,0.7996
Allocasuarina distyla,2.62
Allocasuarina duncanii,2.928
Allocasuarina emuina,2.6008
Allocasuarina eriochlamys,2.3528
Allocasuarina fibrosa,4.628
Allocasuarina fraseriana,4.41
Allocasuarina glareicola,0.9552
Allocasuarina globosa,1.692
Allocasuarina grampiana,2.0308
Allocasuarina grevilleoides,8.17
Allocasuarina gymnanthera,0.7612
Allocasuarina helmsii,1.7588
Allocasuarina huegeliana,2.16
Allocasuarina humilis,2.7
Allocasuarina hystricosa,1.5292
Allocasuarina inophloia,2.1875
Allocasuarina littoralis,2.26
Allocasuarina luehmannii,1.622
Allocasuarina mackliniana,3.9516
Allocasuarina mackliniana,2.1804
Allocasuarina media,2.4312
Allocasuarina microstachya,3.6
Allocasuarina misera,1.7368
Allocasuarina monilifera,2.49
Allocasuarina nana,1.2308
Allocasuarina ophiolitica,1.2308
Allocasuarina paludosa,1.022
Allocasuarina paradoxa,2.6084
Allocasuarina pinaster,9.2052
Allocasuarina portuensis,1.17
Allocasuarina pusilla,1.6748
Allocasuarina ramosissima,2.5844
Allocasuarina rigida,1.2812
Allocasuarina robusta,1.7856
Allocasuarina rupicola,0.7648
Allocasuarina simulans,1.8572
Allocasuarina spinosissima,1.4444
Allocasuarina striata,2.2172
Allocasuarina tessellata,2.05956
Allocasuarina thalassoscopica,2.4012
Allocasuarina thuyoides,1.1708
Allocasuarina tortiramula,1.3856
Allocasuarina torulosa,3.5428
Allocasuarina trichodon,2.8932
Allocasuarina verticillata,4.19
Allocasuarina zephyrea,1.4832
Allophylus cobbe,63.31
Allopterigeron filifolius,3.7496
Alloteropsis cimicina,0.6272
Alloteropsis semialata,1.585
Alloteropsis semialata,0.9908
Alocasia brisbanensis,10
Alphitonia excelsa,22.0593
Alphitonia petriei,8.389
Alphitonia pomaderroides,40.3524
Alphitonia whitei,96
Alpinia arundelliana,18.4193694
Alpinia caerulea,15.9872
Alpinia modesta,15
Alstonia constricta,1.488
Alstonia muelleriana,2.9
Alstonia scholaris,5.6
Alstonia spectabilis,2.5
Alternanthera angustifolia,0.449
Alternanthera denticulata,0.2238
Alternanthera nana,0.5
Alternanthera nodiflora,0.2729
Alyogyne hakeifolia,3.7396
Alyogyne huegelii,6.07
Alyogyne pinoniana,2.45
Alyxia buxifolia,69.7072
Alyxia magnifolia,153.876
Alyxia ruscifolia,163.774
Alyxia ruscifolia,43
Amaranthus centralis,0.5512
Amaranthus cochleitepalus,0.232
Amaranthus cuspidifolius,0.4232
Amaranthus interruptus,0.2804
Amaranthus macrocarpus,0.2656
Amaranthus mitchellii,1.795
Amaranthus undulatus,0.2722
Ammannia baccifera,0.03
Ammannia multiflora,0.0118
Ammobium alatum,0.7
Ammobium alatum,0.4
Ammobium craspedioides,0.6744
Amphipogon caricinus,0.574
Amphipogon caricinus,1.576
Amphipogon sericeus,0.7748
Amyema congener,20.31
Amyema linophylla,7.124
Amyema miquelii,28.47
Anarthria laevis,2.4392
Andersonia annelsii,0.01504
Andersonia auriculata,0.1412
Andersonia bifida,0.0276
Andersonia caerulea,0.11
Andersonia echinocephala,0.1648
Andersonia gracilis,0.0401
Andersonia grandiflora,0.0812
Andersonia hammersleyana,0.111
Andersonia lehmanniana,0.16
Andersonia pinaster,0.104
Andersonia redolens,0.1088
Andersonia sprengelioides,0.0616
Aneilema acuminatum,0.5612
Anemocarpa podolepidium,0.392
Anemocarpa saxatilis,0.39136
Angianthus brachypappus,0.012
Angianthus cyathifer,0.056
Angianthus preissianus,0.044
Angianthus tomentosus,0.3297
Angophora bakeri,7.9079498
Angophora costata,16.1
Angophora floribunda,13.6
Angophora hispida,22.976
Angophora inopina,12.1554839
Angophora leiocarpa,12.478
Angophora melanoxylon,8.038
Angophora robur,18.2189055
Angophora subvelutina,7.266
Angophora woodsiana,26.792
Anigozanthos bicolor,0.1976
Anigozanthos bicolor,0.9404
Anigozanthos bicolor,0.66244
Anigozanthos flavidus,0.6988
Anigozanthos humilis,0.5192
Anigozanthos kalbarriensis,0.4664
Anigozanthos manglesii,1.1
Anigozanthos manglesii,0.87672
Anigozanthos onycis,0.5468
Anigozanthos pulcherrimus,1.16816
Anigozanthos rufus,1.0396
Anigozanthos viridis,0.471
Anigozanthos viridis,0.5004
Aniseia martinicensis,39.4152
Anisomeles malabarica,1.6766
Anisotome procumbens,1.6528
Anopterus glandulosus,0.89
Anthocercis angustifolia,1.39212
Anthocercis intricata,0.5524
Anthocercis littorea,0.5824
Anthotium junciforme,0.0724
Antiaris toxicaria,667
Antidesma bunius,20.43
Aphananthe philippinensis,44.1078212
Aphanes australiana,0.2256
Apium annuum,0.4875
Apium insulare,0.9328
Apium prostratum,0.69452
Apium prostratum,1.3148
Apium prostratum,1.2976
Apodytes brachystylis,145
Arabidella eremigena,0.062
Arabidella filifolia,0.1928
Arabidella glaucescens,0.276
Arabidella nasturtium,0.071
Arabidella trisecta,0.093
Araucaria bidwillii,10632.7
Araucaria cunninghamii,283.3
Araucaria heterophylla,1996.6
Archeria serpyllifolia,0.0312
Archidendron lucyi,480
Archidendropsis basaltica,63.2324
Archirhodomyrtus beckleri,1.4952
Archontophoenix alexandrae,315.702
Archontophoenix cunninghamiana,568.2
Ardisia brevipedata,73
Argentipallium blandowskianum,0.116
Argentipallium dealbatum,0.22632
Argentipallium obtusifolium,0.0748
Aristida anthoxanthoides,0.644
Aristida arida,4.0448
Aristida behriana,2.5048
Aristida benthamii,0.4348
Aristida biglandulosa,5.996
Aristida calycina,1.7316
Aristida capillifolia,0.86
Aristida contorta,2.484
Aristida holathera,10.7
Aristida hygrometrica,7.8896
Aristida inaequiglumis,2.613
Aristida ingrata,1.01
Aristida jerichoensis,1.2052
Aristida latifolia,1.1
Aristida lignosa,1.18596
Aristida nitidula,2.055
Aristida obscura,2.612
Aristida perniciosa,0.54352
Aristida personata,1.7352
Aristida pruinosa,1.8236
Aristida queenslandica,1.16
Aristida ramosa,1.473
Aristida strigosa,2.93
Aristida superpendens,7.2208
Aristotelia peduncularis,6.9592
Arthraxon hispidus,0.4315
Artocarpus altilis,5898
Arundinella nepalensis,0.1862
Arytera divaricata,59.7
Arytera pauciflora,245
Asperula conferta,2.2116
Asperula gunnii,2.13832
Asperula polymera,3.52476
Asperula pusilla,1.11
Astartea ambigua,0.5457
Astartea fascicularis,3.867
Astartea laricifolia,0.072
Astartea scoparia,0.092
Astelia alpina,1.1492
Astelia alpina,1.1024
Asterolasia asteriscophora,1.1612
Asterolasia buckinghamii,1.808
Asterolasia buxifolia,1.724
Asterolasia correifolia,0.9524
Asterolasia drummondii,5.262
Asterolasia elegans,4.222561
Asterolasia grandiflora,3.9788
Asterolasia hexapetala,3.164
Asterolasia muricata,4.1764
Asterolasia pallida,2.7292
Asterolasia phebalioides,2.9484
Asteromyrtus brassii,0.1904
Asteromyrtus lysicephala,0.1536
Astrebla elymoides,6.129
Astrebla lappacea,9.623
Astrebla pectinata,2.41
Astrebla squarrosa,2.204
Astroloma compactum,51.05
Astroloma conostephioides,78.3148
Astroloma foliosum,39.7212
Astroloma humifusum,61.5572
Astroloma microcalyx,13.9323077
Astrotricha asperifolia,1.4444
Astrotricha asperifolia,1.88
Astrotricha floccosa,3.43
Astrotricha longifolia,14.168
Astrotricha parvifolia,6.0672
Atalaya hemiglauca,87.79
Atalaya salicifolia,33.2704
Atherosperma moschatum,1.388
Athrotaxis cupressoides,1.67
Athrotaxis laxifolia,3.6172
Athrotaxis selaginoides,1.11
Atkinsonia ligustrina,223.8152
Atriplex acutibractea,0.4988
Atriplex amnicola,2.2
Atriplex angulata,2.74
Atriplex bunburyana,1.0872
Atriplex cinerea,7.736
Atriplex crassipes,0.502
Atriplex eardleyae,0.586
Atriplex eichleri,0.4936
Atriplex elachophylla,3.204
Atriplex fissivalvis,0.509
Atriplex holocarpa,7.8
Atriplex humifusa,3.862
Atriplex kochiana,4.5412
Atriplex limbata,5.7032
Atriplex lindleyi,3.11
Atriplex lindleyi,0.953
Atriplex lindleyi,1.2148
Atriplex muelleri,4.164
Atriplex nessorhina,1.616
Atriplex nummularia,12.054
Atriplex nummularia,11.72
Atriplex nummularia,6.86
Atriplex papillata,0.2176
Atriplex quinii,1.004
Atriplex semibaccata,4.5
Atriplex semilunaris,1.4976
Atriplex spongiosa,2
Atriplex sturtii,0.182
Atriplex suberecta,0.8224
Atriplex vesicaria,5.77
Atriplex vesicaria,1.8676
Austrobaileya scandens,365
Austromyrtus dulcis,2.4793
Austromyrtus glabra,2.6232
Avicennia marina,3400
Avicennia marina,5160
Backhousia angustifolia,1.05536
