Date,Site,Position,Spp,Branchno,DryweightGroup,Date dryweight
24-Apr,F16S,Mid,OlFla,3,0.077,30-Apr
24-Apr,F16S,Bottom,OlFla,1,0.069,30-Apr
24-Apr,F16S,Bottom,OlFla,2,0.116,30-Apr
24-Apr,F16S,Bottom,OlFla,3,0.053,30-Apr
24-Apr,F13S,Bottom,KuMue,1,0.015,30-Apr
24-Apr,F13S,Bottom,KuMue,2,0.014,30-Apr
24-Apr,F13S,Bottom,KuMue,3,0.014,30-Apr
26-Apr,F04N,Bottom,BaGun,1,0.01,30-Apr
26-Apr,F04N,Bottom,BaGun,2,0.011,30-Apr
26-Apr,F04N,Bottom,BaGun,3,0.012,30-Apr
26-Apr,F21N,Mid,KuMue,1,0.024,30-Apr
26-Apr,F21N,Mid,KuMue,2,0.03,30-Apr
26-Apr,F21N,Mid,KuMue,3,0.022,30-Apr
26-Apr,FBPN,Top,BoFol,1,0.016,30-Apr
26-Apr,FBPN,Top,BoFol,2,0.013,30-Apr
26-Apr,FBPN,Top,BoFol,3,0.019,30-Apr
26-Apr,FBPN,Top,HoMon,1,0.11,30-Apr
26-Apr,FBPN,Top,HoMon,2,0.116,30-Apr
26-Apr,FBPN,Top,HoMon,3,0.101,30-Apr
26-Apr,FBPN,Top,TaXer,1,0.324,30-Apr
26-Apr,FBPN,Top,TaXer,2,0.316,30-Apr
26-Apr,FBPN,Top,TaXer,3,0.318,30-Apr
26-Apr,FBPN,Mid,GrAus,1,0.033,30-Apr
26-Apr,FBPN,Mid,GrAus,2,0.025,30-Apr
26-Apr,FBPN,Mid,GrAus,3,0.028,30-Apr
26-Apr,FBPN,Mid,KuMue,1,0.018,30-Apr
26-Apr,FBPN,Mid,KuMue,2,0.014,30-Apr
26-Apr,FBPN,Mid,KuMue,3,0.024,30-Apr
26-Apr,FBPN,Mid,EpGun,1,0.015,30-Apr
26-Apr,FBPN,Mid,EpGun,2,0.018,30-Apr
26-Apr,FBPN,Mid,EpGun,3,0.014,30-Apr
26-Apr,FBPN,Mid,HoMon,1,0.117,30-Apr
26-Apr,FBPN,Mid,HoMon,2,0.087,30-Apr
26-Apr,FBPN,Mid,HoMon,3,0.08,30-Apr
26-Apr,FBPN,Bottom,GrAus,1,0.04,30-Apr
26-Apr,FBPN,Bottom,GrAus,2,0.068,30-Apr
26-Apr,FBPN,Bottom,GrAus,3,0.054,30-Apr
26-Apr,FBPN,Bottom,EpGun,1,0.013,30-Apr
26-Apr,FBPN,Bottom,EpGun,2,0.017,30-Apr
26-Apr,FBPN,Bottom,EpGun,3,0.013,30-Apr
26-Apr,F10S,Top,PoAlp,1,0.057,30-Apr
26-Apr,F10S,Top,PoAlp,2,0.044,30-Apr
26-Apr,F10S,Top,PoAlp,3,0.039,30-Apr
26-Apr,F10S,Mid,BaGun,1,0.012,30-Apr
26-Apr,F10S,Mid,BaGun,2,0.011,30-Apr
26-Apr,F10S,Mid,BaGun,3,0.027,30-Apr
26-Apr,F10S,Mid,EpGun,1,0.016,30-Apr
26-Apr,F10S,Mid,EpGun,2,0.01,30-Apr
26-Apr,F10S,Mid,EpGun,3,0.018,30-Apr
26-Apr,F10S,Mid,PoAlp,1,0.027,30-Apr
26-Apr,F10S,Mid,PoAlp,2,0.037,30-Apr
26-Apr,F10S,Mid,PoAlp,3,0.025,30-Apr
26-Apr,F10S,Bottom,PoAlp,1,0.026,30-Apr
26-Apr,F10S,Bottom,PoAlp,2,0.036,30-Apr
26-Apr,F10S,Bottom,PoAlp,3,0.019,30-Apr
26-Apr,F10S,Bottom,EpGun,1,0.005,30-Apr
26-Apr,F10S,Bottom,EpGun,2,0.014,30-Apr
26-Apr,F10S,Bottom,EpGun,3,0.009,30-Apr
26-Apr,F15N,Top,PoAlp,1,0.042,30-Apr
26-Apr,F15N,Top,PoAlp,2,0.052,30-Apr
26-Apr,F15N,Top,PoAlp,3,0.04,30-Apr
26-Apr,DickN,Bottom,KuMue,1,0.018,30-Apr
26-Apr,DickN,Bottom,KuMue,2,0.012,30-Apr
26-Apr,DickN,Bottom,KuMue,3,0.011,30-Apr
26-Apr,F14S,Bottom,KuMue,1,0.007,30-Apr
26-Apr,F14S,Bottom,KuMue,2,0.022,30-Apr
26-Apr,F14S,Bottom,KuMue,3,0.011,30-Apr
