family,taxa,spauth,infraspecauth,planttype,maxdsm,phopath,refdesc,refshort
AIZOACEAE,Sesuvium portulacastrum,(L.) L.,,psamm,56,C3?,"Aronson, J.A., sine anno. Halophytes - new crops for deserts and coastal areas. Rome: FAO, CERES. Unpublished manuscript.","(Aronson, sine anno)"
AIZOACEAE,Sesuvium portulacastrum,(L.) L.,,psamm,56,C3?,"Baro, D. and Medrano, F.G. 1985. Halophytic flora and vegetation of Tamaulipas, Mexico.","(Baro & Medrano, 1985)"
AIZOACEAE,Sesuvium portulacastrum,(L.) L.,,psamm,56,C3?,"Morton, J.F. 1976. Craft industries from coastal wetland vegetation. In: Esturine processes, vol. 1, pp. 254-266. New York Academic.","(Morton, 1976)"
AIZOACEAE,Sesuvium portulacastrum,(L.) L.,,psamm,56,C3?,"Ragonese, A.E. and Covas, G. 1947. La flora halofile del sur de la provincia de Santa Fe. Darwiniana, 7:401-495.","(Ragonese & Covas, 1947)"
AIZOACEAE,Sesuvium portulacastrum,(L.) L.,,psamm,56,C3?,"Shomer-Ilan, A. 1985. unpublished data, (Ed. J.Aronson). Tel Aviv Israel.","(Shomer-Ilan, 1985)"
AIZOACEAE,Tetragonia eremaea,Ostenf.,,psamm,,C3?,"Prescott, A. and Venning, J. 1984. Aizoaceae. In: Flora of Australia, vol. 4 (Ed. by A.S. George) Canberra Australian Government Publishing Service.","(Prescott & Venning, 1984)"
AIZOACEAE,Tetragonia implexicoma,(Miq.) Hook.f.,,psamm,7.8,C3,"Aronson, J.A., sine anno. Halophytes - new crops for deserts and coastal areas. Rome: FAO, CERES. Unpublished manuscript.","(Aronson, sine anno)"
AIZOACEAE,Tetragonia implexicoma,(Miq.) Hook.f.,,psamm,7.8,C3,"Sauer J. 1965. Geographic reconnaissance of Western Australian sea - shore vegetation. Australian Journal of Botany, 15:39-69.","(Sauer, 1965)"
AIZOACEAE,Tetragonia implexicoma,(Miq.) Hook.f.,,psamm,7.8,C3,"Shomer-Ilan, A. 1985. unpublished data, (Ed. J.Aronson). Tel Aviv Israel.","(Shomer-Ilan, 1985)"
AIZOACEAE,Tetragonia tetragonoides,(Pall.) Kuntze,,psamm,,C3,"Aronson, J.A., sine anno. Halophytes - new crops for deserts and coastal areas. Rome: FAO, CERES. Unpublished manuscript.","(Aronson, sine anno)"
AIZOACEAE,Tetragonia tetragonoides,(Pall.) Kuntze,,psamm,,C3,"Mudie, P.J, Shmitt, W.R., Luard, E.J., Rutherford, J.W. and Wolfson, F.H. 1972. Preliminary studies on seawater irrigation. Halophyte research project. Scripps Institute of Oceanography.","(Mudie et al., 1972)"
AMARANTHACEAE,Alternanthera ficoidea,(L.) R.Br.,,xero,,C4,"Raghavendra, A.S. and Das, V.S.R. 1978. The occurrence of C4 pho-synthesis: A supplementary list of C4 plants reported during late 1974 - mid 1977. Photosynthetica, 12:200-208.","(Raghavendra & Das, 1978)"
AMARANTHACEAE,Atriplex acutibractea,R.H.Anderson,,xero,,C4,"Osmund, C.B. 1974. Leaf anatomy of Australian saltbushes in relation to photosynthetic pathways. Australian Journal of Botany, 22:39-44.","(Osmund, 1974)"
AMARANTHACEAE,Atriplex acutibractea,R.H.Anderson,,xero,,C4,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
AMARANTHACEAE,Atriplex acutiloba,R.H.Anderson,,xeroh,,C4,"Cunningham, G.W., Mulham, W.E., Milthorpe, P. and Leigh, J.H. 1981. Plants of western New South Wales. Soil Conservation Commission, Canberra.","(Cunningham, et al., 1981)"
AMARANTHACEAE,Atriplex acutiloba,R.H.Anderson,,xeroh,,C4,"Osmund, C.B. 1974. Leaf anatomy of Australian saltbushes in relation to photosynthetic pathways. Australian Journal of Botany, 22:39-44.","(Osmund, 1974)"
AMARANTHACEAE,Atriplex acutiloba,R.H.Anderson,,xeroh,,C4,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
AMARANTHACEAE,Atriplex amnicola,Paul G.Wilson,,xeroh,60,,"Malcolm, C.V. 1979. Selection of shrubs for forage production from saline soils under natural rainfall. In International Conference on Indian Ocean Studies. Perth, Australia.","(Malcolm, 1979)"
AMARANTHACEAE,Atriplex amnicola,Paul G.Wilson,,xeroh,60,,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
AMARANTHACEAE,Atriplex australasica,Moq.,,hyhal,,,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
AMARANTHACEAE,Atriplex billardierei,(Moq.) Hook.f.,,psamm,,,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
AMARANTHACEAE,Atriplex bunburyana,F.Muell.,,xeroh,56,C4,"Aronson, J.A., sine anno. Halophytes - new crops for deserts and coastal areas. Rome: FAO, CERES. Unpublished manuscript.","(Aronson, sine anno)"
AMARANTHACEAE,Atriplex bunburyana,F.Muell.,,xeroh,56,C4,"Malcolm, C.V. 1979. Selection of shrubs for forage production from saline soils under natural rainfall. In International Conference on Indian Ocean Studies. Perth, Australia.","(Malcolm, 1979)"
AMARANTHACEAE,Atriplex bunburyana,F.Muell.,,xeroh,56,C4,"O'Leary, J.W. 1984. The role of halophytes in irrigated agriculture. In: Salinity tolerance in plants (Ed. by R.C. Staples and G.H. Toenniessen), pp. 160-170. John Wiley and Sons, New York.","(O'Leary, 1984)"
AMARANTHACEAE,Atriplex bunburyana,F.Muell.,,xeroh,56,C4,"O'Leary, J.W., Glenn, W.E.P. and Watson, M.C. 1986. Agricultural production of halophytes irrigated with seawater. Plant and Soil, 89:311-322.","(O'Leary et al., 1986)"
AMARANTHACEAE,Atriplex bunburyana,F.Muell.,,xeroh,56,C4,"Osmund, C.B, Bjorkman, O. and Anderson, D. 1980. Physiological processes in plant ecology: towards a synthesis with Atriplex. Springer, New York.","(Osmund et al., 1980)"
AMARANTHACEAE,Atriplex bunburyana,F.Muell.,,xeroh,56,C4,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
AMARANTHACEAE,Atriplex cinerea,Poir.,,psamm,56,C4,"Aronson, J.A., 1985. Economic halophytes- a global review:. In: G.E.Wickens, Goodin, J. and Field, D. ed Plants for Arid lands, London George Allen and Unwin, 177-188.","(Aronson, 1985)"
AMARANTHACEAE,Atriplex cinerea,Poir.,,psamm,56,C4,"Aronson, J.A., sine anno. Halophytes - new crops for deserts and coastal areas. Rome: FAO, CERES. Unpublished manuscript.","(Aronson, sine anno)"
AMARANTHACEAE,Atriplex cinerea,Poir.,,psamm,56,C4,"Malcolm, C.V. 1969. Use of halophytes for forage production on saline wastelands. Journal of the Australian Institute for Agricultural Science, 35:38-49.","(Malcolm, 1969)"
AMARANTHACEAE,Atriplex cinerea,Poir.,,psamm,56,C4,"Shomer-Ilan, A. 1985. unpublished data, (Ed. J.Aronson). Tel Aviv Israel.","(Shomer-Ilan, 1985)"
AMARANTHACEAE,Atriplex cinerea,Poir.,,psamm,56,C4,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
AMARANTHACEAE,Atriplex codonocarpa,Paul G.Wilson,,hyhal,,,"Malcolm, C.V. 1969. Use of halophytes for forage production on saline wastelands. Journal of the Australian Institute for Agricultural Science, 35:38-49.","(Malcolm, 1969)"
AMARANTHACEAE,Atriplex codonocarpa,Paul G.Wilson,,hyhal,,,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
AMARANTHACEAE,Atriplex cordifolia,J.M.Black,,xeroh,,C4,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
AMARANTHACEAE,Atriplex cordifolia,J.M.Black,,xeroh,,C4,"Wilson, P.G. 1980b. A revision of the Australian species of Salicornieae (Chenopodiaceae). Nuytsia 3, 1 - 154.","(Wilson, 1980b)"
AMARANTHACEAE,Atriplex exilifolia,F.Muell.,,hyhal,,,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
AMARANTHACEAE,Atriplex fissivalvis,F.Muell.,,xero,,,"Osmund, C.B, Bjorkman, O. and Anderson, D. 1980. Physiological processes in plant ecology: towards a synthesis with Atriplex. Springer, New York.","(Osmund et al., 1980)"
AMARANTHACEAE,Atriplex holocarpa,F.Muell.,,weedy,,C4,"Correll, D.S. and Johnson, M.C. 1970. Manual of the vascular plants of Texas. Renner: Texas Research Foundation.","(Correll & Johnson, 1970)"
AMARANTHACEAE,Atriplex holocarpa,F.Muell.,,weedy,,C4,"Downton, W.J.S. 1975. The occurrence of C4 photosynthesis among plants. Photosynthetica, 9:96-105.","(Downton, 1975)"
AMARANTHACEAE,Atriplex holocarpa,F.Muell.,,weedy,,C4,"Osmund, C.B, Bjorkman, O. and Anderson, D. 1980. Physiological processes in plant ecology: towards a synthesis with Atriplex. Springer, New York.","(Osmund et al., 1980)"
AMARANTHACEAE,Atriplex hymenotheca,Moq.,,xero,,C4,"Osmund, C.B, Bjorkman, O. and Anderson, D. 1980. Physiological processes in plant ecology: towards a synthesis with Atriplex. Springer, New York.","(Osmund et al., 1980)"
AMARANTHACEAE,Atriplex hymenotheca,Moq.,,xero,,C4,"Osmund, C.B. 1974. Leaf anatomy of Australian saltbushes in relation to photosynthetic pathways. Australian Journal of Botany, 22:39-44.","(Osmund, 1974)"
AMARANTHACEAE,Atriplex hymenotheca,Moq.,,xero,,C4,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
AMARANTHACEAE,Atriplex hypoleuca,Nees,,hyhal,SW,,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
AMARANTHACEAE,Atriplex intermedia,R.H.Anderson,,xero,,C4,"Osmund, C.B, Bjorkman, O. and Anderson, D. 1980. Physiological processes in plant ecology: towards a synthesis with Atriplex. Springer, New York.","(Osmund et al., 1980)"
AMARANTHACEAE,Atriplex intermedia,R.H.Anderson,,xero,,C4,"Osmund, C.B. 1974. Leaf anatomy of Australian saltbushes in relation to photosynthetic pathways. Australian Journal of Botany, 22:39-44.","(Osmund, 1974)"
AMARANTHACEAE,Atriplex isatidea,Moq.,,psamm,,C4?,"Sauer J. 1965. Geographic reconnaissance of Western Australian sea - shore vegetation. Australian Journal of Botany, 15:39-69.","(Sauer, 1965)"
AMARANTHACEAE,Atriplex isatidea,Moq.,,psamm,,C4?,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
AMARANTHACEAE,Atriplex kochiana,Maiden,,xero,,C4,"Osmund, C.B, Bjorkman, O. and Anderson, D. 1980. Physiological processes in plant ecology: towards a synthesis with Atriplex. Springer, New York.","(Osmund et al., 1980)"
AMARANTHACEAE,Atriplex kochiana,Maiden,,xero,,C4,"Osmund, C.B. 1974. Leaf anatomy of Australian saltbushes in relation to photosynthetic pathways. Australian Journal of Botany, 22:39-44.","(Osmund, 1974)"
AMARANTHACEAE,Atriplex limbata,Benth.,,xero,,C4,"Osmund, C.B. 1974. Leaf anatomy of Australian saltbushes in relation to photosynthetic pathways. Australian Journal of Botany, 22:39-44.","(Osmund, 1974)"
AMARANTHACEAE,Atriplex limbata,Benth.,,xero,,C4,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
AMARANTHACEAE,Atriplex lindleyi,Moq.,,xero,,C4,"Ashby WC, Beadle NCW. 1957 Studies in halophytes. III. Salinity factors in the growth of Australian saltbushes. Ecology, 38:344 - 352","(Ashby & Beadle, 1957)"
AMARANTHACEAE,Atriplex lindleyi,Moq.,,xero,,C4,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
AMARANTHACEAE,Atriplex lobativalvis,F.Muell.,,xero,,C4,"Osmund, C.B, Bjorkman, O. and Anderson, D. 1980. Physiological processes in plant ecology: towards a synthesis with Atriplex. Springer, New York.","(Osmund et al., 1980)"
AMARANTHACEAE,Atriplex lobativalvis,F.Muell.,,xero,,C4,"Osmund, C.B. 1974. Leaf anatomy of Australian saltbushes in relation to photosynthetic pathways. Australian Journal of Botany, 22:39-44.","(Osmund, 1974)"
AMARANTHACEAE,Atriplex morrisii,R.H.Anderson,,xero,,C4,"Osmund, C.B, Bjorkman, O. and Anderson, D. 1980. Physiological processes in plant ecology: towards a synthesis with Atriplex. Springer, New York.","(Osmund et al., 1980)"
AMARANTHACEAE,Atriplex morrisii,R.H.Anderson,,xero,,C4,"Osmund, C.B. 1974. Leaf anatomy of Australian saltbushes in relation to photosynthetic pathways. Australian Journal of Botany, 22:39-44.","(Osmund, 1974)"
AMARANTHACEAE,Atriplex morrisii,R.H.Anderson,,xero,,C4,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
AMARANTHACEAE,Atriplex muelleri,Benth.,,weedy,,C4,"Osmund, C.B, Bjorkman, O. and Anderson, D. 1980. Physiological processes in plant ecology: towards a synthesis with Atriplex. Springer, New York.","(Osmund et al., 1980)"
AMARANTHACEAE,Atriplex muelleri,Benth.,,weedy,,C4,"Osmund, C.B. 1974. Leaf anatomy of Australian saltbushes in relation to photosynthetic pathways. Australian Journal of Botany, 22:39-44.","(Osmund, 1974)"
AMARANTHACEAE,Atriplex nana,Parr-Sm.,,hyhal,,,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
AMARANTHACEAE,Atriplex nessorhina,S.W.L.Jacobs,,hyhal,,,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
AMARANTHACEAE,Atriplex nummularia,Lindl.,,xero,59,C4,"Aronson, J.A., sine anno. Halophytes - new crops for deserts and coastal areas. Rome: FAO, CERES. Unpublished manuscript.","(Aronson, sine anno)"
AMARANTHACEAE,Atriplex nummularia,Lindl.,,xero,59,C4,"Ashby WC, Beadle NCW. 1957 Studies in halophytes. III. Salinity factors in the growth of Australian saltbushes. Ecology, 38:344 - 352","(Ashby & Beadle, 1957)"
AMARANTHACEAE,Atriplex nummularia,Lindl.,,xero,59,C4,"Le Roux, A. and Schlepe, E. 1981. Namaqualand and Clanwilliam, Wildflowers of South Africa Vol I. Capetown: Cape Department of Nature and Environmental Conservation.","(Le Roux & Schlepe, 1981)"
AMARANTHACEAE,Atriplex nummularia,Lindl.,,xero,59,C4,"Le Roux, P.J. 1974. Establishing vegetation in saline soil to stabilize aeolian sand at Walvis Bay, South West Africa. Biologia Contemporanea. 1:25-31.","(Le Roux, 1974)"
AMARANTHACEAE,Atriplex nummularia,Lindl.,,xero,59,C4,"O'Leary, J.W. 1986. A critical analysis of the use of Atriplex species as crop plants for irrigation with highly saline water. In: Prospects for biosaline research (Ed. R. Ahmad and S.A. Pietro), pp. 415-432. University of Karachi, Department of Botany, K","(O'Leary, 1986)"
AMARANTHACEAE,Atriplex nummularia,Lindl.,,xero,59,C4,"Pasternak, D., Aronson, J. and Ben-Dov, J. 1986. Development of new arid zone crops for the Negev Desert of Israel. Journal of Arid Environments, 11:37-59.","(Pasternak et al., 1986)"
AMARANTHACEAE,Atriplex nummularia,Lindl.,,xero,59,C4,"Pasternak, D., Aronson, J.A. and Danon, A. 1983a. Fodder production with saline water: Annual Report for the period January-December 1982. Beer Sheva Israel, Ben Gurion University of the Negev.","(Pasternak et al., 1983a)"
AMARANTHACEAE,Atriplex paludosa,R.Br.,,hyhal,25,C4,"Mepham, R.H. and Mepham, J.S. 1985. The flora of tidal forests - a rationalization of the use of the term ""mangrove"". South African Journal of Botany, 51(2):75-99.","(Mepham & Mepham, 1985)"
AMARANTHACEAE,Atriplex paludosa,R.Br.,,hyhal,25,C4,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
AMARANTHACEAE,Atriplex paludosa,R.Br.,,hyhal,25,C4,"Wilson, P.G. 1980b. A revision of the Australian species of Salicornieae (Chenopodiaceae). Nuytsia 3, 1 - 154.","(Wilson, 1980b)"
AMARANTHACEAE,Atriplex papillata,J.H.Willis,,xeroh,,,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
AMARANTHACEAE,Atriplex pumilio,R.Br.,,xeroh,,C3,"Osmund, C.B, Bjorkman, O. and Anderson, D. 1980. Physiological processes in plant ecology: towards a synthesis with Atriplex. Springer, New York.","(Osmund et al., 1980)"
AMARANTHACEAE,Atriplex pumilio,R.Br.,,xeroh,,C3,"Osmund, C.B. 1974. Leaf anatomy of Australian saltbushes in relation to photosynthetic pathways. Australian Journal of Botany, 22:39-44.","(Osmund, 1974)"
AMARANTHACEAE,Atriplex pumilio,R.Br.,,xeroh,,C3,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
AMARANTHACEAE,Atriplex rhagodioides,F.Muell.,,hyhal,,C4?,"Osmund, C.B, Bjorkman, O. and Anderson, D. 1980. Physiological processes in plant ecology: towards a synthesis with Atriplex. Springer, New York.","(Osmund et al., 1980)"
AMARANTHACEAE,Atriplex rhagodioides,F.Muell.,,hyhal,,C4?,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
AMARANTHACEAE,Atriplex semibaccata,R.Br.,,weedy,15,C4,"Aronson, J.A., sine anno. Halophytes - new crops for deserts and coastal areas. Rome: FAO, CERES. Unpublished manuscript.","(Aronson, sine anno)"
AMARANTHACEAE,Atriplex semibaccata,R.Br.,,weedy,15,C4,"Fosberg, F.R. and Renvoise, S.A. 1980. The flora of Aldabra and neighbouring islands. In Kew Bulletin additional series 7.","(Fosberg & Renvoise, 1980)"
AMARANTHACEAE,Atriplex semibaccata,R.Br.,,weedy,15,C4,"Mepham, R.H. and Mepham, J.S. 1985. The flora of tidal forests - a rationalization of the use of the term ""mangrove"". South African Journal of Botany, 51(2):75-99.","(Mepham & Mepham, 1985)"
AMARANTHACEAE,Atriplex semibaccata,R.Br.,,weedy,15,C4,"Warren, 1911. Salt bushes. Their origin and uses. Farmer's Weekly South Africa, 2:459.","(Warren, 1911)"
AMARANTHACEAE,Atriplex semibaccata,R.Br.,,weedy,15,C4,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
AMARANTHACEAE,Atriplex spongiosa,F.Muell.,,weedy,,C4,"Osmund, C.B, Bjorkman, O. and Anderson, D. 1980. Physiological processes in plant ecology: towards a synthesis with Atriplex. Springer, New York.","(Osmund et al., 1980)"
AMARANTHACEAE,Atriplex spongiosa,F.Muell.,,weedy,,C4,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
AMARANTHACEAE,Atriplex stipitata,Benth.,,xero,,C4,"Mepham, R.H. and Mepham, J.S. 1985. The flora of tidal forests - a rationalization of the use of the term ""mangrove"". South African Journal of Botany, 51(2):75-99.","(Mepham & Mepham, 1985)"
AMARANTHACEAE,Atriplex stipitata,Benth.,,xero,,C4,"Osmund, C.B, Bjorkman, O. and Anderson, D. 1980. Physiological processes in plant ecology: towards a synthesis with Atriplex. Springer, New York.","(Osmund et al., 1980)"
AMARANTHACEAE,Atriplex stipitata,Benth.,,xero,,C4,"Osmund, C.B. 1974. Leaf anatomy of Australian saltbushes in relation to photosynthetic pathways. Australian Journal of Botany, 22:39-44.","(Osmund, 1974)"
AMARANTHACEAE,Atriplex stipitata,Benth.,,xero,,C4,"Warren, 1911. Salt bushes. Their origin and uses. Farmer's Weekly South Africa, 2:459.","(Warren, 1911)"
AMARANTHACEAE,Atriplex velutinella,F.Muell.,,xeroh,,C4,"Osmund, C.B, Bjorkman, O. and Anderson, D. 1980. Physiological processes in plant ecology: towards a synthesis with Atriplex. Springer, New York.","(Osmund et al., 1980)"
AMARANTHACEAE,Atriplex velutinella,F.Muell.,,xeroh,,C4,"Osmund, C.B. 1974. Leaf anatomy of Australian saltbushes in relation to photosynthetic pathways. Australian Journal of Botany, 22:39-44.","(Osmund, 1974)"
AMARANTHACEAE,Atriplex velutinella,F.Muell.,,xeroh,,C4,"Wilson PG. 1984. Chenopodiaceae. In: Flora of Australia, vol. 4. (ed. by A.S. George). Canberra Australian Government Printing Service.","(Wilson, 1984)"
