species_name,flowering time,growth habit,longevity
Aristida caput-medusae,NA,tufted,NA
Aristida contorta,NA,tufted,NA
Aristida dominii,may-aug,tufted,annual
Aristida echinata,aug-jul,tufted,perennial
Aristida exserta,jan-sep,tufted,perennial
Aristida forsteri,NA,tufted,perennial
Aristida gracilipes,all year,tufted,NA
Aristida granitica,NA,tufted,perennial
Aristida helicophylla,mar-oct,tufted,NA
Aristida holathera,ephemeral,tufted,NA
Aristida holathera var. holathera,NA,tufted,NA
Aristida holathera var. latifolia,NA,tufted,perennial
Aristida hygrometrica,jan-nov,tufted,perennial
Aristida inaequiglumis,all year,tufted,perennial
Aristida ingrata,all year,tufted,perennial
Aristida jerichoensis,NA,tufted,NA
Aristida jerichoensis var. jerichoensis,NA,tufted,NA
Aristida jerichoensis var. subspinulifera,NA,tufted,NA
Aristida kimberleyensis,jan-mar,tufted,perennial
Aristida latifolia,NA,tufted,NA
Aristida latzii,jan-oct,tufted,perennial
Aristida lazaridis,feb-aug,tufted,perennial
Aristida leichhardtiana,NA,tufted,NA
Aristida leptopoda,NA,tufted,NA
Aristida lignosa,NA,tufted,NA
Aristida longicollis,NA,tufted,NA
Aristida macroclada,NA,tufted,perennial
Aristida macroclada subsp. macroclada,NA,tufted,perennial
Aristida macroclada subsp. queenslandica,NA,tufted,perennial
Aristida muricata,NA,tufted,NA
Aristida nitidula,NA,tufted,NA
Aristida obscura,NA,tufted,NA
Aristida perniciosa,jan-jul,tufted,perennial
Aristida personata,NA,tufted,NA
Aristida platychaeta,NA,tufted,NA
Aristida polyclados,jan-jul,tufted,perennial
Aristida pruinosa,all year,tufted,perennial
Aristida psammophila,NA,tufted,perennial
Aristida queenslandica,NA,tufted,perennial
Aristida queenslandica var. dissimilis,NA,tufted,perennial
Aristida queenslandica var. queenslandica,NA,tufted,perennial
Aristida ramosa,all year,tufted,perennial
Aristida schultzii,jan-sep,tufted,perennial
Aristida sciuroides,nov-sep,tufted,perennial
Aristida sp.,NA,tufted,NA
Aristida sp. 2,NA,tufted,NA
Aristida spuria,NA,tufted,perennial
Aristida strigosa,NA,tufted,perennial
Aristida superpendens,jan-aug,tufted,perennial
Aristida thompsonii,aug,tufted,perennial
Aristida utilis,NA,tufted,perennial
Aristida utilis var. grandiflora,NA,tufted,perennial
Aristida utilis var. utilis,NA,tufted,perennial
Aristida vagans,NA,rhizatomous/tufted,NA
Aristida vickeryae,NA,tufted,NA
Aristida warburgii,NA,tufted,NA
Arthragrostis aristispicula,NA,tufted,annual
Arthragrostis brassiana,NA,tufted,annual
Arthragrostis brassiana var. brassiana,NA,tufted,annual
Arthragrostis brassiana var. minutiflora,NA,tufted,annual
Arthragrostis clarksoniana,NA,tufted,annual
Arthragrostis deschampsioides,NA,tufted,annual
Arthraxon castratu,jul,tufted,perennial
Arthraxon hispidus,NA,tufted,annual
Arundinella grevillensis,NA,rhizomatous,perennial
Arundinella montana,NA,rhizomatous,perennial
Arundinella nepalensis,NA,rhizomatous,perennial
Arundinella setosa,jan-aug,rhizomatous,perennial
Astrebla elymoides,NA,tufted,perennial
Astrebla lappacea,NA,rhizatomous/tufted,perennial
Astrebla pectinata,NA,rhizomatous,perennial
Astrebla squarrosa,NA,tufted,perennial
Australopyrum pectinatum,NA,tufted,perennial
Australopyrum retrofractum,NA,tufted,NA
Australopyrum velutinum,NA,tufted,NA
Austrochloris dichanthioides,NA,NA,perennial
Austrofestuca littoralis,NA,NA,perennial
Austrostipa aquarii,NA,NA,perennial
Austrostipa aristiglumis,NA,NA,perennial
Austrostipa bigeniculata,NA,NA,perennial
Austrostipa blackii,NA,tufted,perennial
Austrostipa blakei,NA,NA,perennial
Austrostipa breviglumis,NA,NA,perennial
Austrostipa campylachne,NA,NA,perennial
Austrostipa centralis,NA,NA,perennial
Austrostipa compressa,NA,NA,perennial
Austrostipa crinita,NA,NA,perennial
Austrostipa curticoma,NA,NA,perennial
Austrostipa densiflora,NA,tufted,perennial
Austrostipa dongicola,NA,NA,perennial
Austrostipa drummondii,NA,tufted,perennial
Austrostipa echinata,NA,NA,perennial
Austrostipa elegantissima,NA,tufted,perennial
Austrostipa eremophila,NA,tufted,perennial
Austrostipa exilis,NA,NA,perennial
Austrostipa feresetacea,NA,NA,perennial
Austrostipa flavescens,NA,tufted,perennial
Austrostipa geoffreyi,NA,NA,perennial
Austrostipa gibbosa,NA,tufted,perennial
Austrostipa hemipogon,NA,NA,perennial
Austrostipa juncifolia,NA,NA,perennial
Austrostipa juncifolia subsp. Southern,NA,NA,perennial
Austrostipa lanata,NA,NA,perennial
Austrostipa macalpinei,NA,NA,annual
Austrostipa metatoris,NA,tufted,perennial
Austrostipa mollis,NA,tufted,perennial
Austrostipa muelleri,NA,NA,perennial
Austrostipa multispiculis,NA,NA,perennial
Austrostipa mundula,NA,NA,perennial
Austrostipa nitida,NA,tufted,perennial
Austrostipa nivicola,NA,tufted,perennial
Austrostipa nodosa,NA,tufted,perennial
Austrostipa nullanulla,NA,tufted,perennial
Austrostipa nullarborensis,NA,NA,perennial
Austrostipa oligostachya,NA,NA,perennial
Austrostipa petraea,NA,NA,perennial
Austrostipa pilata,NA,NA,perennial
Austrostipa platychaeta,NA,tufted,perennial
Austrostipa plumigera,NA,NA,perennial
Austrostipa puberula,NA,tufted,perennial
Austrostipa pubescens,NA,tufted,perennial
Austrostipa pubinodis,NA,tufted,perennial
Austrostipa pycnostachya,NA,NA,perennial
Austrostipa ramosissima,NA,tufted,perennial
Austrostipa rudis,NA,NA,perennial
Austrostipa rudis subsp. australis,NA,tufted,perennial
Austrostipa rudis subsp. nervosa,NA,tufted,perennial
Austrostipa scabra,NA,tufted,perennial
Austrostipa scabra subsp. falcata,NA,tufted,perennial
Austrostipa scabra subsp. Scabra,NA,tufted,perennial
Austrostipa semibarbata,NA,tufted,perennial
Austrostipa setacea,NA,tufted,perennial
Austrostipa stipoides,NA,tufted,perennial
Austrostipa stuposa,NA,tufted,perennial
Austrostipa tenuifolia,NA,NA,perennial
Austrostipa trichophylla,NA,tufted,perennial
Austrostipa tuckeri,NA,tufted,perennial
Austrostipa variabilis,NA,NA,perennial
Austrostipa verticillata,NA,tufted,perennial
Austrostipa vickeryana,NA,NA,perennial
Austrostipa wakoolica,NA,tufted,perennial
Bambusa arnhemica,NA,NA,perennial
Bothriochloa biloba,NA,tufted,perennial
Bothriochloa bladhii,NA,tufted,perennial
Bothriochloa bladhii subsp. bladhii,NA,tufted,perennial
Bothriochloa bunyensis,NA,NA,perennial
Bothriochloa decipiens,NA,tufted,perennial
Bothriochloa decipiens var. cloncurrensis,NA,tufted,perennial
Bothriochloa decipiens var. decipiens,NA,tufted,perennial
Bothriochloa erianthoides,NA,tufted,perennial
Bothriochloa ewartiana,NA,tufted,perennial
Bothriochloa macra,NA,tufted,NA
Brachyachne ciliaris,NA,stoloniferous,NA
Brachyachne convergens,NA,NA,annual
Brachyachne prostrata,NA,NA,annual
Brachyachne tenella,NA,NA,annual/perennial
Calyptochloa cylindropserma,dec-mar,stoloniferous,perennial
Calyptochloa gracillima,NA,stoloniferous,perennial
Capillipedium parviflorum,NA,tufted,perennial
Capillipedium spicigerum,NA,tufted,perennial
Cenchrus basedowii,NA,NA,annual/perennial
Cenchrus brevisetosus,NA,NA,perennial
Cenchrus caliculatus,NA,NA,perennial
Cenchrus elymoides,NA,NA,perennial
Cenchrus elymoides var. elymoides,NA,NA,perennial
Cenchrus robustus,NA,NA,perennial
Centotheca lappacea,NA,NA,perennial
Centotheca philippinensis,may-jul,NA,perennial
Chamaeraphis hordeacea,feb-jul,NA,perennial
Chionachne cyathopoda,feb-jul,NA,perennial
Chionachne hubbardiana,nov-jun,NA,annual
Chionochloa frigida,dec-feb,NA,perennial
Chionochloa howensis,NA,NA,perennial
Chloris divaricata,NA,NA,perennial
Chloris divaricata var. cynodontoides,NA,NA,perennial
Chloris divaricata var. divaricata,NA,NA,perennial
Chloris lobata,NA,NA,annual
Chloris pectinata,NA,NA,annual
Chloris pumilio,NA,NA,annual
Chloris truncata,NA,NA,perennial
Chloris ventricosa,NA,stoloniferous,perennial
Chrysopogon elongatus,apr-jan,NA,perennial
Chrysopogon filipes,NA,NA,perennial
Chrysopogon latifolius,sep-jun,NA,perennial
Chrysopogon oliganthus,apr-oct,NA,perennial
Chrysopogon pallidus,nov-jan,NA,perennial
Chrysopogon rigidus,apr-may,NA,perennial
Chrysopogon setifolius,NA,NA,perennial
Chrysopogon sylvaticus,oct-dec,NA,perennial
Clausospicula extensa,feb-may,NA,annual
Cleistochloa rigida,NA,NA,perennial
Cleistochloa sclerachne,may-aug,NA,perennial
Cleistochloa subjuncea,all year,NA,perennial
Coelachne pulchella,NA,NA,annual/perennial
Coix gasteenii,may,NA,perennial
Cymbopogon ambiguus,all year,NA,perennial
Cymbopogon bombycinus,all year,NA,perennial
Cymbopogon dependens,feb-mar,NA,perennial
Cymbopogon globosus,may,NA,perennial
Cymbopogon gratus,feb-mar,NA,perennial
Cymbopogon obtectus,all year,NA,perennial
Cymbopogon procerus,mar-aug,NA,perennial
Cymbopogon queenslandicus,jan-sep,NA,perennial
Cymbopogon refractus,all year,NA,perennial
Cynochloris macivorii,NA,NA,perennial
Cynochloris reynoldensis,NA,NA,perennial
Cynodon dactylon var. pulchellus,NA,NA,NA
Cyperochloa hirsuta,oct-nov,NA,perennial
Cyrtococcum capitis-york,NA,NA,perennial
Cyrtococcum deltoideum,NA,NA,annual
Cyrtococcum oxyphyllum,apr-sep,NA,annual
Cyrtococcum patens,NA,NA,perennial
Dactyloctenium buchananensis,NA,NA,annual
Dactyloctenium radulans,dec-jun,NA,NA
Dallwatsonia felliana,NA,NA,perennial
Deschampsia cespitosa,sep-mar,NA,perennial
Deschampsia gracillima,NA,NA,perennial
Deyeuxia acuminata,spring,NA,perennial
Deyeuxia affinis,jan-feb,NA,perennial
Deyeuxia angustifolia,spring-summer,NA,perennial
Deyeuxia appressa,spring-summer,NA,perennial
Deyeuxia apsleyensis,NA,NA,perennial
Deyeuxia boormanii,NA,NA,perennial
Deyeuxia brachyathera,nov-apr,NA,perennial
Deyeuxia breviglumis,jan-feb,NA,annual
Deyeuxia carinata,dec-mar,NA,perennial
Deyeuxia contracta,dec-mar,NA,perennial
Deyeuxia crassiuscula,dec-mar,NA,perennial
Deyeuxia decipiens,spring,NA,perennial
Deyeuxia densa,oct-jan,NA,perennial
Deyeuxia drummondii,NA,NA,perennial/annual
Deyeuxia frigida,dec-apr,NA,perennial
Deyeuxia gunniana,spring-summer,NA,perennial
Deyeuxia imbricata,spring,NA,perennial
Deyeuxia inaequalis,NA,NA,perennial/annual
Deyeuxia innominata,jan-mar,NA,perennial
Deyeuxia lawrencei,NA,NA,perennial
Deyeuxia mckiei,spring-summer,NA,perennial
Deyeuxia mesathera,spring,NA,perennial
Deyeuxia microseta,spring,NA,perennial
Deyeuxia minor,nov-dec,NA,perennial
Deyeuxia monticola,spring-summer,NA,perennial
Deyeuxia nudiflora,summer,NA,perennial
Deyeuxia parviseta,spring,NA,perennial
Deyeuxia parviseta var. boormanii,spring,NA,perennial
Deyeuxia parviseta var. parviseta,spring,NA,perennial
Deyeuxia pungens,dec-jan,NA,perennial
Deyeuxia quadriseta,oct-may,NA,perennial
Deyeuxia ramosa,dec-jun,NA,perennial
Deyeuxia reflexa,summer,NA,perennial
Deyeuxia rodwayi,nov-mar,NA,perennial
Deyeuxia scaberula,nov-mar,NA,perennial
Deyeuxia talariata,Feb,NA,perennial
Deyeuxia valida,dec-feb,NA,perennial
Dichanthium fecundum,dec-oct,NA,perennial
Dichanthium queenslandicum,nov-jan,NA,perennial
Dichanthium sericeum subsp. humilius,NA,NA,perennial/annual
Dichanthium sericeum subsp. polystachyum,NA,NA,perennial/annual
Dichanthium setosum,nov-jun,NA,perennial
Dichanthium tenue,all year,NA,perennial
Dichelachne crinita,nov-feb,NA,perennial
Dichelachne hirtella,nov-dec,NA,annual/perennial
Dichelachne inaequiglumis,nov-jan,NA,perennial
Dichelachne micrantha,oct-dec,NA,perennial
Dichelachne parva,summer,NA,perennial
Dichelachne rara,dec-mar,NA,perennial/annual
Dichelachne sieberiana,dec-apr,NA,perennial/annual
Digitaria ammophila,feb-apr,NA,perennial
Digitaria baileyi,feb-apr,NA,perennial/annual
Digitaria basaltica,NA,NA,perennial
Digitaria breviglumis,jan-aug,NA,perennial
Digitaria brownii,all year,NA,perennial
Digitaria coenicola,summer,NA,perennial
Digitaria cowiei,NA,NA,annual
Digitaria ctenantha,NA,NA,annual
Digitaria diffusa,mar-jun,NA,perennial
Digitaria diminuta,all year,NA,perennial
Digitaria divaricatissima,nov-may,NA,perennial
Digitaria dolleryi,NA,NA,annual
Digitaria fumida,nov-aug,NA,perennial
Digitaria gibbosa,jan-sep,NA,annual
Digitaria hubbardii,feb-apr,NA,perennial
Digitaria hystrichoides,nov-jun,NA,perennial
Digitaria imbricata,jan-feb,NA,perennial
Digitaria lanceolata,Feb,NA,perennial
Digitaria leucostachya,nov-may,NA,perennial
Digitaria longiflora,all year,NA,annual/perennial
Digitaria mariannensis,NA,NA,annual
Digitaria minima,mar-apr,NA,perennial
Digitaria nematostachya,jan-feb/jun-jul,NA,perennial
Digitaria oraria,apr-jun,NA,annual
Digitaria orbata,mar-aug,NA,perennial
Digitaria papposa,may-jul,NA,perennial
Digitaria parviflora,feb-jul,NA,perennial
Digitaria porrecta,feb-jul,NA,perennial
Digitaria ramularis,feb-jun,NA,perennial
Digitaria setigera,feb-apr,NA,annual
Digitaria sharpeana,NA,NA,perennial
Digitaria stenostachya,feb-mar,NA,annual
Digitaria veldkampiana,NA,NA,perennial
Dimeria acinaciformis,may-aug,NA,annual
Dimeria chloridiformis,nov,NA,perennial
Dimeria ornithopoda,apr-sep,NA,annual
Distichlis distichophylla,dec-feb,NA,perennial
Dryopoa dives,NA,NA,perennial
Echinochloa dietrichiana,NA,NA,annual
Echinochloa elliptica,all year,NA,annual
Echinochloa inundata,feb-jul,NA,annual
Echinochloa kimberleyensis,feb-jul,NA,annual
Echinochloa lacunaria,apr-sep,NA,annual
Echinochloa macrandra,mar-apr,NA,annual
Echinochloa picta,NA,NA,perennial
Echinochloa telmatophila,dec-apr,NA,NA
Echinochloa turneriana,mar-jul,NA,annual
Echinopogon caespitosus,sep-feb,NA,perennial
Echinopogon caespitosus var. caespitosus,sep-feb,NA,perennial
Echinopogon caespitosus var. cunninghamii,sep-feb,NA,perennial
Echinopogon cheelii,nov-mar,NA,perennial
Echinopogon intermedius,jan-feb,NA,perennial
Echinopogon mckiei,jan-feb,NA,perennial
Echinopogon nutans,NA,NA,perennial
Echinopogon nutans var. major,NA,NA,perennial
Echinopogon nutans var. nutans,NA,NA,perennial
Echinopogon ovatus,aug-jan,NA,perennial
Echinopogon phleoides,sep-feb,NA,perennial
Ectrosia agrostoides,NA,NA,annual
Ectrosia anomala,NA,NA,annual
Ectrosia appressa,NA,NA,NA
Ectrosia blakei,NA,NA,annual
Ectrosia confusa,NA,NA,annual
Ectrosia danesii,NA,NA,annual
Ectrosia gulliveri,NA,NA,annual
Ectrosia lasioclada,NA,NA,annual/perennial
Ectrosia laxa,NA,NA,annual
Ectrosia leporina,NA,NA,annual/perennial
Ectrosia nervilemma,NA,NA,annual
Ectrosia ovata,NA,NA,annual
Ectrosia scabrida,NA,NA,annual
Ectrosia schultzii,NA,NA,annual/perennial
Ectrosia schultzii var. annua,NA,NA,annual/perennial
Ectrosia schultzii var. schultzii,NA,NA,annual/perennial
Elionurus citreus,dec-oct,NA,perennial
Elymus multiflorus,NA,NA,perennial
Elymus rectisetus,NA,NA,perennial
Elytrophorus spicatus,apr-jul,NA,annual
Enneapogon asperatus,NA,NA,annual/perennial
Enneapogon avenaceus,NA,NA,annual/perennial
Enneapogon caerulescens,NA,NA,annual/perennial
Enneapogon cylindricus,mar-aug/ephemeral,NA,perennial
Enneapogon decipiens,NA,NA,perennial
Enneapogon eremophilus,NA,NA,perennial
Enneapogon gracilis,NA,NA,annual/perennial
Enneapogon intermedius,NA,NA,perennial
Enneapogon lindleyanus,NA,NA,annual/perennial
Enneapogon nigricans,NA,NA,perennial
Enneapogon pallidus,NA,NA,perennial
Enneapogon polyphyllus,NA,NA,annual/perennial
Enneapogon purpurascens,NA,NA,annual/perennial
Enneapogon robustissimus,NA,NA,perennial
Enneapogon truncatus,NA,NA,perennial
Enneapogon virens,NA,NA,perennial
Enteropogon acicularis,NA,NA,perennial
Enteropogon dolichostachyus,NA,NA,perennial
Enteropogon minutus,NA,NA,perennial
Enteropogon paucispiceus,NA,NA,perennial
Enteropogon ramosus,NA,NA,perennial
Enteropogon unispiceus,NA,NA,perennial
Entolasia marginata,all year,NA,perennial
Entolasia minutifolia,NA,NA,perennial
Entolasia stricta,all year,NA,perennial
Entolasia whiteana,all year,NA,perennial
Eragrostiella bifaria,NA,NA,perennial
Eragrostiella bifaria var. bifaria,NA,NA,perennial
Eragrostis alveiformis,all year,NA,perennial
Eragrostis australasica,all year,NA,perennial
Eragrostis basedowii,all year,NA,annual
Eragrostis brownii,all year,NA,perennial
Eragrostis capitula,jun,NA,perennial
Eragrostis cassa,may,NA,perennial
Eragrostis concinna,apr-aug,NA,perennial
Eragrostis confertiflora,apr-sep,NA,annual
Eragrostis crateriformis,jan-jul,NA,annual
Eragrostis cumingii,all year,NA,annual/perennial
Eragrostis desertorum,mar-aug/nov-jan,NA,perennial
Eragrostis dielsii,all year,NA,annual/perennial
Eragrostis ecarinata,jun-jul,NA,perennial
Eragrostis elongata,all year,NA,perennial
Eragrostis eriopoda,all year,NA,perennial
Eragrostis exigua,dec-jul,NA,annual
Eragrostis falcata,all year,NA,perennial
Eragrostis fallax,all year,NA,perennial
Eragrostis fenshamii,NA,NA,perennial
Eragrostis filicaulis,apr-sep,NA,perennial
Eragrostis hirticaulis,feb-mar,NA,perennial
Eragrostis infecunda,apr-feb,NA,perennial
Eragrostis interrupta,all year,NA,perennial
Eragrostis jacobsiana,NA,NA,annual
Eragrostis jerichoensis,NA,NA,perennial
Eragrostis kennedyae,jan-nov,NA,perennial
Eragrostis lacunaria,all year,NA,annual/perennial
Eragrostis lanicaulis,mar-may/aug-oct,NA,perennial
Eragrostis laniflora,all year,NA,perennial
Eragrostis lanipes,jul-oct,NA,perennial
Eragrostis leptocarpa,all year,NA,annual/perennial
Eragrostis leptostachya,all year,NA,perennial
Eragrostis longipedicellata,dec-aug,NA,perennial
Eragrostis megalosperma,dec-jul,NA,perennial
Eragrostis microcarpa,all year,NA,perennial
Eragrostis olida,all year,NA,perennial
Eragrostis parviflora,all year,NA,annual/perennial
Eragrostis pergracilis,all year,NA,annual/perennial
Eragrostis petraea,may-jun,NA,perennial
Eragrostis potamophila,all year,NA,perennial
Eragrostis pubescens,all year,NA,perennial
Eragrostis rigidiuscula,jan-may,NA,perennial
Eragrostis schultzii,all year,NA,perennial
Eragrostis setifolia,all year,NA,perennial
Eragrostis sororia,all year,NA,perennial
Eragrostis spartinoides,all year,NA,perennial
Eragrostis speciosa,all year,NA,perennial
Eragrostis stagnalis,all year,NA,perennial
Eragrostis stenostachya,may-oct,NA,perennial
Eragrostis sterilis,feb-sep,NA,perennial
Eragrostis subtilis,dec-jan,NA,perennial
Eragrostis tenellula,jan-oct,NA,annual
Eragrostis trachycarpa,dec-aug,NA,perennial
Eragrostis triquetra,dec-jun,NA,perennial
Eragrostis unioloides,apr-aug,NA,annual
Eragrostis uvida,apr,NA,annual/perennial
Eragrostis xerophila,all year,NA,perennial
Eremochloa bimaculata,oct-may,NA,perennial
Eremochloa ciliaris,jan/jun,NA,perennial
Eremochloa muricata,feb,NA,perennial
Eriachne agrostidea,feb-may,NA,annual
Eriachne aristidea,all year,NA,annual/perennial
Eriachne armittii,feb-jun,NA,annual || perennial
Eriachne avenacea,jan-oct,NA,annual/perennial
Eriachne axillaris,mar-jun,NA,annual/perennial
Eriachne basalis,apr-jun,NA,annual
Eriachne basedowii,mar-aug,NA,perennial
Eriachne benthamii,dec-sep,NA,perennial
Eriachne bleeseri,sep-nov,NA,perennial
Eriachne burkittii,mar-jul,NA,annual/perennial
Eriachne capillaris,feb-jul,NA,annual
Eriachne ciliata,feb-may,NA,annual
Eriachne compacta,mar-jun,NA,annual
Eriachne fastigiata,feb-jun,NA,annual
Eriachne festucacea,mar-sep,NA,perennial
Eriachne filiformis,apr-jul,NA,annual
Eriachne flaccida,mar-sep,NA,perennial
Eriachne gardneri,NA,NA,perennial
Eriachne glabrata,dec-jul,NA,perennial
Eriachne glandulosa,dec-feb,NA,perennial
Eriachne glauca,NA,NA,perennial
Eriachne glauca var. barbinodis,NA,NA,perennial
Eriachne glauca var. glauca,NA,NA,perennial
Eriachne helmsii,dec-may,NA,perennial
Eriachne humilis,mar-may,NA,annual
Eriachne imbricata,jul,NA,perennial
Eriachne insularis,dec-apr,NA,perennial
Eriachne lanata,apr-aug,NA,perennial
Eriachne major,apr-may,NA,perennial
Eriachne melicacea,feb-sep,NA,annual/perennial
Eriachne minuta,apr-jul,NA,annual
Eriachne mucronata,aug-sep,NA,perennial
Eriachne nervosa,feb-oct,NA,perennial
Eriachne nodosa,feb-sep,NA,annual
Eriachne obtusa,dec-aug,NA,perennial
Eriachne ovata,jun-oct,NA,perennial
Eriachne pallescens,NA,NA,perennial
Eriachne pallescens var. gracilis,NA,NA,perennial
Eriachne pallescens var. pallescens,NA,NA,perennial
Eriachne pauciflora,jan-sep,NA,annual/perennial
Eriachne pulchella,all year,NA,annual/perennial
Eriachne pulchella subsp. dominii,all year,NA,annual/perennial
Eriachne pulchella subsp. pulchella,all year,NA,annual/perennial
Eriachne rara,feb-may,NA,perennial
Eriachne schultziana,mar-jul,NA,perennial
Eriachne scleranthoides,aug-oct,NA,perennial
Eriachne semiciliata,feb-jun,NA,annual
Eriachne squarrosa,apr-jul,NA,perennial
Eriachne stipacea,mar-aug,NA,annual/perennial
Eriachne sulcata,mar-aug,NA,perennial
Eriachne tenuiculmis,may-jun,NA,perennial
Eriachne triodioides,jul-oct,NA,perennial
Eriachne triseta,dec-aug,NA,perennial
Eriachne vesiculosa,apr-aug,NA,perennial
Eriochloa australiensis,feb-jul,NA,annual/perennial
Eriochloa crebra,feb-jun,NA,perennial
Eriochloa fatmensis,jan-may,NA,annual/perennial
Eriochloa procera,all year,NA,annual/perennial
Eriochloa pseudoacrotricha,NA,NA,perennial
Eulalia annua,apr-may,NA,annual
Eulalia aurea,nov-sep,NA,perennial
Eulalia mackinlayi,feb-jul,NA,perennial
Eulalia trispicata,dec-jul,NA,perennial
Festuca asperula,dec-feb,NA,perennial
Festuca benthamiana,NA,NA,perennial
Festuca muelleri,dec-mar,NA,perennial
Festuca plebeia,dec-feb,NA,perennial
Garnotia stricta,nov-jul,NA,perennial
Garnotia stricta var. longiseta,nov-jul,NA,perennial
Germainia capitata,jan-mar,NA,perennial
Germainia grandiflora,sep-jul,NA,perennial
Germainia truncatiglumis,jul-oct,NA,perennial
Glyceria australis,nov-jan,NA,perennial
Glyceria drummondii,oct,NA,annual
Glyceria latispicea,sep-feb,NA,NA
Hemarthria uncinata,NA,NA,perennial
Hemarthria uncinata var. spathacea,NA,NA,perennial
Hemarthria uncinata var. uncinata,NA,NA,perennial
Heterachne abortiva,NA,NA,NA
Heterachne baileyi,NA,NA,annual
Heterachne gulliveri,NA,NA,annual
Heterachne gulliveri var. gulliveri,NA,NA,annual
Heterachne gulliveri var. major,NA,NA,annual
Heteropogon contortus,all year,NA,perennial
Heteropogon triticeus,dec-oct,NA,perennial
Hierochloe fraseri,jan-mar,NA,perennial
Hierochloe rariflora,jul-dec,NA,perennial
Hierochloe redolens,dec-feb,NA,perennial
Hierochloe submutica,dec-feb,NA,perennial
Holcolemma dispar,mar-jul,NA,perennial
Homopholis belsonii,feb-may,NA,perennial
Hookerochloa eriopoda,nov-feb,NA,perennial
Hookerochloa hookeriana,nov-mar,NA,perennial
Hygrochloa aquatica,jan-jul,NA,annual/perennial
Hygrochloa cravenii,NA,NA,annual
Hymenachne acutigluma,all year,NA,perennial
Hyparrhenia filipendula,nov-jun,NA,perennial
Isachne confusa,may-oct,NA,perennial
Isachne globosa,all year,NA,annual/perennial
Isachne myosotis,NA,NA,annual
Isachne sharpii,NA,NA,annual
Ischaemum afrum,NA,NA,perennial
Ischaemum albovillosum,NA,NA,perennial
Ischaemum australe,NA,NA,perennial
Ischaemum australe var. arundinaceum,NA,NA,perennial
Ischaemum australe var. australe,NA,NA,perennial
Ischaemum australe var. villosum,NA,NA,perennial
Ischaemum barbatum,apr,NA,perennial
Ischaemum decumbens,apr-oct,NA,annual
Ischaemum fragile,apr-dec,NA,perennial
Ischaemum muticum,feb-nov,NA,perennial
Ischaemum polystachyum,feb,NA,perennial
Ischaemum rugosum,NA,NA,annual
Ischaemum rugosum var. rugosum,NA,NA,annual
Ischaemum rugosum var. segetum,NA,NA,annual
Ischaemum triticeum,jul-may,NA,annual/perennial
Ischaemum tropicum,mar-apr,NA,perennial
Iseilema calvum,jan-may,NA,annual
Iseilema ciliatum,apr-jun,NA,annual
