Family,Species,Habitats,Gill category,Primary juvenile period,Secondary juvenile period,Growth form,Site,not_in_Clarke_2015,seed_storage_location,resprouting_capacity,regen_strategy
Asteraceae,Cassinia leptocephala subsp. leptocephala,GW,II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Asteraceae,Cassinia quinquefaria,"DSF, GW",II,NA,4,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Asteraceae,Cassinia straminea,DSF,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Asteraceae,Cassinia telfordii,WSF,II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Asteraceae,Olearia alpicola,"WSF, DSF",V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Asteraceae,Olearia covenyi,WSF,V,6,3,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Asteraceae,Olearia cydoniifolia,"WSF, RF",V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Asteraceae,Olearia gravis,DSF,II,2,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Asteraceae,Olearia microphylla,"GW, DSF",V,NA,3,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Asteraceae,Olearia myrsinoides,"DSF, GW",V,NA,2,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Asteraceae,Olearia nernstii,WSF,II,4,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Asteraceae,Olearia oppositifolia,"WSF, DSF, GW",V,7,3,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Asteraceae,Olearia phlogopappa,"DSF, WH",II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Asteraceae,Olearia ramosissima,"GW, DSF",V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Asteraceae,Olearia rosmarinifolia,GW,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Asteraceae,Olearia sp. aff. elliptica,"DSF, GW",V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Asteraceae,Olearia viscidula,"GW, DSF",V,NA,2,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Asteraceae,Ozothamnus adnatus,GW,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Asteraceae,Ozothamnus diosmifolius,"DSF, GW, WSF",IV,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,bud-bearing_root
Asteraceae,Ozothamnus diosmifolius,"RO, DSF",II,4,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Asteraceae,Ozothamnus obcordatus (obligate seeding pops.),RO,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Asteraceae,Ozothamnus obcordatus (resprouting pops.),GW,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Asteraceae,Ozothamnus rufescens,"WSF, RF",II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Asteraceae,Ozothamnus sp. 'Basket swamp',WH,V,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Atherospermataceae,Doryphora sassafras,"RF, WSF",V,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Berberidopsidaceae,Berberidopsis beckleri,RF,II,NA,NA,Vine,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Bignoniaceae,Pandorea pandorana,"RF, WSF",V,NA,NA,Vine,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Cannabaceae,Trema tomentosa var. viridis,WSF,V,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Casuarinaceae,Allocasuarina brachystachya,"WH, DSF",V,7,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Casuarinaceae,Allocasuarina inophloia,DSF,VI,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Casuarinaceae,Allocasuarina littoralis,"WSF, DSF, GW",VI,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Casuarinaceae,Allocasuarina littoralis (Swamp form),WH,V,NA,3,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Casuarinaceae,Allocasuarina rigida subsp. rigida,"RO, DSF",I,5,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,canopy,fire_killed,NA
Casuarinaceae,Allocasuarina torulosa,"WSF, DSF",VI,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Celastraceae,Celastrus subspicatus,RF,II,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Celastraceae,Denhamia celastroides,RF,V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Celastraceae,Maytenis bilocularis,"RF, WSF",V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Celastraceae,Maytenus silvestris,WSF,V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Cunoniaceae,Ackama paniculata,RF,V,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Cunoniaceae,Bauera rubioides,"WH, DSF",II,6,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Cunoniaceae,Callicoma serratifolia,"RF, WSF",V,NA,5,Tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Cunoniaceae,Ceratopetalum apetalum,RF,"V, VI",NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds stem_buds
Cunoniaceae,Schizomeria ovata,RF,"V, VII",NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds apical_buds
Cupressaceae,Callitris endlicheri,"DSF, RO",I,7,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,canopy,fire_killed,NA
Cupressaceae,Callitris monticola,"RO, DSF",I,9,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,canopy,fire_killed,NA
Cupressaceae,Callitris oblonga subsp. parva,DSF,I,8,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,canopy,fire_killed,NA
Dilleneaceae,Hibbertia acicularis s.l.,"DSF, GW",V,NA,3,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Dilleneaceae,Hibbertia aspera,"WSF, DSF",V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Dilleneaceae,Hibbertia cistoidea,DSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Dilleneaceae,Hibbertia dentata,WSF,"V, VI",NA,NA,Vine,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds stem_buds
Dilleneaceae,Hibbertia empetrifolia,WSF,V,NA,1,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Dilleneaceae,Hibbertia linearis,GW,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Dilleneaceae,Hibbertia obtusifolia s.l.,"DSF, GW, WSF",V,NA,4,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Dilleneaceae,Hibbertia rhynchocalyx,"DSF, WSF",II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Dilleneaceae,Hibbertia riparia (Gibraltar Range form),DSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Dilleneaceae,Hibbertia riparia (Grassy woodlands form),GW,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Dilleneaceae,Hibbertia riparia s.l.,"DSF, GW, WSF",V,NA,2,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Dilleneaceae,Hibbertia scandens var. glabra,WSF,VI,NA,2,Vine,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,stem_buds
Dilleneaceae,Hibbertia scandens var. scandens,WSF,V,NA,2,Vine,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Dilleneaceae,Hibbertia serpyllifolia,DSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Dilleneaceae,Hibbertia sp. aff. obtusifolia,DSF,II,6,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Dilleneaceae,Hibbertia sp. aff. rufa,WH,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Dilleneaceae,Hibbertia sp. B sens. Fl. Nsw,RO,II,8,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Dilleneaceae,Hibbertia vestita s.l.,"WH, WSF",V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Dilleneaceae,Hibbertia villosa,"RO, DSF",II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Ebenaceae,Diospyros australis,RF,V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Elaeocarpaceae,Aristotelia australasica,RF,V,NA,NA,Vine,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Elaeocarpaceae,Elaeocarpus reticulatus,"WSF, DSF",V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Elaeocarpaceae,Sloanea woollsii,RF,II,NA,NA,Tree,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Elaeocarpaceae,Tetratheca thymifolia,DSF,II,7,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Ericaceae,Acrotriche aggregata,"WSF, RF",V,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Ericaceae,Agiortia cicatricata,RO,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Ericaceae,Brachyloma daphnoides subsp. glabrum,"DSF, GW",V,NA,3,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Ericaceae,Brachyloma saxicola,RO,II,8,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Ericaceae,Epacris breviflora,WH,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Ericaceae,Epacris longiflora,"DSF, WH",II,4,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Ericaceae,Epacris microphylla = gunnii,DSF,V,NA,2,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Ericaceae,Epacris obtusifolia,WH,II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Ericaceae,Leucopogon attenuatus,DSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Ericaceae,Leucopogon biflorus,"RO, DSF",II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Ericaceae,Leucopogon hookeri,"GW, DSF",V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Ericaceae,Leucopogon lanceolatus subsp. lanceolatus,"WSF, DSF, GW",V,6,3,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Ericaceae,Leucopogon melaleucoides,DSF,V,NA,2,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Ericaceae,Leucopogon microphyllus var. pilibundus,"DSF, RO",II,4,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Ericaceae,Leucopogon muticus,"DSF, RO",II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Ericaceae,Leucopogon neo-anglicus,"RO, DSF",II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Ericaceae,Leucopogon sp. aff. apressus,"RO, DSF",II,4,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Ericaceae,Leucopogon sp. aff. fraseri,"GW, WSF",V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Ericaceae,Leucopogon virgatus,DSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Ericaceae,Lissanthe strigosa subsp. subulata,"GW, DSF",IV,NA,2,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,bud-bearing_root
Ericaceae,Melichrus erubescens,DSF,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Ericaceae,Melichrus procumbens,DSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Ericaceae,Melichrus urceolatus,"DSF, GW",V,NA,2,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Ericaceae,Monotoca scoparia,"DSF, GW, WSF",V,6,2,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Ericaceae,Sprengelia incarnata,WH,II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Ericaceae,Styphelia perileuca,"RO, DSF",II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Ericaceae,Styphelia triflora,DSF,II,7,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Ericaceae,Trochocarpa laurina,WSF,V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Ericaceae,Trochocarpa montana,"WSF, RF",V,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Escalloniaceae,Anopteris macleayanus,RF,V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Euphorbiaceae,Amperea xiphoclada var. xiphoclada,DSF,V,NA,2,Sub-shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Euphorbiaceae,Claoxylon australe,"RF, WSF",V,NA,NA,Small tree,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Euphorbiaceae,Homalanthus nutans,WSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Euphorbiaceae,Homalanthus populifolius,"RF, WSF",V,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Euphorbiaceae,Ricinocarpus speciosus,DSF,V,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Eupomatiaceae,Eupomatia laurina,"RF, WSF",V,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Almaleea cambagei,WH,V,NA,3,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Aotus ericiodes,DSF,V,NA,2,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Aotus subglauca var. subglauca,DSF,V,4,2,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Bossiaea neo-anglica,"DSF, WSF",V,NA,2,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Bossiaea obcordata,DSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Bossiaea prostrata,GW,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Bossiaea rhombifolia subsp. rhombifolia,"DSF, RO",II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Faboideae,Bossiaea scortechinii,"DSF, GW, WSF",V,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Davesia villifera,DSF,II,3,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Fabaceae-Faboideae,Daviesia acicularis,"RO, DSF",II,2,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Faboideae,Daviesia elliptica,"DSF, WSF",II,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Fabaceae-Faboideae,Daviesia genistifolia,GW,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Daviesia latifolia,"GW, DSF, WSF",V,5,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Daviesia mimosoides subsp. mimosoides,DSF,V,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Daviesia nova-anglica,DSF,II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Faboideae,Daviesia ulicifolia subsp. ulicifolia,"GW, DSF",II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Faboideae,Daviesia umbellulata,DSF,II,4,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Faboideae,Desmodium rhytidophyllum,"GW, DSF",V,NA,NA,Twinner,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Dillwynia phylicoides,DSF,V,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Dillwynia phylicoides,"DSF, RO",II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Faboideae,Dillwynia rupestris,"RO, DSF",II,5,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Faboideae,Dillwynia sericea,DSF,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Faboideae,Dillwynia sieberi,GW,V,NA,3,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Dillwynia sieberi,"GW, DSF",II,5,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Faboideae,Glycine clandestina,DSF,V,NA,2,Twinner,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Gompholobium heugelii,DSF,V,NA,3,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Gompholobium heugelii,DSF,II,NA,NA,Sub-shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Fabaceae-Faboideae,Gompholobium inconspicum,DSF,II,NA,NA,Sub-shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Fabaceae-Faboideae,Gompholobium latifolium,DSF,II,3,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Faboideae,Gompholobium uncinatum,DSF,II,5,NA,Sub-shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Faboideae,Gompholobium virgatum var. aspalathoides,DSF,II,NA,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Faboideae,Goodia lotifolia var. lotifolia,WSF,IV,NA,4,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,bud-bearing_root
Fabaceae-Faboideae,Hardenbergia violacea,"DSF, GW",V,5,3,Twinner,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Hardenbergia violacea (obligate seeder pop.),"WSF, DSF",II,NA,NA,Twinner,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Fabaceae-Faboideae,Hovea apiculata,RO,II,4,3,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Fabaceae-Faboideae,Hovea graniticola,RO,II,6,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Fabaceae-Faboideae,Hovea heterophylla,"GW, DSF",V,NA,3,Sub-shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Hovea lanceolata,"RO, DSF",II,4,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Faboideae,Hovea pedunculata,"RO, DSF",II,3,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Faboideae,Indigofera adesmiifolia,"GW, DSF",V,NA,5,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Indigofera australis,"RO, DSF, WSF, GW",IV,NA,4,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,bud-bearing_root
Fabaceae-Faboideae,Jacksonia scoparia,"GW, DSF, WSF",V,4,2,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Kennedia rubicunda,DSF,V,NA,3,Twinner,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Lezpedeza juncea subsp. sericea,GW,V,NA,3,Sub-shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Mirbelia confertiflora,RO,V,NA,3,Tall shrub,"New England Tableland Bioregion, eastern Australia",NA,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Mirbelia pungens,RO,II,2,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Faboideae,Mirbelia rubiifolia,"DSF, RO",II,3,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Fabaceae-Faboideae,Mirbelia speciosa subsp. speciosa,"RO, DSF",II,6,NA,Low shrub,"New England Tableland Bioregion, eastern Australia",NA,soil,fire_killed,NA
Fabaceae-Faboideae,Oxylobium arborescens (Gibraltar Range form),DSF,V,NA,4,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Oxylobium arborescens (Tall form),"RO, DSF",II,NA,NA,Tall shrub,"New England Tableland Bioregion, eastern Australia",x,soil,fire_killed,NA
Fabaceae-Faboideae,Phyllota phylicoides,DSF,V,4,3,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
Fabaceae-Faboideae,Podolobium aestivum,DSF,V,NA,3,Low shrub,"New England Tableland Bioregion, eastern Australia",x,NA,resprouts,basal_stem_buds
