original_name,cleaned_name,aligned_name,taxonomic_dataset,taxon_rank,aligned_reason,alignment_code
Eucalyptus spp,Eucalyptus sp.,"Eucalyptus sp. [Barrett_2009, Nuytsland]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Eucalyptus spp,Eucalyptus sp.,"Eucalyptus sp. [Barrett_2009, Yilgarn East]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Frankenia spp,Frankenia sp.,"Frankenia sp. [Barrett_2009, Yilgarn East]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Grevillea spp,Grevillea sp.,"Grevillea sp. [Barrett_2009, Yilgarn East]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Juncus spp,Juncus sp.,"Juncus sp. [Barrett_2009, Forest Mosaic]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Keraudrenia sp..,Keraudrenia sp.,"Keraudrenia sp. [Barrett_2009, Albany Fraser Inland East]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Leucopogon spp,Leucopogon sp.,"Leucopogon sp. [Barrett_2009, Nuytsland]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Meeboldina spp,Meeboldina sp.,"Meeboldina sp. [Barrett_2009, Forest Mosaic]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Melaleuca spp,Melaleuca sp.,"Melaleuca sp. [Barrett_2009, Yilgarn East]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Schoenus spp,Schoenus sp.,"Schoenus sp. [Barrett_2009, Forest Mosaic]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Sphaerolobium spp,Sphaerolobium sp.,"Sphaerolobium sp. [Barrett_2009, Forest Mosaic]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Thomasia sp.,Thomasia sp.,"Thomasia sp. [Barrett_2009, Coastal dynamic]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Verticordia spp,Verticordia sp.,"Verticordia sp. [Barrett_2009, Nuytsland]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Verticordia spp,Verticordia sp.,"Verticordia sp. [Barrett_2009, Yilgarn East]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Westringia spp,Westringia sp.,"Westringia sp. [Barrett_2009, Mallee Lakes]",APC,genus,Exact match of taxon name ending with `sp.` to an APC genus (2025-02-10),match_02a_exact_genus_accepted_or_synonym
Dodanaea spp,Dodanaea sp.,"Dodonaea sp. [Barrett_2009, Nuytsland]",APC,genus,Fuzzy match of taxon name ending with `sp.` to an APC-accepted genus (2025-02-10),match_02b_fuzzy_genus_accepted
Callistachys lanceolatum / sp South Coast,Callistachys lanceolatum / sp. South Coast,"Callistachys sp. [Callistachys lanceolatum / sp. South Coast; Barrett_2009, Forest Mosaic]",APC,genus,Exact match to APC genus. Taxon name includes '/' (slash) indicating an uncertain species identification but an accepted genus and taxon can only be aligned to genus-rank (2025-02-10),match_04a_indecision_accepted_or_synonym_genus
Acacia sulcata subsp. sulcata,Acacia sulcata subsp. sulcata,Acacia sulcata var. sulcata,APC,variety,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Acacia sulcata subsp. sulcata,Acacia sulcata subsp. sulcata,Acacia sulcata var. sulcata,APC,variety,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Acacia tryptycha,Acacia tryptycha,Acacia triptycha,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Acacia unifillis,Acacia unifillis,Acacia unifissilis,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Adeanthos cuneatus,Adeanthos cuneatus,Adenanthos cuneatus,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Adenanthos eyri,Adenanthos eyri,Adenanthos eyrei,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Adenanthos labilliardierei,Adenanthos labilliardierei,Adenanthos labillardierei,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Adenanthos sericeous,Adenanthos sericeous,Adenanthos sericeus,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Allocasuarina hystericosa,Allocasuarina hystericosa,Allocasuarina hystricosa,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Allocasuarina microstachys,Allocasuarina microstachys,Allocasuarina microstachya,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Allocasuarina sclerocalda,Allocasuarina sclerocalda,Allocasuarina scleroclada,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Andersonia hammerslyeana,Andersonia hammerslyeana,Andersonia hammersleyana,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Apium prostratum subsp. phillipi,Apium prostratum subsp. phillipi,Apium prostratum subsp. phillipii,APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Banksia alliaceae,Banksia alliaceae,Banksia alliacea,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Banksia armata subsp. ignicida,Banksia armata subsp. ignicida,Banksia armata var. ignicida,APC,variety,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Banksia calyei,Banksia calyei,Banksia caleyi,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Banskia calophylla,Banskia calophylla,Banksia calophylla,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Banksa cirsioides,Banksa cirsioides,Banksia cirsioides,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Banksia cirsiodes,Banksia cirsiodes,Banksia cirsioides,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Banksia dryandoides,Banksia dryandoides,Banksia dryandroides,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Banksia dyandroides,Banksia dyandroides,Banksia dryandroides,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Banksia erythrocaephala,Banksia erythrocaephala,Banksia erythrocephala,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Bnaksia grandis,Bnaksia grandis,Banksia grandis,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Banksia lemmaniana,Banksia lemmaniana,Banksia lemanniana,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Banksia lepidorrhiza,Banksia lepidorrhiza,Banksia lepidorhiza,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Banksia meisnerii,Banksia meisnerii,Banksia meisneri,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Banksia nutans subsp. nutans,Banksia nutans subsp. nutans,Banksia nutans var. nutans,APC,variety,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Bankisa plumosa subsp. denticulata,Bankisa plumosa subsp. denticulata,Banksia plumosa subsp. denticulata,APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Banksia rufa subsp. pumilo,Banksia rufa subsp. pumilo,Banksia rufa subsp. pumila,APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Banksia sphaerocarpa subsp. sphaerocarpa,Banksia sphaerocarpa subsp. sphaerocarpa,Banksia sphaerocarpa var. sphaerocarpa,APC,variety,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Banksia violaceae,Banksia violaceae,Banksia violacea,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Beaufortia cyrodonta,Beaufortia cyrodonta,Beaufortia cyrtodonta,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Borya longioscapa,Borya longioscapa,Borya longiscapa,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Callistachys lanceolatum,Callistachys lanceolatum,Callistachys lanceolata,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Calothamus gracilis,Calothamus gracilis,Calothamnus gracilis,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Calothamnus quadridus,Calothamnus quadridus,Calothamnus quadrifidus,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Choralaena quercifolia,Choralaena quercifolia,Chorilaena quercifolia,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Conospermum distichium,Conospermum distichium,Conospermum distichum,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Conospermum leianthumssp leianthum,Conospermum leianthumssp leianthum,Conospermum leianthum subsp. leianthum,APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Davieisa argillaceae,Davieisa argillaceae,Daviesia argillacea,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Davieisa lancifolia,Davieisa lancifolia,Daviesia lancifolia,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Davieisa nematophylla,Davieisa nematophylla,Daviesia nematophylla,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Daviesia sarrissa,Daviesia sarrissa,Daviesia sarissa,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Daviesia spinossisima,Daviesia spinossisima,Daviesia spinosissima,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Davieisa teretifolia,Davieisa teretifolia,Daviesia teretifolia,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Desmocladus flexuosa,Desmocladus flexuosa,Desmocladus flexuosus,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Dodanaea ceratocarpa,Dodanaea ceratocarpa,Dodonaea ceratocarpa,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Dodanaea stenozyga,Dodanaea stenozyga,Dodonaea stenozyga,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Dodanaea viscosa,Dodanaea viscosa,Dodonaea viscosa,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Eucalyptus bupestrium,Eucalyptus bupestrium,Eucalyptus buprestium,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Eucalytpus decurva,Eucalytpus decurva,Eucalyptus decurva,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Eucalyptus dolichoryncha,Eucalyptus dolichoryncha,Eucalyptus dolichorhyncha,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Eucalyptus garderni,Eucalyptus garderni,Eucalyptus gardneri,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Eucalyptus gonaiantha,Eucalyptus gonaiantha,Eucalyptus goniantha,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Eucalytpus kessellii,Eucalytpus kessellii,Eucalyptus kessellii,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Eucalyptus lehamanii,Eucalyptus lehamanii,Eucalyptus lehmannii,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Eucalyptus lehmanii subsp. parallela,Eucalyptus lehmanii subsp. parallela,Eucalyptus lehmannii subsp. parallela,APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Eucalytpus leptocalyx,Eucalytpus leptocalyx,Eucalyptus leptocalyx,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Eucalytpus ligulata subsp. stirlingica,Eucalytpus ligulata subsp. stirlingica,Eucalyptus ligulata subsp. stirlingica,APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Eucalytus ligulata subsp. stirlingica,Eucalytus ligulata subsp. stirlingica,Eucalyptus ligulata subsp. stirlingica,APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Eucalyptus newbyii,Eucalyptus newbyii,Eucalyptus newbeyi,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Eucalyptus ocidentalis,Eucalyptus ocidentalis,Eucalyptus occidentalis,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Eucalytpus occidentalis,Eucalytpus occidentalis,Eucalyptus occidentalis,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Eucalytpus oleosa,Eucalytpus oleosa,Eucalyptus oleosa,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Eucalyptus praeterissima,Eucalyptus praeterissima,Eucalyptus praetermissa,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Eucalypyus protensa,Eucalypyus protensa,Eucalyptus protensa,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Eucalytpus rudis,Eucalytpus rudis,Eucalyptus rudis,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Eucalytpus staeri,Eucalytpus staeri,Eucalyptus staeri,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Eycalyptus sweedmaniana,Eycalyptus sweedmaniana,Eucalyptus sweedmaniana,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Eucalyptus tetragona,Eucalyptus tetragona,Eucalyptus tetrodonta,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Eucalyptus uncinatus,Eucalyptus uncinatus,Eucalyptus uncinata,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Eucalyptus virgineae,Eucalyptus virgineae,Eucalyptus virginea,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Exocarpus aphyllus,Exocarpus aphyllus,Exocarpos aphyllus,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Exocarpus odoratus,Exocarpus odoratus,Exocarpos odoratus,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Gahnia trida,Gahnia trida,Gahnia trifida,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Gastrolobium muscaeum,Gastrolobium muscaeum,Gastrolobium musaceum,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Grevillea concinna subsp. lehamanniana,Grevillea concinna subsp. lehamanniana,Grevillea concinna subsp. lemanniana,APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Grevillea didymobotyra,Grevillea didymobotyra,Grevillea didymobotrya,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Grevillea fasiculata,Grevillea fasiculata,Grevillea fasciculata,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Grevillea huegellii,Grevillea huegellii,Grevillea huegelii,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Grevilliea plurijuga,Grevilliea plurijuga,Grevillea plurijuga,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Hakea drupaceae,Hakea drupaceae,Hakea drupacea,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Hakea scoparia subsp. trycheria,Hakea scoparia subsp. trycheria,Hakea scoparia subsp. trycherica,APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Hemigena humilis,Hemigena humilis,Hemigenia humilis,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Hemigena podlyarina,Hemigena podlyarina,Hemigenia podalyrina,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Homalaspermum firmum,Homalaspermum firmum,Homalospermum firmum,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Isopogon attentuatus,Isopogon attentuatus,Isopogon attenuatus,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Kunzea cinncinata,Kunzea cinncinata,Kunzea cincinnata,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Kunzea similis subsp. mediterraneae,Kunzea similis subsp. mediterraneae,Kunzea similis subsp. mediterranea,APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Lasiopetalum sp. Desmond N McQuoid 653,Lasiopetalum sp. Desmond N McQuoid 653,Lasiopetalum sp. Desmond (N.McQuoid 653),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Laxamnnia grandiflora subsp. brendae,Laxamnnia grandiflora subsp. brendae,Laxmannia grandiflora subsp. brendae,APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Lepidosperma effusem,Lepidosperma effusem,Lepidosperma effusum,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Leptospermum conferetum,Leptospermum conferetum,Leptospermum confertum,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Melaleuca acuimnata,Melaleuca acuimnata,Melaleuca acuminata,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Melaleuca cliffortoides,Melaleuca cliffortoides,Melaleuca cliffortioides,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Melaleuca glaberimma,Melaleuca glaberimma,Melaleuca glaberrima,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Melaleuca globiferra,Melaleuca globiferra,Melaleuca globifera,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Melalaueca nesophila,Melalaueca nesophila,Melaleuca nesophila,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Melaleuca pentagona subsp. latifolia,Melaleuca pentagona subsp. latifolia,Melaleuca pentagona var. latifolia,APC,variety,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
Melaleuca pentagona subsp. raggedensis,Melaleuca pentagona subsp. raggedensis,Melaleuca pentagona var. raggedensis,APC,variety,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-10),match_05a_fuzzy_accepted_canonical_name
