Family,taxon_name,scraped_name,Diaspore class,Life form,Habitat class,Seed diameter (mm),BFG 1 (%),BFG2 (%),BFG3 (%),BFG4 (%),BFG5 (%),BFG6 (%),Location,aligned_name,suggested_name,aligned_reason,taxonomic_status
Amaranthaceae,Deeringia amaranthoides,Deeringia amaranthoides,ae,sclim,3,1,0,4,14,7,13,8,"Southeast Queensland, humid subtropical rainforests",Deeringia amaranthoides,Deeringia amaranthoides,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Amaranthaceae,Deeringia arborescens,Deeringia arborescens,ae,sclim,3,1,0,4,14,10,2,5,"Southeast Queensland, humid subtropical rainforests",Deeringia arborescens,Deeringia arborescens,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anacardiaceae,Euroschinus falcata,Euroschinus falcata,ae,trees,wide,4,73,9,95,50,47,48,"Southeast Queensland, subtropical rainforests - widespread",Euroschinus falcata,Euroschinus falcata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anacardiaceae,Pleiogynium timoriense,Pleiogynium timorense,ae,trees,6,4,0,0,0,7,0,68,"Southeast Queensland, northern dry rainforests",Pleiogynium timorense,Pleiogynium timoriense,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anacardiaceae,Rhodosphaera rhodanthema,Rhodosphaera rhodanthema,ae,trees,5,9,0,0,29,45,63,28,"Southeast Queensland, southern inland dry rainforests",Rhodosphaera rhodanthema,Rhodosphaera rhodanthema,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Annonaceae,Meiogyne heteropetala,Fitzalania heteropetala,ae,stree,6,10,0,0,0,2,0,5,"Southeast Queensland, northern dry rainforests",Fitzalania heteropetala,Meiogyne heteropetala,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Annonaceae,Meiogyne stenopetala,Meiogyne stenopetala  subsp. stenopetala,ae,stree,2,8,0,17,0,7,0,0,"Southeast Queensland, cool humid subtropical rainforests",Meiogyne stenopetala subsp. stenopetala,Meiogyne stenopetala,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Annonaceae,Uvaria leichhardtii,Melodorum leichhardtii,ae,tclim,wide,6,27,39,67,80,80,88,"Southeast Queensland, subtropical rainforests - widespread",Melodorum leichhardtii,Uvaria leichhardtii,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Annonaceae,Huberantha nitidissima,Polyalthia nitidissima,ae,stree,1,5,55,0,38,18,2,28,"Southeast Queensland, warm humid subtropical rainforests",Polyalthia nitidissima,Huberantha nitidissima,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anocynaceae,Alstonia constricta,Alstonia constricta,wa,stree,5,5,0,0,0,3,57,53,"Southeast Queensland, southern inland dry rainforests",Alstonia constricta,Alstonia constricta,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anocynaceae,Alyxia magnifolia,Alyxia magnifolia,ae,stree,3,5,0,0,24,13,13,20,"Southeast Queensland, humid subtropical rainforests",Alyxia magnifolia,Alyxia magnifolia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anocynaceae,Alyxia ruscifolia,Alyxia ruscifolia,ae,stree,wide,5,100,13,57,67,95,85,"Southeast Queensland, subtropical rainforests - widespread",Alyxia ruscifolia,Alyxia ruscifolia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anocynaceae,Alyxia sharpei,Alyxia sharpei,ae,stree,6,4.5,0,0,0,0,0,5,"Southeast Queensland, northern dry rainforests",Alyxia sharpei,Alyxia sharpei,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anocynaceae,Carissa ovata,Carissa ovata,ae,sclim,6,5,0,4,29,62,92,100,"Southeast Queensland, northern dry rainforests",Carissa ovata,Carissa ovata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anocynaceae,Melodinus acutiflorus,Melodinus acutijloris,ae,tclim,3,3,0,17,24,18,1,0,"Southeast Queensland, humid subtropical rainforests",Melodinus acutiflorus,Melodinus acutiflorus,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anocynaceae,Melodinus australis,Melodinus australis,ae,tclim,1,3.5,82,78,52,43,4,8,"Southeast Queensland, warm humid subtropical rainforests",Melodinus australis,Melodinus australis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anocynaceae,Neisosperma poweri,Neisosperma poweri,ae,stree,3,10,0,0,10,0,0,0,"Southeast Queensland, humid subtropical rainforests",Neisosperma poweri,Neisosperma poweri,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anocynaceae,Parsonsia fulva,Parsonsia folva,wa,tclim,2,1.5,0,17,14,2,0,0,"Southeast Queensland, cool humid subtropical rainforests",Parsonsia fulva,Parsonsia fulva,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anocynaceae,Parsonsia induplicata,Parsonsia  induplicata,wa,tclim,3,1,0,0,5,0,0,0,"Southeast Queensland, humid subtropical rainforests",Parsonsia induplicata,Parsonsia induplicata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anocynaceae,Parsonsia lanceolata,Parsonsia  lanceolata,wa,sclim,6,1,0,0,5,3,22,40,"Southeast Queensland, northern dry rainforests",Parsonsia lanceolata,Parsonsia lanceolata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anocynaceae,Parsonsia leichhardtii,Parsonsia leichhardtii,wa,tclim,6,1,0,0,0,12,19,48,"Southeast Queensland, northern dry rainforests",Parsonsia leichhardtii,Parsonsia leichhardtii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anocynaceae,Parsonsia lilacina,Parsonsia  lilacina,wa,sclim,4,1,0,0,10,12,12,5,"Southeast Queensland, drier coastal lowland subtropical rainforests",Parsonsia lilacina,Parsonsia lilacina,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anocynaceae,Parsonsia longipetiolata,Parsonsia  longipetiolata,wa,tclim,5,1.5,18,4,24,18,29,8,"Southeast Queensland, southern inland dry rainforests",Parsonsia longipetiolata,Parsonsia longipetiolata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anocynaceae,Parsonsia paulforsteri,Parsonsia  paulforsteri,wa,sclim,5,1,0,0,0,17,54,33,"Southeast Queensland, southern inland dry rainforests",Parsonsia paulforsteri,Parsonsia paulforsteri,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anocynaceae,Parsonsia plaesiophylla,Parsonsia  plaesiophylla,wa,tclim,6,1.5,0,0,0,2,1,8,"Southeast Queensland, northern dry rainforests",Parsonsia plaesiophylla,Parsonsia plaesiophylla,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anocynaceae,Parsonsia rotata,Parsonsia rotata,wa,sclim,6,1.5,0,9,14,27,32,38,"Southeast Queensland, northern dry rainforests",Parsonsia rotata,Parsonsia rotata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anocynaceae,Parsonsia straminea,Parsonsia  straminea,wa,tclim,wide,1.5,36,17,71,28,27,13,"Southeast Queensland, subtropical rainforests - widespread",Parsonsia straminea,Parsonsia straminea [alternative possible names: Parsonsia brownii (pro parte misapplied) | Parsonsia brownii (misapplied)],Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anocynaceae,Parsonsia tenuis,Parsonsia  tenuis,wa,sclim,2,2,0,4,0,0,0,0,"Southeast Queensland, cool humid subtropical rainforests",Parsonsia tenuis,Parsonsia tenuis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anocynaceae,Parsonsia velutina,Parsonsia  velutina,wa,tclim,wide,1.5,0,22,29,37,49,48,"Southeast Queensland, subtropical rainforests - widespread",Parsonsia velutina,Parsonsia velutina,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anocynaceae,Parsonsia ventricosa,Parsonsia  ventricosa,wa,sclim,2,1,0,22,19,7,1,0,"Southeast Queensland, cool humid subtropical rainforests",Parsonsia ventricosa,Parsonsia ventricosa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Anocynaceae,Tabernaemontana pandacaqui,Tabernaemontana pandacaqui,ae,stree,wide,4,0,48,48,47,13,13,"Southeast Queensland, subtropical rainforests - widespread",Tabernaemontana pandacaqui,Tabernaemontana pandacaqui [alternative possible names: Tabernaemontana orientalis (pro parte misapplied)],Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Araceae,Pothos longipes,Pothos longipes,ae,sclim,3,3,0,35,57,13,0,0,"Southeast Queensland, humid subtropical rainforests",Pothos longipes,Pothos longipes,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Araliaceae,Cephalaralia cephalobotrys,Cephalaralia cephalobotrys,ae,sclim,2,3,27,70,24,7,0,0,"Southeast Queensland, cool humid subtropical rainforests",Cephalaralia cephalobotrys,Cephalaralia cephalobotrys,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Araliaceae,Polyscias elegans,Polyscias elegans,ae,trees,wide,4,18,30,95,72,74,83,"Southeast Queensland, subtropical rainforests - widespread",Polyscias elegans,Polyscias elegans,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Araliaceae,Polyscias murrayi,Polyscias murrayi,ae,trees,3,2,0,4,10,3,0,0,"Southeast Queensland, humid subtropical rainforests",Polyscias murrayi,Polyscias murrayi,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Araliaceae,Heptapleurum actinophyllum,Schefflera actinophylla,ae,stree,4,3,0,0,0,3,0,3,"Southeast Queensland, drier coastal lowland subtropical rainforests",Schefflera actinophylla,Heptapleurum actinophyllum,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Araucariaceae,Agathis robusta,Agathis robusta,wa,trees,1,8,91,0,5,8,1,3,"Southeast Queensland, warm humid subtropical rainforests",Agathis robusta,Agathis robusta,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Araucariaceae,Araucaria bidwillii,Araucaria  bidwillii,un,trees,4,20,0,13,19,20,16,0,"Southeast Queensland, drier coastal lowland subtropical rainforests",Araucaria bidwillii,Araucaria bidwillii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Araucariaceae,Araucaria cunninghamii,Araucaria  cunninghamii,wa,trees,wide,5,18,17,43,72,71,65,"Southeast Queensland, subtropical rainforests - widespread",Araucaria cunninghamii,Araucaria cunninghamii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Arecaceae,Archontophoenix cunninghamiana,Archontophoenix cunninghamiana,ae,trees,3,9,36,74,86,23,3,3,"Southeast Queensland, humid subtropical rainforests",Archontophoenix cunninghamiana,Archontophoenix cunninghamiana,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Arecaceae,Calamus muelleri,Calamus  muelleri,ae,sclim,2,9,0,70,57,28,0,0,"Southeast Queensland, cool humid subtropical rainforests",Calamus muelleri,Calamus muelleri,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Arecaceae,Linospadix monostachyos,Linospadix monostachya,ae,stree,2,5,0,74,29,0,0,0,"Southeast Queensland, cool humid subtropical rainforests",Linospadix monostachya,Linospadix monostachyos,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Arecaceae,Livistona australis,Livistona  australis,ae,trees,3,11,9,0,24,3,0,0,"Southeast Queensland, humid subtropical rainforests",Livistona australis,Livistona australis [alternative possible names: Livistona decora (pro parte misapplied) | Livistona drudei (pro parte misapplied)],Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Aristolochiaceae,Aristolochia laheyana,Pararistolochia laheyana,ae,sclim,2,2,0,9,0,0,0,0,"Southeast Queensland, cool humid subtropical rainforests",Pararistolochia laheyana,Aristolochia laheyana,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Aristolochiaceae,Aristolochia praevenosa,Pararistolochia praevenosa,ae,tclim,3,3,0,4,14,2,0,0,"Southeast Queensland, humid subtropical rainforests",Pararistolochia praevenosa,Aristolochia praevenosa,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Asclepiadaceae,Vincetoxicum ovatum,Cynanchum bowmanii,wa,sclim,6,4.5,0,0,5,10,38,53,"Southeast Queensland, northern dry rainforests",Cynanchum bowmanii,Vincetoxicum ovatum,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Asclepiadaceae,Gymnanthera oblonga,Gymnanthera oblonga,wa,sclim,6,4,0,0,0,0,0,5,"Southeast Queensland, northern dry rainforests",Gymnanthera oblonga,Gymnanthera oblonga,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Asclepiadaceae,Heterostemma acuminatum,Heterostemma acuminatum,wa,sclim,4,6.5,0,0,0,2,0,0,"Southeast Queensland, drier coastal lowland subtropical rainforests",Heterostemma acuminatum,Heterostemma acuminatum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Asclepiadaceae,Hoya australis subsp. australis,Hoya australis subsp. australis,un,sclim,wide,3,27,0,48,33,40,65,"Southeast Queensland, subtropical rainforests - widespread",Hoya australis subsp. australis,Hoya australis subsp. australis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Asclepiadaceae,Leichhardtia flavescens,Marsdenia flavescens,wa,sclim,3,3,0,4,10,7,1,0,"Southeast Queensland, humid subtropical rainforests",Marsdenia flavescens,Leichhardtia flavescens,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Asclepiadaceae,Leichhardtia glandulifera,Marsdenia glandulifera,wa,tclim,1,NA,18,0,0,0,0,0,"Southeast Queensland, warm humid subtropical rainforests",Marsdenia glandulifera,Leichhardtia glandulifera,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Asclepiadaceae,Leichhardtia racemosa,Marsdenia hemiptera,wa,sclim,3,6,0,0,10,3,1,3,"Southeast Queensland, humid subtropical rainforests",Marsdenia hemiptera,Leichhardtia racemosa,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Asclepiadaceae,Leichhardtia micradenia,Marsdenia  micradenia,wa,sclim,5,3,0,0,10,12,51,50,"Southeast Queensland, southern inland dry rainforests",Marsdenia micradenia,Leichhardtia micradenia,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Asclepiadaceae,Gymnema pleiadenium,Marsdenia  pleiadenia,wa,sclim,5,3,0,4,5,17,46,23,"Southeast Queensland, southern inland dry rainforests",Marsdenia pleiadenia,Gymnema pleiadenium,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Asclepiadaceae,Leichhardtia rostrata,Marsdenia  rostrata,wa,tclim,1,4.5,45,4,38,17,8,3,"Southeast Queensland, warm humid subtropical rainforests",Marsdenia rostrata,Leichhardtia rostrata,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Asclepiadaceae,Cynanchum viminale subsp. brunonianum,Sarcostemma viminale subsp. brunonianum,wa,sclim,6,3,0,0,14,3,21,38,"Southeast Queensland, northern dry rainforests",Sarcostemma viminale subsp. brunonianum,Cynanchum viminale subsp. brunonianum,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Asclepiadaceae,Secamone elliptica,Secamone  elliptica,wa,tclim,6,5,0,0,24,23,75,90,"Southeast Queensland, northern dry rainforests",Secamone elliptica,Secamone elliptica,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Asclepiadaceae,Vincetoxicum polyanthum,Tylophora benthamii,wa,sclim,4,5,0,4,0,8,2,3,"Southeast Queensland, drier coastal lowland subtropical rainforests",Tylophora benthamii,Vincetoxicum polyanthum,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Asclepiadaceae,Vincetoxicum grandiflorum,Tylophora grandiflora,wa,sclim,5,3,0,0,10,10,32,18,"Southeast Queensland, southern inland dry rainforests",Tylophora grandiflora,Vincetoxicum grandiflorum,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Asclepiadaceae,Vincetoxicum paniculatum,Tylophora  paniculata,wa,sclim,3,4,0,4,19,0,1,0,"Southeast Queensland, humid subtropical rainforests",Tylophora paniculata,Vincetoxicum paniculatum,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Bignoniaceae,Pandorea jasminoides,Pandorea  jasminoides,wa,tclim,wide,5,45,30,76,70,28,25,"Southeast Queensland, subtropical rainforests - widespread",Pandorea jasminoides,Pandorea jasminoides,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Bignoniaceae,Pandorea pandorana,Pandorea  pandorana,wa,tclim,wide,5,45,13,71,60,76,73,"Southeast Queensland, subtropical rainforests - widespread",Pandorea pandorana,Pandorea pandorana,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Bignoniaceae,Pandorea floribunda,Pandorea sp. (Ipswich),wa,tclim,5,NA,0,0,0,0,1,0,"Southeast Queensland, southern inland dry rainforests",Pandorea sp. (Ipswich K.A.Williams 86020),Pandorea floribunda,Exact match of the first two words of the taxon name to an APC-known canonical name (2025-02-25),accepted
Boraginaceae,Cordia dichotoma,Cordia dichotoma,ae,trees,6,7,0,0,0,0,0,8,"Southeast Queensland, northern dry rainforests",Cordia dichotoma,Cordia dichotoma,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Boraginaceae,Ehretia acuminata,Ehretia acuminata,ae,trees,4,3,0,22,24,25,5,0,"Southeast Queensland, drier coastal lowland subtropical rainforests",Ehretia acuminata,Ehretia acuminata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Boraginaceae,Ehretia saligna var. membranifolia,Ehretia membranifolia,ae,stree,5,2,0,0,0,0,22,20,"Southeast Queensland, southern inland dry rainforests",Ehretia membranifolia,Ehretia saligna var. membranifolia,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Burseraceae,Canarium australasicum,Conarium australasicum,ae,trees,1,6,45,4,33,0,0,0,"Southeast Queensland, warm humid subtropical rainforests",Canarium australasicum,Canarium australasicum,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Caesalpiniaceae,Barklya syringifolia,Barklya syringifolia,un,trees,6,5,0,0,0,10,0,20,"Southeast Queensland, northern dry rainforests",Barklya syringifolia,Barklya syringifolia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Caesalpiniaceae,Mezoneuron scortechinii,Caesalpinia scortechinii,un,sclim,6,12,0,0,24,7,6,28,"Southeast Queensland, northern dry rainforests",Caesalpinia scortechinii,Mezoneuron scortechinii,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Caesalpiniaceae,Mezoneuron brachycarpum,Caesalpinia subtropica,un,sclim,4,12,0,9,14,15,13,0,"Southeast Queensland, drier coastal lowland subtropical rainforests",Caesalpinia subtropica,Mezoneuron brachycarpum,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Caesalpiniaceae,Cassia brewsteri,Cassia brewsteri  var. brewsteri,un,trees,6,12,0,0,0,0,0,5,"Southeast Queensland, northern dry rainforests",Cassia brewsteri var. brewsteri,Cassia brewsteri,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Caesalpiniaceae,Cassia tomentella,Cassia tomentella  var. tomentella,un,stree,5,9,0,0,0,0,8,0,"Southeast Queensland, southern inland dry rainforests",Cassia tomentella,Cassia tomentella,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2025-02-25),accepted
Caesalpiniaceae,Senna coronilloides,Senna coronilloides,un,stree,5,4,0,0,0,0,1,0,"Southeast Queensland, southern inland dry rainforests",Senna coronilloides,Senna coronilloides,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Capparaceae,Capparis arborea,Capparis arborea,ae,stree,wide,5,0,26,71,65,93,90,"Southeast Queensland, subtropical rainforests - widespread",Capparis arborea,Capparis arborea,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Capparaceae,Capparis loranthifolia,Capparis loranthifolia,ae,stree,6,4.5,0,0,0,0,0,5,"Southeast Queensland, northern dry rainforests",Capparis loranthifolia,Capparis loranthifolia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Capparaceae,Capparis ornans,Capparis ornans,ae,tclim,6,6.5,0,0,0,0,0,5,"Southeast Queensland, northern dry rainforests",Capparis ornans,Capparis ornans,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Capparaceae,Capparis sarmentosa,Capparis sarmentosa,ae,sclim,5,2,0,0,5,53,87,68,"Southeast Queensland, southern inland dry rainforests",Capparis sarmentosa,Capparis sarmentosa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Capparaceae,Capparis velutina,Capparis velutina,ae,stree,4,5,0,13,14,27,3,5,"Southeast Queensland, drier coastal lowland subtropical rainforests",Capparis velutina,Capparis velutina,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Caprifoliaceae,Sambucus australasica,Sambucus  australasica,ae,stree,3,2,0,13,33,7,3,3,"Southeast Queensland, humid subtropical rainforests",Sambucus australasica,Sambucus australasica,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Celastraceae,Celastrus australis,Celastrus  australis,ae,sclim,3,2.5,0,0,5,0,2,0,"Southeast Queensland, humid subtropical rainforests",Celastrus australis,Celastrus australis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Celastraceae,Celastrus subspicatus,Celastrus subspicata,ae,tclim,wide,3,0,17,38,25,56,23,"Southeast Queensland, subtropical rainforests - widespread",Celastrus subspicata,Celastrus subspicatus,Exact match of taxon name to an APC-known canonical name once punctuation and filler words are removed (2025-02-25),accepted
Celastraceae,Denhamia celastroides,Denhamia  celastroides,ae,stree,wide,3,64,17,81,18,11,3,"Southeast Queensland, subtropical rainforests - widespread",Denhamia celastroides,Denhamia celastroides,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Celastraceae,Denhamia parvifolia,Denhamia  parvifolia,ae,stree,5,2,0,0,0,0,1,0,"Southeast Queensland, southern inland dry rainforests",Denhamia parvifolia,Denhamia parvifolia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Celastraceae,Denhamia pittosporoides,Denhamia  pittosporoides,ae,stree,6,3,0,0,10,10,58,63,"Southeast Queensland, northern dry rainforests",Denhamia pittosporoides,Denhamia pittosporoides,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
Celastraceae,Elaeodendron australe,Elaeodendron australe,ae,stree,5,8,9,9,38,32,60,28,"Southeast Queensland, southern inland dry rainforests",Elaeodendron australe,Elaeodendron australe,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2025-02-25),accepted
