floyd id,C&C id,family,family (old),genus,species,synonym,form,height,stem diameter,start of flower,end of flower,fruits,start of fruit season,end of fruit season,dispersers,dispersers_detailed,dispersers_simple,min fruit length,max fruit length,min fruit width,max fruti width,min seed length,max seed length,page Williams et al,page Floyd,page C&C,Note,"distribution (1=cosmopolitan & pantropical, 2=FNQ endemic, 2.1=endemic to SE Qld/NE NSW, 2.2=endemic to Dorrigo & Barrington Tops, 2.5=Oz endemic, 3= Oz & NG, 4= Oz & Asia, 5= Oz & Pacific Ocean Islands, 6= Gondowanan)",habitat,rainforest margins,cool temperate rainforest,warm temperate rainforest,subtropical rainforest,riverine rainforest,"dry rainforest (vine thicet, gallary forest & monsoon)","coastal (mangrove, littoral forest & coastal habitats)",tropical rainforest,gallary forest,littoral forest,mangroves,monsoon forest,swamp forest,vine thickets,wet sclerophyll forest,open forest,woodland,mountain heath,heath,coastal habitats,min alt,max alt,elevation range,"biogeographic affiliation (N) (1=Cape York, 2=NWT, 3=AT&LR, 4=Twonsville, 5=Mackay, 5.5=Eungella, 6=Rockhampton)",locality code (north),locality (north),lat (decimal),long (decimal),"biogeographic affinity (S) (1=Cape York, 2=NWT, 3=AT&LR, 4=Twonsville, 5=Mackay, 5.5=Eungella, 6=Rockhampton, 7=SE Qld, 8=NSW&VIC)",locality code (south),locality (south),lat (decimal),long (decimal),other (Oz),other (overseas),extra lat (north),extra lat (south),lat range (Oz),lat range (all),lat range (diff),lat (N) Oz int,lat (N) int,lat (S) Oz int,lat (S) int,lat range (Oz) int,lat range int
,39,Acanthaceae,,Rhaphidospora,cavernarum,Justicia cavernarum,herb/shrub,1,,March,July,capsule,April,July,,,,11,18,,,2,3,,,11,,3,dry rainforest,,,,,,1,,,1,,,1,,,1,1,,,,,0,420,420,1,1,Torres Strait Islands,9.3,0,2,77,Mt Molloy,16.66666667,145.3166667,,New Guinea,8,,7.4,8.7,1.3,9,9,16,16,7,8
,40,Acanthaceae,,Rostelllaria,adscendes,,herb,0.5,,January,December,capsule,April,April,,,,3,7,,,1,1,,,12,,2.5,dry rainforest,,,,,,1,,,,,,1,,1,,1,,,,,0,750,750,1,2,Cape York,10.68333333,142.5166667,8,150,NSW,29.5,0,NT & WA,,,,18.8,18.8,0,10,10,29,29,18,18
,41,Acanthaceae,,Sanchezia,parvibracteata,,shrub,5,,February,September,,,,,,,,,,,,,,,12,Introduced,,rainforest,,,,,,,,1,,,,,,,,,,,,,0,500,500,2,60,Cape Tribulation,16.06666667,145.4666667,3,105,Innisfail area,17.58333333,146.0833333,,West Indies & South America,,,1.5,1.5,0,16,16,17,17,1,1
,42,Acanthaceae,,Stephanophysum,longifolium,Ruella graecizans,shrub,1.5,,May,June,capsule,May,June,,,,13,20,3,3,2,3,,,12,Introduced,,rainforest,,,,,,,,1,,,,,,,,,,,,,0,120,120,3,80,Cairns,16.91666667,145.7666667,3,84,Gordonvale,17.08333333,145.7833333,,Brazil,,,0.2,0.2,0,16,16,17,17,0.5,0.5
,43,Acanthaceae,,Thunbergia,alata,,vine,,,April,July,capsule,December,July,,,,16,20,6,8,4,4,,,12,Introduced,,rainforest/dry rainforest,,,,,,1,,1,,,,,,1,,,,,,,0,800,800,1,50,Cooktown,15.46666667,145.25,8,150,NSW,29.5,0,,,,,14,14,0,15,15,29,29,14,14
,44,Acanthaceae,,Thunbergia,arnhemica,Thunbergia fragrans,vine,,,,,capsule,March,May,,,,20,24,10,12,5,6,,,12,,4,rainforest/dry rainforest,,,,,,1,,1,,,,,,1,,,,,,,60,500,440,1,2,Cape York,10.68333333,142.5166667,6,142,Mackay area,21.13333333,149.1833333,NT & WA,New Guinea & Timor,8,,10.5,13.1,2.7,10,10,21,21,10,13
,45,Acanthaceae,,Thunbergia,grandiflora,,vine,,,June,July,,,,,,,,,,,,,,,12,Introduced,,rainforest,,,,,,,,1,,,,,,,,,,,,,0,400,400,1,50,Cooktown,15.46666667,145.25,7,149,"Mt Tamborine, SE Qld",27.96666667,153.1833333,,,,,12.5,12.5,0,15,15,27,27,12,12
,46,Acanthaceae,,Thunbergia,laurifolia,,vine,,,October,(January),,,,,,,,,,,,,,,12,Introduced,,,,,,,,,,,,,,,,,,,,,,,0,100,100,3,79,Kuranda,16.81666667,145.6333333,7,149,Brisbane,27.46666667,153.0166667,,Burma,,,10.7,10.7,0,16,16,27,27,10,10
,47,Acanthaceae,,Thunbergia,mysorensis,,vine,,,January,December,,,,,,,,,,,,,,,13,Introduced,,rainforest,,,,,,,,1,,,,,,,,,,,,,0,700,700,3,80,Cairns & Atherton Tableland,16.91666667,145.7666667,3,80,Cairns & Atherton Tableland,17.27,145.7666667,,India,,,0.4,0.4,0,16,16,16,16,0,0
,48,Actinidiaceae,,Sauraia,andreana,,tree,6,,June,February,berry,January,March,,,,5,15,5,15,0.5,0.5,48,,13,,3,rainforest,,,,,,,,1,,,,,,,,,,,,,0,1080,1080,1,50,Cooktown,15.46666667,145.25,4,116,Mt Thorn near Cardwell,18.26666667,145.8,,New Guinea,8,,2.8,10.3,7.5,15,15,18,18,2,10
5,,Akaniaceae,,Akania,lucens,"Akania hillii, Akania bidwillii",tree,25,0.45,September,November,capsule,February,May,,,,10,12,,,,,48,62,,ORE7,2.5,warm temperate/subtropical/tropical rainforest,,,1,1,,,,1,,,,,,,,,,,,,,,,7,149,"Palmwoods, Qld",26.68333333,152.95,9,150,"Comboyne, NSW",31.56666667,152.55,,,,,4.9,4.9,0,9,9,36,36,27,27
,49,Alangiaceae (to be included in Cornaceae),,Alangium,(Claudie River),,tree,25,,January,July,drupe,October,December (July),,,,13,17,8,12,12,13,,,13,,2,rainforest/dry rainforest,,,,,,1,,1,,,,1,,,,,,,,,0,240,240,1,22,Iron Range,12.76666667,143.3166667,1,43,McIvor River near Cooktown,15.15,145.2333333,,,,,2.4,2.4,0,12,12,15,15,2,2
6,50,Alangiaceae (to be included in Cornaceae),,Alangium,villosum polysmoides,Marlea vitiensis,tree,20,0.9,July,October,drupe,November,March,"fruit-doves, Topnot Pigeon, Regent Bowerbird, & Spotted Catbird",fruit_doves topnot_pigeon regent_bowerbird spotted_catbird,birds,10,20,9,10,10,17,93,63,13,"ORE8, Davies Creek",4,warm temperate/subtropical/tropical rainforest,,,1,1,,,,1,,,,,,,,,,,,,0,1130,1130,1,28,McIlwraith Range,13.75,143.3333333,9,150,"Newcastle, NSW",32.91666667,151.7833333,,New Guinea & Malesia,-10,,19.2,42.9,23.8,9,9,36,36,27,27
,51,Alangiaceae (to be included in Cornaceae),,Alangium,villosum tomentosum,Pseudalangium tomentosum,tree,9,,March,September,drupe,July,July,fruit-doves & Spotted Catbird,fruit_doves spotted_catbird,birds,19,19,10,11,15,15,93,,13,,4,warm temperate/subtropical/tropical/dry rainforest,,,,,,1,,1,,,,1,,,,,,,,,0,800,800,3,82,Lamb Range,17.11666667,145.6333333,8,150,north coast NSW,29.5,0,,Malesia,-10,,12.4,39.5,27.1,9,9,36,36,27,27
,52,Alseuosmiaceae,,Crispiloba,disperma,,shrub,4,,November,March,berry,February,April,,,,15,28,10,15,8,11,,,14,,2,rainforest,,,,,,,,1,,,,,,,,,,,,,40,1250,1210,1,53,Big Tableland near Cooktown,15.58333333,0,3,102,Millaa Millaa,17.5,145.6,,,,,1.9,1.9,0,15,15,17,17,1,1
,53,Amaranthaceae,,Achyranthes,aspera,,herb,1.5,,April,June,nut,April,June,,,,2,3,,,1,2,,,14,,4,rainforest/dry rainforest,,,,,,1,,1,,,,1,,1,,,,,,,0,660,660,1,1,Torres Strait Islands,9.3,0,8,150,northern NSW,29.5,0,"NT & WA, Lord Howe Island, New Norfold Island","New Guinea, Malesia & Asia",-30,,20.2,59.5,39.3,9,-30,29,29,20,59
,54,Amaranthaceae,,Amaranthus,hybridus,,herb,2,,March,March,nut,March,September,,,,1,1,1,1,1,1,,,14,Introduced,,rainforest,,,,,,,,1,,,,,,,,,,,,,0,780,780,3,93,Atherton Tableland,17.26666667,145.4666667,11,151,VIC,37,0,,North America,,,19.7,19.7,0,17,17,37,37,19,19
,55,Amaranthaceae,,Amaranthus,spinosus,,herb,1,,January,(August),follicle,March,(August),,,,1,2,,,1,1,,,14,Introduced,,rainforest,,,,,,,,1,,,,,,,,,,,,,0,820,820,1,21,Batavia Downs near Weipa,12.66666667,142.6666667,8,150,NSW,29.5,0,,tropical America,,,16.8,16.8,0,12,12,29,29,16,16
,56,Amaranthaceae,,Cyathula,prostrata,,herb,0.6,,February,July,nut,March,July,,,,1,4,2,3,,,,,14,,4,dry rainforest,,,,,,1,,,,,,1,,1,,,,,,,0,580,580,1,2,Cape York,10.68333333,142.5166667,3,89,Mulgrave River,17.23333333,145.95,NT,"New Guinea, Melanasia, Malesia & Asia",-30,,6.6,47.2,40.7,10,-30,17,17,6,47
,57,Amaranthaceae,,Deeringia,amaranthoides,Deeringia celosoides,vine/shrub,,,September,June,berry,January,August,,,,5,9,4,7,1,1,,,14,,4,warm temperate/subtropical/tropical/dry rainforest,,,,,,1,,1,,,,1,,1,,1,,,,,0,850,850,1,2,Cape York,10.68333333,142.5166667,8,150,NSW,29.5,0,WA,"New Guinea, Pacific Islands, Malesia, Asia, & India",-30,,18.8,59.5,40.7,9,9,36,36,27,27
