floyd id,C&C id,family,family (old),genus,species,synonym,form,height,stem diameter,start of flower,end of flower,fruits,start of fruit season,end of fruit season,dispersers,dispersers_detailed,dispersers_simple,min fruit length,max fruit length,min fruit width,max fruti width,min seed length,max seed length,page Williams et al,page Floyd,page C&C,Note,"distribution (1=cosmopolitan & pantropical, 2=FNQ endemic, 2.1=endemic to SE Qld/NE NSW, 2.2=endemic to Dorrigo & Barrington Tops, 2.5=Oz endemic, 3= Oz & NG, 4= Oz & Asia, 5= Oz & Pacific Ocean Islands, 6= Gondowanan)",habitat,rainforest margins,cool temperate rainforest,warm temperate rainforest,subtropical rainforest,riverine rainforest,"dry rainforest (vine thicet, gallary forest & monsoon)","coastal (mangrove, littoral forest & coastal habitats)",tropical rainforest,gallary forest,littoral forest,mangroves,monsoon forest,swamp forest,vine thickets,wet sclerophyll forest,open forest,woodland,mountain heath,heath,coastal habitats,min alt,max alt,elevation range,"biogeographic affiliation (N) (1=Cape York, 2=NWT, 3=AT&LR, 4=Twonsville, 5=Mackay, 5.5=Eungella, 6=Rockhampton)",locality code (north),locality (north),lat (decimal),long (decimal),"biogeographic affinity (S) (1=Cape York, 2=NWT, 3=AT&LR, 4=Twonsville, 5=Mackay, 5.5=Eungella, 6=Rockhampton, 7=SE Qld, 8=NSW&VIC)",locality code (south),locality (south),lat (decimal),long (decimal),other (Oz),other (overseas),extra lat (north),extra lat (south),lat range (Oz),lat range (all),lat range (diff),lat (N) Oz int,lat (N) int,lat (S) Oz int,lat (S) int,lat range (Oz) int,lat range int
,1005,Icacinaceae,,Gomphandra,australiana,,tree,20,,November,April,drupe,October,February,"Cassowary, Metallic Starling, Giant White-tailed Rat, pigeons & fruit-doves",cassowary metallic_starling giant_white-tailed_rat pigeons fruit_doves,birds mammals,20,25,12,15,18,23,,,231,,3,rainforest,,,,,,,,1,,,,,,,,,,,,,0,450,450,1,2,Cape York,10.68333333,142.5166667,5,124,Paluma Range,19.16666667,146.3833333,,New Guinea,8,,8.5,11.2,2.7,10,10,19,19,8,11
,1006,Icacinaceae,,Irvingbaileya,australis,Tylecarpus australis,tree,20,,March,November,berry,January,December,"Cassowary, Crimson Rosella, Musky Rat-kangaroo, Giant White-tailed Rat, Spectacled Flying-fox & Satin Bowerbird",cassowary crimson_rosella musky_rat-kangaroo giant_white-tailed_rat spectacled_flying-fox satin_bowerbird,birds bats mammals,21,25,18,20,20,24,,,231,,2,rainforest,,,,,,,,1,,,,,,,,,,,,,0,1200,1200,2,55,Mt Finnigan near Cooktown,15.81666667,145.2833333,3,112,Tully,17.91666667,145.9166667,,,,,2.1,2.1,0,15,15,17,17,2,2
107,1007,Icacinaceae,,Pennantia,cunninghamii,,tree,30,0.9,November,December,berry,December,March,"Black-faced Cuckoo-shrike, Spotted Catbird, pigeons & fruit-doves",black-faced_cuckoo-shrike spotted_catbird pigeons fruit_doves,birds,10,16,7,12,10,16,93,166,231,ORE109,2,warm temperate/subtropical/tropical rainforest,,,1,1,,,,1,,,,,,,,,,,,,700,1180,480,2,64,Windsor Tableland,16.21666667,145.0333333,3,103,Ravenshoe area,17.6,145.4833333,,,,,1.4,1.4,0,9,9,36,36,27,27
,1008,Icacinaceae,,Ryticaryum,longifolium,,shrub,5,,July,November,drupe,January,September,,,,18,25,12,15,18,22,,,231,,3,rainforest/dry rainforest,,,,,,1,,1,1,,,1,,,,,,,,,0,480,480,1,22,Iron Range,12.76666667,143.3166667,1,28,McIlwraith Range,13.75,143.3333333,,New Guinea,8,,1,5.8,4.8,12,12,13,13,1,5
,1009,Idiospermaceae (to be included in Calycanthaceae),,Idiospermum,australiense,,tree,25,,June,October,nut,June,February,,,,50,55,60,65,40,50,,,232,,2,rainforest,,,,,,,,1,,,,,,,,,,,,,0,260,260,2,60,Noah Creek near Cape Tribulation,16.13333333,145.4333333,2,66,Daintree River,16.28333333,145.45,Bellenden Ker Range to foothills of Mt Bartle Frere,,,17.37,0.2,1.2,1.1,16,16,16,17,0.5,1
,1010,Iridaceae,,Sisyrinchium,micranthum,Sisyrinchium sp. A,lily,0.2,,January,January,capsule,,,,,,2,4,2,4,0.5,0.5,,,232,Introduced,,rainforest,,,,,,,,1,,,,,,,,1,,,,,0,500,500,2,69,Mossman,16.45,145.3666667,10,150,"Bega, NSW",36.66666667,149.9,,,,,20.2,20.2,0,16,16,36,36,20,20
,1011,Juncaceae,,Juncus,uistatis,,herb,1.1,,September,November (April),capsule,September,November,,,,2,2,,,,,,,233,,5,rainforest,,,,,,,,1,,,,,,,,,,,,,0,1200,1200,2,74,Mt Lewis,16.58333333,145.2833333,11,151,VIC,37,0,,New Zealand & New Caledonia,22,45,20.4,28.4,8,16,16,37,45,20,28
,1012,Lamiaceae,,Anisomeles,malabarica,"Nepeta malabarica, Epimeredi salviifolius, Anisomeles saviifolia",herb/shrub,2,,December,September,nut,January,December,,,,1,2,,,,,,,233,,4,dry rainforest,,,,,,1,,,,,,1,,1,1,1,,,,,0,1100,1100,1,1,Torres Strait Islands,9.3,0,7,149,"Mt Edwards, SE Qld",28.01666667,152.55,,"New Guinea, Malesia, SE Asia & Maruitious",-10,20,18.7,38,19.3,9,-10,28,28,18,38
,1013,Lamiaceae,,Callicarpa,brevistyla,,tree,7,,December,March,drupe,February,(June),,,,3,5,4,6,3,3,,,233,,2.5,rainforest/dry rainforest/coastal,,,,,,1,1,1,,1,,,,1,,,,,,,0,400,400,1,2,Cape York,10.68333333,142.5166667,1,50,Cooktown,15.46666667,145.25,NT,,,,4.8,4.8,0,10,10,15,15,4,4
,1014,Lamiaceae,,Callicarpa,candicans,Callicarpa cana,tree,8,,September,June,drupe,January,September,,,,2,3,2,3,2,3,,,233,,4,rainforest/dry rainforest,,,,,,1,,1,1,,,1,,,,,,,,,0,770,770,1,1,Torres Strait Islands,9.3,0,6,142,Prudhoe Island near Mackay,21.3,149.6666667,NT & WA,"New Guinea, Malesia, Pacific Islands, Asia & India",-30,,12,51.3,39.3,9,-30,21,21,12,51
,1015,Lamiaceae,,Callicarpa,caudata,"Callicarpa lanceolaria, Callicarpa albida, Callicarpa roxburghiana, Callicarpa cana, Callicarpa oblongifolia, Callicarpa blumei, Callicarpa lanata, Callicarpa attenuifolia",shrub,4,,September,September,drupe,May,(November),,,,2,2,2,2,,,,,234,,4,rainforest,,,,,,,,1,,,,,,,,,,,,,0,300,300,3,,Little Mulgrave River,17.13333333,145.7333333,3,104,Johnstone River,17.51666667,146.0666667,,"New Guinea, Malesia & Melanesia",-10,,0.4,27.5,27.1,17,-10,17,17,0.5,27
,1016,Lamiaceae,,Callicarpa,longifolia,,shrub,5,,November,August,drupe,March,September,,,,2,6,2,6,1,2,,,234,,4,rainforest,,,,,,,,1,,,,,,,,,,,,,0,1200,1200,1,2,Cape York,10.68333333,142.5166667,6,143,Koumala near Sarina,21.6,149.2333333,,"New Guinea, Malesia & Asia",-30,,10.9,51.6,40.7,10,-30,21,21,10,51
,1017,Lamiaceae,,Callicarpa,pedunculata,,tree,6,,November,May,drupe,December,August,many bird species,many_birds,birds,2,4,2,4,,,103,,234,,4,warm temperate/subtropical/tropical rainforest,,,,,,,,1,,,,,,,1,,,,,,0,1150,1150,1,2,Cape York,10.68333333,142.5166667,9,150,"Port Macquarie, NSW",31.41666667,152.9166667,,"New Guinea, Maleisa & Asia",-30,,20.7,61.4,40.7,9,9,36,36,27,27
,1018,Lamiaceae,,Clerodendrum,costatum,,shrub,6,,February,September,drupe,May,August (December),,,,7,10,6,12,,,,,234,,3,subtropical/tropical/dry rainforest/coastal,,,,,,1,1,1,,1,,1,,1,,,,,,,0,680,680,1,1,Torres Strait Islands,9.3,0,7,149,"Calliope near Gladstone, SE Qld",24,151.1833333,NT,New Guinea,8,,14.7,16,1.3,9,9,36,36,27,27
381,1019,Lamiaceae,Verbenaceae,Clerodendrum,floribundum,,tree,8,0.3,January,December,drupe,March,December,,,,10,15,10,15,,,121,406,234,"ORE27, Davies Creek",2,warm temperate/subtropical/riverine/dry rainforest,,,1,1,1,1,,,,,,1,,1,,1,,,,,0,1200,1200,1,1,Torres Strait Islands,9.3,0,8,150,NSW,29.5,0,,,,,20.2,20.2,0,9,9,36,36,27,27
,1020,Lamiaceae,,Clerodendrum,grayi,,shrub,6,,January,March,drupe,May,August,,,,7,10,6,10,,,,,234,,2,rainforest,,,,,,,,1,,,,,,,1,,,,,,600,900,300,3,81,Davies Creek,17.01666667,145.6333333,4,121,Wallaman Falls area,18.6,145.8,,,,,1.6,1.6,0,17,17,18,18,1,1
,1021,Lamiaceae,,Clerodendrum,inerme,,vine/shrub,6,,January,December,nut,March,December,,,,10,20,7,15,,,,,234,,4,coastal,,,,,,,1,,,1,1,,,,,,,,,,0,20,20,1,1,Torres Strait Islands,9.3,0,8,150,"Ballina, NSW",28.81666667,153.55,NT & WA,"New Guinea, Malesia, Pacific Islands, Asia & India",-30,,19.5,58.8,39.3,9,9,36,36,27,27
,1022,Lamiaceae,,Clerodendrum,longiflorum,,tree,9,,March,October,drupe,March,September,many bird species,many_birds,birds,6,10,6,9,,,,,235,,3,subtropical/tropical/dry rainforest,,,,,,1,,1,,,,1,,,,,,,,,0,1000,1000,1,1,Torres Strait Islands,9.3,0,7,149,"Mt Perry, SE Qld",27.78333333,152.8166667,NT,New Guinea,8,,18.5,19.8,1.3,9,9,36,36,27,27
,1023,Lamiaceae,,Clerodendrum,paniculatum,,shrub,3,,December,May,nut,December,May,,,,2,2,2,2,,,,,235,Introduced,,rainforest,,,,,,,,1,,,,,,,,,,,,,0,60,60,2,60,Cape Tribulation,16.06666667,145.4666667,3,112,Tully,17.91666667,145.9166667,,Asia,,,1.9,1.9,0,16,16,17,17,1,1
382,1024,Lamiaceae,Verbenaceae,Clerodendrum,tomentosum,,tree,10,0.25,January,December,drupe,June,November,Lewin's Honeyeater,Lewins_honeyeater,birds,8,10,8,10,10,10,119,407,235,,3,warm temperate/subtropical/tropical/dry rainforest,,,1,1,,1,,1,1,1,,1,,1,,,,,,,0,600,600,1,1,Torres Strait Islands,9.3,0,10,150,"Batemans Bay, NSW",35.68333333,150.1833333,NT & WA,New Guinea,8,,26.4,27.7,1.3,9,9,36,36,27,27
,1025,Lamiaceae,,Clerodendrum,tracyanum,Premna tracyana,tree,10,,January,July,drupe,January,July,,,,4,7,6,7,,,,,235,,3,rainforest,,,,,,,,1,,,,,,,,,,,,,0,450,450,1,50,Cooktown,15.46666667,145.25,4,116,Cardwell,18.25,146.0166667,,New Guinea,8,,2.8,10.3,7.5,15,15,18,18,2,10
,1026,Lamiaceae,,Faradaya (previously included in Verbenaceae),splendida,,vine,,,July,November,drupe,August,April,"Cassowary, Musky Rat-kangaroo, Spectacled Flying-fox, Giant White-tailed Rat & Bush Rat",cassowary musky_rat-kangaroo spectacled_flying-fox giant_white-tailed_rat bush_rat,birds bats mammals,48,90,40,60,45,45,,,235,,3,rainforest,,,,,,,,1,,,,,,,,,,,,,0,1000,1000,1,22,Iron Range,12.76666667,143.3166667,5,122,Seaview Range,18.86666667,145.9166667,,New Guinea,8,,6.1,10.9,4.8,12,12,18,18,6,10
,1028,Lamiaceae,,Glossocarya,hemiderma,,vine/shrub,6,,January,December,capsule,March,August,,,,6,10,3,3,6,7,,,236,,3,subtropical/tropical/dry rainforest,,,,,,1,,1,,,,1,,,,,,,,,0,720,720,1,1,Torres Strait Islands,9.3,0,7,149,"Gympie, SE Qld",26.18333333,152.65,,New Guinea,8,,16.9,18.2,1.3,9,9,36,36,27,27
,1027,Lamiaceae,,Glossocarya (previously included in Verbenaceae),calcicola,,vine/shrub,5,,December,May,capsule,May,May,,,,5,8,2,3,,,,,236,,2,dry rainforest,,,,,,1,,,,,,1,,1,,,,,,,240,780,540,3,86,Chillagoe area,17.15,144.5166667,6,,Porcupine Gorge NP near Hughenden,20.36666667,144.45,,,,,3.2,3.2,0,17,17,20,20,3,3
,1029,Lamiaceae,,Gmelina,dalrympleana,,tree,30,,October,July,drupe,January,July,Cassowary & fruit-doves,cassowary fruit_doves,birds,14,20,10,15,12,16,,,236,,2,rainforest/dry rainforest,,,,,,1,,1,1,,,1,1,,,,,,,,0,500,500,1,1,Torres Strait Islands,9.3,0,4,121,Wallaman Falls NP near Ingham,18.6,145.8,,,,,9.3,9.3,0,9,9,18,18,9,9
,1030,Lamiaceae,,Gmelina,fasciculiflora,,tree,30,,September,January,drupe,August,May,Cassowary & fruit-doves,cassowary fruit_doves,birds,10,30,10,30,15,15,,,236,Davies Creek,2,rainforest,,,,,,,,1,,,,,,,,,,,,,0,900,900,2,60,Cape Tribulation,16.06666667,145.4666667,4,116,Cardwell,18.25,146.0166667,,,,,2.2,2.2,0,16,16,18,18,2,2
383,1031,Lamiaceae,Verbenaceae,Gmelina,leichhardtii,,tree,40,1.5,November,January,drupe,February,May,Topknot Pigeon & Wompoo Fruit-dove,topknot_pigeon Wompoo_fruit-dove,birds,15,20,15,20,15,15,119,408,236,,2,tropical/riverine/littoral rainforest,,,,,1,,1,1,,1,,,,,,,,,,,0,900,900,6,137,Proserpine,20.4,148.5666667,10,150,"Illawarra, NSW",34.33333333,150.8333333,,,,,13.9,13.9,0,9,9,36,36,27,27
,1032,Lamiaceae,,Hyptis,captata,,herb,2,,June,September,nut,July,October,,,,8,8,2,3,1,1,,,237,Introduced,,rainforest,,,,,,,,1,,,,,,,,,,,,,0,500,500,1,2,Cape York,10.68333333,142.5166667,6,143,Sarina,21.41666667,149.2166667,,tropical America,,,10.7,10.7,0,10,10,21,21,10,10
,1033,Lamiaceae,,Hyptis,suaveolens,,herb,2,,April,November,nut,April,November,,,,5,8,,,,,,,237,Introduced,,dry rainforest,,,,,,1,,,,,,1,,1,,1,,,,,0,750,750,1,1,Torres Strait Islands,9.3,0,7,149,SE Qld,28,0,,tropical America,,,18.7,18.7,0,9,9,28,28,18,18
,1034,Lamiaceae,,Leucas,decemdentata,Leucas flaccida,herb,0.5,,January,September,nut,April,April,,,,5,7,,,,,,,237,Introduced,2,dry rainforest,,,,,,1,,,,,,,,1,,1,,,,,0,900,900,1,2,Cape York,10.68333333,142.5166667,6,148,Rockhampton,23.36666667,150.5,,,,,12.7,12.7,0,10,10,23,23,12,12
,1035,Lamiaceae,,Orthosiphon,arostatis,,herb,1,,November,August,nut,February,March,,,,2,2,,,,,,,237,,4,rainforest/dry rainforest,,,,,,1,,1,,,,1,,,,,,,,,0,100,100,1,1,Torres Strait Islands,9.3,0,4,116,Cardwell,18.25,146.0166667,,"New Guinea, Malesia, Melanesia & Asia",-30,,9,48.3,39.3,9,-30,18,18,9,48
,1036,Lamiaceae,,Petraeovitex,multiflora,,vine,,,November,December,samara or nut,December,January,,,,2,2,,,,,,,237,,2,rainforest/dry rainforest,,,,,,1,,1,1,,,,,,,,,,,,20,400,380,1,2,Cape York,10.68333333,142.5166667,1,28,McIlwraith Range,13.75,143.3333333,,,,,3.1,3.1,0,10,10,13,13,3,3
,1037,Lamiaceae,,Pityrodia,salviifolia,,shrub,4,,January,December,drupe,November,January,,,,5,5,3,3,,,,,237,,2,subtropical/tropical rainforest,,,,,,,,1,,,,,,,1,1,,,,,0,1150,1150,3,98,Herberton Range,17.35,145.45,7,149,"Wide Bay, SE Qld",25.9,153.1333333,,,,,8.6,8.6,0,9,9,36,36,27,27
,1047,Lamiaceae,,Plectranthus,(Font Hills),,shrub,2,,October,October,nut,,,,,,5,5,,,1,1,,,239,,2,dry rainforest,,,,,,1,,,,,,1,,1,,,,,,,500,500,0,2,77,Bakers Blue Mountains west of Mt Molloy,16.66666667,0,2,77,Bakers Blue Mountains west of Mt Molloy,16.66666667,0,,,,,0,0,0,16,16,16,16,0,0
,1038,Lamiaceae,,Plectranthus,amicorum,,herb,1.5,,January,December,nut,September,October,,,,4,5,,,1,1,,,238,,2,rainforest,,,,,,,,1,,,,,,,1,1,,,,,700,1000,300,3,81,Mareeba area,16.98333333,145.4166667,3,112,Tully,17.91666667,145.9166667,,,,,0.9,0.9,0,16,16,17,17,0.5,0.5
,1039,Lamiaceae,,Plectranthus,apreptus,,herb,1,,May,December,nut,September,December,,,,4,6,,,1,1,,,238,,2,rainforest/dry rainforest,,,,,,1,,1,,,,1,,,,1,,,,,0,1100,1100,1,50,Cooktown,15.46666667,145.25,3,79,Kuranda,16.81666667,145.6333333,,,,,1.4,1.4,0,15,15,16,16,1,1
,1040,Lamiaceae,,Plectranthus,congestus,Plectranthus australis var. graveolens,herb,1.5,,April,June,nut,June,July,,,,2,3,,,1,1,,,238,,4,dry rainforest,,,,,,1,,,,,,1,,1,,1,,,,,200,1000,800,1,19,Pascoe River near Iron Range,12.48333333,143.2666667,6,132,Mt Abbot near Bowen,20.1,147.7333333,WA,New Guinea & Malesia,-10,,7.6,30.1,22.5,12,-10,20,20,7,30
,1041,Lamiaceae,,Plectranthus,dumicola,Plectranthus sp. (Leo Creek),herb,1,,June,September,nut,June,December,,,,3,6,,,1,1,,,238,,2,rainforest/dry rainforest,,,,,,1,,1,,,,1,,,,,,,,,350,450,100,1,28,McIlwraith Range,13.75,143.3333333,1,28,McIlwraith Range,13.75,143.3333333,,,,,0,0,0,13,13,13,13,0,0
,1042,Lamiaceae,,Plectranthus,excelsus,,shrub,3,,June,July,nut,June,July,,,,3,3,,,,,,,238,,2,rainforest,,,,,,,,1,,,,,,,,,,,,,50,300,250,1,22,Iron Range,12.76666667,143.3166667,1,22,Iron Range,12.76666667,143.3166667,,,,,0,0,0,12,12,12,12,0,0
,1043,Lamiaceae,,Plectranthus,foetidus,,shrub,2,,July,November,nut,November,November,,,,3,5,,,0.5,0.5,,,238,,2,rainforest,,,,,,,,1,,,,,,,,1,,,,,0,900,900,1,50,Cooktown,15.46666667,145.25,3,107,Tully Falls area,17.78333333,145.5666667,,,,,2.3,2.3,0,15,15,17,17,2,2
,1044,Lamiaceae,,Plectranthus,graveolens,Plectranthus australis var. graveolens,shrub,2,,January,October,nut,July,January,,,,4,5,,,1,1,,,238,,2,warm temperate/subtropical/tropical/dry rainforest,,,,,,1,,1,,,,1,,,,1,,,,,0,900,900,1,29,Chester River of Iron Range,13.7,143.5333333,8,150,NSW,29.5,0,,,,,15.8,15.8,0,9,9,36,36,27,27
,1045,Lamiaceae,,Plectranthus,parviflorus,"Plectranthus parviflorus var. major, Plectranthus australis var. vulgaris, Germanea austrlis",herb,1,,October,December,nut,December,April,,,,3,5,,,1,1,,,238,,4,rainforest/dry rainforest,,,,,,1,,1,,,,1,,1,,1,,,,,0,1200,1200,1,1,Torres Strait Islands,9.3,0,11,151,VIC,37,0,,Malesia & Pacific Islands,-10,,27.7,47,19.3,9,-10,37,37,27,47
,1046,Lamiaceae,,Plectranthus,scutellarioides,"Coleus scutellarioides, Plectranthus scutellaris",herb,1,,January,December,nut,February,November,,,,5,13,,,1,1,,,238,,4,rainforest/dry rainforest/coastal,,,,,,1,1,1,,1,,1,,,,,,,,,0,1000,1000,1,1,Torres Strait Islands,9.3,0,6,131,Charters Towers,20.06666667,146.25,NT & WA,"New Guinea, Malesia, Pacific Islands, SE Asia, Taiwan, China & India",-30,,10.8,50.1,39.3,9,-30,20,20,10,50
,1048,Lamiaceae,,Plectranthus,spectabilis,,herb/shrub,1.6,,April,October,nut,April,October,,,,3,5,,,1,1,,,239,,2,rainforest/dry rainforest,,,,,,1,,1,,,,1,,1,,1,,,,,150,1000,850,2,55,Mt Finnigan near Cooktown,15.81666667,145.2833333,3,105,Hartley Creek near Innisfail,17.33333333,0,,,,,1.5,1.5,0,15,15,17,17,1,1
,1049,Lamiaceae,,Plectranthus,thalassoscopicus,Plectranthus sp. (Mt Bell),herb,0.6,,July,(November),nut,July,(November),,,,4,4,,,1,1,,,239,,2,rainforest,,,,,,,,1,,,,,,,,,,,,,800,1000,200,3,88,Malbon Thompson Range south of Cairns,17.1,145.8833333,3,88,Malbon Thompson Range south of Cairns,17.1,145.8833333,,,,,0,0,0,17,17,17,17,0,0
,1050,Lamiaceae,,Premna,acuminata,,tree,8,,December,January,drupe,February,March,,,,4,7,3,8,4,4,,,239,,2.5,dry rainforest/coastal,,,,,,1,1,,,1,,1,,1,,,,,,,0,900,900,1,1,Torres Strait Islands,9.3,0,3,86,Chillagoe area,17.15,144.5166667,NT & WA,,,,7.9,7.9,0,9,9,17,17,7,7
,1051,Lamiaceae,,Premna,dallachyana,,tree,12,,November,April,drupe,January,June,,,,3,6,3,6,3,5,,,239,,2,rainforest/dry rainforest,,,,,,1,,1,,,,1,,1,,,,,,,0,800,800,1,1,Torres Strait Islands,9.3,0,6,,Connors Range west of Carmila,21.36666667,148.7333333,,,,,12.1,12.1,0,9,9,21,21,12,12
,1052,Lamiaceae,,Premna,hylandiana,,tree,32,,February,February,,,,,,,,,,,,,,,239,,2,rainforest/dry rainforest,,,,,,1,,1,1,,,,,,,,,,,,0,450,450,1,2,Cape York,10.68333333,142.5166667,1,28,McIlwraith Range,13.75,143.3333333,,,,,3.1,3.1,0,10,10,13,13,3,3
,1053,Lamiaceae,,Premna,limbata,Premna serratifolia auct.,vine,,,November,December,drupe,December,December,,,,3,5,3,5,,,,,239,,2,rainforest,,,,,,,,1,,,,,,,,,,,,,0,700,700,1,22,Iron Range,12.76666667,143.3166667,3,108,Tully River,18.01666667,146.05,,,,,5.3,5.3,0,12,12,18,18,5,5
,1054,Lamiaceae,,Premna,odorata,,tree,12,,November,April,drupe,February,July,,,,3,6,3,5,5,5,,,239,,4,dry rainforest,,,,,,1,,,1,,,,,,,,,,,,0,400,400,1,,West Normanby River,15.66666667,144.9666667,6,143,Sarina,21.41666667,149.2166667,,New Guinea & Malesia,-10,,5.8,31.4,25.7,15,-10,21,21,5,31
,1055,Lamiaceae,,Premna,serratifolia,"Premna obtusifolia, Premna integrifolia",tree,10,,January,December,drupe,October,May,Metallic Starling,metallic_starling,birds,3,8,3,8,4,6,,,240,,4,rainforest/dry rainforest/coastal,,,,,,1,1,1,,1,1,1,,,,,,,,,0,400,400,1,1,Torres Strait Islands,9.3,0,5,129,Burdekin River,19.66666667,147.6,NT & WA,"New Guinea, Malesia, Pacific Islands, Asia & Africa",-30,,10.4,49.7,39.3,9,-30,19,19,10,49
,,Lamiaceae,,Prostanthera,incisa,,shrub,,,,,,,,,,,,,,,,,102,,,,2.1,margins of warm temperate/subtropical rainforest,,,1,1,,,,,,,,,,,,,,,,,,,,7,149,SE Qld,28,0,10,150,"Gosford, NSW",33.41666667,151.3333333,,,,,5.4,5.4,0,,,,,,
108,,Lamiaceae,,Prostanthera,lasianthos,,tree,13,0.3,November,february,nut,December,March,,,,2,2,,,,,102,167,,,2.5,warm temperate rainforest,,,1,,,,,,,,,,,,,,,,,,,,,7,149,"Stanthorpe, Qld",28.65,151.9333333,12,152,TAS,42,0,,,,,13.4,13.4,0,9,9,36,36,27,27
,1056,Lamiaceae,,Salvia,plebeia,,herb,1,,June,June,nut,October,October,,,,,,,,2,2,,,240,,4,rainforest,,,,,,,,1,,,,,,,,1,,,,,0,200,200,1,22,Iron Range,12.76666667,143.3166667,10,150,"Bathurst, NSW",33.51666667,149.1833333,,Malesia & Asia,-30,,20.8,63.5,42.8,12,-30,33,33,20,63
,1057,Lamiaceae,,Salvia,reflexa,,herb,1,,February,March,nut,February,March,,,,7,7,,,2,2,,,240,Introduced,,dry rainforest,,,,,,1,,,,,,1,,1,,,,,,,0,750,750,3,115,Forty Mile Scrub NP,18.08333333,144.8333333,11,151,VIC,37,0,,,,,18.9,18.9,0,18,18,37,37,18,18
,1058,Lamiaceae,,Vitex,acuminata,,tree,23,,September,November,drupe,January,March,"Wompoo Fruit-dove, Rose-crowned Fruit-dove & Barred Cuckoo-shrike",Wompoo_fruit-dove rose-crowned_fruit-dove barred_cuckoo-shrike,birds,5,14,3,8,10,10,28,,240,,2.5,subtropical/tropical/dry rainforest/coastal,,,,,,1,1,1,1,1,,1,,,,,,,1,,0,550,550,1,2,Cape York,10.68333333,142.5166667,7,149,"Childers, SE Qld",25.23333333,152.2666667,NT & WA,,,,14.6,14.6,0,9,9,36,36,27,27
,1059,Lamiaceae,,Vitex,helogiton,,tree,20,,October,December,drupe,November,March,,,,8,20,6,13,15,15,,,240,,4,rainforest/dry rainforest,,,,,,1,,1,1,,,1,,,,1,,,,,0,400,400,1,1,Torres Strait Islands,9.3,0,1,50,Shiptons Flat near Cooktown,15.8,145.25,,New Guinea & Malesia,-10,,6.5,25.8,19.3,9,-10,15,15,6,25
384,1060,Lamiaceae,Verbenaceae,Vitex,lignum-vitae,Premna lignum-vitae,tree,30,0.9,October,June,drupe,October,July,"Green Catbird, Regent Bowerbird, Wompoo Fruit-dove & Crimson Rosella",green_catbird regent_bowerbird Wompoo_fruit-dove crimson_rosella,birds,5,18,5,20,4,16,"101, 107",409,241,ORE98,2,subtropical/tropical/dry rainforest,,,,1,,1,,1,,,,,,,,,,,,,950,1240,290,2,74,Mt Lewis,16.58333333,145.2833333,8,150,"Richmond River, NSW",28.48333333,152.9666667,,,,,11.9,11.9,0,9,9,36,36,27,27
,1061,Lamiaceae,,Vitex,melicopea,,tree,30,,November,January,drupe,January,April,,,,4,16,4,16,5,5,,,241,,2,subtropical/tropical/dry rainforest,,,,,,1,,1,1,,,,,,,,,,,,0,340,340,1,2,Cape York,10.68333333,142.5166667,7,149,"Kingaroy, SE Qld",26.53333333,151.8333333,,,,,15.9,15.9,0,9,9,36,36,27,27
,1062,Lamiaceae,,Vitex,rotundifolia,,vine/shrub,3,,January,December,drupe,December,March,,,,4,6,4,6,,,,,241,,4,subtropical/tropical/dry rainforest/coastal,,,,,,1,1,1,,1,,,,1,,,,,,,0,10,10,1,1,Torres Strait Islands,9.3,0,7,149,"Bundaberg, SE Qld",24.86666667,152.35,NT & WA,"Pacific Islands, Malesia, Asia, Sri Lanka & India",-30,,15.6,54.9,39.3,9,9,36,36,27,27
,1063,Lamiaceae,,Vitex,trifolia,,tree,7,,November,June,drupe,November,June,,,,4,6,4,6,,,,,241,,4,coastal,,,,,,,1,,,1,1,,,,,,,,,,0,40,40,1,1,Torres Strait Islands,9.3,0,8,150,"Ballina, NSW",28.81666667,153.55,NT,Pacific Islands & Malesia,-10,,19.5,38.8,19.3,9,9,36,36,27,27
,1064,Lamiaceae,,Viticipremna,queenslandica,,tree,35,,December,January,drupe,February,May,Wompoo Fruit-dove,Wompoo_fruit-dove,birds,6,10,4,8,6,6,,,241,,2,rainforest/dry rainforest,,,,,,1,,1,,,,1,,1,,,,,,,0,980,980,1,22,Mt Carter area near Iron Range,13.05,143.25,5,124,Paluma,19,146.2,,,,,6,6,0,13,13,19,19,6,6
,1065,Lauraceae,,Beilschmiedia,bancroftii,Cryptocarya bancroftii,tree,30,,December,August,drupe,August,March,Cassowary,cassowary,birds,33,75,34,62,35,50,,,242,Davies Creek,2,rainforest,,,,,,,,1,,,,,,,,,,,,,0,1300,1300,1,30,Rocky River east of Coen,13.78333333,143.7,3,103,Ravenshoe area,17.6,145.4833333,,,,,3.8,3.8,0,13,13,17,17,3,3
,1066,Lauraceae,,Beilschmiedia,brunnea,,tree,35,,December,February,drupe,October,December,,,,18,22,14,17,14,14,,,242,Davies Creek,2,rainforest,,,,,,,,1,,,,,,,,,,,,,500,1140,640,3,81,Davies Creek,17.01666667,145.6333333,3,103,Ravenshoe area,17.6,145.4833333,,,,,0.6,0.6,0,17,17,17,17,0.5,0.5
,1067,Lauraceae,,Beilschmiedia,castrisinensis,,tree,30,,September,December,drupe,June,December,,,,45,65,48,71,33,45,,,243,,2,rainforest,,,,,,,,1,,,,,,,,,,,,,0,660,660,2,58,Roaring Meg Creek near Bloomfield River,16,145.2833333,2,66,Daintree River,16.28333333,145.45,,,,,0.3,0.3,0,16,16,16,16,0.5,0.5
