Scientific Name,metadata_id,primary_source_id,longevity,Height (cm),Seed Dispersal,McIntyre L.F,Veg. Spread
Asperula scoparia,87,83,perennial,15,Undefined,Chamaephyte,Yes
Asplenium flabellifolium,87,83,perennial,100,Mobile ,Hemi Proto,Yes
Astroloma conostephioides,87,83,perennial,100,Ingestion,Phanerophyte,No
Astroloma humifusum,87,83,perennial,50,Ingestion,Chamaephyte,No
Atriplex prostrata,87,83,annual,50,Undefined,Therophyte,No
Austrodanthonia caespitosa,87,83,perennial,90,Adhesion,Hemi Erect,No
Austrodanthonia duttoniana,87,83,perennial,80,Adhesion,Hemi Erect,No
Austrodanthonia eriantha,87,83,perennial,60,Adhesion,Hemi Erect,No
Austrodanthonia geniculata,87,83,perennial,25,Adhesion,Hemi Erect,No
Austrodanthonia laevis,87,83,perennial,60,Adhesion,Hemi Erect,No
Austrodanthonia penicillata,87,83,perennial,70,Adhesion,Hemi Erect,Yes
Austrodanthonia racemosa var. racemosa,87,83,perennial,60,Adhesion,Hemi Erect ,No 
Austrodanthonia setacea,87,83,perennial,100,Adhesion,Hemi Erect,No
Austrostipa bigeniculata,87,83,perennial,120,Adhesion,Hemi Erect,No
Austrostipa mollis,87,83,perennial,120,Adhesion,Hemi Erect,No
Austrostipa oligostachya,87,83,perennial,100,Adhesion,Hemi Erect,No
Austrostipa pubinodis,87,83,perennial,130,Adhesion,Hemi Erect,Yes
Austrostipa scabra subsp. falcata,87,83,perennial,60,Adhesion,Hemi Erect,No
Austrostipa semibarbata,87,83,perennial,90,Adhesion,Hemi Erect,No
Austrostipa setacea,87,83,perennial,80,Adhesion,Hemi Erect,No
Austrostipa spp.,87,83,perennial,NA,Adhesion,Hemi Erect,NA
Banksia marginata,87,83,perennial,1200,Wind,Phanerophyte,No
Batrachium trichophyllum,87,83,perennial,0,Undefined,Hemi Erect,Yes
Baumea arthrophylla,87,83,perennial,130,Undefined,Hemi Partial,Yes
Baumea juncea,87,83,perennial,90,Undefined,Hemi Partial,Yes
Boronia coerulescens subsp. coerulescens,87,83,perennial,50,Undefined,Phanerophyte,No
Bossiaea prostrata,87,83,perennial,10,Undefined,Chamaephyte,No 
Brachyloma daphnoides,87,83,perennial,200,Undefined,Phanerophyte ,No 
Brunonia australis,87,83,perennial,50,Undefined,Hemi Flat ,Yes
Bulbine bulbosa,87,83,perennial,50,Undefined,Geophyte ,No
Burchardia umbellata,87,83,perennial,65,Undefined,Geophyte ,No
Bursaria spinosa subsp. spinosa,87,83,perennial,800,Undefined,Phanerophyte,No
Caesia calliantha,87,83,perennial,70,Undefined ,Geophyte,No 
Caladenia carnea sensu Willis (1970)  ,87,83,perennial,25,Mobile,Geophyte,No
Caladenia spp.,87,83,perennial,NA,Mobile,Geophyte,No
Calandrinia calyptrata,87,83,annual,5,Undefined,Therophyte,No
Calocephalus lacteus,87,83,perennial,70,Wind ,Chamaephyte,No
Carex appressa,87,83,perennial,150,Undefined,Hemi Erect,No
Carex breviculmis,87,83,perennial,30,Undefined,Hemi Erect,No
Carex inversa,87,83,perennial,50,Undefined,Hemi Erect,No
Carex tereticaulis,87,83,perennial,120,Undefined,Hemi Erect,Yes
Carthamus lanatus,87,83,annual,100,Wind ,Therophyte,No
Casuarina glauca,87,83,perennial,1000,Wind,Phanerophyte,Yes
Centella cordifolia,87,83,perennial,20,Undefined,Hemi Proto,Yes
Centipeda cunninghamii,87,83,perennial,30,Undefined,Chamaephyte,No
Centrolepis aristata,87,83,annual,10,Undefined,Therophyte,No
Centrolepis cephaloformis subsp. cephaloformis,87,83,annual,1,Undefined,Therophyte,No
Centrolepis polygyna,87,83,annual,5,Undefined,Therophyte,No
Centrolepis strigosa subsp. strigosa,87,83,annual,10,Mobile,Therophyte,No
Chamaescilla corymbosa var. corymbosa,87,83,perennial,15,Undefined ,Geophyte,No
Chasmanthe floribunda,87,83,perennial,150,Undefined ,Geophyte,No
Cheilanthes austrotenuifolia,87,83,perennial,25,Mobile,Hemi Proto,Yes 
Chloris truncata,87,83,perennial,40,Wind,Hemi Flat,Yes
Chrysocephalum apiculatum s.l.,87,83,perennial,60,Wind,Hemi Partial,Yes
Clematis microphylla,87,83,perennial,200,Wind,Phanerophyte,No
Convolvulus erubescens spp. agg.,87,83,perennial,15,Undefined,Hemi Proto,No
Correa reflexa var. scabridula,87,83,perennial,50,Undefined,Phanerophyte,No
Corybas incurvus,87,83,perennial,2,Mobile ,Geophyte,No
Corymbia ficifolia,87,83,perennial,1000,Undefined,Phanerophyte,No
Corymbia maculata,87,83,perennial,6000,Undefined,Phanerophyte,No
Cotula australis,87,83,annual,10,Undefined,Therophyte,No
Cotula coronopifolia,87,83,perennial,10,Undefined,Hemi Erect,Yes
Crassula closiana,87,83,annual,10,Mobile,Therophyte,No
Crassula decumbens var. decumbens,87,83,annual,10,Mobile,Therophyte,Yes
Crassula helmsii,87,83,perennial,10,Mobile,Hemi Erect,Yes
Crassula multicava subsp. multicava,87,83,perennial,40,Undefined,Chamaephyte,Yes
Crassula peduncularis,87,83,annual,3,Mobile,Therophyte,No
Crassula sieberiana s.l.,87,83,annual,10,Mobile,Therophyte,No
Cymbonotus preissianus,87,83,perennial,10,Wind,Hemi Flat,No 
Cynodon dactylon var. dactylon,87,83,perennial,20,Wind,Hemi Flat,Yes
Cynoglossum spp.,87,83,perennial,NA,Adhesion,Hemi Partial,No
Cynoglossum suaveolens,87,83,perennial,30,Adhesion ,Hemi Partial,No
Cyperus tenellus,87,83,annual,8,Undefined,Therophyte,No
Daucus carota,87,83,biennial,150,Adhesion,Hemi Partial,No
Daucus glochidiatus,87,83,annual,50,Adhesion,Therophyte ,No
Daviesia brevifolia,87,83,perennial,100,Undefined,Phanerophyte,No
Daviesia latifolia,87,83,perennial,500,Undefined,Phanerophyte ,No
Deyeuxia quadriseta,87,83,perennial,150,Undefined ,Hemi Erect ,No
Dianella callicarpa,87,83,perennial,100,Ingestion,Chamaephyte,Yes
Dianella revoluta s.l.,87,83,perennial,80,Ingestion,Chamaephyte,Yes
Dichelachne crinita,87,83,perennial,100,Adhesion ,Hemi Erect ,No 
Dichelachne rara,87,83,perennial,70,Adhesion,Hemi Erect ,No
Dichelachne sciurea spp. agg.,87,83,perennial,100,Adhesion,Hemi Erect,No
Dichondra repens,87,83,perennial,4,Undefined ,Hemi Proto ,Yes
Dillwynia cinerascens s.l.,87,83,perennial,100,Undefined,Phanerophyte,No
Dillwynia hispida,87,83,perennial,50,Undefined,Chamaephyte,No
Diuris lanceolata s.l.,87,83,perennial,30,Mobile,Geophyte,No
Diuris orientis,87,83,perennial,45,Mobile,Geophyte,No
Diuris pardina,87,83,perennial,30,Mobile,Geophyte,No
Dodonaea viscosa subsp. cuneata,87,83,perennial,300,Wind,Phanerophyte,No
Drosera glanduligera,87,83,perennial,5,Mobile,Geophyte,No
Drosera peltata subsp. auriculata,87,83,perennial,50,Mobile,Geophyte ,No
Drosera peltata subsp. peltata,87,83,perennial,50,Mobile,Geophyte,No
Drosera pygmaea,87,83,perennial,3,Mobile ,Geophyte,No
Drosera whittakeri subsp. aberrans,87,83,perennial,5,Mobile ,Geophyte,No
Einadia nutans subsp. nutans,87,83,perennial,50,Ingestion,Chamaephyte,No
Eleocharis acuta,87,83,perennial,60,Undefined,Hemi Erect,Yes
Eleocharis atricha,87,83,perennial,40,Undefined,Hemi Erect,Yes
Eleocharis sphacelata,87,83,perennial,200,Undefined,Hemi Erect,Yes
Elymus scaber var. scaber,87,83,perennial,80,Adhesion ,Hemi Erect,No
Epilobium billardierianum subsp. billardierianum,87,83,perennial,100,Wind,Hemi Proto,Yes 
Epilobium billardierianum subsp. cinereum,87,83,perennial,100,Wind,Hemi Proto,Yes
Epilobium billardierianum subsp. intermedium,87,83,perennial,100,Wind,Hemi Proto,Yes
Epilobium hirtigerum,87,83,perennial,100,Wind,Hemi Proto,Yes
Eragrostis brownii,87,83,perennial,50,Undefined,Hemi Erect,No
Eryngium ovinum,87,83,perennial,60,Undefined ,Hemi Partial,No 
Eryngium vesiculosum,87,83,perennial,10,Undefined ,Hemi Partial,No
Eucalyptus camaldulensis,87,83,perennial,4500,Undefined,Hemi Partial,No
Eucalyptus cladocalyx,87,83,perennial,3000,Undefined,Phanerophyte,No
Eucalyptus leucoxylon,87,83,perennial,2500,Undefined,Phanerophyte,No
Eucalyptus ovata,87,83,perennial,3000,Undefined,Phanerophyte,No
Eucalyptus pauciflora subsp. pauciflora,87,83,perennial,3000,Undefined,Phanerophyte,No
Eucalyptus viminalis,87,83,perennial,5000,Undefined,Phanerophyte,No
Euchiton collinus s.l.,87,83,perennial,40,Mobile,Hemi Partial,Yes
Euphorbia peplus,87,83,annual,40,Ant,Therophyte,No
Exocarpos cupressiformis,87,83,perennial,800,Ingestion,Phanerophyte,No
Ficinia nodosa,87,83,perennial,100,Undefined ,Hemi Erect,Yes
Gahnia sieberiana,87,83,perennial,300,Undefined,Hemi Erect,No
Galium aparine,87,83,annual,100,Adhesion,Therophyte,No
Galium divaricatum,87,83,annual,30,Undefined,Therophyte,No
Galium murale,87,83,annual,10,Adhesion,Therophyte,No
Gamochaeta purpurea s.l.,87,83,biennial,60,Wind,Hemi Partial,No
Geranium dissectum,87,83,annual,40,wind,Therophyte,No
Geranium retrorsum s.l.,87,83,perennial,50,wind,Hemi Erect,No
Geranium solanderi s.l.,87,83,perennial,30,wind,Hemi Proto ,No
Glyceria australis,87,83,perennial,100,Undefined,Hemi Partial,Yes
Glycine latrobeana,87,83,perennial,10,Undefined,Hemi Proto,No
Gonocarpus tetragynus,87,83,perennial,30,Undefined,Chamaephyte,No
Goodenia blackiana,87,83,perennial,20,Wind,Hemi Partial,Yes
Goodenia geniculata,87,83,perennial,10,Wind,Hemi Partial,Yes
Goodenia humilis,87,83,perennial,10,Wind,Hemi Partial,Yes
Goodenia pinnatifida,87,83,perennial,40,Ant ,Hemi Partial,No
Gratiola peruviana,87,83,perennial,15,Undefined,Hemi Proto,Yes
Grevillea aquifolium,87,83,perennial,50,Ant,Chamaephyte,No
Grevillea rosmarinifolia,87,83,perennial,180,Ant,Phanerophyte,No
Haloragis heterophylla,87,83,perennial,50,Undefined,Hemi Proto ,Yes
Helichrysum scorpioides,87,83,perennial,50,Wind,Hemi Proto,Yes
Hemarthria uncinata var. uncinata,87,83,perennial,50,Adhesion,Hemi Erect,Yes
Hibbertia riparia,87,83,perennial,100,Undefined,Phanerophyte,No
Hibbertia sericea var. sericea s.s.,87,83,perennial,70,Ant,Phanerophyte,No
Hyalosperma demissum,87,83,annual,2,Wind,Therophyte,No
Hydrocotyle callicarpa,87,83,annual,8,Undefined,Therophyte,No
Hydrocotyle foveolata,87,83,annual,10,Undefined,Therophyte,No
Hydrocotyle laxiflora,87,83,perennial,15,Undefined,Hemi Erect,Yes
Hydrocotyle sibthorpioides,87,83,perennial,15,Undefined,Hemi Erect,Yes
Hypericum gramineum,87,83,perennial,40,Mobile,Hemi Proto,No
Hypoxis vaginata var. vaginata,87,83,perennial,35,Undefined,Geophyte,No
Indigofera australis,87,83,perennial,150,Undefined,Phanerophyte,No
Isoetes drummondii,87,83,perennial,20,Undefined,Hemi Erect,No
Isolepis cernua var. cernua,87,83,perennial,20,Undefined,Hemi Erect,Yes
Isolepis fluitans,87,83,perennial,10,Undefined,Hemi Erect,No
Isolepis hookeriana,87,83,annual,12,Undefined,Therophyte,No
Isolepis hystrix,87,83,annual,5,Undefined,Therophyte,No
Isolepis producta,87,83,perennial,2,Undefined,Hemi Erect,Yes
Isopogon ceratophyllus,87,83,perennial,50,Undefined,Chamaephyte,No
Juncus acutus subsp. acutus,87,83,perennial,130,Undefined,Hemi Erect,Yes
Juncus amabilis,87,83,perennial,100,Undefined,Hemi Erect,Yes
Juncus articulatus,87,83,perennial,50,Mobile,Hemi Erect,Yes
Juncus bufonius,87,83,annual,20,Mobile,Therophyte,No
Juncus bulbosus,87,83,perennial,25,Mobile,Hemi Erect,Yes
Juncus caespiticius,87,83,perennial,65,Mobile,Hemi Erect,Yes
Juncus holoschoenus,87,83,perennial,20,Mobile,Hemi Erect,Yes
Juncus homalocaulis,87,83,perennial,40,Mobile,Hemi Erect,No
Juncus kraussii subsp. australiensis,87,83,perennial,120,Undefined,Hemi Erect,Yes
Juncus pallidus,87,83,perennial,150,Undefined,Hemi Erect,Yes
Juncus planifolius,87,83,perennial,50,Mobile,Hemi Erect,Yes
Juncus subsecundus,87,83,perennial,90,Mobile ,Hemi Erect,No 
Kennedia prostrata,87,83,perennial,5,Undefined,Chamaephyte,No
Lachnagrostis aemula s.s.,87,83,annual,80,Wind,Therophyte,No
Lachnagrostis filiformis,87,83,annual,60,Wind ,Therophyte,No
Lagenophora huegelii,87,83,perennial,35,Undefined,Hemi Partial,Yes
Lemna disperma,87,83,perennial,0,Mobile,Hemi Flat,Yes
Lepidosperma congestum,87,83,perennial,55,Undefined,Hemi Erect,Yes
Lepidosperma curtisiae,87,83,perennial,25,Ant,Hemi Erect,No 
Leptorhynchos squamatus subsp. squamatus,87,83,perennial,40,Wind , Hemi Partial,No
Leptospermum continentale,87,83,perennial,200,Undefined,Phanerophyte,No
Leptospermum myrsinoides,87,83,perennial,150,Undefined,Phanerophyte,No
Leptospermum obovatum,87,83,perennial,300,Undefined,Phanerophyte,No
Leucopogon virgatus,87,83,perennial,50,Undefined,Chamaephyte,No
Levenhookia dubia,87,83,annual,8,Mobile,Therophyte,No
Lissanthe strigosa subsp. subulata,87,83,perennial,50,Ingestion,Chamaephyte,No
Lobelia anceps,87,83,perennial,30,Mobile,Hemi Proto,Yes
Lobelia irrigua,87,83,perennial,5,Undefined,Hemi Proto,Yes
Lobelia pedunculata s.l.,87,83,perennial,5,Undefined,Hemi Proto,Yes
Lobelia pratioides,87,83,perennial,5,Undefined,Hemi Proto,Yes
Lomandra filiformis,87,83,perennial,45,Undefined,Hemi Erect,No
Lomandra micrantha s.s.,87,83,perennial,70,Undefined,Hemi Erect,No
Lomandra multiflora subsp. multiflora,87,83,perennial,80,Undefined,Hemi Erect,No
Lomandra nana,87,83,perennial,17,Undefined,Hemi Erect,No
Lomandra sororia,87,83,perennial,40,Undefined,Hemi Erect,No
Luzula meridionalis,87,83,perennial,30,Undefined,Hemi Erect,No
Lythrum hyssopifolia,87,83,annual,50,Mobile,Therophyte,No
Melaleuca decussata,87,83,perennial,300,Wind,Phanerophyte,No
Melaleuca ericifolia,87,83,perennial,600,Wind,Phanerophyte,Yes
Melaleuca gibbosa,87,83,perennial,300,Wind,Phanerophyte,No
Melaleuca hypericifolia,87,83,perennial,600,Wind,Phanerophyte,No
Melicytus dentatus s.l.,87,83,perennial,300,Ingestion,Phanerophyte,No
Mentha diemenica,87,83,perennial,30,Undefined,Hemi Proto,Yes
Mentha laxiflora,87,83,perennial,60,Undefined,Hemi Proto,Yes
Mentha pulegium,87,83,perennial,40,Undefined,Hemi Proto,Yes
Microlaena stipoides var. stipoides,87,83,perennial,70,Undefined,Hemi Flat,Yes
Microseris scapigera spp. agg.,87,83,perennial,60,Wind,Geophyte,No
Microtis unifolia,87,83,perennial,90,Mobile,Geophyte,No
Millotia myosotidifolia,87,83,annual,11,Wind,Therophyte,No
Molineriella minuta,87,83,annual,12,Undefined,Therophyte,No
Montia fontana,87,83,annual,10,Undefined,Therophyte,Yes
Muellerina eucalyptoides,87,83,perennial,2500,Ingestion,Phanerophyte,No
Neopaxia australasica,87,83,perennial,3,Undefined,Hemi Proto,Yes
Notodanthonia semiannularis,87,83,perennial,80,Adhesion,Hemi Erect,No
Opercularia ovata,87,83,perennial,10,Undefined,Hemi Proto,Yes
Opercularia varia,87,83,perennial,30,Undefined,Chamaephyte,No
Oreomyrrhis eriopoda,87,83,perennial,50,Undefined,Hemi Flat,No
Oxalis corniculata s.l.,87,83,perennial,15,Undefined,Hemi Proto,Yes 
Oxalis hirta,87,83,perennial,30,Undefined,Geophyte,Yes
Ozothamnus ferrugineus,87,83,perennial,250,Wind,Phanerophyte,No
Parietaria debilis s.l.,87,83,annual,30,Undefined,Therophyte,Yes
Pelargonium australe,87,83,perennial,60,Undefined,Hemi Erect,No
Pelargonium rodneyanum,87,83,perennial,30,Undefined,Hemi Erect,No
Pentapogon quadrifidus var. quadrifidus,87,83,perennial,70,Adhesion ,Hemi Erect,No
Phragmites australis,87,83,perennial,250,Wind,Hemi Proto,Yes
Phyllangium divergens,87,83,annual,19,Mobile,Therophyte,No
Pimelea curviflora s.s.,87,83,perennial,150,Undefined,Phanerophyte,No 
Pimelea glauca,87,83,perennial,100,Undefined,Phanerophyte,No 
Pimelea humilis,87,83,perennial,30,Undefined,Chamaephyte,No
Pittosporum undulatum,87,83,perennial,1500,Ingestion,Phanerophyte,No
Plantago gaudichaudii,87,83,perennial,20,Undefined,Hemi Erect,Yes
Platylobium obtusangulum,87,83,perennial,100,Ant ,Phanerophyte,No
Poa clelandii,87,83,perennial,75,Undefined,Hemi Erect,Yes
Poa infirma,87,83,annual,20,Undefined,Therophyte,No
Poa labillardierei,87,83,perennial,100,Undefined,Hemi Erect ,No
Poa rodwayi,87,83,perennial,60,Undefined,Hemi Erect ,No
Poa sieberiana,87,83,perennial,80,Undefined,Hemi Erect,No
Polycarpon tetraphyllum,87,83,annual,10,Mobile,Therophyte,No
Polypogon monspeliensis,87,83,annual,80,Adhesion,Therophyte,No
Poranthera microphylla s.s.,87,83,annual,15,Undefined,Therophyte,No
Potamogeton tricarinatus s.l.,87,83,perennial,0,Undefined,Hemi Erect,Yes
Pseudognaphalium luteoalbum,87,83,annual,50,Wind,Therophyte,No
Pteridium esculentum,87,83,perennial,100,Mobile,Hemi Proto,Yes
Pterostylis curta,87,83,perennial,30,Mobile,Geophyte,No
Pterostylis pedunculata,87,83,perennial,25,Mobile,Geophyte,No
Ptilotus macrocephalus,87,83,perennial,50,Wind ,Hemi Partial,No
Pultenaea humilis,87,83,perennial,50,Undefined,Chamaephyte,No
Pultenaea laxiflora,87,83,perennial,60,Undefined,Chamaephyte,No
Pultenaea pedunculata,87,83,perennial,20,Undefined,Chamaephyte ,No
Pyracantha angustifolia,87,83,perennial,400,Ingestion,Phanerophyte,No
Pyracantha crenulata,87,83,perennial,300,Ingestion,Phanerophyte,No
Ranunculus muricatus,87,83,annual,20,Adhesion,Therophyte,No
Ranunculus robertsonii,87,83,perennial,25,Adhesion,Hemi Erect ,No
Rubus fruticosus spp. agg.,87,83,perennial,200,Ingestion,Phanerophyte,Yes
Rumex brownii,87,83,perennial,100,Adhesion,Hemi Partial,No
Schoenus apogon,87,83,perennial,25,Undefined ,Hemi Erect,No
Schoenus nitens,87,83,perennial,40,Undefined,Hemi Erect ,Yes
Schoenus tesquorum,87,83,perennial,45,Undefined,Hemi Erect,No
Sebaea albidiflora,87,83,annual,20,Mobile,Therophyte,No
Sebaea ovata,87,83,annual,30,Mobile,Therophyte,No
Senecio glomeratus,87,83,annual,120,Wind,Therophyte,No
Senecio minimus,87,83,annual,150,Wind,Therophyte,No
Senecio quadridentatus,87,83,perennial,120,Wind,Hemi Partial,No
Senecio squarrosus s.s.,87,83,perennial,40,Wind,Hemi Partial,Yes
Siloxerus multiflorus,87,83,annual,4,Wind,Therophyte,No
Solenogyne dominii,87,83,perennial,10,Undefined,Hemi Flat,No
Solenogyne spp.,87,83,perennial,10,Undefined,Hemi Flat,No 
Stackhousia monogyna s.l.,87,83,perennial,50,Undefined,Hemi Proto,No
Stackhousia subterranea,87,83,perennial,40,Undefined,Hemi Proto,Yes
Stylidium graminifolium s.l.,87,83,perennial,80,Undefined,Chamaephyte ,No
Tetratheca ciliata,87,83,perennial,50,Ant,Chamaephyte,No
Thelymitra megcalyptra,87,83,perennial,30,Mobile,Geophyte,No
Thelymitra pauciflora s.l.,87,83,perennial,50,Mobile,Geophyte,No
Thelymitra rubra,87,83,perennial,40,Mobile,Geophyte,No
Thelymitra spp.,87,83,perennial,40,Mobile,Geophyte,No
Themeda triandra,87,83,perennial,100,Adhesion,Hemi Erect,No
Thysanotus patersonii,87,83,perennial,100,Undefined,Hemi Proto,No
Tribolium acutiflorum s.l.,87,83,perennial,30,Adhesion,Hemi Erect,No
Tricoryne elatior,87,83,perennial,70,Undefined ,Geophyte,No
Triglochin nana ,87,83,annual,8,Undefined,Therophyte,No
Triglochin procera s.l.,87,83,perennial,50,Undefined,Hemi Erect,Yes
Triglochin striata,87,83,perennial,30,Undefined,Hemi Erect,Yes
Triptilodiscus pygmaeus,87,83,annual,8,Wind,Therophyte,No
Typha domingensis,87,83,perennial,200,Wind,Hemi Proto,Yes
Vellereophyton dealbatum,87,83,annual,40,Wind,Therophyte,No
Veronica calycina,87,83,perennial,50,Undefined,Chamaephyte,Yes
Veronica gracilis,87,83,perennial,60,Undefined,Chamaephyte,Yes
Viola hederacea sensu Willis (1972),87,83,perennial,15,Undefined,Hemi Erect,Yes
Viola sieberiana spp. agg.,87,83,perennial,7,Undefined,Hemi Erect,Yes
Vittadinia gracilis,87,83,perennial,40,Wind ,Hemi Proto,No 
Wahlenbergia communis s.l.,87,83,perennial,75,Mobile,Hemi Proto,No
Wahlenbergia gracilenta s.l.,87,83,annual,35,Mobile,Therophyte,No
Wahlenbergia graniticola s.l.,87,83,perennial,50,Mobile,Hemi Proto,No
Wahlenbergia luteola,87,83,perennial,30,Mobile,Hemi Proto,No
Wahlenbergia multicaulis,87,83,perennial,75,Mobile,Hemi Partial,No
Wurmbea dioica,87,83,perennial,30,Mobile,Geophyte,No
Xanthorrhoea minor subsp. lutea,87,83,perennial,100,Wind,Hemi Erect,No
