correct Name ID,PEA unique ID_Lookup,link_to_Florabase,Updated Species name,Common Name,alt common/ indigenous name,FB matched name,correction comment,dup response disagree,Original Name_ID match PEA-Florabase,original Name ID,Original Species Name_with_common_name,Original Species Name,Family Name,Naturalised,Consveration Code,Response To Fire,Response To Fire Auth,Flowering Month,Flowering Month Auth,Time Until First Flowering,Time Until First Flowering Auth,Months Until Peak Flowering,Months Until Peak Flowering Auth,Months To Flowering Decline,Months To Flowering Decline Auth,Response To Dieback,Response To Dieback Auth,Longevity,Longevity Auth
1811,159,link,Acacia drummondii subsp. drummondii,,,Acacia drummondii Lindl. subsp. drummondii,,,TRUE,11661,Acacia drummondii subsp. drummondii,Acacia drummondii subsp. drummondii,Fabaceae,N,,2,BEL,Sep,,36,NDB,,,,,3,NDB,4,
1812,161,link,Acacia drummondii subsp. elegans,,,Acacia drummondii subsp. elegans Maslin,,,TRUE,11192,Acacia drummondii subsp. elegans,Acacia drummondii subsp. elegans,Fabaceae,N,,2,NDB,Aug,,24,NDB,60,NDB,84,NDB,3,RTW,4,
1814,162,link,Acacia ericifolia,,,Acacia ericifolia Benth.,,,TRUE,3323,Acacia ericifolia,Acacia ericifolia,Fabaceae,N,,2,BEL,Jun,,36,MUI,,,,,3,NDB,4,
1815,163,link,Acacia extensa,Wiry Wattle,,Acacia extensa Lindl.,,,TRUE,3331,Acacia extensa (Wiry Wattle),Acacia extensa,Fabaceae,N,,2,NDB,Sep,,19,NDB,40,NDB,72,NDB,2,RTW,4,
1816,164,link,Acacia filifolia,,,Acacia filifolia Benth.,,,TRUE,3337,Acacia filifolia,Acacia filifolia,Fabaceae,N,3,2,NDB,Jun,,36,MUI,,,,,3,NDB,4,
32540,165,link,Acacia glaucoptera,Flat Wattle,,Acacia glaucoptera Benth.,,,TRUE,3349,Acacia glaucoptera (Flat Wattle),Acacia glaucoptera,Fabaceae,N,,2,NDB,Sep,,36,MUI,,,,,3,NDB,4,
32525,166,link,Acacia gonophylla,,,Acacia gonophylla Benth.,,,TRUE,3353,Acacia gonophylla,Acacia gonophylla,Fabaceae,N,,2,NDB,Aug,,48,MUI,,,,,3,NDB,4,
32521,167,link,Acacia hastulata,,,Acacia hastulata Sm.,,,TRUE,3363,Acacia hastulata,Acacia hastulata,Fabaceae,N,,2,GWJ,Aug,,15,GWJ,,,,,3,NDB,4,
11532,168,link,Acacia hemiteles,,,Acacia hemiteles Benth.,,,TRUE,3366,Acacia hemiteles,Acacia hemiteles,Fabaceae,N,,2,BEL,Aug,,36,MUI,,,,,3,NDB,4,
11764,169,link,Acacia horridula,,,Acacia horridula Meisn.,,,TRUE,3373,Acacia horridula,Acacia horridula,Fabaceae,N,3,2,BEL,Jul,,24,NDB,,,,,3,NDB,4,
1818,170,link,Acacia incurva,,,Acacia incurva Benth.,,,TRUE,3383,Acacia incurva,Acacia incurva,Fabaceae,N,,2,NDB,Aug,,25,NDB,,,,,3,NDB,4,
1819,171,link,Acacia lasiocarpa,Panjang,,Acacia lasiocarpa Benth.,,,TRUE,3409,Acacia lasiocarpa (Panjang),Acacia lasiocarpa,Fabaceae,N,,2,VDM,Aug,,36,MUI,,,,,3,NDB,4,
1820,172,link,Acacia lateriticola,,,Acacia lateriticola Maslin,,,TRUE,3410,Acacia lateriticola,Acacia lateriticola,Fabaceae,N,,4,NDB,Jun,,18,NDB,,,,,3,NDB,4,
1821,173,link,Acacia latipes,,,Acacia latipes Benth.,,,TRUE,3412,Acacia latipes,Acacia latipes,Fabaceae,N,,5,BEL,Aug,,36,NDB,,,,,3,NDB,4,
1822,174,link,Acacia ligustrina,,,Acacia ligustrina Meisn.,,,TRUE,3420,Acacia ligustrina,Acacia ligustrina,Fabaceae,N,,2,NDB,Sep,,36,MUI,,,,,3,NDB,4,
1823,175,link,Acacia littorea,,,Acacia littorea Maslin,,,TRUE,3424,Acacia littorea,Acacia littorea,Fabaceae,N,,2,GWJ,Sep,May,33,GWJ,,,,,3,NDB,4,
32214,176,link,Acacia melanoxylon,,,Acacia melanoxylon R.Br.,,,TRUE,10955,Acacia melanoxylon,Acacia melanoxylon,Fabaceae,Y,,4,GWJ,Sep,,24,NDB,,,,,3,NDB,4,
1825,177,link,Acacia microbotrya,Manna Wattle, Kalyang),Acacia microbotrya Benth.,,,TRUE,3442,Acacia microbotrya (Manna Wattle,Acacia microbotrya,Fabaceae,N,,2,BEL,,,48,MUI,,,,,3,NDB,4,
1826,178,link,Acacia mooreana,,,Acacia mooreana W.Fitzg.,,,TRUE,3448,Acacia mooreana,Acacia mooreana,Fabaceae,N,,2,NDB,Jun,,29,NDB,48,NDB,,,2,RTW,4,
1827,179,link,Acacia multispicata,,,Acacia multispicata Benth.,,,TRUE,3451,Acacia multispicata,Acacia multispicata,Fabaceae,N,,2,NDB,Aug,,60,MUI,,,,,3,NDB,4,
1828,180,link,Acacia myrtifolia,,,Acacia myrtifolia (Sm.) Willd.,,,TRUE,3453,Acacia myrtifolia,Acacia myrtifolia,Fabaceae,N,,2,NDB,Aug,,21,NDB,48,NDB,72,GWJ,7,RTW,4,
1829,181,link,Acacia nervosa,Rib Wattle,,Acacia nervosa DC.,,,TRUE,3454,Acacia nervosa (Rib Wattle),Acacia nervosa,Fabaceae,N,,2,NDB,Jun,,25,NDB,50,NDB,,,3,NDB,4,
1830,182,link,Acacia obovata,,,Acacia obovata Benth.,,,TRUE,3464,Acacia obovata,Acacia obovata,Fabaceae,N,,5,NDB,Mar,,19,NDB,,,,,3,NDB,4,
1832,183,link,Acacia pentadenia,Karri Wattle,,Acacia pentadenia Lindl.,,,TRUE,3484,Acacia pentadenia (Karri Wattle),Acacia pentadenia,Fabaceae,N,,2,GWJ,Sep,,54,GWJ,60,NDB,120,NDB,3,NDB,4,
17107,184,link,Acacia pulchella,Prickly Moses,,Acacia pulchella R.Br.,,,TRUE,3502,Acacia pulchella (Prickly Moses),Acacia pulchella,Fabaceae,N,,2,NDB,Aug,,24,NDB,48,NDB,60,NDB,2,RTW,4,
1834,185,link,Acacia pulchella var. pulchella,,,Acacia pulchella R.Br. var. pulchella,,,TRUE,15483,Acacia pulchella var. pulchella,Acacia pulchella var. pulchella,Fabaceae,N,,2,NDB,Aug,Sep,22,NDB,36,NDB,72,NDB,1,NDB,4,
1835,186,link,Acacia rostellifera,Summer-scented Wattle,,Acacia rostellifera Benth.,,,TRUE,3525,Acacia rostellifera (Summer-scented Wattle),Acacia rostellifera,Fabaceae,N,,2,NDB,Aug,,36,MUI,,,,,3,NDB,4,
32207,187,link,Acacia saligna,Orange Wattle, Kudjong),Acacia saligna (Labill.) H.L.Wendl.,,,TRUE,3527,Acacia saligna (Orange Wattle,Acacia saligna,Fabaceae,N,,2,NDB,,,36,MUI,48,NDB,72,NDB,3,NDB,4,
32206,188,link,Acacia scalpelliformis,,,Acacia scalpelliformis Meisn.,,,TRUE,3530,Acacia scalpelliformis,Acacia scalpelliformis,Fabaceae,N,,2,GWJ,Sep,,30,NDB,,,,,3,NDB,4,
32199,189,link,Acacia squamata,,,Acacia squamata Lindl.,,,TRUE,3554,Acacia squamata,Acacia squamata,Fabaceae,N,,5,LMC,May,,24,LMC,,,,,3,NDB,4,
1836,190,link,Acacia stenoptera,Narrow Winged Wattle,,Acacia stenoptera Benth.,,,TRUE,3557,Acacia stenoptera (Narrow Winged Wattle),Acacia stenoptera,Fabaceae,N,,2,NDB,May,,36,MUI,,,,,3,NDB,4,
1837,191,link,Acacia tayloriana,,,Acacia tayloriana F.Muell.,,,TRUE,3571,Acacia tayloriana,Acacia tayloriana,Fabaceae,N,4,5,NDB,Jan,,12,NDB,,,,,3,NDB,4,
1837,192,link,Acacia tetragonophylla,Kurara, Wakalpuka),Acacia tetragonophylla F.Muell.,,,TRUE,3577,Acacia tetragonophylla (Kurara,Acacia tetragonophylla,Fabaceae,N,,2,NDB,,,84,NDB,,,,,3,NDB,4,
1839,193,link,Acacia truncata,,,Acacia truncata Hoffmanns.,,,TRUE,3584,Acacia truncata,Acacia truncata,Fabaceae,N,,2,NDB,Jul,,60,MUI,,,,,3,NDB,4,
1840,194,link,Acacia urophylla,,,Acacia urophylla Benth.,,,TRUE,3591,Acacia urophylla,Acacia urophylla,Fabaceae,N,,2,NDB,Aug,,24,NDB,36,GWJ,72,GWJ,3,NDB,4,
32159,195,link,Acacia varia var. varia,,,Acacia varia Maslin var. varia,,,TRUE,15487,Acacia varia var. varia,Acacia varia var. varia,Fabaceae,N,,5,NDB,Sep,,18,NDB,,,,,3,NDB,4,
1841,196,link,Acacia willdenowiana,Grass Wattle,,Acacia willdenowiana H.L.Wendl.,,,TRUE,3602,Acacia willdenowiana (Grass Wattle),Acacia willdenowiana,Fabaceae,N,,2,NDB,Oct,,36,NDB,,,,,3,NDB,4,
1842,197,link,Acanthocarpus preissii,,,Acanthocarpus preissii Lehm.,,,TRUE,1208,Acanthocarpus preissii,Acanthocarpus preissii,Asparagaceae,N,,4,GWJ,Oct,,30,GWJ,,,,,,,4,
3200,1,link,Acidonia microcarpa,,,Acidonia microcarpa (R.Br.) L.A.S.Johnson & B.G.Briggs,,,FALSE,2268,Persoonia microcarpa,Persoonia microcarpa,Proteaceae,N,,2,GWJ,Nov,,12,GWJ,,,,,5,RTW,4,
32142,198,link,Acrotriche cordata,Coast Ground Berry,,Acrotriche cordata (Labill.) R.Br.,,,TRUE,6295,Acrotriche cordata (Coast Ground Berry),Acrotriche cordata,Ericaceae,N,,9,GWJ,Oct,,24,GWJ,,,,,,,4,
1843,199,link,Actinodium cunninghamii,Albany Daisy,,Actinodium cunninghamii Schauer,,,TRUE,5315,Actinodium cunninghamii (Albany Daisy),Actinodium cunninghamii,Myrtaceae,N,,4,NDB,Sep,,24,MUI,,,,,3,NDB,4,
1844,200,link,Actinotus leucocephalus,Flannel Flower,,Actinotus leucocephalus Benth.,,,TRUE,6205,Actinotus leucocephalus (Flannel Flower),Actinotus leucocephalus,Apiaceae,N,,2,NDB,Jan,,12,NDB,,,,,,,4,
1845,201,link,Actinotus omnifertilis,,,Actinotus omnifertilis (F.Muell.) Benth.,,,TRUE,6206,Actinotus omnifertilis,Actinotus omnifertilis,Apiaceae,N,,2,GWJ,Feb,,12,MUI,,,,,,,4,
1846,202,link,Adenanthos barbiger,,,Adenanthos barbiger Lindl.,,,TRUE,14970,Adenanthos barbiger,Adenanthos barbiger,Proteaceae,N,,5,NDB,Nov,,24,NDB,48,NDB,144,NDB,9,NDB,4,
1847,203,link,Adenanthos cuneatus,Coastal Jugflower,,Adenanthos cuneatus Labill.,,,TRUE,1773,Adenanthos cuneatus (Coastal Jugflower),Adenanthos cuneatus,Proteaceae,N,,5,LMC,Nov,,24,LMC,,,,,7,NDB,4,
1848,204,link,Adenanthos cygnorum,Common Woollybush,,Adenanthos cygnorum Diels,,,TRUE,1775,Adenanthos cygnorum (Common Woollybush),Adenanthos cygnorum,Proteaceae,N,,2,VDM,Nov,,24,VDM,,,,,4,NDB,4,
1848,205,link,Adenanthos meisneri,,,Adenanthos meisneri Lehm.,,,TRUE,1790,Adenanthos meisneri,Adenanthos meisneri,Proteaceae,N,,5,NDB,Jan,,36,MUI,,,,,7,NDB,4,
32084,206,link,Adenanthos obovatus,Basket Flower,,Adenanthos obovatus Labill.,,,TRUE,1791,Adenanthos obovatus (Basket Flower),Adenanthos obovatus,Proteaceae,N,,5,NDB,Mar,Feb,30,NDB,,,,,11,RTW,4,
32074,207,link,Adenanthos velutinus,Velvet Woollybush,,Adenanthos velutinus Meisn.,,,TRUE,1796,Adenanthos velutinus (Velvet Woollybush),Adenanthos velutinus,Proteaceae,N,T,5,NDB,Jun,,36,NDB,,,,,7,NDB,4,
1849,208,link,Agonis flexuosa,Peppermint, Wonil),Agonis flexuosa (Willd.) Sweet,,,TRUE,5316,Agonis flexuosa (Peppermint,Agonis flexuosa,Myrtaceae,N,,5,GWJ,,Dec,30,GWJ,,,,,,,4,
3207,2,link,Agonis theiformis,,,Agonis theiformis Schauer,,,FALSE,5319,Agonis hypericifolia,Agonis hypericifolia,Myrtaceae,N,,5,GWJ,Nov,,36,GWJ,,,,,8,RTW,4,
1850,209,link,Agrostis avenacea,Blowngrass,,Agrostis avenacea J.F.Gmel.,,,TRUE,176,Agrostis avenacea (Blowngrass),Agrostis avenacea,Poaceae,N,,8,GWJ,Sep,,12,GWJ,,,,,3,RTW,1,
1851,210,link,Agrostocrinum scabrum,Blue Grass Lily,,Agrostocrinum scabrum (R.Br.) Baill.,,,TRUE,1261,Agrostocrinum scabrum (Blue Grass Lily),Agrostocrinum scabrum,Hemerocallidaceae,N,,2,NDB,Oct,,22,NDB,,,,,,,4,
32044,211,link,Aira caryophyllea,Silvery Hairgrass,,Aira caryophyllea L.,,,TRUE,184,Aira caryophyllea (Silvery Hairgrass),Aira caryophyllea,Poaceae,Y,,2,NDB,Oct,,12,NDB,,,,,3,NDB,1,
32045,212,link,Alexgeorgea subterranea,,,Alexgeorgea subterranea Carlquist,,,TRUE,1057,Alexgeorgea subterranea,Alexgeorgea subterranea,Restionaceae,N,,4,VDM,Oct,,24,NDB,,,,,,,4,
1852,213,link,Allocasuarina acutivalvis,,,Allocasuarina acutivalvis (F.Muell.) L.A.S.Johnson,,,TRUE,1720,Allocasuarina acutivalvis,Allocasuarina acutivalvis,Casuarinaceae,N,,1,NDB,,,60,MUI,,,,,7,NDB,4,
32035,214,link,Allocasuarina campestris,,,Allocasuarina campestris (Diels) L.A.S.Johnson,,,TRUE,1721,Allocasuarina campestris,Allocasuarina campestris,Casuarinaceae,N,,1,NDB,,,60,NDB,,,,,4,NDB,4,
1853,215,link,Allocasuarina decussata,Karri She-oak,,Allocasuarina decussata (Benth.) L.A.S.Johnson,,,TRUE,1724,Allocasuarina decussata (Karri She-oak),Allocasuarina decussata,Casuarinaceae,N,,6,GWJ,,Jan,36,GWJ,,,,,3,RTW,4,
32032,216,link,Allocasuarina drummondiana,,,Allocasuarina drummondiana (Miq.) L.A.S.Johnson,,,TRUE,1726,Allocasuarina drummondiana,Allocasuarina drummondiana,Casuarinaceae,N,,,,,Dec,48,MUI,,,,,7,NDB,4,
1854,217,link,Allocasuarina fraseriana,Sheoak, Kondil),Allocasuarina fraseriana (Miq.) L.A.S.Johnson,,,TRUE,1728,Allocasuarina fraseriana (Sheoak,Allocasuarina fraseriana,Casuarinaceae,N,,6,GWJ,,,36,GWJ,,,,,12,NDB,4,
1855,218,link,Allocasuarina huegeliana,Rock Sheoak, Kwowl),Allocasuarina huegeliana (Miq.) L.A.S.Johnson,,,TRUE,1731,Allocasuarina huegeliana (Rock Sheoak,Allocasuarina huegeliana,Casuarinaceae,N,,1,NDB,,,60,NDB,,,,,7,NDB,4,
1212,219,link,Allocasuarina humilis,Dwarf Sheoak,,Allocasuarina humilis (Otto & A.Dietr.) L.A.S.Johnson,,,TRUE,1732,Allocasuarina humilis (Dwarf Sheoak),Allocasuarina humilis,Casuarinaceae,N,,5,LMC,Aug,,36,LMC,,,,,10,NDB,4,
5378,220,link,Allocasuarina microstachya,,,Allocasuarina microstachya (Miq.) L.A.S.Johnson,,,TRUE,1734,Allocasuarina microstachya,Allocasuarina microstachya,Casuarinaceae,N,,5,VDM,,,48,MUI,,,,,10,NDB,4,
5381,221,link,Allocasuarina pinaster,Compass Bush,,Allocasuarina pinaster (C.A.Gardner) L.A.S.Johnson,,,TRUE,1735,Allocasuarina pinaster (Compass Bush),Allocasuarina pinaster,Casuarinaceae,N,,,,,,60,MUI,,,,,10,NDB,4,
5382,222,link,Allocasuarina thuyoides,Horned Sheoak,,Allocasuarina thuyoides (Miq.) L.A.S.Johnson,,,TRUE,1739,Allocasuarina thuyoides (Horned Sheoak),Allocasuarina thuyoides,Casuarinaceae,N,,5,LMC,Apr,,36,LMC,,,,,10,NDB,4,
5383,223,link,Alopecurus myosuroides,Slender Foxtail,,Alopecurus myosuroides Huds.,,,TRUE,190,Alopecurus myosuroides (Slender Foxtail),Alopecurus myosuroides,Poaceae,Y,,8,NDB,Oct,,10,NDB,,,,,,,1,
3217,3,link,Ammothryon grandiflorum,Large Flowered Bogrush,,"Ammothryon grandiflorum (Lehm.) R.L.Barrett, K.L.Wilson & J.J.Bruhl",,,FALSE,992,Schoenus grandiflorus (Large Flowered Bogrush),Schoenus grandiflorus,Cyperaceae,N,,4,GWJ,Nov,,12,GWJ,,,,,3,RTW,4,
5388,224,link,Amperea ericoides,,,Amperea ericoides A.Juss.,,,TRUE,4585,Amperea ericoides,Amperea ericoides,Euphorbiaceae,N,,9,NDB,Sep,,10,NDB,,,,,,,4,
5391,225,link,Amperea volubilis,,,Amperea volubilis Benth.,,,TRUE,4588,Amperea volubilis,Amperea volubilis,Euphorbiaceae,N,,4,GWJ,Dec,,12,GWJ,,,,,,,4,
5392,226,link,Amphipogon amphipogonoides,,,Amphipogon amphipogonoides (Steud.) Vickery,,,TRUE,194,Amphipogon amphipogonoides,Amphipogon amphipogonoides,Poaceae,N,,5,GWJ,,,12,GWJ,,,,,,,4,
5393,227,link,Amphipogon debilis,,,Amphipogon debilis R.Br.,,,TRUE,197,Amphipogon debilis,Amphipogon debilis,Poaceae,N,,5,GWJ,Dec,,12,GWJ,,,,,,,4,
7046,228,link,Amphipogon laguroides,,,Amphipogon laguroides R.Br.,,,TRUE,198,Amphipogon laguroides,Amphipogon laguroides,Poaceae,N,,4,GWJ,Nov,,12,GWJ,,,,,,,4,
3157,229,link,Amphipogon strictus,Greybeard Grass,,Amphipogon strictus R.Br.,,,TRUE,199,Amphipogon strictus (Greybeard Grass),Amphipogon strictus,Poaceae,N,,4,LMC,Nov,,24,LMC,,,,,,,4,
25788,230,link,Amphipogon turbinatus,,,Amphipogon turbinatus R.Br.,,,TRUE,200,Amphipogon turbinatus,Amphipogon turbinatus,Poaceae,N,,4,NDB,Nov,,12,GWJ,,,,,3,RTW,4,
3165,231,link,Anarthria laevis,,,Anarthria laevis R.Br.,,,TRUE,1060,Anarthria laevis,Anarthria laevis,Anarthriaceae,N,,4,VDM,Jun,,24,VDM,,,,,,,4,
1417,232,link,Anarthria prolifera,,,Anarthria prolifera R.Br.,,,TRUE,1062,Anarthria prolifera,Anarthria prolifera,Anarthriaceae,N,,9,NDB,Sep,,21,NDB,,,,,1,RTW,4,
4403,233,link,Anarthria scabra,,,Anarthria scabra R.Br.,,,TRUE,1063,Anarthria scabra,Anarthria scabra,Anarthriaceae,N,,4,GWJ,Nov,,12,GWJ,,,,,1,RTW,4,
4413,234,link,Andersonia caerulea,Foxtails,,Andersonia caerulea R.Br.,,,TRUE,6306,Andersonia caerulea (Foxtails),Andersonia caerulea,Ericaceae,N,,8,GWJ,Sep,,24,NDB,,,,,12,RTW,4,
16636,235,link,Andersonia heterophylla,,,Andersonia heterophylla Sond.,,,TRUE,6311,Andersonia heterophylla,Andersonia heterophylla,Ericaceae,N,,5,BEL,Jul,,24,NDB,,,,,,,4,
17653,236,link,Andersonia involucrata,,,Andersonia involucrata Sond.,,,TRUE,6312,Andersonia involucrata,Andersonia involucrata,Ericaceae,N,,4,BEL,Oct,,,,,,,,4,,4,
4416,237,link,Andersonia lehmanniana subsp. lehmanniana,,,Andersonia lehmanniana Sond. subsp. lehmanniana,,,TRUE,11471,Andersonia lehmanniana subsp. lehmanniana,Andersonia lehmanniana subsp. lehmanniana,Ericaceae,N,,2,GWJ,Jun,,24,GWJ,,,,,,,4,
4422,238,link,Andersonia simplex,Spiked Andersonia,,Andersonia simplex (Stschegl.) Druce,,,TRUE,6320,Andersonia simplex (Spiked Andersonia),Andersonia simplex,Ericaceae,N,,8,LMC,Apr,,48,LMC,,,,,,,4,
4423,239,link,Andersonia sprengelioides,,,Andersonia sprengelioides R.Br.,,,TRUE,6321,Andersonia sprengelioides,Andersonia sprengelioides,Ericaceae,N,,2,GWJ,Sep,,18,NDB,,,,,,,4,
4424,240,link,Angianthus tomentosus,Camel-grass,,Angianthus tomentosus J.C.Wendl.,,,TRUE,7836,Angianthus tomentosus (Camel-grass),Angianthus tomentosus,Asteraceae,N,,2,VDM,Aug,,12,VDM,,,,,,,1,
4428,241,link,Anigozanthos bicolor subsp. decrescens,,,Anigozanthos bicolor subsp. decrescens Hopper,,,TRUE,11931,Anigozanthos bicolor subsp. decrescens,Anigozanthos bicolor subsp. decrescens,Haemodoraceae,N,,4,NDB,Oct,,7,NDB,,,,,4,NDB,4,
4429,242,link,Anigozanthos flavidus,Tall Kangaroo Paw,,Anigozanthos flavidus DC.,,,TRUE,1407,Anigozanthos flavidus (Tall Kangaroo Paw),Anigozanthos flavidus,Haemodoraceae,N,,4,GWJ,Nov,Sep,6,GWJ,,,,,3,RTW,4,
4436,243,link,Anigozanthos humilis,Catspaw,,Anigozanthos humilis Lindl.,,,TRUE,1409,Anigozanthos humilis (Catspaw),Anigozanthos humilis,Haemodoraceae,N,,4,VDM,Oct,,24,VDM,,,,,4,,4,
4441,244,link,Anigozanthos manglesii,Mangles Kangaroo Paw, Kurulbrang),Anigozanthos manglesii D.Don,,,TRUE,1411,Anigozanthos manglesii (Mangles Kangaroo Paw,Anigozanthos manglesii,Haemodoraceae,N,,4,NDB,,,12,NDB,,,,,4,,4,
4442,245,link,Anigozanthos manglesii subsp. manglesii,,,Anigozanthos manglesii D.Don subsp. manglesii,,,TRUE,11261,Anigozanthos manglesii subsp. manglesii,Anigozanthos manglesii subsp. manglesii,Haemodoraceae,N,,4,NDB,Sep,Sep,18,NDB,,,,,9,NDB,4,
3704,246,link,Anigozanthos rufus,Red Kangaroo Paw,,Anigozanthos rufus Labill.,,,TRUE,1415,Anigozanthos rufus (Red Kangaroo Paw),Anigozanthos rufus,Haemodoraceae,N,,4,LMC,Nov,,18,LMC,,,,,,,4,
14397,247,link,Anigozanthos viridis,Green Kangaroo Paw, Kurulbardang),Anigozanthos viridis Endl.,,,TRUE,1416,Anigozanthos viridis (Green Kangaroo Paw,Anigozanthos viridis,Haemodoraceae,N,,4,BEL,,,36,MUI,,,,,4,NDB,4,
14397,248,link,Anthocercis littorea,Yellow Tailflower,,Anthocercis littorea Labill.,,,TRUE,6949,Anthocercis littorea (Yellow Tailflower),Anthocercis littorea,Solanaceae,N,,4,GWJ,Dec,,18,GWJ,,,,,,,4,
3708,249,link,Anthocercis viscosa,Sticky Tailflower,,Anthocercis viscosa R.Br.,,,TRUE,6950,Anthocercis viscosa (Sticky Tailflower),Anthocercis viscosa,Solanaceae,N,,5,GWJ,Oct,,24,NDB,,,,,,,4,
3710,250,link,Aotus cordifolia,,,Aotus cordifolia Benth.,,,TRUE,3686,Aotus cordifolia,Aotus cordifolia,Fabaceae,N,,2,NDB,Oct,,18,NDB,,,,,,,4,
