Species ,Location,Condition,Population size,Time of collection,Plants sampled,seedset %,germination %,Seeds used in germination trials,Fire Response,ovules per flower,seed to ovule ratio
Verticordia fimbrilepis subsp. australis,Site KR,"healthy reserve, park, remnant bush",500+,Jan-95,200,14,15,13,,,
Verticordia fimbrilepis subsp. australis,Site KR,"healthy reserve, park, remnant bush",500+,Feb-96,200,29,87,45,,,
Verticordia fimbrilepis subsp. australis,Site KR,"healthy reserve, park, remnant bush",500+,Feb-97,100,25,68,63,,,
Verticordia fimbrilepis subsp. fimbrilepis,Site AT,"degraded reserve, park, remnant bush",<50,Mar-97,25,15,30,40,,,
Verticordia fimbrilepis subsp. fimbrilepis,Site AT,"degraded reserve, park, remnant bush",<50,Feb-98,15,20,25,48,,,
Verticordia fimbrilepis subsp. fimbrilepis,Site AT,"degraded reserve, park, remnant bush",<50,"Jan-96, Feb-96",8,39,79,168,,,
Verticordia fimbrilepis subsp. fimbrilepis,Site J4,degraded road verge,<50,Mar-97,40,17,62,29,,,
Verticordia fimbrilepis subsp. fimbrilepis,Site J4,degraded road verge,<50,Jan-98,30,20,32,54,,,
Verticordia fimbrilepis subsp. fimbrilepis,Site J4,degraded road verge,<50,"Jan-96, Feb-96",30,31,56,168,,,
Verticordia fimbrilepis subsp. fimbrilepis,Site J7,degraded road verge,100+,Mar-97,50,32,73,81,,,
Verticordia fimbrilepis subsp. fimbrilepis,Site J7,degraded road verge,100+,"Jan-96, Feb-96",150,28,86,99,,,
Verticordia fimbrilepis subsp. fimbrilepis,Site JNR,"healthy reserve, park, remnant bush",300+,Feb-98,250,15,82,71,,,
Verticordia fimbrilepis subsp. fimbrilepis,Site NH,degraded road verge,13,Jan-96,10,20,46,63,,,
Verticordia fimbrilepis subsp. fimbrilepis,Site R,degraded road verge,10,"Jan-98, Feb-98, Mar-98",10,19,30,23,,,
Verticordia fimbrilepis subsp. fimbrilepis,Site TR,"healthy reserve, park, remnant bush",100,Jan-99,100,37,44,1470,,,
Verticordia harveyi,Site BP,"healthy reserve, park, remnant bush",1000+,Apr-94,16,13,-,-,,,
Verticordia harveyi,Site BP,"healthy reserve, park, remnant bush",1000+,Apr-96,30,10,-,-,,,
Verticordia harveyi,Site BP,"healthy reserve, park, remnant bush",1000+,Apr-97,50,11,-,-,,,
Verticordia harveyi,Site EPT,"healthy reserve, park, remnant bush",1000+,Apr-95,200,7,-,-,,,
Verticordia harveyi,Site EPT,"healthy reserve, park, remnant bush",1000+,Apr-97,50,3,33,9,,,
Verticordia harveyi,Site SET,"healthy reserve, park, remnant bush",1000+,Apr-96,500,25,12,25,,,
Verticordia helichrysantha,Site CR,"healthy reserve, park, remnant bush",1000+,Nov-94,200,33,63,104,,,
Verticordia helichrysantha,Site CR,"healthy reserve, park, remnant bush",1000+,Oct-95,1000,21,50,54,,,
Verticordia helichrysantha,Site TB,"healthy reserve, park, remnant bush",1000+,Nov-98,50,4,29,14,,,
Verticordia hughanii,Site A,"healthy reserve, park, remnant bush",1000+,Mar-99,60,24,69,58,,,
Verticordia hughanii,Site HNR,"degraded reserve, park, remnant bush",<30,Mar-99,8,6,57,21,,,
Verticordia pityrhops,Site EMB,"healthy reserve, park, remnant bush",500+,May-99,200,5,-,-,,,
Verticordia plumosa var. ananeotes,Site ANR,"healthy reserve, park, remnant bush",<100,Mar-94,10,11,11,9,,,
Verticordia plumosa var. ananeotes,Site ANR,"healthy reserve, park, remnant bush",<100,Mar-94,20,3,18,11,,,
Verticordia plumosa var. ananeotes,Site ANR,"healthy reserve, park, remnant bush",<100,Feb-95,30,5,-,-,,,
Verticordia plumosa var. ananeotes,Site ANR,"healthy reserve, park, remnant bush",100+,Feb-98,150,6,42,19,,,
Verticordia plumosa var. ananeotes,Site ANR,"healthy reserve, park, remnant bush",100+,Feb-99,30,2,33,24,,,
Verticordia plumosa var. pleiobotrya,Site M,degraded road verge,500+,Feb-95,27,24,72,64,,,
Verticordia plumosa var. vassensis,Site APV,degraded road verge,50+,Feb-97,40,5,53,15,,,
Verticordia plumosa var. vassensis,Site APV,degraded road verge,50+,Jan-98,30,9,44,27,,,
Verticordia plumosa var. vassensis,Site E,degraded road verge,<20,Feb-99,10,0,-,-,,,
Verticordia plumosa var. vassensis,Site FR,"healthy reserve, park, remnant bush",1000++,Feb-98,1000,0,-,-,,,
Verticordia plumosa var. vassensis,Site FR,"healthy reserve, park, remnant bush",1000++,Feb-99,90,7,75,8,,,
Verticordia plumosa var. vassensis,Site GBR,healthy road verge,100+,Feb-98,20,17,48,44,,,
Verticordia plumosa var. vassensis,Site WLH,degraded road verge,50+,Feb-99,17,16,33,82,,,
Verticordia spicata subsp. squamosa,Site C,"healthy reserve, park, remnant bush",11,Jan-96,5,18,52,46,,,
Verticordia spicata subsp. squamosa,Site C,"healthy reserve, park, remnant bush",11,Jan-97,10,7,29,21,,,
Verticordia spicata subsp. squamosa,Site C,"healthy reserve, park, remnant bush",11,Feb-98,11,19,24,54,,,
Verticordia spicata subsp. squamosa,Site CR,degraded road verge,1,Jan-97,1,4,60,5,,,
Verticordia spicata subsp. squamosa,Site CYM,degraded road verge,1,Jan-96,1,0.35,-,-,,,
Verticordia spicata subsp. squamosa,Site CYM2,degraded road verge,1,Jan-97,1,0,-,-,,,
Verticordia spicata subsp. squamosa,Site NETS,degraded road verge,1,Jan-97,1,1,-,-,,,
Verticordia spicata subsp. squamosa,Site S,degraded road verge,2,Jan-96,2,8,36,22,,,
Verticordia spicata subsp. squamosa,Site S,degraded road verge,1,Jan-97,1,14,50,6,,,
Verticordia spicata subsp. squamosa,Site TSM,"degraded road verge/reserve, park, remnant bush",15,Jan-96,15,11,86,7,,,
Verticordia spicata subsp. squamosa,Site TSM,"degraded road verge/reserve, park, remnant bush",15,Jan-97,13,12,7,31,,,
Verticordia staminosa subsp. cylindraceae var. cylindraceae  ,Site PG,"healthy reserve, park, remnant bush",30,Dec-95,7,53,57,14,,,
Verticordia staminosa subsp. cylindraceae var. cylindraceae  ,Site PR,"healthy reserve, park, remnant bush",200,Dec-98,33,65,96,100,,,
Verticordia staminosa subsp. cylindraceae var. cylindraceae  ,Site VR,"healthy reserve, park, remnant bush",50,Dec-98,12,56,85,103,,,
Verticordia staminosa subsp. cylindraceae var. erecta,Site MG,"healthy reserve, park, remnant bush",200+,Dec-95,10,59,88,40,,,
Verticordia staminosa subsp. cylindraceae var. erecta,Site MG,"healthy reserve, park, remnant bush",200+,Dec-98,50,8,81,21,,,
Verticordia staminosa subsp. staminosa,Site MH,"healthy reserve, park, remnant bush",500+,"Oct-95, Nov-95",20,36,60,45,,,
Verticordia staminosa subsp. staminosa,Site MH,"healthy reserve, park, remnant bush",500+,Oct-97,30,40,70,50,,,
Verticordia staminosa subsp. staminosa,Site MH,"healthy reserve, park, remnant bush",500+,"Oct-96, Oct-96,",50,20,100,24,,,
Verticordia endlicheriana var. angustifolia,,,,,,,,,Both,2,0.5
Verticordia staminosa subsp. cylindraceae var. cylindraceae  ,,,,,,,,,Resprouter,2,0.5
Verticordia staminosa subsp. cylindraceae var. erecta,,,,,,,,,Resprouter,2,0.5
Verticordia staminosa subsp. staminosa,,,,,,,,,Resprouter,2,0.5
Verticordia albida,,,,,,,,,Seeder,7 or 8,0.125-0.14
Verticordia comosa,,,,,,,,,Seeder,8,0.14
Verticordia attenuata,,,,,,,,,Seeder,6,0.17
Verticordia bifimbriata,,,,,,,,,Seeder,6,0.17
Verticordia carinata,,,,,,,,,Seeder,6,0.17
Verticordia hughanii,,,,,,,,,Both,8,0.143
Verticordia spicata subsp. squamosa,,,,,,,,,Seeder,6 or 7,0.17-0.14
Verticordia densiflora var. caespitosa,,,,,,,,,Seeder,1 or 2,1-0.5
Verticordia densiflora var. pedunculata,,,,,,,,,Seeder,1 or 2,1-0.5
Verticordia dasystylis subsp. oestopoia,,,,,,,,,Unknown,2,1-0.5
Verticordia fimbrilepis subsp. australis,,,,,,,,,Seeder,2,0.5
Verticordia fimbrilepis subsp. fimbrilepis,,,,,,,,,Seeder,2,0.5
Verticordia harveyi,,,,,,,,,Seeder,2,0.5
Verticordia helichrysantha,,,,,,,,,Both,4 or 5,0.25-0.2
Verticordia pityrhops,,,,,,,,,Seeder,2,0.5
Verticordia plumosa var. ananeotes,,,,,,,,,Resprouter,4,0.25
Verticordia plumosa var. pleiobotrya,,,,,,,,,Seeder,4,0.25
Verticordia plumosa var. vassensis,,,,,,,,,Seeder,4,0.25
