Site_name,Locality,Species,leaf age,Replicate,Nitrogen_mg_g,Phosphorus_mg_g,Potassium_mg_g,Sulfur_mg_g,Carbon_mg_g,Calcium_mg_g,Magnesium_mg_g,Sodium_mg_g,Copper_mg_kg,Zinc_mg_kg,Manganese_mg_kg,Iron_mg_kg,Boron_mg_kg,Silicon_mg_kg,Nitrogen_Sulfur_Ratio,Nitrogen_Phosphorus_Ratio,Nitrogen_Potassium_Ratio,Carbon_Nitrogen_Ratio
Dog Pound Creek Reserve2,"Dog Pound Creek Reserve, Marjorie Headen Lookout",Banksia serrata ,mature,4,7.03,0.37,1.95,0.83,524.00,3.14,2.01,1.14,2.47,6.54,78.74,31.47,16.78,132.98,8.47,18.96,3.61,74.54
Dog Pound Creek Reserve2,"Dog Pound Creek Reserve, Marjorie Headen Lookout",Banksia serrata ,mature,5,6.86,0.29,2.51,0.88,492.00,4.55,1.74,1.38,2.76,7.61,124.74,33.53,16.78,275.32,7.80,23.84,2.74,71.72
Kuringai Wildflower Garden1,Ku-ring-gai Wildflower Garden,Eucalyptus luehmanniana,mature,1,9.40,0.25,2.68,0.83,528.00,3.55,1.98,1.26,4.02,6.84,107.79,<25,14.56,230.94,11.33,37.88,3.51,56.17
Kuringai Wildflower Garden1,Ku-ring-gai Wildflower Garden,Eucalyptus luehmanniana,mature,2,8.98,0.24,2.81,0.84,546.00,5.79,2.06,1.26,3.03,7.53,184.26,<25,13.18,164.61,10.69,37.41,3.20,60.80
Kuringai Wildflower Garden1,Ku-ring-gai Wildflower Garden,Eucalyptus luehmanniana,mature,3,7.55,0.26,2.58,1.00,520.00,3.06,1.98,1.72,2.55,5.16,163.15,<25,21.56,209.99,7.55,29.40,2.93,68.87
Kuringai Wildflower Garden1,Ku-ring-gai Wildflower Garden,Eucalyptus luehmanniana,mature,4,9.51,0.32,3.27,1.01,538.00,2.95,1.97,1.70,4.31,6.11,110.43,<25,12.52,239.78,9.42,30.01,2.91,56.57
Kuringai Wildflower Garden1,Ku-ring-gai Wildflower Garden,Eucalyptus luehmanniana,mature,5,9.10,0.25,3.38,0.95,514.00,2.77,1.89,2.95,4.13,6.41,173.67,<25,19.78,185.48,9.58,36.01,2.69,56.48
Kuringai Wildflower Garden1,Ku-ring-gai Wildflower Garden,Xanthorrhoea media,mature,1,3.70,0.11,5.30,0.86,474.00,8.18,0.75,NA,1.90,11.05,55.64,<25,7.01,<100,4.30,33.42,0.70,128.11
Kuringai Wildflower Garden1,Ku-ring-gai Wildflower Garden,Xanthorrhoea media,mature,2,4.21,0.13,8.19,0.73,464.00,5.95,1.06,0.24,3.30,7.71,27.39,<25,7.08,109.68,5.77,33.25,0.51,110.21
Kuringai Wildflower Garden1,Ku-ring-gai Wildflower Garden,Xanthorrhoea media,mature,3,6.13,0.19,8.55,0.76,474.00,6.45,1.60,0.56,2.68,18.31,135.24,<25,6.72,166.18,8.07,32.63,0.72,77.32
Kuringai Wildflower Garden1,Ku-ring-gai Wildflower Garden,Xanthorrhoea media,mature,4,4.68,0.18,8.93,0.65,465.00,2.34,1.11,0.21,2.24,15.09,42.19,<25,3.26,<100,7.20,25.36,0.52,99.36
Kuringai Wildflower Garden1,Ku-ring-gai Wildflower Garden,Xanthorrhoea media,mature,5,5.50,0.19,6.29,0.74,472.00,5.15,1.20,0.19,4.39,6.97,45.84,<25,6.08,<100,7.43,29.11,0.87,85.82
Kuringai Wildflower Garden1,Ku-ring-gai Wildflower Garden,Banksia ericifolia ,mature,1,6.75,0.13,2.55,1.09,496.50,2.66,1.22,0.80,2.14,3.41,174.30,43.58,13.51,154.23,6.22,53.10,2.65,73.56
Kuringai Wildflower Garden1,Ku-ring-gai Wildflower Garden,Banksia ericifolia ,mature,2,6.08,0.13,2.30,0.92,502.00,2.83,1.02,1.33,2.05,3.15,159.06,42.58,14.17,214.00,6.61,47.09,2.64,82.57
Kuringai Wildflower Garden1,Ku-ring-gai Wildflower Garden,Banksia ericifolia ,mature,3,7.22,0.15,3.18,0.95,470.00,2.54,0.63,1.19,2.72,3.52,174.38,46.24,19.28,<100,7.60,46.68,2.27,65.10
Kuringai Wildflower Garden1,Ku-ring-gai Wildflower Garden,Banksia ericifolia ,mature,4,8.71,0.16,2.08,0.97,495.00,4.09,0.80,1.27,2.92,4.20,273.33,42.78,16.02,138.15,8.98,53.52,4.19,56.83
Kuringai Wildflower Garden1,Ku-ring-gai Wildflower Garden,Banksia ericifolia ,mature,5,6.30,0.13,2.06,0.87,492.00,3.75,0.79,1.19,2.58,3.27,245.94,40.98,13.96,138.41,7.24,47.11,3.05,78.10
Kuringai Wildflower Garden2,"Ku-ring-gai Wildflower Garden, sampled over two sides of track, one recently burnt",Eucalyptus sieberi,mature,1,10.80,0.29,2.69,0.95,540.00,2.45,2.20,0.92,4.17,6.37,305.88,<25,17.81,309.75,11.37,36.77,4.01,50.00
Kuringai Wildflower Garden2,"Ku-ring-gai Wildflower Garden, sampled over two sides of track, one recently burnt",Eucalyptus sieberi,mature,2,7.02,0.24,3.45,0.83,521.00,4.66,2.32,1.91,3.04,8.35,715.45,<25,21.79,214.29,8.46,29.78,2.03,74.22
Kuringai Wildflower Garden2,"Ku-ring-gai Wildflower Garden, sampled over two sides of track, one recently burnt",Eucalyptus sieberi,mature,3,9.00,0.27,4.78,0.89,534.00,2.46,1.75,2.03,4.87,6.26,186.37,<25,21.40,279.64,10.11,33.65,1.88,59.33
Kuringai Wildflower Garden2,"Ku-ring-gai Wildflower Garden, sampled over two sides of track, one recently burnt",Eucalyptus sieberi,mature,4,9.20,0.25,3.04,0.87,526.00,3.04,2.07,1.30,4.76,7.07,226.19,<25,21.77,297.41,10.57,37.50,3.03,57.17
