Site_name,Locality,Species,leaf age,Replicate,Nitrogen_mg_g,Phosphorus_mg_g,Potassium_mg_g,Sulfur_mg_g,Carbon_mg_g,Calcium_mg_g,Magnesium_mg_g,Sodium_mg_g,Copper_mg_kg,Zinc_mg_kg,Manganese_mg_kg,Iron_mg_kg,Boron_mg_kg,Silicon_mg_kg,Nitrogen_Sulfur_Ratio,Nitrogen_Phosphorus_Ratio,Nitrogen_Potassium_Ratio,Carbon_Nitrogen_Ratio
EucFACE,EucFACE,Angophora floribunda,mature,1,13.70,0.81,7.64,1.25,499.00,5.00,1.24,2.20,3.94,49.22,869.37,204.54,30.98,239.67,10.96,16.82,1.79,36.42
EucFACE,EucFACE,Angophora floribunda,mature,2,15.00,0.81,8.71,1.26,497.00,6.59,2.50,1.40,5.29,63.76,1520.22,92.36,28.32,246.91,11.90,18.62,1.72,33.13
EucFACE,EucFACE,Angophora floribunda,mature,3,14.40,0.58,9.49,1.31,508.00,3.36,1.56,0.22,3.73,54.93,711.08,87.98,30.55,243.18,10.99,24.82,1.52,35.28
EucFACE,EucFACE,Angophora floribunda,mature,4,14.40,0.60,5.83,1.30,500.00,5.62,1.82,0.29,3.50,72.57,959.79,142.29,48.13,256.68,11.08,23.98,2.47,34.72
EucFACE,EucFACE,Angophora subvelutina,mature,1,16.10,0.64,8.10,1.47,496.00,8.54,2.34,0.26,4.07,82.73,1675.51,336.09,45.77,291.75,10.95,25.16,1.99,30.81
EucFACE,EucFACE,Angophora subvelutina,mature,2,15.40,0.58,8.71,1.33,502.00,5.08,1.79,0.74,3.24,65.42,1569.41,133.59,26.91,281.84,11.58,26.63,1.77,32.60
EucFACE,EucFACE,Angophora subvelutina,mature,3,17.40,0.76,6.68,1.54,494.00,5.74,2.57,1.30,4.59,84.42,965.72,237.44,39.19,286.22,11.30,22.77,2.60,28.39
EucFACE,EucFACE,Angophora subvelutina,mature,4,20.30,0.76,8.96,1.65,499.00,4.54,1.62,1.35,5.50,98.78,682.26,279.43,43.97,303.17,12.30,26.73,2.27,24.58
EucFACE,EucFACE,Angophora subvelutina,mature,5,14.60,0.60,5.76,1.25,501.00,3.89,1.32,2.93,3.87,50.07,1044.51,185.68,31.43,290.79,11.68,24.35,2.54,34.32
EucFACE,EucFACE,Eucalyptus tereticornis,mature,1,18.15,0.92,7.02,1.64,495.00,9.53,1.99,2.41,8.85,48.93,1631.36,98.79,61.21,288.80,11.10,19.70,2.59,27.27
EucFACE,EucFACE,Eucalyptus tereticornis,mature,2,16.60,0.75,6.98,1.37,506.00,5.79,2.23,2.11,7.12,30.10,660.80,222.84,47.38,308.83,12.12,21.99,2.38,30.48
EucFACE,EucFACE,Eucalyptus tereticornis,mature,3,18.80,0.90,4.93,1.66,498.00,7.86,1.67,1.96,4.09,21.45,951.80,165.59,42.27,300.99,11.33,20.96,3.81,26.49
EucFACE,EucFACE,Eucalyptus tereticornis,mature,4,18.20,1.13,8.35,1.82,513.00,8.14,2.01,3.34,7.34,26.31,959.25,82.16,53.21,316.77,10.00,16.05,2.18,28.19
EucFACE,EucFACE,Eucalyptus tereticornis,mature,5,23.60,0.93,7.24,1.86,503.00,7.83,1.98,1.92,8.11,46.08,1626.84,187.76,49.28,331.54,12.69,25.47,3.26,21.31
EucFACE,EucFACE,Acacia parramattensis,mature,1,32.30,0.90,5.52,2.01,515.00,8.55,2.56,0.71,13.30,13.67,176.75,158.77,23.63,312.34,16.07,35.91,5.85,15.94
EucFACE,EucFACE,Acacia parramattensis,mature,2,35.80,1.27,10.65,2.21,495.00,8.49,3.58,0.22,11.39,14.97,180.22,146.53,57.36,359.29,16.20,28.16,3.36,13.83
EucFACE,EucFACE,Acacia parramattensis,mature,3,38.40,1.14,8.50,2.26,493.00,10.43,3.09,0.27,17.44,16.13,176.19,131.58,50.57,295.40,16.99,33.71,4.52,12.84
EucFACE,EucFACE,Acacia parramattensis,mature,4,39.00,1.06,8.79,2.31,506.00,6.94,2.36,0.89,16.05,19.48,120.29,132.39,44.01,350.57,16.88,36.66,4.44,12.97
EucFACE,EucFACE,Acacia parramattensis,mature,5,31.30,0.85,4.74,1.87,523.00,5.51,2.05,1.24,12.62,14.65,105.75,243.94,34.82,342.44,16.74,36.80,6.61,16.71
EucFACE,EucFACE,Hakea sericia ,mature,1,8.75,0.43,3.33,1.11,494.00,3.42,1.24,0.69,1.48,4.93,170.33,74.94,42.19,333.37,7.88,20.13,2.63,56.46
EucFACE,EucFACE,Hakea sericia ,mature,2,8.34,0.27,2.95,1.26,484.00,2.06,1.01,1.58,1.25,4.54,124.97,102.91,53.96,396.31,6.62,30.51,2.82,58.03
EucFACE,EucFACE,Hakea sericia ,mature,3,5.02,0.24,2.44,1.42,490.00,1.40,0.79,0.79,1.03,2.95,66.67,92.86,38.60,326.49,3.54,20.93,2.06,97.61
EucFACE,EucFACE,Hakea sericia ,mature,4,8.05,0.30,3.09,1.07,470.00,2.32,0.70,1.39,1.27,4.70,189.50,67.34,40.07,374.94,7.52,26.98,2.60,58.39
EucFACE,EucFACE,Hakea sericia ,mature,5,8.77,0.48,3.04,1.11,486.00,3.63,1.31,0.63,1.79,4.61,155.90,70.03,59.36,331.50,7.90,18.15,2.89,55.42
Davies Park,"Davies Park, Blue Mountains",Angophora costata,mature,1,10.20,0.41,4.65,1.10,518.00,5.55,1.71,1.95,3.16,35.08,517.05,34.04,22.37,358.15,9.27,24.69,2.19,50.78
Davies Park,"Davies Park, Blue Mountains",Angophora costata,mature,2,9.16,0.35,2.83,1.02,516.00,4.84,2.17,1.95,6.51,39.73,711.59,31.86,21.00,340.31,8.98,26.32,3.24,56.33
Davies Park,"Davies Park, Blue Mountains",Angophora costata,mature,3,10.00,0.39,4.25,1.03,516.00,2.92,1.87,1.61,3.14,34.61,407.97,<25,18.99,293.64,9.71,25.69,2.35,51.60
Davies Park,"Davies Park, Blue Mountains",Angophora costata,mature,4,12.00,0.47,3.71,1.15,524.00,6.04,1.98,1.06,5.93,69.47,718.99,54.93,15.88,309.56,10.43,25.66,3.23,43.67
Davies Park,"Davies Park, Blue Mountains",Angophora costata,mature,5,11.20,0.45,4.80,1.21,529.00,4.83,1.45,0.92,3.98,42.40,655.06,40.53,24.23,415.52,9.26,24.82,2.33,47.23
Davies Park,"Davies Park, Blue Mountains",Corymbia gummifera,mature,1,10.40,0.38,4.50,0.98,505.00,2.93,2.04,2.30,2.89,10.75,256.44,<25,25.56,314.45,10.61,27.36,2.31,48.56
Davies Park,"Davies Park, Blue Mountains",Corymbia gummifera,mature,2,8.57,0.28,4.41,0.94,509.00,1.99,1.40,2.12,1.98,10.16,160.44,<25,21.73,295.04,9.12,30.79,1.94,59.39
Davies Park,"Davies Park, Blue Mountains",Corymbia gummifera,mature,3,9.60,0.45,8.06,1.21,501.00,2.36,1.86,2.35,4.20,18.08,211.54,<25,12.86,281.22,7.93,21.33,1.19,52.19
Davies Park,"Davies Park, Blue Mountains",Corymbia gummifera,mature,4,9.22,0.33,4.03,0.94,506.00,1.72,1.94,2.56,2.33,9.19,104.07,<25,12.76,273.75,9.81,28.19,2.29,54.88
Davies Park,"Davies Park, Blue Mountains",Corymbia gummifera,mature,5,9.01,0.38,4.29,1.04,503.50,2.81,2.53,2.19,2.70,25.57,205.95,25.13,13.26,219.14,8.71,23.63,2.10,55.88
Davies Park,"Davies Park, Blue Mountains",Eucalyptus piperita,mature,1,9.71,0.39,2.75,1.14,531.00,5.03,2.98,1.16,2.24,10.07,433.33,31.04,15.72,244.94,8.52,25.09,3.53,54.69
Davies Park,"Davies Park, Blue Mountains",Eucalyptus piperita,mature,2,11.20,0.39,3.02,1.23,530.00,3.46,2.72,1.30,3.67,8.92,265.11,<25,13.14,240.80,9.11,28.68,3.71,47.32
Davies Park,"Davies Park, Blue Mountains",Eucalyptus piperita,mature,3,9.17,0.38,2.83,1.06,531.00,4.36,2.09,1.71,2.63,8.87,274.72,<25,15.49,273.39,8.65,23.83,3.24,57.91
Davies Park,"Davies Park, Blue Mountains",Eucalyptus piperita,mature,4,9.96,0.38,2.90,1.13,539.00,3.17,1.69,1.50,3.14,9.51,80.14,<25,13.15,252.30,8.81,26.49,3.44,54.12
Davies Park,"Davies Park, Blue Mountains",Eucalyptus piperita,mature,5,9.88,0.36,3.01,1.10,532.00,2.77,2.28,1.94,3.65,8.62,175.63,<25,8.40,233.92,8.98,27.46,3.28,53.85
Davies Park,"Davies Park, Blue Mountains",Xanthorrhoea resinosa ,mature,1,5.46,0.23,6.33,0.72,466.00,1.93,1.83,0.26,1.60,8.79,69.82,<25,10.48,197.53,7.58,23.84,0.86,85.35
Davies Park,"Davies Park, Blue Mountains",Xanthorrhoea resinosa ,mature,2,5.80,0.26,8.01,0.75,469.00,3.33,1.06,0.35,1.62,12.29,45.16,<25,9.22,207.72,7.73,22.68,0.72,80.86
Davies Park,"Davies Park, Blue Mountains",Xanthorrhoea resinosa ,mature,3,5.75,0.26,12.37,0.71,459.00,1.33,1.88,0.28,1.44,8.96,69.47,<25,4.45,199.90,8.10,22.21,0.46,79.83
Davies Park,"Davies Park, Blue Mountains",Xanthorrhoea resinosa ,mature,4,5.47,0.23,10.18,0.77,461.00,1.87,1.35,0.30,1.34,15.55,55.96,<25,5.76,234.87,7.10,24.10,0.54,84.28
Davies Park,"Davies Park, Blue Mountains",Xanthorrhoea resinosa ,mature,5,5.39,0.20,9.13,0.67,464.00,1.20,0.61,NA,1.69,13.97,57.80,<25,4.98,191.44,8.04,27.31,0.59,86.09
Davies Park,"Davies Park, Blue Mountains",Banksia spinulosa,mature,1,6.37,0.27,2.76,1.01,497.00,3.26,1.91,0.61,1.66,5.34,305.84,56.11,26.73,291.03,6.31,23.66,2.31,78.02
Davies Park,"Davies Park, Blue Mountains",Banksia spinulosa,mature,2,8.08,0.22,2.73,1.09,497.00,1.19,1.56,0.68,1.78,5.36,100.22,46.07,25.23,219.12,7.41,36.12,2.96,61.51
Davies Park,"Davies Park, Blue Mountains",Banksia spinulosa,mature,3,7.99,0.24,3.19,1.11,498.00,1.68,2.26,0.58,2.02,5.57,181.98,56.24,38.85,277.88,7.20,32.84,2.50,62.33
Davies Park,"Davies Park, Blue Mountains",Banksia spinulosa,mature,4,6.52,0.24,2.68,1.14,497.00,1.12,1.64,1.06,1.56,4.59,108.05,57.08,32.30,316.57,5.72,27.36,2.43,76.23
Davies Park,"Davies Park, Blue Mountains",Banksia spinulosa,mature,5,8.18,0.35,4.31,1.20,497.00,2.71,1.61,0.73,2.42,5.91,140.31,54.15,29.18,246.68,6.82,23.56,1.90,60.76
Grose Road,"Grose Road 1, Blue Mountains",Eucalyptus burgessiana,mature,1,7.76,0.22,2.37,0.98,558.00,3.35,0.78,2.59,2.30,3.39,230.62,<25,18.65,278.37,7.92,35.50,3.27,71.91
Grose Road,"Grose Road 1, Blue Mountains",Eucalyptus burgessiana,mature,2,8.59,0.29,3.01,1.04,560.00,2.58,0.84,2.56,2.78,3.90,160.95,<25,17.66,227.32,8.26,29.95,2.85,65.19
Grose Road,"Grose Road 1, Blue Mountains",Eucalyptus burgessiana,mature,3,8.42,0.28,2.79,0.91,557.00,3.27,0.90,2.46,2.76,4.00,296.53,<25,20.68,274.19,9.25,30.43,3.02,66.15
Grose Road,"Grose Road 1, Blue Mountains",Eucalyptus burgessiana,mature,4,9.12,0.35,2.70,1.08,566.00,2.46,1.00,1.86,4.80,5.66,206.14,<25,22.54,255.76,8.44,25.75,3.38,62.06
Grose Road,"Grose Road 1, Blue Mountains",Eucalyptus burgessiana,mature,5,7.16,0.24,3.07,0.93,544.00,2.16,1.33,2.25,3.41,5.97,222.19,<25,20.09,287.35,7.70,30.18,2.33,75.98
