,Species,SPcode,AI,MAP,MAT,Site,Site_code,meth,P50,CI2.5,CI97.5,P88,CI2.5_p88,CI97.5_p88,ks,ks.SE,PSI pd (MPa),PSI pd.SE,PSI leaf,PSI leaf.SE,PSI min,PSI min.SE,WoodDensity,WoodDensity.SE,Dh.mean,Dh.se,Vdensity.mean,Vdensity.se,Kth.mean,Kth.se,TLP.mean,tlp.se,lma.mean,lma.se
10,Cryptocarya mackinnoniana,CRYMAC,0.4,5180,25,Daintree,DRO,Ks_Bench,3.313385405,2.251219708,3.59177044,3.900332678,3.497274748,6.271428527,2.480905042,0.814630219,0.256666667,0.024037009,1.68,0.079372539,0.596666667,0.102034852,0.532333333,0.049187849,41.08860917,1.009803329,149.8075987,19.62572728,10.47220584,1.632272267,-2.021115387,0.29618819,174.2490112,25.05997596
11,Dysoxylum papauanum,DYSPAP,0.4,5180,25,Daintree,DRO,PLC_Bench,2.660434132,2.171961889,3.10606298,4.299471837,3.760994295,NA,NA,NA,0.570666667,0.141855952,2.013333333,0.008819171,1.386666667,0.231036313,0.482333333,0.022659313,27.23314699,5.132772564,192.3933297,43.9158524,3.011459499,1.310120914,-2.12,0.11,NA,NA
12,Eleocarpus grandis,ELAANG,0.4,5180,25,Daintree,DRO,PLC_Bench,3.082308084,2.786495611,3.411257734,4.349752457,3.955342315,NA,NA,NA,0.281333333,0.066386076,1.593333333,0.193333333,0.795,0.14919227,0.475,0.011532563,28.45221231,3.624590638,198.2497122,15.78807028,3.887784805,2.056850285,-2.16,0.26,NA,NA
13,Endiandra microneura,ENDMIC,0.4,5180,25,Daintree,DRO,PLC_Bench,3.990140421,3.542814115,4.374586984,5.747051599,5.022564181,NA,0.979597256,0.141339181,0.293333333,0.029627315,1.453333333,0.012018504,0.593333333,0.052068331,0.614333333,0.022980668,40.06834508,0.56304951,97.52180934,7.219084675,6.204629919,0.80025293,-2.388941505,0.212500322,122.5544156,3.081849908
14,Eucalyptus dumosa,EUCDUM,5.4,240,17,Calperum,SA,PLC_Bench,8.36672336,7.845450628,8.809124529,NA,9.774625454,NA,1.4,0.139479552,3.9825,0.167101516,5.6522,0.081858659,4.8434,0.029932591,0.7796,0.080268674,29.96142947,1.885968732,163.3515243,31.20602701,3.32502391,0.906408977,-3.01525,0.223083458,429.5077,26.15644365
15,Eucalyptus fibrosa,EUCFIB,1.9,809.3,18,Cumberland Plain,CBLP,PLC_Bench,5.819819352,5.098786109,6.335903412,7.555202022,7.106671757,9.976023791,1.597456308,0.126390589,1.955555556,0.066897748,3.906666667,0.184059169,3.113333333,0.125476868,0.7042,0.007337575,27.53201695,1.211750099,234.9923117,42.93435582,3.168975553,0.236963119,-3.440199097,0.215615309,265.8807165,8.579694842
16,Eucalyptus miniata,EUCMIN,1,1700,27,Litchfield,NT,PLC_Bench,3.077813724,2.838577088,3.28601931,4.127450423,3.938980809,4.406544248,4.5125,0.370971721,0.503333333,0.136422546,2.01,0.051961524,1.27,0.110151411,0.611166667,0.015793283,43.86477871,2.116396321,138.449637,7.165767219,12.6396608,1.730308091,-1.555818089,0.045662288,164.6492612,6.993162465
17,Eucalyptus moluccana,EUCMOL,1.9,809.3,18,Cumberland Plain,CBLP,PLC_Bench,5.737624619,5.411695057,6.087316241,7.842060358,7.361564555,8.565643679,0.693597587,0.128688258,1.94375,0.117046046,4.098916667,0.130906366,3.4785,0.113088093,0.7474,0.011474319,34.20257586,2.642978715,141.5828678,31.13648129,4.583440757,0.393869365,-3.047203523,0.101408383,262.5267012,17.74662428
18,Eucalyptus obliqua,EUCOBL,0.5,1500,9,Warra,Warra,PLC_Bench,3.034885471,2.86414421,3.174985745,3.837626243,3.634125107,4.199983349,NA,NA,0.58,0.118462371,1.799,0.059556696,1.374,0.128747816,0.6046,0.020624258,31.85324328,1.029393855,167.014238,31.25766636,3.936373508,0.235784372,-1.715245021,0.087175666,NA,NA
19,Eucalyptus salmonphlioa,SALMON,4.6,267.5,19,Great Western Woodland,GWW,PLC_Bench,5.037047303,4.415281517,5.564032769,9.302030347,8.418547223,NA,1.815789474,0.156022033,2.7578,0.229971172,3.2764,0.260136041,2.8904,0.040294665,0.7804,0.01578797,32.55652464,0.831484683,142.6645954,30.48508484,3.8400681,0.643968581,-3.909325079,0.044166978,270.6324602,4.912566616
20,Eucalyptus salubris,GIMLET,4.6,267.5,19,Great Western Woodland,GWW,PLC_Bench,6.222025898,5.216181912,6.988762847,NA,9.026992704,NA,1.2,0.115470054,4.1828,0.123635513,4.7092,0.214022989,4.4202,0.299343348,0.830142857,0.006939976,29.54375909,2.250303038,111.0261237,8.525441137,2.246137938,0.612828755,-2.696,0.236437307,262.7994305,13.46739824
21,Eucalyptus socialis,EUCSOC,5.4,240,17,Calperum,SA,PLC_Bench,6.571698235,5.829699138,7.382451625,10.06036731,9.368499698,NA,1.592857143,0.133204084,2.813666667,0.060964288,4.5575,0.068674959,3.725,0.100324474,0.815,0.022318901,34.24217627,2.638765743,133.6650843,14.97916548,4.554240307,0.893118631,-3.466333333,0.091615743,344.2053587,60.62657526
22,Eucalyptus tereticornis,EUCTER,1.9,809.3,18,Cumberland Plain,CBLP,PLC_Bench,4.07324814,3.816741545,4.286519259,5.495033637,5.227351117,5.897325504,2.935694444,0.15741436,1.776923077,0.117295291,2.832,0.133319166,1.976,0.06415606,0.5486,0.00420238,43.0777002,2.652219655,112.4579494,13.84157631,9.279789903,1.544517553,-2.206336786,0.053702459,166.1877614,3.830326835
23,Eucalyptus tetrodonta,EUCTET,1,1700,27,Litchfield,NT,PLC_Bench,3.077393704,2.732116594,3.323035249,4.894860622,4.61121661,5.313588022,4.007407407,0.239475086,0.408333333,0.069900723,2.18,0.076376262,1.47,0.075055535,0.6904,0.014472733,40.85501131,4.705110544,168.0195028,15.27450026,12.27632777,4.156036795,-1.559665975,0.010445467,186.1129942,5.199576543
24,Eucryphia lucida,EUCLUC,0.5,1500,9,Warra,Warra,PLC_Cavitron,2.52658598,2.420095626,2.631279351,3.688844345,3.532891699,3.909476267,0.540086554,0.175869452,0.408333333,0.052307849,1.25,0.327871926,0.845,0.035,0.566,0.011081516,20.86294269,0.772815574,324.8768709,51.10182346,1.603585207,0.503943766,-1.919913519,0.114453932,123.5015653,12.06077663
25,Hakea leucoptera,HAKLEU,5.4,240,17,Calperum,SA,PLC_Bench,5.02190122,4.312409673,5.464880761,6.694064808,6.094088227,NA,0.4,0.070710678,1.36,0.375433083,3.664,0.14472733,2.676,0.333160622,0.733325559,0.008023616,18.21055893,0.804413264,296.6082378,18.35577203,0.855474923,0.157370087,-3.519017025,NA,NA,NA
26,Hakea sericea,HAKSER,1.9,809.3,18,Cumberland Plain,CBLP,PLC_Cavitron,5.665182207,5.491440278,5.846875365,6.597765664,6.372253983,6.897287569,0.88672,0.055569402,1.3398,0.159039743,2.965,0.133822021,2.7625,0.090955575,0.565155757,0.011038241,19.24531234,1.452784018,261.3258673,24.81929882,0.909899775,0.19131648,-3.560256069,0.439000155,NA,NA
27,Melaleuca decora,MELDEC,1.9,809.3,18,Cumberland Plain,CBLP,PLC_Bench,5.679663564,4.813491982,6.208626596,9.338862659,8.502340955,NA,2.832142857,0.268646104,2.85,0.08660254,5.525,0.131497782,2.766666667,0.300462606,0.6044,0.017957171,29.07419954,1.184876247,182.8533925,14.32492706,3.327953094,0.7160979,-2.579859463,0.160970298,NA,NA
28,Nothofagus cunninghamii,NOTCUN,0.5,1500,9,Warra,Warra,PLC_Cavitron,2.445562154,2.354947944,2.528720139,3.082592036,2.971042525,3.235546562,0.861418049,0.171963382,0.446666667,0.061734197,1.312333333,0.12074261,1.031,0.130001282,0.5876,0.009373367,20.39583861,1.650004806,440.711069,83.89212482,1.923299131,0.509239116,-1.922453658,0.135018943,119.2409784,2.248344799
29,Phyllocladus aspleniifolius,PHYASP,0.5,1500,9,Warra,Warra,PLC_Cavitron,3.402773183,3.284795928,3.524967103,5.539686898,5.288604021,5.87866825,0.884491861,0.156474029,0.5,0.056568542,1.5,0.15442366,1.235714286,0.080470555,0.6862,0.009035486,10.04731203,0.355745693,3691.740837,253.4404933,0.915793369,0.071709261,-1.982363956,0.272986984,NA,NA
30,Pomaderris apetala,POMAPE,0.5,1500,9,Warra,Warra,PLC_Cavitron,2.884182701,2.61043259,3.140662059,5.935065155,5.02302871,NA,0.44669542,0.285832907,1.29,0.456106713,2.269666667,0.338216072,1.73,0.499733262,0.5474,0.026477538,27.54853927,2.843890795,319.0020631,29.96151974,4.604201351,1.425881349,-2.404557421,0.269264371,123.70112,11.59834856
31,Rockinghamia angustifolia,ROCANG,0.4,5180,25,Daintree,DRO,PLC_Bench,3.109705212,2.629102134,3.444419873,4.112316722,3.753975154,NA,NA,NA,0.1355,0.0255,1.062,0.038,0.436666667,0.023333333,0.471,0.029308702,44.51142827,3.242894325,72.26013583,5.08773279,7.08949054,1.525284443,-1.834995318,0.031881336,NA,NA
32,Syzygium graveolens,SYZGRA,0.4,5180,25,Daintree,DRO,PLC_Bench,2.609822711,2.264543363,2.994499152,4.285844675,3.768782237,NA,2.216666667,0.208362743,0.201666667,0.028915586,1.33,0.2,0.79,0.090092545,0.5545,0.009878758,40.52758333,3.636353503,123.3709636,15.79657053,8.152042369,1.800659319,-1.663770542,0.072639837,129.5132949,11.13640487
33,Syzygium sayeri,SYZSAY,0.4,5180,25,Daintree,DRO,PLC_Bench,2.156662585,1.854289772,2.395689669,2.99531958,2.73406532,NA,NA,NA,0.33,0.069398607,1.343333333,0.120046287,0.963333333,0.020275875,0.536333333,0.008666667,29.33981392,1.006278995,200.2472101,25.87720302,3.560030417,0.168734666,-1.86,0.14,NA,NA
