SppName,WD,WDS
Glochidian.hylandii,0.66,DM
Gossia.shepherdii,0.7,JW
Guioa.lasioneura,0.53,DM
Haplostichanthus.johnsonii,0.62,DM
Harpullia.rhyticarpa,0.74,JW
Hedycarya.loxocarya,0.59,JW
Hylandia.dockrillii,0.46,DM
Irvingbaileya.australis,0.41,DM
Medicosma.fareana,0.68,GWD
Mischocarpus.lachnocarpus,0.64,DM
Myristica.globosa,0.5,JW
Niemeyera.prunifera,0.66,JW
Opisthiolepis.heterophylla,0.5,DM
Oraniopsis.appendiculata,0.17,DM
Pittosporum.rubiginosum,0.88,DM
Pouteria.brownlessiana,0.66,DM
Pouteria.xerocarpa,0.58,DM
Prunus.turneriana,0.44,DM
Pseuduvaria.hylandii,0.58,JW
Rhodomyrtus.trineura.ssp.capensis,0.74,DM
Rockinghamia.angustifolia,0.65,DM
Schistocarpaea.johnsonii,NA,NA
Siphonodon.australis,0.65,DM
Siphonodon.membranaceous,0.72,JW
Sloanea.langii,0.57,DM
Sloanea.macbrydei,0.48,DM
Steganthera.laxiflora,0.5,DM
Symplocos.hayesii,0.68,JW
Symplocos.paucistaminea,0.45,JW
Syzygium.gustavoides,0.59,GWD
Syzygium.mulgraveanum,0.7,GWD
Toechima.erythrocarpum,0.68,JW
Vanroyena.castanosperma,0.8,DM
Wilkiea.cordata,0.68,JW
Xanthophyllum.octandrum,0.69,JW
