species_name,original_name,wood_density_Ilic_2000,wood_density_Kooyman_2011,wood_density_Metcalfe_2009,wood_density_Sams_2017,wood_density_Zanne_2009,wood_density_to_keep,wood_density_unique
Beilschmiedia brunnea,Beilschmedia brunnea,NA,NA,NA,0.45,NA,keep,0.45
Beilschmiedia elliptica,Beilschmiedia elliptica,0.702,0.7009,NA,0.7,NA,omit,NA
Beilschmiedia tooram,Beilschmiedia tooram,0.732,0.67,NA,0.78,0.784,omit,NA
Brachychiton acerifolius,Brachychiton acerifolius,0.3416666666666667,0.34,0.333,0.34,NA,omit,NA
Brachychiton discolor,Brachychiton discolor,0.24675000000000002,NA,NA,0.26,NA,keep,0.26
Bridelia leichhardtii,Bridiella leichhardtii,NA,NA,NA,0.61,NA,keep,0.61
Caldcluvia paniculosa,Ackama paniculosa,NA,NA,NA,0.56,NA,keep,0.56
Capparis arborea,Capparis arborea,0.762,0.7,NA,0.7,NA,omit,NA
Cardwellia sublimis,Cardwellia sublimis,0.46399999999999997,0.436,0.461,0.46,0.5,omit,NA
Cassine australis,Elaeodendron australe,0.732,NA,NA,0.73,NA,omit,NA
Castanospermum australe,Castanospermum australe,0.623,0.583,0.621,0.62,NA,omit,NA
Castanospora alphandi,Castanospora alphandii,0.607,0.57,0.581,0.58,NA,omit,NA
Celtis paniculata,Celtis paniculata,0.607,0.57,NA,0.58,NA,keep,0.58
Cinnamomum oliveri,Cinnamomum oliveri,0.478,0.463,NA,0.46,NA,omit,NA
Cinnamomum virens,Cinnamomum virens,0.4845,0.4816,NA,0.48,NA,omit,NA
Citronella moorei,Citronella moorei,0.582,0.562,NA,0.56,NA,omit,NA
Citronella smythii,Citronella smythii,0.5856,0.56,NA,0.56,NA,omit,NA
Claoxylon australe,Cloaxylon australe,NA,NA,NA,0.59,NA,keep,0.59
Codiaeum variegatum,Codiaeum variegatum var moluccanum,NA,NA,NA,0.49,NA,keep,0.49
Corynocarpus cribbianus,Corynocarpus cribbianus,0.594,NA,NA,0.57,NA,keep,0.57
Croton triacros,Croton triacros,0.525,0.5,NA,0.5,NA,omit,NA
Cryptocarya erythroxylon,Cryptocarya erythroxylon,0.585,0.6192,NA,0.62,NA,omit,NA
Cryptocarya glaucescens,Cryptocarya glaucescens,0.5495,0.5418,NA,0.54,NA,omit,NA
Cryptocarya grandis,Cryptocarya grandis,NA,NA,NA,0.71,0.715,keep,0.71
Cryptocarya mackinnoniana,Cryptocarya mackinnoniana,0.749,0.718,0.717,0.72,0.758,omit,NA
Cryptocarya meisneriana,Cryptocarya meisneriana,NA,NA,NA,0.64,NA,keep,0.64
Cryptocarya obovata,Cryptocarya obovata,0.497,0.5504,NA,0.55,NA,omit,NA
Cryptocarya pleurosperma,Cryptocarya pleurosperma,0.5906666666666667,0.562,NA,0.57,0.56,keep,0.57
Cryptocarya putida,Cryptocarya putida,NA,NA,NA,0.54,NA,keep,0.54
Cryptocarya triplinervis var. pubens,Cryptocarya triplonervis.var.pubens,NA,NA,NA,0.65,NA,keep,0.65
Cupaniopsis flagelliformis,Cupaniospsis flagelliformis,NA,NA,NA,0.79,NA,keep,0.79
Daphnandra apatela,Daphnandra apetala,NA,NA,NA,0.56,NA,keep,0.56
Daphnandra melasmena,Daphnandra melasmena,NA,NA,NA,0.56,NA,keep,0.56
Daphnandra repandula,Daphnandra rapandula,NA,NA,NA,0.58,NA,keep,0.58
Darlingia ferruginea,Darlingia ferrugenia,NA,NA,NA,0.52,NA,keep,0.52
Delarbrea michieana,Delarbrea micheana,NA,NA,NA,0.63,NA,keep,0.63
Dendrocnide excelsa,Dendrocnide excelsa,0.207,0.2064,NA,0.21,NA,omit,NA
Dendrocnide photiniphylla,Dendrocnide photinophylla,0.207,0.21,NA,0.21,NA,omit,NA
Denhamia celastroides,Denhamia celastroides,NA,0.7181,NA,0.72,NA,omit,NA
Diospyros australis,Diospyros australis,0.633,NA,NA,0.63,NA,omit,NA
Diospyros cupulosa,Diospyros cupulosa,NA,NA,NA,0.84,NA,keep,0.84
Diospyros pentamera,Diospyros pentamera,0.618,0.569,NA,0.57,NA,omit,NA
Diploglottis bracteata,Diploglottis bracteata,0.857,0.77,NA,0.81,NA,keep,0.81
Diploglottis cunninghamii,Diploglottis australis,0.6516666666666666,0.5977,NA,0.6,NA,omit,NA
Diploglottis diphyllostegia,Diploglottis diphyllostegia,NA,NA,0.692,0.42,NA,keep,0.42
Doryphora aromatica,Doryphora aromatica,0.482,0.46,NA,0.46,NA,omit,NA
Doryphora sassafras,Doryphora sassafras,0.5033333333333333,0.516,NA,0.52,0.55,omit,NA
Drypetes deplanchei,Drypetes deplanchei,0.782,NA,NA,0.72,NA,keep,0.72
Duboisia myoporoides,Duboisia myoporoides,0.3865,0.375,NA,0.38,NA,omit,NA
Dysoxylum fraserianum,Dysoxylum fraserianum,0.607,0.6192,NA,0.62,NA,omit,NA
Dysoxylum papuanum,Dysoxylum papuanum,NA,0.59,0.605,0.63,NA,keep,0.63
Dysoxylum parasiticum,Dysoxylum parasiticum,NA,NA,0.601,0.6,NA,omit,NA
Dysoxylum pettigrewianum,Dysoxylum pettigrewianum,0.7315,0.69,0.709,0.71,0.629,omit,NA
Dysoxylum rufum,Dysoxylum rufum,0.551,NA,NA,0.53,NA,keep,0.53
Ehretia acuminata,Ehretia acuminata,0.5196666666666667,0.493,NA,0.49,0.525,omit,NA
Elaeocarpus angustifolius,Elaeocarpus grandis,NA,NA,0.413,0.41,NA,omit,NA
Elaeocarpus kirtonii,Elaeocarpus kirtonii,0.581,0.5805,NA,0.58,NA,omit,NA
Elattostachys nervosa,Elattostachys nervosa,NA,0.6622,NA,0.66,NA,omit,NA
Elattostachys xylocarpa,Elattostachys xylocarpa,0.663,0.6622,NA,0.7,NA,keep,0.7
Emmenosperma alphitonoides,Emmenosperma alphitoniodes,NA,NA,NA,0.69,NA,keep,0.69
Endiandra bessaphila,Endiandra bessaphila,NA,NA,NA,0.8,NA,keep,0.8
Endiandra compressa,Endiandra compressa,0.85,0.799,NA,0.8,NA,omit,NA
Endiandra cowleyana,Endiandra cowleyana,0.663,0.61,0.613,0.64,0.641,omit,NA
Endiandra crassiflora,Endiandra crassiflora,0.6705000000000001,0.6751,NA,0.67,NA,omit,NA
Endiandra insignis,Endiandra insignis,NA,NA,NA,0.68,NA,keep,0.68
Endiandra monothyra,Endiandra monothyra,NA,NA,NA,0.68,NA,keep,0.68
Endiandra palmerstonii,Endiandra palmerstonii,0.5893333333333333,0.57,NA,0.65,0.6056666666666667,keep,0.65
Endiandra sankeyana,Endiandra sankeyana,0.65,0.6,NA,0.71,0.71,omit,NA
Endiandra virens,Endiandra virens,NA,NA,NA,0.62,NA,keep,0.62
Endiandra wolfei,Endiandra wolfei,NA,NA,NA,0.86,0.861,omit,NA
Erythroxylon sp.,Erythroxylon sp,NA,NA,NA,0.81,NA,keep,0.81
Eupomatia laurina,Eupomatia laurina,NA,NA,0.495,0.54,0.544,omit,NA
Euroschinus falcatus var. falcatus,Euroschinis falcatus.var.falcatus,NA,NA,NA,0.41,NA,keep,0.41
Ficus congesta,Ficus congesta,NA,NA,NA,0.43,NA,keep,0.43
Ficus copiosa,Ficus copiosa,NA,NA,NA,0.41,NA,keep,0.41
Ficus coronata,Ficus coronata,0.4,0.3999,NA,0.4,NA,omit,NA
Ficus fraseri,Ficus fraserii,NA,NA,NA,0.41,NA,keep,0.41
Ficus leptoclada,Ficus leptoclada,0.482,NA,0.461,0.46,NA,omit,NA
Firmiana papuana,Firmiana papuana,NA,NA,NA,0.34,0.344,omit,NA
Flindersia brayleyana,Flindersia brayleyana,0.486,NA,0.477,0.48,0.474,omit,NA
Flindersia schottiana,Flindersia schottiana,0.5816666666666667,0.58,0.557,0.56,0.593,omit,NA
Fontainea picrosperma,Fontainea picrosperma,NA,NA,NA,0.46,NA,keep,0.46
Franciscodendron laurifolium,Franciscodendron laurifolium,0.3875,0.38,NA,0.37,NA,keep,0.37
Garcinia gibbsiae,Garcinia gibbsiae,NA,NA,NA,0.82,NA,keep,0.82
Geijera salicifolia,Geijera salicifolia,0.8220000000000001,NA,NA,0.78,0.784,omit,NA
Geissois benthamiana,Geissios benthami,NA,NA,NA,0.58,NA,keep,0.58
Glochidion ferdinandii,Glochidion ferdinandi,0.593,0.5977,NA,0.6,NA,omit,NA
Glochidion hylandii,Glochidian hylandii,NA,NA,NA,0.66,NA,keep,0.66
Gmelina fasciculiflora,Gmelina fasciculiflora,0.4695,0.45,NA,0.47,NA,omit,NA
Gossia bidwillii,Gossia bidwilli,NA,NA,NA,0.68,NA,keep,0.68
Gossia dallachyana,Gossia dallachania,NA,NA,NA,0.81,NA,keep,0.81
Gossia shepherdii,Gossia shepherdii,NA,NA,NA,0.7,NA,keep,0.7
Guilfoylia monostylis,Guilfolya monostylis,NA,NA,NA,0.36,NA,keep,0.36
Guioa lasioneura,Guioa lasioneura,NA,NA,NA,0.53,0.536,keep,0.53
Guioa semiglauca,Guioa semiglauca,NA,0.6622,NA,0.66,NA,omit,NA
Haplostichanthus johnsonii,Haplostichanthus johnsonii,NA,NA,NA,0.62,NA,keep,0.62
Haplostichanthus submontanus,Haplosticanthus submontanus,NA,NA,NA,0.76,NA,keep,0.76
Harpullia rhyticarpa,Harpulia rhytocarpa,NA,NA,NA,0.74,NA,keep,0.74
Hedraianthera porphyropetala,Hedraianthera porphyropetala,NA,NA,NA,0.69,NA,keep,0.69
Hedycarya loxocarya,Hedycarya loxocarya?,NA,NA,NA,0.59,NA,keep,0.59
Helicia glabrifolia,Helicia glabrifolia,NA,NA,NA,0.58,NA,keep,0.58
Heritiera actinophylla,Argyrodendron actinophyllum,NA,NA,NA,0.71,NA,keep,0.71
Hodgkinsonia ovatiflora,Hodgkinsonia ovatiflora,NA,0.8256,NA,0.63,NA,keep,0.63
Hylandia dockrillii,Hylandea dockrillii,NA,NA,NA,0.46,NA,keep,0.46
Irvingbaileya australis,Irvingbaileya australis,0.426,0.41,NA,0.41,NA,omit,NA
Jagera pseudorhus,Jagera pseudorhus,0.676,NA,NA,0.63,NA,keep,0.63
Kibara macrophylla,Wilkiea macrophylla,NA,NA,NA,0.67,NA,keep,0.67
Ligustrum lucidum,Ligustrum lucidum,NA,NA,NA,0.45,NA,keep,0.45
Ligustrum sinense,Ligustrum sinense,NA,NA,NA,0.41,NA,keep,0.41
Linospadix monostachyos,Linospadix monostachya,NA,NA,NA,0.82,NA,keep,0.82
Litsea leefeana,Litsea leefeana,0.41466666666666663,0.408,0.421,0.42,0.439,omit,NA
Litsea reticulata,Litsea reticulata,0.438,0.43,NA,0.43,NA,omit,NA
Lophostemon confertus,Lophostemon confertus,0.7424999999999999,0.69,NA,0.69,0.762,omit,NA
Macaranga inamoena,Macaranga inoemena,NA,NA,NA,0.46,NA,keep,0.46
Mallotus philippensis,Mallotus phillipensis,NA,NA,NA,0.62,NA,keep,0.62
Mallotus polyadenos,Mallotsus polyadenos,NA,NA,NA,0.62,NA,keep,0.62
Maytenus disperma,Maytenus disperma,0.814,0.74,NA,0.77,NA,keep,0.77
Medicosma fareana,Medicosma fareana,0.676,0.63,NA,0.68,NA,omit,NA
Melia azedarach,Melia azedarch,NA,NA,NA,0.39,NA,keep,0.39
Melicope elleryana,Melicope elleryana,0.524,0.5,0.501,0.5,NA,omit,NA
Melicope hayesii,Melicope hayesii,NA,0.5375,NA,0.53,NA,keep,0.53
Melicope micrococca,Melicope micrococca,0.5093333333333333,0.5246,NA,0.53,NA,keep,0.53
Melicope platynema,Brombya platynema,0.611,NA,NA,0.62,NA,keep,0.62
Melicope vitiflora,Melicope vitaflora,NA,NA,NA,0.51,NA,keep,0.51
Mischocarpus lachnocarpus,Mischocarpus lachnocarpus,NA,NA,0.637,0.64,NA,omit,NA
Myristica globosa,Myristica globosa,0.48133333333333334,NA,NA,0.5,NA,keep,0.5
Myristica insipida,Myristica insipida,0.482,0.46,NA,0.46,NA,omit,NA
Neolitsea australiensis,Neolitsia australiensis,NA,NA,NA,0.58,NA,keep,0.58
Neolitsea dealbata,Neolitsea dealbata,NA,NA,0.557,0.56,0.498,omit,NA
Niemeyera chartacea,Niemeyera chartacea,0.663,NA,NA,0.63,NA,keep,0.63
Niemeyera prunifera,Niemeyera prunifera,0.5855,0.615,NA,0.66,NA,keep,0.66
Notelaea longifolia,Notolea longifolia,NA,NA,NA,0.87,NA,keep,0.87
Olea paniculata,Olea paniculata,0.7745,0.732,NA,0.73,NA,omit,NA
Opisthiolepis heterophylla,Opisthiolepus heterophylla,NA,NA,NA,0.5,NA,keep,0.5
Oraniopsis appendiculata,Oraniopsis appendiculata,NA,NA,NA,0.17,NA,keep,0.17
Orites excelsus,Orites excelsus,NA,0.497,NA,0.5,NA,omit,NA
Pilidiostigma glabrum,Pilidiostigma glabrum,NA,0.6192,NA,0.56,NA,keep,0.56
Pilidiostigma tropicum,Pilidiostigma tropicum,NA,NA,0.631,0.63,0.632,omit,NA
Pittosporum multiflorum,Pittosporum mulitflorum,NA,NA,NA,0.64,NA,keep,0.64
Pittosporum rubiginosum,Pittosporum rubiginosum,NA,NA,NA,0.88,0.722,keep,0.88
Planchonella australis,Pouteria australis,0.759,0.7568,NA,0.76,NA,omit,NA
Planchonella myrsinodendron,Planchonella myrsinoidendron,NA,NA,NA,0.65,NA,keep,0.65
Planchonella xylocarpa,Pouteria xylocarpa,NA,NA,NA,0.58,NA,keep,0.58
Polyalthia nitidissima,Polyalthia nitidissima,0.469,0.45,0.453,0.45,NA,omit,NA
Polyosma cunninghamii,Polyosma cunninghamii,NA,0.6192,NA,0.62,NA,omit,NA
Polyscias elegans,Polycias elegens,NA,NA,NA,0.4,NA,keep,0.4
Polyscias murrayi,Polyscias murrayi,0.31266666666666665,0.27,NA,0.27,NA,omit,NA
Prunus turneriana,Prunus turneriana,NA,0.44,NA,0.44,NA,omit,NA
Pseudomorus brunoniana,Streblus brunonianus,0.702,0.65,0.655,0.65,NA,omit,NA
Pseuduvaria hylandii,Pseudavarius hylandia,NA,NA,NA,0.58,NA,keep,0.58
Psydrax odorata,Psydrax odorata,0.87,NA,NA,0.87,NA,omit,NA
Quintinia verdonii,Quintinia verdonii,NA,0.4472,NA,0.45,NA,omit,NA
Rapanea variablis,Myrsine variabilis,0.784,0.71,NA,0.71,NA,omit,NA
Rhodomyrtus trineura subsp. capensis,Rhodomyrtus trineura.ssp.capensis,NA,NA,NA,0.74,NA,keep,0.74
Rockinghamia angustifolia,Rockinghamia angustifolia,0.689,0.64,NA,0.65,NA,keep,0.65
Sarcopteryx stipitata,Sarcopteryx stipata,NA,0.8385,NA,0.84,NA,omit,NA
Scolopia braunii,Scolopia braunii,0.663,0.61,0.629,0.63,NA,omit,NA
Siphonodon australis,Siphonodon australia,NA,NA,NA,0.65,NA,keep,0.65
Siphonodon membranaceus,Siphonodon membranaceous,NA,NA,NA,0.72,NA,keep,0.72
Sloanea australis,Sloenea australis,NA,NA,NA,0.52,NA,keep,0.52
Sloanea langii,Sloenea langii,NA,NA,NA,0.57,NA,keep,0.57
Sloanea macbrydei,Sloenea macbriddii,NA,NA,NA,0.48,NA,keep,0.48
Sloanea woollsii,Sloenea woollsii,NA,NA,NA,0.53,NA,keep,0.53
Solanum corifolium,Solanum corifolum,NA,NA,NA,0.42,NA,keep,0.42
Solanum mauritianum,Solanum mauritianum,NA,NA,NA,0.42,NA,keep,0.42
Steganthera laxiflora,Steganthera laxiflora,0.551,NA,NA,0.5,NA,keep,0.5
Symplocos hayesii,Symplocus hayesii,NA,NA,NA,0.68,NA,keep,0.68
Symplocos paucistaminea,Symplocus pauscistamenia,NA,NA,NA,0.45,NA,keep,0.45
Symplocos thwaitesii,Symplocos thwaitesii,0.538,NA,NA,0.54,NA,omit,NA
Synoum glandulosum,Synoum glandulosum,0.556,NA,NA,0.51,NA,keep,0.51
Syzygium australe,Syzygium australe,0.633,0.59,0.597,0.59,NA,omit,NA
Syzygium crebrinerve,Syzygium crebrinerve,0.633,0.6321,NA,0.63,NA,omit,NA
Syzygium gustavioides,Syzygium gustavoides,NA,NA,NA,0.59,NA,keep,0.59
Syzygium hemilamprum,Syzygium hemilamprum,0.5780000000000001,NA,NA,0.56,NA,keep,0.56
Syzygium hodgkinsoniae,Syzygium hodgkinsoniae,NA,0.602,NA,0.6,NA,omit,NA
Syzygium ingens,Syzygium ingens,NA,0.4644,NA,0.47,NA,keep,0.47
Syzygium mulgraveanum,Syzigium mulgraveana,NA,NA,NA,0.7,NA,keep,0.7
Syzygium smithii,Syzygium smithii,NA,0.53,NA,0.63,NA,keep,0.63
Tabernaemontana pandacaqui,Tabernaemontana pandacaqui,NA,NA,0.764,0.47,NA,keep,0.47
Tarenna dallachiana,Tarrenia dallachania,NA,NA,NA,0.76,NA,keep,0.76
Ternstroemia cherryi,Ternstroemia cherryi,0.581,NA,NA,0.56,NA,keep,0.56
Toechima erythrocarpum,Toechima erythrocarpa,NA,NA,NA,0.68,NA,keep,0.68
Toona ciliata,Toona ciliata,0.36933333333333335,0.389,NA,0.39,0.38,omit,NA
Van-royena castanosperma,Vanroyena castanosperma,NA,0.76,NA,0.8,NA,keep,0.8
Wilkiea cordata,Wilkea chordata,NA,NA,NA,0.68,NA,keep,0.68
Wilkiea hugeliana,Wilkea huegeliana,NA,NA,NA,0.57,NA,keep,0.57
Wilkiea longipes,Wilkea longipes,NA,NA,NA,0.52,NA,keep,0.52
Xanthophyllum octandrum,Xanthophyllum octandrum,0.689,0.64,0.653,0.69,NA,omit,NA
Zanthoxylum ovalifolium,Zanthoxylum ovatiflorum,NA,NA,NA,0.61,NA,keep,0.61
Zanthoxylum venificum,Zanthoxylum venicum,NA,NA,NA,0.65,NA,keep,0.65
