species_name,Sams,Zanne,Ilic,Metcalfe,Kooyman,,Zanne,Ilic,Metcalfe,Kooyman,,,,,,,,,,,
Franciscodendron laurifolium,0.37,NA,0.3875,NA,0.38,,,0.3875,,0.38,,,0.39,,0.38,0,0,0,0,0,0
Guioa lasioneura,0.53,0.536,NA,NA,NA,,0.536,,,,,0.54,,,,0,0,0,0,0,0
Harpullia rhyticarpa,0.74,NA,NA,0.494,NA,,,,0.494,,,,,0.49,,0,0,0,0,0,0
Myristica globosa,0.5,NA,0.481333333,NA,NA,,,0.481333333,,,,,0.48,,,0,0,0,0,0,0
Niemeyera prunifera,0.66,NA,0.5855,NA,0.615,,,0.5855,,0.615,,,0.59,,0.62,0,0,0,0,0,0
Opisthiolepis heterophylla,0.5,NA,0.508666667,NA,0.463,,,0.508666667,,0.463,,,0.51,,0.46,0,0,0,0,0,0
Pittosporum rubiginosum,0.88,0.722,NA,NA,NA,,0.722,,,,,0.72,,,,0,0,0,0,0,0
Rockinghamia angustifolia,0.65,NA,0.689,NA,0.64,,,0.689,,0.64,,,0.69,,0.64,0,0,0,0,0,0
Siphonodon australis,0.65,0.7,0.676,NA,0.63,,0.7,0.676,,0.63,,0.70,0.68,,0.63,0,0,0,0,0,0
Steganthera laxiflora,0.5,NA,0.551,NA,NA,,,0.551,,,,,0.55,,,0,0,0,0,0,0
Caldcluvia paniculosa,0.56,NA,0.5602,NA,0.516,,,0.5602,,0.516,,,0.56,,0.52,0,1,0,0,0,1
Citronella moorei,0.56,NA,0.582,NA,0.562,,,0.582,,0.562,,,0.58,,0.56,0,0,0,1,0,1
Cryptocarya glaucescens,0.54,NA,0.568666667,NA,0.5418,,,0.568666667,,0.5418,,,0.57,,0.54,0,0,0,1,0,1
Cryptocarya obovata,0.55,NA,0.497,NA,0.5504,,,0.497,,0.5504,,,0.50,,0.55,0,0,0,1,0,1
Diploglottis cunninghamii,0.6,NA,0.651666667,NA,0.5977,,,0.651666667,,0.5977,,,0.65,,0.60,0,0,0,1,0,1
Doryphora sassafras,0.52,0.55,0.503333333,NA,0.516,,0.55,0.503333333,,0.516,,0.55,0.50,,0.52,0,0,0,1,0,1
Ehretia acuminata,0.49,0.525,0.519666667,NA,0.493,,0.525,0.519666667,,0.493,,0.53,0.52,,0.49,0,0,0,1,0,1
Endiandra crassiflora,0.67,NA,0.6705,NA,0.6751,,,0.6705,,0.6751,,,0.67,,0.68,0,1,0,0,0,1
Geissois benthamiana,0.58,NA,0.544333333,NA,0.5762,,,0.544333333,,0.5762,,,0.54,,0.58,0,0,0,1,0,1
Litsea reticulata,0.43,NA,0.438,NA,0.43,,,0.438,,0.43,,,0.44,,0.43,0,0,0,1,0,1
Rapanea variablis,0.71,NA,0.784,NA,0.71,,,0.784,,0.71,,,0.78,,0.71,0,0,0,1,0,1
Neolitsea dealbata,0.56,0.498,NA,0.557,NA,,0.498,,0.557,,,0.50,,0.56,,0,0,1,0,0,1
Polyscias murrayi,0.27,NA,0.312666667,NA,0.27,,,0.312666667,,0.27,,,0.31,,0.27,0,0,0,1,0,1
Scolopia braunii,0.63,NA,0.663,0.629,0.61,,,0.663,0.629,0.61,,,0.66,0.63,0.61,0,0,1,0,0,1
Sloanea woollsii,0.53,NA,0.519,NA,0.5332,,,0.519,,0.5332,,,0.52,,0.53,0,0,0,1,0,1
Syzygium australe,0.59,NA,0.633,0.597,0.59,,,0.633,0.597,0.59,,,0.63,0.60,0.59,0,0,0,1,0,1
Acronychia octandra,0.46,NA,0.551,NA,0.4558,,,0.551,,0.4558,,,0.55,,0.46,0,0,0,1,0,1
Archidendron grandiflorum,0.51,NA,0.538,NA,0.51,,,0.538,,0.51,,,0.54,,0.51,0,0,0,1,0,1
Baloghia inophylla,0.62,NA,0.618,NA,0.58,,,0.618,,0.58,,,0.62,,0.58,0,1,0,0,0,1
Cinnamomum oliveri,0.46,NA,0.478,NA,0.463,,,0.478,,0.463,,,0.48,,0.46,0,0,0,1,0,1
Cryptocarya erythroxylon,0.62,NA,0.585,NA,0.6192,,,0.585,,0.6192,,,0.59,,0.62,0,0,0,1,0,1
Diospyros pentamera,0.57,NA,0.618,NA,0.569,,,0.618,,0.569,,,0.62,,0.57,0,0,0,1,0,1
Duboisia myoporoides,0.38,NA,0.3865,NA,0.375,,,0.3865,,0.375,,,0.39,,0.38,0,0,0,1,0,1
Dysoxylum fraserianum,0.62,NA,0.604,NA,0.6192,,,0.604,,0.6192,,,0.60,,0.62,0,0,0,1,0,1
Emmenosperma alphitonoides,0.69,NA,0.7285,NA,0.685,,,0.7285,,0.685,,,0.73,,0.69,0,0,0,1,0,1
Alphitonia excelsa,0.56,NA,0.619,NA,0.562,,,0.619,,0.562,,,0.62,,0.56,0,0,0,1,0,1
Capparis arborea,0.7,NA,0.762,NA,0.7,,,0.762,,0.7,,,0.76,,0.70,0,0,0,1,0,1
Cassine australis,0.73,NA,0.732,NA,0.67,,,0.732,,0.67,,,0.73,,0.67,0,1,0,0,0,1
Geijera salicifolia,0.78,0.784,0.822,NA,0.77,,0.784,0.822,,0.77,,0.78,0.82,,0.77,1,0,0,0,0,1
Notelaea longifolia,0.87,NA,0.87,NA,0.78,,,0.87,,0.78,,,0.87,,0.78,0,1,0,0,0,1
Pseudomorus brunoniana,0.65,NA,0.691666667,0.655,0.65,,,0.691666667,0.655,0.65,,,0.69,0.66,0.65,0,0,0,1,0,1
Symplocos thwaitesii,0.54,NA,0.538,NA,0.51,,,0.538,,0.51,,,0.54,,0.51,0,1,0,0,0,1
Anthocarapa nitidula,0.64,NA,0.689,NA,0.64,,,0.689,,0.64,,,0.69,,0.64,0,0,0,1,0,1
Aphananthe philippinensis,0.59,0.5,0.616,NA,0.593,,0.5,0.616,,0.593,,0.50,0.62,,0.59,0,0,0,1,0,1
Endiandra compressa,0.8,NA,0.85,NA,0.799,,,0.85,,0.799,,,0.85,,0.80,0,0,0,1,0,1
Glochidion ferdinandii,0.6,NA,0.593,NA,0.5977,,,0.593,,0.5977,,,0.59,,0.60,0,0,0,1,0,1
Lophostemon confertus,0.69,0.762,0.7425,NA,0.69,,0.762,0.7425,,0.69,,0.76,0.74,,0.69,0,0,0,1,0,1
Olea paniculata,0.73,NA,0.7745,NA,0.732,,,0.7745,,0.732,,,0.77,,0.73,0,0,0,1,0,1
Toona ciliata,0.39,0.38,0.369333333,NA,0.389,,0.38,0.369333333,,0.389,,0.38,0.37,,0.39,0,0,0,1,0,1
Castanospora alphandi,0.58,NA,0.607,0.581,0.57,,,0.607,0.581,0.57,,,0.61,0.58,0.57,0,0,1,0,0,1
Croton triacros,0.5,NA,0.525,NA,0.5,,,0.525,,0.5,,,0.53,,0.50,0,0,0,1,0,1
Daphnandra repandula,0.58,NA,0.581,NA,0.541,,,0.581,,0.541,,,0.58,,0.54,0,1,0,0,0,1
Doryphora aromatica,0.46,NA,0.482,NA,0.46,,,0.482,,0.46,,,0.48,,0.46,0,0,0,1,0,1
Dysoxylum parasiticum,0.6,NA,0.633,0.601,NA,,,0.633,0.601,,,,0.63,0.60,,0,0,1,0,0,1
Dysoxylum pettigrewianum,0.71,0.629,0.7315,0.709,0.69,,0.629,0.7315,0.709,0.69,,0.63,0.73,0.71,0.69,0,0,1,0,0,1
Endiandra cowleyana,0.64,0.641,0.663,0.613,0.61,,0.641,0.663,0.613,0.61,,0.64,0.66,0.61,0.61,1,0,0,0,0,1
Ficus leptoclada,0.46,NA,0.482,0.461,NA,,,0.482,0.461,,,,0.48,0.46,,0,0,1,0,0,1
Flindersia schottiana,0.56,0.593,0.581666667,0.557,0.58,,0.593,0.581666667,0.557,0.58,,0.59,0.58,0.56,0.58,0,0,1,0,0,1
Gmelina fasciculiflora,0.47,NA,0.4695,NA,0.45,,,0.4695,,0.45,,,0.47,,0.45,0,1,0,0,0,1
Macaranga inamoena,0.46,NA,0.482,0.461,NA,,,0.482,0.461,,,,0.48,0.46,,0,0,1,0,0,1
Myristica insipida,0.46,NA,0.482,NA,0.46,,,0.482,,0.46,,,0.48,,0.46,0,0,0,1,0,1
Planchonella myrsinodendron,0.65,NA,0.65,0.83,NA,,,0.65,0.83,,,,0.65,0.83,,0,1,0,0,0,1
Polyscias elegans,0.4,NA,0.41225,NA,0.4,,,0.41225,,0.4,,,0.41,,0.40,0,0,0,1,0,1
Acronychia vestita,0.58,NA,0.537333333,0.577,0.484,,,0.537333333,0.577,0.484,,,0.54,0.58,0.48,0,0,1,0,0,1
Alphitonia petriei,0.43,NA,0.443,NA,0.43,,,0.443,,0.43,,,0.44,,0.43,0,0,0,1,0,1
Antidesma erostre,0.73,NA,0.732,NA,0.67,,,0.732,,0.67,,,0.73,,0.67,0,1,0,0,0,1
Beilschmiedia bancroftii,0.65,0.646,0.532666667,NA,0.52,,0.646,0.532666667,,0.52,,0.65,0.53,,0.52,1,0,0,0,0,1
Beilschmiedia tooram,0.78,0.784,0.732,NA,0.67,,0.784,0.732,,0.67,,0.78,0.73,,0.67,1,0,0,0,0,1
Citronella smythii,0.56,NA,0.5856,NA,0.56,,,0.5856,,0.56,,,0.59,,0.56,0,0,0,1,0,1
Cryptocarya pleurosperma,0.57,0.56,0.590666667,NA,0.562,,0.56,0.590666667,,0.562,,0.56,0.59,,0.56,0,0,0,0,1,1
Darlingia ferruginea,0.52,NA,0.5165,NA,0.5,,,0.5165,,0.5,,,0.52,,0.50,0,1,0,0,0,1
Endiandra sankeyana,0.71,0.71,0.65,NA,0.6,,0.71,0.65,,0.6,,0.71,0.65,,0.60,1,0,0,0,0,1
Eupomatia laurina,0.54,0.544,NA,0.495,NA,,0.544,,0.495,,,0.54,,0.50,,1,0,0,0,0,1
Hedycarya loxocarya,0.59,NA,0.594,NA,0.56,,,0.594,,0.56,,,0.59,,0.56,0,1,0,0,0,1
Hylandia dockrillii,0.46,NA,0.482,NA,0.46,,,0.482,,0.46,,,0.48,,0.46,0,0,0,1,0,1
Irvingbaileya australis,0.41,NA,0.426,NA,0.41,,,0.426,,0.41,,,0.43,,0.41,0,0,0,1,0,1
Medicosma fareana,0.68,NA,0.676,NA,0.63,,,0.676,,0.63,,,0.68,,0.63,0,1,0,0,0,1
Siphonodon membranaceus,0.72,NA,0.719,NA,0.66,,,0.719,,0.66,,,0.72,,0.66,0,1,0,0,0,1
Sloanea langii,0.57,NA,0.594,0.565,0.56,,,0.594,0.565,0.56,,,0.59,0.57,0.56,0,0,1,0,0,1
Sloanea macbrydei,0.48,NA,0.477333333,NA,0.434,,,0.477333333,,0.434,,,0.48,,0.43,0,1,0,0,0,1
Syzygium gustavioides,0.59,NA,0.5942,NA,0.571,,,0.5942,,0.571,,,0.59,,0.57,0,1,0,0,0,1
Toechima erythrocarpum,0.68,NA,0.676,0.645,0.63,,,0.676,0.645,0.63,,,0.68,0.65,0.63,0,1,0,0,0,1
Van-royena castanosperma,0.8,NA,0.839,NA,0.76,,,0.839,,0.76,,,0.84,,0.76,0,0,0,0,1,1
Xanthophyllum octandrum,0.69,NA,0.689,0.653,0.64,,,0.689,0.653,0.64,,,0.69,0.65,0.64,0,1,0,0,0,1
Acronychia oblongifolia,0.54,NA,NA,NA,0.5375,,,,,0.5375,,,,,0.54,0,0,0,1,1,2
Claoxylon australe,0.59,NA,NA,NA,0.5934,,,,,0.5934,,,,,0.59,0,0,0,1,1,2
Daphnandra apatela,0.56,NA,NA,NA,0.559,,,,,0.559,,,,,0.56,0,0,0,1,1,2
Denhamia celastroides,0.72,NA,NA,NA,0.7181,,,,,0.7181,,,,,0.72,0,0,0,1,1,2
Diospyros australis,0.63,NA,0.633,NA,NA,,,0.633,,,,,0.63,,,0,1,0,0,1,2
Elattostachys nervosa,0.66,NA,NA,NA,0.6622,,,,,0.6622,,,,,0.66,0,0,0,1,1,2
Wilkiea hugeliana,0.57,NA,NA,NA,0.5719,,,,,0.5719,,,,,0.57,0,0,0,1,1,2
Alangium villosum subsp. polyosmoides,0.57,NA,NA,NA,0.57,,,,,0.57,,,,,0.57,0,0,0,1,1,2
Brachychiton acerifolius,0.34,NA,0.341666667,0.333,0.34,,,0.341666667,0.333,0.34,,,0.34,0.33,0.34,0,1,0,1,0,2
Polyosma cunninghamii,0.62,NA,NA,NA,0.6192,,,,,0.6192,,,,,0.62,0,0,0,1,1,2
Quintinia verdonii,0.45,NA,NA,NA,0.4472,,,,,0.4472,,,,,0.45,0,0,0,1,1,2
Acacia maidenii,0.62,NA,0.62,NA,NA,,,0.62,,,,,0.62,,,0,1,0,0,1,2
Cryptocarya triplinervis var. pubens,0.65,NA,NA,NA,0.6493,,,,,0.6493,,,,,0.65,0,0,0,1,1,2
Guioa semiglauca,0.66,NA,NA,NA,0.6622,,,,,0.6622,,,,,0.66,0,0,0,1,1,2
Psydrax odorata,0.87,NA,0.87,NA,NA,,,0.87,,,,,0.87,,,0,1,0,0,1,2
Arytera distylis,0.63,NA,NA,NA,0.6321,,,,,0.6321,,,,,0.63,0,0,0,1,1,2
Castanospermum australe,0.62,NA,0.623,0.621,0.583,,,0.623,0.621,0.583,,,0.62,0.62,0.58,0,1,1,0,0,2
Litsea leefeana,0.42,0.439,0.414666667,0.421,0.408,,0.439,0.414666667,0.421,0.408,,0.44,0.41,0.42,0.41,0,0,1,0,1,2
Melicope elleryana,0.5,0.327,0.524,0.501,0.5,,0.327,0.524,0.501,0.5,,0.33,0.52,0.50,0.50,0,0,1,1,0,2
Syzygium hodgkinsoniae,0.6,NA,NA,NA,0.602,,,,,0.602,,,,,0.60,0,0,0,1,1,2
Arytera divaricata,0.61,NA,0.633,0.605,0.59,,,0.633,0.605,0.59,,,0.63,0.61,0.59,0,0,1,0,1,2
Atractocarpus merikin,0.8,0.804,NA,NA,NA,,0.804,,,,,0.80,,,,1,0,0,0,1,2
Cardwellia sublimis,0.46,0.5,0.464,0.461,0.436,,0.5,0.464,0.461,0.436,,0.50,0.46,0.46,0.44,0,1,1,0,0,2
Firmiana papuana,0.34,0.344,NA,NA,NA,,0.344,,,,,0.34,,,,1,0,0,0,1,2
Flindersia brayleyana,0.48,0.474,0.486,0.477,NA,,0.474,0.486,0.477,,,0.47,0.49,0.48,,0,0,1,0,1,2
Gossia dallachyana,0.81,0.814,NA,NA,NA,,0.814,,,,,0.81,,,,1,0,0,0,1,2
Melia azedarach,0.39,NA,0.3915,0.385,0.38,,,0.3915,0.385,0.38,,,0.39,0.39,0.38,0,1,1,0,0,2
Melicope vitiflora,0.51,NA,0.510333333,0.507,0.47,,,0.510333333,0.507,0.47,,,0.51,0.51,0.47,0,1,1,0,0,2
Polyalthia nitidissima,0.45,NA,0.469,0.453,0.45,,,0.469,0.453,0.45,,,0.47,0.45,0.45,0,0,1,1,0,2
Zanthoxylum ovalifolium,0.61,0.61,NA,NA,NA,,0.61,,,,,0.61,,,,1,0,0,0,1,2
Aglaia sapindina,0.44,NA,NA,0.437,NA,,,,0.437,,,,,0.44,,0,0,1,0,1,2
Alstonia scholaris,0.33,0.327,0.3415,0.333,0.335,,0.327,0.3415,0.333,0.335,,0.33,0.34,0.33,0.34,1,0,1,0,0,2
Cryptocarya mackinnoniana,0.72,0.758,0.749,0.717,0.718,,0.758,0.749,0.717,0.718,,0.76,0.75,0.72,0.72,0,0,1,1,0,2
Delarbrea michieana,0.63,0.634,NA,NA,NA,,0.634,,,,,0.63,,,,1,0,0,0,1,2
Elaeocarpus angustifolius,0.41,0.37,0.41825,0.413,0.41,,0.37,0.41825,0.413,0.41,,0.37,0.42,0.41,0.41,0,0,1,1,0,2
Endiandra wolfei,0.86,0.861,NA,NA,NA,,0.861,,,,,0.86,,,,1,0,0,0,1,2
Mischocarpus lachnocarpus,0.64,NA,NA,0.637,NA,,,,0.637,,,,,0.64,,0,0,1,0,1,2
Prunus turneriana,0.44,NA,NA,NA,0.44,,,,,0.44,,,,,0.44,0,0,0,1,1,2
Symplocos hayesii,0.68,0.679,NA,NA,NA,,0.679,,,,,0.68,,,,1,0,0,0,1,2
Symplocos paucistaminea,0.45,0.448,NA,NA,NA,,0.448,,,,,0.45,,,,1,0,0,0,1,2
Akania bidwillii,0.57,NA,0.573,NA,0.5719,,,0.573,,0.5719,,,0.57,,0.57,0,1,0,1,1,3
Beilschmiedia elliptica,0.7,NA,0.702,NA,0.7009,,,0.702,,0.7009,,,0.70,,0.70,0,1,0,1,1,3
Cinnamomum virens,0.48,NA,0.4845,NA,0.4816,,,0.4845,,0.4816,,,0.48,,0.48,0,1,0,1,1,3
Dendrocnide excelsa,0.21,NA,0.207,NA,0.2064,,,0.207,,0.2064,,,0.21,,0.21,0,1,0,1,1,3
Orites excelsus,0.5,NA,0.504,NA,0.497,,,0.504,,0.497,,,0.50,,0.50,0,1,0,1,1,3
Planchonella australis,0.76,NA,0.759,NA,0.7568,,,0.759,,0.7568,,,0.76,,0.76,0,1,0,1,1,3
Sarcopteryx stipitata,0.84,NA,0.839,NA,0.8385,,,0.839,,0.8385,,,0.84,,0.84,0,1,0,1,1,3
Sloanea australis,0.52,NA,0.516333333,NA,0.516,,,0.516333333,,0.516,,,0.52,,0.52,0,1,0,1,1,3
Syzygium crebrinerve,0.63,NA,0.633,NA,0.6321,,,0.633,,0.6321,,,0.63,,0.63,0,1,0,1,1,3
Neolitsea australiensis,0.58,NA,0.581,NA,0.5805,,,0.581,,0.5805,,,0.58,,0.58,0,1,0,1,1,3
Elaeocarpus kirtonii,0.58,NA,0.581,NA,0.5805,,,0.581,,0.5805,,,0.58,,0.58,0,1,0,1,1,3
Ficus coronata,0.4,NA,0.4,NA,0.3999,,,0.4,,0.3999,,,0.40,,0.40,0,1,0,1,1,3
Dendrocnide photiniphylla,0.21,NA,0.207,NA,0.21,,,0.207,,0.21,,,0.21,,0.21,0,1,0,1,1,3
Pilidiostigma tropicum,0.63,0.632,NA,0.631,NA,,0.632,,0.631,,,0.63,,0.63,,1,0,1,0,1,3
Daphnandra melasmena,0.56,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Helicia glabrifolia,0.58,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Ligustrum sinense,0.41,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Linospadix monostachyos,0.82,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Pittosporum multiflorum,0.64,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Solanum mauritianum,0.42,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Bridelia leichhardtii,0.61,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Solanum corifolium,0.42,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Endiandra virens,0.62,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Euroschinus falcatus var. falcatus,0.41,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Hedraianthera porphyropetala,0.69,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Ligustrum lucidum,0.45,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Kibara macrophylla,0.67,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Aglaia australiensis,0.75,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Aglaia meridionalis,0.75,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Aglaia tomentosa,0.8,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Argyrodendron Boonjee,0.74,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Codiaeum variegatum,0.49,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Cryptocarya putida,0.54,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Diospyros cupulosa,0.84,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Endiandra insignis,0.68,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Endiandra monothyra,0.68,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Ficus congesta,0.43,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Ficus copiosa,0.41,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Haplostichanthus submontanus,0.76,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Tarenna dallachiana,0.76,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Wilkiea longipes,0.52,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Zanthoxylum venificum,0.65,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Aceratium sericoleopsis,0.57,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Acronychia parviflora,0.57,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Archidendron lucyi,0.5,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Archidendron whitei,0.5,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Beilschmiedia brunnea,0.45,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Endiandra bessaphila,0.8,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Erythroxylon sp.,0.81,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
Fontainea picrosperma,0.46,NA,NA,NA,NA,,,,,,,,,,,0,0,0,0,#DIV/0!,#DIV/0!
