species,sla.mean,sla.sd,individual.n,leaf.n
Lophostemon confertus,12.48172567,NA,1,3
Macaranga inoemena,15.04528826,1.024139945,3,9
Mallotus phillipensis,10.678441,3.360712002,2,5
Mallotsus polyadenos,13.44645706,NA,1,3
Medicosma fareana,16.51661379,NA,1,3
Melicope elleryana,18.80488107,NA,1,3
Melicope hayesii,15.31533932,3.614611984,2,6
Melicope micrococca,10.00923694,3.082660835,4,12
Melicope vitaflora,15.79955147,3.424389579,4,9
Mischocarpus lachnocarpus,11.66897457,NA,1,3
Myristica globosa,11.22220007,0.595944472,2,6
Myrsine variabilis,11.06930643,1.150736574,2,6
Neolitsia australiensis,10.38519373,0.737090855,7,21
Neolitsea dealbata,12.1210047,1.880060271,21,63
Niemeyera chartacea,11.24480438,NA,1,3
Niemeyera prunifera,12.93930881,0.125463468,2,6
Olea paniculata,25.66408873,10.24552681,2,5
Opisthiolepus heterophylla,12.67833407,NA,1,2
Orites excelsus,12.20617249,NA,1,3
Pilidiostigma glabrum,14.58314943,NA,1,3
Pilidiostigma tropicum,16.3658592,3.3173174,5,15
Pittosporum mulitflorum,12.54209589,2.0094285,3,9
Polyalthia nitidissima,12.95510903,0.434799682,3,9
Polyosma cunninghamii,11.43599081,0.976002292,6,18
Polycias elegens,7.563266119,NA,1,3
Polyscias murrayi,12.95602164,NA,1,3
Pouteria australis,10.14816725,2.519619566,6,17
Pouteria brownlessiana,11.1146849,1.146172291,2,6
Pouteria xylocarpa,12.74311794,NA,1,3
Pseudavarius hylandia,15.10519193,NA,1,3
Psydrax odorata,24.12015944,NA,1,2
Rhodomyrtus trineura.ssp.capensis,8.48121217,NA,1,3
Rockinghamia angustifolia,12.12894021,0.234436312,2,6
Sarcopteryx stipata,11.7341938,NA,1,3
Scolopia braunii,10.36113767,1.94180675,2,6
Siphonodon membranaceous,9.150515746,NA,1,3
Sloenea australis,10.64399393,1.376811451,4,10
Sloenea langii,10.93329306,NA,1,3
Sloenea woollsii,10.22323805,2.16252331,3,7
Solanum corifolum,12.79226752,NA,1,1
Solanum mauritianum,23.14809858,5.34446216,2,6
Steganthera laxiflora,17.40920545,2.201214465,3,9
Streblus brunonianus,15.2170433,1.622856077,7,21
Symplocus hayesii,16.77359294,NA,1,3
Symplocus pauscistamenia,11.5555336,NA,1,3
Symplocos thwaitesii,7.359823549,NA,1,3
Synoum glandulosum,11.97975396,NA,1,2
Syzygium australe,12.01602923,5.282323467,2,6
Syzygium crebrinerve,10.32120367,NA,1,3
Syzygium gustavoides,7.36279939,NA,1,3
Syzygium hodgkinsoniae,14.69177328,NA,1,3
Syzigium mulgraveana,9.453904273,NA,1,3
Syzygium smithii,10.80971406,1.244329376,7,19
Tabernaemontana pandacaqui,19.00814717,NA,1,3
Tarrenia dallachania,24.00320029,3.846571332,3,9
Ternstroemia cherryi,6.354626291,NA,1,3
Toechima erythrocarpa,12.6550867,1.854282407,2,4
Toona ciliata,9.458006385,NA,1,1
Vanroyena castanosperma,19.9308449,NA,1,3
Wilkea chordata,12.73978514,NA,1,3
Wilkea huegeliana,8.705179582,0.722052836,3,9
Wilkea longipes,14.86939338,3.378964137,59,174
Wilkiea macrophylla,6.982889785,0.895990548,4,11
Xanthophyllum octandrum,16.09838875,NA,1,3
Zanthoxylum ovatiflorum,12.71834372,2.291507971,7,21
Zanthoxylum venicum,12.30616931,1.487371316,5,14
