dataset_id.x,species_name,site_name.x,observation_id.x,trait_name.x,value.x,unit.x,value_type,replicates.x,original_name.x,dataset_id.y,site_name.y,observation_id.y,trait_name.y,value.y,unit.y,replicates.y,original_name.y
Kooyman_2011,Diospyros vera,NA,Kooyman_2011_0221,plant_height,11,m,expert_max,NA,Diospyros compacta,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Diospyros montana,NA,Kooyman_2011_0222,plant_height,4,m,expert_max,NA,Diospyros cordifolia,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Diospyros cupulosa,NA,Kooyman_2011_0223,plant_height,12,m,expert_max,NA,Diospyros cupulosa,Sams_2017,NA,Sams_2017_130,plant_height,12,m,unknown,Diospyros cupulosa
Kooyman_2011,Diospyros elllipticifolia-ebenus,NA,Kooyman_2011_0224,plant_height,6,m,expert_max,NA,Diospyros elllipticifolia-ebenus,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Diospyros fasciculosa,NA,Kooyman_2011_0225,plant_height,30,m,expert_max,NA,Diospyros fasciculosa,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Diospyros montana,NA,Kooyman_2011_0226,plant_height,15,m,expert_max,NA,Diospyros humilis,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Diospyros Kuranda,NA,Kooyman_2011_0227,plant_height,5,m,expert_max,NA,Diospyros Kuranda,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Diospyros vera,NA,Kooyman_2011_0228,plant_height,15,m,expert_max,NA,Diospyros littorea,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Diospyros mabacea,NA,Kooyman_2011_0229,plant_height,25,m,expert_max,NA,Diospyros mabacea,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Diospyros maritima,NA,Kooyman_2011_0230,plant_height,15,m,expert_max,NA,Diospyros maritima,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Diospyros Millaa-Millaa,NA,Kooyman_2011_0231,plant_height,2,m,expert_max,NA,Diospyros Millaa-Millaa,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Diospyros MtLewis,NA,Kooyman_2011_0232,plant_height,20,m,expert_max,NA,Diospyros MtLewis,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Diospyros MtSpurgeon,NA,Kooyman_2011_0233,plant_height,20,m,expert_max,NA,Diospyros MtSpurgeon,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Diospyros MtWhite,NA,Kooyman_2011_0234,plant_height,7,m,expert_max,NA,Diospyros MtWhite,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Diospyros pentamera,NA,Kooyman_2011_0235,plant_height,20,m,expert_max,NA,Diospyros pentamera,Sams_2017,NA,Sams_2017_056,plant_height,20,m,unknown,Diospyros pentamera
Kooyman_2011,Diospyros Swipers-Flat,NA,Kooyman_2011_0236,plant_height,18,m,expert_max,NA,Diospyros Swipers-Flat,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Aceratium concinnum,NA,Kooyman_2011_0237,plant_height,25,m,expert_max,NA,Aceratium concinnum,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Aceratium megalospermum,NA,Kooyman_2011_0238,plant_height,12,m,expert_max,NA,Aceratium megalospermum,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Elaeocarpus coorangooloo,NA,Kooyman_2011_0239,plant_height,35,m,expert_max,NA,Elaeocarpus coorangooloo,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Elaeocarpus culminicola,NA,Kooyman_2011_0240,plant_height,25,m,expert_max,NA,Elaeocarpus culminicola,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Elaeocarpus elliffii,NA,Kooyman_2011_0241,plant_height,36,m,expert_max,NA,Elaeocarpus elliffii,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Elaeocarpus eumundi,NA,Kooyman_2011_0242,plant_height,30,m,expert_max,NA,Elaeocarpus eumundi,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Elaeocarpus ferruginiflorus,NA,Kooyman_2011_0243,plant_height,25,m,expert_max,NA,Elaeocarpus ferruginiflorus,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Elaeocarpus foveolatus,NA,Kooyman_2011_0244,plant_height,30,m,expert_max,NA,Elaeocarpus foveolatus,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Elaeocarpus grahamii,NA,Kooyman_2011_0245,plant_height,20,m,expert_max,NA,Elaeocarpus grahamii,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Elaeocarpus johnsonii,NA,Kooyman_2011_0246,plant_height,18,m,expert_max,NA,Elaeocarpus johnsonii,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Elaeocarpus kirtonii,NA,Kooyman_2011_0247,plant_height,45,m,expert_max,NA,Elaeocarpus kirtonii,Sams_2017,NA,Sams_2017_076,plant_height,45,m,unknown,Elaeocarpus kirtonii
Kooyman_2011,Elaeocarpus largiflorens subsp. largiflorens,NA,Kooyman_2011_0248,plant_height,23,m,expert_max,NA,Elaeocarpus largiflorens-largiflorens,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Elaeocarpus Mossman-Bluff,NA,Kooyman_2011_0249,plant_height,15,m,expert_max,NA,Elaeocarpus Mossman-Bluff,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Elaeocarpus MtBellenden-Ker,NA,Kooyman_2011_0250,plant_height,35,m,expert_max,NA,Elaeocarpus MtBellenden-Ker,NA,NA,NA,NA,NA,NA,NA,NA
