Species,Date,Temp,CO2,Potnum,Photo (umol m-2 s-1),Cond (mol m-2 s-1),Ci (umol mol-1),CiCa,Trmmol (mmol m-2 s-1),VpdL (kPa),Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi
W. nobilis,25/11/2008,Amb,400,106,3.436666667,0.0303,207.3333333,0.519458827,0.629333333,2.05,27.80333333,28.24333333,27.98,400.61,399.1333333,17.55433333,17.80133333,47.32666667,47.99333333,500.3,1000
W. nobilis,25/11/2008,Amb,400,105,3.57,0.0494,271.6666667,0.680147212,1.086666667,2.18,28.01666667,28.63,27.98,401.0266667,399.4233333,16.951,17.37866667,45.13666667,46.27666667,500.3,999
W. nobilis,25/11/2008,Amb,640,1,8.523333333,0.0512,350,0.550101114,1.2,2.313333333,28.16666667,28.91333333,27.98,639.9566667,636.2466667,16.221,16.69233333,42.81333333,44.05666667,500.3,998
W. nobilis,25/11/2008,Amb,640,9,11.2,0.0582,305.3333333,0.480786895,1.57,2.663333333,28.40666667,30.45666667,27.98,639.9466667,635.07,16.304,16.921,42.44333333,44.05,500.3,999
W. nobilis,25/11/2008,Amb,640,5,6.016666667,0.031333333,310.3333333,0.487248329,0.752666667,2.37,27.88333333,28.78333333,27.98,639.5033333,636.91,15.54233333,15.83833333,41.69666667,42.49333333,500.3,1001.666667
W. nobilis,25/11/2008,Amb,640,7,5.643333333,0.028,295.3333333,0.46307911,0.731666667,2.573333333,28.04333333,29.57666667,27.98,640.2033333,637.76,15.36266667,15.65033333,40.83,41.59666667,500.3,999
W. nobilis,25/11/2008,Amb,640,8,6.69,0.040833333,353.3333333,0.554375909,1.076666667,2.603333333,28.26,29.69666667,27.98,640.3033333,637.3533333,15.254,15.678,40.04,41.15,500.3,999.6666667
W. nobilis,23/02/2009,Elv,640,506,5.124,0.02556,296.4,0.465703981,0.5974,2.298,30.488,31.244,29.89,640.12,636.456,22.1292,22.518,51.064,51.964,300.36,701.8
W. nobilis,23/02/2009,Elv,640,507,2.258,0.0156,389,0.609952066,0.315,1.98,30.688,30.144,29.918,639.39,637.754,22.6826,22.8878,51.75,52.216,300.4,698
W. nobilis,23/02/2009,Elv,640,509,2.404,0.01312,325,0.510001168,0.3122,2.326,30.566,31.594,29.91,638.984,637.252,22.9176,23.1206,52.644,53.108,300.4,702
W. nobilis,23/02/2009,Elv,640,505,2.144,0.01114,313.6,0.492129879,0.2182,1.92,30.77,30.128,29.908,638.75,637.23,23.3344,23.476,52.978,53.298,300.4,701
W. nobilis,23/02/2009,Elv,640,501,2.698,0.01622,354.8,0.556105849,0.312,1.886,30.828,30.1,29.886,639.934,638.006,23.524,23.7268,53.238,53.694,300.4,699.4
W. nobilis,23/02/2009,Elv,640,501,3.556,0.0205,339.8,0.534144478,0.438,2.094,30.574,32.214,30.04,640.672,636.154,26.639,27.1412,61.096,62.248,500.2,700
W. nobilis,23/02/2009,Elv,640,502,7.422,0.03788,299.2,0.473496986,0.802,2.084,30.566,31.856,30.04,641.08,631.89,25.3896,26.2954,58.184,60.262,500.2,699.4
W. nobilis,23/02/2009,Elv,640,506,2.346,0.008128,160.2,0.251176645,0.183,2.196,30.586,32.17,30.04,640.704,637.796,25.7922,26.0026,59.12,59.602,500.18,700
W. nobilis,23/02/2009,Elv,640,509,8.148,0.03844,271.4,0.431254907,0.771,1.982,30.264,31.076,30.04,639.508,629.326,24.3284,25.2154,56.84,58.91,500.1,699.2
W. nobilis,23/02/2009,Elv,640,510,5.716,0.02902,298.2,0.471841829,0.5366,1.814,30.464,31.686,30.04,638.956,631.934,27.8928,28.4972,64.346,65.74,500.2,699.6
W. nobilis,23/02/2009,Elv,400,406,1.404,0.009924,163.4,0.409105357,0.2162,2.136,30.204,30.128,29.886,400.394,399.402,21.1518,21.2928,49.63,49.962,300.4,700.6
W. nobilis,23/02/2009,Elv,400,409,1.4,0.01448,233,0.582976832,0.323,2.19,30.162,30.476,29.92,400.64,399.672,21.437,21.6372,50.416,50.886,300.4,700
W. nobilis,23/02/2009,Elv,400,405,1.71,0.01902,242.4,0.607109372,0.4456,2.304,30.436,31.138,29.92,400.528,399.268,21.9084,22.1988,50.718,51.388,300.4,701.2
W. nobilis,23/02/2009,Elv,400,408,1.968,0.0217,242.6,0.608135714,0.4452,2.018,30.452,30.11,29.86,400.352,398.924,22.166,22.4554,51.266,51.938,300.4,699.6
W. nobilis,23/02/2009,Elv,400,407,2.06,0.01824,207,0.518938306,0.3802,2.05,29.8,30.18,29.93,400.364,398.89,22.0664,22.3138,52.984,53.576,300.36,698
W. nobilis,23/02/2009,Elv,400,405,2.724,0.02268,191.6,0.483254813,0.5438,2.346,30.632,32.284,30.04,399.888,396.478,24.256,24.8708,55.34,56.742,500.18,699
W. nobilis,23/02/2009,Elv,400,408,5.39,0.04872,203.2,0.516803978,1.066,2.166,30.442,31.246,30.04,399.924,393.184,22.7042,23.9128,52.332,55.118,500.2,699
W. nobilis,23/02/2009,Elv,280,304,0.932,0.0111,137.8,0.494716454,0.208,1.83,30.526,30.17,29.92,279.204,278.544,24.304,24.439,55.952,56.26,300.4,701
W. nobilis,23/02/2009,Elv,280,301,1.294,0.01414,116.8,0.420658178,0.6158,4.326,30.208,30.544,30.1,279.392,277.66,-0.035,0.6918,-0.08,1.624,499.7,700.8
W. nobilis,23/02/2009,Elv,280,306,1.232,0.01424,125,0.448807881,0.6404,4.456,30.412,31.136,30.108,280.182,278.518,0.1472,0.9026,0.338,2.09,499.7,700.2
W. nobilis,23/02/2009,Elv,280,309,1.2,0.01338,119.2,0.428736665,0.6042,4.468,30.472,31.386,30.1,279.644,278.026,0.7104,1.423,1.638,3.28,499.74,700
W. nobilis,23/02/2009,Elv,280,310,1.512,0.01706,120.6,0.434062566,0.7828,4.532,30.72,32.372,30.09,279.88,277.84,2.5006,3.4212,5.68,7.772,499.72,700.4
W. nobilis,23/02/2009,Amb,280,204,0.5006,0.005298,122.16,0.437654118,0.10164,1.886,26.894,28.386,26,279.72,279.11,19.6162,19.7318,55.75,56.082,500.5,700
W. nobilis,23/02/2009,Amb,280,207,2.256,0.03044,151,0.546695563,0.4688,1.53,26.558,27.136,26.01,278.946,276.182,19.9838,20.516,58.01,59.554,500.54,699
W. nobilis,23/02/2009,Amb,280,209,1.2836,0.01624,145.2,0.522680188,0.2588,1.578,26.698,27.604,26,279.348,277.772,20.7582,21.052,59.75,60.594,500.5,700.2
W. nobilis,23/02/2009,Amb,400,101,3.222,0.0201,123,0.31127803,0.678,3.38,26.03,26.398,26.02,399.332,395.138,-0.0628,0.7504,-0.188,2.248,499.7,700
W. nobilis,23/02/2009,Amb,400,104,4.17,0.02866,146.2,0.369612648,0.9468,3.318,25.966,26.268,26.024,400.964,395.506,-0.0564,1.0792,-0.17,3.244,499.7,701
W. nobilis,23/02/2009,Amb,400,106,3.942,0.02552,130.6,0.331078898,0.8934,3.506,26.258,27.098,26.02,399.192,394.466,-0.07,0.9124,-0.21,2.694,499.7,700
W. nobilis,23/02/2009,Amb,400,108,3.564,0.02398,140.2,0.354746168,0.8558,3.576,26.302,27.428,26.02,399.82,395.214,-0.065,0.9446,-0.19,2.782,499.7,700.2
W. nobilis,23/02/2009,Amb,400,109,1.18,0.00989,193,0.483138453,0.3144,3.176,25.664,25.124,26.02,400.906,399.47,-0.082,0.2642,-0.25,0.808,499.72,701
W. nobilis,23/02/2009,Amb,640,2,4.534,0.01848,228.2,0.359209616,0.3276,1.764,25.89,25.8,26.02,640.872,635.28,15.1044,15.485,45.674,46.826,500.6,699.8
W. nobilis,23/02/2009,Amb,640,5,7.842,0.0346,250.8,0.398115272,0.6414,1.85,26.022,26.086,26.02,639.684,629.966,14.4548,15.199,43.332,45.562,500.6,699
W. nobilis,23/02/2009,Amb,640,8,5.248,0.01966,192,0.302603282,0.3844,1.946,26.1,26.242,26.01,640.504,634.47,14.128,14.5442,42.218,43.46,500.6,700.2
W. nobilis,23/02/2009,Amb,640,9,5.72,0.0242,240.2,0.378632049,0.4494,1.85,26.216,26.496,26.02,641.452,634.376,15.5136,16.0346,45.988,47.534,500.58,700
W. nobilis,23/02/2009,Amb,640,10,11.06,0.0451,219.8,0.350633153,0.6536,1.46,25.224,24.094,26.03,640.576,626.862,14.531,15.3026,45.724,48.154,500.6,700
W. nobilis,23/02/2009,Amb,640,5,5.13,0.0264,314,0.492895648,0.3714,1.39,26.552,26.176,26.02,640.628,637.052,19.7554,19.9978,57.24,57.944,300.34,699.6
W. nobilis,23/02/2009,Amb,640,10,3.862,0.02238,347.8,0.544657034,0.3452,1.526,26.436,26.146,25.97,641.286,638.568,18.345,18.5706,53.512,54.172,300.3,700
W. nobilis,23/02/2009,Amb,640,6,2.946,0.01094,194.2,0.304363051,0.1806,1.63,25.444,26.18,26,640.08,638.042,17.5128,17.6308,54.182,54.546,300.3,698.4
W. nobilis,26/03/2009,Elv,640,501,2.2,0.002912,-581.6,-0.914662053,0.06752,2.28,31.148,31.24,31.076,638.558,635.868,22.4496,22.5288,50.198,50.376,500.58,699
W. nobilis,26/03/2009,Elv,640,509,4.35,0.03492,413.2,0.652131896,0.782,2.224,31.2,31.542,31.07,639.422,633.614,22.9534,23.8686,51.17,53.21,500.58,699
W. nobilis,26/03/2009,Elv,640,507,2.368,0.01142,285.6,0.449074142,0.2674,2.31,31.24,31.77,31.07,639.014,635.972,23.3316,23.6444,51.892,52.586,500.56,700
W. nobilis,26/03/2009,Elv,640,506,2.53,0.01322,310.8,0.489026409,0.3044,2.268,31.34,31.866,31.07,638.536,635.546,23.9858,24.3116,53.026,53.744,500.58,701
W. nobilis,26/03/2009,Elv,640,510,5.13,0.03538,381.2,0.601663645,0.7662,2.15,31.34,31.7,31.07,640.306,633.576,24.1202,25.0158,53.342,55.322,500.56,699
W. nobilis,26/03/2009,Elv,400,410,3.206,0.0244,174.8,0.441068635,0.5162,2.094,31.12,31.24,31.08,400.396,396.308,23.7738,24.3772,53.22,54.572,500.5,700
W. nobilis,26/03/2009,Elv,400,409,2.34,0.02144,211.4,0.53175897,0.4636,2.14,31.12,31.41,31.08,400.57,397.548,23.8388,24.381,53.362,54.57,500.56,700
W. nobilis,26/03/2009,Elv,400,406,2.018,0.02148,236.8,0.594257882,0.4424,2.04,31.08,30.802,31.08,401.02,398.48,23.3146,23.8152,52.302,53.422,500.58,699.2
W. nobilis,26/03/2009,Elv,400,407,2.778,0.02728,222.6,0.559895497,0.5914,2.148,31.212,31.482,31.08,401.184,397.572,23.815,24.5064,53.026,54.566,500.54,699
W. nobilis,26/03/2009,Elv,400,402,1.832,0.02042,243,0.609287158,0.4524,2.19,31.33,31.786,31.078,401.03,398.82,24.3806,24.8654,53.924,54.998,500.52,699
W. nobilis,26/03/2009,Amb,640,10,7.878,0.02596,133.94,0.211754553,0.368,1.412,26.276,26.634,26.01,641.396,632.488,20.1682,20.5642,59.774,60.952,500.54,699.4
W. nobilis,26/03/2009,Amb,640,8,6.66,-0.02314,1078,1.699551396,-0.2664,1.136,24.978,22.344,26.01,641.416,634.282,15.7852,15.4974,50.512,49.59,500.6,701.2
W. nobilis,26/03/2009,Amb,640,5,7.45,-0.02022,1222,1.935891271,-0.245,1.198,24.56,21.832,26.026,639.988,631.244,14.3522,14.0626,47.092,46.142,500.6,700
W. nobilis,26/03/2009,Amb,640,1,5.838,0.03794,368.6,0.582976868,0.674,1.784,25.99,25.92,26.02,639.778,632.272,14.7022,15.497,44.29,46.682,500.6,699
W. nobilis,26/03/2009,Amb,640,6,5.04,0.0247,292,0.46170589,0.3874,1.568,25.544,24.714,26.01,638.56,632.434,14.8952,15.3374,46.074,47.442,500.6,701
W. nobilis,26/03/2009,Amb,280,210,0.8018,0.00702,93.466,0.334067903,0.1092,1.54,26.114,27.036,26.03,280.084,279.754,20.13,20.1728,60.19,60.316,500.32,700.6
W. nobilis,26/03/2009,Amb,280,207,2.07,0.0268,149.4,0.534220024,0.4768,1.762,26.528,28.246,26.034,280.54,279.66,20.347,20.5336,59.366,59.91,500.36,698.4
W. nobilis,26/03/2009,Amb,280,201,1.314,0.01604,143,0.510117486,0.2712,1.67,26.332,27.74,26.03,280.884,280.328,20.2214,20.3276,59.678,59.994,500.32,701
W. nobilis,26/03/2009,Amb,280,209,0.6852,0.009828,162,0.577276554,0.1858,1.866,26.614,28.674,26.03,280.924,280.628,20.4086,20.4812,59.238,59.45,500.3,701
W. nobilis,26/03/2009,Amb,280,208,1.632,0.02022,144.6,0.516792644,0.337,1.65,26.44,27.874,26.02,280.456,279.8,20.7258,20.8512,60.782,61.148,500.34,700
W. nobilis,26/03/2009,Amb,280,204,1.948,0.02818,162.4,0.580177071,0.4936,1.74,26.532,28.216,26.03,280.748,279.914,20.5272,20.7202,59.852,60.412,500.34,698.6
W. nobilis,26/03/2009,Amb,280,209,1.264,0.01592,144.6,0.51924701,0.2966,1.842,26.65,28.748,26.03,278.994,278.48,20.792,20.9024,60.196,60.518,500.3,698.4
W. nobilis,26/03/2009,Amb,280,201,1.778,0.01854,119.6,0.428328951,0.2808,1.5,26.192,27.146,26.03,279.928,279.222,20.6516,20.756,61.436,61.744,500.3,701.6
W. nobilis,26/03/2009,Elv,280,308,0.23074,0.0125,240.6,0.857613784,0.295,2.318,31.382,31.33,31.084,280.668,280.544,22.3302,22.4456,49.226,49.48,499.86,702
W. nobilis,26/03/2009,Elv,280,302,0.42362,0.01164,209,0.745901393,0.2714,2.298,30.724,31.24,31.09,280.354,280.158,22.3052,22.4114,51.05,51.294,499.98,701.2
W. nobilis,26/03/2009,Elv,280,304,0.7902,0.01502,186.6,0.665698892,0.3558,2.34,31.094,31.23,31.088,280.662,280.306,21.8348,21.974,48.928,49.242,499.8,700
W. nobilis,26/03/2009,Elv,280,303,1.758,0.02628,164.4,0.587040558,0.6268,2.358,31.264,31.242,31.09,280.746,280.048,21.593,21.8138,47.91,48.402,499.8,699
W. nobilis,26/03/2009,Elv,280,301,1.0286,0.02,188.6,0.673120339,0.4742,2.34,31.37,31.224,31.088,280.648,280.186,21.7646,21.9498,47.992,48.404,499.82,701
W. nobilis,26/03/2009,Elv,280,308,1.384,0.02052,162.2,0.581502177,0.4902,2.36,31.374,31.352,31.082,279.542,278.932,21.9214,22.113,48.338,48.76,499.8,701
W. nobilis,26/03/2009,Elv,280,302,0.5018,0.01054,195.2,0.696067278,0.2474,2.31,31.294,31.22,31.09,280.662,280.432,22.1066,22.2036,48.968,49.18,499.8,701
W. nobilis,26/03/2009,Elv,280,304,1.0568,0.0178,176.8,0.630918068,0.4036,2.236,31.51,31.218,31.09,280.688,280.226,22.795,22.9528,49.864,50.21,499.82,699
W. nobilis,26/03/2009,Amb,400,107,6.688,0.05412,191,0.479689408,0.8114,1.5,26.414,26.184,26.024,400.838,398.172,18.4864,18.7892,54.302,55.194,499.8,700
W. nobilis,26/03/2009,Amb,400,105,5.406,0.04694,205.2,0.51459915,0.693,1.48,26.552,26.156,26.03,401.026,398.756,18.7222,18.9946,54.562,55.354,499.8,700
W. nobilis,26/03/2009,Amb,400,104,4.06,0.02836,160.2,0.402252601,0.4884,1.72,25.242,26.15,26.04,399.96,398.256,16.4158,16.6082,51.692,52.296,499.8,699
W. nobilis,26/03/2009,Amb,400,109,5.186,0.0454,205.2,0.515409326,0.7962,1.754,25.642,26.152,26.036,400.332,398.13,15.9298,16.243,48.978,49.942,499.8,698
W. nobilis,26/03/2009,Amb,400,106,3.918,0.03094,187.4,0.469391545,0.5092,1.64,26.744,26.104,25.996,400.808,399.24,17.0768,17.2672,49.178,49.726,499.8,700.2
W. nobilis,26/03/2009,Amb,400,102,2.698,0.02156,179.28,0.449158804,0.3876,1.79,26.326,26.148,26.032,400.056,399.028,15.7648,15.902,46.514,46.918,499.7,698.4
W. nobilis,16/04/2009,Elv,400,406,2.638,0.01864,159.6,0.402575551,0.3806,2.02,0.5,2.67,30.196,28.192,396.446,17.5572,17.983,41.166,42.162,500.48,701
W. nobilis,16/04/2009,Elv,400,409,2.922,0.02196,173,0.435983559,0.4504,2.03,0.5,2.64,30.396,28.238,396.804,17.485,17.9976,40.522,41.712,500.5,699.6
W. nobilis,16/04/2009,Elv,400,401,2.242,0.01618,163.2,0.410658707,0.4056,2.47,0.5,2.71,30.73,30.292,397.408,17.9932,18.4388,40.906,41.918,500.48,700
W. nobilis,16/04/2009,Elv,400,408,3.72,0.02912,181,0.457900574,0.4962,1.69,0.5,2.71,30.19,27.074,395.282,18.3064,18.851,42.918,44.192,500.5,699
W. nobilis,16/04/2009,Elv,400,405,2.862,0.02274,184,0.463447119,0.5092,2.21,0.5,2.71,30.468,29.374,397.024,18.2278,18.7868,42.058,43.35,500.48,699
W. nobilis,16/04/2009,Elv,400,403,1.984,0.01864,218.8,0.549836654,0.3036,1.604,30.624,30.124,31.08,400.326,397.928,26.1578,26.4944,60.058,60.83,500.54,699
W. nobilis,16/04/2009,Elv,280,301,2.466,0.02786,127.4,0.459241055,0.6368,2.26,0.5,2.6,30.858,30.068,277.414,19.187,19.923,43.342,45.004,500.5,699
W. nobilis,16/04/2009,Elv,280,308,2.354,0.0311,147.6,0.53285921,0.6478,2.062,0.5,2.6,30.806,29.634,276.996,20.1136,20.8612,45.566,47.26,500.54,701
W. nobilis,16/04/2009,Elv,280,310,3.674,0.05428,158.6,0.574196344,1.1,2.028,0.5,2.6,30.516,29.124,276.212,18.7364,20.0078,43.146,46.076,500.46,699.6
W. nobilis,16/04/2009,Elv,280,304,2.46,0.0336,151.2,0.54403227,0.81,2.388,0.5,2.6,30.834,30.474,277.924,18.7498,19.6858,42.394,44.512,500.48,700
W. nobilis,16/04/2009,Elv,280,306,2.716,0.03312,138,0.497838391,0.6588,1.98,0.5,2.6,30.11,28.364,277.198,18.0408,18.803,42.504,44.298,500.5,700
W. nobilis,16/04/2009,Elv,280,302,2.728,0.03316,137.6,0.497680951,0.5704,1.718,25.984,26.364,25.958,279.884,276.482,16.4298,17.0912,49.316,51.304,500.1,701
W. nobilis,16/04/2009,Elv,640,505,6.072,0.02318,192.4,0.304573069,0.5994,2.55,31.04,31.366,31.02,639.444,631.706,19.6872,20.3918,43.962,45.536,500.14,700
W. nobilis,16/04/2009,Elv,640,506,2.194,0.0103,281.2,0.440331514,0.2236,2.13,30.59,29.702,31.02,641.318,638.61,20.1414,20.3954,46.132,46.716,500.1,700
W. nobilis,16/04/2009,Elv,640,510,4.3,0.01938,259,0.408354446,0.479,2.428,30.908,31.36,31.016,639.588,634.25,21.0268,21.5704,47.286,48.51,500.1,700
W. nobilis,16/04/2009,Elv,640,509,4.352,0.01632,193.2,0.303881581,0.312,1.884,30.314,29.27,31.022,641.234,635.774,21.4646,21.83,49.92,50.772,500.1,699.8
W. nobilis,16/04/2009,Elv,640,508,3.738,0.01222,130.2,0.204943168,0.2708,2.188,30.554,29.09,31.102,639.822,635.292,18.0008,18.309,41.452,42.162,500.5,698.8
W. nobilis,16/04/2009,Amb,280,205,1.15,0.01188,117.2,0.420773732,0.2056,1.716,25.85,25.332,25.96,279.932,278.532,14.881,15.1158,44.982,45.694,500.18,699
W. nobilis,16/04/2009,Amb,280,204,2.906,0.03688,143,0.516871829,0.6632,1.798,25.934,26.058,25.96,280.252,276.664,14.9638,15.721,45.014,47.29,500.18,699
W. nobilis,16/04/2009,Amb,280,209,2.65,0.029,123.34,0.445443179,0.507,1.744,26.16,26.22,26.01,280.008,276.772,15.9644,16.542,47.446,49.164,500.6,699
W. nobilis,16/04/2009,Amb,280,201,2.106,0.02236,120.8,0.433247999,0.4184,1.86,25.942,26.344,25.96,281.358,278.824,15.1834,15.6528,45.644,47.054,500.2,699.4
W. nobilis,16/04/2009,Amb,280,208,1.87,0.03268,178.6,0.645650697,0.4786,1.466,25.722,25.302,26.01,278.978,276.616,16.9628,17.5172,51.742,53.434,500.6,701
W. nobilis,16/04/2009,Amb,280,207,3.314,0.03086,97.82,0.354271983,0.5018,1.626,25.874,25.686,26.01,280.042,275.974,16.0862,16.6676,48.612,50.372,500.6,700.6
W. nobilis,16/04/2009,Amb,400,104,3.67,0.02124,110.8,0.280327642,0.3256,1.53,26.892,23.902,28,399.732,395.252,13.9242,14.3026,39.638,40.716,500.6,699.6
W. nobilis,16/04/2009,Amb,400,103,2.338,0.02542,242,0.608030742,0.3608,1.424,24.618,21.23,26.03,400.884,398.008,10.5208,10.9344,34.254,35.6,500.7,699.2
W. nobilis,16/04/2009,Amb,400,109,3.746,0.0315,193.6,0.489609271,0.6244,1.988,25.348,24.41,26.026,400.038,395.414,9.9724,10.6876,31.08,33.308,500.62,700
W. nobilis,16/04/2009,Amb,400,108,3.114,0.03226,230.6,0.582970889,0.559,1.73,27.166,25.784,28,399.49,395.56,15.127,15.7758,42.374,44.19,500.6,699
W. nobilis,16/04/2009,Amb,400,101,2.748,0.02114,178.8,0.451630415,0.3446,1.63,24.602,22.548,26.026,399.29,395.894,10.6074,11.0088,34.56,35.866,500.7,701
W. nobilis,16/04/2009,Amb,400,102,2.064,0.01706,196.4,0.493232015,0.2472,1.45,26.346,21.056,28,400.698,398.19,10.1428,10.426,29.814,30.648,500.68,701
W. nobilis,16/04/2009,Amb,640,10,5.73,0.01794,111.2,0.175635521,0.2496,1.394,25.598,19.494,27.832,640.186,633.128,8.386,8.6826,25.772,26.68,500.7,700
W. nobilis,16/04/2009,Amb,640,2,3.764,0.01462,210.2,0.33039301,0.2694,1.842,24.36,21.362,26.04,640.756,636.198,6.7156,7.0254,22.188,23.214,500.7,701
W. nobilis,16/04/2009,Amb,640,5,5.33,0.02444,272,0.428902688,0.3446,1.418,23.44,19.29,25.844,640.384,634.176,7.8022,8.1842,27.256,28.59,500.7,700
W. nobilis,16/04/2009,Amb,640,7,3.684,0.01592,248.8,0.391272747,0.3314,2.082,24.382,22.446,26.042,640.448,635.858,5.9862,6.374,19.756,21.034,500.72,699.2
W. nobilis,16/04/2009,Amb,640,9,2.904,0.00873,89.3,0.140565069,0.1832,2.094,26.338,23.486,28,638.852,635.292,7.7852,7.9994,22.884,23.518,500.7,701.2
