Species,Date,Temp,CO2,Organ,Potnum,percentN,d15N,CN,percentC,d13C
W. nobilis,5/3/2010,Elv,640,Roots,503,1.2486225,0.150220287,35.43189795,44.241065,-30.39612355
W. nobilis,5/3/2010,Amb,640,Stem,1,1.2471712,0.958128952,39.01075714,48.6530928,-33.53458782
W. nobilis,5/3/2010,Amb,640,Stem,2,1.9118739,1.517294773,24.87349291,47.5549819,-32.10009286
W. nobilis,5/3/2010,Amb,640,Stem,3,1.6913009,1.414157497,24.17001522,40.8787685,-29.49652501
W. nobilis,5/3/2010,Amb,640,Stem,5,1.6232702,1.499094078,29.88016376,48.5035794,-32.13251082
W. nobilis,5/3/2010,Amb,400,Stem,102,2.0024417,1.378767255,25.1005047,50.2622973,-31.05663959
W. nobilis,5/3/2010,Amb,400,Stem,105,2.2247268,1.369056365,20.54296186,45.7024778,-26.95370519
W. nobilis,5/3/2010,Amb,400,Stem,107,1.9617871,1.28537222,24.09604819,47.2713165,-28.39701753
W. nobilis,5/3/2010,Amb,400,Stem,108,1.8957457,1.255776607,24.61082776,46.6558709,-28.79046139
W. nobilis,5/3/2010,Amb,280,Stem,203,2.3025415,2.04873491,20.70780839,47.6805882,-27.136559
W. nobilis,5/3/2010,Amb,280,Stem,205,2.3497117,1.407836822,20.56831874,48.3296192,-27.5187029
W. nobilis,5/3/2010,Amb,280,Stem,208,1.9364074,1.915044385,24.9793106,48.3701219,-28.48022628
W. nobilis,5/3/2010,Elv,280,Stem,301,2.3870595,0.543440835,18.68458838,44.6012242,-25.48162933
W. nobilis,5/3/2010,Elv,280,Stem,302,1.6707906,1.880346081,28.36501414,47.391999,-27.46939401
W. nobilis,5/3/2010,Elv,280,Stem,305,1.8653964,1.484377199,25.32334661,47.2380796,-29.045224
W. nobilis,5/3/2010,Elv,280,Stem,306,2.1772908,1.31598837,21.161164,46.0740077,-27.08725011
W. nobilis,5/3/2010,Elv,400,Stem,401,2.1186808,1.053710013,22.59528089,47.8721878,-27.72312935
W. nobilis,5/3/2010,Elv,400,Stem,405,2.5279349,2.454909175,18.62266358,47.0768812,-28.56754411
W. nobilis,5/3/2010,Elv,640,Stem,504,1.4786144,1.084326164,32.04655534,47.3844982,-34.16513054
W. nobilis,5/3/2010,Elv,640,Stem,505,1.7318394,1.264961453,25.71715299,44.5379788,-31.47779597
W. nobilis,5/3/2010,Elv,640,Stem,506,1.3782987,0.706726972,32.48643164,44.7760065,-33.72443233
W. nobilis,5/3/2010,Elv,640,Stem,508,1.3514559,0.675090283,34.34190875,46.4115752,-33.99049488
