material,Abbreviation,replicate,length (mm),width (mm),thickness (mm),NEWthickness (mm),actual mass (g),dry mass (g),scanned area (cm2),SA (cm2),volume (cm3),SA:V (1/cm),density (dry mass) (g/cm3),density (actual mass) (g/cm3),FMC  (% odw),SLA* (cm2/g),N (%mass),P (%mass),lignin (%mass),tannin (%mass),ignition Y/N,TTI (s),FD (s),SD (s),TBT (s),Genus,Species,Family,Rainfall a,Soil P b,taxon,site_conditions,site_name,senesced_leaf_N_per_dry_mass,senesced_leaf_P_per_dry_mass,SLA
DRIED,Pul_dap,1,NA,NA,NA,0.3,NA,NA,1.5,NA,0.05,66.67,NA,0.31,NA,107.14,1.95,0.036,32.63,6.12,0,NA,NA,NA,NA,Pultenaea,daphnoides,Fabaceae,high,high,Pultenaea daphnoides,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Pul_dap,2,NA,NA,NA,0.23,NA,NA,1.9,NA,0.04,86.96,NA,0.34,NA,126.67,1.95,0.036,32.63,6.12,1,1.4,1.1,4.7,5.8,Pultenaea,daphnoides,Fabaceae,high,high,Pultenaea daphnoides,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Pul_dap,3,NA,NA,NA,0.41,NA,NA,1.7,NA,0.07,48.78,NA,0.36,NA,68,1.95,0.036,32.63,6.12,1,2.4,1.5,9.9,11.4,Pultenaea,daphnoides,Fabaceae,high,high,Pultenaea daphnoides,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Pul_dap,4,NA,NA,NA,0.35,NA,NA,2.6,NA,0.09,57.14,NA,0.33,NA,86.67,1.95,0.036,32.63,6.12,1,1.2,1.8,9.5,11.3,Pultenaea,daphnoides,Fabaceae,high,high,Pultenaea daphnoides,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Pul_dap,5,NA,NA,NA,0.25,NA,NA,1.8,NA,0.05,80,NA,0.56,NA,72,1.95,0.036,32.63,6.12,1,1.9,1.8,7.8,9.6,Pultenaea,daphnoides,Fabaceae,high,high,Pultenaea daphnoides,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Pul_dap,6,NA,NA,NA,0.3,NA,NA,1.9,NA,0.06,66.67,NA,0.46,NA,73.08,1.95,0.036,32.63,6.12,1,1.8,2.1,7.3,9.4,Pultenaea,daphnoides,Fabaceae,high,high,Pultenaea daphnoides,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Pul_dap,7,NA,NA,NA,0.24,NA,NA,1.5,NA,0.04,83.33,NA,0.53,NA,78.95,1.95,0.036,32.63,6.12,0,NA,NA,NA,NA,Pultenaea,daphnoides,Fabaceae,high,high,Pultenaea daphnoides,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Pul_dap,8,NA,NA,NA,0.33,NA,NA,1.4,NA,0.05,60.61,NA,0.5,NA,60.87,1.95,0.036,32.63,6.12,1,3.9,1,10.3,11.3,Pultenaea,daphnoides,Fabaceae,high,high,Pultenaea daphnoides,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Pul_dap,9,NA,NA,NA,0.29,NA,NA,2,NA,0.06,68.97,NA,0.57,NA,60.61,1.95,0.036,32.63,6.12,1,2,2.4,12.9,15.3,Pultenaea,daphnoides,Fabaceae,high,high,Pultenaea daphnoides,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Pul_dap,10,NA,NA,NA,0.29,NA,NA,1.2,NA,0.03,68.97,NA,0.52,NA,66.67,1.95,0.036,32.63,6.12,1,2.1,1.8,6.1,7.9,Pultenaea,daphnoides,Fabaceae,high,high,Pultenaea daphnoides,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,San_acu,1,NA,NA,NA,0.6,NA,NA,4.3,NA,0.26,33.33,NA,0.83,NA,20,1,0.064,8.72,18.5,1,5.7,5.2,29.7,34.9,Santalum,acuminatum,Santalaceae,low,low,Santalum acuminatum,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,San_acu,2,NA,NA,NA,0.73,NA,NA,4.6,NA,0.34,27.4,NA,0.61,NA,22.55,1,0.064,8.72,18.5,1,6.5,3.1,41.9,45,Santalum,acuminatum,Santalaceae,low,low,Santalum acuminatum,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,San_acu,3,NA,NA,NA,0.71,NA,NA,3.7,NA,0.26,28.17,NA,0.76,NA,18.5,1,0.064,8.72,18.5,1,7.1,4.2,28.8,33,Santalum,acuminatum,Santalaceae,low,low,Santalum acuminatum,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,San_acu,4,NA,NA,NA,0.65,NA,NA,5,NA,0.33,30.77,NA,0.7,NA,21.93,1,0.064,8.72,18.5,1,3.3,5.7,26.2,31.8,Santalum,acuminatum,Santalaceae,low,low,Santalum acuminatum,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,San_acu,5,NA,NA,NA,0.54,NA,NA,4.4,NA,0.24,37.04,NA,NA,NA,NA,1,0.064,8.72,18.5,1,4,2.7,16.9,19.6,Santalum,acuminatum,Santalaceae,low,low,Santalum acuminatum,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,San_acu,6,NA,NA,NA,0.75,NA,NA,4.1,NA,0.31,26.67,NA,0.66,NA,20.1,1,0.064,8.72,18.5,1,4.5,5.2,24.3,29.5,Santalum,acuminatum,Santalaceae,low,low,Santalum acuminatum,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,San_acu,7,NA,NA,NA,0.75,NA,NA,4.3,NA,0.32,26.67,NA,0.74,NA,17.99,1,0.064,8.72,18.5,1,7.6,3.5,39.6,43.1,Santalum,acuminatum,Santalaceae,low,low,Santalum acuminatum,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,San_acu,8,NA,NA,NA,0.65,NA,NA,5.5,NA,0.36,30.77,NA,0.76,NA,20.37,1,0.064,8.72,18.5,1,3.2,8,31.5,39.5,Santalum,acuminatum,Santalaceae,low,low,Santalum acuminatum,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,San_acu,9,NA,NA,NA,0.5,NA,NA,4.1,NA,0.21,40,NA,0.75,NA,26.62,1,0.064,8.72,18.5,1,3.1,3.4,18,21.4,Santalum,acuminatum,Santalaceae,low,low,Santalum acuminatum,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,San_acu,10,NA,NA,NA,0.55,NA,NA,3.5,NA,0.19,36.36,NA,0.82,NA,22.29,1,0.064,8.72,18.5,1,4.6,2.7,25.4,28.1,Santalum,acuminatum,Santalaceae,low,low,Santalum acuminatum,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Syn_gla,1,NA,NA,NA,0.43,NA,NA,14.5,NA,0.62,46.51,NA,0.45,NA,51.97,1.59,0.084,26.84,8.81,1,1.6,2.7,18.4,21.1,Syncarpia,glomulifera,Myrtaceae,high,high,Syncarpia glomulifera,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Syn_gla,2,NA,NA,NA,0.43,NA,NA,17.3,NA,0.74,46.51,NA,0.32,NA,73.31,1.59,0.084,26.84,8.81,1,1.6,2.8,15,17.8,Syncarpia,glomulifera,Myrtaceae,high,high,Syncarpia glomulifera,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Syn_gla,3,NA,NA,NA,0.45,NA,NA,12.6,NA,0.57,44.44,NA,0.22,NA,100.8,1.59,0.084,26.84,8.81,1,1,1.6,12.3,13.9,Syncarpia,glomulifera,Myrtaceae,high,high,Syncarpia glomulifera,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Syn_gla,4,NA,NA,NA,0.31,NA,NA,12,NA,0.37,64.52,NA,0.3,NA,106.19,1.59,0.084,26.84,8.81,1,0.9,1.1,10.5,11.6,Syncarpia,glomulifera,Myrtaceae,high,high,Syncarpia glomulifera,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Syn_gla,5,NA,NA,NA,0.3,NA,NA,13.8,NA,0.41,66.67,NA,0.3,NA,110.4,1.59,0.084,26.84,8.81,0,NA,NA,9.4,11.4,Syncarpia,glomulifera,Myrtaceae,high,high,Syncarpia glomulifera,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Syn_gla,6,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,62.89,1.59,0.084,26.84,8.81,1,2.1,2.5,18.9,21.4,Syncarpia,glomulifera,Myrtaceae,high,high,Syncarpia glomulifera,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Syn_gla,7,NA,NA,NA,0.51,NA,NA,12.1,NA,0.62,39.22,NA,0.34,NA,57.89,1.59,0.084,26.84,8.81,1,2.1,2.4,18.5,20.9,Syncarpia,glomulifera,Myrtaceae,high,high,Syncarpia glomulifera,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Syn_gla,8,NA,NA,NA,0.33,NA,NA,9.5,NA,0.31,60.61,NA,0.39,NA,78.51,1.59,0.084,26.84,8.81,1,1.9,1.3,17.9,19.2,Syncarpia,glomulifera,Myrtaceae,high,high,Syncarpia glomulifera,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Syn_gla,9,NA,NA,NA,0.4,NA,NA,10.3,NA,0.41,50,NA,0.37,NA,68.21,1.59,0.084,26.84,8.81,1,1.8,2.4,15.9,18.3,Syncarpia,glomulifera,Myrtaceae,high,high,Syncarpia glomulifera,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Syn_gla,10,NA,NA,NA,0.47,NA,NA,13,NA,0.61,42.55,NA,0.23,NA,92.2,1.59,0.084,26.84,8.81,1,1.9,1.9,12,13.9,Syncarpia,glomulifera,Myrtaceae,high,high,Syncarpia glomulifera,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Syn_glo,1,NA,NA,NA,0.49,NA,NA,22,NA,1.08,40.82,NA,0.32,NA,63.04,0.98,0.04,22.67,10.78,1,2.1,5.1,21.4,26.5,Synoum,glandulosum,Meliaceae,high,high,Synoum glandulosum,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Syn_glo,2,NA,NA,NA,0.5,NA,NA,21.1,NA,1.06,40,NA,0.32,NA,62.8,0.98,0.04,22.67,10.78,1,2.1,9.7,21.9,31.6,Synoum,glandulosum,Meliaceae,high,high,Synoum glandulosum,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Syn_glo,3,NA,NA,NA,0.64,NA,NA,34.1,NA,2.18,31.25,NA,0.3,NA,52.54,0.98,0.04,22.67,10.78,1,1.7,6.7,41.3,48,Synoum,glandulosum,Meliaceae,high,high,Synoum glandulosum,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Syn_glo,4,NA,NA,NA,0.35,NA,NA,20.3,NA,0.71,57.14,NA,0.5,NA,56.86,0.98,0.04,22.67,10.78,1,1.7,8,30.1,38.1,Synoum,glandulosum,Meliaceae,high,high,Synoum glandulosum,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Syn_glo,5,NA,NA,NA,0.45,NA,NA,27.1,NA,1.22,44.44,NA,0.44,NA,50.84,0.98,0.04,22.67,10.78,1,2.1,5,38.5,43.5,Synoum,glandulosum,Meliaceae,high,high,Synoum glandulosum,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Syn_glo,6,NA,NA,NA,0.52,NA,NA,41.3,NA,2.15,38.46,NA,0.38,NA,50.37,0.98,0.04,22.67,10.78,1,1.6,11.7,37.8,49.5,Synoum,glandulosum,Meliaceae,high,high,Synoum glandulosum,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Syn_glo,7,NA,NA,NA,0.38,NA,NA,24.5,NA,0.93,52.63,NA,0.41,NA,63.47,0.98,0.04,22.67,10.78,1,1.9,6.3,28.1,34.4,Synoum,glandulosum,Meliaceae,high,high,Synoum glandulosum,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Syn_glo,8,NA,NA,NA,0.31,NA,NA,23.3,NA,0.72,64.52,NA,0.51,NA,63.32,0.98,0.04,22.67,10.78,1,1.4,5.7,27.1,32.8,Synoum,glandulosum,Meliaceae,high,high,Synoum glandulosum,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Syn_glo,9,NA,NA,NA,0.45,NA,NA,40.2,NA,1.81,44.44,NA,0.45,NA,49.57,0.98,0.04,22.67,10.78,1,1.7,9.4,35,44.4,Synoum,glandulosum,Meliaceae,high,high,Synoum glandulosum,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Syn_glo,10,NA,NA,NA,0.45,NA,NA,19.3,NA,0.87,44.44,NA,0.34,NA,64.98,0.98,0.04,22.67,10.78,1,1.6,5.4,28.7,34.1,Synoum,glandulosum,Meliaceae,high,high,Synoum glandulosum,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Tri_sca,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Triodia,scariosa,Poaceae,low,low,Triodia scariosa,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Tri_sca,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Triodia,scariosa,Poaceae,low,low,Triodia scariosa,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Tri_sca,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Triodia,scariosa,Poaceae,low,low,Triodia scariosa,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Tri_sca,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Triodia,scariosa,Poaceae,low,low,Triodia scariosa,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Tri_sca,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Triodia,scariosa,Poaceae,low,low,Triodia scariosa,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Tri_sca,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Triodia,scariosa,Poaceae,low,low,Triodia scariosa,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Tri_sca,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Triodia,scariosa,Poaceae,low,low,Triodia scariosa,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Tri_sca,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Triodia,scariosa,Poaceae,low,low,Triodia scariosa,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Tri_sca,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Triodia,scariosa,Poaceae,low,low,Triodia scariosa,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Tri_sca,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Triodia,scariosa,Poaceae,low,low,Triodia scariosa,low rainfall low soil P,Round Hill mallee,NA,NA,NA
DRIED,Xyl_pyr,1,NA,NA,NA,0.4,NA,NA,33,NA,1.32,50,NA,0.55,NA,45.71,0.87,0.037,21.21,15.72,1,2.3,5.4,37.3,42.7,Xylomelum,pyriforme,Proteaceae,high,high,Xylomelum pyriforme,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Xyl_pyr,2,NA,NA,NA,0.38,NA,NA,22.9,NA,0.87,52.63,NA,0.5,NA,52.89,0.87,0.037,21.21,15.72,1,2.5,4.1,29.7,33.8,Xylomelum,pyriforme,Proteaceae,high,high,Xylomelum pyriforme,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Xyl_pyr,3,NA,NA,NA,0.5,NA,NA,27.2,NA,1.36,40,NA,0.35,NA,57.51,0.87,0.037,21.21,15.72,1,2,4.2,27.5,31.7,Xylomelum,pyriforme,Proteaceae,high,high,Xylomelum pyriforme,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Xyl_pyr,4,NA,NA,NA,0.62,NA,NA,28.3,NA,1.75,32.26,NA,0.31,NA,51.36,0.87,0.037,21.21,15.72,1,2,3.9,29.3,33.2,Xylomelum,pyriforme,Proteaceae,high,high,Xylomelum pyriforme,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Xyl_pyr,5,NA,NA,NA,0.44,NA,NA,20.6,NA,0.91,45.45,NA,0.48,NA,47.69,0.87,0.037,21.21,15.72,1,2.5,3.5,30.1,33.6,Xylomelum,pyriforme,Proteaceae,high,high,Xylomelum pyriforme,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Xyl_pyr,6,NA,NA,NA,0.51,NA,NA,30.9,NA,1.58,39.22,NA,0.37,NA,52.46,0.87,0.037,21.21,15.72,1,2.1,4.4,30.7,35.1,Xylomelum,pyriforme,Proteaceae,high,high,Xylomelum pyriforme,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Xyl_pyr,7,NA,NA,NA,0.45,NA,NA,24.1,NA,1.08,44.44,NA,0.53,NA,41.62,0.87,0.037,21.21,15.72,1,2.1,4.1,36.9,41,Xylomelum,pyriforme,Proteaceae,high,high,Xylomelum pyriforme,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Xyl_pyr,8,NA,NA,NA,0.47,NA,NA,34.7,NA,1.63,42.55,NA,0.42,NA,50.29,0.87,0.037,21.21,15.72,1,1.2,5.7,32,37.7,Xylomelum,pyriforme,Proteaceae,high,high,Xylomelum pyriforme,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Xyl_pyr,9,NA,NA,NA,0.45,NA,NA,29.3,NA,1.32,44.44,NA,0.46,NA,48.35,0.87,0.037,21.21,15.72,1,2.1,4.4,33.3,37.7,Xylomelum,pyriforme,Proteaceae,high,high,Xylomelum pyriforme,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
DRIED,Xyl_pyr,10,NA,NA,NA,0.5,NA,NA,31,NA,1.55,40,NA,0.35,NA,57.2,0.87,0.037,21.21,15.72,1,1.6,4.2,NA,NA,Xylomelum,pyriforme,Proteaceae,high,high,Xylomelum pyriforme,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,NA
FRESH,Aca_dor,1,133,6,0.52,0.52,0.342,0.158,6.8,6.8,0.35,38.46,0.45,0.97,117.1,19.88,NA,NA,NA,5.34,1,10.8,7.2,16.8,24,Acacia,doratoxylon,Fabaceae,low,high,Acacia doratoxylon,low rainfall high soil P,Round Hill woodland,NA,NA,43.037974683544306
FRESH,Aca_dor,2,128,7,0.65,0.65,0.442,0.204,7.5,7.5,0.49,30.77,0.42,0.91,117.1,16.97,NA,NA,NA,5.34,1,18.2,5,20.9,25.9,Acacia,doratoxylon,Fabaceae,low,high,Acacia doratoxylon,low rainfall high soil P,Round Hill woodland,NA,NA,36.76470588235294
FRESH,Aca_dor,3,135,8,0.73,0.73,0.608,0.28,9,9,0.66,27.4,0.43,0.93,117.1,14.8,NA,NA,NA,5.34,1,18,6.2,30.2,36.4,Acacia,doratoxylon,Fabaceae,low,high,Acacia doratoxylon,low rainfall high soil P,Round Hill woodland,NA,NA,32.14285714285714
FRESH,Aca_dor,4,121,8,0.49,0.49,0.376,0.173,7.9,7.9,0.39,40.82,0.45,0.97,117.1,21.01,NA,NA,NA,5.34,1,17.4,3.2,15.7,18.9,Acacia,doratoxylon,Fabaceae,low,high,Acacia doratoxylon,low rainfall high soil P,Round Hill woodland,NA,NA,45.66473988439307
FRESH,Aca_dor,5,107,6,0.55,0.55,0.294,0.135,5.7,5.7,0.31,36.36,0.43,0.94,117.1,19.39,NA,NA,NA,5.34,1,13.8,3.9,16.8,20.7,Acacia,doratoxylon,Fabaceae,low,high,Acacia doratoxylon,low rainfall high soil P,Round Hill woodland,NA,NA,42.22222222222222
FRESH,Aca_dor,6,122,7,0.51,0.51,0.401,0.185,7.8,7.8,0.4,39.22,0.46,1.01,117.1,19.45,NA,NA,NA,5.34,1,9.1,7.4,15.9,23.3,Acacia,doratoxylon,Fabaceae,low,high,Acacia doratoxylon,low rainfall high soil P,Round Hill woodland,NA,NA,42.16216216216216
FRESH,Aca_dor,7,92,5,0.54,0.54,0.216,0.099,4.1,4.1,0.22,37.04,0.45,0.98,117.1,18.98,NA,NA,NA,5.34,1,15.1,3.4,18.8,22.2,Acacia,doratoxylon,Fabaceae,low,high,Acacia doratoxylon,low rainfall high soil P,Round Hill woodland,NA,NA,41.41414141414141
FRESH,Aca_dor,8,130,6,0.58,0.58,0.408,0.188,7.1,7.1,0.41,34.48,0.46,0.99,117.1,17.4,NA,NA,NA,5.34,1,15.8,6.3,17.1,23.4,Acacia,doratoxylon,Fabaceae,low,high,Acacia doratoxylon,low rainfall high soil P,Round Hill woodland,NA,NA,37.76595744680851
FRESH,Aca_dor,9,83,9,0.52,0.52,0.33,0.152,6.8,6.8,0.35,38.46,0.43,0.93,117.1,20.61,NA,NA,NA,5.34,1,12.9,4,18.7,22.7,Acacia,doratoxylon,Fabaceae,low,high,Acacia doratoxylon,low rainfall high soil P,Round Hill woodland,NA,NA,44.73684210526316
FRESH,Aca_dor,10,125,5,0.57,0.57,0.291,0.134,5.5,5.5,0.31,35.09,0.43,0.93,117.1,18.9,NA,NA,NA,5.34,1,15.2,2.8,21.2,24,Acacia,doratoxylon,Fabaceae,low,high,Acacia doratoxylon,low rainfall high soil P,Round Hill woodland,NA,NA,41.04477611940298
FRESH,Aca_hav,1,50,NA,1.18,0.93,0.055,0.026,0.5,0.8,0.03,46.57,0.77,1.63,111.6,14.28,NA,NA,NA,16.46,1,24,1.8,10.2,12,Acacia,havilandiorum,Fabaceae,low,low,Acacia havilandiorum,low rainfall low soil P,Round Hill mallee,NA,NA,30.769230769230774
FRESH,Aca_hav,2,50,NA,1.09,0.86,0.048,0.023,0.5,0.8,0.03,54.58,0.79,1.67,111.6,16.36,NA,NA,NA,16.46,1,27.7,0.9,12,12.9,Acacia,havilandiorum,Fabaceae,low,low,Acacia havilandiorum,low rainfall low soil P,Round Hill mallee,NA,NA,34.78260869565218
FRESH,Aca_hav,3,76,NA,1.32,1.04,0.097,0.046,0.9,1.4,0.06,44.07,0.71,1.51,111.6,14.57,NA,NA,NA,16.46,1,24.8,2.1,13.1,15.2,Acacia,havilandiorum,Fabaceae,low,low,Acacia havilandiorum,low rainfall low soil P,Round Hill mallee,NA,NA,30.434782608695652
FRESH,Aca_hav,4,55,NA,1.18,0.93,0.077,0.036,0.7,1.1,0.04,59.27,0.98,2.08,111.6,14.28,NA,NA,NA,16.46,1,19.7,3,9.6,12.6,Acacia,havilandiorum,Fabaceae,low,low,Acacia havilandiorum,low rainfall low soil P,Round Hill mallee,NA,NA,30.55555555555556
FRESH,Aca_hav,5,50,NA,1.32,1.04,0.064,0.03,0.6,0.9,0.04,44.66,0.72,1.52,111.6,14.73,NA,NA,NA,16.46,0,NA,NA,NA,NA,Acacia,havilandiorum,Fabaceae,low,low,Acacia havilandiorum,low rainfall low soil P,Round Hill mallee,NA,NA,30.000000000000004
FRESH,Aca_hav,6,58,NA,1.34,1.05,0.086,0.041,0.8,1.3,0.05,49.81,0.81,1.7,111.6,14.61,NA,NA,NA,16.46,1,21.8,1.9,13.4,15.3,Acacia,havilandiorum,Fabaceae,low,low,Acacia havilandiorum,low rainfall low soil P,Round Hill mallee,NA,NA,31.70731707317073
FRESH,Aca_hav,7,54,NA,1.37,1.08,0.083,0.039,0.8,1.3,0.05,51.18,0.8,1.69,111.6,15.14,NA,NA,NA,16.46,1,22.4,2.6,13.7,16.3,Acacia,havilandiorum,Fabaceae,low,low,Acacia havilandiorum,low rainfall low soil P,Round Hill mallee,NA,NA,33.333333333333336
FRESH,Aca_hav,8,58,NA,1.16,0.91,0.07,0.033,0.7,1.1,0.04,58.16,0.87,1.85,111.6,15.71,NA,NA,NA,16.46,1,22.3,1.4,12.2,13.6,Acacia,havilandiorum,Fabaceae,low,low,Acacia havilandiorum,low rainfall low soil P,Round Hill mallee,NA,NA,33.333333333333336
FRESH,Aca_hav,9,64,NA,1.48,1.16,0.104,0.049,0.8,1.3,0.07,37.01,0.72,1.53,111.6,12.08,NA,NA,NA,16.46,1,22.3,2.8,18.5,21.3,Acacia,havilandiorum,Fabaceae,low,low,Acacia havilandiorum,low rainfall low soil P,Round Hill mallee,NA,NA,26.53061224489796
FRESH,Aca_hav,10,39,NA,1.35,1.06,0.056,0.026,0.5,0.8,0.03,45.62,0.77,1.63,111.6,14.02,NA,NA,NA,16.46,1,17.1,3.4,12.3,15.7,Acacia,havilandiorum,Fabaceae,low,low,Acacia havilandiorum,low rainfall low soil P,Round Hill mallee,NA,NA,30.769230769230774
FRESH,Alloc_spp,1,130,NA,0.66,0.52,0.046,0.023,0.9,1.4,0.03,103.06,0.83,1.68,101.7,30.73,NA,NA,NA,9.38,0,NA,NA,NA,NA,Allocasuarina,sp,Casuarinaceae,high,high,Allocasuarina sp,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,60.869565217391305
FRESH,Alloc_spp,2,140,NA,0.6,0.47,0.04,0.02,0.9,1.4,0.02,115.8,0.81,1.64,101.7,35.34,NA,NA,NA,9.38,0,NA,NA,NA,NA,Allocasuarina,sp,Casuarinaceae,high,high,Allocasuarina sp,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,70
FRESH,Alloc_spp,3,140,NA,0.63,0.49,0.048,0.024,1,1.6,0.03,116.7,0.88,1.78,101.7,32.72,NA,NA,NA,9.38,0,NA,NA,NA,NA,Allocasuarina,sp,Casuarinaceae,high,high,Allocasuarina sp,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,66.66666666666667
FRESH,Alloc_spp,4,135,NA,0.58,0.46,0.038,0.019,0.8,1.3,0.02,114.23,0.86,1.73,101.7,33.07,NA,NA,NA,9.38,0,NA,NA,NA,NA,Allocasuarina,sp,Casuarinaceae,high,high,Allocasuarina sp,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,68.42105263157895
FRESH,Alloc_spp,5,90,NA,0.59,0.46,0.028,0.014,0.6,0.9,0.02,124.19,0.91,1.84,101.7,33.66,NA,NA,NA,9.38,1,12.9,1.3,6.6,7.9,Allocasuarina,sp,Casuarinaceae,high,high,Allocasuarina sp,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,64.28571428571429
FRESH,Alloc_spp,6,106,NA,0.55,0.43,0.027,0.013,0.7,1.1,0.02,141.56,0.86,1.74,101.7,40.72,NA,NA,NA,9.38,0,NA,NA,NA,NA,Allocasuarina,sp,Casuarinaceae,high,high,Allocasuarina sp,high rainfall high soil P,Kuring-gai NP hiP,NA,NA,84.61538461538463
