species,germination,days_to_50%_germination,temperature_treatment,site_name
Diplachne fusca,50,3,20,Alice Springs
Dysphania glomulifera,100,2,20,Alice Springs
Dichantium sericeum,40,2,20,Alice Springs
Digitaria coenicola,35,3,20,Alice Springs
Dissocarpus paradoxus,29,2,20,Alice Springs
Dysphania rhadinostachya,70,4,20,Alice Springs
Enchylaena tomentosa,81,2,20,Alice Springs
Enneapogon cylindricus ,100,1,20,Alice Springs
Enneapogon polyphyllus ,58,1,20,Alice Springs
Enteropogon ramosus,100,2,20,Alice Springs
Enneapogon avenaceus,70,3,20,Alice Springs
Enneapogon pallidus ,90,3,20,Alice Springs
Enteropogon acicularis,55,6,20,Alice Springs
Eragrostis barrelieri,50,4,20,Alice Springs
Eragrostis dielsii,60,4,20,Alice Springs
Eragrostis setifolia,10,5,20,Alice Springs
Eucalyptus socialis,100,3,20,Alice Springs
Fimbristylis dichotoma,30,7,20,Alice Springs
Eragrostis leptocarpa,65,2,20,Alice Springs
Erodium crinitum,75,2,20,Alice Springs
Evolvulus alsinoides,100,1,20,Alice Springs
Hakea leucoptera,100,3,20,Alice Springs
Helichrysum bracteatum,25,4,20,Alice Springs
Helipterum floribundum,55,2,20,Alice Springs
Indigofera linnaei,30,1,20,Alice Springs
Lepidium oxytrichum,30,7,20,Alice Springs
Helipterum charsleyae,5,3,20,Alice Springs
Helipterum tietkensii,20,4,20,Alice Springs
Lepidium muelleri-ferdinandi,60,1,20,Alice Springs
Lotus cruentus,60,3,20,Alice Springs
Maireana scleroptera,55,1,20,Alice Springs
Mollugo cerviana,50,3,20,Alice Springs
Pittosporum phylliraeoides,30,9,20,Alice Springs
Psoralea cinerea,32,3,20,Alice Springs
Malvastrum americanum ,30,1,20,Alice Springs
Panicum decompositum,55,3,20,Alice Springs
Portulaca filifolia,55,5,20,Alice Springs
Psoralea patens,55,4,20,Alice Springs
Pterocaulon sphacelatum,10,6,20,Alice Springs
Rumex vesicarius,100,2,20,Alice Springs
Salsola kali,60,1,20,Alice Springs
Sclerolaena diacantha ,40,1,20,Alice Springs
Rhynchelytrum repens,35,5,20,Alice Springs
Rutidosis helichrysoides,45,5,20,Alice Springs
Sclerolaena bicornis,100,2,20,Alice Springs
Senecio gregori,20,3,20,Alice Springs
Senecio magnificus,60,4,20,Alice Springs
Sida sp. 1,10,4,20,Alice Springs
Sisymbrium erysimoides,30,3,20,Alice Springs
Sporobulus actinocladus,30,6,20,Alice Springs
Sida spinosa,20,6,20,Alice Springs
Sida sp. 2,20,3,20,Alice Springs
Solanum quadriloculatum,25,8,20,Alice Springs
Sporobulus caroli,10,5,20,Alice Springs
Stenopetalum anfractum,10,9,20,Alice Springs
Swainsona canescens,100,2,20,Alice Springs
Trichodesma zeylanicum,50,3,20,Alice Springs
Triraphis mollis,35,4,20,Alice Springs
Steptoglossa adora,70,5,20,Alice Springs
Tragus australianus,45,1,20,Alice Springs
Tripogon loliiformis,35,2,20,Alice Springs
Ventilago viminalis,55,4,20,Alice Springs
Vittadina eremaea,60,8,20,Alice Springs
Abutilon fraseri,25,2,28,Alice Springs
Acacia estrophiolata,78,2,28,Alice Springs
Acacia kempeana,85,2,28,Alice Springs
Acacia murrayana,45,4,28,Alice Springs
Acacia aneura,75,2,28,Alice Springs
Acacia farnesiana,80,2,28,Alice Springs
Acacia ligulata,100,1,28,Alice Springs
Acacia tetragonophylla,94,2,28,Alice Springs
Acacia victoriae,99,2,28,Alice Springs
Amaranthus mitchellii,47,1,28,Alice Springs
Aristida contorta ,100,5,28,Alice Springs
Aristida latifolia,57,3,28,Alice Springs
Alternanthera angustifolia,11,3,28,Alice Springs
Aristida biglandulosa,93,2,28,Alice Springs
Aristida inaequiglumis,10,6,28,Alice Springs
Aristida strigosa,20,6,28,Alice Springs
Astrebla pectinata,100,1,28,Alice Springs
Atriplex elachophylla,71,1,28,Alice Springs
Boerhavia coccinea,20,1,28,Alice Springs
Brassica tournefortii,5,3,28,Alice Springs
Atalaya hemiglauca,58,3,28,Alice Springs
Atriplex humifusa,40,1,28,Alice Springs
Bothriochloa ewartiana,45,3,28,Alice Springs
Calocephalus platycephalus,0,0,28,Alice Springs
Calotis hispidula,5,4,28,Alice Springs
Cassia artemisioides,55,2,28,Alice Springs
Cassia nemophylla,40,5,28,Alice Springs
Cenchrus ciliaris,80,1,28,Alice Springs
Capparis mitchelli,45,5,28,Alice Springs
Cassia helmsii,55,5,28,Alice Springs
Cassia oligophylla,85,1,28,Alice Springs
Chenopodium cristatum,45,1,28,Alice Springs
Chenopodium melanocarpum,60,1,28,Alice Springs
Chloris scariosa,95,1,28,Alice Springs
Convolvulus erubescens,25,1,28,Alice Springs
Cymbopogon obtectus,100,2,28,Alice Springs
Chloris pectinata,100,1,28,Alice Springs
Citrullus lanatus,60,3,28,Alice Springs
Convolvulus remotus,100,2,28,Alice Springs
Cynodon dactylon,98,1,28,Alice Springs
Dactyloctenium radulans,10,1,28,Alice Springs
Digitaria brownii,65,1,28,Alice Springs
Diplachne fusca,40,1,28,Alice Springs
Dysphania glomulifera,100,2,28,Alice Springs
Dichantium sericeum,75,1,28,Alice Springs
Digitaria coenicola,50,2,28,Alice Springs
Dissocarpus paradoxus,28,2,28,Alice Springs
Dysphania rhadinostachya,55,2,28,Alice Springs
Enchylaena tomentosa,50,1,28,Alice Springs
Enneapogon cylindricus ,100,1,28,Alice Springs
Enneapogon polyphyllus ,40,1,28,Alice Springs
Enteropogon ramosus,100,1,28,Alice Springs
Enneapogon avenaceus,30,1,28,Alice Springs
Enneapogon pallidus ,85,2,28,Alice Springs
Enteropogon acicularis,90,3,28,Alice Springs
Eragrostis barrelieri,90,2,28,Alice Springs
Eragrostis dielsii,50,3,28,Alice Springs
Eragrostis setifolia,20,8,28,Alice Springs
Eucalyptus socialis,90,2,28,Alice Springs
Fimbristylis dichotoma,50,8,28,Alice Springs
Eragrostis leptocarpa,70,2,28,Alice Springs
Erodium crinitum,10,4,28,Alice Springs
Evolvulus alsinoides,100,1,28,Alice Springs
Hakea leucoptera,100,3,28,Alice Springs
Helichrysum bracteatum,10,3,28,Alice Springs
Helipterum floribundum,30,2,28,Alice Springs
Indigofera linnaei,50,1,28,Alice Springs
Lepidium oxytrichum,0,0,28,Alice Springs
Helipterum charsleyae,5,3,28,Alice Springs
Helipterum tietkensii,30,2,28,Alice Springs
Lepidium muelleri-ferdinandi,65,1,28,Alice Springs
Lotus cruentus,100,2,28,Alice Springs
Maireana scleroptera,45,1,28,Alice Springs
Mollugo cerviana,45,3,28,Alice Springs
