taxon_name,entity_type,entity_context,location_name,trait,trait_value_raw,trait_value,trait_value_clean,value_type,unit,error_type,error_value,n,context,source_section,notes
Dianella revoluta,species,,Wireless Hill,flower_perianth_symmetry,Actinomorphic,actinomorphic_general,actinomorphic_general,mode,,,,,,"Table 1, p.27",
Hemiandra pungens,species,,Nicholson Road Reserve,flower_perianth_symmetry,Zygomorphic,zygomorphic,zygomorphic,mode,,,,,,"Table 1, p.27",
Jacksonia sericea,species,,Wireless Hill,flower_perianth_symmetry,Zygomorphic,zygomorphic,zygomorphic,mode,,,,,,"Table 1, p.27",
Patersonia occidentalis,species,,Classon Park Leeming,flower_perianth_symmetry,Actinomorphic,actinomorphic_general,actinomorphic_general,mode,,,,,,"Table 1, p.27",
Tricoryne elatior,species,,Wireless Hill,flower_perianth_symmetry,Actinomorphic,actinomorphic_general,actinomorphic_general,mode,,,,,,"Table 1, p.27",
Dianella revoluta,species,,Wireless Hill,flower_anther_display,Exposed,,exposed,mode,,,,,,"Table 1, p.27","Candidate trait, not in config/traits.yml (no anther-exsertion trait in current vocabulary)"
Hemiandra pungens,species,,Nicholson Road Reserve,flower_anther_display,Hidden,,hidden,mode,,,,,,"Table 1, p.27","Candidate trait, not in config/traits.yml (no anther-exsertion trait in current vocabulary)"
Jacksonia sericea,species,,Wireless Hill,flower_anther_display,Hidden,,hidden,mode,,,,,,"Table 1, p.27","Candidate trait, not in config/traits.yml (no anther-exsertion trait in current vocabulary)"
Patersonia occidentalis,species,,Classon Park Leeming,flower_anther_display,Exposed,,exposed,mode,,,,,,"Table 1, p.27","Candidate trait, not in config/traits.yml (no anther-exsertion trait in current vocabulary)"
Tricoryne elatior,species,,Wireless Hill,flower_anther_display,Well exposed,,well_exposed,mode,,,,,,"Table 1, p.27","Candidate trait, not in config/traits.yml (no anther-exsertion trait in current vocabulary)"
Dianella revoluta,species,,Wireless Hill,flower_stigma_display,Well exposed,,well_exposed,mode,,,,,,"Table 1, p.27","Candidate trait, not in config/traits.yml (no stigma-exsertion trait in current vocabulary)"
Hemiandra pungens,species,,Nicholson Road Reserve,flower_stigma_display,"Initially hidden, later exposed",,initially_hidden_later_exposed,mode,,,,,,"Table 1, p.27","Candidate trait, not in config/traits.yml (no stigma-exsertion trait in current vocabulary)"
Jacksonia sericea,species,,Wireless Hill,flower_stigma_display,Exposed,,exposed,mode,,,,,,"Table 1, p.27","Candidate trait, not in config/traits.yml (no stigma-exsertion trait in current vocabulary)"
Patersonia occidentalis,species,,Classon Park Leeming,flower_stigma_display,Hidden,,hidden,mode,,,,,,"Table 1, p.27","Candidate trait, not in config/traits.yml (no stigma-exsertion trait in current vocabulary)"
Tricoryne elatior,species,,Wireless Hill,flower_stigma_display,Well exposed,,well_exposed,mode,,,,,,"Table 1, p.27","Candidate trait, not in config/traits.yml (no stigma-exsertion trait in current vocabulary)"
Dianella revoluta,species,,Wireless Hill,flower_colour,Purple-blue,blue_purple,blue_purple,mode,,,,,,"Table 1, p.27",
Hemiandra pungens,species,,Nicholson Road Reserve,flower_colour,White-purple,white_cream blue_purple,white_cream blue_purple,mode,,,,,,"Table 1, p.27",Two-tone colour rendered as two simultaneous values
Jacksonia sericea,species,,Wireless Hill,flower_colour,Orange,yellow_orange,yellow_orange,mode,,,,,,"Table 1, p.27",
Patersonia occidentalis,species,,Classon Park Leeming,flower_colour,Purple,blue_purple,blue_purple,mode,,,,,,"Table 1, p.27",
Tricoryne elatior,species,,Wireless Hill,flower_colour,Yellow,yellow_orange,yellow_orange,mode,,,,,,"Table 1, p.27",
Dianella revoluta,species,,Wireless Hill,flower_nectar_production,No,nectar_absent,nectar_absent,mode,,,,,,"Table 1, p.27",
Hemiandra pungens,species,,Nicholson Road Reserve,flower_nectar_production,Yes,nectar_produced,nectar_produced,mode,,,,,,"Table 1, p.27",
Jacksonia sericea,species,,Wireless Hill,flower_nectar_production,Yes,nectar_produced,nectar_produced,mode,,,,,,"Table 1, p.27",
Patersonia occidentalis,species,,Classon Park Leeming,flower_nectar_production,No,nectar_absent,nectar_absent,mode,,,,,,"Table 1, p.27",
Tricoryne elatior,species,,Wireless Hill,flower_nectar_production,Yes,nectar_produced,nectar_produced,mode,,,,,,"Table 1, p.27",
Dianella revoluta,species,,Wireless Hill,flower_pollinator_reward,"D. revoluta has poricidal anthers ... Buzz pollinators, usually bees, remove pollen from poricidal anthers using vibration",pollen,pollen,mode,,,,,,"Methods, Experimental design and data collection, p.28-29","Flowers do not produce nectar (Table 1); reward is pollen, extracted by buzz pollination"
Hemiandra pungens,species,,Nicholson Road Reserve,flower_pollinator_reward,Nectar: Yes (Table 1),nectar,nectar,mode,,,,,,"Table 1, p.27",Inferred directly from Table 1's Nectar=Yes; the paper does not separately discuss reward type for this species
Jacksonia sericea,species,,Wireless Hill,flower_pollinator_reward,Nectar: Yes (Table 1),nectar,nectar,mode,,,,,,"Table 1, p.27",Inferred directly from Table 1's Nectar=Yes; the paper does not separately discuss reward type for this species
Tricoryne elatior,species,,Wireless Hill,flower_pollinator_reward,Nectar: Yes (Table 1),nectar,nectar,mode,,,,,,"Table 1, p.27",Inferred directly from Table 1's Nectar=Yes; the paper does not separately discuss reward type for this species
Dianella revoluta,species,,Wireless Hill,flower_lifespan,<1 day,,1,maximum,d,,,,,"Table 1, p.27",Source states flowers last less than one day; recorded as an upper-bound maximum of 1
Patersonia occidentalis,species,,Classon Park Leeming,flower_lifespan,<1 day,,1,maximum,d,,,,,"Table 1, p.27",Source states flowers last less than one day; recorded as an upper-bound maximum of 1
Tricoryne elatior,species,,Wireless Hill,flower_lifespan,<1 day,,1,maximum,d,,,,,"Table 1, p.27",Source states flowers last less than one day; recorded as an upper-bound maximum of 1
Hemiandra pungens,species,,Nicholson Road Reserve,flower_lifespan,Several days,,,,d,,,,,"Table 1, p.27",No exact number given ('several days'); trait_value_clean intentionally left blank rather than guessing a number
Jacksonia sericea,species,,Wireless Hill,flower_lifespan,Several days,,,,d,,,,,"Table 1, p.27",No exact number given ('several days'); trait_value_clean intentionally left blank rather than guessing a number
Dianella revoluta,species,,Wireless Hill,plant_growth_form,Rhizomatous herb,herb,herb,mode,,,,,,"Table 1, p.27",Rhizomatous habit not separately captured (no clonal-growth-organ trait mapped here)
Hemiandra pungens,species,,Nicholson Road Reserve,plant_growth_form,Prostrate shrub,shrub,shrub,mode,,,,,,"Table 1, p.27",Prostrate growth habit not separately captured
Jacksonia sericea,species,,Wireless Hill,plant_growth_form,Low spreading shrub,shrub,shrub,mode,,,,,,"Table 1, p.27","Low, spreading growth habit not separately captured"
Patersonia occidentalis,species,,Classon Park Leeming,plant_growth_form,Rhizomatous herb,herb,herb,mode,,,,,,"Table 1, p.27",Rhizomatous habit not separately captured
Tricoryne elatior,species,,Wireless Hill,plant_growth_form,Rhizomatous herb,herb,herb,mode,,,,,,"Table 1, p.27",Rhizomatous habit not separately captured
Dianella revoluta,species,,Wireless Hill,life_history,Perennial,perennial,perennial,mode,,,,,,"Table 1, p.27",
Hemiandra pungens,species,,Nicholson Road Reserve,life_history,Perennial,perennial,perennial,mode,,,,,,"Table 1, p.27",
Jacksonia sericea,species,,Wireless Hill,life_history,Perennial,perennial,perennial,mode,,,,,,"Table 1, p.27",
Patersonia occidentalis,species,,Classon Park Leeming,life_history,Perennial,perennial,perennial,mode,,,,,,"Table 1, p.27",
Tricoryne elatior,species,,Wireless Hill,life_history,Perennial,perennial,perennial,mode,,,,,,"Table 1, p.27",
Dianella revoluta,population,,Wireless Hill,breeding_system,The D. revoluta plants we studied were predominantly self-incompatible ... flowers did not produce fruit from autogamous pollinations and produced just one fruit from self-pollination,self-incompatible,self-incompatible,mode,,,,,,"Results, Mating systems, p.30 and Insect observations, p.30","breeding_system exists in config/traits.yml (previously misflagged here as a candidate trait); its allowed values are hyphenated (self-incompatible/self-compatible/autogamy/allogamy/apomixis), not underscored"
Hemiandra pungens,population,,Nicholson Road Reserve,breeding_system,Hemiandra pungens ... had mixed mating systems with some ability to self-pollinate ... given its self-compatibility,self-compatible,self-compatible,mode,,,,,,"Abstract p.26; Results, Mating systems, p.30","breeding_system exists in config/traits.yml (previously misflagged here as a candidate trait); its allowed values are hyphenated, and have no 'mixed_mating' value -- the Abstract's 'mixed mating systems with some ability to self-pollinate' resolves to the single value self-compatible (pollen CAN fertilise same-individual ovules), since AusTraits' breeding_system only captures that compatibility fact, not the realised field mating system. 48% of autogamous pollinations produced fruit (Table 3), though results varied markedly (8-87%) among individual plants (Results, Mating systems, p.30, not Discussion as previously cited here)"
Jacksonia sericea,population,,Wireless Hill,breeding_system,"J. sericea ... was self-incompatible, as autogamy and self-pollination produced no fruit or seeds ... reliant on insect pollinators",self-incompatible,self-incompatible,mode,,,,,,"Results, Mating systems, p.30 and Insect observations, p.30","breeding_system exists in config/traits.yml (previously misflagged here as a candidate trait); its allowed values are hyphenated, not underscored. Discussion (p.33) also describes the population as 'obligately xenogamous'"
Patersonia occidentalis,population,,Classon Park Leeming,breeding_system,Patersonia occidentalis ... had mixed mating systems with some ability to self-pollinate ... fruits were produced by pollination treatments simulating or open to insects (i.e. non-autogamous pollinations) in 94% of cases,self-compatible,self-compatible,mode,,,,,,Abstract p.26; Results p.30,"breeding_system exists in config/traits.yml (previously misflagged here as a candidate trait); its allowed values are hyphenated, and have no 'mixed_mating' value -- resolved to the single value self-compatible (6% autogamous fruit set confirms pollen CAN fertilise same-individual ovules). Outcross pollination produced more seeds per fruit than self-pollination"
Tricoryne elatior,population,,Wireless Hill,breeding_system,The fruit and seed data for T. elatior were too sparse to draw conclusions regarding treatment effects,,,mode,,,,,,"Results, Mating systems, p.30 and Insect observations, p.30","breeding_system exists in config/traits.yml (previously misflagged here as a candidate trait). No trait_value_clean given as the source explicitly declines to draw a conclusion for this species"
Dianella revoluta,species,,Wireless Hill,flower_anther_dehiscence,"As D. revoluta has poricidal anthers, donor anthers were pierced and sliced with tweezers to access pollen",poricidal,poricidal,mode,,,,,,"Methods, Experimental design and data collection, p.28",
Dianella revoluta,species,,Wireless Hill,buzz_pollination,"In the case of 'buzz'-pollinated D. revoluta, we recorded pollination when bees grasped a flower from underneath, and vibration was audible ... only D. revoluta has a type of specialised (buzz) pollination",,buzz_pollinated,mode,,,,,,Methods p.28-29; Discussion p.32,"Candidate trait, not in config/traits.yml (no buzz-pollination/sonication trait in current vocabulary, consistent with the same check made for Ladd_2019). Related to the mapped 'flower_anther_dehiscence' = poricidal row above, which captures the anther mechanism buzz pollination acts on."
Dianella revoluta,species,,Wireless Hill,pollination_system,The only insects observed on buzz-pollinated D. revoluta were female native blue-banded bees (Amegilla chlorocyanea),bee,bee,mode,,,,,,"Results, Insect observations, p.30","Verified against the source: the sentence 'were the most frequently observed flower visitors on three focal plant species' names (P. occidentalis, H. pungens and T. elatior), NOT D. revoluta -- an earlier version of this note misquoted that parenthetical as including D. revoluta and flagged a false internal inconsistency with 'A. mellifera did not visit D. revoluta'; there is no contradiction in the source."
Dianella revoluta,species,Amegilla chlorocyanea,Wireless Hill,flower_visitor,female native blue-banded bees (Amegilla chlorocyanea),bee,bee,mode,,,,,,"Results, Insect observations, p.30","An important pollinator of many buzz-pollinated plant species (Discussion, p.32)"
Hemiandra pungens,species,,Nicholson Road Reserve,pollination_system,honey bees were the only observed insect visitors,bee,bee,mode,,,,,,"Results, Insect observations, p.30","Applies to the H. pungens plants observed, which were individuals planted at reserve edges"
Hemiandra pungens,species,Apis mellifera,Nicholson Road Reserve,flower_visitor,"Some H. pungens plants we observed were individuals planted at reserve edges, where honey bees were the only observed insect visitors",honeybee,honeybee,mode,,,,,,"Results, Insect observations, p.30",
Jacksonia sericea,species,,Wireless Hill,pollination_system,The only visitor observed on J. sericea was a species of native bee from the Megachilidae family,bee,bee,mode,,,,,,"Results, Insect observations, p.30",
Jacksonia sericea,species,"unidentified native bee, family Megachilidae",Wireless Hill,flower_visitor,a species of native bee from the Megachilidae family,bee,bee,mode,,,,,,"Results, Insect observations, p.30","Species not identified; only one native bee species was observed visiting J. sericea flowers (Discussion, p.34)"
Patersonia occidentalis,species,,Classon Park Leeming,pollination_system,"after ~1 month, A. mellifera began to visit P. occidentalis flowers",bee,bee,mode,,,,,,"Results, Insect observations, p.30",No bees were observed at the start of flowering; A. mellifera was the only visitor recorded once flowering was underway
Patersonia occidentalis,species,Apis mellifera,Classon Park Leeming,flower_visitor,"after ~1 month, A. mellifera began to visit P. occidentalis flowers, and continued to do so for the remainder of the observation period",honeybee,honeybee,mode,,,,,,"Results, Insect observations, p.30; Discussion p.34",
Tricoryne elatior,species,Apis mellifera,Wireless Hill,flower_visitor,"Introduced honey bees (Apis mellifera) ... were the most frequently observed flower visitors on three focal plant species (P. occidentalis, H. pungens and T. elatior)",honeybee,honeybee,mode,,,,,,"Results, Insect observations, p.30","Corrected misquote: the source's parenthetical names (P. occidentalis, H. pungens and T. elatior), not D. revoluta as an earlier version of this row had it. The greatest number of different insect species (three species) was observed on T. elatior (Results, p.30), but only A. mellifera is named in the accessible text; the other two species are only listed in Supplementary Material Table S1, which was not available to this extraction. No fruit was produced by the plants on which these insects were observed."
,population,,,insect_visit_rate,"insect visits were infrequent, ranging from 1 to 8 insects h-1",,1,minimum,insects/h,,,,pooled across all five focal plant species,"Results, Insect observations, p.30","Candidate trait, not in config/traits.yml. taxon_name deliberately left blank: the source gives this as a single figure for the insect community across all five focal species, not attributed to one taxon. Full per-species/per-visit detail is in Supplementary Material Table S1, not available to this extraction. location_name is likewise deliberately left blank as this figure spans all three study sites (Classon Park Leeming, Nicholson Road Reserve, Wireless Hill), not one of them."
,population,,,insect_visit_rate,"insect visits were infrequent, ranging from 1 to 8 insects h-1",,8,maximum,insects/h,,,,pooled across all five focal plant species,"Results, Insect observations, p.30","Candidate trait, not in config/traits.yml. See minimum row for taxon_name explanation. location_name is likewise deliberately left blank as this figure spans all three study sites (Classon Park Leeming, Nicholson Road Reserve, Wireless Hill), not one of them."
,population,,,insect_abundance_mean,insects were not abundant at the study sites (mean 0-1),,0,minimum,,,,,pooled across all five focal plant species,"Results, Insect observations, p.32","Candidate trait, not in config/traits.yml. This sentence is the tail end of the Results 'Insect observations' subsection (started p.30), continuing after Fig. 2 onto p.32, immediately before the 'Discussion' heading -- not itself part of Discussion. The unit/denominator of this mean is not stated on this page (possibly insects observed per plant per 10-min interval, given the Methods description of 10-min observation intervals, p.28) -- flagged for the curator to check against Table S1 if needed. taxon_name deliberately left blank as this is a pooled community-level statistic. location_name is likewise deliberately left blank as this figure spans all three study sites (Classon Park Leeming, Nicholson Road Reserve, Wireless Hill), not one of them."
,population,,,insect_abundance_mean,insects were not abundant at the study sites (mean 0-1),,1,maximum,,,,,pooled across all five focal plant species,"Results, Insect observations, p.32","Candidate trait, not in config/traits.yml. See minimum row for caveats. location_name is likewise deliberately left blank as this figure spans all three study sites (Classon Park Leeming, Nicholson Road Reserve, Wireless Hill), not one of them."
Dianella revoluta,population,,Wireless Hill,fruit_count_produced,14,,14,raw,{count},,,60,"Open pollination treatment (flowers unmanipulated, free access to insect visitors)","Table 3, p.29","Candidate trait, not in config/traits.yml. n = number of flowers assigned to this treatment"
Dianella revoluta,population,,Wireless Hill,fruit_count_produced,0,,0,raw,{count},,,60,"Autogamy pollination treatment (flowers bagged to exclude insect visitors, testing within-flower self-pollination)","Table 3, p.29","Candidate trait, not in config/traits.yml. n = number of flowers assigned to this treatment"
Dianella revoluta,population,,Wireless Hill,fruit_count_produced,1,,1,raw,{count},,,60,"Self pollination treatment (hand-pollinated with pollen from a different flower on the same plant, then bagged (geitonogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. n = number of flowers assigned to this treatment"
Dianella revoluta,population,,Wireless Hill,fruit_count_produced,20,,20,raw,{count},,,60,"Outcross pollination treatment (flower emasculated and hand-pollinated with pollen from a plant >=5 m away, then bagged (xenogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. n = number of flowers assigned to this treatment"
Dianella revoluta,population,,Wireless Hill,fruit_count_produced,28,,28,raw,{count},,,60,Supplementary pollination treatment (uncovered flowers given additional outcross pollen on top of open pollination),"Table 3, p.29","Candidate trait, not in config/traits.yml. n = number of flowers assigned to this treatment"
Hemiandra pungens,population,,Nicholson Road Reserve,fruit_count_produced,42,,42,raw,{count},,,49,"Open pollination treatment (flowers unmanipulated, free access to insect visitors)","Table 3, p.29","Candidate trait, not in config/traits.yml. n = number of flowers assigned to this treatment"
Hemiandra pungens,population,,Nicholson Road Reserve,fruit_count_produced,37,,37,raw,{count},,,77,"Autogamy pollination treatment (flowers bagged to exclude insect visitors, testing within-flower self-pollination)","Table 3, p.29","Candidate trait, not in config/traits.yml. n = number of flowers assigned to this treatment"
Hemiandra pungens,population,,Nicholson Road Reserve,fruit_count_produced,52,,52,raw,{count},,,81,"Self pollination treatment (hand-pollinated with pollen from a different flower on the same plant, then bagged (geitonogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. n = number of flowers assigned to this treatment"
Hemiandra pungens,population,,Nicholson Road Reserve,fruit_count_produced,43,,43,raw,{count},,,69,"Outcross pollination treatment (flower emasculated and hand-pollinated with pollen from a plant >=5 m away, then bagged (xenogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. n = number of flowers assigned to this treatment"
Jacksonia sericea,population,,Wireless Hill,fruit_count_produced,15,,15,raw,{count},,,65,"Open pollination treatment (flowers unmanipulated, free access to insect visitors)","Table 3, p.29","Candidate trait, not in config/traits.yml. n = number of flowers assigned to this treatment"
Jacksonia sericea,population,,Wireless Hill,fruit_count_produced,0,,0,raw,{count},,,64,"Autogamy pollination treatment (flowers bagged to exclude insect visitors, testing within-flower self-pollination)","Table 3, p.29","Candidate trait, not in config/traits.yml. n = number of flowers assigned to this treatment"
Jacksonia sericea,population,,Wireless Hill,fruit_count_produced,0,,0,raw,{count},,,62,"Self pollination treatment (hand-pollinated with pollen from a different flower on the same plant, then bagged (geitonogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. n = number of flowers assigned to this treatment"
Jacksonia sericea,population,,Wireless Hill,fruit_count_produced,18,,18,raw,{count},,,65,"Outcross pollination treatment (flower emasculated and hand-pollinated with pollen from a plant >=5 m away, then bagged (xenogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. n = number of flowers assigned to this treatment"
Jacksonia sericea,population,,Wireless Hill,fruit_count_produced,21,,21,raw,{count},,,60,Supplementary pollination treatment (uncovered flowers given additional outcross pollen on top of open pollination),"Table 3, p.29","Candidate trait, not in config/traits.yml. n = number of flowers assigned to this treatment"
Patersonia occidentalis,population,,Classon Park Leeming,fruit_count_produced,55,,55,raw,{count},,,179,"Open pollination treatment (flowers unmanipulated, free access to insect visitors)","Table 3, p.29","Candidate trait, not in config/traits.yml. n = number of flowers assigned to this treatment"
Patersonia occidentalis,population,,Classon Park Leeming,fruit_count_produced,9,,9,raw,{count},,,142,"Autogamy pollination treatment (flowers bagged to exclude insect visitors, testing within-flower self-pollination)","Table 3, p.29","Candidate trait, not in config/traits.yml. n = number of flowers assigned to this treatment"
Patersonia occidentalis,population,,Classon Park Leeming,fruit_count_produced,22,,22,raw,{count},,,160,"Self pollination treatment (hand-pollinated with pollen from a different flower on the same plant, then bagged (geitonogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. n = number of flowers assigned to this treatment"
Patersonia occidentalis,population,,Classon Park Leeming,fruit_count_produced,67,,67,raw,{count},,,140,"Outcross pollination treatment (flower emasculated and hand-pollinated with pollen from a plant >=5 m away, then bagged (xenogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. n = number of flowers assigned to this treatment"
Tricoryne elatior,population,,Wireless Hill,fruit_count_produced,1,,1,raw,{count},,,40,"Open pollination treatment (flowers unmanipulated, free access to insect visitors)","Table 3, p.29","Candidate trait, not in config/traits.yml. n = number of flowers assigned to this treatment"
Tricoryne elatior,population,,Wireless Hill,fruit_count_produced,0,,0,raw,{count},,,98,"Autogamy pollination treatment (flowers bagged to exclude insect visitors, testing within-flower self-pollination)","Table 3, p.29","Candidate trait, not in config/traits.yml. n = number of flowers assigned to this treatment"
Tricoryne elatior,population,,Wireless Hill,fruit_count_produced,0,,0,raw,{count},,,107,"Self pollination treatment (hand-pollinated with pollen from a different flower on the same plant, then bagged (geitonogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. n = number of flowers assigned to this treatment"
Tricoryne elatior,population,,Wireless Hill,fruit_count_produced,2,,2,raw,{count},,,167,"Outcross pollination treatment (flower emasculated and hand-pollinated with pollen from a plant >=5 m away, then bagged (xenogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml. n = number of flowers assigned to this treatment"
Tricoryne elatior,population,,Wireless Hill,fruit_count_produced,0,,0,raw,{count},,,52,Supplementary pollination treatment (uncovered flowers given additional outcross pollen on top of open pollination),"Table 3, p.29","Candidate trait, not in config/traits.yml. n = number of flowers assigned to this treatment"
Dianella revoluta,population,,Wireless Hill,proportion_flowers_set_fruit,23 (+/-4.22),,23,mean,%,SE,4.22,60,"Open pollination treatment (flowers unmanipulated, free access to insect visitors)","Table 3, p.29","Candidate trait, not in config/traits.yml."
Dianella revoluta,population,,Wireless Hill,proportion_flowers_set_fruit,"0 (no variance, all replicates 0)",,0,raw,%,,,60,"Autogamy pollination treatment (flowers bagged to exclude insect visitors, testing within-flower self-pollination)","Table 3, p.29","Candidate trait, not in config/traits.yml."
Dianella revoluta,population,,Wireless Hill,proportion_flowers_set_fruit,2 (+/-1.52),,2,mean,%,SE,1.52,60,"Self pollination treatment (hand-pollinated with pollen from a different flower on the same plant, then bagged (geitonogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml."
Dianella revoluta,population,,Wireless Hill,proportion_flowers_set_fruit,33 (+/-6.03),,33,mean,%,SE,6.03,60,"Outcross pollination treatment (flower emasculated and hand-pollinated with pollen from a plant >=5 m away, then bagged (xenogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml."
Dianella revoluta,population,,Wireless Hill,proportion_flowers_set_fruit,47 (+/-10.22),,47,mean,%,SE,10.22,60,Supplementary pollination treatment (uncovered flowers given additional outcross pollen on top of open pollination),"Table 3, p.29","Candidate trait, not in config/traits.yml."
Hemiandra pungens,population,,Nicholson Road Reserve,proportion_flowers_set_fruit,86 (+/-7.37),,86,mean,%,SE,7.37,49,"Open pollination treatment (flowers unmanipulated, free access to insect visitors)","Table 3, p.29","Candidate trait, not in config/traits.yml."
Hemiandra pungens,population,,Nicholson Road Reserve,proportion_flowers_set_fruit,48 (+/-13.24),,48,mean,%,SE,13.24,77,"Autogamy pollination treatment (flowers bagged to exclude insect visitors, testing within-flower self-pollination)","Table 3, p.29","Candidate trait, not in config/traits.yml."
Hemiandra pungens,population,,Nicholson Road Reserve,proportion_flowers_set_fruit,64 (+/-15.57),,64,mean,%,SE,15.57,81,"Self pollination treatment (hand-pollinated with pollen from a different flower on the same plant, then bagged (geitonogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml."
Hemiandra pungens,population,,Nicholson Road Reserve,proportion_flowers_set_fruit,62 (+/-9.07),,62,mean,%,SE,9.07,69,"Outcross pollination treatment (flower emasculated and hand-pollinated with pollen from a plant >=5 m away, then bagged (xenogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml."
Jacksonia sericea,population,,Wireless Hill,proportion_flowers_set_fruit,23 (+/-4.62),,23,mean,%,SE,4.62,65,"Open pollination treatment (flowers unmanipulated, free access to insect visitors)","Table 3, p.29","Candidate trait, not in config/traits.yml."
Jacksonia sericea,population,,Wireless Hill,proportion_flowers_set_fruit,"0 (no variance, all replicates 0)",,0,raw,%,,,64,"Autogamy pollination treatment (flowers bagged to exclude insect visitors, testing within-flower self-pollination)","Table 3, p.29","Candidate trait, not in config/traits.yml."
Jacksonia sericea,population,,Wireless Hill,proportion_flowers_set_fruit,"0 (no variance, all replicates 0)",,0,raw,%,,,62,"Self pollination treatment (hand-pollinated with pollen from a different flower on the same plant, then bagged (geitonogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml."
Jacksonia sericea,population,,Wireless Hill,proportion_flowers_set_fruit,28 (+/-8.92),,28,mean,%,SE,8.92,65,"Outcross pollination treatment (flower emasculated and hand-pollinated with pollen from a plant >=5 m away, then bagged (xenogamy))","Table 3, p.29","Candidate trait, not in config/traits.yml."
Jacksonia sericea,population,,Wireless Hill,proportion_flowers_set_fruit,35 (+/-4.28),,35,mean,%,SE,4.28,60,Supplementary pollination treatment (uncovered flowers given additional outcross pollen on top of open pollination),"Table 3, p.29","Candidate trait, not in config/traits.yml."
Patersonia occidentalis,population,,Classon Park Leeming,proportion_flowers_set_fruit,31 (+/-6.09),,31,mean,%,SE,6.09,179,"Open pollination treatment (flowers unmanipulated, free access to insect visitors)","Table 3, p.29","Candidate trait, not in config/traits.yml."
