Species,Tree,Growth.Form,number,Aa,gs,WUEi,CiCa,LMA,LDMC,LS,Lamina,Amass,Leaf N,PNUE
CLE,CLE_2,T,2,12.893115,0.11124097,117.32491,0.4782619,94.82029,0.4643333,70.87,0.21,135.9742203,2.2276281,81.0642354
CLE,CLE_3,T,3,10.384997,0.13301804,79.1756,0.6384278,91.21405,0.4823333,56.49333,0.1866667,113.8530413,2.1958923,66.23834328
CLE,CLE_4,T,3,10.540928,0.10740746,100.16881,0.5528199,79.50054,0.4623333,83.91667,0.1533333,132.5893887,2.2635274,65.2239675
CLE,CLE_5,T,3,12.581073,0.21108913,59.70748,0.7160139,92.9259,0.4316667,71.88667,0.1833333,135.3882287,1.8072286,97.50316503
END,END_1,T,3,14.071221,0.27511365,51.40315,0.7477125,137.35095,0.4313333,48.56333,0.3266667,102.4472055,1.8264207,107.9058737
END,END_2,T,3,8.564147,0.0915775,98.73567,0.5651355,112.99069,0.3756667,34.91,0.3,75.79515622,1.6630005,72.12832641
END,END_3,T,1,17.905963,0.17825556,100.45108,0.5359069,123.9671,0.4093333,38.74667,0.28,144.4412509,1.7936554,139.8211261
END,END_4,T,3,13.858711,0.20609747,67.29888,0.6810503,112.12744,0.3883333,46.09333,0.2566667,123.5978544,1.690846,114.7976257
END,END_5,T,3,12.945153,0.17395975,74.76113,0.6511761,112.47161,0.3893333,36.96667,0.2466667,115.0970721,1.8286359,99.15030812
ENT,ENT_1,L,2,10.736554,0.13546891,82.35503,0.6194694,51.55392,0.2461667,25.17333,0.2433333,208.2587318,2.5504349,58.96099341
ENT,ENT_2,L,3,10.736808,0.24582365,46.26959,0.7725616,48.09018,0.2286667,36.36333,0.2233333,223.2640427,3.2107499,46.83632719
ENT,ENT_6,L,3,18.750806,0.1925364,98.0079,0.5427732,75.54193,0.2646,38.322,0.284,248.2171954,3.3714511,77.896366
ICH,ICH_2,L,2,12.199242,0.11182501,111.59307,0.4988753,67.58073,0.305,55.75667,0.22,180.5136168,2.2225472,76.87692007
MER,MER_1,L,3,18.655531,0.41144933,46.21683,0.7587669,52.33338,0.2515,265.19167,0.3316667,356.4747968,2.0738469,125.9926021
MER,MER_2,L,3,13.603594,0.39535745,34.50074,0.8181246,50.83769,0.2456667,324.83683,0.2533333,267.5887516,1.9085823,99.82903937
MER,MER_5,L,3,19.063009,0.24360525,78.69089,0.6215672,46.83634,0.2546667,528.11667,0.2466667,407.0132081,2.4066397,110.9416187
MER,MER_6,L,3,15.180449,0.30438815,54.10024,0.7352952,45.98745,0.2486667,398.77333,0.1733333,330.0998207,2.3564629,90.22733551
MYR,MYR_1,T,3,10.391371,0.16798669,62.93549,0.7018054,126.69572,0.4443333,41.48333,0.31,82.01832706,1.6069973,90.56738442
MYR,MYR_2,T,3,9.814646,0.16000956,61.94426,0.7080308,111.80908,0.4133333,50.08,0.2566667,87.78040209,1.8113127,75.8918832
MYR,MYR_4,T,4,13.736735,0.13930404,98.75144,0.5498476,121.85665,0.41275,63.575,0.2725,112.7286447,1.7552585,109.6116101
MYR,MYR_5,T,3,12.285287,0.13895618,88.2838,0.5980281,114.40552,0.41,94.56667,0.2533333,107.3836909,1.7553459,98.0249703
NEO,NEO_1,L,3,12.988645,0.20628971,64.60628,0.6947059,80.39822,0.3146,84.164,0.234,161.5538876,2.3199267,78.41582317
NEO,NEO_2,L,3,15.618628,0.31314783,50.16085,0.74476,93.86059,0.3624,47.586,0.244,166.402406,2.2896492,95.54061983
NOR,NOR_1,T,3,12.31715,0.48442137,26.62128,0.85695,127.68272,0.4356667,126.68,0.2033333,96.46685158,1.4627358,117.9392771
NOR,NOR_4,T,3,16.206293,0.16599784,97.6353,0.549099,121.15406,0.418,126.46333,0.2466667,133.7659918,1.8456375,122.9847897
NOR,NOR_5,T,3,16.176498,0.28198561,58.30518,0.7137979,122.68563,0.3966667,123.27,0.2266667,131.8532415,1.9321007,117.2651255
ROC,ROC_3,T,2,7.451119,0.05587592,133.64583,0.4239911,103.04438,0.4486667,61.78,0.2066667,72.30980477,1.6679068,62.56966679
ROC,ROC_4,T,3,9.666319,0.12243495,80.25229,0.635649,83.85975,0.399,71.10333,0.2033333,115.2676821,1.8883271,71.69651059
ROC,ROC_5,T,3,7.541255,0.24991753,33.76096,0.8312802,81.50385,0.395,68.53333,0.1666667,92.52636532,1.7987748,58.71931135
SYZ_G,SYZ_G_4,T,3,14.340133,0.22438056,64.45926,0.6924893,120.68485,0.3743333,65.37667,0.3466667,118.8229757,2.0939125,95.91991203
SYZ_G,SYZ_G_5,T,3,16.360231,0.24674725,67.04453,0.6771669,145.40733,0.4526667,86.17333,0.3266667,112.5131106,1.5834603,144.7092771
SYZ_S,SYZ_S_1,T,1,7.981306,0.28039492,28.46452,0.8545308,127.28524,0.397,54.10667,0.29,62.70409672,1.7424656,64.15401936
SYZ_S,SYZ_S_2,T,3,16.13472,0.198467,82.04609,0.6118097,111.65463,0.3743333,40.82333,0.2766667,144.5056063,1.6229079,139.2456641
TET,TET_1,L,3,12.46047,0.21428442,59.416,0.7171945,117.44285,0.4356667,34.88667,0.3433333,106.0981575,1.4818821,117.7700593
TET,TET_2,L,3,16.344221,0.15933312,107.09601,0.5101736,96.24862,0.3856667,27.91333,0.33,169.812523,1.6208256,141.234911
TET,TET_4,L,1,15.216502,0.12026225,126.52767,0.4307744,95.36779,0.4333333,25.74667,0.2866667,159.5559885,1.7395899,122.512971
TET,TET_5,L,3,13.227571,0.17263109,77.9476,0.6375395,114.0406,0.389,34.44667,0.2633333,115.9900158,1.5632837,118.510389
TET STIG,TET STIG_1,L,2,13.474418,0.13292468,101.35102,0.5407478,81.33787,0.2363333,46.47,0.2875,165.6598335,1.8550149,101.7364866
TET STIG,TET STIG_3,L,3,10.389578,0.08673218,120.41405,0.4675689,74.15151,0.268,57.53,0.2733333,140.1128311,2.0305077,71.66504686
TET STIG,TET STIG_4,L,3,10.249743,0.08170706,125.43332,0.4467498,91.00829,0.2733333,64.23,0.35,112.6242785,1.5536017,92.40328487
TET STIG,TET STIG_6,L,3,18.759679,0.19546927,96.0182,0.5486759,92.93266,0.296,63.33,0.3433333,201.8631448,1.8715527,140.390417
