Obs,HHMMSS,Species,Growth.Form,Tree,Tree.code,Leaf,,Photo,Cond,Ci,Trmmol,VpdL,Tair,Tleaf,TBlk,RH_S,PARi,PARo,Trans,Tl_Ta,Ci_Ca,WUE
11,9:53:32,NEO,Liana,1,NEO_1,2,NEO_1_2,14.1854663,0.21679744,262.4069084,2.778233181,1.324130525,30.22410202,32.44389725,30.10287094,82.77519226,2000.366943,50.19053268,0.002778233,1.99957832,0.688790138,5.105930773
12,9:57:15,NEO,Liana,1,NEO_1,3,NEO_1_3,13.82772437,0.253922365,280.4377372,3.085573139,1.270505977,30.18703461,32.43338013,30.10206604,84.12911987,2000.244507,181.4476318,0.003085573,1.836743351,0.735743122,4.48141196
13,10:21:26,NEO,Liana,2,NEO_2,1,NEO_2_1,18.2730932,0.347536094,274.6259884,4.980712095,1.547740872,30.24861908,32.34465027,30.10340309,76.85190582,2000.502197,159.7778625,0.004980712,0.878851389,0.730765489,3.668771223
14,10:24:26,NEO,Liana,2,NEO_2,2,NEO_2_2,12.86034996,0.243932937,282.5588933,4.037479643,1.729747049,30.22680855,32.60061264,30.10243988,74.37179565,2000.378906,393.5055237,0.00403748,1.325936533,0.738579173,3.185242058
15,10:27:05,NEO,Liana,2,NEO_2,3,NEO_2_3,15.72244086,0.347974469,289.6002731,5.371487489,1.66532285,30.2828598,32.92303467,30.10693359,77.71018219,1998.438477,379.7528992,0.005371487,0.593665304,0.764935394,2.927018055
16,10:41:50,MYR,Tree,2,MYR_2,1,MYR_2_1,9.124433953,0.132661077,263.7157545,2.357484332,1.788291608,30.23828888,32.77576447,30.10133553,74.10111237,2000.822632,1.557790279,0.002357484,2.171044443,0.680033543,3.87041128
17,10:47:36,MYR,Tree,2,MYR_2,2,MYR_2_2,10.43725753,0.171424562,274.926844,2.718568193,1.617600165,30.17864418,32.27899551,30.10421562,75.1193161,1999.86792,208.5098114,0.002718568,2.047318958,0.711877627,3.83924801
18,10:50:40,MYR,Tree,2,MYR_2,3,MYR_2_3,9.882247893,0.175943032,283.2610098,2.797722812,1.62411416,30.16609192,32.32516098,30.10023689,75.31641388,2000.221802,278.0495911,0.002797723,1.998493829,0.732181128,3.532246958
19,10:56:16,MER,Liana,2,MER_2,1,MER_2_1,12.93285984,0.389213087,315.296494,4.735854817,1.329639789,30.22339058,32.02991104,30.10388756,80.02767944,1999.042847,237.4547119,0.004735855,1.044923913,0.824762419,2.730839592
20,11:00:52,MER,Liana,2,MER_2,2,MER_2_2,13.22367332,0.416383542,317.1297601,5.056852378,1.33788873,30.21529961,32.14509201,30.1061821,80.5983963,1999.791016,195.3791809,0.005056852,0.8624056,0.830253987,2.615000861
21,11:06:00,MER,Liana,2,MER_2,3,MER_2_3,14.65424831,0.380475708,304.0687606,4.755228725,1.361989994,30.22535706,32.06065369,30.10582352,79.46205139,1999.2771,140.436142,0.004755229,1.031154402,0.799357508,3.081712607
22,11:13:18,ENT,Liana,2,ENT_2,1,ENT_2_1,10.04181956,0.181380811,283.8024966,3.021379427,1.70337759,30.25161934,32.58917236,30.10332298,74.80247498,2000.265625,225.3586426,0.003021379,1.856198756,0.734002002,3.323587719
23,11:18:30,ENT,Liana,2,ENT_2,2,ENT_2_2,11.77918066,0.227114895,286.9812532,3.461741381,1.582465533,30.23423576,32.34431839,30.09759521,76.10903168,2000.234375,332.8924561,0.003461741,1.661913986,0.746581559,3.402674946
24,11:24:15,ENT,Liana,2,ENT_2,3,ENT_2_3,10.38942318,0.328975237,323.0879567,3.86790295,1.26240912,30.26170158,31.37524033,30.10520172,77.37486267,1999.47522,376.7323303,0.003867903,1.59545446,0.837101336,2.686060978
25,11:43:24,CAS,Tree,2,CAS_2,1,CAS_2_1,12.28897728,0.255427814,292.2913919,3.71719254,1.522820143,30.24833488,32.27685165,30.10564995,76.99926758,1998.94873,164.7111053,0.003717193,1.539246964,0.761823263,3.305983519
26,11:48:11,CAS,Tree,2,CAS_2,2,CAS_2_2,9.666440961,0.212734475,301.5372895,2.987756458,1.45118519,30.25512505,31.63548088,30.10611534,74.62519836,1999.774658,54.68353653,0.002987756,2.012909405,0.778891019,3.23535104
27,11:52:47,CAS,Tree,2,CAS_2,3,CAS_2_3,11.53915139,0.210785208,282.5085782,3.388732043,1.657355652,30.30931091,32.53039169,30.10179138,75.24018097,2000.146851,235.9089508,0.003388732,1.682828501,0.734183899,3.40515309
1,8:46:33,TET,Liana,2,TET_2,1,TET_2_1,16.21366042,0.144592617,185.7980975,2.032333274,1.433160639,29.59238243,30.74144745,30.1213398,72.37735748,1998.892578,165.2474518,0.002032333,2.543200316,0.489369327,7.977855122
2,8:49:15,TET,Liana,2,TET_2,2,TET_2_2,16.67138313,0.208374757,237.4340562,2.367013621,1.183841679,29.75862885,30.00180054,30.1188736,73.2327652,1999.776733,247.2208862,0.002367014,2.502112739,0.625740211,7.043213857
3,8:53:14,TET,Liana,2,TET_2,3,TET_2_3,16.14762023,0.125031983,157.5739962,2.053514052,1.661201554,29.72698402,31.80872726,30.11751175,73.01766205,2000.697754,57.12705994,0.002053514,2.398436218,0.415411304,7.863408687
4,9:05:27,ENT,Liana,4,ENT_4,1,ENT_4_1,16.43207442,0.122168216,148.499476,1.859254072,1.538355159,29.62539482,31.4222641,30.11788559,73.93425751,1999.2229,27.26950073,0.001859254,2.538645401,0.392562974,8.837992971
5,9:09:21,ENT,Liana,4,ENT_4,2,ENT_4_2,15.33126588,0.094835449,107.2973518,1.53103765,1.616772005,29.62088394,31.57491493,30.11711884,73.0378418,2000.437744,34.54373169,0.001531038,2.687837271,0.282492968,10.01364394
6,9:16:08,ENT,Liana,4,ENT_4,3,ENT_4_3,17.43766384,0.113741022,117.101403,1.705652957,1.512441864,29.47677994,31.22163963,30.11190987,73.92861176,2000.195923,86.34166718,0.001705653,2.62855113,0.310663443,10.22345358
7,9:21:23,END,Tree,2,END_2,1,END_2_1,10.91946951,0.124844578,235.1246288,1.648873587,1.339627234,29.14881325,30.16358185,30.12102699,72.99377441,1998.99707,10.38240433,0.001648874,2.764095481,0.607309539,6.622381238
8,9:26:48,END,Tree,2,END_2,2,END_2_2,10.68910511,0.114493898,224.0705549,1.718217701,1.514985645,29.34100151,30.99288177,30.11912537,73.0057373,1999.880859,25.6115799,0.001718218,2.635875647,0.580220584,6.221042368
9,9:46:43,END,Tree,2,END_2,3,END_2_3,4.083867114,0.035394038,200.2678262,0.550215414,1.527898611,29.47952843,30.79398346,30.11992836,70.88147736,1999.571777,36.98042297,0.000550215,3.28913571,0.507876363,7.422305899
10,9:53:57,ALS,Tree,2,ALS_2,1,ALS_2_1,19.32316116,0.16415079,171.2691329,2.269346279,1.417141075,29.71476364,31.25452805,30.11658287,75.40003967,2000.856812,311.5995483,0.002269346,2.366432282,0.456377076,8.514857931
11,10:00:06,ALS,Tree,2,ALS_2,2,ALS_2_2,18.41831888,0.157486226,173.163444,2.253958845,1.462862939,29.71293449,31.54959488,30.12161636,76.16456604,2001.078247,57.08065033,0.002253959,2.331407833,0.460841613,8.171541786
12,10:06:04,ALS,Tree,2,ALS_2,3,ALS_2_3,18.69870341,0.168306225,183.7932574,2.113855193,1.289245551,29.71749306,30.95226669,30.11180496,76.5749054,2000.334106,8.773903847,0.002113855,2.490515051,0.488178966,8.845782564
13,10:11:00,NOR,Tree,2,NOR_2,1,NOR_2_1,15.09325626,0.088223529,93.71286536,1.478291094,1.672356607,29.84084702,32.22178268,30.11512947,74.92310333,1999.210449,147.7636566,0.001478291,2.648447713,0.245799318,10.20993519
14,10:14:07,NOR,Tree,2,NOR_2,2,NOR_2_2,12.71009004,0.084110781,130.0448715,1.257767754,1.491790741,29.95314217,31.54434395,30.1171875,74.40616608,1999.015625,148.032196,0.001257768,2.877871439,0.338426813,10.10527579
15,10:16:10,NOR,Tree,2,NOR_2,3,NOR_2_3,16.7921222,0.116301484,132.5429001,1.895372901,1.640960918,29.97040939,32.41060638,30.10756302,76.32408905,1999.746948,249.4863129,0.001895373,2.42409704,0.350127986,8.859534812
16,10:26:49,MER,Liana,3,MER_3,1,MER_3_1,21.73261835,0.121035511,71.203318,1.507371545,1.258681406,29.45947838,30.59459305,30.11431122,76.25898743,2000.110962,283.1599731,0.001507372,2.820367595,0.190602746,14.41755911
17,10:29:58,MER,Liana,3,MER_3,2,MER_3_2,17.30828576,0.028682645,-592.9067671,0.41971977,1.432228228,29.50150299,31.10707092,30.11799622,75.04315948,2000.119873,173.7769165,0.00041972,3.314836408,-1.566813424,41.23771862
18,10:34:19,MER,Liana,3,MER_3,3,MER_3_3,24.84504812,0.105380577,-22.41666331,1.281162705,1.222512263,29.43740654,30.42782402,30.12236404,76.21798706,1999.169434,261.2932129,0.001281163,2.957119489,-0.060539234,19.39257834
19,10:45:50,CAS,Tree,3,CAS_3,1,CAS_3_1,14.81492803,0.025656211,-545.8464819,0.410559107,1.562861595,29.82569313,31.47853088,30.11748695,72.85669708,1999.160278,18.69492912,0.000410559,3.308557056,-1.4247961,36.0847629
20,10:48:10,CAS,Tree,3,CAS_3,2,CAS_3_2,14.72873393,0.048319472,-115.6115171,0.759352646,1.546186546,29.84029388,31.60130882,30.11213875,73.95895386,1999.919922,147.867569,0.000759353,3.11332707,-0.302164675,19.39643459
21,10:51:10,CAS,Tree,3,CAS_3,3,CAS_3_3,16.10716147,0.104429957,119.2130247,1.622287875,1.556172363,29.80658722,32.0739212,30.120327,76.8730011,1998.912354,214.5132904,0.001622288,2.590397893,0.313580808,9.928670313
22,10:59:09,CAL,Liana,5,CAL_5,1,CAL_5_1,14.06943395,0.11488846,172.6858087,1.670604896,1.463754552,29.88983727,31.86518288,30.11727524,77.35825348,1999.655273,291.9857178,0.001670605,2.609246464,0.451952167,8.421760274
23,11:01:28,CAL,Liana,5,CAL_5,2,CAL_5_2,10.49610691,0.059019414,90.51822116,0.983769511,1.645892339,29.96569061,32.28116608,30.11552048,75.39192963,1999.591187,339.7337341,0.00098377,2.913720086,0.234137032,10.66927444
24,11:03:09,CAL,Liana,5,CAL_5,3,CAL_5_3,12.18348067,0.067588018,83.95781181,1.048103751,1.536423634,29.9149189,31.90848351,30.11578369,75.80728149,1999.273926,294.1500854,0.001048104,2.927815798,0.218538533,11.62430786
26,11:15:14,ROC,Tree,2,ROC_2,2,ROC_2_2,8.08729696,0.028326348,-75.73709485,0.458604979,1.585041798,29.78126526,31.82471657,30.11301804,74.7019577,2000.408325,121.0889511,0.000458605,3.228598689,-0.194664831,17.63455987
27,11:20:32,ROC,Tree,2,ROC_2,3,ROC_2_3,11.04123559,0.064949646,102.3191746,0.996968467,1.521470819,29.8070507,31.80289841,30.11459541,75.96131134,2000.487061,111.4751816,0.000996968,2.956969372,0.265246556,11.07480924
28,11:24:21,ROC,Tree,2,ROC_2,4,ROC_2_4,8.461211393,0.051744567,116.127063,0.888912121,1.693845264,29.73514557,32.36987305,30.11328125,75.83583832,2000.164795,135.7474823,0.000888912,2.918299543,0.298613458,9.518614035
29,11:31:59,TET STIG,Liana,2,TET STIG_2,1,TET STIG_2_1,12.85085073,0.083392023,124.7089067,1.256882281,1.503266591,29.74433327,31.77758598,30.1097641,76.50824738,1999.752197,5.258238792,0.001256882,2.815983979,0.324969465,10.2243869
30,11:35:18,TET STIG,Liana,2,TET STIG_2,2,TET STIG_2_2,12.41974352,0.077080599,114.5344464,1.180828193,1.524519498,29.74274635,31.79414749,30.11551666,76.11447144,1998.929565,9.23214817,0.001180828,2.85113807,0.297811109,10.51782435
31,11:38:26,TET STIG,Liana,2,TET STIG_2,3,TET STIG_2_3,12.58092997,0.073893528,99.8623065,1.157345271,1.556757223,29.73987579,31.87075615,30.11287689,75.84822083,1999.258301,7.491772652,0.001157345,2.852206822,0.259687388,10.87050708
32,11:45:49,CLE,Tree,2,CLE_2,1,CLE_2_1,13.59593542,0.126845196,198.7307771,1.726626872,1.378012895,29.71201134,31.38883972,30.11620903,77.18344116,2000.880127,30.96677399,0.001726627,2.627508713,0.518382498,7.87427535
33,11:49:33,CLE,Tree,2,CLE_2,2,CLE_2_2,14.27422873,0.099818218,140.6884031,1.43953793,1.446817847,29.68053627,31.44909668,30.11276627,76.05684662,1999.852173,26.06051826,0.001439538,2.760975197,0.367719787,9.915840658
34,11:52:14,CLE,Tree,2,CLE_2,3,CLE_2_3,12.19029395,0.095636737,168.7098778,1.368998517,1.434032427,29.68494225,31.42150307,30.11254692,76.16978455,1999.130737,32.69775009,0.001368999,2.800819068,0.438141349,8.904534079
35,12:03:09,ENT,Liana,5,ENT_5,1,ENT_5_1,18.41277716,0.129133417,134.9862992,1.728097125,1.352904498,29.61985016,31.22434998,30.11139679,77.16585541,1998.960205,340.09021,0.001728097,2.634290329,0.357380194,10.65494346
36,12:06:52,ENT,Liana,5,ENT_5,2,ENT_5_2,22.74055164,0.161417649,131.1657698,1.98481751,1.256885235,29.61236572,30.94564819,30.11691666,77.77577972,1998.539673,366.4777222,0.001984818,2.540191204,0.351894111,11.45725062
37,12:12:37,ENT,Liana,5,ENT_5,3,ENT_5_3,17.85607626,0.123015518,132.0255856,1.638382037,1.344064619,29.56778526,31.04047966,30.11428642,76.46478271,1999.083618,309.0829163,0.001638382,2.700597069,0.348788965,10.89860354
38,12:18:46,CAS,Tree,4,CAS_4,1,CAS_4_1,9.7680448,0.065154436,137.0116864,1.015488654,1.541357545,29.62997818,31.51138687,30.11530304,74.4052887,1999.579834,28.3038826,0.001015489,2.963768663,0.352871613,9.619058532
39,12:22:00,CAS,Tree,4,CAS_4,2,CAS_4_2,6.885969298,0.042533235,122.6274277,0.710195958,1.638166042,29.6896286,31.74040031,30.11493683,73.28888702,1998.723389,8.647691727,0.000710196,3.094808568,0.31286906,9.695872279
40,12:24:13,CAS,Tree,4,CAS_4,3,CAS_4_3,7.162677586,0.052538539,162.69922,0.859664975,1.61088042,29.68568611,31.68156433,30.11491203,73.58297729,1998.756104,7.131543636,0.000859665,3.025633686,0.415412567,8.331940689
1,8:23:27,TET STIG,Liana,3,TET STIG_3,1,TET STIG_3_1,11.05366417,0.081738605,156.147086,1.338468359,1.639469554,28.87896156,29.92764473,30.12761307,65.18546295,1998.825439,22.08093452,0.001338468,2.92135397,0.405455137,8.258442639
2,8:31:09,TET STIG,Liana,3,TET STIG_3,2,TET STIG_3_2,10.64040158,0.09700598,197.6951378,1.63936566,1.699200803,29.19408226,30.53696823,30.1233139,66.24849701,1999.538574,30.71052933,0.001639366,2.72205226,0.511557229,6.490560243
3,8:33:50,TET STIG,Liana,3,TET STIG_3,3,TET STIG_3_3,9.4746697,0.081451951,188.1092926,1.468732773,1.802338726,29.26509476,30.99031067,30.12168694,66.27392578,1999.564209,52.9006424,0.001468733,2.754292409,0.485694338,6.45091461
4,8:50:21,TET STIG,Liana,4,TET STIG_4,1,TET STIG_4_1,9.800132793,0.081882603,182.448074,1.430045201,1.747415482,29.32376862,30.99822807,30.12248611,67.43979645,2000.419678,66.20923615,0.001430045,2.783006103,0.47165915,6.853023095
5,8:55:39,TET STIG,Liana,4,TET STIG_4,2,TET STIG_4_2,10.77779215,0.082736733,164.4281467,1.449875624,1.754083325,29.41935349,31.03736496,30.12392616,67.15155029,1998.937134,104.3161163,0.001449876,2.77761403,0.426022094,7.43359773
6,9:00:20,TET STIG,Liana,4,TET STIG_4,3,TET STIG_4_3,10.1713031,0.080501845,170.8416997,1.432054836,1.778569001,29.47210693,31.27233887,30.12108612,67.82881927,2000.174316,34.70760345,0.001432055,2.762137979,0.442568205,7.10259331
7,9:06:33,CLE,Tree,3,CLE_3,1,CLE_3_1,10.50244342,0.112608902,224.9277616,1.706603686,1.533465148,29.43121147,30.40950775,30.12430191,68.59272003,1998.810059,104.6981659,0.001706604,2.737625974,0.58137804,6.154002539
8,9:10:01,CLE,Tree,3,CLE_3,2,CLE_3_2,10.32425072,0.14620449,260.3264396,2.387778507,1.668470933,29.66967773,31.31832123,30.12336159,69.98188019,2000.631592,721.4227905,0.002387779,2.289013559,0.672464222,4.323789116
9,9:12:22,CLE,Tree,3,CLE_3,3,CLE_3_3,10.32829537,0.14024074,255.8258838,2.127187281,1.547872042,29.61724091,30.74909973,30.12308502,69.56801605,1998.679688,143.3666382,0.002127187,2.496013966,0.661441032,4.855376612
10,9:24:24,ROC,Tree,3,ROC_3,1,ROC_3_1,7.384440408,0.052990929,156.824329,0.870316082,1.625550329,29.66771889,31.40183449,30.12046623,71.5398407,1998.750977,58.5349617,0.000870316,3.058815046,0.401434749,8.484779908
11,9:28:16,ROC,Tree,3,ROC_3,2,ROC_3_2,7.517798383,0.058760919,174.0390741,0.944257221,1.593717311,29.62251472,31.31618118,30.11670113,71.95191193,1999.780273,37.95343399,0.000944257,3.028711605,0.446547413,7.9616001
12,9:34:11,ROC,Tree,3,ROC_3,3,ROC_3_3,5.293939654,0.035521831,144.0502088,0.584510056,1.618558578,29.61045456,31.43701553,30.11662865,72.16578674,1999.308472,115.107338,0.00058451,3.194634255,0.367295021,9.057054873
13,9:38:46,CAL,Liana,6,CAL_6,1,CAL_6_1,10.95136919,0.120353687,227.6115924,1.622766764,1.364354188,29.67833328,31.31938934,30.12117958,77.22509766,1999.951416,24.05680084,0.001622767,2.68499984,0.590684701,6.748578681
14,9:40:43,CAL,Liana,6,CAL_6,2,CAL_6_2,11.72021329,0.129461374,226.8516027,1.744489697,1.367477791,29.70265579,31.39306259,30.12002754,77.50300598,1999.421265,33.17802048,0.00174449,2.613583232,0.590454134,6.718419324
15,9:44:23,CAL,Liana,6,CAL_6,3,CAL_6_3,12.44556917,0.109504764,188.7152699,1.580878131,1.455044208,29.6948185,31.57555199,30.11652374,76.59480286,2001.119995,16.05748749,0.001580878,2.673606677,0.492228391,7.872567109
16,9:53:24,END,Tree,3,END_3,1,END_3_1,17.90596259,0.178255555,202.2081943,2.098744387,1.212947671,29.70331573,31.1814785,30.11327171,79.87145996,2000.355591,49.83774567,0.002098744,2.462922384,0.535906931,8.531750081
17,9:56:22,END,Tree,3,END_3,2,END_3_2,16.40354341,0.117610827,142.2734144,1.591857424,1.364752929,29.76270294,31.87645912,30.11884689,80.35366821,1999.173584,47.12659836,0.001591857,2.629554598,0.375203586,10.30465616
18,9:59:30,END,Tree,3,END_3,3,END_3_3,17.26744572,0.096761703,79.53521918,1.359580087,1.406604699,29.7811985,32.01726532,30.10868645,80.17562103,1999.707886,95.4393692,0.00135958,2.732596513,0.210026554,12.70057269
19,10:06:12,TET,Liana,3,TET_3,1,TET_3_1,13.25419695,0.070818697,72.63344037,1.046802014,1.466727093,29.81542015,32.15897369,30.1125145,79.50422668,2001.020874,46.6940155,0.001046802,2.880750266,0.189153057,12.66160818
20,10:11:52,TET,Liana,3,TET_3,2,TET_3_2,16.43703587,0.0770501,24.91114517,0.997713466,1.288094097,29.81183624,31.63814926,30.11272621,80.43569946,2000.612671,14.47065353,0.000997713,2.981794626,0.065825453,16.47470585
21,10:16:01,TET,Liana,3,TET_3,3,TET_3_3,16.47942058,0.109648107,126.5865418,1.492620858,1.369385302,29.76334763,31.77541351,30.10968971,79.59622955,2000.30957,56.7109642,0.001492621,2.698011378,0.332498328,11.04059379
22,10:23:14,MYR,Tree,3,MYR_3,1,MYR_3_1,11.81287628,0.054260188,25.81314418,0.775332904,1.407798991,29.91075897,32.15477371,30.10914993,80.4328537,1998.838257,106.4572754,0.000775333,3.031112619,0.067114616,15.23587639
23,10:28:18,MYR,Tree,3,MYR_3,2,MYR_3_2,11.20939134,0.144797803,249.7583915,2.00629489,1.405081759,30.10805511,32.82653046,30.11076736,83.9286499,2000.559448,764.597168,0.002006295,2.326195093,0.646393386,5.587110548
