Growth.Form,Species.Code.OLD,Species.Old,Individual,Species,BranchCode,Length,Diameter,Fresh.Weight,Vol.measured,Vol.waterDisp,Dry.Weight,Density,S_true15N,S_per.N,S_true13C,S_per.C,L_true13C,L_true15N,L_per.C,L_per.N,L_C.N,Outer Phloem,Outer Xylem,Outer Heartood,Xylem,X_Tot_Ratio
T,ALS,Alstonia scholaris,4,ALS,ALS_4,35.49,8.15,2.2251,1.851446206,2.2058,0.825,0.374013963,6.174997386,0.569326678,-27.76619006,45.59225889,-29.1541268,5.093404065,46.75701086,1.799485856,25.98353897,99.196,57.771,13.193,44.578,0.449393121
T,ALS,Alstonia scholaris,5,ALS,ALS_5,67.7,10.19,5.7368,5.521116587,6.0023,1.525,0.254069273,NA,NA,NA,NA,-27.77773246,2.689292482,48.71987403,1.911750725,25.48442817,NA,NA,NA,NA,NA
T,ALS,Alstonia scholaris,6,ALS,ALS_6,48.02,9.87,3.4922,3.67406083,3.5327,1.0422,0.295015144,4.247025753,0.938439058,-28.88173767,45.20957501,-28.50656956,3.566724027,48.95904224,2.043333134,23.9603819,94.025,48.648,6.97,41.678,0.443265089
L,CAL,Calamus  sp,1,CAL,CAL_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.78130681,2.152150481,44.53407483,1.997106583,22.299298,NA,NA,NA,NA,NA
L,CAL,Calamus  sp,2,CAL,CAL_2,35.24,9.5,2.5854,2.497888173,2.4455,1.3883,0.567695768,9.621683148,0.261381142,-31.12720055,45.68784577,-28.02849746,3.108406383,43.65396624,2.071818885,21.0703583,63.409,57.425,,57.425,0.905628539
L,CAL,Calamus  sp,3,CAL,CAL_3,28.64,10.03,2.3729,2.262896866,2.1888,1.0792,0.493055556,2.873714393,0.294461119,-31.79119254,45.89003326,NA,NA,NA,NA,NA,75.929,73.717,,73.717,0.970867521
L,CAL,Calamus  sp,4,CAL,CAL_4,34.23,12.45,4.18,4.167114976,3.9622,1.623,0.409620918,2.561875751,0.260989383,-32.10009763,44.32241083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,CAL,Calamus  sp,5,CAL,CAL_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,CAL,Calamus  sp,6,CAL,CAL_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.78387063,3.00372928,43.2304951,2.180669962,19.82440986,NA,NA,NA,NA,NA
L,CAL,Calamus  sp,7,CAL,CAL_7,NA,NA,NA,NA,NA,NA,NA,4.199714488,0.354975811,-28.65595986,43.57710846,-27.42788188,3.559852738,45.90465058,2.082308406,22.04507769,57.96,40.505,,40.505,0.69884403
L,CAL,Calamus  sp,8,CAL,CAL_8,27.77,7.08,1.1913,1.093282198,1.0902,0.3577,0.328104935,5.555892515,0.498551285,-29.54778219,43.34246541,-28.85926729,3.911773958,46.23374918,1.875968576,24.64526846,NA,NA,NA,NA,NA
L,CAL,Calamus  sp,10,CAL,CAL_10,47.01,14.13,7.518,7.371645742,7.4945,4.2963,0.573260391,2.953664257,0.385575029,-27.33515971,45.87344095,-29.07539855,2.351617559,43.06791208,1.75311084,24.56656538,NA,NA,NA,NA,NA
T,CAR,Cardwelia sublimis,1,CAR,CAR_1,46.94,11.38,4.8852,4.774385591,4.6086,2.2706,0.492687584,5.728729768,0.305473735,-27.27563647,45.33452288,-27.43732515,5.463017542,47.79324115,0.919808803,51.95997365,90.937,59.13,3.837,55.293,0.608036333
T,CAR,Cardwelia sublimis,2,CAR,CAR_2,33.34,10.86,3.5468,3.088269038,3.3236,1.536,0.462149476,7.126059523,0.322405416,-26.99645698,44.79973474,-27.34929246,6.695792922,48.01881845,1.244728829,38.57773462,99.076,66.488,3.936,62.552,0.631353708
T,CAR,Cardwelia sublimis,3,CAR,CAR_3,46.14,10.28,3.9154,3.829602525,3.616,1.9031,0.526299779,5.511751939,0.263359017,-28.0268608,44.27514366,-28.89154839,6.482322541,46.91226212,1.366637085,34.32678845,81.145,56.488,3.685,52.803,0.650724013
T,CAR,Cardwelia sublimis,4,CAR,CAR_4,38,10.7,3.9032,3.416968958,3.3403,2.0918,0.626231177,5.201536082,0.250324636,-28.99873162,45.41712108,-28.44746312,5.869830898,45.86964078,1.078984893,42.51184709,107.779,75.807,3.326,72.481,0.672496497
T,CAR,Cardwelia sublimis,5,CAR,CAR_5,45.1,10.9,4.9442,4.208423326,4.6016,2.4675,0.53622653,6.344176709,0.241030165,-27.25177715,44.27430057,-27.98772939,5.308947766,46.2546361,1.056789788,43.76900367,109.287,68.725,4.006,64.719,0.592193033
T,CAS,Castanospermum australe,1,CAS,CAS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T,CAS,Castanospermum australe,2,CAS,CAS_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.84137204,4.244067266,47.21296945,2.274928716,20.7536039,NA,NA,NA,NA,NA
T,CAS,Castanospermum australe,3,CAS,CAS_3,30.72,7.6,1.8172,1.393600448,1.6724,0.7179,0.429263334,3.958291022,0.85258811,-27.63893348,43.74422837,-28.32215365,4.124062929,49.73378591,2.772316148,17.93943521,70.752,51.837,8.376,43.461,0.614272388
T,CAS,Castanospermum australe,4,CAS,CAS_4,46.23,10.05,3.7757,3.667295439,3.5522,1.6475,0.463797083,4.43382209,0.906575363,-29.20706296,43.9973004,-28.23494987,6.179438526,49.76634704,2.354172955,21.13963077,82.989,68.337,10.547,57.79,0.696357349
T,CAS,Castanospermum australe,5,CAS,CAS_5,26.07,12.07,3.125,2.982946421,2.9628,0.9019,0.304407992,3.907079984,0.82925208,-28.25469113,43.78701545,-28.90423233,5.062324064,49.43098101,2.817471769,17.54444589,127.684,81.642,18.988,62.654,0.49069578
T,CAS,Castanospermum australe,6,CAS,CAS_6,51.41,8.13,3.8227,2.668815655,3.6208,1.5315,0.422972824,3.967354226,0.641195298,-28.707273,45.21609157,-29.68701765,4.854448007,45.48652569,2.108875375,21.56909139,68.664,44.28,8.963,35.317,0.514345217
L,CAY,Cayratia saponaria,1,CAY,CAY_1,41.05,7.82,2.3189,1.971589738,2.3277,0.4069,0.17480775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,CAY,Cayratia saponaria,2,CAY,CAY_2,39.08,11.27,4.4659,3.898452693,4.4058,0.7769,0.176335739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T,CLE,Cleistanthus myrianthus,1,CLE,CLE_1,33.99,7.9,1.8968,1.666077612,1.7417,0.7899,0.453522421,NA,NA,NA,NA,-28.28067705,5.616075302,46.24240564,1.764737143,26.20356568,NA,NA,NA,NA,NA
T,CLE,Cleistanthus myrianthus,2,CLE,CLE_2,43.1,7.48,2.2314,1.893958014,2.0829,0.9275,0.445292621,2.898302658,0.82958355,-27.53014963,44.03138905,-28.60077996,5.163260789,46.48942553,2.227628119,20.86947329,59.76,45.371,1.448,43.923,0.73498996
T,CLE,Cleistanthus myrianthus,3,CLE,CLE_3,39,11.02,4.3432,3.719783618,3.9398,2.055,0.521600081,4.49806197,0.774922682,-27.01907079,43.40432131,-28.42112788,5.52961085,46.45962675,2.195892253,21.15751658,94.612,72.202,3.131,69.071,0.730044815
T,CLE,Cleistanthus myrianthus,4,CLE,CLE_4,55.82,10.01,5.2826,4.392865117,5.3,2.4426,0.460867925,4.378038638,0.506957938,-28.38519846,44.39356969,-29.86257644,4.794265587,45.57601716,2.263527409,20.13495263,82.698,59.37,4.145,55.225,0.66779124
T,CLE,Cleistanthus myrianthus,5,CLE,CLE_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.71626729,4.345985605,45.84394519,1.80722859,25.36698758,NA,NA,NA,NA,NA
T,CLE,Cleistanthus myrianthus,6,CLE,CLE_6,48.81,7.47,2.503,2.139143369,2.2588,1.2003,0.531388348,4.399747406,0.820289521,-28.12587327,43.35688195,-29.80377745,6.81332151,46.55174459,1.970377165,23.62580394,55.563,37.397,1.764,35.633,0.641308065
T,END,Endiandra microneuria,1,END,END_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.21267024,2.417811391,46.76501206,1.826420685,25.60473195,NA,NA,NA,NA,NA
T,END,Endiandra microneuria,2,END,END_2,32.66,7.33,1.6863,1.378205603,1.5622,0.833,0.533222379,1.203092313,0.504859455,-30.51554795,45.07182307,-32.53936027,1.412952605,47.12408223,1.663000506,28.33678166,NA,NA,NA,NA,NA
T,END,Endiandra microneuria,3,END,END_3,32.57,8.95,2.081,2.049055447,1.8764,0.9726,0.518332978,1.318588063,0.581410076,-31.28421875,45.33716305,-32.34882431,2.987094696,46.51252494,1.793655406,25.93169501,68.855,44.345,1.726,42.619,0.618967395
T,END,Endiandra microneuria,4,END,END_4,52.27,7.71,2.823,2.44034449,2.6509,1.2182,0.459542042,2.719809226,0.62867064,-31.13335813,45.25581093,-32.36837803,1.975151793,47.3397122,1.69084599,27.99764881,61.003,42.278,3.284,38.994,0.639214465
T,END,Endiandra microneuria,5,END,END_5,NA,NA,NA,NA,NA,NA,NA,2.863655082,0.494272732,-29.9571697,44.59439926,-31.63684457,1.169629574,45.61031401,1.828635896,24.94226112,89.172,58.499,5.423,53.076,0.595209259
T,END,Endiandra microneuria,6,END,END_6,39.04,9.65,3.1257,2.855316908,2.9247,1.5166,0.518548911,0.777380706,0.534348562,-30.55762473,44.77133857,-31.43006863,-0.010524279,47.06364651,1.552341277,30.31784775,87.608,61.409,3.88,57.529,0.656663775
L,ENT,Entada phaseoloides,1,ENT,ENT_1,23.2,3.99,0.3524,0.290083921,0.3143,0.1394,0.443525294,0.924951497,0.667422623,-25.85702815,44.65463105,-27.42462244,1.373588963,46.79296123,2.550434927,18.3470516,15.865,8.422,1.213,7.209,0.45439647
L,ENT,Entada phaseoloides,2,ENT,ENT_2,35,7.84,1.9161,1.689623927,1.947,0.564,0.289676425,NA,NA,NA,NA,-27.61735485,1.228135863,47.07058555,3.210749893,14.660309,NA,NA,NA,NA,NA
L,ENT,Entada phaseoloides,3,ENT,ENT_3,31.36,8.33,1.8132,1.709054602,1.8105,0.5159,0.284948909,-0.320574109,0.807786762,-29.33329327,44.89435488,NA,NA,NA,NA,NA,60.643,33.411,1.616,31.795,0.52429794
L,ENT,Entada phaseoloides,4,ENT,ENT_4,47.47,7.56,2.4527,2.130849142,2.2889,0.9088,0.397046616,-0.563706307,0.88222171,-27.30745062,44.98944684,-28.43245235,1.042754461,46.84782981,3.348821926,13.98934636,56.798,23.018,8.547,14.471,0.254780098
L,ENT,Entada phaseoloides,5,ENT,ENT_5,61.33,6.825,3.0595,2.243717408,2.9134,1.0555,0.362291481,1.324580491,0.733947455,-27.80621431,44.644924,-28.54789103,1.32605527,43.01888004,2.950220965,14.58157899,NA,NA,NA,NA,NA
L,ENT,Entada phaseoloides,6,ENT,ENT_6,41.56,9.2,3.0983,2.762746739,3.0405,1.1045,0.363262621,-0.607613782,0.966950475,-28.14590728,46.30582909,-29.00663433,0.195704054,45.25226063,3.371451135,13.42219086,54.873,34.123,2.12,32.003,0.583219434
L,ENT,Entada phaseoloides,7,ENT,ENT_7,51.21,9.94,3.9946,3.9739045,4.0702,1.0686,0.262542381,0.691474776,1.328984208,-28.73600836,43.79925178,-29.17828663,1.480064435,45.12659643,3.411688264,13.22705738,84.793,65.883,3.767,62.116,0.732560471
L,MER,Merremia peltata,1,MER,MER_1,19.62,5.34,0.4816,0.439411479,0.458,0.1312,0.286462882,3.123680608,0.426099579,-29.08801648,43.7880931,-28.84223476,3.422976831,46.2285487,2.073846929,22.2912058,22.164,15.962,1.742,14.22,0.641580942
L,MER,Merremia peltata,2,MER,MER_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.47279779,2.347666422,45.18944564,1.908582329,23.67696953,NA,NA,NA,NA,NA
L,MER,Merremia peltata,3,MER,MER_3,61.45,7.62,3.1635,2.802345713,3.1863,1.1701,0.367228447,3.288491376,0.388240116,-27.54349105,43.7295882,-27.77139793,2.087585545,46.11608077,2.310585622,19.9586115,73.214,42.728,6.542,36.186,0.494249734
L,MER,Merremia peltata,4,MER,MER_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.2035455,2.75784529,45.3194956,2.026403446,22.3644979,NA,NA,NA,NA,NA
L,MER,Merremia peltata,5,MER,MER_5,48.38,10.61,5.1907,4.277465478,4.8604,2.0045,0.412414616,3.291884483,0.345581083,-27.02933341,44.1447517,-27.62750735,2.741065536,45.94911265,2.406639749,19.09264263,99.914,63.819,8.943,54.876,0.54923234
L,MER,Merremia peltata,6,MER,MER_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.66342838,2.180018754,45.98977163,2.356462933,19.51644178,NA,NA,NA,NA,NA
L,MER,Merremia peltata,7,MER,MER_7,45.9,9.71,4.1056,3.398920657,3.8102,1.0711,0.281113852,1.934693874,0.334016471,-28.80989927,43.94826771,-29.706274,1.712677524,46.15229507,2.501206319,18.45201442,85.843,60.13,18.141,41.989,0.489137146
T,MYR,Myristica globossa muelleri,1,MYR,MYR_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.21850108,3.116926333,48.43493449,1.606997294,30.14002244,NA,NA,NA,NA,NA
T,MYR,Myristica globossa muelleri,2,MYR,MYR_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.88904698,1.830991467,48.94473387,1.811312659,27.0216926,NA,NA,NA,NA,NA
T,MYR,Myristica globossa muelleri,3,MYR,MYR_3,31.61,9.13,2.6879,2.069454738,2.6467,1.0698,0.404201458,3.649343218,0.533723992,-27.74361228,44.81045419,-28.86903931,2.851232539,48.94834887,1.538386409,31.81798056,85.98,46.284,3.974,42.31,0.492091184
T,MYR,Myristica globossa muelleri,4,MYR,MYR_4,36.43,8.78,2.1933,2.205657548,2.3345,0.9106,0.390062112,6.379841539,0.576885404,-27.78876784,44.79290761,-30.5758563,2.461783559,49.56578021,1.755258482,28.23845075,74.906,41.666,1.407,40.259,0.537460284
T,MYR,Myristica globossa muelleri,5,MYR,MYR_5,NA,NA,NA,NA,NA,NA,NA,3.700311306,0.598509453,-27.5116769,44.49330006,-29.88864039,2.979891593,47.82034347,1.755345876,27.24268995,85.208,50.205,2.51,47.695,0.559747911
T,MYR,Myristica globossa muelleri,6,MYR,MYR_6,34.16,9.61,3.1163,2.477733078,2.9077,1.2104,0.416274031,3.562152878,0.561107395,-28.2967679,45.00507032,-30.78952014,2.503343766,49.99082192,1.693832932,29.51343132,84.804,49.686,5.57,44.116,0.520211311
L,NEO,Neosepicaea jucunda,1,NEO,NEO_1,40.2,10.27,3.4075,3.330096522,3.2256,1.1194,0.34703621,4.643489284,0.670666666,-27.98478403,44.11789311,-28.746044,3.123700284,47.05575911,2.319926693,20.2832957,93.148,48.358,2.566,45.792,0.491604758
L,NEO,Neosepicaea jucunda,2,NEO,NEO_2,42.04,10.45,3.4199,3.605663301,3.53,1.373,0.388951841,4.431199564,0.680356688,-26.49054547,44.40431964,-28.55443467,4.852846791,49.47503682,2.289649175,21.60812991,68.303,45.505,7.122,38.383,0.561951891
L,NEO?,Neosepicaea jucunda,2,NEO,NEO_3,45.74,8.42,2.428,2.546890214,2.6914,0.8862,0.329271011,3.796608088,0.577699946,-28.92586696,43.78771153,-29.59368558,3.017313273,45.76771566,2.750081133,16.6423147,88.721,54.743,4.36,50.383,0.567881336
L,NEO?,Neosepicaea jucunda,3,MUC,MUC_1,30.55,8.24,1.9167,1.629129168,1.8621,0.507,0.27227324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,NEO?,Neosepicaea jucunda,4,NEO,NEO_4,53.51,10.54,4.3784,4.668808427,4.782,1.9147,0.400397323,1.09665936,0.59425875,-26.2226909,43.67136933,-27.47386888,0.991482261,48.19912954,2.104334136,22.90469404,99.043,69.56,4.495,65.065,0.656936886
L,NEO?,Neosepicaea jucunda,5,NEO,NEO_5,46.36,8.7,2.1028,2.755953045,3.0197,0.9882,0.327251051,3.280369559,0.528717789,-28.37373761,43.43385549,-30.6670834,2.666265762,44.99921926,2.42581086,18.55017635,69.748,43.077,4.681,38.396,0.550496072
T,NOR,Normanbya normanbyi,1,NOR,NOR_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.94837736,1.118591398,45.01044674,1.462735833,30.77141184,NA,NA,NA,NA,NA
T,NOR,Normanbya normanbyi,2,NOR,NOR_2,37.66,8.33,1.973,2.052391465,1.8223,0.7606,0.417384624,9.280581055,0.404986866,-25.15127259,42.35030289,-27.59649818,1.5638752,45.45478912,1.941954831,23.40671801,59.661,54.015,,54.015,0.905365314
T,NOR,Normanbya normanbyi,3,NOR,NOR_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.23195114,1.720205741,46.40908714,1.481019088,31.33591426,NA,NA,NA,NA,NA
T,NOR,Normanbya normanbyi,4,NOR,NOR_4,35.24,10.55,3.0735,3.080567295,2.8875,1.1219,0.388536797,1.336709275,0.427790739,-26.13237977,42.56834187,-28.83125562,1.354365429,44.9783468,1.845637536,24.37008671,102.416,87.471,,87.471,0.854075535
T,NOR,Normanbya normanbyi,5,NOR,NOR_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.11355994,0.933766671,46.12637178,1.932100656,23.87368983,100.691,95.958,,95.958,0.952994806
T,NOR,Normanbya normanbyi,6,NOR,NOR_6,47.94,9.79,4.0588,3.608720899,3.6378,1.4979,0.411759855,2.669784724,0.256204806,-32.34845321,43.23391214,-33.00886997,2.383400535,46.63767724,1.525341718,30.57523221,NA,NA,NA,NA,NA
L,PAR,Parsonia latifolia,1,PAR,PAR_1,41.29,9.52,2.9853,2.939061413,2.895,1.1315,0.390846287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T,ROC,Rockinghamia angustifolia,1,ROC,ROC_1,39.14,5.98,1.228,1.099292008,1.1866,0.5439,0.458368448,5.743697949,1.143694894,-29.33124075,43.06828204,-28.26381149,4.477539107,43.35416584,1.763875582,24.57892512,33.527,27.02,3.527,23.493,0.700718824
T,ROC,Rockinghamia angustifolia,2,ROC,ROC_2,44.46,8.3,2.5693,2.405556294,2.5225,1.3434,0.532566898,4.851230791,0.755443152,-27.92115574,43.86417369,-27.9084611,5.682042885,42.47318612,1.879507935,22.59803501,63.404,50.898,4.036,46.862,0.739101634
T,ROC,Rockinghamia angustifolia,3,ROC,ROC_3,50.27,8.93,3.2524,3.148485404,3.1136,1.5092,0.48471223,5.343088431,0.491577539,-27.39468295,44.2981185,-26.90364263,4.089664174,42.40317513,1.667906808,25.42298822,76.987,56.583,2.807,53.776,0.69850754
T,ROC,Rockinghamia angustifolia,4,ROC,ROC_4,50.46,7.71,2.556,2.3558405,2.5463,1.0094,0.396418332,5.805280541,0.476302336,-27.97965271,44.65544673,-28.8610812,6.280967415,42.90505668,1.888327055,22.7212,60.234,49.51,6.937,42.573,0.706793505
T,ROC,Rockinghamia angustifolia,5,ROC,ROC_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.03654816,2.958362283,42.10692306,1.79877484,23.40866802,NA,NA,NA,NA,NA
T,ROC,Rockinghamia angustifolia,6,ROC,ROC_6,35.83,9.9,2.9354,2.758081395,3,1.4236,0.474533333,4.952408886,0.733041023,-29.43078823,43.51435038,-28.08914774,3.669466329,43.27256836,1.919726937,22.54100181,96.985,76.942,5.721,71.221,0.734350673
T,SYZ,Syzygium graveolens,1,SYZ_S,SYZ_S_1,30.5,10.45,2.8122,2.61590701,2.5795,1.2481,0.48385346,3.770662207,0.531070725,-27.41623447,45.15574405,-29.50954547,2.789142337,48.3876368,1.742465613,27.76963657,97.769,71.675,3.2,68.475,0.700375375
T,SYZ,Syzygium graveolens,2,SYZ_S,SYZ_S_2,31.22,10.82,3.1095,2.870630545,2.984,1.4687,0.492191689,2.835189309,0.507294486,-29.41128924,44.32878368,-30.33166967,1.849876566,47.03090331,1.622907906,28.97940367,NA,NA,NA,NA,NA
T,SYZ,Syzygium graveolens,3,SYZ_S,SYZ_S_3,45.35,9.61,3.6039,3.289379247,3.3774,1.4983,0.443625274,0.937066751,0.494754662,-29.13317204,43.76058946,-30.80446637,-0.171256055,47.25205017,1.723354198,27.41865267,105.74,52.669,0.639,52.03,0.492055986
T,SYZ,Syzygium graveolens,4,SYZ_S,SYZ_S_4,42.6,9.75,3.4506,3.18059749,3.2677,1.4782,0.452367108,2.154904968,0.61403347,-29.35073974,43.41216251,-30.78840533,1.582737212,46.67058405,1.691712089,27.58778183,87.318,42.849,0.73,42.119,0.482363316
T,SYZ,Syzygium graveolens,5,SYZ_S,SYZ_S_5,42.62,11.93,5.04,4.764136696,4.8424,2.2659,0.467929126,2.591139201,0.313105589,-29.32200438,44.67955157,-32.25497854,1.437284111,46.36193201,1.543486651,30.03714479,131.95,97.51,0.804,96.706,0.732898825
L,TET,Tetracera nordtiana,1,TET,TET_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.53644785,3.770237757,44.9090436,1.481882132,30.30540866,NA,NA,NA,NA,NA
L,TET,Tetracera nordtiana,2,TET,TET_2,42.62,6.55,1.4613,1.436104115,1.3781,0.6664,0.483564328,2.404433369,0.553041374,-28.73703462,44.26565894,-28.32504418,2.882308375,43.88977846,1.620825575,27.07865618,38.468,24.485,2.542,21.943,0.570422169
L,TET,Tetracera nordtiana,3,TET,TET_3,73.34,8.2,3.8435,3.873098052,3.7993,1.5751,0.414576369,2.574252137,0.652708813,-28.72882452,44.22105708,-29.81169368,4.115332368,42.55505315,1.859219829,22.88866141,55.317,37.659,2.227,35.432,0.64052642
L,TET,Tetracera nordtiana,4,TET,TET_4,32.12,7.43,1.5934,1.392653406,1.4747,0.7469,0.506475893,2.146700549,0.437123203,-28.16848506,44.4908867,-30.05863208,2.123670636,43.12241355,1.739589944,24.78883814,43.847,30.322,1.303,29.019,0.66182407
L,TET,Tetracera nordtiana,5,TET,TET_5,NA,NA,4.8595,4.7,4.7492,2.183,0.459656363,3.32306243,0.579880515,-28.71650936,43.56200889,-29.56274764,2.705483037,43.55627352,1.563283651,27.86204123,107.768,75.945,4.627,71.318,0.661773439
L,TET,Tetracera nordtiana,6,TET,TET_6,46.83,8.16,2.854,2.449031418,2.5663,1.2667,0.493589993,2.993112517,0.551752209,-28.42505074,42.79727672,-29.1692523,2.693124277,44.06358061,1.543023294,28.5566529,58.166,36.293,2.425,33.868,0.582264553
L,TET STIG,Tetrastigma crenatum,1,TET STIG,TET STIG_1,47.77,11,5.3285,4.539734902,5.208,1.9605,0.376440092,3.894842209,0.688856822,-28.70214169,47.55093461,-30.21020809,4.044982502,48.26203964,1.855014882,26.01706331,72.315,38.746,2.732,36.014,0.498015626
L,TET STIG,Tetrastigma crenatum,2,TET STIG,TET STIG_2,49.43,6.11,1.6086,1.449315418,1.6745,0.5077,0.303194984,2.970782889,0.718219199,-29.56317613,43.52296012,-29.45935473,2.567635328,46.02206855,1.936693138,23.76322177,36.434,20.64,3.824,16.816,0.461546907
