data contributor,name_original,"growth form: 1=tree, 2=shrub, 3=subshrub, 4=forb, 5=grass, 6=parasite, 10=twiner",height (cm),seed mass (mg),"dispersal mode: 1=unassisted, 2=elaiosome, 3=flesh/aril, 4=adhesive, 5=wind",plant longevity,leaf area (mm2)
westoby lab,Aristida anthoxanthoides,5,40,0,4,<5,200
westoby lab,Aristida biglandulosa,5,120,3.402,4,<20,3000
westoby lab,Aristida capillifolia,5,55,0,4,<20,1330
westoby lab,Aristida contorta,5,30,1.309,4,<5,30
westoby lab,Aristida inaequiglumis,5,105,0.565,4,<10,3000
westoby lab,Aristida latifolia,5,100,0.465,4,<10,200
westoby lab,Aristida nitidula,5,70,0,4,<20,1670
westoby lab,Aristida obscura,5,30,1.059,4,<10,13
westoby lab,Aristida strigosa,5,90,1.954,4,<50,200
westoby lab,Astrebla elymoides,5,90,0,5,<50,85
westoby lab,Astrebla lappacea,5,90,1.258,5,<50,0
westoby lab,Astrebla pectinata,5,120,1.312,5,<100,640
westoby lab,Atalaya hemiglauca,1,500,34.27,5,>100,1171
westoby lab,Atriplex elachophylla,3,50,0,5,<1,30
westoby lab,Atriplex humifusa,4,30,0.738,1,<20,50
westoby lab,Atriplex spongiosa,4,30,2.895,5,<1,53
westoby lab,Bidens bipinnata,4,160,4.287,4,<1,0
westoby lab,Boerhavia coccinea,4,60,1.545,4,<10,330
westoby lab,Bothriochloa ewartiana,5,90,0.389,5,<20,400
westoby lab,Brachiaria miliiformis,5,40,1.579,1,<1,370
westoby lab,Brachiaria praetervisa,5,60,1.11,5,<1,500
westoby lab,Brachycome ciliaris var.lanuginosa,4,40,0.101,5,<10,13
westoby lab,Brassica tournefortii,4,60,1.355,1,<1,0
westoby lab,Calandrinia polyanda,4,90,0.351,1,<1,167
westoby lab,Calocephalus platycephalus,4,30,0.027,1,<1,15
westoby lab,Calotis hispidula,4,5,0.382,4,<1,100
westoby lab,Calotis latiuscula,4,40,0.335,4,<1,400
westoby lab,Capparis mitchelii,1,600,106.4,3,>100,533
westoby lab,Cassia artemisioides,2,200,9.02,1,<20,17
westoby lab,Cassia glutinosa,2,300,18.746,1,<20,56
westoby lab,Cassia helmsii,2,200,28.198,1,<20,100
westoby lab,Cassia nemophila var.nemophila,2,300,20.546,1,<20,23
westoby lab,Cassia nemophila var.zygophylla,2,300,32.639,1,<20,23
westoby lab,Cassia oligophylla,2,200,16.02,1,<50,150
westoby lab,Cassia planitiicola,2,200,18.746,1,<20,500
westoby lab,Casuarina decaisneana,1,1500,0,5,>100,2
westoby lab,Cenchrus ciliaris,5,100,0.518,5,<50,300
westoby lab,Centipeda thespidioides,4,30,0.185,1,<1,13
westoby lab,Chenopodium cristatum,4,40,0.512,1,<1,133
westoby lab,Chenopodium melanocarpum,4,10,0.2856,1,<1,133
westoby lab,Chloris pectinata,5,30,0.128,5,<1,170
westoby lab,Chloris scariosa,5,50,0.632,5,<5,190
westoby lab,Citrullus colocynthis,10,20,25.36,3,<10,1800
westoby lab,Citrullus lanatus,10,20,77.855,3,<1,1000
westoby lab,Cleome viscosa,4,90,1.009,1,<1,450
westoby lab,Convolvulus erubescens,4,10,4.322,1,<5,300
westoby lab,Convolvulus remotus,4,10,5.245,1,<5,180
westoby lab,Cymbopogon obtectus,5,90,1.133,5,<10,1000
westoby lab,Cynodon dactylon,5,30,0.287,1,<50,85
westoby lab,Dactylotenium radulans,5,30,0.439,5,<1,93
westoby lab,Dichanthium sericeum,5,80,0.787,5,<10,230
westoby lab,Digitaria brownii,5,60,0.647,5,<10,333
westoby lab,Digitaria coenicola,5,60,0.872,5,<10,300
westoby lab,Diplachne fusca,5,100,0.334,5,<1,750
westoby lab,Dissocarpus paradoxus,3,50,3.297,4,<20,20
westoby lab,Dodonaea viscosa,2,300,7.04,2,<20,367
westoby lab,Dysphania myriocephala,4,10,0.013,1,<1,6
westoby lab,Dysphania rhadinostachya,4,30,0.085,1,<1,100
westoby lab,Einadia nutans,3,30,0.6,3,<20,667
westoby lab,Enchylaena tomentosa,2,150,2.047,3,<20,20
westoby lab,Enneapogon avenaceus,5,30,0.579,5,<5,320
westoby lab,Enneapogon cylindricus,5,35,0.307,5,<5,367
westoby lab,Enneapogon pallidus,5,50,0.282,5,<5,92
westoby lab,Enneapogon polyphyllus,5,45,0.557,5,<5,220
westoby lab,Enteropogon acicularis,5,105,0.249,5,<50,300
westoby lab,Enteropogon ramosus,5,0,0.274,5,<100,270
westoby lab,Eragrostis australasica,5,300,0.203,1,<50,180
westoby lab,Eragrostis barrelieri,5,50,0.048,1,<1,0
westoby lab,Eragrostis dielsii,5,30,0.0689,1,<5,90
westoby lab,Eragrostis eriopoda,5,60,0.045,1,<50,33
westoby lab,Eragrostis leptocarpa,5,60,0.038,1,<1,0
westoby lab,Eragrostis setifolia,5,50,0.0278,1,<50,160
westoby lab,Eremophila duttonii,2,300,2.435,1,<100,70
westoby lab,Eremophila gilesii,2,150,0.954,1,<10,80
westoby lab,Eremophila latrobei,2,150,1.699,1,<50,60
westoby lab,Eremophila longifolia,2,300,1.262,3,<100,440
westoby lab,Eremophila maculata,2,150,0,3,<100,73
westoby lab,Eremophila sturtii,2,400,0.15,5,<100,33
westoby lab,Eriachne helmsii,5,90,1.49,5,<20,200
westoby lab,Eriachne mucronata,5,45,0,5,<50,70
westoby lab,Eriachne pulchella,5,15,0.24,5,<1,0
westoby lab,Erodium crinitum,4,90,1.656,4,<1,47
westoby lab,Eucalyptus camaldulensis,1,4000,0.4,1,>100,667
westoby lab,Eucalyptus gillenii,1,700,0.377,1,>100,115
westoby lab,Eucalyptus intertexta,1,2400,0.5,1,>100,667
westoby lab,Eucalyptus mannensis,1,700,0.909,1,>100,1000
westoby lab,Eucalyptus opaca,1,1000,12.28,5,>100,1342
westoby lab,Eucalyptus oxymitra,1,400,1.384,1,>100,2660
westoby lab,Eucalyptus pachyphylla,1,400,3.034,1,>100,2800
westoby lab,Eucalyptus pimpiniana,2,200,3.861,1,>100,2100
westoby lab,Eucalyptus sessilis,2,400,2.084,1,>100,2700
westoby lab,Eucalyptus socialis,1,900,0.849,1,>100,600
westoby lab,Eucalyptus trivalvis,1,400,0.474,1,>100,1130
westoby lab,Euphorbia boophtona,4,60,0,2,<5,240
westoby lab,Euphorbia drummondii,4,5,0.293,1,<1,16
westoby lab,Euphorbia parvicaruncula,4,50,4.841,1,<5,133
westoby lab,Evolvulus alsinoides,4,45,0.663,1,<1,410
westoby lab,Fimbristylis dichotoma,4,40,0.683,1,<10,0
westoby lab,Glycine canescens,10,200,5.653,1,<20,135
westoby lab,Gnephosis foliata,4,30,0.029,1,<1,17
westoby lab,Goodenia fascicularis,4,30,0,5,<10,480
westoby lab,Goodenia heterochila,4,40,4.555,5,<5,290
westoby lab,Goodenia lunata,4,20,2.911,5,<1,93
westoby lab,Gossypium sturtianum,2,100,0,1,<10,135
westoby lab,Grevillea striata,1,1200,17.4,5,>100,1100
westoby lab,Hakea eyreana,1,500,34.359,5,>100,250
westoby lab,Hakea grammatophylla,2,200,0,5,<50,1900
westoby lab,Hakea leucoptera,2,200,12.91,5,<100,80
westoby lab,Hakea mynima,2,200,0,5,<50,475
westoby lab,Hakea suberea,1,600,46.28,5,>100,316
westoby lab,Helichrysum apiculatum,4,60,0.043,5,<10,152
westoby lab,Helichrysum bracteatum,4,80,0.53,5,<1,200
westoby lab,Heliotropium tenuifolium,4,0,0.209,5,<1,167
westoby lab,Helipterum charsleyae,4,60,1.498,5,<1,200
westoby lab,Helipterum floribundum,4,40,0.3,5,<1,20
westoby lab,Helipterum tietkensii,4,40,0.18,5,<1,67
westoby lab,Heterodendrum oleaefolium,1,9000,40.5,3,<100,525
westoby lab,Hibiscus brachysiphonius,4,10,6.197,1,<1,85
westoby lab,Hypericum gramineum,4,30,0.008,1,<10,50
westoby lab,Indigofera colutea,4,20,1.126,1,<1,12
westoby lab,Indigofera linnaei,3,50,1.75,1,<5,23
westoby lab,Leichhardtia australis,10,200,15.21,5,<50,467
westoby lab,Lepidium muelleri-ferdinandi,4,20,0.535,1,<1,33
westoby lab,Lepidium oxytrichum,4,30,0.8193,1,<1,40
westoby lab,Lepidium phlebopetalum,4,20,2.067,1,<1,20
westoby lab,Leptochloa digitata,5,200,0,5,<20,500
westoby lab,Lotus cruentus,4,30,2.2,1,<10,15
westoby lab,Lysiana murrayi,6,300,7.573,3,<10,55
westoby lab,Maireana aphylla,2,100,2.244,5,<100,4
westoby lab,Maireana ciliata,4,10,0.941,5,<10,20
westoby lab,Maireana coronata,4,15,2.1,5,<5,26
westoby lab,Maireana scleroptera,4,30,0.629,1,<5,15
westoby lab,Malvastrum americanum,4,50,1.8,1,<10,350
westoby lab,Mollugo cerviana,4,8,0.018,1,<1,18
westoby lab,Monochather paradoxa,5,60,0.901,5,<10,520
westoby lab,Neptunia dimorphantha,4,60,7.142,5,<10,10
westoby lab,Panicum decompositum,5,145,0.703,1,<10,4000
westoby lab,Panicum effusum,5,60,0.504,1,<10,400
westoby lab,Paractaenum nova-hollandiae,5,60,0,5,<5,90
westoby lab,Paspalidium basicladum,5,50,0,5,<5,45
westoby lab,Paspalidium clementii,5,40,0.437,5,<5,160
westoby lab,Paspalidium constrictum,5,60,0.817,1,<10,250
westoby lab,Phyllanthus lacunellus,4,25,0.565,1,<1,0
westoby lab,Phyllanthus maderaspatensis var.angustifol,4,45,0.649,1,<1,25
westoby lab,Pittosporum phylliraeoides,1,600,12.96,3,<100,282
westoby lab,Pluchea dentex,4,60,0,5,<10,33
westoby lab,Portulaca filifolia,4,30,0.043,1,<1,25
westoby lab,Portulaca oleracea,4,10,0.074,1,<1,75
westoby lab,Psoralea cinerea,4,60,4.232,1,<1,300
westoby lab,Psoralea patens,4,100,6.264,5,<5,325
westoby lab,Pterocaulon sphacelatum,4,60,0.029,5,<10,210
westoby lab,Ptilotus atriplicifolius,3,100,0.76,5,<10,400
westoby lab,Ptilotus exaltatus,4,80,0.888,5,<1,1000
westoby lab,Ptilotus helipteroides,4,50,0.849,5,<1,300
westoby lab,Ptilotus macrocephalus,4,50,1.297,5,<1,150
westoby lab,Ptilotus obovatus,3,100,1.18,5,<10,250
westoby lab,Radyera farragei,2,250,9.507,1,<10,3300
westoby lab,Rhagodia spinescens,2,150,0.584,3,<50,42
westoby lab,Rhyncharrhena linearis,10,0,6.81,5,<10,130
westoby lab,Rhynchelytrum repens,5,120,0.214,5,<10,700
westoby lab,Rhyncosia minima,10,0,9.398,1,<10,267
westoby lab,Rumex vesicarius,4,60,2.639,5,<1,1500
westoby lab,Rutidosis helichrysoides,4,50,0.152,5,<10,80
westoby lab,Salsola kali,3,70,0.88,5,<1,100
westoby lab,Sclerolaena bicornis,3,60,35.255,1,<5,60
westoby lab,Sclerolaena convexula,3,40,0.803,2,<5,10
westoby lab,Sclerolaena cornishiana,3,60,23.026,1,<1,35
westoby lab,Sclerolaena costata,3,60,5.717,1,<5,14
westoby lab,Sclerolaena cuneata,3,30,0,1,<5,10
westoby lab,Sclerolaena diacantha,3,20,2.316,2,<5,17
westoby lab,Sclerolaena lanicuspis,3,30,5.257,1,<1,25
westoby lab,Sclerolaena parviflora,3,30,3.99,1,<5,5
westoby lab,Senecio gregorii,4,30,1.047,5,<1,120
westoby lab,Senecio magnificus,2,200,1.595,5,<10,900
westoby lab,Sesbania brachycarpa,4,300,0,1,<1,58
,Sida sp1.,4,0,3.139,5,<10,0
,Sida sp2.,4,0,2.414,5,<10,0
,Sida sp3.,4,0,2.656,5,<10,0
5,Sida spinosa,4,0,2.469,4,<1,
5,Sisymbrium erysimoides,4,60,0.15,1,<1,200
1,Solanum quadriloculatum,3,30,1.465,3,<10,2267
3,Sporobolus actinocladus,5,45,0.067,1,<10,200
3,Sporobolus caroli,5,75,0.0914,1,<10,400
3,Sporobolus sp.,5,,0.034,1,<10,
5,Stenopetalum anfractum,4,40,0.396,1,<1,450
5,Stenopetalum nutans,4,30,1.281,1,<1,320
5,Streptoglossa odora,4,60,0.678,5,<1,0
5,Swainsona canescens,4,20,2.073,1,<1,90
3,Thyridolepis mitchelliana,5,30,1.004,5,<10,80
4,Tragus australianus,5,40,0.203,4,<1,80
5,Tribulus astrocarpus,4,10,11.31,1,<1,23
1,Tribulus terrestris,4,20,39.453,1,<1,16
5,Trichodesma zeylanicum,4,100,10.487,1,<5,440
4,Tripogon loliiformis,5,15,0.073,1,<5,40
4,Triraphis mollis,5,60,0.05,5,<1,833
6,Ventilago viminalis,1,1000,10.437,5,>100,600
5,Vittadina eremaea,4,30,0.384,5,<1,0
1,Wahlenbergia sp.,4,50,0.105,1,<10,100
