treeid,Species,Date Collected,Collector,Latitude,Longitude,Sample Type,Date Imaged: Fresh,Date Imaged: Dried (T) ,Date Imaged: Dried (C) 
79,Eucalyptus dives,19-Jul-18,B.Q. Ong,-37.458666,145.226651,Fresh,24-Jul-18,20-Aug-18,20-Aug-18
80,Eucalyptus dives,19-Jul-18,B.Q. Ong,-37.457907,145.228528,Fresh,24-Jul-18,20-Aug-18,20-Aug-18
81,Eucalyptus pauciflora subsp. pauciflora,21-Jul-18,B.Q. Ong,-37.142177,146.440301,Fresh,24-Jul-18,20-Aug-18,20-Aug-18
82,Eucalyptus pauciflora subsp. pauciflora,21-Jul-18,B.Q. Ong,-37.142177,146.440301,Fresh,25-Jul-18,20-Aug-18,20-Aug-18
83,Eucalyptus pauciflora subsp. pauciflora,21-Jul-18,B.Q. Ong,-37.142177,146.440301,Fresh,25-Jul-18,20-Aug-18,20-Aug-18
84,Eucalyptus pauciflora subsp. pauciflora,21-Jul-18,B.Q. Ong,-37.139121,146.455641,Fresh,25-Jul-18,20-Aug-18,20-Aug-18
85,Eucalyptus pauciflora subsp. pauciflora,21-Jul-18,B.Q. Ong,-37.139121,146.455641,Fresh,25-Jul-18,20-Aug-18,20-Aug-18
86,Eucalyptus pauciflora subsp. pauciflora,21-Jul-18,B.Q. Ong,-37.139121,146.455641,Fresh,25-Jul-18,20-Aug-18,20-Aug-18
87,Eucalyptus ovata,22-Jul-18,B.Q. Ong,-37.208046,145.429139,Fresh,25-Jul-18,20-Aug-18,20-Aug-18
88,Eucalyptus goniocalyx,30-Jul-18,B.Q. Ong,-37.884517,144.173381,Fresh,10-Aug-18,28-Aug-18,28-Aug-18
89,Eucalyptus goniocalyx,30-Jul-18,B.Q. Ong,-37.884217,144.172615,Fresh,10-Aug-18,28-Aug-18,28-Aug-18
90,Eucalyptus viminalis subsp. viminalis,30-Jul-18,B.Q. Ong,-37.884217,144.172615,Fresh,10-Aug-18,28-Aug-18,28-Aug-18
91,Eucalyptus tricarpa,30-Jul-18,B.Q. Ong,-37.8839,144.172775,Fresh,10-Aug-18,28-Aug-18,28-Aug-18
92,Eucalyptus macrorhyncha,30-Jul-18,B.Q. Ong,-37.883335,144.174179,Fresh,10-Aug-18,28-Aug-18,28-Aug-18
93,Eucalyptus macrorhyncha,30-Jul-18,B.Q. Ong,-37.883335,144.174179,Fresh,10-Aug-18,28-Aug-18,28-Aug-18
94,Eucalyptus goniocalyx,30-Jul-18,B.Q. Ong,-37.88398,144.172566,Fresh,10-Aug-18,28-Aug-18,28-Aug-18
95,Eucalyptus viminalis subsp. viminalis,30-Jul-18,B.Q. Ong,-37.866896,144.221694,Fresh,10-Aug-18,28-Aug-18,28-Aug-18
96,Eucalyptus polyanthemos subsp. vestita,30-Jul-18,B.Q. Ong,-37.863538,144.212776,Fresh,10-Aug-18,28-Aug-18,28-Aug-18
97,Eucalyptus polyanthemos subsp. vestita,30-Jul-18,B.Q. Ong,-37.85766,144.19033,Fresh,10-Aug-18,28-Aug-18,28-Aug-18
98,Eucalyptus ovata,30-Jul-18,B.Q. Ong,-37.835438,144.196438,Fresh,10-Aug-18,28-Aug-18,28-Aug-18
99,Eucalyptus baxteri,30-Jul-18,B.Q. Ong,-37.853633,144.257147,Fresh,10-Aug-18,28-Aug-18,28-Aug-18
100,Eucalyptus microcarpa,30-Jul-18,B.Q. Ong,-37.742484,144.53025,Fresh,10-Aug-18,28-Aug-18,28-Aug-18
101,Eucalyptus dives,2-Mar-18,P.A. Vesk,-38.01388,146.35358,Dried, ,4-Sep-18,4-Sep-18
102,Eucalyptus fulgens,2-Mar-18,P.A. Vesk,-38.0372,146.32729,Dried, ,4-Sep-18,4-Sep-18
103,Eucalyptus dives,2-Mar-18,P.A. Vesk,-38.04376,146.07475,Dried, ,4-Sep-18,4-Sep-18
104,Eucalyptus fastigata,24-Dec-17,P.A. Vesk,-34.78815,150.55477,Dried, ,4-Sep-18,4-Sep-18
105,Eucalyptus dives,9-Jun-17,P.A. Vesk,-37.725911,145.777747,Dried, ,4-Sep-18,4-Sep-18
106,Eucalyptus radiata subsp. radiata,9-Jun-17,P.A. Vesk,-37.737972,145.782747,Dried, ,4-Sep-18,4-Sep-18
107,Eucalyptus viminalis subsp. viminalis,9-Jun-17,P.A. Vesk,-37.767485,145.812944,Dried, ,4-Sep-18,4-Sep-18
108,Eucalyptus macrorhyncha,30-Jul-17,W.C. Neal,-37.86639,144.23336,Dried, ,4-Sep-18,4-Sep-18
109,Eucalyptus fastigata,22-Oct-17,M.E. Freeman,-35.45,149.97,Dried, ,4-Sep-18,4-Sep-18
110,Eucalyptus fastigata,22-Oct-17,M.E. Freeman,-35.45,149.97,Dried, ,4-Sep-18,4-Sep-18
111,Eucalyptus fastigata,22-Oct-17,M.E. Freeman,-35.45,149.97,Dried, ,4-Sep-18,4-Sep-18
112,Eucalyptus sieberi,6-Apr-17,P.A. Vesk,-37.43792,148.97365,Dried, ,4-Sep-18,4-Sep-18
113,Eucalyptus cypellocarpa,6-Apr-17,P.A. Vesk,-37.42042,148.95682,Dried, ,4-Sep-18,4-Sep-18
114,Eucalyptus cypellocarpa,6-Apr-17,P.A. Vesk,-37.44202,148.95128,Dried, ,4-Sep-18,4-Sep-18
115,*,,NA, , , , , , 
116,Eucalyptus radiata subsp. radiata,6-Apr-17,P.A. Vesk,-37.44191,148.95717,Dried, ,4-Sep-18,4-Sep-18
117,Eucalyptus radiata subsp. radiata,6-Apr-17,P.A. Vesk,-37.44241,148.97069,Dried, ,4-Sep-18,4-Sep-18
118,Eucalyptus croajingolensis,6-Apr-17,P.A. Vesk,-37.59328,148.90073,Dried, ,4-Sep-18,4-Sep-18
119,Eucalyptus croajingolensis,6-Apr-17,P.A. Vesk,-37.59328,148.90073,Dried, ,4-Sep-18,4-Sep-18
120,Eucalyptus consideniana,6-Apr-17,P.A. Vesk,-37.58755,148.8997,Dried, ,4-Sep-18,4-Sep-18
121,Eucalyptus cypellocarpa,6-Apr-17,P.A. Vesk,-37.58755,148.8997,Dried, ,4-Sep-18,4-Sep-18
122,Eucalyptus obliqua,7-Nov-17,W.C. Neal,-37.69799,145.55941,Dried, ,4-Sep-18,4-Sep-18
123,Eucalyptus globulus subsp. bicostata,4-Feb-18,P.A. Vesk,-36.81671,147.22512,Dried, ,4-Sep-18,4-Sep-18
124,Eucalyptus globulus subsp. bicostata,4-Feb-18,P.A. Vesk,-36.71229,147.11998,Dried, ,4-Sep-18,4-Sep-18
125,Eucalyptus bosistoana,3-Apr-18,P.A. Vesk,-36.9674,149.65753,Dried, ,4-Sep-18,4-Sep-18
126,Eucalyptus muelleriana,3-Apr-18,P.A. Vesk,-36.9674,149.65753,Dried, ,4-Sep-18,4-Sep-18
127,Eucalyptus polyanthemos subsp. vestita,15-Sep-17,P.A. Vesk,-37.67041,144.51382,Dried, ,4-Sep-18,4-Sep-18
128,Eucalyptus polyanthemos subsp. vestita,15-Sep-17,P.A. Vesk,-37.67122,144.51574,Dried, ,4-Sep-18,4-Sep-18
129,Eucalyptus macrorhyncha,12-Dec-17,P.A. Vesk,-37.9108,146.80943,Dried, ,4-Sep-18,4-Sep-18
130,Eucalyptus macrorhyncha,12-Dec-17,P.A. Vesk,-37.92538,146.82111,Dried, ,4-Sep-18,4-Sep-18
131,Eucalyptus consideniana,12-Dec-17,P.A. Vesk,-37.93007,146.81691,Dried, ,4-Sep-18,4-Sep-18
132,Eucalyptus dives,13-Dec-17,P.A. Vesk,-37.65665,146.37334,Dried, ,4-Sep-18,4-Sep-18
133,Eucalyptus sieberi,5-Apr-17,P.A. Vesk,-37.68825,148.61809,Dried, ,4-Sep-18,4-Sep-18
134,Eucalyptus sieberi,5-Apr-17,P.A. Vesk,-37.68825,148.61809,Dried, ,4-Sep-18,4-Sep-18
135,Eucalyptus consideniana,5-Apr-17,P.A. Vesk,-37.68825,148.61809,Dried, ,4-Sep-18,4-Sep-18
136,Eucalyptus muelleriana,5-Apr-17,P.A. Vesk,-37.68825,148.61809,Dried, ,4-Sep-18,4-Sep-18
137,Eucalyptus croajingolensis,7-Apr-17,P.A. Vesk,-37.63259,148.87509,Dried, ,4-Sep-18,4-Sep-18
138,Eucalyptus elata,7-Apr-17,P.A. Vesk,-37.625519,148.87748,Dried, ,4-Sep-18,4-Sep-18
139,Eucalyptus obliqua,9-Jun-17,P.A. Vesk,-37.7682,145.77887,Dried, ,4-Sep-18,4-Sep-18
140,Eucalyptus obliqua,9-Jun-17,P.A. Vesk,-37.76757,145.77103,Dried, ,11-Sep-18,11-Sep-18
141,Eucalyptus cypellocarpa,7-Apr-17,P.A. Vesk,-37.55893,149.10266,Dried, ,11-Sep-18,11-Sep-18
142,Eucalyptus bosistoana,7-Apr-17,P.A. Vesk,-37.50317,149.17662,Dried, ,11-Sep-18,11-Sep-18
143,Eucalyptus polyanthemos subsp. vestita,8-Apr-17,P.A. Vesk,-37.67869,148.36647,Dried, ,11-Sep-18,11-Sep-18
144,Eucalyptus tricarpa,8-Apr-17,P.A. Vesk,-37.67869,148.36647,Dried, ,11-Sep-18,11-Sep-18
145,Eucalyptus polyanthemos subsp. vestita,8-Apr-17,P.A. Vesk,-37.68069,148.36502,Dried, ,11-Sep-18,11-Sep-18
146,Eucalyptus tricarpa,8-Apr-17,P.A. Vesk,-37.68319,148.36104,Dried, ,11-Sep-18,11-Sep-18
147,Eucalyptus tricarpa,8-Apr-17,P.A. Vesk,-37.55345,148.25691,Dried, ,11-Sep-18,11-Sep-18
148,Eucalyptus viminalis subsp. pryoriana,8-Apr-17,P.A. Vesk,-37.51224,148.23419,Dried, ,11-Sep-18,11-Sep-18
149,Eucalyptus radiata subsp. robertsonii,16-Apr-17,P.A. Vesk,-35.677472,148.486056,Dried, ,11-Sep-18,11-Sep-18
150,Eucalyptus radiata subsp. robertsonii,16-Apr-17,P.A. Vesk,-35.677472,148.486056,Dried, ,11-Sep-18,11-Sep-18
151,Eucalyptus eugenioides,26-Sep-17,P.A. Vesk,-36.0460021,150.0758305,Dried, ,11-Sep-18,11-Sep-18
152,Eucalyptus longifolia,26-Sep-17,P.A. Vesk,-36.0957334,150.1280123,Dried, ,11-Sep-18,11-Sep-18
153,Eucalyptus longifolia,26-Sep-17,P.A. Vesk,-36.0957334,150.1280123,Dried, ,11-Sep-18,11-Sep-18
154,Eucalyptus longifolia,27-Sep-17,P.A. Vesk,-36.0957334,150.1280123,Dried, ,11-Sep-18,11-Sep-18
155,Eucalyptus globoidea,27-Sep-17,P.A. Vesk,-36.0957334,150.1280123,Dried, ,11-Sep-18,11-Sep-18
156,Eucalyptus longifolia,28-Sep-17,P.A. Vesk,-35.9598843,150.0161165,Dried, ,11-Sep-18,11-Sep-18
157,Eucalyptus consideniana,28-Sep-17,P.A. Vesk,-35.9598843,150.0161165,Dried, ,11-Sep-18,11-Sep-18
158,Eucalyptus sieberi,28-Sep-17,P.A. Vesk,-35.9598843,150.0161165,Dried, ,11-Sep-18,11-Sep-18
159,Eucalyptus globoidea,28-Sep-17,P.A. Vesk,-35.960421,150.012974,Dried, ,11-Sep-18,11-Sep-18
160,Eucalyptus globoidea,28-Sep-17,P.A. Vesk,-35.960421,150.012974,Dried, ,11-Sep-18,11-Sep-18
161,Eucalyptus globoidea,28-Sep-17,P.A. Vesk,-35.963114,150.008471,Dried, ,11-Sep-18,11-Sep-18
162,Eucalyptus tricarpa,28-Sep-17,P.A. Vesk,-35.957322,150.018626,Dried, ,11-Sep-18,11-Sep-18
163,Eucalyptus elata,28-Sep-17,P.A. Vesk,-35.95346,150.023799,Dried, ,11-Sep-18,11-Sep-18
164,Eucalyptus elata,28-Sep-17,P.A. Vesk,-35.932905,150.043401,Dried, ,11-Sep-18,11-Sep-18
165,Eucalyptus viminalis subsp. viminalis,4-Nov-17,W.C. Neal,-35.46215,148.9152,Dried, ,11-Sep-18,11-Sep-18
166,Eucalyptus bridgesiana,4-Nov-17,W.C. Neal,-35.46247,148.91594,Dried, ,11-Sep-18,11-Sep-18
167,Eucalyptus bridgesiana,4-Nov-17,W.C. Neal,-35.46154,148.90571,Dried, ,11-Sep-18,11-Sep-18
168,Eucalyptus fastigata,4-Nov-17,W.C. Neal,-35.46154,148.90571,Dried, ,11-Sep-18,11-Sep-18
169,Eucalyptus bridgesiana,4-Nov-17,W.C. Neal,-35.47989,148.90303,Dried, ,11-Sep-18,11-Sep-18
170,Eucalyptus globulus subsp. bicostata,4-Nov-17,W.C. Neal,-35.4575,148.92223,Dried, ,11-Sep-18,11-Sep-18
171,Eucalyptus bridgesiana,4-Nov-17,W.C. Neal,-35.32445,148.94001,Dried, ,17-Sep-18,17-Sep-18
172,Eucalyptus cypellocarpa,6-Apr-17,P.A. Vesk,-37.41093,148.93854,Dried, ,17-Sep-18,17-Sep-18
173,Eucalyptus longifolia,1-Apr-18,P.A. Vesk,-36.03508,150.04853,Dried, ,17-Sep-18,17-Sep-18
174,Eucalyptus elata,1-Apr-18,P.A. Vesk,-36.0177,150.06521,Dried, ,17-Sep-18,17-Sep-18
175,Eucalyptus obliqua,10-Jun-17,P.A. Vesk,-37.749894,145.6863,Dried, ,17-Sep-18,17-Sep-18
176,Eucalyptus consideniana,2-Mar-18,P.A. Vesk,-38.02534,146.34964,Dried, ,17-Sep-18,17-Sep-18
177,Corymbia gummifera,24-Dec-17,P.A. Vesk,-34.77364,150.52764,Dried, ,17-Sep-18,17-Sep-18
178,Corymbia gummifera,24-Dec-17,P.A. Vesk,-34.77364,150.52764,Dried, ,17-Sep-18,17-Sep-18
179,Corymbia gummifera,24-Dec-17,P.A. Vesk,-34.89077,150.5334,Dried, ,17-Sep-18,17-Sep-18
180,Eucalyptus camaldulensis,6-Nov-17,P.A. Vesk,-37.696249,144.95292,Dried, ,17-Sep-18,17-Sep-18
181,Eucalyptus camaldulensis,6-Nov-17,P.A. Vesk,-37.695971,144.951984,Dried, ,17-Sep-18,17-Sep-18
182,Eucalyptus elata,6-Apr-17,P.A. Vesk,-37.60721,148.90111,Dried, ,17-Sep-18,17-Sep-18
183,Eucalyptus globoidea,31-Dec-17,P.A. Vesk,-32.22436,152.45202,Dried, ,17-Sep-18,17-Sep-18
184,Eucalyptus melliodora,15-Sep-17,P.A. Vesk,-37.78578,144.56994,Dried, ,17-Sep-18,17-Sep-18
185,Eucalyptus dives,31-Jan-18,P.A. Vesk,-36.73892,147.18929,Dried, ,17-Sep-18,17-Sep-18
186,Eucalyptus viminalis subsp. viminalis,15-Sep-17,P.A. Vesk,-37.67162,144.51652,Dried, ,17-Sep-18,17-Sep-18
187,Eucalyptus obliqua,12-Dec-17,P.A. Vesk,-38.11391,146.434,Dried, ,17-Sep-18,17-Sep-18
188,Eucalyptus melliodora,12-Dec-17,P.A. Vesk,-38.11314,146.43498,Dried, ,17-Sep-18,17-Sep-18
189,Eucalyptus viminalis subsp. viminalis,18-Aug-17,P.A. Vesk,-37.93784,145.31241,Dried, ,17-Sep-18,17-Sep-18
190,Angophora floribunda,29-Sep-17,P.A. Vesk,-35.997356,150.156798,Dried, ,18-Sep-18,18-Sep-18
191,Corymbia gummifera,29-Sep-17,P.A. Vesk,-35.99725,150.13168,Dried, ,18-Sep-18,18-Sep-18
192,Angophora floribunda,27-Sep-17,P.A. Vesk,-36.09615,150.043862,Dried, ,18-Sep-18,18-Sep-18
193,Corymbia gummifera,28-Sep-17,P.A. Vesk,-36.040091,150.072714,Dried, ,18-Sep-18,18-Sep-18
194,Angophora floribunda,28-Sep-17,P.A. Vesk,-36.040983,150.079494,Dried, ,18-Sep-18,18-Sep-18
195,Angophora floribunda,29-Sep-17,P.A. Vesk,-36.116125,150.060776,Dried, ,18-Sep-18,18-Sep-18
196,Eucalyptus radiata subsp. robertsonii,4-Nov-17,W.C. Neal,-35.44934,148.93373,Dried, ,18-Sep-18,18-Sep-18
197,Eucalyptus radiata subsp. robertsonii,4-Nov-17,W.C. Neal,-35.44934,148.93373,Dried, ,18-Sep-18,18-Sep-18
198,Eucalyptus radiata subsp. robertsonii,4-Nov-17,W.C. Neal,-35.46203,148.9143,Dried, ,18-Sep-18,18-Sep-18
199,Eucalyptus baxteri,31-Mar-18,W.C. Neal,-38.4125,144.15576,Dried, ,24-Sep-18,24-Sep-18
200,Eucalyptus baxteri,31-Mar-18,W.C. Neal,-38.41426,144.13425,Dried, ,24-Sep-18,24-Sep-18
201,Eucalyptus conspicua,2-Mar-18,P.A. Vesk,-38.0372,146.32729,Dried, ,24-Sep-18,24-Sep-18
202,Eucalyptus conspicua,2-Mar-18,P.A. Vesk,-38.0372,146.32729,Dried, ,24-Sep-18,24-Sep-18
203,Eucalyptus paniculata,24-Dec-17,P.A. Vesk,-34.91476,150.402807,Dried, ,24-Sep-18,24-Sep-18
204,Eucalyptus camaldulensis,13-Nov-17,P.A. Vesk,-37.695971,144.951984,Dried, ,24-Sep-18,24-Sep-18
205,Eucalyptus regnans,9-Jun-17,P.A. Vesk,-37.767485,145.812944,Dried, ,24-Sep-18,24-Sep-18
