Region,Site,Species,rep,Code,Origin,Family,Life form,Raunkiaer life form,Longevity,Legume,Root type,Rt tp cat,Root depth (cm),Nut acq strat,Seed mass (g),Soil,Rep,LMA (g/m2),SRL (cm/mg),Height (mm),Aarea,Amass,WUE,Nmass,Narea,PNUE,Pmass,Parea,PPUE
NA,Banksia woodland,Sonchus oleraceus,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,28.56,7.4,460,17.11086178,599.1198101,2.624113475,2.2,0.62832,381.258061,0.132484606,37.83760349,14.01877144
NA,Banksia woodland,Sonchus oleraceus,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,28.55,7.62,410,14.04872021,492.0742632,2.230014025,2.65,0.756575,259.9637617,0.182103758,51.99062286,8.376709158
NA,Banksia woodland,Stirlingia latifolia,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,302.62,NA,1700,12.84071294,42.43180538,3.027522936,1.02,3.086724,58.23973288,0.024095092,72.9165679,5.459144784
NA,Banksia woodland,Stirlingia latifolia,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,299.36,NA,1500,15.56629029,51.99856456,3.099173554,1.17,3.502512,62.2205046,0.035064742,104.9698102,4.597083657
NA,Banksia woodland,Stirlingia latifolia,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,299.21,NA,1500,11.04761275,36.92260537,3.024523161,1.17,3.500757,44.18089531,0.038308119,114.6217234,2.987880352
NA,Banksia woodland,Stirlingia latifolia,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,309.15,NA,1500,18.86585762,61.02493165,2.805429864,0.86,2.65869,99.34291198,0.015217066,47.0435596,12.4319161
NA,Banksia woodland,Stirlingia latifolia,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,335.38,NA,1700,13.03900314,38.87829667,2.589473684,1.14,3.823332,47.74527661,0.045767941,153.4965209,2.633343707
NA,Coastal banksia woodland,Acacia saligna,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,132.331,NA,1500,21.93794155,165.7806367,5.240384615,3.25,4.300762227,71.41319735,0.247101502,326.992248,2.079792999
NA,Coastal banksia woodland,Acacia saligna,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,151.836,NA,2000,19.1697471,126.252846,4.155844156,2.85,4.327330508,62.01894189,0.202496294,307.4625927,1.932794994
NA,Coastal banksia woodland,Acacia saligna,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,180.619,NA,1200,23.67105454,131.055308,4.806866953,2.65,4.786398618,69.2367665,0.158367539,286.0415737,2.565370764
NA,Coastal banksia woodland,Acacia saligna,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,186.687,NA,1900,21.98650649,117.7722925,6.616314199,2.89,5.395242159,57.0523216,0.204022854,380.8832883,1.789476519
NA,Coastal banksia woodland,Acacia saligna,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,130.34,NA,1600,17.77911747,136.4061702,4.886363636,3.01,3.923220153,63.44473032,0.210933861,274.9302235,2.004700083
NA,Coastal banksia woodland,Anagallis arvensis,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,41.131,14.4,80,9.803475172,238.3469901,4.696629213,1.52,0.625192802,219.5301225,0.192618613,79.22616479,3.835951559
NA,Coastal banksia woodland,Anagallis arvensis,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,32.972,11.15,70,10.04140761,304.541548,2.485477178,1.99,0.656146962,214.2503353,0.111018298,36.60518524,8.503812614
NA,Coastal banksia woodland,Anagallis arvensis,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,39.565,11.63,70,8.756068772,221.3096382,4.395833333,1.34,0.53016815,231.219025,0.104684707,41.41828182,6.553582621
NA,Coastal banksia woodland,Anagallis arvensis,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,37.815,10.4,90,9.394774933,248.4396038,3.412587413,1.79,0.676890756,194.3103046,0.140534146,53.14316447,5.480253685
NA,Coastal banksia woodland,Anagallis arvensis,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,26.925,16.67,80,19.41124739,720.9337282,4.469387755,1.42,0.382337103,710.7797321,0.077521546,20.87279112,28.82933412
NA,Coastal banksia woodland,Austrostipa flavescens,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,84.896,1.13,1350,19.33149143,227.7088594,3.636363636,2.23,1.893172975,142.9562346,0.157900677,134.0508044,4.470515764
NA,Coastal banksia woodland,Austrostipa flavescens,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,109.777,1.32,1400,21.69221629,197.6025328,3.496503497,2.18,2.393138937,126.9007091,0.152654575,167.5796369,4.012770987
NA,Coastal banksia woodland,Austrostipa flavescens,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,91.859,1.52,1200,25.94457882,282.4380528,3.58490566,2.36,2.1678809,167.5479974,0.145014474,133.2093678,6.0377281
NA,Coastal banksia woodland,Austrostipa flavescens,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,92.9,1.45,1300,19.59022671,210.8747976,3.863636364,2.06,1.913735899,143.3129692,0.072661479,67.50236926,8.996677225
NA,Coastal banksia woodland,Austrostipa flavescens,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,111.524,1.11,1400,20.49378683,183.7609553,4.506410256,2.25,2.50929368,114.3401499,0.106585398,118.868474,5.344624783
NA,Coastal banksia woodland,Avena barbata,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,29.101,6.4,800,NA,NA,NA,2.27,0.660603856,NA,0.246137887,71.62979608,NA
NA,Coastal banksia woodland,Avena barbata,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,26.954,4.7,1100,NA,NA,NA,2.69,0.725067385,NA,0.351917726,94.85652997,NA
NA,Coastal banksia woodland,Avena barbata,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,24.194,3.97,580,16.90810293,698.8682546,5.742574257,3.09,0.747580645,316.6393387,0.292354688,70.7309728,7.410490344
NA,Coastal banksia woodland,Avena barbata,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,29.289,4.94,500,21.69667242,740.786387,9.78807947,2.53,0.741004184,409.9213209,0.248794175,72.86858674,9.230271579
NA,Coastal banksia woodland,Avena barbata,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,29.155,4.88,650,10.31323015,353.743794,6.368055556,2.77,0.807580175,178.7874771,0.210923536,61.49374239,5.199067778
NA,Coastal banksia woodland,Banksia attenuta,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,218.642,NA,1600,19.89750466,91.00490289,6.706586826,1.22,2.667433832,104.4318558,0.080262541,175.4877201,3.514904885
NA,Coastal banksia woodland,Banksia attenuta,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,231.214,NA,3000,29.34650902,126.9236515,7.850877193,1.12,2.589595376,158.6545644,0.042994597,99.4094721,9.15145972
NA,Coastal banksia woodland,Banksia attenuta,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,231.186,NA,3000,17.58007547,76.04291955,5.645933014,0.98,2.265625,108.6327422,0.08230368,190.27477,2.864186038
NA,Coastal banksia woodland,Banksia attenuta,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,270.459,NA,1700,16.49832844,61.00114715,4.910714286,0.92,2.488225694,92.82783262,0.084727026,229.1521336,2.231915425
NA,Coastal banksia woodland,Banksia attenuta,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,246.978,NA,2500,24.07023915,97.45886191,7.6,0.96,2.370993169,142.127507,0.03600074,88.91407207,8.392118326
NA,Coastal banksia woodland,Banksia menziesii,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,237.822,NA,5000,15.16868256,63.78156885,4.373401535,1.23,2.9252149,72.59690764,0.113878489,270.8284993,1.736261733
NA,Coastal banksia woodland,Banksia menziesii,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,266.953,NA,3500,22.19233675,83.13209718,4.787018256,0.77,2.055535693,151.1492676,0.131070208,349.8954431,1.966194339
NA,Coastal banksia woodland,Banksia menziesii,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,238.586,NA,4000,19.57051988,82.02722938,4.727668845,1.11,2.648300721,103.4577668,0.137214252,327.373516,1.853192414
NA,Coastal banksia woodland,Banksia menziesii,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,254.291,NA,2000,15.34914551,60.3605147,4.130434783,0.87,2.212333121,97.13186274,0.079562356,202.3200402,2.351835786
NA,Coastal banksia woodland,Banksia menziesii,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,218.369,NA,3000,NA,NA,NA,1.13,2.467565832,NA,0.111085736,242.5764316,NA
NA,Coastal banksia woodland,Clematis linearifolia,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,90.218,NA,NA,17.65556173,195.6979631,8.471023428,2.23,2.011870845,122.8597078,0.299846416,270.5167097,2.02324808
NA,Coastal banksia woodland,Clematis linearifolia,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,98.865,NA,NA,19.98923307,202.1873908,6.767123288,2.22,2.194800439,127.5055618,0.260812315,257.8517944,2.403187562
NA,Coastal banksia woodland,Clematis linearifolia,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,70.379,NA,NA,21.86385239,310.6568243,5.539215686,2.24,1.576499388,194.1605152,0.301537118,212.2201262,3.193756578
NA,Coastal banksia woodland,Clematis linearifolia,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,69.124,NA,NA,29.67955719,429.3642607,5.348101266,2.55,1.762672811,235.729398,0.238352008,164.7594525,5.58430038
NA,Coastal banksia woodland,Clematis linearifolia,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,68.093,NA,NA,14.61782112,214.6731445,9.7586727,2.44,1.661478599,123.1731157,0.332108372,226.1438332,2.003824064
NA,Coastal banksia woodland,Ehrharta calycina,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,58.858,1.22,1280,9.767561303,165.9508665,7.80952381,1.52,0.894643908,152.8494823,0.151561348,89.20620847,3.394319808
NA,Coastal banksia woodland,Ehrharta calycina,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,50.857,1.95,1100,14.59582109,286.9999346,6.923076923,1.54,0.783190578,260.9090315,0.146125003,74.31410775,6.088621224
NA,Coastal banksia woodland,Ehrharta calycina,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,62.622,1.69,900,12.68637126,202.5854911,8.203342618,1.73,1.083365949,163.9420159,0.102303335,64.06471081,6.138754148
NA,Coastal banksia woodland,Ehrharta calycina,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,58.29,1.49,870,15.21752042,261.065017,4.742268041,2.14,1.247409326,170.790198,0.104934947,61.16674363,7.712412089
NA,Coastal banksia woodland,Ehrharta calycina,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,52.448,2.13,1050,NA,NA,NA,2.02,1.059440559,NA,0.085997776,45.10372891,NA
NA,Coastal banksia woodland,Euphorbia terracina,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,49.729,5.25,540,NA,NA,NA,1.7,0.845388788,NA,0.282368785,140.4184734,NA
NA,Coastal banksia woodland,Euphorbia terracina,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,44.812,4.7,430,NA,NA,NA,2.36,1.057566356,NA,0.370747223,166.1397417,NA
NA,Coastal banksia woodland,Euphorbia terracina,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,42.699,5.48,710,NA,NA,NA,1.94,0.828351836,NA,0.246330236,105.1794347,NA
NA,Coastal banksia woodland,Euphorbia terracina,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,60.193,5,750,NA,NA,NA,1.81,1.089486356,NA,0.247311203,148.8630839,NA
NA,Coastal banksia woodland,Euphorbia terracina,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,49.787,8.57,640,NA,NA,NA,1.54,0.766714083,NA,0.181110468,90.16879648,NA
NA,Coastal banksia woodland,Gladiolus caryophyllaceus,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,98.386,2.74,1100,11.18857357,113.7206617,4.476987448,2.1,2.066115702,75.8137745,0.18236097,179.4185064,1.933166136
NA,Coastal banksia woodland,Gladiolus caryophyllaceus,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,113.516,2.81,1200,8.01666728,70.62149429,6.161538462,2.15,2.44059331,45.98608931,0.161861407,183.7385429,1.352556093
NA,Coastal banksia woodland,Gladiolus caryophyllaceus,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,135.329,3.07,1000,9.737179566,71.95202924,4.341346154,2.08,2.814838402,48.42925045,0.098227438,132.9299828,2.270763601
NA,Coastal banksia woodland,Gladiolus caryophyllaceus,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,113.96,2.62,1100,7.765551911,68.14271802,2.478787879,2.38,2.712250712,40.08395177,0.082998649,94.58535509,2.545130893
NA,Coastal banksia woodland,Gladiolus caryophyllaceus,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,92.688,2.71,850,11.33564668,122.2990326,5.965909091,2.25,2.085478888,76.09717582,0.160622912,148.8780852,2.360354425
NA,Coastal banksia woodland,Pelargonium capitatum,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,55.054,3.01,170,8.770567876,159.3085949,3.355481728,2.12,1.167143801,105.2037891,0.09911949,54.56919726,4.982437305
NA,Coastal banksia woodland,Pelargonium capitatum,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,49.454,3.28,280,9.360502878,189.2771686,3.701298701,1.93,0.954461158,137.2995005,0.088096019,43.56695763,6.660451062
NA,Coastal banksia woodland,Pelargonium capitatum,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,54.98,3.9,300,8.939949636,162.6039301,2.932960894,1.78,0.978642419,127.8907316,0.179600375,98.74412677,2.806632129
NA,Coastal banksia woodland,Pelargonium capitatum,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,65.116,3.18,410,15.21743444,233.6963146,3.473282443,1.71,1.113488372,191.3303161,0.108006116,70.32956372,6.707569942
NA,Coastal banksia woodland,Pelargonium capitatum,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,63.34,3.2,200,13.63955114,215.3395801,2.958257713,1.49,0.943761996,202.3324914,0.096412591,61.06747618,6.923916164
NA,Coastal banksia woodland,Ptilotus polystachyus,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,97.438,NA,650,17.20916607,176.617034,4.097421203,2.72,2.650306748,90.90582632,0.212838624,207.3851624,2.572431614
NA,Coastal banksia woodland,Ptilotus polystachyus,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,100.386,NA,580,18.96043945,188.8751469,3.762376238,2.23,2.238610039,118.5763254,0.053700448,53.90778537,10.90331608
NA,Coastal banksia woodland,Ptilotus polystachyus,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,88.652,NA,750,18.61433659,209.9697167,3.684210526,2.47,2.189716312,119.0111755,0.128187362,113.641278,5.077771425
NA,Coastal banksia woodland,Ptilotus polystachyus,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,90.123,NA,800,8.220961081,91.21978415,3.711409396,2.37,2.135904831,53.88510456,0.097184503,87.58516878,2.909736854
NA,Coastal banksia woodland,Ptilotus polystachyus,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,85.376,NA,660,15.99066724,187.2971379,3.976945245,2.42,2.066097494,108.3537161,0.12434625,106.1617667,4.669389932
NA,Coastal banksia woodland,Sonchus oleraceus,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,28.601,6.74,200,9.596358781,335.5235988,4.322033898,2.62,0.749349974,179.2874192,0.371386307,106.2207327,2.800650255
NA,Coastal banksia woodland,Sonchus oleraceus,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,19.68,11.79,250,8.82841467,448.6095855,5.170731707,2.52,0.495923531,249.2275475,0.204186506,40.18289409,6.810879628
NA,Coastal banksia woodland,Sonchus oleraceus,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,27.941,9.26,330,10.67407473,382.0195168,5.544554455,2.32,0.648235294,230.5290187,0.237795836,66.44295417,4.9801566
NA,Coastal banksia woodland,Sonchus oleraceus,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,30.565,6.67,170,12.41889161,406.3047373,4.961832061,2.19,0.669383597,259.7381882,0.243486769,74.4228536,5.172949187
NA,Coastal banksia woodland,Sonchus oleraceus,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,18.832,10.33,150,16.6257243,882.8259603,4.915730337,2.85,0.536723164,433.6688928,0.289317987,54.48549653,9.459351316
NA,Coastal banksia woodland,Xanthorrhoea preissi,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,391.349,NA,1600,12.76377797,32.61481161,4.339622642,0.95,3.717816684,48.0639329,0.082865182,324.2921654,1.220125428
NA,Coastal banksia woodland,Xanthorrhoea preissi,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,366.113,NA,2500,14.67071573,40.0715247,5.395189003,1.07,3.917411665,52.43003231,0.133956145,490.4311825,0.927331303
NA,Coastal banksia woodland,Xanthorrhoea preissi,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,372.359,NA,1500,16.84420098,45.23639744,5.100286533,0.93,3.462943072,68.0978026,0.077150379,287.2767413,1.817655784
NA,Coastal banksia woodland,Xanthorrhoea preissi,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,406.242,NA,1400,16.30600623,40.13869216,5.74912892,1.03,4.184288405,54.55744566,0.097051715,394.2644318,1.282099404
NA,Coastal banksia woodland,Xanthorrhoea preissi,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,453.972,NA,1200,13.42036599,29.56208396,3.333333333,0.59,2.678436318,70.14731787,0.090129158,409.1613732,1.016790374
