Region,Site,Species,rep,Code,Origin,Family,Life form,Raunkiaer life form,Longevity,Legume,Root type,Rt tp cat,Root depth (cm),Nut acq strat,Seed mass (g),Soil,Rep,LMA (g/m2),SRL (cm/mg),Height (mm),Aarea,Amass,WUE,Nmass,Narea,PNUE,Pmass,Parea,PPUE
NA,Banksia woodland,Avena barbata,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,37.89,3.76,1640,15.05424618,397.3144942,3.087971275,2.83,1.072287,196.5513399,0.130438983,49.42333069,9.442537062
NA,Banksia woodland,Banksia menziesii,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,272.44,NA,1500,30.61109489,112.3590328,5,1.29,3.514476,121.9400356,0.043749998,119.192494,7.961440439
NA,Banksia woodland,Banksia menziesii,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,261.96,NA,1200,31.81431174,121.4472123,4.746136865,1.28,3.353088,132.8328885,0.041599576,108.97425,9.050245026
NA,Banksia woodland,Banksia menziesii,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,237.81,NA,1100,33.27772903,139.934103,5.732009926,1.05,2.497005,186.578804,0.034365347,81.72423145,12.62305661
NA,Banksia woodland,Banksia menziesii,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,270.57,NA,4000,21.72809047,80.30487664,4.192634561,1.2,3.24684,93.68902275,0.027222223,73.65516934,9.144922355
NA,Banksia woodland,Banksia menziesii,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,272.98,NA,3500,27.62745203,101.2068724,4.48441247,0.98,2.675204,144.5812463,0.025610494,69.91152655,12.25049795
NA,Banksia woodland,Briza maxima,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,52.88,9.05,420,9.71524027,183.7223954,2.636579572,1.56,0.824928,164.8790728,0.093362202,49.36993242,6.100321261
NA,Banksia woodland,Briza maxima,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,66.93,8.18,320,7.820990488,116.8532868,3.815686275,1.26,0.843318,129.8369854,0.093537521,62.60466267,3.872726004
NA,Banksia woodland,Briza maxima,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,53.88,9.74,460,10.00889587,185.7627296,2.131147541,1.61,0.867468,161.5328083,0.069376835,37.38023852,8.300529483
NA,Banksia woodland,Briza maxima,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,59.68,NA,250,12.40141842,207.7985661,2.008253095,2.17,1.295056,134.063591,0.073685424,43.97546116,8.742238536
NA,Banksia woodland,Briza maxima,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,49.27,21.15,350,11.08589912,225.0030265,3.482587065,2.68,1.320436,117.5388945,0.142815465,70.36517962,4.883990555
NA,Banksia woodland,Corymbia callophylla,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,185.3,NA,1700,25.43845869,137.2825618,4.128878282,1.16,2.14948,165.6858504,0.042722279,79.16438385,9.961452123
NA,Banksia woodland,Corymbia callophylla,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,177.8,NA,3500,22.54622563,126.8066683,4.892966361,1.45,2.5781,122.4340246,0.05162074,91.78167538,7.615169276
NA,Banksia woodland,Corymbia callophylla,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,219.1,NA,3000,26.61173853,121.4593269,5.235457064,1.23,2.69493,138.2463884,0.040083733,87.82345845,9.393434385
NA,Banksia woodland,Corymbia callophylla,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,184.29,NA,8000,30.81152086,167.1904111,6.441176471,1.51,2.782779,155.0109772,0.058507855,107.8241263,8.858473326
NA,Banksia woodland,Corymbia callophylla,NA,NA,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,120.17,NA,3500,23.65487869,196.8451252,4.745762712,1.55,1.862635,177.7955969,0.078761338,94.6474995,7.747708532
NA,Banksia woodland,Ehrharta calycina,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,52.1,3.3,920,15.98836968,306.8784968,2.893401015,1.73,0.90133,248.34098,0.080790679,42.091944,11.77516202
NA,Banksia woodland,Ehrharta calycina,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,54.53,1.68,750,19.19138778,351.9418262,3.05856833,1.87,1.019711,263.4858592,0.102705494,56.00530567,10.6227975
NA,Banksia woodland,Ehrharta calycina,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,49.91,2.84,1100,22.72935446,455.4068215,2.633587786,2.25,1.122975,283.3642445,0.080402345,40.12881034,17.55870614
NA,Banksia woodland,Ehrharta calycina,NA,NA,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,48.33,2.26,950,11.40849446,236.0540961,2.641083521,1.72,0.831276,192.1370549,0.085054288,41.10673735,8.603536821
