Species,location_name,vegetation type,Post-fire regeneration,Seedling ecology data,resprouting_capacity,bud_bank_location,post_fire_recruitment
Antirhea tenuiflora,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Archirhodomyrtus beckleri,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Blepharocarya involucrigera,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Callicarpa pedunculata,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Chionanthus ramiflora,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Clematocissus opaca,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Commersonia bartramia,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,"Fire killed, abundant seedlings","Post-fire seedlings, begin producing seed in 9th year when 3 m tall",fire_killed,NA,post_fire_recruitment
Croton triacros,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Cryptocarya corrugata,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Only seedlings observed,Germination after grass layer converted to leaf litter many years after fire ,fire_killed,NA,post_fire_recruitment_absent
Cryptocarya mackinnoniana,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Only seedlings observed,Germination after grass layer converted to leaf litter many years after fire,fire_killed,NA,post_fire_recruitment_absent
Cryptocarya vulgaris,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Decaspermum humile,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Diospyros geminata,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Duboisia myoporoides,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Root coppice; Coppice from base of stem,,resprouts,root_coppice stem_coppice,post_fire_recruitment_absent
Embelia australiana,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Root coppice; Coppice from base of stem,,resprouts,root_coppice stem_coppice,post_fire_recruitment_absent
Endiandra sp.,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Endiandra cowleyana,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Only seedlings observed,Germination after grass layer converted to leaf litter many years after fire,fire_killed,NA,post_fire_recruitment_absent
Endiandra wolfei,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Only seedlings observed,Germination after grass layer converted to leaf litter many years after fire,fire_killed,NA,post_fire_recruitment_absent
Euroschinus falcatus,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,,resprouts,stem_coppice,post_fire_recruitment
Ficus congesta,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Glochidion hylandii,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Glochidion philippicum,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,Post-fire seedlings,resprouts,stem_coppice,post_fire_recruitment
Glochidion sessiliflorum,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,Post-fire seedlings,resprouts,stem_coppice,post_fire_recruitment
Guioa acutifolia,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,"Post-fire seedlings, 33% survive being burnt in their 2nd year",resprouts,stem_coppice,post_fire_recruitment
Guioa lasioneura,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,Post-fire seedlings,resprouts,stem_coppice,post_fire_recruitment
Homalanthus novoguineensis,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Only seedlings observed,Post-fire seedlings,fire_killed,NA,post_fire_recruitment
Jagera pseudorhus,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,Post-fire seedlings,resprouts,stem_coppice,post_fire_recruitment
Lauraceae sp.,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Litsea leefeana,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,Germination after grass layer converted to leaf litter many years after fire,resprouts,stem_coppice,post_fire_recruitment
Maesa dependens,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Mallotus paniculatus,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,Post-fire seedlings,resprouts,stem_coppice,post_fire_recruitment
Melastoma malabathricum,Wet Tropics of north-eastern Australia - rainforest,Rainforest species, Root coppice; Coppice from base of stem; & seedlings,Post-fire seedlings,resprouts,root_coppice stem_coppice,post_fire_recruitment
Melicope elleryana,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,"Post-fire seedlings, 27% survive being burnt in their 2nd year",resprouts,stem_coppice,post_fire_recruitment
Mischocarpus lachnocarpus,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Root coppice; Coppice from base of stem,,resprouts,root_coppice stem_coppice,post_fire_recruitment_absent
Myoporum montanum,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,Germination after grass layer converted to leaf litter many years after fire,resprouts,stem_coppice,post_fire_recruitment
Myristica globosa,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Only seedlings observed,Germination after grass layer converted to leaf litter many years after fire,fire_killed,NA,post_fire_recruitment_absent
Myrsine variabilis,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Neolitsea dealbata,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Polyscias australiana,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,Post-fire seedlings,resprouts,stem_coppice,post_fire_recruitment
Polyscias elegans,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,"Post-fire seedlings, 56% survive being burnt in their 2nd year",resprouts,stem_coppice,post_fire_recruitment
Polyscias willmottii,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,Post-fire seedlings,resprouts,stem_coppice,post_fire_recruitment
Pouteria chartacea,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Psychotria loniceroides,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Psydrax sp.,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Rhodomyrtus macrocarpa,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Root coppice; Coppice from base of stem; & seedlings,Germination after grass layer converted to leaf litter many years after fire,resprouts,root_coppice stem_coppice,post_fire_recruitment_absent
Rhodomyrtus trineura,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,Post-fire & later in fire interval seedlings,resprouts,stem_coppice,post_fire_recruitment
Rubiaceae sp.,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Rubus moluccanus,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Sapinadaceae sp.,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Schizomeria ovata,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,,resprouts,stem_coppice,post_fire_recruitment_absent
Solanum viridifolium,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,"Post-fire seedlings, 29% survive being burnt in their 2nd year",resprouts,stem_coppice,post_fire_recruitment
Syzygium endophloium,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,Post-fire seedlings,resprouts,stem_coppice,post_fire_recruitment
Syzygium oleosum,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,Post-fire seedlings,resprouts,stem_coppice,post_fire_recruitment
Terminalia sp.,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,Post-fire seedlings,resprouts,stem_coppice,post_fire_recruitment
Trema tomentosa,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,"Fire killed, abundant seedlings",Post-fire seedlings,fire_killed,NA,post_fire_recruitment
Wilkiea pubescens,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,Post-fire seedlings,resprouts,stem_coppice,post_fire_recruitment
