species,Primary Fire Response,Seedlings (y/n),Seed Source,Early/ late successional,Root suckers,Rainforest/sclerophyll,Woody/herb,WSRf (y/n) - in rainforest
Eucalyptus racemosa,R (R+S-),n,nil,e,,scl,w,n
Eucalyptus resinifera,R (R+S-),n,nil,e,,scl,w,n
Euphomatia laurina,R (R+S-),n,nil,e,,rf,w,y
Eustrephus latifolius,R (R+S-),n,nil,e,,scl,w,n
Flindersia bennettiana,R (R+S-),n,nil,l,yes,rf,w,y
Gahnia insignis,R (R+S-),n,nil,l,yes,scl,h,y
Guioa semiglauca,R (R+S-),n,nil,e,rare,rf,w,y
Halfordia kendak,R (R+S-),n,nil,l,,rf,w,y
Hedraianthera porphyropetala,R (R+S-),n,nil,l,,rf,w,y
Helicea ferruginea,R (R+S-),n,nil,l,,rf,w,y
Hicksbeachia pinnatifolia,R (R+S-),n,nil,l,,rf,w,y
Hodgkinsonia ovatifolia,R (R+S-),n,nil,l,,rf,w,y
Jagera pseudorhus,R (R+S-),n,nil,e,yes,rf,w,y
Karrabina benthamiana,R (R+S-),n,nil,l,,rf,w,y
Linospadix monostachys,R (R+S-),n,nil,l,,rf,w,y
Litsea austalis,R (R+S-),n,nil,l,yes,rf,w,y
Lomandra spicata,R (R+S-),n,nil,l,,rf,h,y
Melodinus australis,R (R+S-),n,nil,l,,rf,w,y
Mischocarpus australis,R (R+S-),n,nil,l,,rf,w,y
Myrsine subsessilis,R (R+S-),n,nil,l,,rf,w,y
Neolitsea dealbata,R (R+S-),n,nil,e,,rf,w,y
Niemeyera whitei,R (R+S-),n,nil,l,,rf,w,y
Notelaea longifolia,R (R+S-),n,nil,e,,rf,w,y
Olea paniculata,R (R+S-),n,nil,l,,rf,w,y
Palmeria scandens,R (R+S-),n,nil,l,yes,rf,w,y
Pandorea baileyana,R (R+S-),n,nil,l,,rf,w,y
Pararchidendron pruinosum,R (R+S-),n,nil,l,,rf,w,y
Sarcopetalum harveyanum,R (R+S-),n,nil,l,,rf,w,y
Petermannia cirrosa,R (R+S-),n,nil,l,,rf,w,y
Pilidiostigma glabrum,R (R+S-),n,nil,l,,rf,w,y
Pittosporum revolutum,R (R+S-),n,nil,e,yes,rf,w,y
Planchonella australis,R (R+S-),n,nil,l,,rf,w,y
Pseuderantherum variable,R (R+S-),n,nil,e,yes,scl,h,n
Pseudomweinmania lachnocarpa,R (R+S-),n,nil,l,,rf,w,y
Psychotria daphnoides,R (R+S-),n,nil,e,,rf,w,y
Psychotria loniceroides,R (R+S-),n,nil,e,,rf,w,y
Psychotria simmondsiana,R (R+S-),n,nil,l,,rf,w,y
Rhodamnia rubescens,R (R+S-),n,nil,e,yes,rf,w,y
Rhodomyrtus psidioides,R (R+S-),n,nil,e,yes,rf,w,y
Ripogonum album,R (R+S-),n,nil,l,,rf,w,y
Ripogonum ellseyanum,R (R+S-),n,nil,l,,rf,w,y
Scolopia braunii,R (R+S-),n,nil,l,,rf,w,y
Sloanea australis,R (R+S-),n,nil,l,,rf,w,y
Stenocarpus salignus,R (R+S-),n,nil,l,,rf,w,y
Stenocarpus sinuatus,R (R+S-),n,nil,l,yes,rf,w,y
Syncarpia glomulifera,R (R+S-),n,nil,e,,scl,w,y
Synoum glandulosum,R (R+S-),n,nil,e,,rf,w,y
Tasmania insipida,R (R+S-),n,nil,l,,rf,w,y
Tripladenia cunninghamiana,R (R+S-),n,nil,l,,rf,h,y
Tristaniopsis collina,R (R+S-),n,nil,l,,rf,w,y
Triunea youngiae,R (R+S-),n,nil,l,yes,rf,w,y
Trophis scandens,R (R+S-),n,nil,l,,rf,w,y
Uromyrtus australis,R (R+S-),n,nil,l,yes,rf,w,y
Wilkea huegeliana,R (R+S-),n,nil,l,,rf,w,y
Xanthorrhoea latifolia,R (R+S-),n,nil,e,,scl,w,n
Acacia binervata,OSR(R-S+),y,soil,e,,scl,w,n
Acacia melanoxylon,OSR(R-S+),y,soil,e,,scl,w,y
Acacia myrtifolia,OSR(R-S+),y,soil,e,,scl,w,n
Acacia obtusifolia,OSR(R-S+),y,soil,e,,scl,w,n
Acacia orites,OSR(R-S+),y,soil,e,,scl,w,y
Acacia ulicifolia,OSR(R-S+),y,soil,e,,scl,w,n
Acacia viscidula,OSR(R-S+),y,soil,e,,scl,w,n
Allocasuarina littoralis,OSR(R-S+),y,canopy,e,,scl,w,n
Alphitonia petrei,OSR(R-S+),y,soil,e,,scl,w,y
Alpinea caerulea,OSR(R-S+),y,soil,e,,scl,h,y
Asterotricha latifolia,OSR(R-S+),y,soil,e,,scl,w,n
Billardiera rubens,OSR(R-S+),y,soil,e,,scl,w,y
Callicarpia pedunculata,OSR(R-S+),y,soil,e,,scl,w,y
Callistemon comboynensis,OSR(R-S+),y,canopy,e,,scl,w,n
Callitris macleayana,OSR(R-S+),y,canopy,l,,rf,w,n
Polymeria calycina,OSR(R-S+),y,soil,e,,scl,h,n
Cassytha glabella,OSR(R-S+),y,soil,e,,scl,h,n
Claoxylon australe,OSR(R-S+),y,soil,e,,scl,w,y
Clematis glycinoides,OSR(R-S+),y,soil,e,,scl,w,y
Commelina cyanea,OSR(R-S+),y,soil,e,,scl,h,y
Commersonia breviseta,OSR(R-S+),y,soil,e,,scl,w,n
Commersonia bartramii,OSR(R-S+),y,soil,e,,scl,w,y
Cyperus bowmanii,OSR(R-S+),y,soil,e,,scl,h,n
Cyperus enervis,OSR(R-S+),y,soil,e,,scl,h,n
Cyperus tetraphyllus,OSR(R-S+),y,soil,e,,scl,h,y
Cyperus gracilis,OSR(R-S+),y,soil,e,,scl,h,y
Dianella caerulea,OSR(R-S+),y,soil,e,,scl,h,y
Dodonaea triquetra,OSR(R-S+),y,soil,e,,scl,w,y
Entolasia stricta,OSR(R-S+),y,soil,e,,scl,h,y
Eragrostis brownii,OSR(R-S+),y,soil,e,,scl,h,n
Euchiton involucratus,OSR(R-S+),y,wind?,e,,scl,h,n
Gahnia melanocarpa,OSR(R-S+),y,soil,e,,scl,h,y
Gahnia aspera,OSR(R-S+),y,soil,e,,scl,h,y
Glycine clandestina,OSR(R-S+),y,soil,e,,scl,w,n
Gonocarpus tetragynus,OSR(R-S+),y,soil,e,,scl,h,n
Gonocarpus teucrioides,OSR(R-S+),y,soil,e,,scl,h,y
Hibbertia aspera,OSR(R-S+),y,soil,e,,scl,w,n
Hibbertia dentata,OSR(R-S+),y,soil,e,,scl,w,y
Homalanthus populifolius,OSR(R-S+),y,soil,e,,scl,w,y
Hovea acutifolia,OSR(R-S+),y,soil,e,,scl,w,y
Hydrocotyle pedicellata,OSR(R-S+),y,soil,e,,scl,h,y
Kennedia rubicunda,OSR(R-S+),y,soil,e,,scl,w,y
Lepidosperma laterale,OSR(R-S+),y,soil,e,,scl,h,y
Lepidosperma longitudinale,OSR(R-S+),y,soil,e,,scl,h,y
Leptospermum petersonii,OSR(R-S+),y,soil,e,,scl,w,n
Leptospermum variable,OSR(R-S+),y,canopy,e,,scl,w,n
Lobelia trigonocaulis,OSR(R-S+),y,soil,e,,scl,h,y
Logania albiflora,OSR(R-S+),y,soil,e,,scl,w,y
Macaranga tanarius,OSR(R-S+),y,soil,e,,scl,w,y
Micrantheum ericoides,OSR(R-S+),y,soil,e,,scl,w,n
Microlaena stipoides,OSR(R-S+),y,wind?,e,,scl,h,n
Muehlenbeckia gracillima,OSR(R-S+),y,soil,e,,scl,w,n
Nematolepis squamea,OSR(R-S+),y,soil,e,,scl,w,y
Olearia heterocarpa,OSR(R-S+),y,soil,e,,scl,w,y
Opercularia dyphyla,OSR(R-S+),y,soil,e,,scl,h,n
Oplismenus imbecilis,OSR(R-S+),y,soil,e,,scl,h,y
Oxalis chnoodes,OSR(R-S+),y,soil,e,,scl,h,y
Ozothamnus diosmifolius,OSR(R-S+),y,wind?,e,,scl,w,y
Parsonsia straminea,OSR(R-S+),y,soil,e,,scl,w,y
Paspalidium distans,OSR(R-S+),y,soil,e,,scl,h,n
Patersonia glabrata,OSR(R-S+),y,soil,e,,scl,h,n
Persoonia adenanthera,OSR(R-S+),y,soil,e,,scl,w,y
Leionema elatius,OSR(R-S+),y,soil,e,,scl,w,y
Pimelea latifolia ssp. altior,OSR(R-S+),y,soil,e,,scl,w,y
Pimelea linifolia,OSR(R-S+),y,soil,e,,scl,w,n
Pittosporum undulatum,OSR(R-S+),y,soil,e,,scl,w,y
Platysace sp. aff. lanceolata,OSR(R-S+),y,soil,e,,scl,w,n
Polyscias sambuccifolia,OSR(R-S+),y,soil,e,,scl,w,y
Polyscias murrayi,OSR(R-S+),y,soil,e,,scl,w,y
Pomaderris argyrophylla,OSR(R-S+),y,soil,e,,scl,w,y
Pomax umbellata,OSR(R-S+),y,soil,e,,scl,h,n
Prostanthera scutellarioides,OSR(R-S+),y,soil,e,,scl,w,n
Pultenaea retusa,OSR(R-S+),y,soil,e,,scl,w,n
Rorippa sp. aff. dyctiosperma,OSR(R-S+),y,soil,e,,scl,h,y
Rubus rosiifolius,OSR(R-S+),y,soil,e,,scl,w,y
Scaevola sp. aff. hookeri,OSR(R-S+),y,soil,e,,scl,h,n
Schoenus melanostachys,OSR(R-S+),y,soil,e,,scl,h,n
Senna acclinus,OSR(R-S+),y,soil,e,,scl,w,y
Seringia arborescens,OSR(R-S+),y,soil,e,,scl,w,y
Solanum vescum,OSR(R-S+),y,soil,e,,scl,w,y
Solanum aviculare,OSR(R-S+),y,soil,e,,scl,w,y
Solanum ditrichus,OSR(R-S+),y,soil,e,,scl,w,y
Solanum inaequilateratum,OSR(R-S+),y,soil,e,,scl,w,y
Solanum stelligerum,OSR(R-S+),y,soil,e,,scl,w,n
Streptothamnus moorei,OSR(R-S+),y,soil,l,,rf,w,y
Tetratheca thymifolia,OSR(R-S+),y,soil,e,,scl,w,n
Trema tomentosa,OSR(R-S+),y,soil,e,,scl,w,y
Trichosanthes subvelutina,OSR(R-S+),y,soil,e,,scl,w,y
Urtica incisa,OSR(R-S+),y,soil,e,,scl,h,y
Viola silicestrus,OSR(R-S+),y,soil,e,,scl,h,y
Zehneria cunninghamii,OSR(R-S+),y,soil,e,,scl,h,y
Zieria smithii,OSR(R-S+),y,soil,e,,scl,w,n
Zieria arborescens,OSR(R-S+),y,soil,e,,scl,w,y
Zieria hindii,OSR(R-S+),y,soil,e,,scl,w,n
