Family,Genera,Species,Sex ('D'ioecious/'N'on-'D'ioecious),Growth Form,Binary GF,Pollination,pollination_new,Binary Pollination,Seed dispersal,seed_dispersal_new,Binary Seed Dispersal,Growth Form Reference,Pollination Reference,Seed Dispersal Reference,dispersal_syndrome,dispersers,dispersal_unit,latitude (deg),longitude (deg),Sex,Height (cm),Diameter (cm),Site,Date,replicates
Aizoaceae,Gunniopsis,Gunniopsis papillata,ND,Perennial,Non-woody,Insect (refs for genus),insect,Biotic,Triggered by moisture/passive (ref for family),passive moisture,Abiotic,Flora of South Australia Online 4th Edition,"Chinnock, R. J. 1983. The Australian genus Gunniopsis Pax (Aizoaceae). J. Adelaide Bot. Gard. 6 (2): 133-179.","Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",barochory,passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,Gunniopsis,Gunniopsis quadrifida,ND,Perennial,Woody,Insect (refs for genus),insect,Biotic,Triggered by moisture/passive (ref for family),passive moisture,Abiotic,Flora of South Australia Online 4th Edition,"Chinnock, R. J. 1983. The Australian genus Gunniopsis Pax (Aizoaceae). J. Adelaide Bot. Gard. 6 (2): 133-179.","Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",barochory,passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,Gunniopsis,Gunniopsis septifraga,ND,Perennial,Non-woody,Insect (refs for genus),insect,Biotic,Triggered by moisture/passive (ref for family),passive moisture,Abiotic,Flora of South Australia Online 4th Edition,"Chinnock, R. J. 1983. The Australian genus Gunniopsis Pax (Aizoaceae). J. Adelaide Bot. Gard. 6 (2): 133-179.","Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",barochory,passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,Gunniopsis,Gunniopsis tenuifolia,ND,Perennial,Non-woody,Insect (refs for genus),insect,Biotic,Triggered by moisture/passive (ref for family),passive moisture,Abiotic,Flora of South Australia Online 4th Edition,"Chinnock, R. J. 1983. The Australian genus Gunniopsis Pax (Aizoaceae). J. Adelaide Bot. Gard. 6 (2): 133-179.","Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",barochory,passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,Gunniopsis,Gunniopsis zygophylloides,ND,Perennial,Woody,Insect (refs for genus),insect,Biotic,Triggered by moisture/passive (ref for family),passive moisture,Abiotic,Flora of South Australia Online 4th Edition,"Chinnock, R. J. 1983. The Australian genus Gunniopsis Pax (Aizoaceae). J. Adelaide Bot. Gard. 6 (2): 133-179.","Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",barochory,passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,Hypertelis,Hypertelis cerviana,ND,Herb,Non-woody,"Insect (refs for family, also morphology)",insect,Biotic,Triggered by moisture/passive (ref for family),passive moisture,Abiotic,Flora of South Australia Online 4th Edition,"Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.","Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",barochory,passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,Sarcozona,Sarcozona bicarinata,ND,Shrub,Woody,"Insect (refs for genus, family, also morphology)",insect,Biotic,Triggered by moisture/passive (ref for family),passive moisture,Abiotic,Flora of South Australia Online 4th Edition,"https://florabase.dpaw.wa.gov.au/browse/profile/21406, Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.","Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",barochory,passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,Sarcozona,Sarcozona praecox,ND,Shrub,Woody,"Insect (refs for genus, family, also morphology)",insect,Biotic,Triggered by moisture/passive (ref for family),passive moisture,Abiotic,Flora of South Australia Online 4th Edition,"https://florabase.dpaw.wa.gov.au/browse/profile/21406, Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.","Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",barochory,passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,Tetragonia,Tetragonia eremaea,ND,Herb,Non-woody,"Insect (refs for family, also morphology)",insect,Biotic,Water (ref for genus),water,Abiotic,Flora of South Australia Online 4th Edition,"Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.","Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",hydrochory,water,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,Tetragonia,Tetragonia implexicoma,ND,Shrub,Woody,"Insect (refs for family, also morphology)",insect,Biotic,Water (ref for genus),water,Abiotic,Flora of South Australia Online 4th Edition,"Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.","Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",hydrochory,water,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,Tetragonia,Tetragonia moorei,ND,Herb,Non-woody,"Insect (refs for family, also morphology)",insect,Biotic,Water (ref for genus),water,Abiotic,Flora of South Australia Online 4th Edition,"Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.","Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",hydrochory,water,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,Tetragonia,Tetragonia tetragonoides,ND,Herb,Non-woody,"Insect (refs for family, also morphology)",insect,Biotic,Water (ref for genus),water,Abiotic,Flora of South Australia Online 4th Edition,"Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.","Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",hydrochory,water,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,Trianthema,Trianthema pilosum,ND,Herb,Non-woody,"Insect (refs for family, also morphology)",insect,Biotic,Triggered by moisture/passive (ref for family),passive moisture,Abiotic,Flora of South Australia Online 4th Edition,"https://florabase.dpaw.wa.gov.au/browse/profile/22398, Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.","Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",barochory,passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,Trianthema,Trianthema triquetrum,ND,Herb,Non-woody,"Insect (refs for family, also morphology)",insect,Biotic,Triggered by moisture/passive (ref for family),passive moisture,Abiotic,Flora of South Australia Online 4th Edition,"https://florabase.dpaw.wa.gov.au/browse/profile/22398, Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.","Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",barochory,passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aizoaceae,Zaleya,Zaleya galericulata,ND,Herb,Non-woody,"Insect (refs for family, also morphology)",insect,Biotic,Triggered by moisture/passive (ref for family),passive moisture,Abiotic,Flora of South Australia Online 4th Edition,"https://florabase.dpaw.wa.gov.au/browse/profile/21408, Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.","Hartmann HEK (1993) Aizoaceae. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",barochory,passive,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alismataceae,Alisma,Alisma plantago-aquatifa,ND,Perennial,Non-woody,Insects (ref for species),insect,Biotic,Adhesion and water (ref for family),water adhesion,Abiotic,Flora of South Australia Online 4th Edition,"Vislobokov, NA, Kuzmicheva, EA (2002) Flowering biology of Alisma plantago-aquatica (Alismataceae). Doklady Biological Sciences 506, 172 - 178. Haynes RR, Les DH, Holm-Nielsen (1998) Alismataceae. In 'The Families and Genera of Vascular Plants - Flowering Plants. Monocotyledons. (Eds K Kubitzki) Vol. 4, 11 - 18.","Haynes RR, Les DH, Holm-Nielsen (1998) Alismataceae. In 'The Families and Genera of Vascular Plants - Flowering Plants. Monocotyledons. (Eds K Kubitzki) Vol. 4, 11 - 18.",hydrochory epizoochory,water,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alismataceae,Damasonium,Damasonium minus,ND,Perennial,Non-woody,Insects and wind (ref for genus),insect wind,Biotic,"Biotic and abiotic (ref for family). Stated that the dispersal mechanisms are not well known, however the morphology of Damasonium suggests abiotic dispersal.",biotic abiotic,Abiotic,Flora of South Australia Online 4th Edition,"Haynes RR, Les DH, Holm-Nielsen (1998) Alismataceae. In 'The Families and Genera of Vascular Plants - Flowering Plants. Monocotyledons. (Eds K Kubitzki) Vol. 4, 11 - 18.","Haynes RR, Les DH, Holm-Nielsen (1998) Alismataceae. In 'The Families and Genera of Vascular Plants - Flowering Plants. Monocotyledons. (Eds K Kubitzki) Vol. 4, 11 - 18.",zoochory,animals abiotic,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amaranthaceae,Alternanthera,Alternanthera denticulata,ND,Herb,Non-woody,Insects and wind (ref for genus),insect wind,Abiotic,Abiotic (ref for family),biotic abiotic,Abiotic,Flora of South Australia Online 4th Edition,"Townsend CC (1993) Amaranthus. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin. Shepherd KA, Waycott M, Calladine A (2004) Radiation of the Australian Salicornioideae (Chenopodiaceae) - Based on evidence from nuclear and chloroplast DNA sequences. American Journal of Botany 91, 1387-1397., Blackwell WH, Powell MJ (1981) A preliminary note on pollination in the Chenopodiaceae. Annals of the Missouri Botanical Gardens 68, 524-526.","Townsend CC (1993) Amaranthus. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",zoochory,animals abiotic,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amaranthaceae,Alternanthera,Alternanthera nana,ND,Herb,Non-woody,Insects and wind (ref for genus),insect wind,Abiotic,Abiotic (ref for family),biotic abiotic,Abiotic,Flora of South Australia Online 4th Edition,"Townsend CC (1993) Amaranthus. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin. Shepherd KA, Waycott M, Calladine A (2004) Radiation of the Australian Salicornioideae (Chenopodiaceae) - Based on evidence from nuclear and chloroplast DNA sequences. American Journal of Botany 91, 1387-1397., Blackwell WH, Powell MJ (1981) A preliminary note on pollination in the Chenopodiaceae. Annals of the Missouri Botanical Gardens 68, 524-526.","Townsend CC (1993) Amaranthus. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",zoochory,animals abiotic,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amaranthaceae,Alternanthera,Alternanthera nodiflora,ND,Herb,Non-woody,Insects and wind (ref for genus),insect wind,Abiotic,Abiotic (ref for family),biotic abiotic,Abiotic,Flora of South Australia Online 4th Edition,"Townsend CC (1993) Amaranthus. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin. Shepherd KA, Waycott M, Calladine A (2004) Radiation of the Australian Salicornioideae (Chenopodiaceae) - Based on evidence from nuclear and chloroplast DNA sequences. American Journal of Botany 91, 1387-1397., Blackwell WH, Powell MJ (1981) A preliminary note on pollination in the Chenopodiaceae. Annals of the Missouri Botanical Gardens 68, 524-526.","Townsend CC (1993) Amaranthus. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",zoochory,animals abiotic,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amaranthaceae,Alternanthera,Althernantera angustifolia,ND,Herb,Non-woody,Insects and wind (ref for genus),insect wind,Abiotic,Abiotic (ref for family),biotic abiotic,Abiotic,Flora of South Australia Online 4th Edition,"Townsend CC (1993) Amaranthus. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin. Shepherd KA, Waycott M, Calladine A (2004) Radiation of the Australian Salicornioideae (Chenopodiaceae) - Based on evidence from nuclear and chloroplast DNA sequences. American Journal of Botany 91, 1387-1397., Blackwell WH, Powell MJ (1981) A preliminary note on pollination in the Chenopodiaceae. Annals of the Missouri Botanical Gardens 68, 524-526.","Townsend CC (1993) Amaranthus. In 'The Families and Genera of Vascular Plants. Vol. II Flowering Plants . Dicotyledons' Eds K Kubitzki, JG Rohwer, V Bittrich, Springer-Verlag, Heidelburg, Berlin.",zoochory,animals abiotic,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amaranthaceae,Amaranthus,Amaranthus centralis,ND,Herb,Non-woody,Wind,wind,Abiotic,"Water and attached to animals, ingestion. Seeds can float for up to 10 days without waterlogging, but can also be fed to captive ducks and remain viable after gut passage, sufficient for the birds to fly great distances. I've selected abiotic, as this appears to make the most sense due to the aquatic habitat.",ingest water biotic abiotic attach bird gut,Abiotic,Flora of South Australia Online 4th Edition,"Liu J, Davis AS, Tranel PJ (2012) Pollenation biology and dispersal dynamics of waterhemp (Amaranthus tuberculatus). Weed Science 60(3), 416 - 422.","Sauer JD (1972) The dioecious amaranths: A new species name and major range extensions. Madrono 21(6), 426 - 434.",endozoochory hydrochory zoochory epizoochory,vertebrates water animals abiotic birds,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amaranthaceae,Amaranthus,Amaranthus cuspidifolius,ND,Herb,Non-woody,Wind,wind,Abiotic,"Water and attached to animals, ingestion. Seeds can float for up to 10 days without waterlogging, but can also be fed to captive ducks and remain viable after gut passage, sufficient for the birds to fly great distances. I've selected abiotic, as this appears to make the most sense due to the aquatic habitat.",ingest water biotic abiotic attach bird gut,Abiotic,Flora of South Australia Online 4th Edition,"Liu J, Davis AS, Tranel PJ (2012) Pollenation biology and dispersal dynamics of waterhemp (Amaranthus tuberculatus). Weed Science 60(3), 416 - 422.","Sauer JD (1972) The dioecious amaranths: A new species name and major range extensions. Madrono 21(6), 426 - 434.",endozoochory hydrochory zoochory epizoochory,vertebrates water animals abiotic birds,NA,NA,NA,NA,NA,NA,NA,NA,NA
