Location,Vegetation Class,plant_growth_form,Key Indicator Species,Fire Response,Juvenile Period (years)
Avon Wheatbelt 1,Shrubland,Shrub,Allocasuarina acutivalvis,?,?
Avon Wheatbelt 1,Shrubland,Shrub,Allocasuarina campestris,OS,5
Avon Wheatbelt 1,Shrubland,Shrub,Allocasuarina huegeliana,OS,5
Avon Wheatbelt 1,Shrubland,Shrub,Banksia audax,OS?/RS bs,3
Avon Wheatbelt 1,Shrubland,Shrub,Callitris preissii,?,?
Avon Wheatbelt 1,Shrubland,Shrub,Calothamnus quadrifidus,OS?,3
Avon Wheatbelt 1,Shrubland,Shrub,Dryandra cirsioides,SS,6
Avon Wheatbelt 1,Shrubland,Shrub,Grevillea didymobotrya,?,6
Avon Wheatbelt 1,Shrubland,Shrub,Hakea circumalata,?,?
Avon Wheatbelt 1,Shrubland,Shrub,Hakea falcata,OS,6
Avon Wheatbelt 1,Shrubland,Shrub,Hakea gilbertii,?,?
Avon Wheatbelt 1,Shrubland,Shrub,Hakea multilineata,OS,5
Avon Wheatbelt 1,Shrubland,Shrub,Hakea subsulcata,?,6
Avon Wheatbelt 1,Shrubland,Shrub,Isopogon teretifolius,?,?
Avon Wheatbelt 1,Shrubland,Shrub,Leptopspermum erubescens,RS bs,4
Avon Wheatbelt 1,Shrubland,Shrub,Melaleuca cordata,?,6
Avon Wheatbelt 1,Shrubland,Shrub,Melaleuca lateriflora,?,?
Avon Wheatbelt 1,Shrubland,Shrub,Melaleuca uncinata,RS bs,6
Avon Wheatbelt 1,Shrubland,Shrub,Xylomelum angustifolium,?,?
Avon Wheatbelt 1,Shrub Heath,Mallee,Eucalyptus burracoppinensis,RS?,?
Avon Wheatbelt 1,Shrub Heath,Mallee,Eucalyptus leptopoda,RS?,?
Avon Wheatbelt 1,Shrub Heath,Shrub,Adenanthos argyreus,?,?
Avon Wheatbelt 1,Shrub Heath,Shrub,Actinostrobus arenarius,?,?
Avon Wheatbelt 1,Shrub Heath,Shrub,Allocasuarina acutivalvis,?,?
Avon Wheatbelt 1,Shrub Heath,Shrub,Allocasuarina campestris,OS,5
Avon Wheatbelt 1,Shrub Heath,Shrub,Allocasuarina huegeliana,OS,5
Avon Wheatbelt 1,Shrub Heath,Shrub,Allocasuarina humilis,RS bs,3
Avon Wheatbelt 1,Shrub Heath,Shrub,Banksia attenuata,RS ep,4
Avon Wheatbelt 1,Shrub Heath,Shrub,Banksia audax,OS?/RS bs,3
Avon Wheatbelt 1,Shrub Heath,Shrub,Banksia menziesii,RS ep,2
Avon Wheatbelt 1,Shrub Heath,Shrub,Banksia prionotes,OS,3
Avon Wheatbelt 1,Shrub Heath,Shrub,Beaufortia micrantha,OS,6
Avon Wheatbelt 1,Shrub Heath,Shrub,Calothamnus lateralis,OS?,2
Avon Wheatbelt 1,Shrub Heath,Shrub,Calothamnus quadrifidus,OS?,3
Avon Wheatbelt 1,Shrub Heath,Shrub,Dryandra cirsioides,SS,6
Avon Wheatbelt 1,Shrub Heath,Shrub,Eremaea pauciflora,SS,4
Avon Wheatbelt 1,Shrub Heath,Shrub,Grevillea excelsior,SS?,?
Avon Wheatbelt 1,Shrub Heath,Shrub,Hakea multilineata,OS,5
Avon Wheatbelt 1,Shrub Heath,Shrub,Leptopspermum erubescens,RS bs,4
Avon Wheatbelt 1,Shrub Heath,Shrub,Nuytsia floribunda,RS ep,2
Avon Wheatbelt 1,Shrub Heath,Shrub,Santalum acuminatum,SS?,8
Avon Wheatbelt 1,Shrub Heath,Shrub,Verticordia monadelpha,?,?
Avon Wheatbelt 1,Shrub Heath,Shrub,Verticordia nitens,SS,?
Avon Wheatbelt 1,Shrub Heath,Shrub,Verticordia plumosa,?,?
Avon Wheatbelt 1,Shrub Heath,Shrub,Xylomelum angustifolium,?,?
Avon Wheatbelt 1,Succulent Steppe,Tree,Eucalyptus kondininensis,OS/RS bs,4
Avon Wheatbelt 1,Succulent Steppe,Tree,Eucalyptus loxophleba,OS/RS bs,4
Avon Wheatbelt 1,Succulent Steppe,Tree,Casuarina obesa,?,5
Avon Wheatbelt 1,Succulent Steppe,Shrub,Acacia colletioides,SS?,?
Avon Wheatbelt 1,Succulent Steppe,Shrub,Acacia ligulata,SS?,?
Avon Wheatbelt 1,Succulent Steppe,Shrub,Melaleuca hamulosa,RS bs,?
Avon Wheatbelt 1,Succulent Steppe,Shrub,Melaleuca thyoides,RS bs,?
Avon Wheatbelt 1,Succulent Steppe,Shrub,Melaleuca uncinata,RS bs,6
Avon Wheatbelt 1,Mosaic,Tree,Eucalyptus gracilis,?,?
Avon Wheatbelt 1,Mosaic,Tree,Eucalyptus loxophleba,OS/RS bs,4
Avon Wheatbelt 1,Mosaic,Tree,Eucalyptus kondininensis,OS/RS bs,4
Avon Wheatbelt 1,Mosaic,Tree,Eucalyptus occidentalis,RS ep,4
Avon Wheatbelt 1,Mosaic,Tree,Eucalyptus salmonophloia,OS/RS ep,5
Avon Wheatbelt 1,Mosaic,Tree,Eucalyptus salubris,OS/RS?,?
Avon Wheatbelt 1,Mosaic,Tree,Eucalyptus sheathiana,RS?,?
Avon Wheatbelt 1,Mosaic,Shrub,Acacia multispicata,SS,5
Avon Wheatbelt 1,Mosaic,Shrub,Melaleuca hamulosa,?,?
Avon Wheatbelt 1,Mosaic,Shrub,Melaleuca uncinata,RS bs,6
Avon Wheatbelt 1,Rock Outcrops,Tree,Eucalyptus caesia,RS bs,5
Avon Wheatbelt 1,Rock Outcrops,Tree,Eucalyptus crucis,?,?
Avon Wheatbelt 1,Rock Outcrops,Tree,Eucalyptus loxophleba,OS/RS bs,4
Avon Wheatbelt 1,Rock Outcrops,Shrub,Acacia acuminata,SS/RS bs,5
Avon Wheatbelt 1,Rock Outcrops,Shrub,Acacia lasiocalyx,SS?,?
Avon Wheatbelt 1,Rock Outcrops,Shrub,Allocasuarina campestris,OS/SS,5
Avon Wheatbelt 1,Rock Outcrops,Shrub,Allocasuarina huegeliana,OS/SS,5
Avon Wheatbelt 1,Rock Outcrops,Shrub,Calothamnus quadrifidus,RS bs,3
Avon Wheatbelt 1,Rock Outcrops,Shrub,Calytrix angulata,?,?
Avon Wheatbelt 1,Rock Outcrops,Shrub,Gastrolobium spinosum,SS,3
Avon Wheatbelt 1,Rock Outcrops,Shrub,Grevillea paniculata,?,4
Avon Wheatbelt 1,Rock Outcrops,Shrub,Hakea petiolaris,OS?,4
Avon Wheatbelt 1,Rock Outcrops,Shrub,Hakea preissii,OS?,?
Avon Wheatbelt 1,Rock Outcrops,Shrub,Kunzea pulchella,OS?,3
Avon Wheatbelt 1,Rock Outcrops,Shrub,Leptospermum erubescens,RS bs,4
Avon Wheatbelt 1,Rock Outcrops,Shrub,Melaleuca fulgens,?,4
Avon Wheatbelt 1,Rock Outcrops,Shrub,Melaleuca lateriflora,?,?
Avon Wheatbelt 1,Rock Outcrops,Shrub,Melaleuca radula,RS bs,3
Avon Wheatbelt 1,Rock Outcrops,Shrub,Melaleuca uncinata,RS bs?,6
Avon Wheatbelt 1,Rock Outcrops,Shrub,Santalum acuminatum,SS?,8
Avon Wheatbelt 1,Rock Outcrops,Shrub,Thryptomene australis,RS?,?
Avon Wheatbelt 1,Rock Outcrops,Shrub,Verticordia preissii,?,?
Avon Wheatbelt 2,Woodland,Tree,Allocasuarina huegeliana,OS,5
Avon Wheatbelt 2,Woodland,Tree,Allocasuarina obesa,?,5
Avon Wheatbelt 2,Woodland,Tree,Corymbia calophylla,RS ep,4
Avon Wheatbelt 2,Woodland,Tree,Eucalyptus accedens,RS bs,4
Avon Wheatbelt 2,Woodland,Tree,Eucalyptus astringens,OS,12
Avon Wheatbelt 2,Woodland,Tree,Eucalyptus longicornis,OS/RS?,?
Avon Wheatbelt 2,Woodland,Tree,Eucalyptus loxophleba,OS/RS bs,4
Avon Wheatbelt 2,Woodland,Tree,Eucalyptus rudis,RS ep,4
Avon Wheatbelt 2,Woodland,Tree,Eucalyptus salmonophloia,OS/RS ep,5
Avon Wheatbelt 2,Woodland,Tree,Eucalyptus salubris,OS/RS ep?,?
Avon Wheatbelt 2,Woodland,Tree,Eucalyptus wandoo,OS/RS ep,4
Avon Wheatbelt 2,Woodland,Shrub,Acacia acuminata,SS/RS bs,5
Avon Wheatbelt 2,Woodland,Shrub,Acacia microbotrya,SS,4
Avon Wheatbelt 2,Woodland,Shrub,Acacia pulchella,SS,5
Avon Wheatbelt 2,Woodland,Shrub,Astroloma pallidum,RS bs,2
Avon Wheatbelt 2,Woodland,Shrub,Boronia capitata,SS?,?
Avon Wheatbelt 2,Woodland,Shrub,Calothamnus planifolius,RS bs,5
Avon Wheatbelt 2,Woodland,Shrub,Dryandra armata,RS bs/SS,4
Avon Wheatbelt 2,Woodland,Shrub,Dryandra sessilis,OS,2
Avon Wheatbelt 2,Woodland,Shrub,Grevillea huegelii,?,?
Avon Wheatbelt 2,Woodland,Shrub,Hakea prostrate,RS bs,3
Avon Wheatbelt 2,Woodland,Shrub,Hovea chorizemifolia,RS bs/SS?,2
Avon Wheatbelt 2,Woodland,Shrub,Melaleuca lateriflora,OS/RS?,?
Avon Wheatbelt 2,Woodland,Shrub,Melaleuca pauperiflora,?,?
Avon Wheatbelt 2,Woodland,Shrub,Santalum acuminatum,SS,8
Avon Wheatbelt 2,Woodland,Shrub,Santalum murrayanum,SS?,?
Avon Wheatbelt 2,Woodland,Shrub,Templetonia sulcata,SS?,?
Avon Wheatbelt 2,Low Woodland,Tree,Acacia acuminata,SS/RS bs,5
Avon Wheatbelt 2,Low Woodland,Tree,Acacia lasiocalyx,SS?,?
Avon Wheatbelt 2,Low Woodland,Tree,Allocasuarina huegeliana,OS,5
Avon Wheatbelt 2,Low Woodland,Tree,Eucalyptus loxophleba,OS/RS bs,4
Avon Wheatbelt 2,Low Woodland,Shrub,Acacia microbotrya,SS,4
Avon Wheatbelt 2,Low Woodland,Shrub,Allocasuarina campestris,OS,5
Avon Wheatbelt 2,Low Woodland,Shrub,Dryandra sessilis,OS,2
Avon Wheatbelt 2,Low Woodland,Shrub,Hakea decurva,OS?,?
Avon Wheatbelt 2,Low Woodland,Shrub,Leptospermum erubescens,RS bs,4
Avon Wheatbelt 2,Shrubland,Mallee,Eucalyptus eremophila,RS bs,?
Avon Wheatbelt 2,Shrubland,Mallee,Eucalyptus gardneri,RS?,5
Avon Wheatbelt 2,Shrubland,Mallee,Eucalyptus loxophleba,OS/RS bs,4
Avon Wheatbelt 2,Shrubland,Mallee,Eucalyptus wandoo,OS/RS ep,4
Avon Wheatbelt 2,Shrubland,Shrub,Acacia acuminata,SS/RS bs,5
Avon Wheatbelt 2,Shrubland,Shrub,Allocasuarina acutivalvis,?,?
Avon Wheatbelt 2,Shrubland,Shrub,Allocasuarina campestris,OS,5
Avon Wheatbelt 2,Shrubland,Shrub,Allocasuarina huegeliana,OS,5
Avon Wheatbelt 2,Shrubland,Shrub,Calothamnus quadrifidus,OS?,3
Avon Wheatbelt 2,Shrubland,Shrub,Dryandra nobilis,SS,5
Avon Wheatbelt 2,Shrubland,Shrub,Melaleuca uncinata,RS bs,6
Avon Wheatbelt 2,Shrub Heath,Mallee,Eucalyptus todtiana,RS ep,4
Avon Wheatbelt 2,Shrub Heath,Shrub,Acacia lasiocarpa,SS,3
Avon Wheatbelt 2,Shrub Heath,Shrub,Actinostrobus arenarius,?,?
Avon Wheatbelt 2,Shrub Heath,Shrub,Allocasuarina acutivalvis,?,?
Avon Wheatbelt 2,Shrub Heath,Shrub,Andersonia simplex,SS?,4
Avon Wheatbelt 2,Shrub Heath,Shrub,Banksia attenuata,RS ep,4
Avon Wheatbelt 2,Shrub Heath,Shrub,Banksia menziesii,RS ep,2
Avon Wheatbelt 2,Shrub Heath,Shrub,Banksia prionotes,OS,3
Avon Wheatbelt 2,Shrub Heath,Shrub,Calothamnus quadrifidus,OS?,3
Avon Wheatbelt 2,Shrub Heath,Shrub,Calothamnus sanguineus,RS bs,3
Avon Wheatbelt 2,Shrub Heath,Shrub,Eremaea pauciflora,SS,4
Avon Wheatbelt 2,Shrub Heath,Shrub,Leptopspermum erubescens,RS bs,4
Avon Wheatbelt 2,Shrub Heath,Shrub,Leucopogon serratifolium,RS bs,2
Avon Wheatbelt 2,Shrub Heath,Shrub,Petrophile brevifolia,?,?
Avon Wheatbelt 2,Shrub Heath,Shrub,Xylomelum angustifolium,?,?
Avon Wheatbelt 2,Succulent Steppe,Tree,Casuarina obesa,?,5
Avon Wheatbelt 2,Succulent Steppe,Tree,Eucalyptus kondininensis,OS/RS bs,4
Avon Wheatbelt 2,Succulent Steppe,Tree,Eucalyptus loxophleba,OS/RS bs,4
Avon Wheatbelt 2,Succulent Steppe,Shrub,Acacia acutata,SS?,?
Avon Wheatbelt 2,Succulent Steppe,Shrub,Acacia colletioides,SS?,?
Avon Wheatbelt 2,Succulent Steppe,Shrub,Acacia ligulata,SS?,?
Avon Wheatbelt 2,Succulent Steppe,Shrub,Melaleuca eleuterostachya,?,?
Avon Wheatbelt 2,Succulent Steppe,Shrub,Melaleuca hamulosa,RS bs,?
Avon Wheatbelt 2,Succulent Steppe,Shrub,Melaleuca thyoides,RS bs,?
Avon Wheatbelt 2,Succulent Steppe,Shrub,Melaleuca uncinata,RS bs,6
Avon Wheatbelt 2,Mosaic,Tree,Allocasuarina huegeliana,OS,5
Avon Wheatbelt 2,Mosaic,Tree,Eucalyptus drummondii,RS bs,4
Avon Wheatbelt 2,Mosaic,Tree,Eucalyptus occidentalis,RS ep,4
Avon Wheatbelt 2,Mosaic,Tree,Eucalyptus salmonophloia,OS/RS ep,5
Avon Wheatbelt 2,Mosaic,Tree,Eucalyptus salubris,OS/RS?,?
Avon Wheatbelt 2,Mosaic,Shrub,Allocasuarina campestris,OS,5
Avon Wheatbelt 2,Mosaic,Shrub,Dryandra hewardiana,SS?,?
Avon Wheatbelt 2,Mosaic,Shrub,Leptospermum erubescens,RS bs,4
Avon Wheatbelt 2,Mosaic,Shrub,Melaleuca uncinata,RS bs,6
Avon Wheatbelt 2,Rock Outcrops,Tree,Eucalyptus caesia,RS bs,5
Avon Wheatbelt 2,Rock Outcrops,Tree,Eucalyptus loxophleba,OS/RS bs,4
Avon Wheatbelt 2,Rock Outcrops,Shrub,Acacia acuminata,SS/RS bs,5
Avon Wheatbelt 2,Rock Outcrops,Shrub,Acacia lasiocalyx,SS?,?
Avon Wheatbelt 2,Rock Outcrops,Shrub,Allocasuarina campestris,OS/SS,5
Avon Wheatbelt 2,Rock Outcrops,Shrub,Allocasuarina huegeliana,OS/SS,5
Avon Wheatbelt 2,Rock Outcrops,Shrub,Calothamnus quadrifidus,RS bs,3
Avon Wheatbelt 2,Rock Outcrops,Shrub,Calytrix angulata,?,?
Avon Wheatbelt 2,Rock Outcrops,Shrub,Dodonaea viscosa,SS,4
Avon Wheatbelt 2,Rock Outcrops,Shrub,Gastrolobium spinosum,SS,3
Avon Wheatbelt 2,Rock Outcrops,Shrub,Grevillea paniculata,?,4
Avon Wheatbelt 2,Rock Outcrops,Shrub,Hakea petiolaris,OS?,4
Avon Wheatbelt 2,Rock Outcrops,Shrub,Hakea preissii,OS?,?
Avon Wheatbelt 2,Rock Outcrops,Shrub,Kunzea pulchella,OS?,3
Avon Wheatbelt 2,Rock Outcrops,Shrub,Leptospermum erubescens,RS bs,4
Avon Wheatbelt 2,Rock Outcrops,Shrub,Melaleuca fulgens,?,4
Avon Wheatbelt 2,Rock Outcrops,Shrub,Melaleuca radula,RS bs,3
Avon Wheatbelt 2,Rock Outcrops,Shrub,Santalum acuminatum,SS?,8
Avon Wheatbelt 2,Rock Outcrops,Shrub,Thryptomene australis,RS?,?
Avon Wheatbelt 2,Rock Outcrops,Shrub,Verticordia preissii,?,?
Mallee 2,Woodland,Tree,Eucalyptus flocktoniae,RS bs,?
Mallee 2,Woodland,Tree,Eucalyptus gracilis,?,?
Mallee 2,Woodland,Tree,Eucalyptus longicornis,OS/RS?,?
Mallee 2,Woodland,Tree,Eucaluptus occidentalis,RS ep,4
Mallee 2,Woodland,Tree,Eucalyptus platypus,RS bs,4
Mallee 2,Woodland,Tree,Eucalyptus salmonophloia,OS/RS ep,5
Mallee 2,Woodland,Tree,Eucalyptus salubris,OS/RS ep?,?
Mallee 2,Woodland,Tree,Eucalyptus spathulata,RS bs,?
Mallee 2,Woodland,Tree,Eucalyptus transcontinentalis,OS/RS?,?
Mallee 2,Woodland,Tree,Eucalyptus wandoo,OS/RS ep,4
Mallee 2,Woodland,Shrub,Acacia erinacea,SS?,?
Mallee 2,Woodland,Shrub,Boronia capitata,?,?
Mallee 2,Woodland,Shrub,Gastrolobium celsianum,SS,4
Mallee 2,Woodland,Shrub,Grevillea huegelii,?,?
Mallee 2,Woodland,Shrub,Melaleuca lateriflora,OS/RS?,?
Mallee 2,Woodland,Shrub,Melaleuca pauperiflora,?,?
Mallee 2,Woodland,Shrub,Santalum acuminatum,SS,8
Mallee 2,Woodland,Shrub,Templetonia sulcata,SS?,?
Mallee 2,Low Woodland,Tree,Allocasuarina huegeliana,OS,5
Mallee 2,Low Woodland,Tree,Eucalyptus loxophleba,OS/RS bs,4
Mallee 2,Mallee Shrubland,Mallee,Eucalyptus eremophila,RS bs,?
Mallee 2,Mallee Shrubland,Mallee,Eucalyptus cylindriflora,RS bs,4
Mallee 2,Mallee Shrubland,Mallee,Eucalyptus decipiens,RS bs,1
Mallee 2,Mallee Shrubland,Mallee,Eucalyptus pleurocarpa,RS bs,3
Mallee 2,Mallee Shrubland,Mallee,Eucalyptus redunca,RS bs,?
Mallee 2,Mallee Shrubland,Mallee,Eucalyptus uncinata,RS bs,?
Mallee 2,Mallee Shrubland,Mallee,Nuytsia floribunda,RS ep,2
Mallee 2,Mallee Shrubland,Shrub,Adenanthos cuneatus,RS bs,2
Mallee 2,Mallee Shrubland,Shrub,Banksia media,OS,4
Mallee 2,Mallee Shrubland,Shrub,Hakea laurina,OS,3
Mallee 2,Mallee Shrubland,Shrub,Hakea multilineata,OS,5
Mallee 2,Mallee Shrubland,Shrub,Melaleuca hamulosa,RS bs,?
Mallee 2,Mallee Shrubland,Shrub,Melaleuca uncinata,RS bs,6
Mallee 2,Shrubland,Mallee,Eucalyptus flocktoniae,RS bs,?
Mallee 2,Shrubland,Mallee,Eucalyptus redunca,RS bs,?
Mallee 2,Shrubland,Mallee,Eucalyptus uncinata,RS bs,?
Mallee 2,Shrubland,Shrub,Allocasuarina acutivalvis,?,?
Mallee 2,Shrubland,Shrub,Allocasuarina campestris,OS,5
Mallee 2,Shrubland,Shrub,Hakea laurina,OS,3
Mallee 2,Shrubland,Shrub,Hakea pandanicarpa,OS,7
Mallee 2,Shrub Heath,Mallee,Eucalyptus albida,RS?,?
Mallee 2,Shrub Heath,Mallee,Eucalyptus redunca,RS bs,?
Mallee 2,Shrub Heath,Shrub,Acacia acanthoclada,SS?,?
Mallee 2,Shrub Heath,Shrub,Acacia fragilis,SS?,?
Mallee 2,Shrub Heath,Shrub,Acacia lasiocalyx,SS,?
Mallee 2,Shrub Heath,Shrub,Acacia multispicata,SS,5
Mallee 2,Shrub Heath,Shrub,Adenanthos argyreus,?,?
Mallee 2,Shrub Heath,Shrub,Adenanthos flavidiflorus,RS?,?
Mallee 2,Shrub Heath,Shrub,Allocasuarina campestris,OS,5
Mallee 2,Shrub Heath,Shrub,Banksia gardneri,RS bs,3
Mallee 2,Shrub Heath,Shrub,Banksia sphaerocarpa,RS bs,4
Mallee 2,Shrub Heath,Shrub,Grevillea excelsior,S?,?
Mallee 2,Succulent Steppe,Tree,Eucalyptus kondininensis,OS/RS bs,4
Mallee 2,Succulent Steppe,Shrub,Acacia colletioides,SS?,?
Mallee 2,Succulent Steppe,Shrub,Acacia ligulata,SS?,?
Mallee 2,Succulent Steppe,Shrub,Melaleuca eleuterostachya,?,?
Mallee 2,Succulent Steppe,Shrub,Melaleuca hamulosa,RS bs,?
Mallee 2,Succulent Steppe,Shrub,Melaleuca thyoides,RS bs,?
Mallee 2,Succulent Steppe,Shrub,Melaleuca uncinata,RS bs,6
Mallee 2,Mosaic,Tree,Allocasuarina huegeliana,OS,5
Mallee 2,Mosaic,Tree,Eucalyptus annulata,RS?,?
Mallee 2,Mosaic,Tree,Eucalyptus longicornis,OS/RS?,?
Mallee 2,Mosaic,Tree,Eucalyptus loxophleba,OS/RS bs,4
Mallee 2,Mosaic,Tree,Eucalyptus occidentalis,RS ep,4
Mallee 2,Mosaic,Tree,Eucalyptus oleosa,RS bs,?
Mallee 2,Mosaic,Tree,Eucalyptus salmonophloia,OS/RS ep,5
Mallee 2,Mosaic,Tree,Eucalyptus salubris,OS/RS?,?
Mallee 2,Mosaic,Shrub,Acacia acuminata,SS/RS bs,5
Mallee 2,Mosaic,Shrub,Allocasuarina acutivalvis,?,?
Mallee 2,Mosaic,Shrub,Allocasuarina campestris,OS,5
Mallee 2,Mosaic,Shrub,Dryandra cirsioides,OS,6
Mallee 2,Mosaic,Shrub,Leptospermum erubescens,RS bs,4
Mallee 2,Mosaic,Shrub,Melaleuca pauperiflora,?,?
Mallee 2,Mosaic,Shrub,Melaleuca uncinata,RS bs,6
Mallee 2,Rock Outcrops,Tree,Eucalyptus caesia,RS bs,5
Mallee 2,Rock Outcrops,Shrub,Acacia acuminata,SS/RS bs,5
Mallee 2,Rock Outcrops,Shrub,Acacia lasiocalyx,SS?,?
Mallee 2,Rock Outcrops,Shrub,Allocasuarina campestris,OS/SS,5
Mallee 2,Rock Outcrops,Shrub,Allocasuarina huegeliana,OS/SS,5
Mallee 2,Rock Outcrops,Shrub,Calothamnus quadrifidus,RS bs,3
Mallee 2,Rock Outcrops,Shrub,Daviesia benthamii,SS?,?
Mallee 2,Rock Outcrops,Shrub,Dodonaea viscosa,SS,4
Mallee 2,Rock Outcrops,Shrub,Hakea petiolaris,OS?,4
Mallee 2,Rock Outcrops,Shrub,Hakea preissii,OS?,?
Mallee 2,Rock Outcrops,Shrub,Kunzea pulchella,OS?,3
Mallee 2,Rock Outcrops,Shrub,Leptospermum erubescens,RS bs,4
Mallee 2,Rock Outcrops,Shrub,Melaleuca fulgens,?,4
Mallee 2,Rock Outcrops,Shrub,Melaleuca lateriflora,?,?
Mallee 2,Rock Outcrops,Shrub,Philotheca gardneri,?,?
Mallee 2,Rock Outcrops,Shrub,Santalum acuminatum,SS?,8
