Plant Genus,Plant Species,Pollinator Order/Family,Pollinator Genus,Pollinator Species,Morphospecies,Region,Publication,POLLINATOR TRAIT,METHOD,POLLINATION EVIDENCE,Location
Banksia,menziesii,Apidae,Apis ,mellifera,European Honeybee,Perth Metropolitan,"Ritchie A., PhD thesis 2015",pollination_vector_possible,Observation,"probing inflorescence, contact with anthers, assumed pollinator","Highview Park, 32 06′28″S, 115 52′ 01″E"
Banksia,menziesii,Bombyliidae,,,Bombylid,Perth Metropolitan,"Ritchie A., PhD thesis 2015",flower_visitor,pollen swab from vector,swabbed with over 10 pollen grains present,"Melaleuca, 31°40′28″S 115°53′ 44″E"
Banksia,menziesii,Hymenoptera,,,Hymenoptera,Perth Metropolitan,"Ritchie A., PhD thesis 2015",flower_visitor,pollen swab from vector,swabbed with over 10 pollen grains present,"Hepburn Park, 31 49′09″S, 115 52′ 29″E"
Banksia,menziesii,Hymenoptera,,,Hymenoptera,Perth Metropolitan,"Ritchie A., PhD thesis 2015",flower_visitor,pollen swab from vector,swabbed with over 10 pollen grains present,"Melaleuca, 31°41′11″S 115°53′ 50″E"
Banksia,menziesii,Hymenoptera,,,Hymnoptera sp,Perth Metropolitan,"Ritchie A., PhD thesis 2015",flower_visitor,pollen swab from vector,swabbed with over 10 pollen grains present,"Melaleuca, 31°41′11″S 115°53′ 50″E"
Banksia,menziesii,Thynnidae,,,Thynnidae male,Perth Metropolitan,"Ritchie A., PhD thesis 2015",flower_visitor,pollen swab from vector,swabbed with over 10 pollen grains present,"Melaleuca, 31°40′28″S 115°53′ 44″E"
Banksia,attenuata,Meliphagidae,Phylidonyris ,nigra,White-cheeked Honeyeater,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",pollination_vector_known,Observation,observed pollen transfer,"Marangaroo Conservation Reserve, 31°49'49""S 115°50'08""E"
Banksia,attenuata,Meliphagidae,Anthochaera,carunculata,Red Wattlebird,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",pollination_vector_known,Observation,observed pollen transfer,"Marangaroo Conservation Reserve, 31°49'49""S 115°50'08""E"
Banksia,attenuata,Meliphagidae,Lichmera,indistincta,Brown Honeyeater,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",pollination_vector_known,Observation,observed pollen transfer,"Marangaroo Conservation Reserve, 31°49'49""S 115°50'08""E"
Banksia,attenuata,Zosterops,Zosterops, lateralis,Silvereye,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",pollination_vector_possible,Observation,"probing inflorescence, contact with stigma, contact with anthers","Marangaroo Conservation Reserve, 31°49'49""S 115°50'08""E"
Banksia,attenuata,Meliphagidae,Lichenostomus,virescens,Singing Honeyeater,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",pollination_vector_known,Observation,observed pollen transfer,"Marangaroo Conservation Reserve, 31°49'49""S 115°50'08""E"
Banksia,attenuata,Meliphagidae,Phylidonyris ,novaehollandiae,New Holland Honeyeater,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",pollination_vector_known,Observation,observed pollen transfer,"Melaleuca, 31°40′28″S 115°53′ 44″E"
Banksia,attenuata,Meliphagidae,Anthochaera,lunulata,Western Wattlebird,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",pollination_vector_known,Observation,observed pollen transfer,"Hepburn Park, 31 49′09″S, 115 52′ 29″E"
Banksia,attenuata,Meliphagidae,Acanthorhynchus,superciliosus,Western Spinebill,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",pollination_vector_known,Observation,observed pollen transfer,"Melaleuca, 31°40′28″S 115°53′ 44″E"
Banksia,attenuata,Psittaculidae,Trichoglossus,haematodus,Rainbow Lorikeet,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",flower_visitor,Observation,probing inflorescence,"Hepburn Park, 31 49′09″S, 115 52′ 29″E"
Banksia,attenuata,Apidae,Apis ,mellifera,European Honeybee,Perth Metropolitan,"Ritchie A., PhD thesis 2015",pollination_vector_possible,pollen swab from vector,"probing inflorescence, contact with anthers, assumed pollinator","Marangaroo Conservation Reserve, 31°49'49""S 115°50'08""E"
Banksia,attenuata,Hymenoptera,,,Hymenoptera,Perth Metropolitan,"Ritchie A., PhD thesis 2015",flower_visitor,pollen swab from vector,swabbed with over 10 pollen grains present,"Paloma Park, 31 49′59″S, 115 51′ 07″E"
Banksia,attenuata,Evaniidae,,,Hatchet wasp 1,Perth Metropolitan,"Ritchie A., PhD thesis 2015",flower_visitor,pollen swab from vector,swabbed with over 10 pollen grains present,"Gaskell Rd, 31 47′09″S, 115 56′ 32″E"
Banksia,attenuata,Formicidae,,,Ant sp1,Perth Metropolitan,"Ritchie A., PhD thesis 2015",flower_visitor,pollen swab from vector,swabbed with over 10 pollen grains present,"Jandakot, 32 06′28″S, 115 52′ 01″E"
Banksia,attenuata,Bombyliidae,,,Bombylidae,Perth Metropolitan,"Ritchie A., PhD thesis 2015",flower_visitor,pollen swab from vector,swabbed with over 10 pollen grains present,"Gnangara Park, 31 47′07″S, 115 56′ 23″E"
Banksia,attenuata,Hymenoptera clade Anthophila,,,native bee,Perth Metropolitan,"Ritchie A., PhD thesis 2015",flower_visitor,pollen swab from vector,swabbed with over 10 pollen grains present,"Melaleuca, 31°40′28″S 115°53′ 44″E"
Banksia,attenuata,Bombyliidae,,,Bombylidae,Perth Metropolitan,"Ritchie A., PhD thesis 2015",flower_visitor,pollen swab from vector,swabbed with over 10 pollen grains present,"Gnangara Park, 31 47′07″S, 115 56′ 23″E"
Banksia,attenuata,Apocrita,,,Wasp sp.8,Perth Metropolitan,"Ritchie A., PhD thesis 2015",flower_visitor,pollen swab from vector,swabbed with over 10 pollen grains present,"Melaleuca, 31°40′28″S 115°53′ 44″E"
Banksia,attenuata,Apocrita,,,Wasp sp.9,Perth Metropolitan,"Ritchie A., PhD thesis 2015",flower_visitor,pollen swab from vector,swabbed with over 10 pollen grains present,"Jandakot, 32°06'18.0""S 115°52'07.0""E"
Banksia,attenuata,Megachilidae,,,Megachilidae,Perth Metropolitan,"Ritchie A., PhD thesis 2015",flower_visitor,pollen swab from vector,swabbed with over 10 pollen grains present,"Hepburn Park, 31 49′09″S, 115 52′ 29″E"
Banksia,attenuata,Thynnidae,,,Thynnidae (Epactiothynnus) male,Perth Metropolitan,"Ritchie A., PhD thesis 2015",flower_visitor,pollen swab from vector,swabbed with over 10 pollen grains present,"Gnangara Park, 31 47′07″S, 115 56′ 23″E"
Banksia,attenuata,Thynnidae,,,Thynnidae male,Perth Metropolitan,"Ritchie A., PhD thesis 2015",flower_visitor,pollen swab from vector,swabbed with over 10 pollen grains present,"Jandakot, 32°06'18.0""S 115°52'07.0""E"
Banksia,attenuata,Gasteruptiidae ,,,Gasteruptiidae ,Perth Metropolitan,"Ritchie A., PhD thesis 2015",flower_visitor,pollen swab from vector,swabbed with over 10 pollen grains present,"Melaleuca, 31°40′28″S 115°53′ 44″E"
Banksia,attenuata,Gasteruptiidae ,,,Gasteruptiidae,Perth Metropolitan,"Ritchie A., PhD thesis 2015",flower_visitor,pollen swab from vector,swabbed with over 10 pollen grains present,"Melaleuca, 31°40′28″S 115°53′ 44″E"
Banksia,attenuata,Bombyliidae,,,Bombylidae,Perth Metropolitan,"Ritchie A., PhD thesis 2015",flower_visitor,pollen swab from vector,swabbed with over 10 pollen grains present,"Melaleuca, 31°40′28″S 115°53′ 44″E"
Banksia,attenuata,Chrysididae,,,cuckoo wasp-blue,Perth Metropolitan,"Ritchie A., PhD thesis 2015",flower_visitor,pollen swab from vector,swabbed with over 10 pollen grains present,"Melaleuca, 31°40′28″S 115°53′ 44″E"
