Species,longitude,latitude
microstachys_chamaelea,130.7779111,-13.15835
ozothamnus_retusus,138.5663667,-31.31546111
acacia_subternata,135.8932111,-16.82600278
eremophila_lanceolata,118.2258333,-22.63587778
brachyscome_lineariloba,140.7543472,-34.05913889
chrysocephalum_eremaeum,133.3908944,-24.12801944
Senecio_cunninghamii,141.5914625,-31.33115333
chrysanthemoides_monilifera,138.6790056,-35.08308056
Peripleura_arida,119.2023583,-23.21400833
amphipogon_strictus,119.1428361,-32.814725
Vittadinia_dissecta,142.6025889,-34.20481667
centipeda_cunninghamii,141.6694028,-31.06216667
leontodon_rhagadioloides,141.7411103,-31.07956667
schizachyrium_fragile,132.2943639,-13.54561111
amphipogon_turbinatus,115.7134833,-31.37548611
desmocladus_flexuosus,115.9023917,-32.34424722
dichelachne_micrantha,139.3396917,-30.343475
agonis_theiformis,117.1554361,-34.61917222
senecio_lanibracteus,141.9480675,-31.84727889
calotis_hispidula,141.9480675,-31.84727889
adiantum_aethiopicum,138.78705,-34.88775556
Schoenus_brevisetis,119.1580222,-32.87458889
leiocarpa_leptolepis,141.9480675,-31.84727889
hibbertia_exutiacies,137.9682707,-32.31052104
chrysocephalum_pterochaetum,127.0686389,-29.65610556
poa_tenera,138.6038099,-33.9141962
isolepis_marginata,138.7269537,-34.93342691
eremophila_dempsteri,126.2793083,-32.06314167
monachather_paradoxus,133.2473278,-22.2836
petalostigma_banksii,137.2602583,-17.22088611
taxandria_parviceps,117.1554361,-34.61917222
Amperea_xiphoclada,150.6259167,-33.59470556
eremophila_forrestii,120.7239639,-25.09664444
vittadinia_condyloides,141.52881,-31.88592167
aphyllodium_biarticulatum,141.827775,-19.93981944
ixiochlamys_cuneifolia,141.717325,-31.06597778
Calandrinia_uniflora,137.1006028,-17.89627778
calotis_plumulifera,141.7411103,-31.07956667
podolepis_capillaris,141.2934722,-33.40760278
Rytidosperma_geniculatum,139.0381472,-34.92716667
sacciolepis_myosuroides,137.1579611,-17.35489722
poa_sieberiana,150.1397194,-33.32936667
cleistochloa_subjuncea,143.8916972,-18.46784722
terminalia_volucris,137.011625,-17.89590833
Calandrinia_ptychosperma,120.4791389,-23.3847
chrysanthemoides_monilifera,138.6790056,-35.08308056
angianthus_conocephalus,125.8610556,-31.69906944
goodenia_lunata,133.612075,-22.29108056
trichanthodium_skirrophorum,130.4461611,-29.34533611
mesomelaena_preissii,119.1428361,-32.814725
Xanthium_occidentale,142.268019,-31.778032
aluta_maisonneuvei,136.3070278,-25.30979167
ehretia_saligna,132.2943639,-13.54561111
austrostipa_eremophila,131.2773722,-31.39337222
vittadinia_gracilis,137.2442722,-32.98011944
Schoenus_caespititius,117.687625,-34.40362778
crotalaria_eremaea,133.612075,-22.29108056
acacia_hammondii,135.8300389,-16.82389444
austrostipa_hemipogon,138.9593701,-34.00513798
cheilanthes_austrotenuifolia,138.646998,-34.97365
rytidosperma_pallidum,150.1397194,-33.32936667
rhodanthe_floribunda,141.6780775,-31.02531611
rhodanthe_stricta,141.6973686,-31.08023472
eremophila_freelingii,133.3763667,-24.18724167
minuria_integerrima,135.5079972,-25.11011389
Calandrinia_stagnensis,119.7739778,-22.69156667
cressa_australis,140.960225,-17.01355833
cressa_australis,140.960225,-17.01355833
angianthus_tomentosus,138.9593701,-34.00513798
ptilothrix_deusta,150.3646222,-33.57883056
austrostipa_nitida,141.6973686,-31.08023472
olearia_floribunda,138.7975707,-30.77565358
scaevola_parvibarbata,136.2748111,-25.25326667
calotis_cymbacantha,138.8167,-29.5305
lomandra_fibrata,139.006103,-34.576925
dicrastylis_costelloi,136.3070278,-25.30979167
zygophyllum_apiculatum,141.717325,-31.06597778
aira_cupaniana,138.6040389,-35.46094167
rostraria_pumila,141.6973686,-31.08023472
goodenia_fascicularis,141.6008031,-31.32391889
leiocarpa_tomentosa,141.52881,-31.88592167
Dysphania_truncata,133.4154944,-23.930625
centipeda_thespidioides,141.1064667,-33.23765278
olearia_teretifolia,138.9593701,-34.00513798
pterocaulon_serrulatum,137.0692639,-18.90550556
Rytidosperma_erianthum,138.6790056,-35.08308056
austrostipa_drummondii,131.2667917,-31.482375
goodenia_vernicosa,138.5663667,-31.31546111
gahnia_microstachya,150.3191944,-33.64791389
acacia_ayersiana,130.4504778,-29.34649167
schoenia_ayersii,127.0719278,-29.47343611
sclerolaena_lanicuspis,141.9404978,-31.84495778
streptoglossa_bubakii,117.1698361,-21.39493056
bromus_rubens,138.0801417,-33.48902778
hibbertia_crinita,138.9086,-34.68309722
acetosa_vesicaria,118.268075,-22.72358889
erodium_crinitum,141.6973686,-31.08023472
acacia_wanyu,120.7239639,-25.09664444
Olearia_passerinoides,141.1608111,-33.37998056
eremophila_willsii,133.3908944,-24.12801944
acacia_incurvaneura,130.4504778,-29.34649167
chrysocephalum_apiculatum,133.4679222,-24.12430278
actinobole_uliginosum,138.5795583,-30.76085556
acacia_cupularis,138.690175,-35.27211111
Vittadinia_cervicularis,140.7272611,-33.97274167
olearia_grandiflora,138.7269537,-34.93342691
rostraria_pumila,141.6780775,-31.02531611
acacia_macraneura,119.6314389,-22.76692778
dichelachne_crinita,138.6038099,-33.9141962
myoporum_insulare,128.2852417,-31.98483333
zygophyllum_simile,141.1064667,-33.23765278
pultenaea_involucrata,138.261275,-35.60826944
gnephosis_eriocarpa,138.8491778,-29.75528333
streptoglossa_adscendens,135.6167917,-25.12393333
leucochrysum_stipitatum,133.3271806,-24.16188056
leontodon_rhagadioloides,141.7411103,-31.07956667
cheilanthes_sieberi,133.2473278,-22.2836
acacia_paraneura,133.4521833,-24.63118889
xerochrysum_bracteatum,133.3723,-23.96590833
acacia_gonoclada,133.4835667,-17.45584722
minuria_denticulata,141.7411103,-31.07956667
anemocarpa_podolepidium,141.6973686,-31.08023472
acacia_melleodora,133.612075,-22.29108056
duma_florulenta,135.6167917,-25.12393333
sida_intricata,141.4337544,-31.89335056
westringia_rigida,141.1608111,-33.37998056
acacia_aptaneura,133.2473278,-22.2836
tetragonia_eremaea,141.7003097,-31.07671806
eremophila_cordatisepala,138.1930944,-23.188075
tribulus_astrocarpus,119.0852222,-22.4671
austrostipa_elegantissima,137.2442722,-32.98011944
terminalia_subacroptera,140.9937028,-17.00219167
eremophila_goodwinii,144.1828167,-31.49143889
eremophila_obovata,135.6407917,-25.09440833
rhodanthe_tietkensii,133.4679222,-24.12430278
Dysphania_cristata,140.5856361,-33.99453056
sclerolaena_obliquicuspis,141.7003097,-31.07671806
acacia_sibirica,133.8965944,-25.89989167
eremophila_macdonnellii,133.1845722,-24.54153611
alternanthera_angustifolia,138.2522444,-23.34449722
flueggea_virosa,137.0692639,-18.90550556
eriochiton_sclerolaenoides,141.6008031,-31.32391889
eremophila_scoparia,141.1064667,-33.23765278
zygophyllum_billardierei,128.2852417,-31.98483333
vittadinia_eremaea,141.7644319,-31.90113361
Rhodanthe_diffusa,145.7085583,-33.20680278
carrichtera_annua,141.9480675,-31.84727889
Dysphania_rhadinostachya,116.9739917,-21.67714167
pluchea_dunlopii,135.6167917,-25.12393333
austrostipa_puberula,131.3066306,-31.51117778
calotis_erinacea,136.298875,-25.29944444
minuria_leptophylla,130.4461611,-29.32168889
macropteranthes_kekwickii,133.2711583,-16.63024167
rhagodia_parabolica,137.1972083,-32.98324722
euphorbia_terracina,137.3646306,-34.4568
eremophila_serrulata,121.0137056,-28.06511111
austrostipa_blackii,138.3932722,-33.55308333
eremophila_hygrophana,130.4461611,-29.32168889
ptilotus_gomphrenoides,117.7047278,-21.66288333
crotalaria_smithiana,135.7046278,-26.35025278
scaevola_spinescens,138.226025,-23.29418889
zygophyllum_eichleri,119.0129083,-22.30292222
sclerolaena_longicuspis,141.7823089,-31.88420833
cassytha_glabella,138.6038099,-33.9141962
austrostipa_nullanulla,139.4859286,-34.35790194
olearia_muelleri,141.0655222,-33.44049444
pluchea_rubelliflora,140.9937028,-17.00219167
sclerolaena_patenticuspis,141.52881,-31.88592167
rhodanthe_uniflora,136.4283806,-28.43342778
geijera_linearifolia,137.1972083,-32.98324722
frankenia_sessilis,128.2852417,-31.98483333
Dysphania_melanocarpa,119.2023583,-23.21400833
podolepis_rugata,127.0686389,-29.65610556
aira_elegantissima,138.6790056,-35.08308056
alyxia_buxifolia,138.7031889,-34.50430556
chrysocephalum_semipapposum,138.5663667,-31.31546111
cryptostegia_grandiflora,140.9937028,-17.00219167
eremophila_cuneifolia,119.0129083,-22.30292222
zygophyllum_prismatothecum,137.9545667,-29.971575
olearia_lepidophylla,140.5761167,-34.00307222
cephalipterum_drummondii,130.4461611,-29.34533611
carpobrotus_virescens,128.2852417,-31.98483333
xanthorrhoea_quadrangulata,138.5673306,-31.32773611
Eremophea_spinosa,133.4360389,-23.94118611
zygophyllum_ovatum,130.4504778,-29.34649167
eragrostis_xerophila,135.2584222,-25.47658889
eremophila_saligna,128.2373306,-31.88826111
halgania_cyanea,138.3932722,-33.55308333
calocephalus_platycephalus,133.4679222,-24.12430278
podotheca_gnaphalioides,114.6921583,-27.60539444
sarcozona_praecox,141.4337544,-31.89335056
zygophyllum_howittii,139.175572,-29.276984
lechenaultia_divaricata,133.4679222,-24.12430278
zygophyllum_ammophilum,141.6008031,-31.32391889
zygophyllum_eremaeum,132.1342611,-30.81475278
austrostipa_acrociliata,138.0801417,-33.48902778
threlkeldia_diffusa,137.3646306,-34.4568
austrostipa_platychaeta,138.0801417,-33.48902778
swainsona_oligophylla,135.4235033,-26.09590833
duma_coccoloboides,138.8167,-29.5305
tetragonia_implexicoma,137.3646306,-34.4568
calotis_multicaulis,130.4461611,-29.34533611
zygophyllum_emarginatum,135.7887611,-26.36887778
Calandrinia_baccata,114.6921583,-27.60539444
calandrinia_balonensis,133.3723,-23.96590833
austrostipa_nodosa,120.6429056,-30.43612778
Euphorbia_trigonosperma,118.268075,-22.72358889
cassytha_capillaris,132.2943639,-13.54561111
allopterigeron_filifolius,143.1575194,-16.84805833
Calandrinia_calyptrata,140.7348694,-34.05670278
triodia_basedowii,133.4679222,-24.12430278
fimbristylis_pachyptera,134.3778333,-14.13489722
alternanthera_angustifolia,138.2522444,-23.34449722
euphorbia_dallachyana,142.560225,-34.18391944
chrysopogon_pallidus,135.4090222,-15.5381
iseilema_membranaceum,136.9389,-17.75178889
iseilema_vaginiflorum,133.4389333,-17.35820833
Euphorbia_ferdinandi,143.0581722,-22.56293056
trianthema_triquetrum,141.9480675,-31.84727889
tribulus_minutus,138.4074167,-23.83157222
Euphorbia_schultzii,132.4570583,-13.51696944
dinebra_neesii,135.4090222,-15.5381
aristida_anthoxanthoides,141.7644319,-31.90113361
eragrostis_tenellula,133.4389333,-17.35820833
Portulaca_digyna,143.0502306,-22.51617778
Paspalidium_reflexum,133.3908944,-24.12801944
eragrostis_falcata,132.9494417,-24.36466389
eragrostis_laniflora,133.4679222,-24.12430278
triodia_angusta,117.0973556,-21.58141944
triodia_brizoides,133.3763667,-24.18724167
eriachne_major,133.4835667,-17.45584722
digitaria_gibbosa,132.3403361,-12.739225
eragrostis_desertorum,119.2379306,-23.18566389
Euphorbia_mitchelliana,137.2602583,-17.22088611
triodia_wiseana,117.0663583,-21.59122222
euphorbia_centralis,133.3763667,-24.18724167
Euphorbia_alsiniflora,138.1745611,-20.06951667
urochloa_piligera,133.3794028,-24.17759167
aristida_longicollis,132.2700917,-13.55729167
Triodia_caelestialis,125.2955611,-17.23796944
paractaenum_refractum,138.8487972,-29.45659722
Tripogonella_loliiformis,133.4343111,-24.00942222
chrysopogon_elongatus,141.1054028,-17.66053889
chloris_pumilio,141.0554806,-17.02223889
fimbristylis_subaristata,140.9937028,-17.00219167
aristida_utilis,134.3554806,-14.17696111
eragrostis_concinna,133.8822528,-14.6768
Rhynchospora_exserta,134.420675,-14.04786389
euphorbia_biconvexa,136.8470722,-18.77869167
aristida_dominii,143.1575194,-16.84805833
Portulaca_decipiens,137.3258,-20.02463611
iseilema_convexum,143.0502306,-22.51617778
cynodon_convergens,117.1698361,-21.39493056
Paspalidium_distans,141.1054028,-17.66053889
thaumastochloa_brassii,137.2602583,-17.22088611
euphorbia_porcata,127.0719278,-29.47343611
eulalia_mackinlayi,132.7934528,-12.820425
eragrostis_basedowii,135.0155972,-26.27460833
Paspalidium_retiglume,137.3271417,-20.02302222
Sarga_plumosum,144.1695861,-19.40990833
triodia_schinzii,133.2473278,-22.2836
thaumastochloa_major,132.8914611,-14.77999444
Portulaca_intraterranea,138.4765167,-23.76406944
iseilema_fragile,137.3258,-20.02463611
cyperus_fulvus,141.8342833,-19.91485278
sarga_timorense,140.7870389,-18.23883889
thaumastochloa_striata,132.2943639,-13.54561111
eragrostis_stagnalis,134.3554806,-14.17696111
eragrostis_fallax,136.9389,-17.75178889
cyperus_betchei,140.9937028,-17.00219167
fimbristylis_odontocarpa,143.1584611,-16.84716389
Paspalidium_clementii,119.7086861,-22.70821389
chrysopogon_setifolius,135.9429222,-16.71540278
polycarpaea_holtzei,117.0570056,-21.54110278
thaumastochloa_pubescens,137.1579611,-17.35489722
eragrostis_pergracilis,118.2258333,-22.63587778
eriachne_lanata,118.2939361,-22.61085556
eragrostis_schultzii,137.1579611,-17.35489722
dichanthium_fecundum,137.0692639,-18.90550556
urochloa_ramosa,130.7956871,-13.13983269
digitaria_ammophila,144.22415,-19.5525
aristida_ingrata,135.4090222,-15.5381
schizachyrium_pachyarthron,134.3866778,-14.12585556
triodia_bitextura,137.12345,-18.62405556
urochloa_holosericea,134.3778333,-14.13489722
setaria_surgens,133.5234889,-17.52132222
iseilema_dolichotrichum,117.7047278,-21.66288333
sorghum_timorense,137.3258,-20.02463611
cymbopogon_bombycinus,137.0692639,-18.90550556
setaria_dielsii,118.268075,-22.72358889
schizachyrium_pseudeulalia,132.2700917,-13.55729167
fimbristylis_simplex,137.1579611,-17.35489722
cyperus_sexflorus,128.0233278,-16.00626111
pseudopogonatherum_contortum,137.1579611,-17.35489722
triodia_melvillei,118.2815028,-22.60081944
dimeria_ornithopoda,137.1579611,-17.35489722
fimbristylis_cinnamometorum,143.1575194,-16.84805833
cenchrus_setiger,118.268075,-22.72358889
digitaria_papposa,137.1211417,-18.65319167
mnesithea_formosa,135.4060694,-15.80912222
setaria_apiculata,135.4060694,-15.80912222
