taxon_name,page,notes,advanced_seedlings,fire intensity,trait_name,value
Pteridium esculentum,16,NA,NA,NA,secondary_juvenile_period,10
Calochlaena dubia,16,NA,NA,NA,fire_response_LCR,resprouts
Calochlaena dubia,16,NA,NA,NA,fire_response_NL,resprouts
Calochlaena dubia,16,NA,NA,NA,first_fruiting_resp,50
Calochlaena dubia,16,NA,NA,NA,secondary_juvenile_period,1
Gleichenia dicarpa,16,NA,NA,NA,fire_response_LCR,resprouts
Gleichenia microphylla,16,NA,NA,NA,fire_response_LCR,resprouts
Gleichenia rupestris,16,NA,NA,NA,fire_response_LCR,resprouts
Gleichenia rupestris,16,NA,NA,NA,fire_response_NL,resprouts
Sticherus flabellatus,16,NA,NA,NA,fire_response_LCR,fire_killed
Sticherus flabellatus,16,NA,NA,NA,fire_response_NL,fire_killed resprouts
Sticherus flabellatus,16,NA,NA,NA,first_fruiting_resp,35
Grammitis ?stenophylla,16,NA,NA,NA,fire_response_NL,fire_killed
Hymenophyllum cupressiforme,16,NA,NA,NA,fire_response_NL,fire_killed
Lindsaea linearis,16,NA,NA,NA,fire_response_LCR,resprouts
Lindsaea linearis,16,NA,NA,NA,first_fruiting_resp,50
Lindsaea linearis,16,NA,NA,NA,secondary_juvenile_period,1
Lindsaea microphylla,16,NA,NA,NA,fire_response_LCR,resprouts
Lindsaea microphylla,16,NA,NA,NA,fire_response_NL,resprouts
Lindsaea microphylla,16,NA,NA,NA,first_fruiting_resp,21
Lindsaea microphylla,16,NA,NA,NA,secondary_juvenile_period_min,1
Lindsaea microphylla,16,NA,NA,NA,secondary_juvenile_period_max,5
Lycopodiella lateralis,16,NA,NA,NA,fire_response_NL,fire_killed
Todea barbara,16,NA,NA,NA,fire_response_LCR,resprouts
Todea barbara,16,NA,NA,NA,fire_response_NL,resprouts
Todea barbara,16,NA,NA,NA,first_fruiting_resp,10
Todea barbara,16,NA,NA,NA,secondary_juvenile_period,10
Platycerium bifurcatum,16,NA,NA,NA,fire_response_LCR,fire_killed
Pyrrosia rupestris,16,NA,NA,NA,fire_response_LCR,fire_killed
Pyrrosia rupestris,16,NA,NA,NA,fire_response_NL,fire_killed
Psilotum nudum,16,NA,NA,NA,fire_response_LCR,fire_killed
Psilotum nudum,16,NA,NA,NA,fire_response_NL,fire_killed
Psilotum nudum,16,NA,NA,NA,first_fruiting_resp,50
Pteris tremula,16,NA,NA,NA,fire_response_LCR,resprouts
*Pteris vittata,16,NA,NA,NA,fire_response_LCR,resprouts
*Pteris vittata,16,NA,NA,NA,first_fruiting_resp,23
Schizaea bifida (s.lat.),16,NA,NA,NA,fire_response_LCR,resprouts
Schizaea bifida (s.lat.),16,NA,NA,NA,fire_response_NL,resprouts
Schizaea bifida (s.lat.),16,NA,NA,NA,first_fruiting_resp,63
Schizaea rupestris,16,NA,NA,NA,fire_response_LCR,resprouts
Schizaea rupestris,16,NA,NA,NA,fire_response_NL,resprouts
Schizaea rupestris,16,NA,NA,NA,first_fruiting_resp,38
Selaginella uliginosa,16,NA,NA,NA,fire_response_NL,resprouts
Cheilanthes distans,16,NA,NA,NA,fire_response_NL,fire_killed
Cheilanthes distans,16,NA,NA,NA,first_fruiting_unknown,140
Cheilanthes sieberi,16,NA,NA,NA,fire_response_LCR,resprouts
Cheilanthes sieberi,16,NA,NA,NA,first_fruiting_resp,23
Cheilanthes sieberi,16,NA,NA,NA,secondary_juvenile_period,23
Pellaea falcata,16,NA,NA,NA,fire_response_LCR,resprouts
Christella dentata,16,NA,NA,NA,fire_response_LCR,resprouts
Christella dentata,16,NA,NA,NA,first_fruiting_resp,23
Christella dentata,16,NA,NA,NA,secondary_juvenile_period,23
Callitris muelleri,16,NA,just germinated seedlings,NA,fire_response_NL,fire_killed
Callitris muelleri,16,NA,just germinated seedlings,NA,seedlings_first_observed,32
*Pinus radiata,16,NA,NA,NA,fire_response_NL,fire_killed
Podocarpus spinulosus,16,NA,NA,NA,fire_response_LCR,resprouts
Podocarpus spinulosus,16,NA,NA,NA,fire_response_NL,resprouts
Podocarpus spinulosus,16,NA,NA,NA,first_flowering_resp,92
Podocarpus spinulosus,16,NA,NA,NA,first_fruiting_resp,100
Podocarpus spinulosus,16,NA,NA,NA,secondary_juvenile_period,2
Macrozamia communis,16,NA,NA,NA,fire_response_LCR,resprouts
Macrozamia communis,16,NA,NA,NA,fire_response_NL,resprouts
Brunoniella pumilio,16,NA,NA,NA,fire_response_LCR,resprouts
Brunoniella pumilio,16,NA,NA,NA,first_flowering_resp,6
Brunoniella pumilio,16,NA,NA,NA,first_fruiting_resp,11
Brunoniella pumilio,16,NA,NA,NA,secondary_juvenile_period,26
Brunoniella pumilio,16,NA,NA,NA,peak_flowering_resp,1
Pseuderanthemum variabile,16,NA,NA,NA,fire_response_LCR,resprouts
Pseuderanthemum variabile,16,NA,NA,NA,fire_response_NL,resprouts
Pseuderanthemum variabile,16,NA,NA,NA,first_flowering_resp,7
Pseuderanthemum variabile,16,NA,NA,NA,first_fruiting_resp,10
Pseuderanthemum variabile,16,NA,NA,NA,secondary_juvenile_period,20
*Thunbergia alata,16,NA,NA,NA,fire_response_LCR,resprouts
*Thunbergia alata,16,NA,NA,NA,first_flowering_resp,26
*Acer negundo,17,NA,NA,NA,fire_response_LCR,resprouts
Tetragonia tetragonioides,17,NA,just germinated seedlings,NA,fire_response_LCR,fire_killed
Tetragonia tetragonioides,17,NA,just germinated seedlings,NA,seedlings_first_observed,7
Tetragonia tetragonioides,17,NA,just germinated seedlings,NA,first_flowering_seed,39
Tetragonia tetragonioides,17,NA,just germinated seedlings,NA,first_fruiting_seed,39
Alternanthera denticulata,17,NA,NA,NA,fire_response_LCR,resprouts
Alternanthera denticulata,17,NA,NA,NA,first_flowering_resp,10
*Amaranthus hybridus,17,NA,NA,NA,fire_response_LCR,fire_killed
*Amaranthus hybridus,17,NA,NA,NA,first_flowering_seed,12
*Amaranthus hybridus,17,NA,NA,NA,first_fruiting_seed,19
*Amaranthus viridus,17,NA,just germinated seedlings,NA,fire_response_LCR,fire_killed
*Amaranthus viridus,17,NA,just germinated seedlings,NA,seedlings_first_observed,9
*Prunus cerasus,17,NA,NA,NA,fire_response_LCR,resprouts
*Prunus persica,17,NA,NA,NA,fire_response_LCR,resprouts
*Prunus persica,17,NA,NA,NA,fire_response_NL,resprouts
*Toxicodendron succedaneum,17,NA,NA,NA,fire_response_LCR,resprouts
Actinotus helianthi,17,NA,just germinated seedlings,NA,fire_response_LCR,fire_killed
Actinotus helianthi,17,NA,just germinated seedlings,NA,fire_response_NL,fire_killed
Actinotus helianthi,17,NA,just germinated seedlings,NA,seedlings_first_observed,15
Actinotus helianthi,17,NA,just germinated seedlings,NA,first_flowering_seed,41
Actinotus helianthi,17,NA,just germinated seedlings,NA,first_fruiting_seed,56
Actinotus helianthi,17,NA,just germinated seedlings,NA,primary_juvenile_period,56
Actinotus helianthi,17,NA,just germinated seedlings,NA,fire_time_from_fire_to_flowering,56
Actinotus helianthi,17,NA,just germinated seedlings,NA,peak_flowering_seed_min,2
Actinotus helianthi,17,NA,just germinated seedlings,NA,peak_flowering_seed_max,3
Actinotus minor,17,NA,just germinated seedlings,NA,fire_response_LCR,fire_killed
Actinotus minor,17,NA,just germinated seedlings,NA,fire_response_NL,fire_killed
Actinotus minor,17,NA,just germinated seedlings,NA,seedlings_first_observed,24
Actinotus minor,17,NA,just germinated seedlings,NA,first_flowering_seed,42
Centella asiatica,17,NA,NA,NA,fire_response_LCR,resprouts
Centella asiatica,17,NA,NA,NA,first_fruiting_resp,10
*Ciclospermum leptophyllum,17,NA,NA,NA,first_flowering_unknown,28
*Ciclospermum leptophyllum,17,NA,NA,NA,first_fruiting_unknown,43
*Eryngium pandanifolium,17,NA,NA,NA,fire_response_LCR,resprouts
*Eryngium pandanifolium,17,NA,NA,NA,first_flowering_resp,50
*Foeniculum vulgare,17,NA,just germinated seedlings,NA,fire_response_LCR,resprouts
*Foeniculum vulgare,17,NA,just germinated seedlings,NA,fire_response_NL,resprouts
*Foeniculum vulgare,17,NA,just germinated seedlings,NA,seedlings_first_observed,9
*Foeniculum vulgare,17,NA,just germinated seedlings,NA,first_flowering_resp,50
*Foeniculum vulgare,17,NA,just germinated seedlings,NA,first_fruiting_resp,63
*Foeniculum vulgare,17,NA,just germinated seedlings,NA,secondary_juvenile_period,63
*Hydrocotyle bonariensis,17,NA,NA,NA,fire_response_LCR,resprouts
*Hydrocotyle bonariensis,17,NA,NA,NA,fire_response_NL,resprouts
*Hydrocotyle bonariensis,17,NA,NA,NA,first_flowering_resp,11
*Hydrocotyle bonariensis,17,NA,NA,NA,first_fruiting_resp,20
Hydrocotyle peduncularis,17,NA,just germinated seedlings,NA,fire_response_LCR,resprouts
Hydrocotyle peduncularis,17,NA,just germinated seedlings,NA,seedlings_first_observed,15
Hydrocotyle peduncularis,17,NA,just germinated seedlings,NA,first_flowering_resp,10
Hydrocotyle peduncularis,17,NA,just germinated seedlings,NA,first_fruiting_resp,16
Platysace lanceolata,17,NA,just germinated seedlings,NA,fire_response_LCR,resprouts
Platysace lanceolata,17,NA,just germinated seedlings,NA,fire_response_NL,resprouts
Platysace lanceolata,17,NA,just germinated seedlings,NA,seedlings_first_observed,15
Platysace lanceolata,17,NA,just germinated seedlings,NA,first_flowering_resp,56
Platysace lanceolata,17,NA,just germinated seedlings,NA,first_fruiting_resp,63
Platysace lanceolata,17,NA,just germinated seedlings,NA,secondary_juvenile_period,63
Platysace lanceolata,17,NA,just germinated seedlings,NA,peak_flowering_resp_min,3
Platysace lanceolata,17,NA,just germinated seedlings,NA,peak_flowering_resp_max,5
Platysace linearifolia,17,NA,just germinated seedlings,NA,fire_response_LCR,resprouts
Platysace linearifolia,17,NA,just germinated seedlings,NA,fire_response_NL,resprouts
Platysace linearifolia,17,NA,just germinated seedlings,NA,seedlings_first_observed,24
Platysace linearifolia,17,NA,just germinated seedlings,NA,first_flowering_resp,63
Platysace linearifolia,17,NA,just germinated seedlings,NA,first_fruiting_resp,64
Platysace linearifolia,17,NA,just germinated seedlings,NA,peak_flowering_resp_min,2
Platysace linearifolia,17,NA,just germinated seedlings,NA,peak_flowering_resp_max,3
Platysace stephensonii,17,NA,just germinated seedlings,NA,fire_response_NL,resprouts
Platysace stephensonii,17,NA,just germinated seedlings,NA,seedlings_first_observed,17
Trachymene incisa,17,NA,NA,NA,fire_response_NL,resprouts
Trachymene incisa,17,NA,NA,NA,first_flowering_resp,35
Trachymene incisa,17,NA,NA,NA,first_fruiting_resp,35
Trachymene incisa,17,NA,NA,NA,secondary_juvenile_period,35
Xanthosia pilosa,17,NA,just germinated seedlings,NA,fire_response_LCR,fire_killed
Xanthosia pilosa,17,NA,just germinated seedlings,NA,fire_response_NL,fire_killed
Xanthosia pilosa,17,NA,just germinated seedlings,NA,seedlings_first_observed,22
Xanthosia pilosa,17,NA,just germinated seedlings,NA,first_flowering_seed,85
Xanthosia pilosa,17,NA,just germinated seedlings,NA,peak_flowering_seed,4
Xanthosia tridentata,17,NA,just germinated seedlings,NA,fire_response_LCR,fire_killed
Xanthosia tridentata,17,NA,just germinated seedlings,NA,seedlings_first_observed,20
*Nerium oleander,17,NA,NA,NA,fire_response_LCR,resprouts
*Nerium oleander,17,NA,NA,NA,fire_response_NL,resprouts
*Nerium oleander,17,NA,NA,NA,first_flowering_resp,150
Parsonsia straminea,17,NA,NA,NA,fire_response_NL,fire_killed resprouts
*Vinca major,17,NA,NA,NA,fire_response_LCR,resprouts
*Vinca major,17,NA,NA,NA,first_flowering_resp,36
Astrotricha floccosa,17,NA,just germinated seedlings,NA,fire_response_NL,fire_killed
Astrotricha floccosa,17,NA,just germinated seedlings,NA,seedlings_first_observed,13
Astrotricha latifolia,17,NA,just germinated seedlings,NA,fire_response_LCR,fire_killed
Astrotricha latifolia,17,NA,just germinated seedlings,NA,seedlings_first_observed,44
Astrotricha latifolia,17,NA,just germinated seedlings,NA,first_flowering_seed,146
Astrotricha longifolia,17,NA,just germinated seedlings,NA,fire_response_LCR,fire_killed
Astrotricha longifolia,17,NA,just germinated seedlings,NA,seedlings_first_observed,43
Astrotricha longifolia,17,NA,just germinated seedlings,NA,first_flowering_unknown,92
Astrotricha longifolia,17,NA,just germinated seedlings,NA,first_fruiting_unknown,101
Astrotricha longifolia,17,NA,just germinated seedlings,NA,primary_juvenile_period_min,2
Astrotricha longifolia,17,NA,just germinated seedlings,NA,primary_juvenile_period_max,3
Astrotricha longifolia,17,NA,just germinated seedlings,NA,fire_time_from_fire_to_flowering_min,2
Astrotricha longifolia,17,NA,just germinated seedlings,NA,fire_time_from_fire_to_flowering_max,3
Astrotricha longifolia,17,NA,just germinated seedlings,NA,peak_flowering_unknown,3
*Hedera helix,17,NA,NA,NA,fire_response_LCR,resprouts
Polyscias sambucifolia,NA,NA,NA,NA,first_flowering_resp,101
Polyscias sambucifolia,17,NA,just germinated seedlings,NA,fire_response_LCR,resprouts
Polyscias sambucifolia,17,NA,just germinated seedlings,NA,seedlings_first_observed,38
Polyscias sambucifolia,17,NA,just germinated seedlings,NA,first_flowering_resp,51
Polyscias sambucifolia,17,NA,just germinated seedlings,NA,first_fruiting_resp,114
Polyscias sambucifolia,17,NA,just germinated seedlings,NA,secondary_juvenile_period_min,2
Polyscias sambucifolia,17,NA,just germinated seedlings,NA,secondary_juvenile_period_max,3
*Araujia sericifera,17,NA,just germinated seedlings,NA,fire_response_LCR,resprouts
*Araujia sericifera,17,NA,just germinated seedlings,NA,fire_response_NL,resprouts
*Araujia sericifera,17,NA,just germinated seedlings,NA,seedlings_first_observed,10
*Araujia sericifera,17,NA,just germinated seedlings,NA,first_fruiting_unknown,61
*Gomphocarpus ?fruticosus,17,NA,NA,NA,first_flowering_unknown,38
Marsdenia suaveolens,17,NA,NA,NA,fire_response_LCR,resprouts
Marsdenia suaveolens,17,NA,NA,NA,fire_response_NL,resprouts
Marsdenia suaveolens,17,NA,NA,NA,first_flowering_resp,10
Marsdenia suaveolens,17,NA,NA,NA,first_fruiting_resp,32
Marsdenia suaveolens,17,NA,NA,NA,secondary_juvenile_period,32
Tylophora barbata,17,NA,NA,NA,fire_response_LCR,resprouts
Tylophora barbata,17,NA,NA,NA,first_flowering_resp,43
*Ageratina adenophora,17,NA,just germinated seedlings,NA,fire_response_LCR,resprouts
*Ageratina adenophora,17,NA,just germinated seedlings,NA,fire_response_NL,resprouts
*Ageratina adenophora,17,NA,just germinated seedlings,NA,seedlings_first_observed,42
*Ageratina adenophora,17,NA,just germinated seedlings,NA,first_flowering_resp,38
*Ageratina adenophora,17,NA,just germinated seedlings,NA,first_fruiting_resp,44
*Ageratina adenophora,17,NA,just germinated seedlings,NA,secondary_juvenile_period,44
*Ageratina riparia,17,NA,just germinated seedlings,NA,fire_response_LCR,resprouts
*Ageratina riparia,17,NA,just germinated seedlings,NA,seedlings_first_observed,63
*Ageratina riparia,17,NA,just germinated seedlings,NA,first_flowering_resp,34
*Ageratina riparia,17,NA,just germinated seedlings,NA,first_fruiting_resp,38
*Ageratina riparia,17,NA,just germinated seedlings,NA,secondary_juvenile_period,40
*Ageratum houstonianum,17,NA,NA,NA,fire_response_NL,fire_killed
*Ageratum houstonianum,17,NA,NA,NA,first_flowering_seed,38
*Ambrosia artemesiifolia,17,NA,NA,NA,fire_response_NL,resprouts
*Ambrosia artemesiifolia,17,NA,NA,NA,first_flowering_unknown,13
*Arctotheca calendula,17,NA,NA,NA,first_flowering_unknown,38
*Aster subulatus,17,NA,NA,NA,first_flowering_unknown,61
*Aster subulatus,17,NA,NA,NA,first_fruiting_unknown,63
*Bidens pilosa,17,NA,just germinated seedlings,NA,fire_response_LCR,fire_killed
*Bidens pilosa,17,NA,just germinated seedlings,NA,fire_response_NL,fire_killed
*Bidens pilosa,17,NA,just germinated seedlings,NA,seedlings_first_observed,7
*Bidens pilosa,17,NA,just germinated seedlings,NA,first_flowering_seed,13
*Bidens pilosa,17,NA,just germinated seedlings,NA,first_fruiting_seed,19
*Bidens pilosa,17,NA,just germinated seedlings,NA,primary_juvenile_period,19
*Bidens pilosa,17,NA,just germinated seedlings,NA,fire_time_from_fire_to_flowering,19
*Bidens subalternans,18,NA,just germinated seedlings,NA,fire_response_LCR,fire_killed
*Bidens subalternans,18,NA,just germinated seedlings,NA,seedlings_first_observed,12
*Bidens subalternans,18,NA,just germinated seedlings,NA,first_flowering_seed,12
*Bidens subalternans,18,NA,just germinated seedlings,NA,first_fruiting_seed,16
*Bidens tripartita,18,NA,NA,NA,fire_response_LCR,fire_killed
*Bidens tripartita,18,NA,NA,NA,first_flowering_seed,15
*Bidens tripartita,18,NA,NA,NA,first_fruiting_seed,15
Brachyscome angustifolia var. angustifolia,18,NA,NA,NA,fire_response_LCR,resprouts
Brachyscome angustifolia var. angustifolia,18,NA,NA,NA,first_flowering_resp,11
Brachyscome angustifolia var. angustifolia,18,NA,NA,NA,first_fruiting_resp,16
Brachyscome angustifolia var. angustifolia,18,NA,NA,NA,secondary_juvenile_period,16
Cassinia aculeata,18,NA,NA,NA,fire_response_LCR,fire_killed
Cassinia aculeata,18,NA,NA,NA,first_fruiting_seed,136
Cassinia aculeata,18,NA,NA,NA,primary_juvenile_period,3
Cassinia aculeata,18,NA,NA,NA,fire_time_from_fire_to_flowering,3
Cassinia denticulata,18,NA,NA,NA,fire_response_LCR,fire_killed
Cassinia longifolia,18,NA,NA,NA,first_flowering_unknown,202
*Chrysanthemoides monilifera subsp. monilifera,18,NA,just germinated seedlings,NA,fire_response_LCR,fire_killed
*Chrysanthemoides monilifera subsp. monilifera,18,NA,just germinated seedlings,NA,seedlings_first_observed,19
*Chrysanthemoides monilifera subsp. monilifera,18,NA,just germinated seedlings,NA,first_flowering_seed,88
*Chrysanthemoides monilifera subsp. monilifera,18,NA,just germinated seedlings,NA,first_fruiting_seed,101
*Chrysanthemoides monilifera subsp. monilifera,18,NA,just germinated seedlings,NA,primary_juvenile_period,2
*Chrysanthemoides monilifera subsp. monilifera,18,NA,just germinated seedlings,NA,fire_time_from_fire_to_flowering,2
*Cirsium vulgare,NA,NA,NA,NA,first_flowering_unknown,38
*Cirsium vulgare,NA,NA,NA,NA,first_fruiting_unknown,51
*Cirsium vulgare,18,NA,NA,NA,fire_response_LCR,resprouts
*Cirsium vulgare,18,NA,NA,NA,first_flowering_unknown,26
*Cirsium vulgare,18,NA,NA,NA,first_fruiting_unknown,46
*Conyza bonariensis,18,NA,NA,NA,fire_response_LCR,fire_killed
*Conyza bonariensis,18,NA,NA,NA,first_flowering_seed,38
*Conyza bonariensis,18,NA,NA,NA,first_fruiting_seed,50
*Conyza bonariensis,18,NA,NA,NA,primary_juvenile_period,61
*Conyza bonariensis,18,NA,NA,NA,fire_time_from_fire_to_flowering,61
*Coreopsis lanceolata,18,NA,just germinated seedlings,NA,fire_response_NL,resprouts
*Coreopsis lanceolata,18,NA,just germinated seedlings,NA,seedlings_first_observed,10
*Coreopsis lanceolata,18,NA,just germinated seedlings,NA,first_flowering_unknown,42
*Coreopsis lanceolata,18,NA,just germinated seedlings,NA,peak_flowering_unknown_min,2
*Coreopsis lanceolata,18,NA,just germinated seedlings,NA,peak_flowering_unknown_max,3
Cotula australis,18,NA,NA,NA,fire_response_LCR,fire_killed
Cotula australis,18,NA,NA,NA,first_fruiting_seed,15
*Crassocephalum crepidioides,18,NA,just germinated seedlings,NA,fire_response_LCR,fire_killed
*Crassocephalum crepidioides,18,NA,just germinated seedlings,NA,seedlings_first_observed,15
*Crassocephalum crepidioides,18,NA,just germinated seedlings,NA,first_flowering_seed,15
*Crassocephalum crepidioides,18,NA,just germinated seedlings,NA,first_fruiting_seed,15
*Crassocephalum crepidioides,18,NA,just germinated seedlings,NA,primary_juvenile_period,39
*Crassocephalum crepidioides,18,NA,just germinated seedlings,NA,fire_time_from_fire_to_flowering,39
*Delairea odorata,18,NA,NA,NA,fire_response_LCR,fire_killed
*Delairea odorata,18,NA,NA,NA,first_flowering_unknown,125
*Dimorphotheca pluvialis,18,NA,NA,NA,first_flowering_unknown,36
*Dittrichia graveolens,18,NA,NA,NA,first_flowering_unknown,63
*Erechtites valerianifolia,18,NA,NA,NA,fire_response_LCR,fire_killed
*Erechtites valerianifolia,18,NA,NA,NA,first_flowering_seed,28
*Erechtites valerianifolia,18,NA,NA,NA,first_fruiting_seed,30
*Erechtites valerianifolia,18,NA,NA,NA,primary_juvenile_period,39
*Erechtites valerianifolia,18,NA,NA,NA,fire_time_from_fire_to_flowering,39
*Erigeron karvinskianus,18,NA,NA,NA,fire_response_LCR,resprouts
*Erigeron karvinskianus,18,NA,NA,NA,first_flowering_resp,10
*Erigeron karvinskianus,18,NA,NA,NA,first_fruiting_resp,27
*Erigeron karvinskianus,18,NA,NA,NA,secondary_juvenile_period,27
Euchiton sphaericus,18,NA,NA,NA,first_flowering_unknown,43
Euchiton sphaericus,18,NA,NA,NA,first_fruiting_unknown,43
*Facelis retusa,18,NA,NA,NA,first_fruiting_unknown,43
*Galinsoga parviflora,18,NA,just germinated seedlings,NA,fire_response_LCR,fire_killed
*Galinsoga parviflora,18,NA,just germinated seedlings,NA,seedlings_first_observed,7
*Galinsoga parviflora,18,NA,just germinated seedlings,NA,first_flowering_seed,12
*Galinsoga parviflora,18,NA,just germinated seedlings,NA,first_fruiting_seed,15
*Galinsoga parviflora,18,NA,just germinated seedlings,NA,primary_juvenile_period,15
*Galinsoga parviflora,18,NA,just germinated seedlings,NA,fire_time_from_fire_to_flowering,15
*Gamochaeta americana,18,NA,NA,NA,fire_response_LCR,fire_killed resprouts
*Gamochaeta americana,18,NA,NA,NA,first_fruiting_resp,10
*Gamochaeta americana,18,NA,NA,NA,secondary_juvenile_period,10
*Gamochaeta pensylvanica,18,NA,just germinated seedlings,NA,fire_response_LCR,fire_killed
*Gamochaeta pensylvanica,18,NA,just germinated seedlings,NA,seedlings_first_observed,15
*Gamochaeta pensylvanica,18,NA,just germinated seedlings,NA,first_flowering_seed,15
*Gamochaeta pensylvanica,18,NA,just germinated seedlings,NA,first_fruiting_seed,15
*Gamochaeta pensylvanica,18,NA,just germinated seedlings,NA,primary_juvenile_period,15
*Gamochaeta pensylvanica,18,NA,just germinated seedlings,NA,fire_time_from_fire_to_flowering,15
*Gamochaeta spicata,18,NA,NA,NA,fire_response_LCR,fire_killed
*Gamochaeta spicata,18,NA,NA,NA,first_fruiting_seed,27
*Gamochaeta spicata,18,NA,NA,NA,primary_juvenile_period,27
*Gamochaeta spicata,18,NA,NA,NA,fire_time_from_fire_to_flowering,27
*Helianthus annuus,18,NA,NA,NA,first_flowering_seed,12
Helichrysum elatum,18,NA,NA,NA,fire_response_LCR,fire_killed
Helichrysum elatum,18,NA,NA,NA,fire_response_NL,fire_killed
Helichrysum elatum,18,NA,NA,NA,first_flowering_seed,87
Helichrysum elatum,18,NA,NA,NA,first_fruiting_seed,97
Helichrysum elatum,18,NA,NA,NA,primary_juvenile_period,2
Helichrysum elatum,18,NA,NA,NA,fire_time_from_fire_to_flowering,2
Helichrysum elatum,18,NA,NA,NA,peak_flowering_seed,3
Helichrysum rutidolepis,18,NA,NA,NA,fire_response_LCR,resprouts
Helichrysum rutidolepis,18,NA,NA,NA,first_flowering_resp,18
Helichrysum rutidolepis,18,NA,NA,NA,first_fruiting_resp,18
Helichrysum scorpioides,18,NA,NA,NA,fire_response_LCR,resprouts
Helichrysum scorpioides,18,NA,NA,NA,first_flowering_resp,16
Helichrysum scorpioides,18,NA,NA,NA,first_fruiting_resp,23
Helichrysum scorpioides,18,NA,NA,NA,secondary_juvenile_period,43
*Hypochaeris radicata,18,NA,NA,NA,fire_response_LCR,resprouts
*Hypochaeris radicata,18,NA,NA,NA,first_flowering_resp,10
*Hypochaeris radicata,18,NA,NA,NA,first_fruiting_resp,10
*Hypochaeris radicata,18,NA,NA,NA,secondary_juvenile_period,10
*Lactuca serriola,18,NA,NA,NA,fire_response_LCR,fire_killed
