Taxa,Family,Species,Pollinator trait,Sample size,Acacia acuminata,Acacia beauverdiana,Arctotheca calendula,Baeckea linifolia,Brachyscome iberidifolia,Brassica napus,Brunonia australis,Callistemon viminalis,Cephalipterum drummondii,Cicer reticulatum,Citrullus lanatus,Coringia orientalis,Cucumis hystrix,Cucumis myriocarpus, Daucus glochidiatus,Echium plantagineum,Eremophila rotundifolia,Erodium brachycarpum,Eucalyptus articulata,Eucalyptus conglobata,Eucalyptus dundasii,Eucalyptus glomerosa,Eucalyptus grossa,Eucalyptus loxophleba,Eucalyptus salmonophloia,Eucalyptus sessilis,Eucalyptus xanthonema,Goodenia rosea,Goodenia berardiana,Haloragis erecta,Hakea lissocarpha,Lawrencella davenportii,Lawrencella rosea,Lupinus angustifolius,Melaleuca armillaris,Melaleuca glomerata,Melaleuca nesophila.adj,Mirbelia,Opercularia vaginata,Ornithopus isthmocarpus,Parentucellia latifolia,Pimelea argentea,Podolepis aristata,Podolepis gracilis,Podolepis lessonii,Podotheca gnaphaloides,Ptilotus exaltatus,Rhodanthe chlorocephala,Rhodanthe spicata,Schoenia cassiniana,Senna charlesiana,Solanum pimpinellifolium,Thysanotus manglesianus,Trymalium odoratissimum,Verticordia monadelpha,Waitzia acuminata
bee,Apidae,Amegilla chlorocyanea,Flower_visitor,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0
bee,Apidae,Apis melifera,Flower_visitor,32,0,0,X,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,X
bee,Apidae,Thyreus waroonensis,Flower_visitor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0
bee,Halicitidae,Lasioglossum (Homalictus) sp.,Flower_visitor,17,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,X,0,0,X,0,0,0,0,0,0,0,0,0,X,0,0,X,0,X,0,0,0,0,0,0,0,0
bee,Colletidae,Leioproctus sp,Flower_visitor,7,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0,0,0,0,0,X,0,0,X,0,X,0,0,X,0,X,0,0,0
bee,Colletidae,Neopasiphae mirabilis,Flower_visitor,25,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,X,X,0,0,0,0,0,0,0,0,0,X,0,0,X,0,X,0,X,0,0,X,0,0,0
bee,Megachilidae,Megachile (Hackeriapis) sp.,Flower_visitor,6,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bee,Megachilidae,Megachile (Thaumatosoma) sp.,Flower_visitor,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bee,Stenotritidae,Ctenocolletes rufescens,Flower_visitor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fly,Bombyliidae,Comptosia sp.,Flower_visitor,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,X,0,0,0,0,0,0,0
fly,Syrphidae,Melangyna collatus complex,Flower_visitor,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X
beetle,Cleridae,Eleale sp.,Flower_visitor,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0,0,0,0
wasp,Thynnidae,Catocheilus sp.,Flower_visitor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0
