"","plot","lat","long","stage","dune","epoch","age","geology","date","don","nh4","no3","nh4incub","no3incub","totalPicp","totalPign","resinP","totalCa","totalK","totalMg","totalMn","co3est","moisture","orgC"
"12","Q.M.23",-30.17031983,115.0119435,"2","Quindalup medium","Holocene","1000","Safety Bay Sand",0012-06-20,22.189,6.62,5.537,-0.5,0.533,497.971,478.067,1.572,309.815,0.1,17.056,12.163,77.454,8.801,2.548
"13","Q.M.25",-30.22424002,115.010676,"2","Quindalup medium","Holocene","1000","Safety Bay Sand",0012-06-20,21.676,8.124,5.221,-0.691,0.193,437.152,408.575,2.003,272.248,0.106,14.241,13.571,68.062,6.611,3.123
"14","Q.M.26",-30.21405274,115.010374,"2","Quindalup medium","Holocene","1000","Safety Bay Sand",0011-06-20,21.417,9.427,5.707,-0.959,0.324,454.403,394.309,0.823,307.67,0.091,16.62,11.381,76.918,7.317,1.147
"15","Q.M.30",-30.27663002,115.045336,"2","Quindalup medium","Holocene","1000","Safety Bay Sand",0011-06-20,28.945,12.775,4.323,-1.258,0.35,564.132,493.63,5.598,304.19,0.099,15.963,8.884,76.048,9.295,1.728
"16","Q.M.31",-30.07305002,114.98254,"2","Quindalup medium","Holocene","1000","Safety Bay Sand",0016-06-20,38.198,4.367,8.81,-0.409,0.426,514.651,435.719,2.013,327.298,0.102,16.389,6.803,81.824,8.116,1.661
"17","Q.M.32",-30.16463279,115.0074926,"2","Quindalup medium","Holocene","1000","Safety Bay Sand",0015-06-20,24.844,4.56,15.823,-0.44,0.167,475.136,400.757,1.047,312.102,0.094,16.592,11.71,78.026,6.427,2.24
"18","Q.M.33",-30.09048999,114.9986206,"2","Quindalup medium","Holocene","1000","Safety Bay Sand",0015-06-20,19.012,4.63,4.22,-0.18,0.549,546.467,492.14,2.054,306.073,0.107,15.099,10.744,76.518,9.874,2.429
"19","Q.M.7",-30.27432675,115.0469911,"2","Quindalup medium","Holocene","1000","Safety Bay Sand",0011-06-20,27.78,8.652,4.226,-0.926,0.162,451.509,426.455,1.721,308.736,0.087,14.91,9.4,77.184,8.84,1.634
"20","Q.M.8",-30.22634505,115.0183784,"2","Quindalup medium","Holocene","1000","Safety Bay Sand",0015-06-20,18.234,3.466,1.9,-0.366,0.621,393.949,419.498,0.669,298.468,0.1,12.591,12.783,74.617,12.075,1.728
"21","Q.O.11",-30.19116763,115.0593393,"3","Quindalup old","Holocene","6500","Safety Bay Sand",0014-06-20,15.663,2.895,3.41,0.171,0.417,92.011,103.644,1.371,42.808,0.072,1.298,9.399,10.702,6.815,0.931
"22","Q.O.14",-30.24061491,115.066927,"3","Quindalup old","Holocene","6500","Safety Bay Sand",0013-06-20,16.459,3.682,3.853,-0.023,0.391,169.66,176.381,1.051,78.945,0.049,2.868,9.306,19.736,6.915,0.999
"23","Q.O.15",-30.24060812,115.0642989,"3","Quindalup old","Holocene","6500","Safety Bay Sand",0013-06-20,15.864,3.599,0.668,-0.068,0.717,280.94,278.537,1.227,169.519,0.077,6.867,10.58,42.38,10.055,1.008
"24","Q.O.17",-30.21366566,115.063878,"3","Quindalup old","Holocene","6500","Safety Bay Sand",0013-06-20,20.754,2.88,4.01,0.249,0.339,158.684,185.608,1.03,87.982,0.058,3.246,9.489,21.996,7.73,1.348
"25","Q.O.20",-30.31571969,115.0665914,"3","Quindalup old","Holocene","6500","Safety Bay Sand",0011-06-20,26.74,6.837,10.886,-0.659,0.689,501.139,503.928,1.066,291.961,0.107,13.668,20.398,72.99,12.433,2.195
"26","Q.O.22",-30.27657998,115.061847,"3","Quindalup old","Holocene","6500","Safety Bay Sand",0012-06-20,18.25,5.172,7.12,-0.461,0.266,361.086,351.581,1.035,260.639,0.081,12.492,14.375,65.16,11.785,2.1
"27","Q.O.24",-30.27088003,115.0708,"3","Quindalup old","Holocene","6500","Safety Bay Sand",0012-06-20,18.414,4.825,3.915,-0.362,0.616,191.052,225.04,1.043,109.911,0.061,4.246,10.255,27.478,8.025,1.463
"28","Q.O.3",-30.06299366,115.0120484,"3","Quindalup old","Holocene","6500","Safety Bay Sand",0016-06-20,25.342,4.133,12.36,-0.422,0.58,450.843,453.802,1.2,286.706,0.115,12.94,21.268,71.677,12.12,2.776
"29","Q.O.4",-30.03541821,115.0055205,"3","Quindalup old","Holocene","6500","Safety Bay Sand",0016-06-20,19.345,2.772,5.311,-0.289,0.404,399.042,411.344,2.166,282.499,0.061,14.333,10.269,70.625,4.512,0.331
"30","Q.O.5",-30.22566092,115.0648947,"3","Quindalup old","Holocene","6500","Safety Bay Sand",0013-06-20,15.3,3.105,1.395,0.093,0.448,161.568,189.308,1.043,111.493,0.047,4.735,9.192,27.873,7.49,1.497
"31","Q.Y.1",-30.40582901,115.094783,"1","Quindalup young","Holocene","50","Safety Bay Sand",0012-06-20,8.657,2.291,0.085,-0.128,-0.011,319.321,303.654,1.076,253.165,0.067,13.469,9.661,63.291,7.568,0.751
"32","Q.Y.12",-30.18102704,115.003786,"1","Quindalup young","Holocene","50","Safety Bay Sand",0015-06-20,9.921,0.587,0.163,-0.07,-0.01,242.487,478.204,0.884,302.615,0.074,16.833,9.131,75.654,10.86,1.962
"33","Q.Y.15",-30.40713902,115.081852,"1","Quindalup young","Holocene","50","Safety Bay Sand",0012-06-20,8.561,2.25,0.016,-0.102,0,376.898,348.347,0.987,309.309,0.079,15.702,9.297,77.327,9.679,0.942
"34","Q.Y.16",-30.11512097,115.006458,"1","Quindalup young","Holocene","50","Safety Bay Sand",0015-06-20,9.478,0.579,0.054,-0.051,0.061,380.849,363.175,1.703,303.963,0.081,15.636,8.387,75.991,7.995,1.227
"35","Q.Y.17",-30.04526904,114.962754,"1","Quindalup young","Holocene","50","Safety Bay Sand",0016-06-20,9.944,0.945,0.071,-0.072,-0.009,390.265,378.788,2.202,330.402,0.101,18.053,6.01,82.6,15.085,1.095
"36","Q.Y.18",-30.22362001,115.00817,"1","Quindalup young","Holocene","50","Safety Bay Sand",0015-06-20,6.737,0,0.011,0,0.004,412.107,398.422,1.738,300.058,0.063,18.558,10.733,75.014,7.367,1.729
"37","Q.Y.20",-30.24837001,115.0482869,"1","Quindalup young","Holocene","50","Safety Bay Sand",0013-06-20,8.915,2.342,0.135,-0.293,-0.017,377.587,354.219,1.276,317.088,0.09,16.95,7.346,79.272,14.296,1.473
"38","Q.Y.3",-30.25319899,115.039634,"1","Quindalup young","Holocene","50","Safety Bay Sand",0013-06-20,9.203,1.449,0.821,-0.181,0.001,346.133,344.199,1.436,290.412,0.086,14.832,8.26,72.603,13.543,2.101
"39","Q.Y.7",-30.09385097,114.990058,"1","Quindalup young","Holocene","50","Safety Bay Sand",0015-06-20,10.959,1.048,0.037,-0.067,-0.005,389.105,357.231,1.484,317.865,0.089,16.631,7.592,79.466,10.07,1.983
"40","Q.Y.8",-30.10668299,114.996559,"1","Quindalup young","Holocene","50","Safety Bay Sand",0015-06-20,9.57,1.748,0.015,-0.116,-0.002,396.121,374.808,1.426,319.554,0.086,16.632,8.476,79.889,10.03,0.76
"41","S.DS.10",-30.24852474,115.1001214,"5","Spearwood deep sand","Middle Pleistocene","500000","Tamala Limestone",0014-06-20,11.841,1.443,0.469,-0.113,0.017,3.718,8.718,0.429,0.257,0.036,0.05,2.222,NA,1.793,0.471
"42","S.DS.11",-30.18644099,115.082126,"5","Spearwood deep sand","Middle Pleistocene","500000","Tamala Limestone",0014-06-20,8.042,2.145,0.692,0.23,0.015,8.509,12.976,0.662,0.356,0.071,0.078,3.232,NA,3.392,0.584
"43","S.DS.17",-30.29658792,115.1623364,"5","Spearwood deep sand","Middle Pleistocene","500000","Tamala Limestone",0012-06-20,9.86,3.558,0.55,-0.445,0.019,4.824,8.858,0.27,0.26,0.028,0.043,8.863,NA,2.827,0.302
"44","S.DS.2",-30.19280143,115.1079648,"5","Spearwood deep sand","Middle Pleistocene","500000","Tamala Limestone",0014-06-20,12.987,2.315,1.035,0.44,0.047,6.113,9.168,0.456,0.255,0.063,0.074,3.826,NA,2.482,0.692
"45","S.DS.23",-30.29954002,115.119648,"5","Spearwood deep sand","Middle Pleistocene","500000","Tamala Limestone",0012-06-20,8.879,3.788,0.599,-0.227,0.022,4.661,8.159,0.135,0.361,0.045,0.057,8.035,NA,3.97,0.375
"46","S.DS.25",-30.20821759,115.0670687,"5","Spearwood deep sand","Middle Pleistocene","500000","Tamala Limestone",0013-06-20,7.773,2.842,1.61,-0.257,0.111,17.699,12.387,0.641,0.301,0.074,0.072,6.754,NA,1.76,0.327
"47","S.DS.3",-30.25891176,115.107134,"5","Spearwood deep sand","Middle Pleistocene","500000","Tamala Limestone",0012-06-20,7.83,3.475,0.253,-0.434,0.029,2.656,5.16,0.491,0.574,0.037,0.056,2.684,NA,4.535,0.385
"48","S.DS.4",-30.17916399,115.0968566,"5","Spearwood deep sand","Middle Pleistocene","500000","Tamala Limestone",0014-06-20,8.499,2.358,1.457,0.341,0.015,6.351,11.162,0.437,0.252,0.091,0.056,8.837,NA,2.977,0.446
"49","S.DS.6",-30.10710997,115.08622,"5","Spearwood deep sand","Middle Pleistocene","500000","Tamala Limestone",0016-06-20,8.469,1.608,1.02,0.195,0.073,7.175,9.063,0.398,0.234,0.064,0.053,2.695,NA,2.535,0.338
"50","S.DS.9",-30.2640601,115.1006166,"5","Spearwood deep sand","Middle Pleistocene","500000","Tamala Limestone",0012-06-20,8.589,3.558,0.657,-0.399,0.078,5.385,5.275,0.407,0.259,0.055,0.048,3.119,NA,3.537,0.35
"51","S.W.11",-30.19209241,115.0630152,"4","Spearwood west","Late Pleistocene","120000","Tamala Limestone",0015-06-20,12.18,1.727,2.166,-0.216,0.296,21.68,27.7,1.227,0.694,0.119,0.111,7.861,NA,4.025,0.862
"52","S.W.14",-30.08264445,115.0524686,"4","Spearwood west","Late Pleistocene","120000","Tamala Limestone",0013-06-20,9.879,2.654,0.75,-0.332,0.175,21.737,20.962,0.608,0.505,0.178,0.132,10.082,NA,5.885,0.391
"53","S.W.17",-30.22864991,115.0685099,"4","Spearwood west","Late Pleistocene","120000","Tamala Limestone",0015-06-20,6.67,1.913,0.473,-0.127,0.139,17.376,18.826,1.106,0.565,0.094,0.096,7.082,NA,4.995,0.577
"54","S.W.26",-30.24039765,115.0693132,"4","Spearwood west","Late Pleistocene","120000","Tamala Limestone",0012-06-20,12.059,3.424,0.455,-0.149,0.018,16.961,21.315,1.128,0.627,0.071,0.114,13.465,NA,4.585,0.927
"55","S.W.3",-30.14323002,115.0621127,"4","Spearwood west","Late Pleistocene","120000","Tamala Limestone",0016-06-20,15.192,2.651,1.786,-0.257,0.48,43.089,46.125,1.37,1.378,0.251,0.165,27.265,NA,6.155,1.049
"56","S.W.34",-30.02759001,115.038893,"4","Spearwood west","Late Pleistocene","120000","Tamala Limestone",0016-06-20,10.045,3.238,1.754,-0.142,0.135,16.048,17.765,1.013,0.631,0.153,0.139,10.899,NA,4.025,0.36
"57","S.W.35",-30.19789126,115.073864,"4","Spearwood west","Late Pleistocene","120000","Tamala Limestone",0014-06-20,6.911,3.144,1.221,0.054,0.054,22.83,16.376,0.966,0.76,0.102,0.098,8.528,NA,3.541,0.628
"58","S.W.36",-30.19148245,115.0742914,"4","Spearwood west","Late Pleistocene","120000","Tamala Limestone",0014-06-20,6.926,2.462,1.232,0.056,0.149,22.648,24.665,1.17,1.025,0.111,0.138,11.129,NA,5.468,0.629
"59","S.W.6",-30.09802817,115.0579672,"4","Spearwood west","Late Pleistocene","120000","Tamala Limestone",0013-06-20,7.633,3.518,2.015,-0.332,0.302,31.243,29.983,1.475,0.84,0.222,0.187,29.79,NA,5.995,0.689
"60","S.W.8",-30.23528368,115.0706568,"4","Spearwood west","Late Pleistocene","120000","Tamala Limestone",0013-06-20,14.416,4.031,0.959,-0.266,0.148,15.441,19.598,0.638,0.756,0.085,0.106,8.355,NA,3.68,0.695
