"","plot","species","fresh","dry","count","area","sla","lma","ldmc","N_mature","P_mature","K_mature","C_mature","d15N","d13C","Ca_mature","Cu_mature","Fe_mature","Mg_mature","Mn_mature","Mo_mature","Na_mature","S_mature","Zn_mature","N_senesced","P_senesced","K_senesced","family","genus","growthform","strategy"
"24","B.NL.1","Astroloma xerophyllum",0.0362,0.0176,10,121.766011,6.918523353,144.5395136,486.1878453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ericaceae","Astroloma","shrub","Ericoid"
"25","B.NL.1","Astroloma xerophyllum",0.0423,0.0213,10,172.1602076,8.082638855,123.7219698,503.5460993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ericaceae","Astroloma","shrub","Ericoid"
"26","B.NL.1","Blancoa canescens (Winter Bell)",0.929,0.3379,5,1759.073945,5.205900991,192.0897078,363.7244349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haemodoraceae","Blancoa","sedge","Sand-binding"
"27","B.NL.1","Blancoa canescens (Winter Bell)",0.9656,0.3557,5,1763.296127,4.957256473,201.7244832,368.3719967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haemodoraceae","Blancoa","sedge","Sand-binding"
"28","B.NL.1","Conospermum canaliculatum",0.6965,0.2776,5,914.298827,3.293583671,303.6206455,398.5642498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Proteaceae","Conospermum","shrub","Cluster roots"
"29","B.NL.1","Conospermum canaliculatum",1.3771,0.4735,5,1665.831082,3.518122664,284.2425053,343.8385012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Proteaceae","Conospermum","shrub","Cluster roots"
"30","B.NL.1","Conostylis aurea (Golden Conostylis)",1.2264,0.4446,5,2510.631417,5.646944259,177.086926,362.5244618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haemodoraceae","Conostylis","sedge","Sand-binding"
"31","B.NL.1","Conostylis aurea (Golden Conostylis)",1.764,0.7708,5,3983.344488,5.167805511,193.5057343,436.9614512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haemodoraceae","Conostylis","sedge","Sand-binding"
"32","B.NL.1","Conostylis crassinervia subsp. absens",0.6758,0.1934,10,1840.617544,9.517153797,105.0734307,286.179343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haemodoraceae","Conostylis","sedge","Non-mycorrhizal"
"33","B.NL.1","Conostylis crassinervia subsp. absens",0.6201,0.1746,10,1618.581907,9.27022856,107.8722055,281.5674891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haemodoraceae","Conostylis","sedge","Non-mycorrhizal"
"34","B.NL.1","Dasypogon obliquifolius",0.816,0.36,10,1387.635374,3.854542707,259.4341472,441.1764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dasyponaceae","Dasypogon","shrub","Sand-binding"
"35","B.NL.1","Dasypogon obliquifolius",0.5792,0.2353,10,1053.908242,4.478998053,223.2642185,406.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dasyponaceae","Dasypogon","shrub","Sand-binding"
