species_name,maximum height,maximum leaf length,maximum leaf width,maximum seed length,minimum height,minimum leaf length,minimum leaf width,minimum seed length
Arthragrostis brassiana,0.7,70,4,NA,NA,30,2,NA
Arthragrostis brassiana var. brassiana,0.7,70,4,NA,NA,30,2,NA
Arthragrostis brassiana var. minutiflora,0.7,70,4,NA,NA,30,2,NA
Arthragrostis clarksoniana,0.8,100,20,1.5,NA,30,20,1.5
Arthragrostis deschampsioides,0.6,100,5,1.4,NA,20,1,1.2
Arthraxon castratu,2,100,15,3.3,NA,30,6,2.5
Arthraxon hispidus,0.75,NA,NA,5,NA,NA,NA,3.5
Arundinella grevillensis,0.25,70,1,1,NA,40,1,1
Arundinella montana,0.9,190,1.5,1.4,NA,50,1.5,1.4
Arundinella nepalensis,NA,400,10,NA,NA,80,3,1.6
Arundinella setosa,1.2,400,5,2,NA,100,2,2
Astrebla elymoides,NA,350,5,NA,NA,120,3,NA
Astrebla lappacea,NA,300,5,NA,NA,80,4,NA
Astrebla pectinata,NA,250,2.7,NA,NA,70,2.7,NA
Astrebla squarrosa,NA,500,6,NA,NA,70,3,2.5
Australopyrum pectinatum,NA,160,4,NA,NA,50,1,NA
Australopyrum retrofractum,NA,NA,NA,NA,NA,NA,NA,NA
Australopyrum velutinum,NA,NA,NA,NA,NA,NA,NA,NA
Austrochloris dichanthioides,1,NA,NA,NA,0.5,NA,NA,NA
Austrofestuca littoralis,NA,NA,NA,NA,NA,NA,NA,NA
Austrostipa aquarii,1,600,2,2.5,0.5,300,1,2
Austrostipa aristiglumis,2,400,6,4.5,1,200,3,3
Austrostipa bigeniculata,1,450,3,4.5,0.2,200,1,3.5
Austrostipa blackii,1,200,2.5,3.8,NA,100,1.5,3.4
Austrostipa blakei,1,280,2,4.5,0.3,150,1.5,NA
Austrostipa breviglumis,1.5,200,2.5,NA,NA,100,2,NA
Austrostipa campylachne,0.8,NA,2,5,NA,NA,1.5,4
Austrostipa centralis,0.8,250,1.5,2.5,0.4,100,1.5,2.5
Austrostipa compressa,0.7,NA,5.5,3.5,0.2,NA,1,3
Austrostipa crinita,1,NA,4,NA,0.5,NA,1,NA
Austrostipa curticoma,1.2,300,5,4,0.6,150,3,NA
Austrostipa densiflora,1.5,130,4.5,3.5,0.6,60,1,3
Austrostipa dongicola,1,350,4,3.5,NA,150,3,3
Austrostipa drummondii,1,NA,6,5,0.3,NA,1,3
Austrostipa echinata,0.5,150,2,NA,NA,70,1,NA
Austrostipa elegantissima,3,NA,2,5,1,NA,1,4
Austrostipa eremophila,1,550,4.5,4.5,0.6,250,1.5,3.4
Austrostipa exilis,0.6,250,0.5,3.5,0.4,50,0.2,3
Austrostipa feresetacea,1,300,0.9,2.5,0.5,150,0.7,2
Austrostipa flavescens,1.2,540,7,4,0.4,90,2,3.5
Austrostipa geoffreyi,1.8,NA,2,6,NA,NA,1,NA
Austrostipa gibbosa,1.5,300,5,3.5,1,150,2,NA
Austrostipa hemipogon,1,NA,3,4,0.4,NA,2,3
Austrostipa juncifolia,1,600,2,NA,0.6,300,1,NA
Austrostipa juncifolia subsp. Southern,1,600,2,NA,0.6,300,1,NA
Austrostipa lanata,0.45,200,4,4,NA,NA,1.5,NA
Austrostipa macalpinei,0.9,NA,2,4,0.2,NA,1,3
Austrostipa metatoris,1,400,4,NA,NA,200,2,NA
Austrostipa mollis,1.5,450,3,4,0.3,150,1.5,NA
Austrostipa muelleri,1,1,0.15,NA,0.5,NA,NA,NA
Austrostipa multispiculis,1,400,8,NA,0.5,200,1,NA
Austrostipa mundula,0.6,80,2,4,0.2,60,0.5,3
Austrostipa nitida,0.75,400,2,3.5,NA,200,1,2.5
Austrostipa nivicola,0.5,200,3.5,7.5,0.25,100,1.5,6
Austrostipa nodosa,1,300,3,4,0.5,150,1,3
Austrostipa nullanulla,0.5,200,3,3,0.4,150,2,2.7
Austrostipa nullarborensis,1,250,5,NA,0.5,100,2,NA
Austrostipa oligostachya,1,200,2,4,0.3,120,0.5,3
Austrostipa petraea,1,500,1.5,NA,0.5,250,NA,NA
Austrostipa pilata,0.85,120,6,3,0.4,60,0.8,2.7
Austrostipa platychaeta,2,150,8,3.5,0.6,70,1,3
Austrostipa plumigera,0.6,350,3,4,0.3,150,2,3.5
Austrostipa puberula,0.8,NA,2,5,0.3,NA,1,2
Austrostipa pubescens,1.5,500,4,8,0.8,250,2,5
Austrostipa pubinodis,1.1,500,2.5,7.5,0.6,150,1,6
Austrostipa pycnostachya,0.6,NA,2,2.7,0.15,NA,1,2
Austrostipa ramosissima,2.5,400,10,1.6,1,350,1,1.5
Austrostipa rudis,1.2,400,5,6,0.6,200,2,3
Austrostipa rudis subsp. australis,1.2,400,5,6,0.6,200,2,3
Austrostipa rudis subsp. nervosa,1.2,400,5,6,0.6,200,2,3
Austrostipa scabra,0.6,600,2,4.5,0.3,NA,0.7,2.5
Austrostipa scabra subsp. falcata,0.6,600,2,4.5,0.3,NA,0.7,2.5
Austrostipa scabra subsp. Scabra,0.6,600,2,4.5,0.3,NA,0.7,2.5
Austrostipa semibarbata,1,350,3,6.5,0.3,150,1,5.5
Austrostipa setacea,0.8,300,1.5,3,0.4,150,0.5,2.5
Austrostipa stipoides,1.2,700,1.1,4,0.3,200,0.6,NA
Austrostipa stuposa,1.4,300,5,5,0.8,190,2,4
Austrostipa tenuifolia,1,NA,2,5,0.3,NA,0.5,3
Austrostipa trichophylla,0.6,NA,2,3,0.2,NA,0.3,2.3
Austrostipa tuckeri,0.5,NA,4.5,3,0.2,NA,0.3,2.5
Austrostipa variabilis,0.8,250,4,4,0.3,90,0.5,3
Austrostipa verticillata,1,NA,3,3.5,0.5,NA,1,2.1
Austrostipa vickeryana,0.45,180,4,NA,0.2,90,1.5,NA
Austrostipa wakoolica,1,400,2.5,4,NA,200,1.5,3
Bambusa arnhemica,15,200,18,NA,5,80,7,NA
Bothriochloa biloba,1,200,5,NA,0.5,70,3,NA
Bothriochloa bladhii,1.5,550,12,2,0.5,100,2,NA
Bothriochloa bladhii subsp. bladhii,1.5,550,12,2,0.5,100,2,NA
Bothriochloa bunyensis,0.6,120,5,3,0.3,60,2,NA
Bothriochloa decipiens,2,250,6,2.5,0.3,60,2,1.85
Bothriochloa decipiens var. cloncurrensis,2,250,6,2.5,0.3,60,2,1.85
Bothriochloa decipiens var. decipiens,2,250,6,2.5,0.3,60,2,1.85
Bothriochloa erianthoides,1.5,300,8,3.5,0.8,70,5,3
Bothriochloa ewartiana,0.6,150,6,2.5,0.3,70,3,NA
Bothriochloa macra,NA,NA,NA,NA,NA,NA,NA,NA
Brachyachne ciliaris,NA,30,2,1.5,NA,10,1,1
Brachyachne convergens,0.6,60,3,2,0.2,30,2,1.7
Brachyachne prostrata,0.1,110,1.5,1.5,0.05,10,0.5,1.2
Brachyachne tenella,0.6,100,2,1,0.2,50,1,NA
Calyptochloa cylindropserma,0.4,300,4,NA,NA,150,2,NA
Calyptochloa gracillima,0.3,40,6,1.8,0.1,12,2,1.6
Capillipedium parviflorum,1.5,300,7,1.5,0.5,100,2,NA
Capillipedium spicigerum,1.5,250,7,2.8,1,100,5,1.7
Cenchrus basedowii,0.7,200,7,NA,0.1,100,5,NA
Cenchrus brevisetosus,1.5,340,10.2,NA,0.4,140,3.3,NA
Cenchrus caliculatus,3,560,19,NA,0.4,140,3,NA
Cenchrus elymoides,1.5,340,10.2,NA,0.4,140,3.3,NA
Cenchrus elymoides var. elymoides,1.5,340,10.2,NA,0.4,140,3.3,NA
Cenchrus robustus,1,220,7,NA,0.4,60,3,NA
Centotheca lappacea,1,120,20,NA,0.3,80,15,NA
Centotheca philippinensis,1,155,12,NA,0.21,25,3,NA
Chamaeraphis hordeacea,0.6,100,5,NA,0.25,30,2,NA
Chionachne cyathopoda,4,600,30,NA,2,130,10,NA
Chionachne hubbardiana,1,400,15,NA,0.3,60,5,NA
Chionochloa frigida,1.2,600,6,3.5,0.6,300,4,NA
Chionochloa howensis,1,600,12,NA,0.5,300,6,NA
Chloris divaricata,0.6,150,2,2.2,0.25,30,1,1.5
Chloris divaricata var. cynodontoides,0.6,150,2,2.2,0.25,30,1,1.5
Chloris divaricata var. divaricata,0.6,150,2,2.2,0.25,30,1,1.5
Chloris lobata,0.45,150,2,2.4,0.15,10,0.2,1.5
Chloris pectinata,0.75,150,5,2.3,0.1,50,2,1.7
Chloris pumilio,0.9,120,4,3.3,0.22,70,2,1.2
Chloris truncata,0.45,170,3,2.2,0.1,30,1.5,1.5
Chloris ventricosa,1,200,3,3,0.5,40,2,1.5
Chrysopogon elongatus,2.5,500,8,NA,1.5,250,4,NA
Chrysopogon filipes,NA,450,6,4,NA,150,3,NA
Chrysopogon latifolius,1.5,600,20,5,1,300,10,3
Chrysopogon oliganthus,1.2,550,5,3,0.6,250,2.5,NA
Chrysopogon pallidus,1.5,400,6,NA,1,200,3,NA
Chrysopogon rigidus,1.5,500,5,5,1.3,300,3,3
Chrysopogon setifolius,0.5,200,1,NA,0.4,80,0.75,NA
Chrysopogon sylvaticus,1.2,500,6,NA,0.3,250,2.5,NA
Clausospicula extensa,0.45,300,2.6,5.6,0.3,NA,1.4,NA
Cleistochloa rigida,NA,100,NA,NA,NA,20,NA,NA
Cleistochloa sclerachne,0.9,120,6,NA,0.4,45,3,NA
Cleistochloa subjuncea,0.6,60,3,2.8,0.3,10,0.5,NA
Coelachne pulchella,NA,NA,NA,NA,NA,NA,NA,NA
Coix gasteenii,1.8,1500,23,5,1,90,10,4
Cymbopogon ambiguus,NA,500,5,2,NA,150,1,NA
Cymbopogon bombycinus,1.2,400,4.5,5,0.3,150,1,2
Cymbopogon dependens,1.2,300,2.5,NA,0.9,150,0.5,NA
Cymbopogon globosus,2,600,8,1.5,1,300,3,NA
Cymbopogon gratus,0.35,200,4,NA,NA,100,2,NA
Cymbopogon obtectus,1,350,3,NA,0.5,150,1,NA
Cymbopogon procerus,2,500,15,2,1,250,5,NA
Cymbopogon queenslandicus,1.5,500,10,NA,0.7,150,3,NA
Cymbopogon refractus,1.5,400,4,2.5,0.3,100,1,NA
Cynochloris macivorii,0.5,120,NA,NA,0.2,20,NA,NA
Cynochloris reynoldensis,0.4,70,1.5,NA,0.1,20,0.5,NA
Cynodon dactylon var. pulchellus,0.4,20,4,NA,0.08,10,0.5,NA
Cyperochloa hirsuta,0.5,70,2,2,0.07,30,0.8,1.5
Cyrtococcum capitis-york,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtococcum deltoideum,NA,NA,NA,NA,NA,NA,NA,NA
Cyrtococcum oxyphyllum,0.6,200,15,NA,0.15,20,5,NA
Cyrtococcum patens,0.3,70,5,NA,0.15,25,3,NA
Dactyloctenium buchananensis,0.4,30,1.5,NA,0.08,15,1,NA
Dactyloctenium radulans,0.4,80,4,NA,0.07,40,3,NA
Dallwatsonia felliana,1.3,300,7,NA,0.7,150,3.5,NA
Deschampsia cespitosa,2,600,5,NA,0.2,80,1.5,NA
Deschampsia gracillima,0.2,40,0.5,NA,0.05,10,NA,NA
Deyeuxia acuminata,1,300,5,NA,NA,150,2,NA
Deyeuxia affinis,0.3,60,3,NA,NA,10,NA,NA
Deyeuxia angustifolia,0.7,300,4,NA,0.3,150,1,NA
Deyeuxia appressa,0.9,300,4,NA,NA,100,2,NA
Deyeuxia apsleyensis,0.9,350,1.5,3,0.5,150,1,NA
Deyeuxia boormanii,NA,NA,NA,NA,NA,NA,NA,NA
Deyeuxia brachyathera,1.2,350,7,NA,0.6,100,3,NA
Deyeuxia breviglumis,0.54,95,1,NA,0.05,20,0.4,NA
Deyeuxia carinata,0.55,120,4,NA,0.2,50,1,NA
Deyeuxia contracta,1.1,170,4,NA,0.3,40,2,NA
Deyeuxia crassiuscula,0.3,100,6,NA,0.15,30,2,NA
Deyeuxia decipiens,1,300,4,NA,0.45,100,3,NA
Deyeuxia densa,0.9,150,3,NA,0.3,20,1,NA
Deyeuxia drummondii,0.25,80,1.5,NA,0.05,10,1,NA
Deyeuxia frigida,1.5,200,6,NA,0.8,100,1.5,NA
Deyeuxia gunniana,0.4,150,0.8,NA,0.07,20,0.5,NA
Deyeuxia imbricata,1.2,300,45,NA,0.8,150,20,NA
Deyeuxia inaequalis,0.75,120,5,NA,NA,50,1,NA
Deyeuxia innominata,0.25,80,3,1.5,0.15,40,0.5,NA
Deyeuxia lawrencei,0.6,150,4,NA,0.5,40,1.5,NA
Deyeuxia mckiei,1.2,300,6,NA,0.6,50,2,NA
Deyeuxia mesathera,1.2,450,3,NA,0.8,80,2,NA
Deyeuxia microseta,1.2,200,5,NA,0.4,50,1.5,NA
Deyeuxia minor,0.45,200,2,NA,0.08,20,1,NA
Deyeuxia monticola,1.35,200,2,NA,0.1,50,1,NA
Deyeuxia nudiflora,0.7,100,2,NA,0.4,40,1,NA
Deyeuxia parviseta,NA,250,4,NA,NA,100,2,NA
Deyeuxia parviseta var. boormanii,NA,250,4,NA,NA,100,2,NA
Deyeuxia parviseta var. parviseta,NA,250,4,NA,NA,100,2,NA
Deyeuxia pungens,1.5,450,1.5,NA,0.5,200,NA,NA
Deyeuxia quadriseta,1.2,300,7,NA,0.15,100,2.5,NA
Deyeuxia ramosa,1.3,160,3,NA,0.55,70,1,NA
Deyeuxia reflexa,1.2,300,5,NA,NA,150,2,NA
Deyeuxia rodwayi,0.7,230,3,2,0.15,40,0.7,NA
Deyeuxia scaberula,0.9,200,5,NA,0.6,50,1.5,NA
Deyeuxia talariata,1.1,400,3,NA,0.25,60,1.5,NA
Deyeuxia valida,1.4,220,4,NA,0.25,50,1,NA
Dichanthium fecundum,1.5,250,5,2.5,0.6,100,2,1.9
Dichanthium queenslandicum,0.8,180,5,4,0.4,90,3,NA
Dichanthium sericeum subsp. humilius,1.2,150,4,2,0.1,80,2,1
Dichanthium sericeum subsp. polystachyum,1.2,150,4,2,0.1,80,2,1
Dichanthium setosum,0.7,150,3.5,3,0.3,70,2,NA
Dichanthium tenue,0.7,150,3.5,2.5,0.3,70,2,NA
Dichelachne crinita,1.25,200,5,3.5,0.5,55,2,2.8
Dichelachne hirtella,0.8,260,7,3.4,0.2,50,0.9,3.2
Dichelachne inaequiglumis,1.35,285,4,3.4,0.25,20,1,2
Dichelachne micrantha,0.95,230,5,4.45,0.3,70,2,2
Dichelachne parva,0.8,200,2.5,3,0.15,40,1,NA
Dichelachne rara,1.3,170,4.5,3.25,0.18,40,1,1.9
Dichelachne sieberiana,0.9,290,2.2,3.8,0.2,30,1,2.5
Digitaria ammophila,0.6,200,7.5,NA,0.154,40,3,NA
Digitaria baileyi,0.9,140,5,NA,0.45,30,2,NA
Digitaria basaltica,0.9,100,5,NA,0.7,90,3,NA
Digitaria breviglumis,0.6,75,0.8,NA,0.3,25,0.5,NA
Digitaria brownii,1,120,7,NA,0.3,30,0.5,NA
Digitaria coenicola,NA,80,6,NA,NA,NA,2,NA
Digitaria cowiei,0.45,80,3,NA,0.3,20,1,NA
Digitaria ctenantha,NA,NA,NA,NA,NA,NA,NA,NA
Digitaria diffusa,0.4,80,3,NA,0.1,15,0.75,NA
Digitaria diminuta,0.65,90,0.5,NA,0.1,30,0.2,NA
Digitaria divaricatissima,0.6,220,7,NA,0.02,20,2.5,NA
Digitaria dolleryi,0.4,25,2,NA,0.2,10,1,NA
Digitaria fumida,0.8,180,4.5,NA,0.3,40,1.5,NA
Digitaria gibbosa,0.4,150,4,NA,0.25,25,1,NA
Digitaria hubbardii,0.6,110,3,NA,0.2,18,1,NA
Digitaria hystrichoides,0.6,180,8,NA,0.15,30,3,NA
Digitaria imbricata,0.6,75,3.1,NA,0.3,20,2.4,NA
Digitaria lanceolata,0.4,200,3.4,NA,0.3,90,2.2,NA
Digitaria leucostachya,1,250,8,NA,0.4,50,2,NA
Digitaria longiflora,0.6,130,5,NA,0.1,25,1,NA
Digitaria mariannensis,NA,NA,NA,NA,NA,NA,NA,NA
Digitaria minima,0.6,57,2,NA,0.3,5,1,NA
Digitaria nematostachya,0.55,250,7,NA,0.35,60,3.5,NA
Digitaria oraria,0.7,80,4,NA,0.4,20,2,NA
Digitaria orbata,0.85,250,5.5,NA,0.4,60,1.8,NA
Digitaria papposa,0.7,270,8,NA,0.4,90,3,NA
Digitaria parviflora,0.9,350,8,NA,0.4,30,3,NA
Digitaria porrecta,0.7,150,4,NA,0.4,60,2.8,NA
Digitaria ramularis,0.9,250,5.5,NA,0.3,50,1.1,NA
Digitaria setigera,0.8,250,13,NA,0.2,30,3,NA
Digitaria sharpeana,0.9,300,3,2.5,0.4,50,2,2
Digitaria stenostachya,0.5,120,3,NA,0.3,50,1,NA
Digitaria veldkampiana,0.5,60,4,NA,0.3,20,2,NA
Dimeria acinaciformis,0.4,40,2,NA,0.1,10,1,NA
Dimeria chloridiformis,1,250,6,NA,0.5,80,2,NA
Dimeria ornithopoda,0.5,70,3,NA,0.05,5,0.5,NA
Distichlis distichophylla,0.6,80,4,NA,0.07,10,1,NA
Dryopoa dives,3,NA,NA,NA,NA,NA,NA,NA
Echinochloa dietrichiana,1.5,300,10,1.8,NA,200,NA,1.6
Echinochloa elliptica,1.5,500,15,2.3,0.5,70,5,1.9
Echinochloa inundata,1.5,400,15,2.2,0.3,100,6,1.8
Echinochloa kimberleyensis,2,420,15,3.5,0.7,150,4,2.75
Echinochloa lacunaria,0.9,400,14,2.3,0.45,90,4,2.2
Echinochloa macrandra,2,400,14,3.1,0.7,120,4,3
Echinochloa picta,1.5,450,20,NA,0.3,100,3,NA
Echinochloa telmatophila,1.8,350,18,2.3,0.5,100,7,1.8
Echinochloa turneriana,1.3,300,15,NA,0.15,50,4,NA
Echinopogon caespitosus,NA,250,5,NA,NA,150,1.5,NA
Echinopogon caespitosus var. caespitosus,NA,250,5,NA,NA,150,1.5,NA
Echinopogon caespitosus var. cunninghamii,NA,250,5,NA,NA,150,1.5,NA
Echinopogon cheelii,1.7,140,10,NA,0.2,30,4,NA
Echinopogon intermedius,0.95,130,7,3.5,0.2,25,3,3
Echinopogon mckiei,0.5,120,3,1.5,0.05,20,1,NA
Echinopogon nutans,NA,150,6,NA,NA,20,3,NA
Echinopogon nutans var. major,NA,150,6,NA,NA,20,3,NA
Echinopogon nutans var. nutans,NA,150,6,NA,NA,20,3,NA
Echinopogon ovatus,0.5,160,8.5,2.5,0.1,15,2,2
Echinopogon phleoides,0.7,180,4,NA,0.25,40,2,NA
Ectrosia agrostoides,NA,90,2,0.6,NA,10,0.2,0.6
Ectrosia anomala,0.6,100,3,1,0.1,30,0.7,1
Ectrosia appressa,0.5,130,4,NA,0.25,70,2,NA
Ectrosia blakei,0.45,100,2.5,2,0.1,50,1,1.5
Ectrosia confusa,0.3,80,2,1,0.15,40,0.6,1
Ectrosia danesii,0.4,85,4,1.5,0.06,40,1.5,1
Ectrosia gulliveri,0.55,120,4,1,0.1,50,0.7,1
Ectrosia lasioclada,0.9,300,3.1,NA,0.3,100,1,NA
Ectrosia laxa,0.6,150,2.8,1.7,0.3,70,0.8,1.1
Ectrosia leporina,0.9,120,4,NA,0.1,50,1,NA
Ectrosia nervilemma,0.4,100,4,1.5,0.12,20,1,1.3
Ectrosia ovata,0.5,150,2.5,2,0.2,60,1,1.5
Ectrosia scabrida,0.4,120,3,1.8,0.06,60,0.7,1
Ectrosia schultzii,0.6,230,4.5,1,0.25,100,2,1
Ectrosia schultzii var. annua,0.6,130,4.5,1,0.25,30,2,1
Ectrosia schultzii var. schultzii,0.6,230,4.5,1,0.25,30,2,1
Elionurus citreus,1,400,5,3,0.5,200,2,3
Elymus multiflorus,NA,NA,NA,NA,NA,NA,NA,NA
Elymus rectisetus,NA,NA,NA,NA,NA,NA,NA,NA
Elytrophorus spicatus,0.6,250,0.7,0.9,0.05,50,0.5,0.5
Enneapogon asperatus,0.7,30,NA,NA,0.3,10,NA,NA
Enneapogon avenaceus,0.45,NA,3,1.6,0.07,NA,1,1
Enneapogon caerulescens,0.4,NA,1,2,0.1,NA,1,1.2
Enneapogon cylindricus,0.5,NA,2,2,0.1,NA,1,1
