Genus Authority,Photosynthetic types,Species sampled,References,Notes
Iseilema Anderss.,C4,Iseilema vaginiflorum Domin,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Ixophorus Schlecht.,C4,Ixophorus unisetus (Presl) Schlecht.,Watson & Dallwitz (1992 onwards),
Jansenella Bor,C3,Jansenella griffithiana (C. Mueller) Bor. ,Metcalfe (1960); Türpe (1970),Watson & Dallwitz (1992 onwards) note - supposedly C3 [but needing further study: certainly the anatomical drawings of Türpe (1970) show neither ‘circular cells’ nor the expected small bundles]
Jouvea Fourn.,C4,"Jouvea pilosa (Presl) Scribn., Jouvea straminea Fourn.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Kampochloa D.Clayton,C4,Kampochloa brachyphylla W. Clayton,Watson & Dallwitz (1992 onwards),
Kaokochloa de Winter,C4,Kaokochloa nigrirostris De Winter,Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis ,
Kerriochloa C.E.Hubbard,C4,Kerriochloa siamensis C.E.Hubb.,Renvoize (1982),
Kinabaluchloa Wong,C3, -,BEP clade,
Koeleria Pers.,C3,"Koeleria australiensis Domin, Koeleria pyramidata (Lam.) P.Beauv. (= Koeleria cristata Pers.), Koeleria phleoides (Vill.) Pers. (Rostraria), Koeleria vallesiana (Honck.) Bertol. ex Schult.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Koordersiochloa Merr.,C3,Koordersiochloa longiarista (A.Rich.) Veldkamp (=Streblochaete longiarista Pilger),Watson & Dallwitz (1992 onwards),
Lagurus L.,C3,Lagurus ovatus L.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Lamarckia Moench,C3,Lamarckia aurea (L.) Moench.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Lasiacis Hitchc.,C3,"Lasiacis ligulata Hitchc. & Chase, Lasiacis nigra Davidse, Lasiacis procerrima Hitchc. ex Chase, Lasiacis sorghoides Hitchc. & Chase",Watson & Dallwitz (1992 onwards),
Lasiurus Boiss.,C4,Lasiurus hirsutus (Forrsk.) Boiss.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Lecomtella A.Camus,C3,Lecomtella madagascariensis A. Camus,Watson & Dallwitz (1992 onwards),
Leersia Sw.,C3,"Leersia hexandra Swartz, Leersia oryzoides (L.) Sw.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Leptagrostis C.E.Hubbard,C3,Leptagrostis schimperiana (Hochst.) C.E.Hubb.,Renvoize (1986),
Leptaspis R.Br,C3,"Leptaspis banksii (R. Br.), Leptaspis zeylanica Nees ex Steud. (=Leptaspis cochleata Thwaites)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Leptocarydion Stapf,C4,Leptocarydion vulpiastrum (De Not) Stapf,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,
Leptochloa Beauv.,C4,"Leptochloa decipiens (R. Br.) Stapf ex Maiden, Leptochloa digitata (R. Br.) Domin, Leptochloa filiformis (Lam.) Beauv., Leptochloa neesii (Thw.) Benth., Leptochloa panicea (Retz.) Ohwi, Leptochloa uniflora Hochst., Leptochloa virgata (L.) P. Beauv., Leptochloa caerulescens Steud.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Leptocoryphium Nees,C4,Leptocoryphium lanatum Nees,Watson & Dallwitz (1992 onwards),
Leptothrium Kunth,C4,"Leptothrium rigidum Kunth, Leptothrium senegalensis Kunth",Watson & Dallwitz (1992 onwards),
Lepturidium Hitchc. & Ekman,C4,Lepturidium insulare Hitchc. & Ekman,Watson & Dallwitz (1992 onwards),
Lepturopetium Morat,C4,Lepturopetium marshallense Fosberg & Sachet,Watson & Dallwitz (1992 onwards),
Lepturus R.Br.,C4,Lepturus repens (Forst.) R. Br.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Leymus Hochst.,C3,"Leymus arenarius (L.) Hochst. (=Elymus arenarius L.), Leymus condensatus (J.Presl) Á.Löve  (=Elymus condensatus J.Presl)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Libyella Pamp.,C3,Libyella cyrenaica (Dur. & Barr.) Pamp.,Watson & Dallwitz (1992 onwards),
Limnas Trin.,C3,Limnas stelleri Trin.,Watson & Dallwitz (1992 onwards),
Limnodea Dewey,C3,Limnodea arkansana (Nutt.) Dewey,Watson & Dallwitz (1992 onwards),
Limnopoa C.E.Hubbard,C3,Limnopoa meeboldii (Fischer) Hubbard,Watson & Dallwitz (1992 onwards),
Lindbergella Bor,C3,Lindbergella sintenisii (Lindb.) Bor,Watson & Dallwitz (1992 onwards),
Lintonia Stapf,C4,Lintonia nutans Stapf,Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,
Lithachne Beauv.,C3,Lithachne pauciflora Beauv.,Watson & Dallwitz (1992 onwards),
Littledalea Hemsl.,C3,Littledalea racemosa Keng,Watson & Dallwitz (1992 onwards),
Loliolum Krecz. & Bobrov,C3,Loliolum subulatum (Banks and Soland.) Eig,Watson & Dallwitz (1992 onwards),
Lolium L.,C3,"Lolium perenne L., Lolium rigidum Gaud., Lolium multiflorum Lam.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Lophacme Stapf,C4,Lophacme digitata Stapf,Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,
Lophatherum Brongn.,C3,Lophatherum gracile Brongn,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Lopholepis Decaisne,C4,Lopholepis ornithocephala Steud.,Watson & Dallwitz (1992 onwards),
Lophopogon Hack.,C4,Lophopogon tridentatus (Roxb.) Hack.,This study,L. tridentatus: C4 isotope value = -13.1
Loudetia Steud.,C4,"Loudetia simplex (Nees) C.E. Hubb., Loudetia flavida (Stapf) C.E.Hubb., Loudetia superba De Not (Tristachya)",Metcalfe (1960); Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,
Loudetiopsis Conert,C4,Loudetiopsis chrysothrix (Nees) Conert,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Louisiella Hubbard & Leonard,C4,Louisiella fluitans Hubbard & Leonard,Watson & Dallwitz (1992 onwards),
Loxodera Launert,C4,"Loxodera caespitosa (C.E. Hubb.) Clayton, Loxodera ledermannii (Pilger) Clayton",Watson & Dallwitz (1992 onwards),
Luziola Juss.,C3,Luziola pittieri Luces,Watson & Dallwitz (1992 onwards),
Lycochloa Samuels.,C3,Lycochloa avenacea Sam.,Metcalfe (1960),
Lycurus Kunth,C4,Lycurus phleoides H. B. & K.,Watson & Dallwitz (1992 onwards),
Lygeum L.,C3,Lygeum spartum L.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Maclurochloa Wong,C3, -,BEP clade,
Maclurolyra Cald. & Sod.,C3, -,BEP clade,
Maltebrunia Kunth,C3,Maltebrunia leersioides Kunth,Watson & Dallwitz (1992 onwards),
Manisuris L.,C4,Manisuris myuros L.,Watson & Dallwitz (1992 onwards),
Megalachne Steud.,C3,Megalachne berteroniana Steud.,Watson & Dallwitz (1992 onwards),
Megaloprotachne C.E.Hubbard,C4,Megaloprotachne albescens Hubbard,Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,
Megastachya Beauv.,C3,Megastachya mucronata (Poir.) P.Beauv.,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,
Melanocenchris Nees,C4,Melanocenchris abyssinica (R. Br.) Hochst.,Watson & Dallwitz (1992 onwards),
Melica L.,C3,"Melica argentata E. Desv., Melica argyrea Hack., Melica californica Scribn., Melica ciliata L., Melica uniflora Retz., Melica altissima L.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Melinis Beauv.,C4,Melinis minutiflora Domin,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Melocalamus Benth.,C3, -,BEP clade,
Melocanna Trin.,C3,Melocanna bambusoides Trin.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Merostachys Spreng.,C3,"Merostachys ‘anceps’, Merostachys riedeliana Rupr. ex Döll",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Merxmuellera Conert,C3,"Merxmuellera davyi (C.E.Hubb.) Conert, Merxmuellera macowanii (Stapf) Conert",Ellis (1981),
Mesosetum Steud.,C4,"Mesosetum altum Swallen, Mesosetum loliiforme (Hochst. ex Steud.) Hitchc., Mesosetum pittieri Hitchc.",Watson & Dallwitz (1992 onwards),
Metcalfia Conert,C3,Metcalfia mexicana Conert,Watson & Dallwitz (1992 onwards),
Mibora Adanson,C3,"Mibora minima (L.) Desv., Mibora verna Beauv. (= M. minima)",Watson & Dallwitz (1992 onwards),
Micraira F.Muell.,C3,"Micraira sp. nov. Lazarides, Micraira subulifolia F. Muell.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Microbriza Nicora & Rugolo,C3,Microbriza poaemorpha (Presl.) Parodi,Watson & Dallwitz (1992 onwards),
Microcalamus Franch.,C3,Microcalamus barbinoides Franch.,Watson & Dallwitz (1992 onwards),
Microchloa R.Br.,C4,Microchloa indica (L.f.) Beauv.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Micropyropsis Romero-Zarco & Cabezudo,C3,-,BEP clade,
Micropyrum Link,C3,Micropyrum tenellum L.,Watson & Dallwitz (1992 onwards),
Microstegium Nees,C4,"Microstegium spectabile (Trin.) A. Camus, Microstegium ciliatum (Trin.) A.Camus",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Milium L.,C3,Milium effusum L.,Watson & Dallwitz (1992 onwards),
Miscanthus Anderss.,C4,"Miscanthidium sorghum (Nees) Stapf, Miscanthus sinensis Anderss. (=Miscanthus condensatus Hack.), Miscanthus sacchariflorus (Maxim.) Hack.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Mnesithea Kunth,C4,"Mnesithea laevis (Retz.) Kunth, Mnesithea mollicoma (Hance) A. Camus",Watson & Dallwitz (1992 onwards),
Mniochloa Chase,C3,"Mniochloa strephioides (Griseb.) Chase, Mniochloa pulchella (Griseb.) Chase",Zuloaga et al. (1993),
Molinia Schrank,C3,Molinia caerulea (L.) Moench,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Monachather Steud.,C3,Monachather paradoxa Steud.,Watson & Dallwitz (1992 onwards),
Monanthochloe Engelm.,C4,Monanthochloë littoralis Engelm.,Watson & Dallwitz (1992 onwards),
Monelytrum Hack.,C4,Monelytrum luderitzianum Hack.,Metcalfe (1960); Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,
Monocymbium Stapf,C4,Monocymbium ceresiiforme (Nees) Stapf,Watson & Dallwitz (1992 onwards),
Monodia Jacobs,C4,Monodia stipoides S.W.L. Jacobs,Watson & Dallwitz (1992 onwards),
Mosdenia Stent,C4,Mosdenia leptostachys (Ficalho & Hiern) Clayton,Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,
Muhlenbergia Schreb.,C4,"Muhlenbergia arisanensis Hayata, Muhlenbergia asperifolia Nees & Meyen ex Trin., Muhlenbergia minuscula H. Scholz, Muhlenbergia racemosa (Michx.) Britton, Stern & Poggenb.",Metcalfe (1960); Peterson et al. (1989) Watson & Dallwitz (1992 onwards)," Illustrations of leaf transverse sections showing photosynthetic pathway-related features (Peterson et al., 1989)"
Mullerochloa Wong,C3, -,BEP clade,
Munroa Torrey,C4,Munroa squarrosa (Nutt.) Torr.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Myriocladus Swallen,C3,Myriocladus paludicolus Swallen,Watson & Dallwitz (1992 onwards),
Myriostachya Hook.f.,C4,Myriostachya wightiana (Nees) Hook. f.,Watson & Dallwitz (1992 onwards),
Narduroides Rouy,C3,Narduroides salzmannii (Boiss.) Rouy,Watson & Dallwitz (1992 onwards),
Nardus L.,C3,Nardus stricta L.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Nassella Desv.,C3,"Nassella pubiflora (Trin. & Rupr.) Desv., Nassella trichotoma (Nees) Hackel ex Arechav., Stipa filiculmis Delile (Nassella)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Nastus Juss.,C3,"Nastus hooglandii Holttum, Nastus obtusus Holttum, Nastus elongatus A.Camus, Nastus capitatus Kunth (Cathariostachys)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Neesiochloa Pilger,C4,Neesiochloa barbata (Trin.) Pilger,Watson & Dallwitz (1992 onwards),
Nematopoa C.E.Hubbard,C3,Nematopoa longipes (Stapf & C.E.Hubb.) C.E.Hubb.,Renvoize (1986),
Neobouteloua Gould,C4,Neobouteloua lophostachya (Griseb.) Gould,Watson & Dallwitz (1992 onwards),
Neohouzeaua A.Camus,C3, -,BEP clade,
Neololeba E.A.Widjaja,C3, -,BEP clade,
Neomicrocalamus Keng f.,C3, -,BEP clade,
Neostapfia Davy,C4,Neostapfia colusana Davy,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Neostapfiella A.Camus,C4,"Neostapfiella humbertiana A. Camus, Neostapfiella perrieri A. Camus",Watson & Dallwitz (1992 onwards),
Nephelochloa Boiss.,C3,Nephelochloa orientalis Boiss.,Watson & Dallwitz (1992 onwards),
Neurachne R.Br.,C4 & C3-C4 & C3,"Neurachne alopecuroidea R. Br., Neurachne annularis T. Macfarlane, Neurachne lanigera S.T. Blake, Neurachne minor S.T. Blake, Neurachne munroi (F. Muell.) F. Muell., Neurachne queenslandica S.T. Blake, Neurachne tenuifolia Blake, Neurachne mitchelliana Nees (Thyridolepis)","Hattersley et al. (1982), Hattersley & Roksandic (1983); Christin et al. (2012)",
Neuropoa D.Clayton,C3,-,BEP clade,
Neyraudia Hook.f.,C4,"Neyraudia arundinacea (L.) Henr., Neyraudia neyraudiana (Kunth) Keng",Watson & Dallwitz (1992 onwards),
Notochloe Domin,C3,Notochloë microdon (Benth.) Domin,Watson & Dallwitz (1992 onwards),
Ochlandra Thw.,C3,"Ochlandra stridula Thw., Ochlandra setigera Gamble",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Ochthochloa Edgew.,C4,Ochthochloa compressa Edgew.,Watson & Dallwitz (1992 onwards),
Odontelytrum Hack.,C4,Odontelytrum abyssinicum Hack.,Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,
Odyssea Stapf,C4,Odyssea mucronata Stapf,Watson & Dallwitz (1992 onwards),
Oligostachyum Wang & Ye,C3, -,BEP clade,
Olmeca Soderstrom,C3,Olmeca recta Soderstrom,Watson & Dallwitz (1992 onwards),
Olyra L.,C3,Olyra latifolia L.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
"Ophiochloa Filg., Davidse & Zuloaga",C4, -,Filgueiras et al. (1993),
Ophiuros Gaertn.,C4,Ophiuros megaphyllas Stapf ex Haines,Watson & Dallwitz (1992 onwards),
Opizia Presl,C4,Opizia stolonifera Presl.,Watson & Dallwitz (1992 onwards),
Oplismenopsis Parodi,C3,Oplismenopsis najada (Hack. & Arech.) Parodi,Watson & Dallwitz (1992 onwards),
Oplismenus Beauv.,C3,"Oplismenus aemulus (R. Br.) Roem. & Schult., Oplismenus burmanii (Retz.) P. Beauv., Oplismenus compositus P. Beauv., Oplismenus hirtellus (L.) P. Beauv., Oplismenus undulatifolius (Ard.) Roem. & Schult.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Orcuttia Vasey,C4,"Orcuttia californica Vasey, Orcuttia inaequalis Hoover, Orcuttia pilosa Hoover",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Oreobambos K.Schum,C3,Oreobambos buchwaldii K.Schum,Metcalfe (1960),
Oreochloa Link,C3,Oreochloa disticha (Wulf.) Link,Watson & Dallwitz (1992 onwards),
Oreopoa H.Scholz & Parolly,C3, -,BEP clade,
Orinus Hitchc.,C4,"Orinus kokonorica (Hao) Keng, Orinus thoroldii A. Hitchc.",Watson & Dallwitz (1992 onwards),
Oropetium Trin.,C4,"Oropetium thomaeum (L. f.) Trin., Oropetium capense Stapf, Oropetium aristatum (Stapf) Pilg.",Metcalfe (1960); Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,
Ortachne Steud.,C3,Orthachne breviseta A. Hitchc.,Watson & Dallwitz (1992 onwards),
Orthoclada Beauv.,C3,Orthoclada laxa Beauv.,Watson & Dallwitz (1992 onwards),
Oryza L.,C3,"Oryza australiensis Domin, Oryza sativa L.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Oryzidium Hubbard & Schweick.,C4,Oryzidium barnardii Hubbard & Schweickerdt,Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,
Oryzopsis Michx.,C3,"Oryzopsis asperifolia Michx., Oryzopsis paradoxa (L.) Nutt., Oryzopsis racemosa (Sm.) Ricker ex Hitchc",Metcalfe (1960),
Otachyrium Nees,C3,Otachyrium succisum (Swallen) Sendulsky & Soderstrom,Watson & Dallwitz (1992 onwards),
Otatea Cald. & Sod.,C3,Otatea acuminata (Munro) Calderon & Soderstrom,Watson & Dallwitz (1992 onwards),
Ottochloa Dandy,C3,Ottochloa gracillima Hubbard,Watson & Dallwitz (1992 onwards),
Oxychloris Lazarides,C4,Oxychloris scariosa (F. Muell.) Lazarides,Watson & Dallwitz (1992 onwards),
Oxyrhachis Pilger,C4,Oxyrhachis gracillima (Bak.) C.E. Hubb.,Watson & Dallwitz (1992 onwards),
Oxytenanthera Munro,C3,"Oxytenanthera monadelphia (Thwait.) Alston, Oxytenanthera abyssinica (A.Rich.) Munro",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Panicum L.,C4 (& C3-C4?) & C3,-,-,See Table S4 for detailed listing
Pappophorum Schreb.,C4,"Pappophorum sub-bulbosum Arech, Pappophorum philippianum Parodi (=Pappophorum alopecuroideum Vahl)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Parabambusa E.A.Widjaja,C3, -,BEP clade,
Paractaenum Beauv.,C4,Parectenium novae-hollandiae Beauv.,Watson & Dallwitz (1992 onwards),
Parahyparrhenia A.Camus,C4,Parahyparrhenia annua (Hack.) W.D. Clayton,Watson & Dallwitz (1992 onwards),
Paraneurachne S.T.Blake,C4,Paraneurachne muelleri (Hackel) Blake,Hattersley et al. (1982); Watson & Dallwitz (1992 onwards),
Parapholis C.E.Hubbard,C3,"Parapholis incurva (L.) Hubbard, Parapholis strigosa (Dumort.) C.E.Hubb.
",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Paratheria Griseb.,C4,Paratheria prostrata Griseb.,Watson & Dallwitz (1992 onwards),
Pariana Aubl.,C3,"Pariana bicolor Tutin, Pariana campestris Aubl., Pariana vulgaris Tutin",Metcalfe (1960),
Parodiolyra Soderstr. & Zuloaga,C3,"Parodiolyra lateralis (Presl) Soderstrom & Zuloaga, Parodiolyra luetzelburgii (Pilger) Soderstrom & Zuloaga, Parodiolyra ramosissima (Trin.) Soderstrom & Zuloaga",Watson & Dallwitz (1992 onwards),
Paspalidium Stapf,C4,"Paspalidium flavidum Stapf, Paspalidium gracile (R. Br.) Hughes, Paspalidium jubiflorum (Trin.) Hughes, Paspalidium radiatum Vickery, Paspalidium rarum (R. Br.) Hughes, Paspalidium geminatum (Forssk.) Stapf",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Paspalum L.,C4,"Paspalum conjugatum Berg., Paspalum dilatatum Poiret, Paspalum distichum L., Paspalum paniculatum L., Paspalum repandum G.H. Rua & J.F.M. Valls (=Thrasyopsis repanda (Nees) Parodi), Paspalum scrobiculatum L. (=Paspalum commersonii Lam.), Paspalum vaginatum Swartz.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Pennisetum L. Rich.,C4,"Pennisetum alopecuroides (L.) Sprengel, Pennisetum villosum R. Br., Pennisetum clandestinum Hochst. ex Chiov., Pennisetum macrourum Trin., Pennisetum glaucum (L.) R.Br.  (=Setaria glauca (L.) P.Beauv.)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Pentameris Beauv.,C3,"Pentameris airoides Nees subsp. jugorum (Stapf) Galley & H. P. Linder (=Pentaschistis airoides (Nees) Stapf), Pentameris longiglumis (Nees) Steud., Pentameris thuarii P.Beauv., Pentameris macrocalycina (Steud.) Schweick., Pentameris obtusifolia (Hochst.) Schweick., Pentameris pholiuroides (Stapf) Galley & H.P.Linder (=Prionanthium pholiuroides Stapf)",Ellis (1985); Watson & Dallwitz (1992 onwards),
Pentapogon R.Br.,C3,Pentapogon quadrifidus (Labill.) Baillon,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Pentarrhaphis Kunth,C4,Pentarrhaphis scabra H.B.K.,Watson & Dallwitz (1992 onwards),
Pereilema Presl,C4,"Pereilema brasilianum Trin., Pereilema crinitum J. & C. Presl",Watson & Dallwitz (1992 onwards),
Periballia Trin.,C3,Periballia minuta (L.) Aesch. & Graebn.,Watson & Dallwitz (1992 onwards),
Perotis Ait.,C4,"Perotis rara R. Br., Perotis indica (L.) Kuntze, Perotis patens Gand.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Perrierbambus A.Camus,C3, -,BEP clade,
Peyritschia Fourn.,C3,"Peyritschia koelerioides (Peyr.) Fourn. (= Trisetum altijugum (Fourn.) Scribn.), Peyritschia pringlei Scribn. (= Trisetum kochianum I. Holz. T.)",Watson & Dallwitz (1992 onwards),
Phacelurus Griseb.,C4,"Phacelurus huillensis (Rendle) Stapf, Phacelurus franksae (J.M.Wood) Clayton",Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,
Phaenanthoecium C.E.Hubbard,C3,Phaenanthoecium koestlinii (Hochst. ex A. Rich.) C.E. Hubb.,Watson & Dallwitz (1992 onwards),
Phaenosperma Benth.,C3,Phaenosperma globosa Munro,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Phalaris L.,C3,"Phalaris aquatica L., Phalaris arundinacea L., Phalaris canariensis L., Phalaris coerulescens Desf (=Phalaris caerulescens Desf)., Phalaris minor Retz.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Pharus P.Browne,C3,Pharus latifolius L.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Pheidochloa S.T.Blake,C4,"Pheidochloa gracilis Blake, Pheidochloa vulpioides Blake",Watson & Dallwitz (1992 onwards),
Phippsia R.Br.,C3,Phippsia algida (Solander) R. Br.,Watson & Dallwitz (1992 onwards),
Phleum L.,C3,Phleum pratense L.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Pholiurus Trin.,C3,Pholiurus pannonicus (Host) Trin.,Watson & Dallwitz (1992 onwards),
Phragmites Adanson,C3,Phragmites australis (Cav.) Trin. ex Steud. (=Phragmites communis Trin.),Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Phuphanochloa Sungkaew & Teerawat,C3, -,BEP clade,
Phyllorachis Trimen,C3,Phyllorachis sagittata Trimen,Metcalfe (1960),
Phyllosasa Demoly,C3, -,BEP clade,
Phyllostachys Sieb. & Zucc.,C3,"Phyllostachys bambusoides Siebold & Zucc. (=Phyllostachys castillonis (Marliac ex Carrière) Mitford and =Phyllostachys reticulata (Rupr.) K.Koch), Phyllostachys edulis (Carrière) J.Houz. (=Phyllostachys heterocycla (Carrière) Matsum.), Phyllostachys nigra (Lodd.) Munro, Phyllostachys viridiglaucescens Rivière & C.Rivière",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Pinga E.A.Widjaja,C3, -,BEP clade,
Piptatherum P. Beauv.,C3, -,BEP clade,
Piptochaetium Presl,C3,"Piptochaetium brevicalyx Ricker ex Hitchc., Piptochaetium fimbriatum (H.B.K.) Hitchc.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Piptophyllum C.E.Hubbard,C3,Piptophyllum welwitschii (Rendle) C.E.Hubb.,Renvoize (1986),
Piresia Swallen,C3,Piresia goeldii Swallen,Watson & Dallwitz (1992 onwards),
"Piresiella Judz., Zuloaga & Morrone",C3, -,BEP clade,
Plagiantha Renvoize,C3,Plagiantha tenella Renvoize,Watson & Dallwitz (1992 onwards),
Plagiosetum Benth.,C4,Plagiosetum refractum (F. Muell.) Benth.,Watson & Dallwitz (1992 onwards),
Pleioblastus Nakai,C3, -,BEP clade,
Pleuropogon R.Br.,C3,"Pleuropogon californicus (Nees) Benth., Pleuropogon sabinii R. Br., Pleuropogon refractus (Gray) Benth. ex Vasey",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Plinthanthesis Steud.,C3,"Plinthanthesis paradoxa (R. Br.) S. T. Blake, Plinthanthesis rodwayi (C. E. Hubbard) S. T. Blake",Watson & Dallwitz (1992 onwards),
Poa L.,C3,"Poa annua L., Poa clivicola Vickery, Poa ensiformis Vickery, Poa exilis Vickery (= P. meionectes Vickery), Poa helmsii Vickery, Poa labillaridieri Steud., Poa phillipsiana Vickery, Poa pratensis L., Poa queenslandica C.E. Hubb., Poa saxicola R.Br., Poa sieberana Nees, Poa glauca Vahl, Poa iridifolia Hauman, Poa palustris L.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),"Poa L. including Poagrostis Raf. is C3, Watson & Dallwitz (1992 onwards) "
Podophorus Phil.,C3,Podophorus bromoides Phil.,Watson & Dallwitz (1992 onwards),
Poecilostachys Hack.,C3,"Poecilostachys festucaceus (Mez) Camus, Poecilostachys viguieri Camus",Watson & Dallwitz (1992 onwards),Poor material of P. festucaceus and P. viguieri
Pogonachne Bor,C4,Pogonachne racemosa Bor,Renvoize (1982),
Pogonarthria Stapf,C4,"Pogonarthria fleckii Hack. (=Pogonarthria tuberculata Pilg.), Pogonarthria squarrosa Pilger",Metcalfe (1960); Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,
Pogonatherum Beauv.,C4,Pogonatherum paniceum (Lam.) Hackel,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Pogonochloa C.E.Hubbard,C4,Pogonochloa greenwayi Hubbard,Watson & Dallwitz (1992 onwards),
Pogononeura Napper,C4,Pogoneura biflora Napper,Watson & Dallwitz (1992 onwards),
"Pohlidium Davidse, Sod. & Ellis",C3,"Pohlidium petiolatum Davidse, Soderstr. & R.P.Ellis",Watson & Dallwitz (1992 onwards),
Polevansia de Winter,C4,Polevansia stricta de Winter,Watson & Dallwitz (1992 onwards),
Polypogon Desf.,C3,"Polypogon monspeliensis (L.) Desf., Polypogon viridis (Gouan) Breistr. (=Agrostis semiverticillata (Forssk.) C.Chr.), Polypogon chilensis (Kunth) Pilg.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Polytoca R.Br.,C4,Polytoca macrophylla Benth.,Watson & Dallwitz (1992 onwards),
Polytrias Hack.,C4,Polytrias amura (Buse) Kuntze,Watson & Dallwitz (1992 onwards),
Pommereulla L.f.,C4,Pommereulla cornucopia L.,Metcalfe (1960); Van den Borre (1994); Watson & Dallwitz (1992 onwards),
Porteresia Tateoka,C3, -,BEP clade,
Potamophila R.Br.,C3,Potamophila parviflora R. Br.,Watson & Dallwitz (1992 onwards),
Pringleochloa Scribn.,C4,Pringleochloa stolonifera (Fourn.) Scribn.,Watson & Dallwitz (1992 onwards),
Prosphytochloa Schweick.,C3,Prosphytochloa prehensilis (Nees) Schweick.,Watson & Dallwitz (1992 onwards),
Psammagrostis Gardner & Hubbard,C4,Psammagrostis wiseana C. Gardner & C.E. Hubbard,Watson & Dallwitz (1992 onwards),
Psammochloa Hitchc.,C3,Psammochloa villosa (Trin.) Bor (=Psammochloa mongolica Hitchc.),Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Psathyrostachys Nevski,C3,Psathyrostachys junceus (Fischer) Nevski,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Pseudanthistiria Hook.f.,C4,Pseudanthistiria umbellata (Hack.) Hook. f.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
